Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Orders,Unit Cost,Total Cost (Current),Average Age
AirAsia,AirAsia,McDonnell Douglas MD-11,,,1.0,1.0,,$175,$0,
Alaska Airlines,Alaska Airlines,Boeing 737,157.0,2.0,39.0,198.0,57.0,$74,"$11,615",9.0
Alaska Airlines,Alaska Airlines,Canadair CRJ-700,1.0,,7.0,8.0,,$41,$41,15.2
Alaska Airlines,Horizon Air,Canadair CRJ-700,,,21.0,21.0,,$41,$0,
Alaska Airlines,Horizon Air,De Havilland Canada DHC-8 Dash 8,52.0,,56.0,108.0,2.0,$31,"$1,628",10.2
Alaska Airlines,Horizon Air,Dornier Do-328,,,12.0,12.0,,$8,$0,
Alaska Airlines,Horizon Air,Embraer E175,,,,,30.0,$39,$0,
Alaska Airlines,Alaska Airlines,Embraer ERJ-170,15.0,,,15.0,,$39,$581,0.8
Alaska Airlines,Alaska Airlines,McDonnell Douglas MD-80,,,48.0,48.0,,$45,,
Alitalia,Alitalia,Airbus A300,,,14.0,14.0,,$75,$0,
Alitalia,Alitalia,Airbus A319,22.0,,,22.0,,$90,"$1,971",9.7
Alitalia,Alitalia,Airbus A320,44.0,,10.0,54.0,6.0,$98,"$4,312",9.9
Alitalia,Alitalia,Airbus A321,12.0,,11.0,23.0,,$115,"$1,379",19.4
Alitalia,Alitalia,Airbus A330,14.0,,,14.0,1.0,$240,"$3,360",7.6
Alitalia,Alitalia,ATR 42/72,,,14.0,14.0,,$22,$0,
Alitalia,Alitalia,Boeing 737,,,2.0,2.0,,$74,$0,
Alitalia,Alitalia,Boeing 747,,,21.0,21.0,,$316,$0,
Alitalia,Alitalia,Boeing 767,,,14.0,14.0,,$187,$0,
Alitalia,Alitalia,Boeing 777,11.0,,,11.0,1.0,$295,"$3,240",13.6
Alitalia,Alitalia Cityliner,Canadair CRJ-900,,,10.0,10.0,,$46,$0,
Alitalia,Alitalia Cityliner,Embraer ERJ-170,15.0,,,15.0,,$39,$581,4.6
Alitalia,Alitalia Cityliner,Embraer ERJ-190,5.0,,,5.0,,$46,$231,5.0
Alitalia,Alitalia,McDonnell Douglas DC-10,,,8.0,8.0,,$145,$0,
Alitalia,Alitalia,McDonnell Douglas DC-8,,,27.0,27.0,,$6,$0,
Alitalia,Alitalia,McDonnell Douglas DC-9,,,46.0,46.0,,$45,$0,
Alitalia,Alitalia,McDonnell Douglas MD-11,,,8.0,8.0,,$175,$0,
Alitalia,Alitalia,McDonnell Douglas MD-80,,,90.0,90.0,,$45,$0,
All Nippon Airways,Vanilla Air,Airbus A320,10.0,2.0,3.0,15.0,,$98,$980,2.0
All Nippon Airways,ANA Wings,Boeing 737,18.0,,7.0,25.0,,$74,"$1,332",19.6
All Nippon Airways,ANA Wings,De Havilland Canada DHC-8 Dash 8,21.0,,5.0,26.0,9.0,$31,$657,9.3
All Nippon Airways,ANA Wings,Mitsubishi MRJ90,,,,,15.0,$47,$0,
All Nippon Airways,All Nippon Airways,Airbus A320,10.0,3.0,23.0,36.0,7.0,$98,$980,21.2
All Nippon Airways,All Nippon Airways,Airbus A321,2.0,2.0,7.0,11.0,28.0,$115,$230,0.1
All Nippon Airways,All Nippon Airways,Airbus A380,,,,,3.0,$433,$0,
All Nippon Airways,All Nippon Airways,Boeing 737,43.0,,44.0,87.0,,$74,"$3,181",5.5
All Nippon Airways,All Nippon Airways,Boeing 747,,,46.0,46.0,,$316,$0,
All Nippon Airways,All Nippon Airways,Boeing 767,49.0,,50.0,99.0,,$187,"$9,158",15.7
All Nippon Airways,All Nippon Airways,Boeing 777,55.0,,2.0,57.0,26.0,$295,"$16,200",12.0
All Nippon Airways,All Nippon Airways,Boeing 787 Dreamliner,56.0,3.0,,59.0,27.0,$265,"$14,846",2.6
All Nippon Airways,All Nippon Airways,Mitsubishi MRJ90,,,,,15.0,$47,$0,
Allegiant Air,Allegiant Air,Airbus A319,17.0,6.0,,23.0,19.0,$90,"$1,523",11.5
Allegiant Air,Allegiant Air,Airbus A320,16.0,,,16.0,15.0,$98,"$1,568",17.1
Allegiant Air,Allegiant Air,Boeing 757,4.0,,2.0,6.0,,$73,$290,23.6
Allegiant Air,Allegiant Air,McDonnell Douglas DC-9,,,3.0,3.0,,$45,$0,
Allegiant Air,Allegiant Air,McDonnell Douglas MD-80,48.0,,13.0,61.0,,$45,"$2,160",26.9
American Airlines,American Airlines,Airbus A300,,,35.0,35.0,,$75,$0,
American Airlines,American Airlines,Airbus A319,125.0,,,125.0,,$90,"$11,200",12.8
American Airlines,American Airlines,Airbus A320,51.0,,17.0,68.0,,$98,"$4,998",15.5
American Airlines,American Airlines,Airbus A321,197.0,12.0,,209.0,122.0,$115,"$22,635",4.9
American Airlines,American Airlines,Airbus A330,24.0,,,24.0,,$240,"$5,760",9.3
American Airlines,American Airlines,Airbus A350 XWB,,1.0,,1.0,22.0,$312,$0,
American Airlines,American Eagle,ATR 42/72,,,70.0,70.0,,$22,$0,
American Airlines,American Airlines,Boeing 717,,,29.0,29.0,,$37,$0,
American Airlines,American Airlines,Boeing 737,282.0,4.0,46.0,332.0,121.0,$74,"$20,862",7.7
American Airlines,American Airlines,Boeing 747,,,19.0,19.0,,$316,$0,
American Airlines,American Airlines,Boeing 757,51.0,,126.0,177.0,,$73,"$3,698",17.9
American Airlines,American Airlines,Boeing 767,33.0,,74.0,107.0,,$187,"$6,168",19.9
American Airlines,American Airlines,Boeing 777,67.0,,,67.0,,$295,"$19,735",12.1
American Airlines,American Airlines,Boeing 787 Dreamliner,20.0,6.0,,26.0,22.0,$265,"$5,302",1.2
American Airlines,American Airlines,British Aerospace BAe 146/Avro RJ,,,8.0,8.0,,$14,$0,
American Airlines,PSA Airlines,Canadair CRJ-100 Series,35.0,,,35.0,,$32,"$1,115",12.8
American Airlines,PSA Airlines,Canadair CRJ-700,26.0,35.0,,61.0,,$41,"$1,066",12.2
American Airlines,American Eagle,Canadair CRJ-700,45.0,,12.0,57.0,,$41,"$1,845",10.1
American Airlines,PSA Airlines,Canadair CRJ-900,54.0,,,54.0,,$46,"$2,484",1.5
American Airlines,American Eagle,Canadair CRJ-900,61.0,,,61.0,,$46,"$2,806",1.5
American Airlines,Piedmont Airlines,De Havilland Canada DHC-8 Dash 8,34.0,,75.0,109.0,,$31,"$1,064",26.1
American Airlines,PSA Airlines,Dornier Do-328,,,28.0,28.0,,$8,$0,
American Airlines,American Eagle,Embraer ERJ-145,97.0,,120.0,217.0,,$20,"$1,901",14.0
American Airlines,Piedmont Airlines,Embraer ERJ-145,10.0,,,10.0,,$20,$196,17.7
American Airlines,American Eagle,Embraer ERJ-170,94.0,2.0,,96.0,,$39,"$3,638",1.9
American Airlines,Envoy Air,Embraer ERJ-170,26.0,2.0,,28.0,,$39,"$1,006",0.6
American Airlines,American Airlines,Embraer ERJ-190,20.0,,,20.0,,$46,$924,9.1
American Airlines,American Airlines,Fokker F70 / F100,,,75.0,75.0,,$20,$0,
American Airlines,American Airlines,McDonnell Douglas DC-10,,,66.0,66.0,,$145,$0,
American Airlines,American Airlines,McDonnell Douglas DC-8,,,6.0,6.0,,$6,$0,
American Airlines,American Airlines,McDonnell Douglas MD-11,,,19.0,19.0,,$175,$0,
American Airlines,American Airlines,McDonnell Douglas MD-80,58.0,,325.0,383.0,,$45,"$2,610",22.2
American Airlines,American Airlines,McDonnell Douglas MD-90,,,5.0,5.0,,$45,$0,
American Airlines,American Eagle,Saab 340,,,52.0,52.0,,$8,$0,
Asiana Airlines,Asiana Airlines,Airbus A320,7.0,,4.0,11.0,,$98,$686,9.3
Asiana Airlines,Air Busan,Airbus A320,6.0,,,6.0,,$98,$588,10.9
Asiana Airlines,Asiana Airlines,Airbus A321,23.0,,17.0,40.0,27.0,$115,"$2,643",5.7
Asiana Airlines,Air Seoul,Airbus A321,3.0,,,3.0,,$115,$345,3.8
Asiana Airlines,Air Busan,Airbus A321,12.0,,,12.0,,$115,"$1,379",13.5
Asiana Airlines,Asiana Airlines,Airbus A330,15.0,,,15.0,,$240,"$3,600",7.3
Asiana Airlines,Asiana Airlines,Airbus A350,,1.0,,1.0,30.0,$312,$0,
Asiana Airlines,Asiana Airlines,Airbus A380,5.0,1.0,,6.0,1.0,$433,"$2,163",2.0
Asiana Airlines,Asiana Airlines,Boeing 737,,,34.0,34.0,,$74,$0,
Asiana Airlines,Air Busan,Boeing 737,,,7.0,7.0,,$74,$0,
Asiana Airlines,Asiana Airlines,Boeing 747,14.0,,4.0,18.0,,$316,"$4,421",20.9
Asiana Airlines,Asiana Airlines,Boeing 767,8.0,,11.0,19.0,,$187,"$1,495",20.3
Asiana Airlines,Asiana Airlines,Boeing 777,11.0,,2.0,13.0,,$295,"$3,240",10.1
Atlas Air,Atlas Air,Boeing 737,,,1.0,1.0,,$74,$0,
Atlas Air,Atlas Air,Boeing 747,32.0,,45.0,77.0,,$316,"$10,106",14.1
Atlas Air,Atlas Air,Boeing 757,,,1.0,1.0,,$73,$0,
Atlas Air,Atlas Air,Boeing 767,25.0,,1.0,26.0,19.0,$187,"$4,673",24.1
Avianca,AeroUnion,Airbus A300,5.0,,2.0,7.0,,$75,$375,35.8
Avianca,Avianca,Airbus A318,10.0,,,10.0,,$66,$663,11.8
Avianca,Avianca Brazil,Airbus A318,13.0,,2.0,15.0,,$66,$862,8.7
Avianca,Avianca,Airbus A319,30.0,,6.0,22.0,28.0,$90,"$2,688",3.9
Avianca,Avianca Brazil,Airbus A319,4.0,,,4.0,,$90,$358,6.1
Avianca,Avianca Ecuador,Airbus A319,6.0,,1.0,7.0,,$90,$538,12.8
Avianca,Avianca Peru,Airbus A319,5.0,,,1.0,,$90,$448,9.2
Avianca,Avianca El Salvador/TACA Airlines,Airbus A319,8.0,,3.0,11.0,,$90,$717,8.6
Avianca,Avianca,Airbus A320,40.0,1.0,3.0,44.0,111.0,$98,"$3,920",5.0
Avianca,Avianca Brazil,Airbus A320,29.0,3.0,1.0,33.0,61.0,$98,"$2,842",2.5
Avianca,Avianca Ecuador,Airbus A320,4.0,,,4.0,,$98,$392,6.8
Avianca,Avianca Peru,Airbus A320,5.0,,,1.0,,$98,$490,12.2
Avianca,Avianca El Salvador/TACA Airlines,Airbus A320,18.0,,1.0,19.0,,$98,"$1,764",8.9
Avianca,Avianca,Airbus A321,9.0,,,9.0,6.0,$115,"$1,034",2.1
Avianca,Avianca El Salvador/TACA Airlines,Airbus A321,6.0,,3.0,9.0,,$115,$689,9.3
Avianca,Avianca Brazil,Airbus A330,,2.0,2.0,4.0,6.0,$115,$0,
Avianca,Avianca,Airbus A330,8.0,,4.0,12.0,,$240,"$1,920",5.6
Avianca,Avianca Peru,Airbus A330,2.0,,,1.0,,$240,$480,5.0
Avianca,Avianca El Salvador/TACA Airlines,Airbus A330,1.0,,,1.0,,$240,$240,
Avianca,Avianca Cargo Colombia,Airbus A330,6.0,,,6.0,,$240,"$1,440",3.3
Avianca,Avianca,Airbus A350,,,,,10.0,$312,$0,
Avianca,Avianca Brazil,Airbus A350,,,,,10.0,$312,$0,
Avianca,Avianca,ATR 42/72,9.0,,,9.0,,$22,$199,2.8
Avianca,Avianca Guatemala,ATR 42/72,4.0,,,4.0,,$22,$88,2.2
Avianca,Avianca Honduras,ATR 42/72,2.0,,5.0,7.0,,$22,$44,2.2
Avianca,Avianca,Boeing 727,,,1.0,1.0,,$4,$0,
Avianca,Avianca,Boeing 737,,,2.0,2.0,,$74,$0,
Avianca,Avianca,Boeing 747,,,7.0,7.0,,$316,$0,
Avianca,Avianca,Boeing 757,,,21.0,21.0,,$73,$0,
Avianca,Avianca,Boeing 767,,,10.0,10.0,,$187,$0,
Avianca,AeroUnion,Boeing 767,2.0,,,2.0,,$187,$374,29.5
Avianca,Avianca Cargo Colombia,Boeing 767,,,5.0,5.0,,$187,$0,
Avianca,Avianca,Boeing 787 Dreamliner,9.0,2.0,,11.0,6.0,$265,"$2,386",1.5
Avianca,Avianca El Salvador/TACA Airlines,Embraer E-190,8.0,,2.0,10.0,,$46,$370,7.2
Avianca,Avianca,Fokker F50 / F60,,,10.0,10.0,,$18,$0,
Avianca,Avianca,Fokker F70 / F100,,,15.0,15.0,,$20,$0,
Avianca,Avianca Brazil,Fokker F70 / F100,,,14.0,14.0,,$20,$0,
Avianca,Avianca,McDonnell Douglas MD-11,,,1.0,1.0,,$175,$0,
Avianca,Avianca,McDonnell Douglas MD-80,,,18.0,18.0,,$45,$0,
Azul,Azul,Airbus A320,4.0,4.0,,8.0,59.0,$98,$392,0.1
Azul,Azul,Airbus A330,5.0,,2.0,7.0,,$240,"$1,200",14.1
Azul,Azul,Airbus A350 XWB,,1.0,,1.0,5.0,$312,$0,
Azul,Azul,ATR 42/72,40.0,2.0,42.0,84.0,,$22,$884,3.5
Azul,Azul,Embraer ERJ-170,,,5.0,5.0,,$39,$0,
Azul,Azul,Embraer ERJ-190,74.0,,14.0,88.0,33.0,$46,"$3,419",4.9
Cathay Pacific,Air Hong Kong,Airbus A300,10.0,,2.0,12.0,,$75,$750,14.0
Cathay Pacific,Cathay Dragon,Airbus A320,15.0,,,15.0,,$98,"$1,470",11.6
Cathay Pacific,Cathay Dragon,Airbus A321,8.0,,,8.0,,$115,$919,14.2
Cathay Pacific,Cathay Pacific,Airbus A330,42.0,,13.0,55.0,,$240,"$10,080",8.9
Cathay Pacific,Cathay Dragon,Airbus A330,19.0,,,19.0,7.0,$240,"$4,560",16.9
Cathay Pacific,Cathay Pacific,Airbus A340,4.0,,21.0,25.0,,$216,$862,19.0
Cathay Pacific,Cathay Pacific,Airbus A350 XWB,9.0,6.0,,15.0,39.0,$312,"$2,808",0.3
Cathay Pacific,Cathay Pacific,Boeing 747,21.0,,63.0,84.0,,$316,"$6,632",5.9
Cathay Pacific,Air Hong Kong,Boeing 747,3.0,,8.0,11.0,,$316,$947,25.8
Cathay Pacific,Cathay Pacific,Boeing 777,70.0,,,70.0,,$295,"$20,619",8.0
Cebu Pacific Air,Cebu Pacific Air,Airbus A319,5.0,,5.0,10.0,,$90,$448,10.5
Cebu Pacific Air,Cebu Pacific Air,Airbus A320,36.0,,6.0,42.0,,$98,"$3,528",4.4
Cebu Pacific Air,Cebu Pacific Air,Airbus A321,,,,,32.0,$115,$0,
Cebu Pacific Air,Cebu Pacific Air,Airbus A330,6.0,1.0,,7.0,1.0,$240,"$1,440",2.8
Cebu Pacific Air,Cebu Pacific Air,ATR 42/72,10.0,,1.0,11.0,14.0,$22,$221,6.4
Cebu Pacific Air,Cebu Pacific Air,Boeing 757,,,3.0,3.0,,$73,$0,
Cebu Pacific Air,Cebu Pacific Air,McDonnell Douglas DC-9,,,19.0,19.0,,$45,$0,
China Airlines,China Airlines,Airbus A300,,,20.0,20.0,,$75,$0,
China Airlines,Tigerair Taiwan (80%),Airbus A320,9.0,1.0,,10.0,3.0,$98,$882,2.3
China Airlines,China Airlines,Airbus A320,,,2.0,2.0,,$98,$0,
China Airlines,China Airlines,Airbus A330,24.0,,2.0,26.0,,$240,"$5,760",9.0
China Airlines,China Airlines,Airbus A340,4.0,,3.0,7.0,,$216,$862,14.9
China Airlines,Mandarin Airlines (93.99%),Airbus A340,,,1.0,1.0,,$216,$0,
China Airlines,China Airlines,Airbus A350 XWB,2.0,4.0,,6.0,12.0,$312,$624,0.2
China Airlines,China Airlines,Boeing 737,22.0,1.0,17.0,40.0,2.0,$74,"$1,628",8.9
China Airlines,Mandarin Airlines (93.99%),Boeing 737,1.0,,5.0,6.0,1.0,$74,$74,1.3
China Airlines,China Airlines,Boeing 747,25.0,,35.0,60.0,,$316,"$7,895",13.6
China Airlines,Mandarin Airlines (93.99%),Boeing 747,,,5.0,5.0,,$316,$0,
China Airlines,China Airlines,Boeing 767,,,2.0,2.0,,$187,$0,
China Airlines,China Airlines,Boeing 777,10.0,,,10.0,,$295,"$2,946",1.6
China Airlines,Mandarin Airlines (93.99%),Embraer ERJ-190,6.0,,2.0,8.0,,$46,$277,8.8
China Airlines,Mandarin Airlines (93.99%),Fokker F50 / F60,,,7.0,7.0,,$18,$0,
China Airlines,Mandarin Airlines (93.99%),Fokker F70 / F100,,,6.0,6.0,,$20,$0,
China Airlines,China Airlines,McDonnell Douglas MD-11,,,5.0,5.0,,$175,$0,
China Airlines,Mandarin Airlines (93.99%),McDonnell Douglas MD-11,,,5.0,5.0,,$175,$0,
China Airlines,Mandarin Airlines (93.99%),Saab 340,,,1.0,1.0,,$8,$0,
China Eastern Airlines,China Eastern Airlines,Airbus A300,,,13.0,13.0,,$75,$0,
China Eastern Airlines,China Eastern Airlines,Airbus A310,,,5.0,5.0,,$75,$0,
China Eastern Airlines,China Eastern Airlines,Airbus A319,36.0,,9.0,45.0,,$90,"$3,226",4.1
China Eastern Airlines,China United Airlines,Airbus A319,,,3.0,3.0,,$90,$0,
China Eastern Airlines,China Eastern Airlines,Airbus A320,165.0,2.0,24.0,191.0,130.0,$98,"$16,170",6.8
China Eastern Airlines,China Eastern Airlines,Airbus A321,64.0,3.0,,67.0,2.0,$115,"$7,354",4.2
China Eastern Airlines,Shanghai Airlines,Airbus A321,,,4.0,4.0,,$115,$0,
China Eastern Airlines,China Eastern Airlines,Airbus A330,45.0,,6.0,51.0,,$240,"$10,800",5.6
China Eastern Airlines,Shanghai Airlines,Airbus A330,6.0,,,6.0,,$240,"$1,440",7.0
China Eastern Airlines,China Eastern Airlines,Airbus A340,,,10.0,10.0,,$216,$0,
China Eastern Airlines,China Eastern Airlines,Airbus A350,,,,,20.0,$312,$0,
China Eastern Airlines,China Eastern Airlines,Boeing 737,125.0,1.0,47.0,173.0,41.0,$74,"$9,248",4.9
China Eastern Airlines,China United Airlines,Boeing 737,32.0,1.0,11.0,44.0,,$74,"$2,367",5.4
China Eastern Airlines,Shanghai Airlines,Boeing 737,75.0,,21.0,96.0,,$74,"$5,549",5.0
China Eastern Airlines,China Cargo Airlines,Boeing 747,3.0,,2.0,5.0,,$316,$947,13.2
China Eastern Airlines,China Cargo Airlines,Boeing 757,,,2.0,2.0,,$73,$0,
China Eastern Airlines,Shanghai Airlines,Boeing 757,,,13.0,13.0,,$73,$0,
China Eastern Airlines,China Eastern Airlines,Boeing 767,,,3.0,3.0,,$187,$0,
China Eastern Airlines,Shanghai Airlines,Boeing 767,6.0,,1.0,7.0,,$187,"$1,121",15.7
China Eastern Airlines,China Eastern Airlines,Boeing 777,16.0,,,16.0,5.0,$295,"$4,713",1.2
China Eastern Airlines,China Cargo Airlines,Boeing 777,6.0,,,6.0,,$295,"$1,767",6.2
China Eastern Airlines,China Eastern Airlines,Boeing 787,,,,,15.0,$265,$0,
China Eastern Airlines,China Eastern Airlines,British Aerospace BAe 146/Avro RJ,,,13.0,13.0,,$14,$0,
China Eastern Airlines,China Eastern Airlines,Canadair CRJ-100 Series,,,5.0,5.0,,$32,$0,
China Eastern Airlines,Shanghai Airlines,Canadair CRJ-100 Series,,,5.0,5.0,,$32,$0,
China Eastern Airlines,China United Airlines,Comac ARJ21,,,,,5.0,$30,$0,
China Eastern Airlines,China Eastern Airlines,COMAC C919,,,,,20.0,$68,$0,
China Eastern Airlines,China Eastern Airlines,Embraer ERJ-145,,,10.0,10.0,,$20,$0,
China Eastern Airlines,China Eastern Airlines,Fokker F70 / F100,,,10.0,10.0,,$20,$0,
China Eastern Airlines,China Eastern Airlines,McDonnell Douglas MD-11,,,6.0,6.0,,$175,$0,
China Eastern Airlines,China Cargo Airlines,McDonnell Douglas MD-11,,,9.0,9.0,,$175,$0,
China Eastern Airlines,Shanghai Airlines,McDonnell Douglas MD-11,,,4.0,4.0,,$175,$0,
China Eastern Airlines,China Eastern Airlines,McDonnell Douglas MD-80,,,16.0,16.0,,$45,$0,
China Eastern Airlines,China Eastern Airlines,McDonnell Douglas MD-90,,,9.0,9.0,,$45,$0,
China Southern Airlines,China Southern Airlines,Airbus A300,,,6.0,6.0,,$75,$0,
China Southern Airlines,China Southern Airlines,Airbus A319,34.0,,7.0,41.0,,$90,"$3,046",10.6
China Southern Airlines,China Southern Airlines,Airbus A320,123.0,8.0,14.0,145.0,25.0,$98,"$12,054",7.3
China Southern Airlines,China Southern Airlines,Airbus A321,88.0,5.0,,93.0,27.0,$115,"$10,111",6.5
China Southern Airlines,China Southern Airlines,Airbus A330,38.0,1.0,,39.0,13.0,$240,"$9,120",5.8
China Southern Airlines,China Southern Airlines,Airbus A380,5.0,,,5.0,17.0,$433,"$2,163",5.1
China Southern Airlines,China Southern Airlines,ATR 42/72,,,5.0,5.0,,$22,$0,
China Southern Airlines,China Southern Airlines,Boeing 737,169.0,,65.0,234.0,1.0,$74,"$12,503",6.8
China Southern Airlines,China Southern Airlines,Boeing 747,2.0,,,2.0,,$316,$632,14.4
China Southern Airlines,China Southern Airlines,Boeing 757,7.0,,24.0,31.0,,$73,$508,17.8
China Southern Airlines,China Southern Airlines,Boeing 767,,,6.0,6.0,,$187,$0,
China Southern Airlines,China Southern Airlines,Boeing 777,26.0,,6.0,32.0,,$295,"$7,658",5.9
China Southern Airlines,China Southern Airlines,Boeing 787 Dreamliner,10.0,,,10.0,12.0,$265,"$2,651",3.3
China Southern Airlines,China Southern Airlines,COMAC C919,,,,,20.0,$68,$0,
China Southern Airlines,China Southern Airlines,Embraer ERJ-145,,,6.0,6.0,,$20,$0,
China Southern Airlines,China Southern Airlines,Embraer ERJ-190,20.0,,,20.0,,$46,$924,4.7
China Southern Airlines,China Southern Airlines,McDonnell Douglas MD-80,,,23.0,23.0,,$45,$0,
China Southern Airlines,China Southern Airlines,McDonnell Douglas MD-90,,,13.0,13.0,,$45,$0,
Copa Airlines,Copa Airlines,Boeing 737,76.0,1.0,33.0,110.0,65.0,$74,"$5,622",6.3
Copa Airlines,Copa Airlines Colombia,Boeing 737,1.0,,,1.0,,$74,$74,17.2
Copa Airlines,Copa Airlines,Embraer ERJ-190,12.0,,3.0,15.0,,$46,$554,9.7
Copa Airlines,Copa Airlines Colombia,Embraer ERJ-190,9.0,,5.0,14.0,,$46,$416,9.2
Delta Airlines,Delta Airlines,Airbus A310,,,30.0,30.0,,$75,$0,
Delta Airlines,Delta Airlines,Airbus A319,57.0,,,57.0,,$90,"$5,107",14.8
Delta Airlines,Delta Airlines,Airbus A320,69.0,,,69.0,,$98,"$6,762",21.8
Delta Airlines,Delta Airlines,Airbus A321,14.0,6.0,,20.0,67.0,$115,"$1,609",0.4
Delta Airlines,Delta Airlines,Airbus A330,40.0,2.0,,42.0,27.0,$240,"$9,600",9.4
Delta Airlines,Delta Airlines,Airbus A350 XWB,,1.0,,1.0,25.0,$312,$0,
Delta Airlines,Delta Airlines,Boeing 717,91.0,,,91.0,,$37,"$3,367",15.2
Delta Airlines,Delta Airlines,Boeing 727,,,7.0,7.0,,$4,$0,
Delta Airlines,Delta Airlines,Boeing 737,154.0,9.0,106.0,269.0,56.0,$74,"$11,393",9.2
Delta Airlines,Delta Airlines,Boeing 747,7.0,,29.0,36.0,,$316,"$2,211",25.5
Delta Airlines,Delta Airlines,Boeing 757,128.0,,78.0,206.0,,$73,"$9,280",19.5
Delta Airlines,Delta Airlines,Boeing 767,85.0,,39.0,124.0,,$187,"$15,887",19.8
Delta Airlines,Delta Airlines,Boeing 777,18.0,,1.0,19.0,,$295,"$5,302",11.9
Delta Airlines,Delta Airlines,Boeing 787 Dreamliner,,,,,18.0,$265,$0,
Delta Airlines,Delta Airlines,Bombardier CS100,,,,,75.0,$72,$0,
Delta Airlines,Endeavor Air,Canadair CRJ-100 Series,53.0,,87.0,140.0,,$32,"$1,688",12.7
Delta Airlines,Endeavor Air,Canadair CRJ-900,81.0,,1.0,82.0,,$46,"$3,726",5.9
Delta Airlines,Delta Airlines,Embraer ERJ-190,11.0,,2.0,13.0,,$46,$508,10.2
Delta Airlines,Delta Airlines,McDonnell Douglas DC-10,,,14.0,14.0,,$145,$0,
Delta Airlines,Delta Airlines,McDonnell Douglas DC-8,,,42.0,42.0,,$6,$0,
Delta Airlines,Delta Airlines,McDonnell Douglas DC-9,,,162.0,162.0,,$45,$0,
Delta Airlines,Delta Airlines,McDonnell Douglas MD-11,,,17.0,17.0,,$175,$0,
Delta Airlines,Delta Airlines,McDonnell Douglas MD-80,116.0,,50.0,166.0,,$45,"$5,220",26.4
Delta Airlines,Delta Airlines,McDonnell Douglas MD-90,65.0,,12.0,77.0,,$45,"$2,925",19.8
easyJet,easyJet,Airbus A319,133.0,,39.0,172.0,,$90,"$11,917",9.6
easyJet,easyJet - Switzerland,Airbus A319,11.0,,22.0,33.0,,$90,$986,5.5
easyJet,easyJet,Airbus A320,101.0,3.0,24.0,128.0,165.0,$98,"$9,898",3.6
easyJet,easyJet - Switzerland,Airbus A320,15.0,,,15.0,,$98,"$1,470",5.0
easyJet,easyJet,Airbus A321,,,8.0,8.0,,$115,$0,
easyJet,easyJet,Boeing 737,,,84.0,84.0,,$74,$0,
easyJet,easyJet - Switzerland,Boeing 737,,,8.0,8.0,,$74,$0,
easyJet,easyJet,Boeing 757,,,4.0,4.0,,$73,$0,
EgyptAir,EgyptAir Cargo,Airbus A300,3.0,,1.0,4.0,,$75,$225,28.6
EgyptAir,EgyptAir,Airbus A300,,,21.0,21.0,,$75,$0,
EgyptAir,EgyptAir,Airbus A320,6.0,,7.0,13.0,,$98,$588,17.1
EgyptAir,Air Cairo,Airbus A320,6.0,,1.0,7.0,,$98,$588,9.1
EgyptAir,EgyptAir Cargo,Airbus A320,,,,,2.0,$98,$0,
EgyptAir,EgyptAir,Airbus A321,4.0,,,4.0,,$115,$460,19.4
EgyptAir,Air Cairo,Airbus A321,,,2.0,2.0,,$115,$0,
EgyptAir,EgyptAir,Airbus A330,11.0,,,11.0,,$240,"$2,640",9.5
EgyptAir,EgyptAir Cargo,Airbus A330,,,,,2.0,$240,$0,
EgyptAir,EgyptAir,Airbus A340,,,4.0,4.0,,$216,$0,
EgyptAir,EgyptAir,ATR 42/72,,,2.0,2.0,,$22,$0,
EgyptAir,EgyptAir,Boeing 737,22.0,,15.0,37.0,7.0,$74,"$1,628",7.7
EgyptAir,EgyptAir,Boeing 747,,,10.0,10.0,,$316,$0,
EgyptAir,EgyptAir,Boeing 767,,,7.0,7.0,,$187,$0,
EgyptAir,EgyptAir,Boeing 777,9.0,,2.0,11.0,,$295,"$2,651",9.7
EgyptAir,EgyptAir Express,Embraer ERJ-170,12.0,,,12.0,,$39,$464,8.7
EgyptAir,EgyptAir,McDonnell Douglas DC-8,,,7.0,7.0,,$6,$0,
EgyptAir,EgyptAir,McDonnell Douglas DC-9,,,2.0,2.0,,$45,$0,
El Al,El Al,Boeing 737,23.0,,6.0,29.0,,$74,"$1,702",9.1
El Al,Sun d'Or,Boeing 737,2.0,,,2.0,,$74,$148,17.4
El Al,Up,Boeing 737,4.0,,,4.0,,$74,$296,12.9
El Al,El Al,Boeing 747,7.0,,19.0,26.0,,$316,"$2,211",21.4
El Al,El Al,Boeing 757,,,10.0,10.0,,$73,$0,
El Al,Sun d'Or,Boeing 757,,,6.0,6.0,,$73,$0,
El Al,El Al,Boeing 767,7.0,,6.0,13.0,,$187,"$1,308",21.1
El Al,El Al,Boeing 777,6.0,,,6.0,,$295,"$1,767",13.5
El Al,El Al,Boeing 787,,,,16.0,,$265,$0,
El Al,El Al,McDonnell Douglas DC-8,,,1.0,1.0,,$6,$0,
El Al,El Al,McDonnell Douglas MD-11,,,1.0,1.0,,$175,$0,
Emirates,Emirates,Airbus A300,,,7.0,7.0,,$75,$0,
Emirates,Emirates,Airbus A310,,,13.0,13.0,,$75,$0,
Emirates,Emirates,Airbus A319,1.0,,,1.0,,$90,$90,5.3
Emirates,Emirates,Airbus A330,,,29.0,29.0,,$115,$0,
Emirates,Emirates,Airbus A340,,,18.0,18.0,,$216,$0,
