indicator_name,indicator_code,country_name,country_code,value,year
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Maluku Utara, Prop.",IDN_Maluku_Utara_ID.MU_73616_IDN016,13.23,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Maluku, Prop.",IDN_Maluku_ID.MA_73615_IDN015,32.28,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Nanggroe Aceh Darussalam, Prop.",IDN_Nangroe_Aceh_Darussalam_ID.AD_1512_IDN020,28.69,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Nusa Tenggara Barat, Prop.",IDN_Nusa_Tenggara_Barat_ID.NB_1528_IDN022,25.92,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Nusa Tenggara Timur, Prop.",IDN_Nusa_Tenggara_Timur_ID.NT_1529_IDN025,28.19,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Papua, Prop.",IDN_Papua_ID.PA_73617_IDN030,40.83,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Riau, Prop.",IDN_Riau_ID.RI_73618_IDN037,12.51,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sulawesi Selatan, Prop.",IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,14.98,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sulawesi Tengah, Prop.",IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,21.8,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sulawesi Tenggara, Prop.",IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,21.45,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sulawesi Utara, Prop.",IDN_Sulawesi_Utara_ID.SU_73621_IDN024,9.34,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sumatera Barat, Prop.",IDN_Sumatera_Barat_ID.BR_1535_IDN026,10.89,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sumatera Selatan, Prop.",IDN_Sumatera_Selatan_ID.SM_73622_IDN027,21.01,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sumatera Utara, Prop.",IDN_Sumatera_Utara_ID.SA_1537_IDN028,14.68,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Lebanon,LBN,28.6,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lebanon, Beirut",LBN_Beirut_LB.BY_1798_LBN002,5.9,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lebanon, Beqaa",LBN_Beqaa_LB.BE_1797_LBN001,29.4,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lebanon, Liban Nord",LBN_Liban_Nord_LB.LN_1799_LBN003,52.6,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lebanon, Liban Sud",LBN_Liban_Sud_LB.SU_1800_LBN004,42.2,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lebanon, Mont Liban",LBN_Mont_Liban_LB.ML_1801_LBN005,19.6,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lebanon, Nabatieh",LBN_Nabatieh_LB.NA_1802_LBN006,19.2,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Peru,PER,55.6,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Tunisia,TUN,23.3,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Tunisia, Centre Est",TUN_Centre_Est_AGG070,12.6,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Tunisia, Centre Ouest",TUN_Centre_Ouest_AGG075,46.5,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Tunisia, Grand Tunis",TUN_Grand_Tunis_AGG075_5,14.6,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Tunisia, Nord Est",TUN_Nord_Est_AGG071,21.6,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Tunisia, Nord Ouest",TUN_Nord_Ouest_AGG072,26.9,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Tunisia, Sud Est",TUN_Sud_Est_AGG073,29.0,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Tunisia, Sud Quest",TUN_Sud_Quest_AGG074,33.2,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Amazonas",VEN_Amazonas_VE.AM_3302_VEN001,50.9,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Anzoategui",VEN_Anzoategui_VE.AN_3303_VEN002,41.8,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Apure",VEN_Apure_VE.AP_3304_VEN003,54.8,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Aragua",VEN_Aragua_VE.AR_3305_VEN004,44.4,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Barinas",VEN_Barinas_VE.BA_3306_VEN005,60.8,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Bolivar",VEN_Bolivar_VE.BO_3307_COL006,47.0,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Carabobo",VEN_Carabobo_VE.CA_3308_VEN007,37.2,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Cojedes",VEN_Cojedes_VE.CO_3309_VEN008,50.3,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Delta Amacuro",VEN_Delta_Amacuro_VE.DA_3310_VEN009,43.8,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Distrito Capital",VEN_Distrito_Capital_VE.DF_67153_VEN010,21.8,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Falcon",VEN_Falcon_VE.FA_3313_VEN011,48.5,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Guarico",VEN_Guarico_VE.GU_3314_VEN012,52.9,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Lara",VEN_Lara_VE.LA_3315_VEN013,55.7,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Merida",VEN_Merida_VE.ME_3316_VEN014,44.2,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Miranda",VEN_Miranda_VE.MI_3317_VEN015,32.8,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Monagas",VEN_Monagas_VE.MO_3318_VEN016,39.0,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Nueva Esparta",VEN_Nueva_Esparta_VE.NE_3319_VEN017,44.2,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Portuguesa",VEN_Portuguesa_VE.PO_3320_VEN018,43.9,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Sucre",VEN_Sucre_VE.SU_3321_VEN019,62.7,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Tachira",VEN_Tachira_VE.TA_3322_VEN020,43.2,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Trujillo",VEN_Trujillo_VE.TR_3323_VEN021,52.0,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Vargas",VEN_Vargas_VE.VA_67152_VEN022,37.9,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Yaracuy",VEN_Yaracuy_VE.YA_3324_VEN023,56.6,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Zulia",VEN_Zulia_VE.ZU_3325_VEN024,46.9,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,West Bank and Gaza,WBG,29.5,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"West Bank and Gaza, Gaza strip",WBG_Gaza_strip_PS.GA_1292_WBG006,43.7,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"West Bank and Gaza, West Bank",WBG_West_Bank_PS.WB_3405_WBG017,22.3,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep.",YEM,34.78,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Abyan",YEM_Abyan_YE.AB_3407_YEM002,45.68,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Ad Dhale",YEM_Ad_Dhale_32704_5,44.24,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Aden",YEM_Aden_YE.AE_3409_YEM005,16.88,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Al Bayda",YEM_Al_Bayda_YE.BA_3410_YEM006,51.9,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Al Hudaydah",YEM_Al_Hudaydah_YE.HU_3411_YEM008,31.72,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Al Jawf",YEM_Al_Jawf_YE.JF_3412_YEM003,49.58,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Al Maharah",YEM_Al_Maharah_YE.MA_3413_YEM001,8.85,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Al Mahwit",YEM_Al_Mahwit_YE.MW_3414_YEM007,30.75,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Al Radmah",YEM_Al_Radmah_32879,34.07,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Amran",YEM_Amran_YE.AM_3415_YEM009,63.93,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Dhamar",YEM_Dhamar_YE.DH_3416_YEM014,25.84,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Hadramaut",YEM_Hadramaut_YE.HA_3417_YEM010,35.59,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Hajjah",YEM_Hajjah_YE.HJ_3418_YEM011,47.53,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Ibb",YEM_Ibb_YE.IB_3419_YEM012,30.07,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Lahj",YEM_Lahj_YE.LA_3420_YEM013,47.2,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Marib",YEM_Marib_YE.MR_3421_YEM015,45.88,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., S'adah",YEM_S-adah_YE.SA_3422_YEM017,16.55,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Sana'a",YEM_Sana-a_YE.SN_3423_YEM016,28.13,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Shabwah",YEM_Shabwah_YE.SH_3424_YEM018,54.13,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Yemen, Rep., Taizz",YEM_Taizz_YE.TA_3425_YEM019,37.8,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Egypt, Arab Rep., Lower",EGY_Lower_AGG088,16.7,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Egypt, Arab Rep., Upper",EGY_Upper_AGG088,39.1,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,El Salvador,SLV,42.5,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Bali, Prop.",IDN_Bali_ID.BA_1513_IDN002,8.51,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Banten, Prop.",IDN_Banten_ID.BT_73610_IDN031,12.34,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Bengkulu, Prop.",IDN_Bengkulu_ID.BE_1514_IDN003,20.74,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, DI Yogyakarta, Prop.",IDN_D_I_Yogyakarta_ID.DY_1515_IDN005,24.23,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Gorontalo, Prop.",IDN_Gorontalo_ID.GO_73611_IDN034,34.43,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Jambi, Prop.",IDN_Jambi_ID.JA_1518_IDN006,9.63,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Jawa Barat, Prop.",IDN_Jawa_Barat_ID.JB_73613_IDN035,16.62,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Jawa Tengah, Prop.",IDN_Jawa_Tengah_ID.JT_1520_IDN008,23.57,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Jawa Timur, Prop.",IDN_Jawa_Timur_ID.TI_1521_IDN009,24.19,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Kalimantan Barat, Prop.",IDN_Kalimantan_Barat_ID.KB_1522_IDN010,14.35,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Kalimantan selatan, Prop.",IDN_Kalimantan_Selatan_ID.KS_1523_IDN011,8.03,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Kalimantan Tengah, Prop.",IDN_Kalimantan_Tengah_ID.KT_1524_IDN012,12.84,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Kalimantan Timur, Prop.",IDN_Kalimantan_Timur_ID.KA_1525_IDN013,18.06,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Kepulauan Bangka-Belitung, Prop.",IDN_Bangka_Belitung_ID.BB_73609_IDN004,11.28,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Kepulauan Riau, Prop.",IDN_Kepulauan_Riau_ID.KR_73614_IDN017,12.26,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Lampung, Prop.",IDN_Lampung_ID.LA_1526_IDN014,21.78,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Maluku Utara, Prop.",IDN_Maluku_Utara_ID.MU_73616_IDN016,14.17,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Maluku, Prop.",IDN_Maluku_ID.MA_73615_IDN015,38.89,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Nanggroe Aceh Darussalam, Prop.",IDN_Nangroe_Aceh_Darussalam_ID.AD_1512_IDN020,32.6,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Nusa Tenggara Barat, Prop.",IDN_Nusa_Tenggara_Barat_ID.NB_1528_IDN022,22.03,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Nusa Tenggara Timur, Prop.",IDN_Nusa_Tenggara_Timur_ID.NT_1529_IDN025,30.46,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Papua, Prop.",IDN_Papua_ID.PA_73617_IDN030,50.16,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Riau, Prop.",IDN_Riau_ID.RI_73618_IDN037,16.82,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sulawesi Selatan, Prop.",IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,18.95,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sulawesi Tengah, Prop.",IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,23.76,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sulawesi Tenggara, Prop.",IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,25.56,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sulawesi Utara, Prop.",IDN_Sulawesi_Utara_ID.SU_73621_IDN024,12.7,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sumatera Barat, Prop.",IDN_Sumatera_Barat_ID.BR_1535_IDN026,10.08,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sumatera Selatan, Prop.",IDN_Sumatera_Selatan_ID.SM_73622_IDN027,20.9,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sumatera Utara, Prop.",IDN_Sumatera_Utara_ID.SA_1537_IDN028,16.4,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,Peru,PER,82.5,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Peru, Costa",PER_Costa_AGG233,66.9,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Peru, Lima Metropolitana",PER_Lima_Metropolitana_AGG234,42.4,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Peru, Selva",PER_Selva_AGG235,82.4,2005-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Peru, Sierra",PER_Sierra_AGG230,85.4,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Egypt, Arab Rep., Lower",EGY_Lower_AGG088,9.0,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Egypt, Arab Rep., Metropolitan",EGY_Metropolitan_AGG094,5.7,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Egypt, Arab Rep., Upper",EGY_Upper_AGG088,18.6,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,El Salvador,SLV,31.9,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Bali, Prop.",IDN_Bali_ID.BA_1513_IDN002,5.4,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Banten, Prop.",IDN_Banten_ID.BT_73610_IDN031,6.56,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Bengkulu, Prop.",IDN_Bengkulu_ID.BE_1514_IDN003,24.84,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, DI Yogyakarta, Prop.",IDN_D_I_Yogyakarta_ID.DY_1515_IDN005,16.02,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, DKI Jakarta, Prop.",IDN_Dki_Jakarta_ID.DJ_1516_IDN007,3.61,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Gorontalo, Prop.",IDN_Gorontalo_ID.GO_73611_IDN034,17.23,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Jambi, Prop.",IDN_Jambi_ID.JA_1518_IDN006,16.58,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Jawa Barat, Prop.",IDN_Jawa_Barat_ID.JB_73613_IDN035,10.57,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Jawa Tengah, Prop.",IDN_Jawa_Tengah_ID.JT_1520_IDN008,17.24,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Jawa Timur, Prop.",IDN_Jawa_Timur_ID.TI_1521_IDN009,15.52,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Kalimantan Barat, Prop.",IDN_Kalimantan_Barat_ID.KB_1522_IDN010,13.95,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Kalimantan selatan, Prop.",IDN_Kalimantan_Selatan_ID.KS_1523_IDN011,6.09,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Kalimantan Tengah, Prop.",IDN_Kalimantan_Tengah_ID.KT_1524_IDN012,6.62,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Kalimantan Timur, Prop.",IDN_Kalimantan_Timur_ID.KA_1525_IDN013,6.02,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Kepulauan Bangka-Belitung, Prop.",IDN_Bangka_Belitung_ID.BB_73609_IDN004,8.05,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Kepulauan Riau, Prop.",IDN_Kepulauan_Riau_ID.KR_73614_IDN017,9.83,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Lampung, Prop.",IDN_Lampung_ID.LA_1526_IDN014,20.46,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Maluku Utara, Prop.",IDN_Maluku_Utara_ID.MU_73616_IDN016,10.99,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Maluku, Prop.",IDN_Maluku_ID.MA_73615_IDN015,13.57,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Nanggroe Aceh Darussalam, Prop.",IDN_Nangroe_Aceh_Darussalam_ID.AD_1512_IDN020,19.04,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Nusa Tenggara Barat, Prop.",IDN_Nusa_Tenggara_Barat_ID.NB_1528_IDN022,31.31,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Nusa Tenggara Timur, Prop.",IDN_Nusa_Tenggara_Timur_ID.NT_1529_IDN025,17.85,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Papua, Prop.",IDN_Papua_ID.PA_73617_IDN030,9.23,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Riau, Prop.",IDN_Riau_ID.RI_73618_IDN037,8.26,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Sulawesi Selatan, Prop.",IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,6.61,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Sulawesi Tengah, Prop.",IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,14.41,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Sulawesi Tenggara, Prop.",IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,7.7,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Sulawesi Utara, Prop.",IDN_Sulawesi_Utara_ID.SU_73621_IDN024,4.96,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Sumatera Barat, Prop.",IDN_Sumatera_Barat_ID.BR_1535_IDN026,12.45,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Sumatera Selatan, Prop.",IDN_Sumatera_Selatan_ID.SM_73622_IDN027,21.19,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Sumatera Utara, Prop.",IDN_Sumatera_Utara_ID.SA_1537_IDN028,12.67,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,Peru,PER,44.5,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Peru, Costa",PER_Costa_AGG233,43.2,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Peru, Lima Metropolitana",PER_Lima_Metropolitana_AGG234,42.4,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Peru, Selva",PER_Selva_AGG235,58.4,2005-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Peru, Sierra",PER_Sierra_AGG230,44.0,2005-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Chile,CHL,13.7,2006-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Antofagasta",CHL_Antofagasta_CL.AN_883_CHL001,7.3,2006-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Araucania",CHL_Araucania_CL.AR_884_CHL002,20.1,2006-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Arica",CHL_Arica_12974,18.6,2006-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Atacama",CHL_Atacama_CL.AT_885_CHL003,10.5,2006-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Aysen Del Gen.d.c.",CHL_Aysen_Del_Gen.d.c_CL.AY_886_CHL004,9.2,2006-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Bio Bio",CHL_Bio_Bio_CL.BO_887_CHL005,20.7,2006-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Coquimbo",CHL_Coquimbo_CL.CO_888_CHL006,15.9,2006-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Libertador General Bernardo O'Higgins",CHL_Libertador_Bernardo_O_Higgins_CL.CL_889_CHL007,11.4,2006-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Los Lagos",CHL_Los_Lagos_CL.LL_890_CHL008,11.8,2006-01-01
