Date de vérification,Numéro de référence de l’installation,Titulaire de permis ,Nom commun du site,Latitude,Longitude,Zone visée sur l'aquaculture des poissons,Espèces,Nombre de carcasses évaluées,Nombre de résultats de RCP positifs concernant le VNHI,Nombre de résultats positifs concernant le VNPI,Nombre de résultats positifs concernant le VAIS,Nombre de résultats positifs concernant le VSHV ,Nombre de résultats positifs concernant le VAS ,Nombre de résultats positifs concernant le PRSal ,Nombre de résultats positifs concernant le VMCP,Agents pathogènes bactériens isolés par culture (nombre de poissons),Confirmation histopathologique de la maladie ou de l’agent pathogène (nombre de poissons),Diagnostic vétérinaire à l’échelle de l’exploitation,Affections à considérer (nombre de poissons)
25 juil. 2013,408,Grieg Seafood BC,Kunechin,49.6339,-123.78337,Sunshine Coast, Saumon Coho (Oncorhynchus kisutch),5,Non,Non,Non,Non,Non,Non,s/o,,Branchite avec Loma (Microsporidia) (1),Aucune maladie importante présente à l’échelle de la population,
29 juil. 2013,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Blessure mécanique,
30 juil. 2013,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,Saumon Atlantique (Salmo salar),1,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
30 juil. 2013,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,Port Hardy,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
31 juil. 2013,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Baie Quatsino,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
31 juil. 2013,1237,Marine Harvest Canada,Monday Rocks,50.48568,-127.87265,Baie Quatsino,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,Non,Non,s/o,,,Aucune mortalité significative au niveau de la population,
1 août 2013,1144,Mainstream Canada,Burdwood,50.7969,-126.49581,Archipel Broughton,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (1); Encéphalite sans agent (1),Aucune mortalité significative au niveau de la population,Cardiomyopathie (2)
26 août 2013,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Archipel Broughton,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
27 août 2013,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,Côte centrale,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
27 août 2013,1895,Marine Harvest Canada,Sheep Passage,52.79609,-128.31093,Côte centrale,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
28 août 2013,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Archipel Broughton,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,,MBR avec bactérie semblable au Renibacterium (1); Encéphalite microsporidie (1),Aucune maladie importante présente à l’échelle de la population,
28 août 2013,1618,Marine Harvest Canada,Humphrey Rock,50.69682,-126.25532,Archipel Broughton,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
6 sept. 2013,216,Yellow Island Aquaculture,Yellow Island,50.13274,-125.33268,Passage Discovery,Saumon Quinnat (Oncorhynchus tshawytcha),9,Non,Non,Non,Non,Non,Non,s/o,Vibrio ordalii (3),MBR avec bactérie semblable au Renibacterium (1); Branchite avec Loma (Microsporidia) (2); Encéphalite microsporidie (1),Microsporidie des ouïes; Vibriose; Maladie bactérienne du rein,
9 sept. 2013,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,Baie Clayoquot,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
10 sept. 2013,227,Mainstream Canada,Bawden,49.30798,-126.00721,Baie Clayoquot,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
10 sept. 2013,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Oui,s/o,,,Aucune maladie importante présente à l’échelle de la population,
11 sept. 2013,526,Mainstream Canada,Rant Point,49.2567,-125.84153,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (2),Aucune maladie importante présente à l’échelle de la population,
11 sept. 2013,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (3),Aucune maladie importante présente à l’échelle de la population,
11 sept. 2013,527,Mainstream Canada,Saranac Island,49.24803,-125.90671,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (4),Septicémie rickettsienne des salmonidés,
12 sept. 2013,244,Creative Salmon Company,Eagle Bay,49.12945,-125.71093,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),8,Non,Non,Non,Non,Non,Non,s/o,,MBR avec bactérie semblable au Renibacterium (2); Branchite avec Loma (Microsporidia) (1),Maladie bactérienne du rein (de bas niveau); Microsporidie des ouïes,
12 sept. 2013,1419,Creative Salmon Company,McCall Islets,49.14146,-125.73122,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),8,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (1); MBR avec bactérie semblable au Renibacterium (3); Branchite avec Loma (Microsporidia) (2); Encéphalite microsporidie (2),Maladie bactérienne du rein; Microsporidie des ouïes,Mycose splénique (1)
20 sept. 2013,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Archipel Broughton,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
20 sept. 2013,821,Marine Harvest Canada,Glacier Falls,50.84785,-126.31921,Archipel Broughton,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
7 oct. 2013,1401,Mainstream Canada,Brent Island,50.28613,-125.34917,Passage Discovery,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Aucune mortalité significative au niveau de la population,Cardiomyopathie (4)
9 oct. 2013,456,Saltstream Engineering,Doctor Bay,50.2521,-124.81957,Passage Discovery,Saumon Quinnat (Oncorhynchus tshawytcha),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
24 oct. 2013,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (1),Pourriture de la bouche,
24 oct. 2013,332,Grieg Seafood BC,Salten,49.61535,-123.83407,Sunshine Coast,Saumon Quinnat (Oncorhynchus tshawytcha),1,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
24 oct. 2013,746,Grieg Seafood BC,Site 13,49.6291,-123.84265,Sunshine Coast,Saumon Quinnat (Oncorhynchus tshawytcha),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
28 oct. 2013,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Passage Discovery,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
29 oct. 2013,141,Marine Harvest Canada,Port Elizabeth,50.67099,-126.47653,Archipel Broughton,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
29 oct. 2013,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Archipel Broughton,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
30 oct. 2013,1237,Marine Harvest Canada,Monday Rocks,50.48568,-127.87265,Baie Quatsino,Saumon Atlantique (Salmo salar),12,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (1),Aucune mortalité significative au niveau de la population,Les amibes dans les branchies (associé à des lésions prolifératives) (2)
30 oct. 2013,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Baie Quatsino,Saumon Atlantique (Salmo salar),9,Non,Non,Non,Non,Non,Non,s/o,,Dermatite ulcéreuse (1),Aucune maladie importante présente à l’échelle de la population,
31 oct. 2013,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (2),Pourriture de la bouche,
14 nov. 2013,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Baie Nootka,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
19 nov. 2013,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Archipel Broughton,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
20 nov. 2013,728,Cermaq Canada,Sir Edmund Bay,50.83096,-126.59684,Archipel Broughton,Saumon Atlantique (Salmo salar),12,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (2),Pourriture de la bouche,
20 nov. 2013,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Archipel Broughton,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
20 nov. 2013,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,Archipel Broughton,Saumon Atlantique (Salmo salar),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
21 nov. 2013,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,Côte centrale,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
21 nov. 2013,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,Côte centrale,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
22 nov. 2013,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Archipel Broughton,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,Moritella viscosa (1); Aliivibrio wodanis (1),MBR avec bactérie semblable au Renibacterium (1),Aucune maladie importante présente à l’échelle de la population,
22 nov. 2013,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Archipel Broughton,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Non,s/o,,,Sans conclusion; mortalité élevée possiblement associée au niveau plus faible d'oxygène dissous,
3 déc. 2013,1472,Cermaq Canada,West Side,49.27928,-125.83065,Baie Clayoquot,Saumon Atlantique (Salmo salar),12,Non,Non,Non,Non,Non,Oui,s/o,,Stomatite ulcéro-membraneuse (5); SRS avec la bactérie Piscirickettsia (3); Dermatite ulcéreuse (1),Pourriture de la bouche,
3 déc. 2013,6668,Cermaq Canada,Plover Point,49.21433,-125.76693,Baie Clayoquot,Saumon Atlantique (Salmo salar),11,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (8),Septicémie rickettsienne des salmonidés,
4 déc. 2013,543,Cermaq Canada,Mussel Rock,49.25925,-125.86762,Baie Clayoquot,Saumon Atlantique (Salmo salar),12,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (6),Septicémie rickettsienne des salmonidés,
4 déc. 2013,527,Cermaq Canada,Saranac Island,49.24803,-125.90671,Baie Clayoquot,Saumon Atlantique (Salmo salar),12,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (9),Septicémie rickettsienne des salmonidés,
5 déc. 2013,1419,Creative Salmon Company,McCall Islets,49.14146,-125.73122,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),8,Non,Non,Non,Non,Non,Non,s/o,,MBR avec bactérie semblable au Renibacterium (4); Branchite avec Loma (Microsporidia) (1),Maladie bactérienne du rein,
5 déc. 2013,1596,Creative Salmon Company,Dawley Pass,49.16641,-125.7686,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),2,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
5 déc. 2013,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
6 déc. 2013,227,Cermaq Canada,Bawden,49.30798,-126.00721,Baie Clayoquot,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,SRS avec la bactérie Piscirickettsia (1),Aucune maladie importante présente à l’échelle de la population,
6 déc. 2013,314,Cermaq Canada,Ross Pass,49.32437,-126.04849,Baie Clayoquot,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
13 déc. 2013,216,Yellow Island Aquaculture,Yellow Island,50.13274,-125.33268,Passage Discovery,Saumon Quinnat (Oncorhynchus tshawytcha),5,Non,Non,Non,Non,Non,Non,s/o,Vibrio ordalii (1); Aliivibrio sifiae (1); Psychrobacter sp. (1),Encéphalite microsporidie (2),Microsporidie des ouïes; Vibriose; Maladie bactérienne du rein,
20 janv. 2014,304,Cermaq Canada,Raza Island,50.32159,-125.00882,Passage Discovery,Saumon Atlantique (Salmo salar),9,Non,Non,Non,Non,Non,Non,s/o,Moritella viscosa (1),Dermatite ulcéreuse (2); Stomatite ulcéro-membraneuse (1),Pourriture de la bouche; Maladie des ulcères hivernaux,Cardiomyopathie (2); Maladie du foie des parcs en filet (2)
20 janv. 2014,306,Cermaq Canada,Venture Point,50.30241,-125.33778,Passage Discovery,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
23 janv. 2014,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,Bras Esperanza,Saumon Atlantique (Salmo salar),11,Non,Non,Non,Non,Non,Non,s/o,,Dermatite ulcéreuse (3),Aucune maladie importante présente à l’échelle de la population,
24 janv. 2014,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Baie Nootka,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Dermatite ulcéreuse (1); Encéphalite microsporidie (2) ,Aucune mortalité significative au niveau de la population,Netpen liver disease (1) 
3 févr. 2014,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.5681,Archipel Broughton,Saumon Atlantique (Salmo salar),12,Non,Non,Non,Non,Non,Non,s/o,Moritella viscosa (1),Dermatite ulcéreuse (3); Stomatite ulcéro-membraneuse (4),Maladie des ulcères hivernaux,
4 févr. 2014,143,Marine Harvest Canada,Larsen Island,50.60175,-126.63284,Archipel Broughton,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (3),Pourriture de la bouche,
4 févr. 2014,1144,Cermaq Canada,Burdwood,50.7969,-126.49581,Archipel Broughton,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,Moritella viscosa (1),Dermatite ulcéreuse (2),Maladie des ulcères hivernaux,
5 févr. 2014,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Archipel Broughton,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
6 févr. 2014,1351,Marine Harvest Canada,Marsh Bay,50.90567,-127.34239,Port Hardy,Saumon Atlantique (Salmo salar),1,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
7 févr. 2014,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Archipel Broughton,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,Moritella viscosa (1),Dermatite ulcéreuse (1),Aucune maladie importante présente à l’échelle de la population,
13 févr. 2014,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Dermatite ulcéreuse (1); Pourriture de la bouche (6),Aucune maladie importante présente à l’échelle de la population,
13 févr. 2014,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast, Saumon Coho (Oncorhynchus kisutch),1,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
18 févr. 2014,1338,Marine Harvest Canada,Mahatta East,50.47527,-127.79038,Baie Quatsino,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
18 févr. 2014,1237,Marine Harvest Canada,Monday Rocks,50.48568,-127.87265,Baie Quatsino,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
18 févr. 2014,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Baie Quatsino,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
3 mars 2014,6668,Cermaq Canada,Plover Point,49.21433,-125.76693,Baie Clayoquot,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
4 mars 2014,234,Cermaq Canada,Dixon Bay,49.40478,-126.15072,Baie Clayoquot,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Encéphalite microsporidie (2); Maladie du foie des parcs en filet (4),Aucune maladie causant une importante mortalité,Netpen liver disease (4) 
4 mars 2014,314,Cermaq Canada,Ross Pass,49.32437,-126.04849,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,Moritella viscosa (2),Maladie des ulcères hivernaux (présuméé) (2),Aucune maladie importante présente à l’échelle de la population,
5 mars 2014,540,Cermaq Canada,Fortune Channel,49.23503,-125.75174,Baie Clayoquot,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (3),Aucune maladie importante présente à l’échelle de la population,Cardiomyopathie (1)
5 mars 2014,1472,Cermaq Canada,West Side,49.27928,-125.83065,Baie Clayoquot,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
5 mars 2014,543,Cermaq Canada,Mussel Rock,49.25925,-125.86762,Baie Clayoquot,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (1),Aucune maladie importante présente à l’échelle de la population,
6 mars 2014,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),12,Non,Non,Non,Non,Non,Non,s/o,,Syndrome de la jaunisse (3),Aucune maladie importante présente à l’échelle de la population,
6 mars 2014,1419,Creative Salmon Company,McCall Islets,49.14146,-125.73122,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),9,Non,Non,Non,Non,Non,Non,s/o,,MBR avec bactérie semblable au Renibacterium (2),Ouvert: cause de mortalité de bas niveau inconnue,
11 mars 2014,211,Marine Harvest Canada,Okisollo,50.30946,-125.31618,Passage Discovery,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
20 mars 2014,221,Grieg Seafood BC,Vantage,49.67226,-123.86019,Sunshine Coast, Saumon Coho (Oncorhynchus kisutch),3,Non,Non,Non,Non,Non,Non,s/o,,Branchite avec Loma (Microsporidia) (1),Aucune maladie importante présente à l’échelle de la population,
20 mars 2014,412,Grieg Seafood BC,Site 9,49.64612,-123.72455,Sunshine Coast, Saumon Coho (Oncorhynchus kisutch),2,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (1); Lésions des branchies de cause inconnue (1),Aucune maladie importante présente à l’échelle de la population,
21 mars 2014,216,Yellow Island Aquaculture,Yellow Island,50.13274,-125.33268,Passage Discovery,Saumon Quinnat (Oncorhynchus tshawytcha),5,Non,Non,Non,Non,Non,Non,s/o,,MBR avec bactérie semblable au Renibacterium (2),Maladie bactérienne du rein,
8 avr. 2014,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Passage Discovery,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,Non,Non,s/o,,MBR avec bactérie semblable au Renibacterium (1),Aucune maladie importante présente à l’échelle de la population,
10 avr. 2014,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Baie Nootka,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,,Encéphalite microsporidie (2),Aucune maladie importante présente à l’échelle de la population,Lésions des branchies de cause inconnue (2)
28 avr. 2014,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.5681,Archipel Broughton,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Dermatite ulcéreuse (2); Stomatite ulcéro-membraneuse (4),Aucune maladie importante présente à l’échelle de la population,
30 avr. 2014,1144,Cermaq Canada,Burdwood,50.7969,-126.49581,Archipel Broughton,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,,Encéphalite microsporidie (1); Infection micro-organisme Myxozoa non identifié (1),Aucune maladie importante présente à l’échelle de la population,
30 avr. 2014,728,Cermaq Canada,Sir Edmund Bay,50.83096,-126.59684,Archipel Broughton,Saumon Atlantique (Salmo salar),12,Non,Non,Non,Oui,Non,Non,s/o,,Stomatite ulcéro-membraneuse (6),Aucune maladie importante présente à l’échelle de la population,
1 mai 2014,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Archipel Broughton,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
1 mai 2014,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Archipel Broughton,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Oui,Non,Non,s/o,,SHV (1),Aucune maladie importante présente à l’échelle de la population,
2 mai 2014,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,Archipel Broughton,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
12 mai 2014,1336,Cermaq Canada,Simmonds Point,50.87791,-126.90153,Archipel Broughton,Saumon Atlantique (Salmo salar),11,Non,Non,Non,Non,Non,Non,s/o,,Dermatite ulcéreuse (1),Maladie des ulcères hivernaux,
13 mai 2014,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Dermatite ulcéreuse (1); MBR avec bactérie semblable au Renibacterium (5) ,Maladie bactérienne du rein,
13 mai 2014,831,Marine Harvest Canada,Shelter Pass,50.88414,-127.5004,Port Hardy,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (5),Pourriture de la bouche,
14 mai 2014,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,Côte centrale,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (3),Aucune maladie importante présente à l’échelle de la population,
14 mai 2014,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.4199,Côte centrale,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
15 mai 2014,1238,Marine Harvest Canada,Mahatta West,50.83427,-127.47113,Baie Quatsino,Saumon Atlantique (Salmo salar),12,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (2),Pourriture de la bouche,
16 mai 2014,1237,Marine Harvest Canada,Monday Rocks,50.48568,-127.87265,Baie Quatsino,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,,MBR avec bactérie semblable au Renibacterium (3),Aucune maladie importante présente à l’échelle de la population,
16 mai 2014,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Baie Quatsino,Saumon Atlantique (Salmo salar),1,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
29 mai 2014,221,Grieg Seafood BC,Vantage,49.67226,-123.86019,Sunshine Coast, Saumon Coho (Oncorhynchus kisutch),4,Non,Non,Non,Non,Non,Non,s/o,,MBR avec bactérie semblable au Renibacterium (2),Aucune maladie importante présente à l’échelle de la population,
29 mai 2014,412,Grieg Seafood BC,Site 9,49.64612,-123.72455,Sunshine Coast,Saumon Quinnat (Oncorhynchus tshawytcha),2,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
29 mai 2014,746,Grieg Seafood BC,Site 13,49.6291,-123.84265,Sunshine Coast,Saumon Quinnat (Oncorhynchus tshawytcha),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
2 juin 2014,227,Cermaq Canada,Bawden,49.30798,-126.00721,Baie Clayoquot,Saumon Atlantique (Salmo salar),12,Non,Non,Non,Non,Non,Non,s/o,,Encéphalite microsporidie (1),Aucune maladie importante présente à l’échelle de la population,
2 juin 2014,1507,Cermaq Canada,Millar Channel,49.37622,-126.09003,Baie Clayoquot,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,Encéphalite microsporidie (1),Aucune mortalité significative au niveau de la population,
3 juin 2014,314,Cermaq Canada,Ross Pass,49.32437,-126.04849,Baie Clayoquot,Saumon Atlantique (Salmo salar),12,Non,Non,Non,Non,Non,Non,s/o,,,Sans conclusion; mortalité élevée possiblement associée au niveau plus faible d'oxygène dissous,
4 juin 2014,1472,Cermaq Canada,West Side,49.27928,-125.83065,Baie Clayoquot,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Mortalité de bas niveau associée à la manipulation et au plancton,Cardiomyopathie (2)
4 juin 2014,1291,Cermaq Canada,McIntyre Lake,49.30557,-125.81583,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
5 juin 2014,1596,Creative Salmon Company,Dawley Pass,49.16641,-125.7686,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),1,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
5 juin 2014,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),11,Non,Non,Non,Non,Non,Non,s/o,,,Ouvert: cause de mortalité de bas niveau inconnue,
