Identification de l'installation/ Facility Identification,Nom du propriétaire/ Owner Name,Nom du système / System Name,Ville/ City,Province (Anglais)/ Province (English),Province (Français) / Province (French),Code postal/ Postal Code,Type de propriétaire (Anglais) / Owner Type (English),Type de propriétaire (Français)/ Owner Type (French),Type d'exploitant (Anglais)/ Operator Type (English),Type d'exploitant  (Français) / Operator Type (French),Volume journalier moyen de l'effluent (m3) / Average Daily Effluent Volume (m3),Méthode de calcul (Anglais) / Method of Calculation (English),Méthode de calcul  (Français)/ Method of Calculation (French),Description de la méthode de calcul/ Description of Calculation Method ,Indicateur - Utilisation de chlore (Anglais)/ Chlorine Use Indicator (English),Indicateur - Utilisation de chlore (Français) / Chlorine Use Indicator (French),Type du système (Anglais)/ System Type (English),Type du système (Français)/ System Type (French),Types de traitement (Anglais)/ Treatment Types (English),Types de traitement (Français)/ Treatment Types (French),Description des autres traitements / Other Treatment Description,Description du lieu de rejet (Anglais) / Discharge Place Description (English),Description du lieu de rejet (Français) / Discharge Place Description (French),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Anglais)/ Is the hydraulic retention time 5 days or more? (English),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Français) / Is the hydraulic retention time 5 days or more? (French),Fréquence de reportage (Anglais)/ Reporting Frequency (English),Fréquence de reportage (Français) / Reporting Frequency (French),Périodes decalcul (Anglais)/ Averaging Period (English),Périodes de calcul (Français) / Averaging Period (French),Latitude/ Latitude,Longitude/ Longitude,Statut de Vérification du point (Anglais)/ Verification status of the point (English),Statut de Vérification du point (Français)/ Verification status of the point (French),Type de point (Anglais)/ Type of Point (English),Type de point (Français) / Type of Point (French),Nom de la masse d'eau fréquentée par les poissons/ Name of body of water frequented by fish,Nom de la masse d'eau au point d'entrée/ Name of the water at point of entry, Description de l'utilisation de l'eau (Anglais)/ Description of use of water (English),Description de l'utilisation de l'eau (Français)/ Description of use of water (French),Description des eaux fréquentées par les poisons (Anglais) / Description of water frequented by fish (English),Description des eaux fréquentées par les poisons (Français)/ Description of water frequented by fish (French),État du système (Anglais)/ System status (English),État du système (Français)/ System status (French)
25981.0,Village of Hines Creek,Village of Hines Creek lagoons,Hines Creek,Alberta,Alberta,T0H 2A0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,160.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds","Étang aérobique, Étang anaérobique, Étang facultatif, Étang non aéré, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Annually,Annuel,Annually,Annuel,56.2589,-118.6092,Estimated,Estimé,Final Discharge Point,Point de rejet final,Jack Creek,Effluent,Other,Autre,Other,Autre,operational,opérationnel
30527.0,Village of Hythe,Hythe Lagoon,Hythe,Alberta,Alberta,T0H 2C0,Provincial,Provincial,Provincial,Provincial,220.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Intermittent,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, No treatment","Étang aérobique, Étang anaérobique, Étang facultatif, Étang non aéré, Aucun traitement",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,55.3314,-119.5725,Verified,Vérifié,Final Discharge Point,Point de rejet final,Beaverlodge river,Beaverlodge river,Agriculture (e.g irrigation),Agriculture (irrigation),Watercourse with bulk flow ratio < 10,Cours d'eau avec un coefficient de débit brut < 10,operational,opérationnel
25646.0,village of kitscoty,kitscoty lagoons,kitscoty,Alberta,Alberta,T0B2P0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,1012.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Intermittent,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds","Étang aérobique, Étang anaérobique, Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,53.3512,-110.3233,Verified,Vérifié,Final Discharge Point,Point de rejet final,vermilion river,,Other,Autre,Other,Autre,operational,opérationnel
26299.0,Village of Linden,Village of Linden Wastewater Lagoon,Linden,Alberta,Alberta,T0M 1J0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,192.1,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Intermittent,Intermittent,Lagoon - Facultative,Étang facultatif,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,51.5808,-113.4841,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,Agriculture (e.g irrigation),Agriculture (irrigation),Watercourse with bulk flow ratio < 10,Cours d'eau avec un coefficient de débit brut < 10,operational,opérationnel
29543.0,Village of Mannville,Mannville Lagoon,County of Minburn,Alberta,Alberta,T0B 2W0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,242.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Intermittent,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds, Polishing Ponds","Étang aérobique, Étang anaérobique, Étang facultatif, Étang non aéré, Bassin de stockage, Étangs de polissage",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,53.3369,-111.1781,Estimated,Estimé,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
25582.0,Village of Marwayne,Marwayne Lagoon,Marwayne,Alberta,Alberta,T0B 2X0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,221.1,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds","Étang anaérobique, Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,53.5304,-110.357,Verified,Vérifié,Final Discharge Point,Point de rejet final,Vermilion River,Vermilion River,Other,Autre,Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
24832.0,Village of Rosemary,Rosemary Wastewaterworks,Rosemary,Alberta,Alberta,T0J2W0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,100.0,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Intermittent,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds","Étang aérobique, Étang anaérobique, Étang facultatif, Étang non aéré, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,50.7621,-112.0723,Verified,Vérifié,Final Discharge Point,Point de rejet final,Red Deer River,Matziwin Creek,Agriculture (e.g irrigation),Agriculture (irrigation),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
23827.0,Village of Rycroft,Rycroft Wastewater Lagoon,Village of Rycroft,Alberta,Alberta,T0H3A0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,190.0,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,Flow is based on 80% of measured Potable water Effluent,No,Non,Intermittent,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated","Étang anaérobique, Étang facultatif, Étang non aéré",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,55.7605,-118.7123,Estimated,Estimé,Final Discharge Point,Point de rejet final,Peace River,Spirit River Tributary to the Peace River,Other,Autre,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
43878.0,Village of Wabamun,Village of Wabamun Waste Water Lagoon,Wabamun,Alberta,Alberta,T0E2K0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,200.0,Estimate based on the measured rate of effluent flow,Estimations fondée sur la mesure du débit de l'effluent,,No,Non,Intermittent,Intermittent,"Screening, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds","Dégrillage, Étang anaérobique, Étang facultatif, Étang non aéré, Bassin de stockage",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Annually,Annuel,Annually,Annuel,53.3557,-114.2847,Estimated,Estimé,Final Discharge Point,Point de rejet final,Mission Creek,Mission Creek,Other,Autre,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
29779.0,Village of Warburg,Warburg Lagoon,Warburg,Alberta,Alberta,T0C 2T0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,170.0,Estimate based on the measured rate of effluent flow,Estimations fondée sur la mesure du débit de l'effluent,,No,Non,Intermittent,Intermittent,"Chemical Flocculation, Primary Sedimentation/Clarification, Skimming, Extended Aeration Activated Sludge, Lagoons - Aerated, Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds, Other Treatment","Floculation chimique, Sédimentation/clarification primaire, Écrémage, Boues activées par aération prolongée, Étangs aérés, Étang aérobique, Étang anaérobique, Étang facultatif, Bassin de stockage, Autre",Microbes,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,53.1908,-114.3103,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,Agriculture (e.g irrigation),Agriculture (irrigation),Natural wetland,Milieu humide naturel,operational,opérationnel
24126.0,Westend Regional Sewage Services Commission,Westend Regional Sewage Facility,Black Diamond,Alberta,Alberta,T0L0H0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,380.9,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Continuous,Continu,"Lagoon - Aerobic, Lagoon - Facultative, Polishing Ponds","Étang aérobique, Étang facultatif, Étangs de polissage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Annually,Annuel,50.6978,-114.2252,Verified,Vérifié,Final Discharge Point,Point de rejet final,Sheep River,Sheep River,Contact recreational (e.g. swimming),Contact récréatif (baignade),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
26875.0,Whitefish Atikameg,Whitefish Lagoon 7512,Atikameg,Alberta,Alberta,T0G0C0,,,,,168.0,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Intermittent,Intermittent,"Primary Sedimentation/Clarification, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds","Sédimentation/clarification primaire, Étang anaérobique, Étang facultatif, Étang non aéré, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,55.9037,-115.6145,Verified,Vérifié,Final Discharge Point,Point de rejet final,Atikameg Lake,Atikameg Lake,Sport fishing,Pêche sportive,Natural lake,Lac naturel,operational,opérationnel
26953.0,Whitefish Lake 128,Goodfish Lagoon,Goodfish Lake,Alberta,Alberta,T0A1R0,,,,,230.0,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,"Based on 1/3 of the volume of treated water going out into community, and volume brought in by sewage trucks",No,Non,Intermittent,Intermittent,"Screening, Primary Sedimentation/Clarification, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds","Dégrillage, Sédimentation/clarification primaire, Étang anaérobique, Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,54.3035,-111.7834,Verified,Vérifié,Final Discharge Point,Point de rejet final,Whitefish Lake,Unnamed Creek,Other,Autre,Natural lake,Lac naturel,operational,opérationnel
29491.0,Yellowhead County,Evansburg Wastewater,Evansburg,Alberta,Alberta,T0E 0M0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,236.0,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,measurements taken at drain start and drain end. volumes calculated from that.,No,Non,Intermittent,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds","Étang anaérobique, Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,53.6015,-114.9765,Estimated,Estimé,Final Discharge Point,Point de rejet final,Lobstick River,Lobstick River,Contact recreational (e.g. swimming),Contact récréatif (baignade),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
29534.0,Yellowhead County,Peers Wastewater,Peers,Alberta,Alberta,T0E 1W0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,81.0,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,"measurements of cell taken before and after drain, and volume is calculated from that",No,Non,Intermittent,Intermittent,Lagoon - Non-aerated,Étang non aéré,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Non-applicable,Non applicable,Non-applicable,Non applicable,53.6592,-115.9969,Verified,Vérifié,Final Discharge Point,Point de rejet final,McLoed River,January Creek,Other,Autre,Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
29535.0,Yellowhead County,Robb Wastewater,Robb,Alberta,Alberta,T0E 1X0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,64.0,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,storage cell volumes calculated from measurements,No,Non,Intermittent,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds","Étang anaérobique, Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Non-applicable,Non applicable,Non-applicable,Non applicable,53.2449,-116.9679,Verified,Vérifié,Final Discharge Point,Point de rejet final,Embarras River,no name,Other,Autre,Other,Autre,operational,opérationnel
29490.0,Yellowhead County,Wildwood Wastewater,Wildwood,Alberta,Alberta,T0E 2M0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,113.0,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,measurements taken at start and end of drain period and volumes calculated from those measurements.,No,Non,Intermittent,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds","Étang anaérobique, Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,53.6214,-115.2542,Verified,Vérifié,Final Discharge Point,Point de rejet final,Lobstick River,Lobstick River,Contact recreational (e.g. swimming),Contact récréatif (baignade),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
25629.0,Ahousaht First Nation,Ahousaht Pump Station,Ahousaht,British Columbia,Colombie-Britannique,V0R1A0,,,,,283.0,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Continuous,Continu,Other Treatment,Autre,Septic tank,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,49.2785,-126.0556,Verified,Vérifié,Final Discharge Point,Point de rejet final,Miller Channel,Miller Channel,Other recreational (e.g. boating),Autre contact récréatif (bateau),Open marine waters,Eaux libres en milieu marin,operational,opérationnel
25882.0,Blueberry River First Nation,Blueberry Aerated Lagoon,Buick Creek,British Columbia,Colombie-Britannique,V0C 2R0,,,,,90.0,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Continuous,Continu,Lagoons - Aerated,Étangs aérés,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Non-applicable,Non applicable,Non-applicable,Non applicable,56.6973,-121.1049,Verified,Vérifié,Final Discharge Point,Point de rejet final,Oxbow Lake,,Other recreational (e.g. boating),Autre contact récréatif (bateau),Natural lake,Lac naturel,operational,opérationnel
27361.0,Bowen Island Municipality,Snug Cove WWTP,Bowen Island,British Columbia,Colombie-Britannique,V0N 1G1,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,70.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Extended Aeration Activated Sludge, Biological Nitrogen Removal - Nitrification and Denitrification","Dégrillage, Boues activées par aération prolongée, Élimination biologique de l'azote - Nitrification et dénitrification",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Non-applicable,Non applicable,Non-applicable,Non applicable,49.3767,-123.3379,Estimated,Estimé,Final Discharge Point,Point de rejet final,Pacific Ocean,Horseshoe Bay,Other,Autre,Enclosed bay,Baie enclavée,operational,opérationnel
25841.0,Camp Qwanoes,Camp Qwanoes,Crofton,British Columbia,Colombie-Britannique,V0R1R0,Other,Autre,Other,Autre,30.0,Estimate based on the measured rate of effluent flow,Estimations fondée sur la mesure du débit de l'effluent,,No,Non,Continuous,Continu,"Primary Sedimentation/Clarification, Extended Aeration Activated Sludge","Sédimentation/clarification primaire, Boues activées par aération prolongée",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Non-applicable,Non applicable,Non-applicable,Non applicable,48.8554,-123.6171,Verified,Vérifié,Final Discharge Point,Point de rejet final,Straight of Georgia,Straight of Georgia,Other recreational (e.g. boating),Autre contact récréatif (bateau),Open marine waters,Eaux libres en milieu marin,operational,opérationnel
24317.0,Cape Mudge Band,Cape Mudge Band Aerated Lagoon,Cape Mudge Village,British Columbia,Colombie-Britannique,V0P 1N0,,,,,65.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Continuous,Continu,Lagoons - Aerated,Étangs aérés,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Non-applicable,Non applicable,Non-applicable,Non applicable,50.0188,-125.195,Verified,Vérifié,Final Discharge Point,Point de rejet final,Discovery Passage,,Other,Autre,,,operational,opérationnel
23626.0,Capital Regional District,Cannon Crescent (Magic Lake) Wastewater Treatment Plant,Pender Island,British Columbia,Colombie-Britannique,V0N 2M2,Other,Autre,Other,Autre,52.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,Extended Aeration Activated Sludge,Boues activées par aération prolongée,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Non-applicable,Non applicable,Non-applicable,Non applicable,48.7574,-123.2824,Verified,Vérifié,Final Discharge Point,Point de rejet final,Swanson Channel,Swanson Channel,Sport fishing,Pêche sportive,Open marine waters,Eaux libres en milieu marin,operational,opérationnel
14268.0,Capital Regional District,Clover Point Pump Station,Victoria,British Columbia,Colombie-Britannique,V8S1A1,Other,Autre,Other,Autre,50000.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,Screening,Dégrillage,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,48.4055,-123.3492,Verified,Vérifié,Final Discharge Point,Point de rejet final,Juan de Fuca Strait,Juan de Fuca Strait,Sport fishing,Pêche sportive,Open marine waters,Eaux libres en milieu marin,decommissioned,hors de service
23623.0,Capital Regional District,Ganges Wastewater Treatment Plant,Salt Spring Island,British Columbia,Colombie-Britannique,V8K 2V8,Other,Autre,Other,Autre,448.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Other Treatment, Disinfection","Autre, Désinfection",Membrane Bioreactor,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,48.8517,-123.5013,Verified,Vérifié,Final Discharge Point,Point de rejet final,Swanson Channel,Swanson Channel,Sport fishing,Pêche sportive,Open marine waters,Eaux libres en milieu marin,operational,opérationnel
14274.0,Capital Regional District,Macaulay Point Pump Station,Victoria,British Columbia,Colombie-Britannique,V9A5Y2,Other,Autre,Other,Autre,45350.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,Screening,Dégrillage,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,48.4185,-123.4062,Verified,Vérifié,Final Discharge Point,Point de rejet final,Juan de Fuca Strait,Juan de Fuca Strait,Sport fishing,Pêche sportive,Open marine waters,Eaux libres en milieu marin,decommissioned,hors de service
23624.0,Capital Regional District,Maliview Wastewater Treatment Plant,Victoria,British Columbia,Colombie-Britannique,V8K 1B1,Other,Autre,Other,Autre,58.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Primary Sedimentation/Clarification, Rotating Biological Contactor","Sédimentation/clarification primaire, Contacteur biologique rotatif",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Non-applicable,Non applicable,Non-applicable,Non applicable,48.9075,-123.5281,Estimated,Estimé,Final Discharge Point,Point de rejet final,Trincomali Channel,Trincomali Channel,Sport fishing,Pêche sportive,Open marine waters,Eaux libres en milieu marin,operational,opérationnel
59095.0,Capital Regional District,McLoughlin Point Wastewater Treatment Plant,Esquimalt,British Columbia,Colombie-Britannique,V9A 3Z3,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,85358.0,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,Sum of our 2019 average total daily effluent volumes currently being discharged out of our Macaulay and Clover Points facilities.  The flow from these facilities is being diverted to this new McLoughlin facility.,No,Non,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Filtration, Other","Dessablage, Dégrillage, Floculation chimique, Filtration, Autre","Flows up to 216 MLD are treated with primary clarifiers, secondary MBBRs & BAFs and tertiary disc filters. Flows above 216 MLD are treated with primary clarifiers & combined with tertiary treated effluent (total capacity 432 MLD)",Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,48.4199,-123.3973,Verified,Vérifié,Final Discharge Point,Point de rejet final,Juan de Fuca Strait,Juan de Fuca Strait,Other,Autre,Open marine waters,Eaux libres en milieu marin,operational,opérationnel
23620.0,Capital Regional District,Port Renfrew Wastewater Treatment Plant,Port Renfrew,British Columbia,Colombie-Britannique,V0S 1K0,Other,Autre,Other,Autre,55.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,Extended Aeration Activated Sludge,Boues activées par aération prolongée,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Non-applicable,Non applicable,Non-applicable,Non applicable,48.5581,-124.4035,Verified,Vérifié,Final Discharge Point,Point de rejet final,San Juan Harbour,Port San Juan,Sport fishing,Pêche sportive,Open marine waters,Eaux libres en milieu marin,operational,opérationnel
