id,nom_req,domaine_intervention,site_internet,no_civique,rue,municipalite,province,code_postal,telephone_1,telephone_2,telecopieur
30,Club de soccer de Jonquière,Sport,www.soccerjonquiere.org,3507.0,Boulevard Saint-François,Jonquière,Québec,G7X2W5,(418)698-3345 ext.2,(418)818-3004,
2609,Club de soccer le Venturi de Saguenay,Sport,soccersaguenay.com,3507.0,Boulevard Saint-François,Jonquière,Québec,G7X2W5,(418)698-3254,(418)376-6768,
31,Club de soccer mineur de Chicoutimi inc.,Sport,www.soccer-chicoutimi.com,,Rue Racine Est,Chicoutimi,Québec,G7H5C8,(418)698-3254,(418)550-5011 ext.4409,(418)698-3294
65,Club de tennis intérieur Saguenay inc.,Sport,www.clubtennissaguenay.com,2680.0,Boulevard du Saguenay,Jonquière,Québec,G7S0L3,(418)548-3179,,
64,Club de vélo de Jonquière,Loisir,www.clubvelojonquiere.com,530.0,Rue Jules-Verne,Chicoutimi,Québec,G7J4S2,,,
80,Club de voile du Saguenay inc. (Le),Plein air,www.clubdevoilesaguenay.com,1444.0,casier postal,Jonquiere,Québec,g7s4l1,(418)547-9776,,
2059,Club de volley ball Saguenay,Sport,https://www.facebook.com/ClubDeVolleyballSaguenay/,2521.0,Rue des Alouettes,Jonquière,Québec,G7X8G2,(418)812-4277,,
1965,Club de Yacht de Chicoutimi,Plein air,https://marinachicoutimi.com/,531.0,Boulevard du Saguenay Est,Chicoutimi,Québec,G7H5B7,(418)541-7007,,
23,Club des Archers de Chicoutimi,Sport,http://archersdechicoutimi.com,3312.0,Boulevard Saint-Jean-Baptiste,Chicoutimi,Québec,G7H7V5,(418)602-3520,,
1039,Club des retraités Alcan La Baie,Loisir,,3002.0,Rue Wilfrid-Simard,La Baie,Québec,G7B4C2,(418)544-5912,,
252,Club des retraités de la Consolidated Bathurst division Port-Alfred inc.,Loisir,,659.0,5 ième rue,La Baie,Québec,g7b1y7,(418)544-8549,,
25,Club Endurance du Fjord,Sport,www.endurancedufjord.com,680.0,Rue des Bernaches,Chicoutimi,Québec,G7H5x6,(158)123-45810,,
812,Club FADOQ Arvida,Loisir,www.fadoq.ca,3108.0,rue St-Georges,Jonquière,Québec,G7s1w4,(418)698-3000 ext.4634,,
836,Club Jeunesse Doré  Age d'or  Ste-Claire,Loisir,,208.0,Rue Talon,Chicoutimi,Québec,G7G0C7,(418)698-3000 ext.6732,,(418)698-3064
1022,Club optimiste de Laterrière inc.,Loisir,www.optimistelaterrière.org,6166.0,Rue Notre-Dame,Laterrière,Québec,G7N2A7,(418)678-2846,,
1018,Club Philatélique du Saguenay,Loisir,,205.0,Rue Turgeon,Hébertville,Qc,G8N1R6,(418)344-4252,,
1971,Club Quad Aventure Valin,Plein air,www.clubquadaventurevalin.com,,Boul. Ste-Geneviève,Chicoutimi,Québec,G7G0J9,(418)718-1818,,
1108,Club Quad du Fjord,Plein air,clubquaddufjord.ca,2084.0,Boul. St JeanBaptiste,chicoutimi,québec,G7H7W1,(418)815-0538,,
79,Club quad Saguenay,Plein air,www.clubquadsaguenay.com,2046.0,Mousseau,Jonquiere,Québec,G8A1E4,(418)547-7250,(418)818-5066,
931,Club radio-amateur baieriverain CRAB,Loisir,http://www.raqi.ca/va2bca,3022.0,Rue Wilfrid-Simard,La Baie,Québec,G7B4C2,,,
1011,Club social anées,Loisir,,2013.0,fortier,Jonquière,Québec,g7xak3,(418)547-1217,,
316,Comité civil de l'Escadrille 634 de Jonquière inc.,Loisir,escadron634.com,3507.0,Boulevard Saint-François,Jonquière,Québec,G7X2W5,(418)547-9745 ext.0,(0)- ext.0,(0)-
2620,Comité de citoyens pour l'amélioration du transport en commun au Saguenay,Action communautaire,https://www.facebook.com/BusoSaguenay/?modal=admin_todo_tour,578.0,Rue De Quen,Chicoutimi,Québec,G7J1P3,(418)376-6379,(581)654-1337,
2494,Comité de soutien DMLA (Saguenay),Action communautaire,,310.0,Léon,Saint-Honoré de Chicoutimi,Québec,G0V1L0,(418)673-4388,,
976,Comité des loisirs des Trois paliers inc.,Loisir,,1477.0,Rue du Bois-de-Boulogne,Chicoutimi,Québec,G7J4J4,(415)438-595,(418)376-4942,
982,Comité des loisirs du quartier des oiseaux,Loisir,,1611.0,Rue des Martinets,Chicoutimi,Québec,G7H5X9,,,
975,Comité des loisirs Plateau des Saguenéens de Chicoutimi,Loisir,,530.0,Rue Jules-Verne,Chicoutimi,Québec,G7J4S2,,,
971,Comité des loisirs Saint-Paul inc.,Loisir,,39.0,Place des Copains,Chicoutimi,Québec,G7K1B3,,,
972,"Comité des loisirs St-Nom-de-Jésus, de Chicoutimi",Loisir,,998.0,Rue du Sacré-Coeur,Chicoutimi,Québec,G7H1M2,,,
970,Comité des loisirs St-Pierre inc.,Loisir,,2952.0,Rang Saint-Pierre,Chicoutimi,Québec,G7H0E7,(418)549-1272,,
968,Comité des loisirs Victor Guimond inc.,Loisir,,519.0,Rue Verlaine,Chicoutimi,Québec,G7J4C3,,,
1502,Comité Enfaim,Action communautaire,www.comiteenfaim.com,150.0,Rue Racine Est,Chicoutimi,Québec,G7H5C2,(418)545-2222,,
1382,Communauté métisse du domaine du Roy et de la seigneurie de Mignan,Action communautaire,metisroymingan.ca,129.0,Rue Jacques-Cartier Est,Chicoutimi,Québec,G7H1Y4,(418)543-0555,,
2413,Compagnes et compagnons de passage,Action communautaire,,1155.0,Rue Warren,Chicoutimi,Québec,G7J4A3,,,
2535,Concours d'histoire Raymond-Labonté,Art et culture,https://concours-histoire.cegepjonquiere.ca,2679.0,Boulevard du Royaume,Jonquière,Québec,G7S5T1,(418)548-7075,(581)882-6909,(418)548-7992
459,Conseil central du Saguenay-Lac-Saint-Jean de la Société Saint-Vincent-de-Paul - conseil particulier Jonquière/Kénogami (M),Action communautaire,clairedelasablonniere@gmail.com,4042.0,Rue Chardin,Jonquière,Québec,G7Z1H8,(416)954-534 ext.0,(418)817-7309 ext.0,(0)-
456,Conseil central du Saguenay-Lac-Saint-Jean de la Société Saint-Vincent-de-Paul - conseil particulier La Baie (M),Action communautaire,www.facebook.com/St-Vincent de Paul la Baie,1853.0,Rue des Bouleaux,La baie,Québec,G7B3V9,(418)544-8607,(418)944-0778,
954,Conseil des arts de Saguenay,Hors catégorie,www.conseildesartssaguenay.com,6166.0,Rue Notre-Dame,Laterrière,Québec,G7N1A1,(418)698-3000 ext.4192,,(418)678-2647
951,Conseil régional de la culture Saguenay-Lac-St-Jean,Art et culture,http://culturesaguenaylacsaintjean.ca/,260.0,Rue Racine Est,Chicoutimi,Québec,G7H1R9,(418)812-7294,(418)662-6623 ext.223,
949,Conservatoire de Musique de Saguenay,Hors catégorie,www.conservatoire.gouv.qc.ca,202.0,Rue Jacques-Cartier Est,Chicoutimi,Québec,G7H6R8,(418)698-3505,,(418)698-3521
68,Contact Nature Rivière-à-Mars,Plein air,www.contact-nature.ca,7400.0,Chemin des Chutes,La Baie,Québec,G7B3N8,(418)697-5132,,(418)697-5136
943,Corporation Centre-Ville d'Arvida,Événements,https://cvs.saguenay.ca/arvida/entreprises/corporation-centre-ville-darvida/,2850.0,Place Davis,Jonquière,Québec,G7S2C5,,,
926,Corporation Centre-Ville de La Baie,Événements,cvssaguenay.ca,422.0,Rue Victoria,La Baie,Québec,G7B3M4,(418)698-3157 ext.6084,,
945,Corporation de développement communautaire des Deux-Rives,Action communautaire,www.cdc2rives.org,2505.0,Rue Saint-Hubert,Jonquière,Québec,G7X7W2,(418)547-9351,,
944,Corporation de développement communautaire du Roc,Action communautaire,cdcduroc.com,508.0,Rue Saint-Augustin,Chicoutimi,Québec,G7J2J9,(418)696-2188,,
934,"Corporation des loisirs Hamel, Fradette et Gobeil inc.",Loisir,,143.0,Rue d'Anjou,Chicoutimi,Québec,G7H6E9,,,
91,Corporation des loisirs St-Antoine de Chicoutimi,Loisir,Aucun,815.0,Rue Hertel,Chicoutimi,Québec,G7J3Z8,,,
933,Corporation des loisirs Ste-Claire de Chicoutimi,Loisir,,441.0,Rue de Courcelette,chcioutimi,Québec,G7G4M1,(418)376-6427,,
932,Corporation des loisirs Sydenham,Loisir,https://www.facebook.com/parcmurdock/,843.0,Rue Bouchette,Chicoutimi,Québec,G7H2S9,,,
930,Corporation des métiers d'arts du Saguenay-Lac-Saint-Jean,Art et culture,www.metiersdartsaglac.com,165.0,Rue Racine Est,Chicoutimi,Québec,G7H1R5,(418)698-3200 ext.6719,,
1857,Corporation du parc de la Rivière du Moulin,Plein air,,1577.0,Rue des Roitelets,Chicoutimi,Québec,G7H0K8,(418)698-3235,,
1243,Corporation du Parc Régional du Lac Kénogami,Plein air,www.cprlk.wordpress.com,3110.0,Boulevard Martel,Saint-Honoré,Québec,G0V1L0,,,
1206,Coupe des nations - Ville Saguenay,Événements,www.grandprixcyclistesaguenay.com,837.0,rue Rémi Meunier,Roberval,Québec,G8H3K1,(418)637-6372,,
1683,Couture pour les missions,Loisir,,6166.0,Rue Notre-Dame,Laterrière,Québec,G7N1A1,,,
52,CPV Les Élans de Jonquière,Sport,http://cpvelansjonquiere.ca,4959.0,Chemin St-Éloi,Jonquière,Québec,G7X7V4,(418)376-6447,(418)693-3300 ext.236,
1320,Deuil 02,Action communautaire,WWW.deuil02passage.org,497.0,Rue Racine Est,Chicoutimi,Québec,G7H1T8,(418)602-1388,(581)234-9448,
1142,Diabète Saguenay-Lac-Saint-Jean,Action communautaire,diabetesaguenaylacsaintjean.org,2208.0,Rue Roussel,Chicoutimi,Québec,G7G1W7,(418)376-5559,,
907,Diffusion Saguenay inc.,Art et culture,www.diffusion.saguenay.ca,534.0,Rue Jacques-Cartier Est,Chicoutimi,Québec,G7H1Z6,(418)698-3334 ext.6603,,(418)698-4081
2554,Diversité 02,Action communautaire,http://diversite02.ca/,260.0,"Rue Racine Est, suite 101",Chicoutimi,Québec,G7H1R9,(581)447-2211,(581)882-2838,
1942,Éco-Kartier du centre-ville de Chicoutimi,Action communautaire,www.eco-kartier.org,129.0,Rue Jacques-Cartier Est,Chicoutimi,Québec,G7H2J3,(418)820-9472,,
901,École de danse SMG inc.,Art et culture,www.ecoledansesmg.com,,Rue du Roi-Georges,Jonquière,Québec,G7X7X7,(418)542-1283,(581)306-2667,
1442,École de judo ju-shin-kan Laterrière,Sport,judolaterriere.com,6197.0,Rue Notre-Dame,Laterrière,Québec,G7N1P7,(418)698-3000 ext.6764,,
892,École de musique et de solfège de Chicoutimi inc.,Art et culture,www.ecoledemusiquechicoutimi.com,534.0,Rue Jacques-Cartier Est,Chicoutimi,Québec,G7H1Z6,(418)543-1902,,
902,École Florence Fourcaudot Spirale Expression Danse,Art et culture,www.fourcaudot.com,2034.0,Boulevard de Tadoussac,Chicoutimi,Québec,G7G1K7,(418)696-4333,,
891,École nationale d'apprentissage par la marionnette,Action communautaire,www.enamsaguenay.ca,870.0,Rue Boily,Chicoutimi,Québec,G7J2Y4,(418)549-6262,,
1392,En août on fête Laterrière,Événements,,6197.0,Rue Notre-Dame,Laterrière,Québec,G7N1P7,(418)698-3000 ext.6760,,
888,Ensemble folklorique des Farandoles de Chicoutimi inc.,Art et culture,www.lesfarandoles.com,534.0,Rue Jacques-Cartier Est,Chicoutimi,Québec,G7H1Z6,(418)549-4777,,
725,Entre-Êtres,Action communautaire,www.entreetres.com,2811.0,Boulevard du Saguenay,Saguenay,Québec,G7S1X7,(418)548-5349,,
620,Équijustice Saguenay,Action communautaire,equijustice.ca,152.0,Racine Est,Chicoutimi,Québec,G7H5B7,(418)698-2400,,(418)698-5977
1086,EQUIPE DE HOCKEY MIDGET DEVELOPPEMENT AAA DU SAGUENAY-LAC ST-JEAN INC.,Sport,https://elites.liguemidgetaaa.ca/,5493.0,chemin st-anicet,la baie,Québec,g7b0j5,(418)540-0741,,
2042,Escadrilles canadiennes de plaisance,Plein air,www.nautisme.ca,3800.0,Chemin de la Bonne-Humeur,Laterrière,Québec,G7N1B6,(418)696-4018,,
322,Espace Côté-Cour,Art et culture,www.cotecour.ca,4014.0,Rue de la Fabrique,Jonquière,Québec,G7X3N1,(418)542-1376,,
1145,EURÊKO !,Plein air,eureko.ca,397.0,Rue Racine Est,Chicoutimi,Quebec,G7H1S8,(418)545-9245,,
424,Expo agricole de Chicoutimi inc.,Événements,www.expoagricoledechicoutimi.com,350.0,Boulevard de l'Université Est,Chicoutimi,Québec,G7H5B7,(418)545-8597,,(418)545-9243
839,FADOQ La Jouvence Lac Kénogami,Loisir,S.o.,4444.0,Chemin des Erables lac kénogami,Saguenay,Québec,G7X7V6,(418)695-3717,(418)695-4717,
2098,Festival bateaux dragons Saguenay,Événements,https://www.evenements2m.com/festival-bateaux-dragons-saguenay,3891.0,Rang Saint-Paul,Chicoutimi,Québec,G7H0G7,(418)376-6092,,
854,Festival de jazz et blues Héritage,Art et culture,www.jazzetblues.com,460.0,Rue Racine Est,Chicoutimi,Québec,G7H1T7,(418)817-4529,,
864,Festival de musique du Royaume inc.,Art et culture,www.festivalduroyaume.com,165.0,"Rue Racine Est, C.P 8335",Chicoutimi,Québec,G7H1R7,(418)698-3000 ext.6560,,(418)698-3438
2156,Festival des bières du monde 2010,Événements,http://bieresdumonde.ca/,459.0,Rue Racine Est,Saguenay,Québec,G7H1T5,(418)812-9292,(418)545-1115,(418)545-0333
863,Festival des musiques de création du Saguenay-Lac-Saint-Jean inc.,Art et culture,www.fmcslsj.com,4018.0,Rue de la Fabrique,Jonquière,Québec,G7X3N1,(418)547-2904,,
1060,Festival des vins de Saguenay,Événements,www.festivinsaguenay.ca,460.0,Rue Racine Est,Chicoutimi,Québec,G7H1T7,(418)603-0883,,
855,Festival international des rythmes du monde,Art et culture,www.bieresdumonde.ca,459.0,Rue Racine Est,Chicoutimi,Québec,G7H1T5,(418)545-1115,,(418)545-0333
852,Fête des saveurs et trouvailles,Événements,http://www.saveursettrouvailles.com/,5505.0,Boulevard du Royaume - numéro 80,Jonquière,Québec,G7X7V5,(418)290-7114,,
838,Fondation pour l'élite baieriveraine,Hors catégorie,,4171.0,Boulevard de la Grande-Baie Sud,La Baie,Québec,G7B1H1,,,
830,Fondation TIMI inc.,Hors catégorie,,201.0,Rue Price Ouest,Chicoutimi,Québec,G7J3K3,,,
818,Groupe Artémisia,Art et culture,,2317.0,Rue Mathias,Jonquière,Quebec,G7S3v8,(418)548-5797,(418)550-5797,
818,Groupe Artémisia,Art et culture,,2211.0,Chemin Bouchard,Shipshaw,Quebec,G1P1V8,(418)695-6471,,
721,Groupe de ressources pour le trouble de panique et autres troubles anxieux G.R.T.P.,Action communautaire,www.grtp02.com,2327.0,Rue Lévesque,Jonquière,Québec,G7S3T4,(418)548-2936 ext.101,,(418)548-5435
76,Groupe des Écorceurs,Plein air,www.anse-a-benjamin.com,822.0,chemin de l'Anse à Benjamin,La Baie,Québec,G7B3P5,(418)690-6535,(418)540-5614,
2539,Groupe Inclusia,Hors catégorie,groupeinclusia.com,2455.0,rue Cantin,Jonquière,Québec,G7X8s7,(418)548-3445,,(418)548-3717
35,Groupe nature animée inc. (Le),Loisir,http://groupenatureanimee.blogspot.com,,,Chicoutimi,Québec,G7H5C2,(418)698-3896,,
84,Groupe photo média international inc.,Art et culture,www.zoomphotofestival.ca,300.0,Rue Dubuc,Chicoutimi,Québec,G7J4M1,(418)540-9506,,
442,Groupe scouts secteur Chicoutimi (district Saguenay),Loisir,,172.0,Rue des Oblats Ouest,Chicoutimi,Québec,G7J2A8,(418)698-5369,,
718,Groupement des organismes des personnes handicapées du Saguenay,Action communautaire,www.gophs.org,138.0,Rue Price Ouest,Chicoutimi,Québec,G7J1G8,(418)545-6228,,(418)545-7271
717,Guilde «Les courtepointières du Saguenay»,Loisir,https://www.facebook.com/Les-Courtepointières-du-Saguenay,1068.0,Rue Beauregard,Chicoutimi,Québec,G7H1N7,,,
712,Harmonie Saguenay Inc.,Loisir,,123.0,rue de la Providence,Anse-Saint-Jean,Québec,G0V1J0,,,
69,HERITAGE SPORTIF 1983,Loisir,centremultisportlabaie.com,990.0,Rue Aimé-Gravel,La Baie,Québec,G7B2M4,(418)697-5112,,(418)697-9050
2419,Homme Québec (H.Q.) - Saguenay - Lac-St-Jean,Action communautaire,http://hommesquebec.ca,3713.0,Rue de Vienne,Jonquière,Québec,G7X4J4,,,
1087,Institut judo Chicoutimi,Sport,www.judochicoutimi.com,799.0,Rue Marie-Victorin,Chicoutimi,Québec,G7H2L1,,,
703,IntégrAction La Baie,Action communautaire,www.facebook.com/integractionlabaie,1331.0,2e Avenue,La Baie,Québec,G7B1M6,(418)477-8777,,
702,Interassociation des personnes handicapées du Saguenay,Action communautaire,www.lavilla.ca/inter,138.0,Rue Price Ouest,Chicoutimi,Québec,G7J1G8,(418)545-9453,,(418)545-7271
624,Jonquière en musique inc.,Art et culture,www.jonquiereenmusique.com,3865.0,Rue du Roi-Georges,Jonquière,Québec,G7X9K7,(418)542-2101,,(418)542-7998
1353,Jonquière-Médic inc.,Hors catégorie,http://www.jonquieremedic.com/,2354.0,Rue Saint-Dominique,Jonquière,Québec,G7X7W6,(418)546-2108,,
621,Joujouthèque Saguenay,Action communautaire,,1477.0,Rue des erables,Chicoutimi,Québec,G7H1E6,(418)944-8897,,
1296,Journal au courant du lac,Hors catégorie,https://aucourantdulac-95.webself.net/,3000.0,Chemin de l'Église,Lac Kénogami,Québec,G7X0H9,(418)817-2403,(418)542-1277,
1629,Journal la vie d'ici,Hors catégorie,http://laviedici.com/,1189.0,Blvd Barrette,Chicoutimi,Québec,g7j0g1,(418)973-0716,(418)290-8846,
228,L' Association des Centres-Villes de Chicoutimi inc.,Événements,https://cvs.saguenay.ca/chicoutimi/,152.0,"rue Racine Est, C.P. 8131",Chicoutimi,Québec,G7H5b5,(418)693-5126,(418)602-0883,
90,L'Académie de Danse du Saguenay inc.,Art et culture,www.academiedanse.ca,534.0,Rue Jacques-Cartier Est,Chicoutimi,Québec,G7H1Z6,(418)549-2835,,(418)548-0812
117,L'Association féminine d'éducation et d'action sociale - AFÉAS locale St-Dominique,Loisir,,3795.0,Panet,Jonquière,Québec,G7X3V9,(418)547-4015,(418)815-7007,
126,L'Association féminine d'éducation et d'action sociale - AFÉAS locale St-Jean-Vianney,Loisir,non mais nous avons un facebook et il est possible de nous servir du site Web du journal La Vie d'Ici si nous avons de l'information à donner aux membres.,4100.0,Rue des Ormes,Shipshaw,Québec,G7P1B4,(418)698-3000 ext.6767,,
128,L'Association féminine d'éducation et d'action sociale - Afeas locale St-Luc,Loisir,afeas.qc.ca,97.0,Rue St-Etienne,Chicoutimi-Nord,Québec,G7G5G8,(418)549-0418,,
119,L'Association féminine d'éducation et d'action sociale - AFÉAS locale Ste-Claire,Loisir,nicophil@videotron.ca,101.0,Rue Solange,Chicoutimi,Québec,G7G4M6,(418)690-0634,,
1294,L'association Québec-France--Saguenay-Lac-Saint-Jean,Loisir,association quebec-france-saguenay,2005.0,Bellerive,Jonquière,Québec,G7X8H7,(418)592-7945,,
899,L'école de musique de La Baie inc.,Art et culture,http://www.ecoledemusiquelabaie.ca/,3346.0,Boulevard de la Grande-Baie Sud,La Baie,Québec,G7B1G2,(418)697-5082,,(418)697-5079
881,L'Ensemble vocal du Fjord,Loisir,www.facebook.com/ensemblevocaldufjord,4073.0,Rue Morin,Jonquière,Québec,G8A1a5,(418)542-3004,,
594,L'Institut des arts au Saguenay,Art et culture,www.centrenationalexposition.com,4160.0,Rue du Vieux-Pont,Jonquière,Québec,G7X7W4,(418)546-2177,(418)698-3200 ext.4601,(418)546-2180
786,L'Oeuvre de l'Autre,Art et culture,www.uqac.ca/galerie,555.0,Boulevard de l'Université Est,Chicoutimi,Québec,G7H2B1,(418)545-5011 ext.4718,,
295,L'Organisme Les Apprentis,Action communautaire,www.apprentis-org.com,1331.0,2e Avenue,La Baie,Québec,g7b1m6,(418)697-6555,,(418)697-6555
280,L.A.S.T.U.S.E. du Saguenay (lieu d'Actions et de Services Travaillant dans l'Unité avec les Sans-Emploi),Action communautaire,www.lastuse.ca,94.0,Rue Jacques-Cartier Est,Chicoutimi,Québec,G7H1Y3,(418)543-3569,(418)543-3350,(418)543-3569
312,La Boîte Rouge Vif,Art et culture,www.laboiterougevif.com,555.0,Boulevard de l'Université Est,Chicoutimi,Québec,G7H2B1,(418)545-5523,,
750,La Corporation du Musée du Saguenay-Lac-Saint-Jean et du site de La Pulperie,Art et culture,www.pulperie.com,300.0,Rue Dubuc,Chicoutimi,Québec,G7J4M1,(418)698-3100,(187)799-83100,(418)698-3158
922,La corporation les Adolescents et la Vie de Quartier de Chicoutimi,Action communautaire,www.avqc.ca,36.0,Rue Jacques-Cartier Est,Chicoutimi,Québec,G7H1W2,(418)549-7272,,(418)549-7212
837,La Fondation de ma Vie,Hors catégorie,http://www.fondationdemavie.qc.ca,305.0,Rue Saint-Vallier,Chicoutimi,Québec,G7H5H6,(418)541-1005,,(418)541-1124
2558,La ligue de bridge St-Laurent Sag-Lac inc.,Loisir,www.fqjr.qc.ca/bridge/lbsl/,80.0,Rue de La Rochelle,Chicoutimi,Québec,G7H5M6,(418)543-6476,(418)812-6476,
871,La ligue des cadet de l'air du Canada Québec - Escadron 657 de La Baie,Loisir,Escadron 657 (Facebook),1802.0,Avenue John-Kane,La Baie,Québec,G7B3P5,(418)544-2843 ext.4782,,
870,La ligue des cadets de l'air du Canada Québec - Escadron 799,Loisir,https://sites.google.com/site/escadron799/,,Rue Racine Est,Chicoutimi,Québec,G7H5C2,(418)698-5185 ext.6447,,
916,La ligue des cadets de l'armée du Canada (Québec) - Corps de cadets 0221 Chicoutimi,Loisir,https://fr-ca.facebook.com/cadets221chicoutimi/,8066.0,Case postale,Chicoutimi,Québec,g7H5B5,(418)615-0083 ext.6374,,
317,La ligue des cadets de l'armée du Canada (Québec) - Corps de cadets 2646 Jonquière,Loisir,www.cc2646.com,3507.0,Boulevard Saint-François,Jonquière,Québec,G7X2W5,(418)690-6752,(418)720-3115,
915,La ligue des cadets de l'armée du Canada (Québec) - Corps des cadets 2869 de Laterrière,Loisir,Cocajent (Corps de Cadet 2869 Laterrière),6166.0,Rue Notre-Dame,Laterrière,Québec,G7N1A1,(418)698-3000 ext.6355,,
564,La Maison d'hébergement Le Séjour inc.,Action communautaire,www.hebergementlesejour.ca,2229.0,De l'Hôpital,Jonquière,Québec,G7X4H7,(418)547-8611,,(418)547-4877
302,La Maison d'un Nouvel Élan inc.,Action communautaire,www.mnelan.com,1969.0,Rue Price,Jonquière,Québec,G7X5S2,(418)695-6026,,(418)695-3125
2549,La Maison de soins palliatifs du Saguenay,Hors catégorie,mspsaguenay.ca,1845.0,Rue Deschênes,Jonquière,Québec,G7S4T8,(418)696-1176 ext.201,(418)696-1176 ext.203,(418)696-5999
573,La Maison des familles de Chicoutimi,Action communautaire,www.maisondesfamilleschicoutimi.com,700.0,Rue Bégin,Chicoutimi,Québec,G7H7Y6,(418)698-3057,,(418)698-5386
571,La Maison des jeunes de Jonquière inc.,Action communautaire,www.mdjjonquiere.org,2320.0,Rue Poitras,Jonquière,Québec,G7S3S4,(418)548-9608,(418)699-6064,(418)548-9608
568,La Maison des jeunes de Laterrière inc.,Action communautaire,maisondesjeunesdelaterriere.e-monsite.com,882.0,Rue du Boulevard,Laterrière,Québec,G7N1H7,(418)678-9079 ext.0,(0)- ext.0,(0)-
562,La Maison ISA - Centre d'aide et de lutte contre les agressions à caractère sexuel,Action communautaire,www.maisonisa.com,310.0,Rue Saint-Vallier,Chicoutimi,Québec,G7H4J1,(418)545-6444,,(418)545-3596
2495,La Noce Saguenay,Art et culture,lanoce.net,3732.0,Chemin de l'Église,Laterrière,Québec,G7N0B1,(418)615-8528,,
2439,La nuit des choeurs à Saguenay,Loisir,,700.0,Chemin du Littoral,Chicoutimi,Québec,G7H0H9,,,
97,La Rubrique inc.,Art et culture,www.theatrelarubrique.com et www.fiams.com,4160.0,Rue du Vieux-Pont - C.P. 23,Jonquière,Québec,G7X7V8,(418)542-5521,,(418)542-4382
910,La Société canadienne de la Croix Rouge,Hors catégorie,croixrouge.ca,6.0,Place du commerce,Montréal,Québec,H3E1P4,(514)362-2930,,
419,La Société de Généalogie du Saguenay,Loisir,www.sgsaguenay.ca,700.0,Rue Racine Est,Chicoutimi,Québec,G7H1V2,(418)693-8266,,
417,La Société de Gestion de la Zone Portuaire de Chicoutimi inc.,Hors catégorie,www.zoneportuaire.com,49.0,Rue La Fontaine,Saguenay (arr. Chicoutimi),Quebec,G7H5B7,(418)698-3025,,(418)698-3028
416,La Société de l'Ordre du bleuet,Art et culture,www.ordredubleuet.com,1557.0,Rue des Engoulevents,Chicoutimi,Québec,G7H5R7,(418)549-6009,,
1248,La société St-Vincent de Paul conseil particulier de Chicoutimi,Action communautaire,aucun,216.0,Rue des Oblats Ouest,Chicoutimi,Québec,G7J2B1,,,
409,La Soupe populaire de Chicoutimi inc.,Action communautaire,,426.0,Rue du Havre,Chicoutimi,Québec,G7H1N5,,,
406,La Soupière de Jonquière,Action communautaire,La Soupière de Jonquière,,,Jonquière,Québec,G7X7W6,(418)550-2516,(418)547-0976,
2560,La Table de la sécurité alimentaire de Jonquière,Action communautaire,tsaj.ca,2227.0,de Montfort,Jonquière,Québec,G7X4P6,(418)815-5126,,
403,La Tortue Noire,Art et culture,www.latortuenoire.com,165.0,Rue Racine Est,Chicoutimi,Québec,G7H5B8,(418)698-3403,,
1288,Le 15 km des Pichous,Événements,http://www.pichous.com/,1923.0,Rue des Hiboux,Chicoutimi,Québec,G7H7S3,,,
1100,Le centre alpha de La Baie et du Bas-Saguenay,Action communautaire,www.abc02,802.0,Boulevard de la Grande-Baie Nord,La Baie,Québec,G7B3K7,(418)697-0046,,(418)544-2459
532,Le Centre communautaire Horizon 3e âge Chicoutimi,Loisir,,2148.0,Rue Roussel,Chicoutimi,Québec,G7G1W5,(418)545-8317,,(418)602-1377
697,Le Choeur Dal Segno,Loisir,,1.0,Chemin Morin Sud,Saint-Ambroise,Québec,G7P2Y4,(418)547-0194,,
731,Le choeur Prélude inc.,Loisir,,2272.0,Rue Saint-Simon,Jonquière,Québec,G7X6E7,(418)547-1387,,
806,Le Club amitiés-loisirs de l'âge d'or St-Laurent de Jonquière ,Loisir,,4625.0,Rue Gilbert,Lac Kénogami,Québec,G7X7V6,(418)542-8125,,
879,Le Club d'âge d'or Sérénité,Loisir,,2975.0,Boulevard Saint-Jean-Baptiste,Chicoutimi,Québec,G7H7S9,(418)545-1108,,
448,Le club d'âge d'or «Les Sages» de St-Philippe de Jonquière,Loisir,club d'age d'or «les sages » de st-philippe ,3813.0,Rue de Beauvais,Jonquière,Québec,G7X8A2,,,
984,Le Comité des loisirs de Pibrac,Loisir,N/D,3078.0,Rue Saint-Dominique,Jonquière,Québec,G7Y1B2,(418)542-1020,,
2397,Le Déluge,Art et culture,www.ledelugefest.com,3583.0,Rue du Roi-Georges,Jonquière,Québec,G7x1v4,(418)592-7636,,
711,Le Havre du Fjord inc.,Action communautaire,www.havredufjord.com,2187.0,Rue Bonneau,Saguenay,Québec,G7S4B3,(418)548-0071,,(418)548-0073
583,Le Lobe,Art et culture,www.lelobe.com,114.0,Rue Bossé,Chicoutimi,Québec,G7J1L4,(418)690-3182,,(418)690-3182
1411,LE MAILLON,Action communautaire,http://www.lemaillon.com/,232.0,Rue Tessier,Chicoutimi,Québec,G7H4Z6,(418)543-3463,,(418)543-3531
774,Le Patro de Jonquière inc.,Action communautaire,www.patrojonquiere.org,2565.0,Rue Saint-Dominique,Jonquière,Québec,G7X6J6,(418)542-7536,,(418)542-5352
754,Le Prisme culturel inc.,Art et culture,www.prismeculturel.com,565.0,avenue de la coopérative,Saint-Bruno,Québec,G0W2L0,(418)212-8022,,(418)212-8022
