Year,Activity,Source,Destination,Energy (MW.h),Total Value (CAN$),Price (CAN$/MW.h)
2000.0,Exports,Ontario,New York,2412988.473,1.3845272321E8,56.95
2000.0,Exports,Ontario,Total,4159146.125,2.8794777948E8,59.20
2000.0,Exports,Québec,Maine,226533.68,1.482385004E7,65.44
2000.0,Exports,Québec,Massachusetts,195915.0,1.1590025E7,59.16
2000.0,Exports,Québec,New England-ISO,7438244.0,2.4535452535E8,32.79
2000.0,Exports,Québec,New York,1.0123744E7,5.9322445386E8,57.77
2000.0,Exports,Québec,Total,2.023274368E7,1.06744497922E9,46.56
2000.0,Exports,Québec,Vermont,2248307.0,2.0245212497E8,38.64
2000.0,Exports,Saskatchewan,Montana,244.0,21940.66,89.92
2000.0,Exports,Saskatchewan,North Dakota,228535.0,1.767729829E7,77.35
2000.0,Exports,Saskatchewan,Total,228779.0,1.769923895E7,77.36
2000.0,Exports,Total,Alaska,26618.28,3443803.13,129.38
2000.0,Exports,Total,Arizona,21846.0,4486476.97,205.37
2000.0,Exports,Total,California,5433131.0,1.45458634526E9,267.73
2000.0,Exports,Total,Colorado,11350.0,3287720.6,289.67
2000.0,Exports,Total,Idaho,132427.0,2.563729215E7,193.60
2000.0,Exports,Total,Maine,4579075.628,2.6731461438E8,57.33
2000.0,Exports,Total,Massachusetts,195915.0,1.1590025E7,59.16
2000.0,Exports,Total,Michigan,1328782.652,1.2176739993E8,63.92
2000.0,Exports,Total,Minn / N. Dakota,9302705.075,4.4433662604E8,34.94
2000.0,Exports,Total,Minnesota,420175.0,2.780640834E7,56.97
2000.0,Exports,Total,Montana,257.0,22302.99,86.78
2000.0,Exports,Total,New England-ISO,7438244.0,2.4535452535E8,32.79
2000.0,Exports,Total,New Mexico,30.0,1130.47,37.68
2000.0,Exports,Total,New York,1.2536732473E7,7.3167717707E8,57.61
2000.0,Exports,Total,North Dakota,230135.0,1.771909029E7,76.99
2000.0,Exports,Total,Oregon,180363.0,3.848087431E7,213.35
2000.0,Exports,Total,South Dakota,12872.0,342241.31,26.59
2000.0,Exports,Total,Total,4.8355835736E7,4.0671441071E9,78.08
2000.0,Exports,Total,Vermont,2248307.0,2.0245212497E8,38.64
2000.0,Exports,Total,Washington,4256869.628,4.6683792854E8,109.67
2000.0,Imports,Idaho,Alberta,22105.0,9217107.92,416.97
2000.0,Imports,Idaho,Total,22105.0,9217107.92,416.97
2000.0,Imports,Iowa,Alberta,25.0,869.0,34.76
2000.0,Imports,Iowa,Total,25.0,869.0,34.76
2000.0,Imports,Maine,New Brunswick,18415.9,698063.04,37.91
2000.0,Imports,Maine,Québec,782.0,69016.98,88.26
2000.0,Imports,Maine,Total,19197.9,767080.02,39.96
2000.0,Imports,Massachusetts,Québec,1530.0,144211.0,94.26
2000.0,Imports,Massachusetts,Total,1530.0,144211.0,94.26
2000.0,Imports,Michigan,Ontario,1656101.8,8.476839466E7,51.19
2000.0,Imports,Michigan,Total,1656101.8,8.476839466E7,51.19
2000.0,Imports,Minn / N. Dakota,Manitoba,715570.0,2.077374705E7,26.93
2000.0,Imports,Minn / N. Dakota,Total,715570.0,2.077374705E7,26.93
2000.0,Imports,Minnesota,Ontario,2005.0,72627.76,36.22
2000.0,Imports,Minnesota,Total,2005.0,72627.76,36.22
2000.0,Imports,Montana,Alberta,2939.204,124661.51,42.41
2000.0,Imports,Montana,British Columbia,252.0,14935.0,59.27
2000.0,Imports,Montana,Total,3191.204,139596.51,43.74
2000.0,Imports,New England-ISO,Québec,2128621.0,7.216677206E7,33.90
2000.0,Imports,New England-ISO,Total,2128621.0,7.216677206E7,33.90
2000.0,Imports,New York,Ontario,268285.0,1.990347049E7,74.19
2000.0,Imports,New York,Québec,1822293.0,5.298238481E7,29.07
2000.0,Imports,New York,Total,2090578.0,7.28858553E7,34.86
2000.0,Imports,North Dakota,Alberta,52.0,2113.0,40.63
2000.0,Imports,North Dakota,Saskatchewan,696855.0,2.402145604E7,34.47
2000.0,Imports,North Dakota,Total,696907.0,2.402356904E7,34.47
2000.0,Imports,Oregon,Alberta,27013.0,1584289.67,58.65
2000.0,Imports,Oregon,Total,27013.0,1584289.67,58.65
2000.0,Imports,Texas,Alberta,25.0,13321.0,532.84
2000.0,Imports,Texas,Total,25.0,13321.0,532.84
2000.0,Imports,Total,Alberta,197537.204,3.212289403E7,162.62
2000.0,Imports,Total,British Columbia,5244932.0,3.3637052422E8,64.13
2000.0,Imports,Total,Manitoba,715570.0,2.077374705E7,26.93
2000.0,Imports,Total,New Brunswick,18415.9,698063.04,37.91
2000.0,Imports,Total,Ontario,1926391.8,1.0474449291E8,54.37
2000.0,Imports,Total,Québec,3953226.0,1.2536238485E8,31.71
2000.0,Imports,Total,Saskatchewan,696855.0,2.402145604E7,34.47
2000.0,Imports,Total,Total,1.2752927904E7,6.4409356214E8,50.39
2000.0,Imports,Washington,Alberta,145378.0,2.118053193E7,145.69
2000.0,Imports,Washington,British Columbia,5244680.0,3.3635558922E8,64.13
2000.0,Imports,Washington,Total,5390058.0,3.5753612115E8,66.33
2001.0,Exports,Alberta,California,142539.0,7.0864659E7,497.16
2001.0,Exports,Alberta,Idaho,10863.0,3483931.64,320.72
2001.0,Exports,Alberta,Iowa,5145.0,87294.14,15.27
2001.0,Exports,Alberta,Oregon,7632.0,2003775.78,262.55
2001.0,Exports,Alberta,Total,714561.0,2.4946216071E8,349.10
2001.0,Exports,Alberta,Washington,548382.0,1.7302250015E8,315.51
2001.0,Exports,British Columbia,Alaska,1238.44,92574.0,74.75
2001.0,Exports,British Columbia,Arizona,54954.0,6426144.52,116.94
2001.0,Exports,British Columbia,California,3241157.0,1.62546675822E9,501.51
2001.0,Exports,British Columbia,Colorado,36121.0,9438869.9,261.31
2001.0,Exports,British Columbia,Idaho,2300.0,1193452.29,518.89
2001.0,Exports,British Columbia,North Dakota,130.0,6630.02,51.00
2001.0,Exports,British Columbia,Oregon,143145.0,3.325964255E7,232.35
2001.0,Exports,British Columbia,South Dakota,34.0,0.0,0.00
2001.0,Exports,British Columbia,Texas,3600.0,1316844.0,365.79
2001.0,Exports,British Columbia,Total,6101832.814,2.08526829489E9,341.74
2001.0,Exports,British Columbia,Washington,2619153.374,4.0806737939E8,155.80
2001.0,Exports,Manitoba,Minn / N. Dakota,9756305.02,5.3456526139E8,54.43
2001.0,Exports,Manitoba,Minnesota,1225.0,31055.7,25.35
2001.0,Exports,Manitoba,Total,9757530.02,5.3459631709E8,54.42
2001.0,Exports,New Brunswick,Maine,3436964.381,2.4759095607E8,67.97
2001.0,Exports,New Brunswick,Maryland,37200.0,58213.54,1.56
2001.0,Exports,New Brunswick,Total,3474164.381,2.4764916961E8,67.26
2001.0,Exports,Nova Scotia,Maine,350.0,17580.5,50.23
2001.0,Exports,Nova Scotia,Total,350.0,17580.5,50.23
2001.0,Exports,Ontario,Michigan,74035.152,7013113.97,94.73
2001.0,Exports,Ontario,Minnesota,378058.0,2.242691895E7,53.74
2001.0,Exports,Ontario,New York,2922470.252,1.723383195E8,54.54
2001.0,Exports,Ontario,Total,3374563.404,2.0177835242E8,55.33
2001.0,Exports,Québec,Maine,835619.81,6.626840634E7,79.30
2001.0,Exports,Québec,Massachusetts,371191.0,2.022749E7,54.49
2001.0,Exports,Québec,New England-ISO,2458142.0,1.2474649729E8,50.57
2001.0,Exports,Québec,New York,8921442.0,5.0434205185E8,51.25
2001.0,Exports,Québec,Total,1.481980151E7,9.2826800901E8,51.40
2001.0,Exports,Québec,Vermont,2233406.7,2.1268356353E8,41.94
2001.0,Exports,Saskatchewan,North Dakota,245006.0,1.616715416E7,61.71
2001.0,Exports,Saskatchewan,Total,245006.0,1.616715416E7,61.71
2001.0,Exports,Total,Alaska,1238.44,92574.0,74.75
2001.0,Exports,Total,Arizona,54954.0,6426144.52,116.94
2001.0,Exports,Total,California,3383696.0,1.69633141722E9,501.33
2001.0,Exports,Total,Colorado,36121.0,9438869.9,261.31
2001.0,Exports,Total,Idaho,13163.0,4677383.93,355.34
2001.0,Exports,Total,Iowa,5145.0,87294.14,15.27
2001.0,Exports,Total,Maine,4272934.191,3.1387694291E8,70.19
2001.0,Exports,Total,Maryland,37200.0,58213.54,1.56
2001.0,Exports,Total,Massachusetts,371191.0,2.022749E7,54.49
2001.0,Exports,Total,Michigan,74035.152,7013113.97,94.73
2001.0,Exports,Total,Minn / N. Dakota,9756305.02,5.3456526139E8,54.43
2001.0,Exports,Total,Minnesota,379283.0,2.245797465E7,53.65
2001.0,Exports,Total,New England-ISO,2458142.0,1.2474649729E8,50.57
2001.0,Exports,Total,New York,1.1843912252E7,6.7668037135E8,52.06
2001.0,Exports,Total,North Dakota,245136.0,1.617378418E7,61.70
2001.0,Exports,Total,Oregon,150777.0,3.526341833E7,233.88
2001.0,Exports,Total,South Dakota,34.0,0.0,0.00
2001.0,Exports,Total,Texas,3600.0,1316844.0,365.79
2001.0,Exports,Total,Total,3.8487809129E7,4.26320703839E9,105.57
2001.0,Exports,Total,Vermont,2233406.7,2.1268356353E8,41.94
2001.0,Exports,Total,Washington,3167535.374,5.8108987954E8,183.45
2001.0,Imports,California,Alberta,200.0,44417.0,222.09
2001.0,Imports,California,Total,200.0,44417.0,222.09
2001.0,Imports,Idaho,Alberta,9468.0,1165172.1,123.06
2001.0,Imports,Idaho,British Columbia,4409.0,112810.0,25.59
2001.0,Imports,Idaho,Total,13877.0,1277982.1,92.09
2001.0,Imports,Maine,New Brunswick,80102.5,3949095.06,49.30
2001.0,Imports,Maine,Nova Scotia,15.0,1576.48,105.10
2001.0,Imports,Maine,Québec,444.0,617063.37,1131.66
2001.0,Imports,Maine,Total,80561.5,4567734.91,55.28
2001.0,Imports,Michigan,Ontario,2175611.7,1.3769802328E8,63.29
2001.0,Imports,Michigan,Total,2175611.7,1.3769802328E8,63.29
2001.0,Imports,Minn / N. Dakota,Manitoba,657360.0,4.03771393E7,56.18
2001.0,Imports,Minn / N. Dakota,Total,657360.0,4.03771393E7,56.18
2001.0,Imports,Minnesota,Manitoba,206.0,9453.72,45.89
2001.0,Imports,Minnesota,Ontario,28425.0,728883.2,25.64
2001.0,Imports,Minnesota,Total,28631.0,738336.92,25.79
2001.0,Imports,Montana,Alberta,25.0,980.0,39.20
2001.0,Imports,Montana,British Columbia,30.0,2055.0,68.50
2001.0,Imports,Montana,Total,55.0,3035.0,55.18
2001.0,Imports,New York,Ontario,634248.0,6.349148589E7,100.11
2001.0,Imports,New York,Québec,3448352.0,1.3897327899E8,40.30
2001.0,Imports,New York,Total,4082600.0,2.0246476488E8,49.59
2001.0,Imports,North Dakota,Saskatchewan,855058.0,2.990617315E7,34.98
2001.0,Imports,North Dakota,Total,855058.0,2.990617315E7,34.98
2001.0,Imports,Oregon,Alberta,8811.0,839487.49,95.28
2001.0,Imports,Oregon,British Columbia,2360.0,54000.0,22.88
2001.0,Imports,Oregon,Total,11171.0,893487.49,79.98
2001.0,Imports,Total,Alberta,194259.66,1.00379205E7,51.67
2001.0,Imports,Total,British Columbia,8040923.0,1.38215000857E9,171.89
2001.0,Imports,Total,Manitoba,657566.0,4.038659302E7,56.18
2001.0,Imports,Total,New Brunswick,80102.5,3949095.06,49.30
2001.0,Imports,Total,Nova Scotia,15.0,1576.48,105.10
2001.0,Imports,Total,Ontario,2838284.7,2.0191839237E8,71.14
2001.0,Imports,Total,Québec,3448796.0,1.3959034236E8,40.44
2001.0,Imports,Total,Saskatchewan,855058.0,2.990617315E7,34.98
2001.0,Imports,Total,Total,1.611500486E7,1.80794010151E9,111.97
2001.0,Imports,Washington,Alberta,175755.66,7987863.91,45.45
2001.0,Imports,Washington,British Columbia,8034124.0,1.38198114357E9,172.01
2001.0,Imports,Washington,Total,8209879.66,1.38996900748E9,169.30
2002.0,Exports,Alberta,Oregon,545.0,16239.0,29.80
2002.0,Exports,Alberta,Total,52998.0,1974814.96,37.26
2002.0,Exports,Alberta,Washington,52453.0,1958575.96,37.34
2002.0,Exports,British Columbia,Alaska,939.68,255001.0,271.37
2002.0,Exports,British Columbia,Arizona,63361.0,3085966.96,48.70
2002.0,Exports,British Columbia,California,3168526.0,1.0854431474E8,34.26
2002.0,Exports,British Columbia,Colorado,6707.0,308191.72,45.95
2002.0,Exports,British Columbia,Idaho,626.0,28283.0,45.18
2002.0,Exports,British Columbia,Minnesota,1314.0,105831.49,80.54
2002.0,Exports,British Columbia,Montana,52033.0,2580905.63,49.60
2002.0,Exports,British Columbia,Nevada,83672.0,7212238.46,86.20
2002.0,Exports,British Columbia,New Mexico,12017.0,916827.71,76.29
2002.0,Exports,British Columbia,North Dakota,42.0,2486.27,59.20
2002.0,Exports,British Columbia,Oregon,236071.0,1.596849021E7,67.64
2002.0,Exports,British Columbia,Pennsylvania,30.0,572.75,19.09
2002.0,Exports,British Columbia,South Dakota,363.0,10645.89,29.33
2002.0,Exports,British Columbia,Total,7964788.32,2.8890728903E8,36.27
2002.0,Exports,British Columbia,Utah,8800.0,593178.6,67.41
2002.0,Exports,British Columbia,Washington,4309099.64,1.4779817036E8,34.30
2002.0,Exports,British Columbia,Wyoming,21187.0,1496184.24,70.62
2002.0,Exports,Manitoba,Minn / N. Dakota,7409729.655,3.9046791639E8,52.68
2002.0,Exports,Manitoba,Minnesota,75.0,1079.0,14.39
2002.0,Exports,Manitoba,Total,7409804.655,3.9046899539E8,52.68
2002.0,Exports,New Brunswick,Maine,3043386.052,1.9266828287E8,61.49
2002.0,Exports,New Brunswick,Total,3043386.052,1.9266828287E8,61.49
2002.0,Exports,Nova Scotia,Maine,29817.0,1270414.82,42.61
2002.0,Exports,Nova Scotia,Total,29817.0,1270414.82,42.61
2002.0,Exports,Ontario,Michigan,240254.652,1.12478774E7,46.82
2002.0,Exports,Ontario,Minnesota,146803.0,5893296.45,40.14
2002.0,Exports,Ontario,New York,2448347.435,9.757774421E7,39.33
2002.0,Exports,Ontario,Ohio,110.0,4951.0,45.01
2002.0,Exports,Ontario,Pennsylvania,350.0,14789.0,42.25
2002.0,Exports,Ontario,Total,2836240.087,1.1475521606E8,40.01
2002.0,Exports,Ontario,Virginia,375.0,16558.0,44.15
2002.0,Exports,Québec,Maine,830996.92,4.279833802E7,51.50
2002.0,Exports,Québec,Massachusetts,171728.0,1.174784759E7,68.41
2002.0,Exports,Québec,New England-ISO,2400.0,137080.0,57.12
2002.0,Exports,Québec,New York,1.1625721E7,5.6878326738E8,45.34
2002.0,Exports,Québec,Total,1.473862992E7,8.3567517883E8,45.65
2002.0,Exports,Québec,Vermont,2107784.0,2.1220864584E8,43.21
2002.0,Exports,Saskatchewan,Montana,70.0,1788.0,25.54
2002.0,Exports,Saskatchewan,North Dakota,460784.0,2.512349144E7,42.90
2002.0,Exports,Saskatchewan,Total,460854.0,2.512527944E7,42.90
2002.0,Exports,Total,Alaska,939.68,255001.0,271.37
2002.0,Exports,Total,Arizona,63361.0,3085966.96,48.70
2002.0,Exports,Total,California,3168526.0,1.0854431474E8,34.26
2002.0,Exports,Total,Colorado,6707.0,308191.72,45.95
2002.0,Exports,Total,Idaho,626.0,28283.0,45.18
2002.0,Exports,Total,Maine,3904199.972,2.3673703571E8,59.22
2002.0,Exports,Total,Massachusetts,171728.0,1.174784759E7,68.41
2002.0,Exports,Total,Michigan,240254.652,1.12478774E7,46.82
2002.0,Exports,Total,Minn / N. Dakota,7409729.655,3.9046791639E8,52.68
2002.0,Exports,Total,Minnesota,148192.0,6000206.94,40.49
2002.0,Exports,Total,Montana,52103.0,2582693.63,49.57
2002.0,Exports,Total,Nevada,83672.0,7212238.46,86.20
2002.0,Exports,Total,New England-ISO,2400.0,137080.0,57.12
2002.0,Exports,Total,New Mexico,12017.0,916827.71,76.29
2002.0,Exports,Total,New York,1.4074068435E7,6.6636101159E8,44.29
2002.0,Exports,Total,North Dakota,460826.0,2.512597771E7,42.90
2002.0,Exports,Total,Ohio,110.0,4951.0,45.01
2002.0,Exports,Total,Oregon,236616.0,1.598472921E7,67.56
2002.0,Exports,Total,Pennsylvania,380.0,15361.75,40.43
2002.0,Exports,Total,South Dakota,363.0,10645.89,29.33
2002.0,Exports,Total,Total,3.6536518034E7,1.8508454714E9,45.86
2002.0,Exports,Total,Utah,8800.0,593178.6,67.41
2002.0,Exports,Total,Vermont,2107784.0,2.1220864584E8,43.21
2002.0,Exports,Total,Virginia,375.0,16558.0,44.15
2002.0,Exports,Total,Washington,4361552.64,1.4975674632E8,34.34
2002.0,Exports,Total,Wyoming,21187.0,1496184.24,70.62
2002.0,Imports,Idaho,Alberta,525.0,10114.5,19.27
2002.0,Imports,Idaho,Total,525.0,10114.5,19.27
2002.0,Imports,Illinois,Ontario,125015.0,7766732.0,62.13
2002.0,Imports,Illinois,Total,125015.0,7766732.0,62.13
2002.0,Imports,Indiana,Ontario,810.0,102751.27,126.85
2002.0,Imports,Indiana,Total,810.0,102751.27,126.85
2002.0,Imports,Maine,New Brunswick,9120.5,380436.2,41.71
2002.0,Imports,Maine,Québec,182968.0,3.353167289E7,183.27
2002.0,Imports,Maine,Total,192088.5,3.391210909E7,176.54
2002.0,Imports,Michigan,Ontario,2474343.28,1.6554348357E8,66.90
2002.0,Imports,Michigan,Total,2474343.28,1.6554348357E8,66.90
2002.0,Imports,Minn / N. Dakota,Manitoba,2142733.0,6.067711961E7,28.32
2002.0,Imports,Minn / N. Dakota,Total,2142733.0,6.067711961E7,28.32
2002.0,Imports,Minnesota,Ontario,563823.0,3.604185069E7,63.92
2002.0,Imports,Minnesota,Total,563823.0,3.604185069E7,63.92
2002.0,Imports,Missouri,Ontario,136.0,5616.24,41.30
2002.0,Imports,Missouri,Total,136.0,5616.24,41.30
2002.0,Imports,New York,Ontario,748495.58,7.18274122E7,95.96
2002.0,Imports,New York,Québec,2362766.0,1.0020766601E8,42.41
2002.0,Imports,New York,Total,3111261.58,1.7203507821E8,55.29
2002.0,Imports,North Dakota,Saskatchewan,962686.0,3.123537377E7,31.98
2002.0,Imports,North Dakota,Total,962686.0,3.123537377E7,31.98
2002.0,Imports,Ohio,Ontario,3902.0,231191.98,59.25
2002.0,Imports,Ohio,Total,3902.0,231191.98,59.25
2002.0,Imports,Oregon,Alberta,5466.0,223025.0,40.80
2002.0,Imports,Oregon,British Columbia,3205.0,74700.0,23.31
2002.0,Imports,Oregon,Total,8671.0,297725.0,34.34
2002.0,Imports,Pennsylvania,Ontario,96160.0,5187246.35,53.94
2002.0,Imports,Pennsylvania,Total,96160.0,5187246.35,53.94
2002.0,Imports,Total,Alberta,307935.0,1.049512052E7,34.08
2002.0,Imports,Total,British Columbia,5250185.0,1.2279166554E8,23.39
2002.0,Imports,Total,Manitoba,2142733.0,6.067711961E7,28.32
2002.0,Imports,Total,New Brunswick,9120.5,380436.2,41.71
2002.0,Imports,Total,Ontario,4012684.86,2.867062843E8,71.45
2002.0,Imports,Total,Québec,2545734.0,1.337393389E8,52.53
2002.0,Imports,Total,Saskatchewan,962686.0,3.123537377E7,31.98
2002.0,Imports,Total,Total,1.523107836E7,6.4602533884E8,42.39
2002.0,Imports,Washington,Alberta,301944.0,1.026198102E7,33.99
2002.0,Imports,Washington,British Columbia,5246980.0,1.2271696554E8,23.39
2002.0,Imports,Washington,Total,5548924.0,1.3297894656E8,23.96
2003.0,Exports,Alberta,Idaho,25.0,123.0,4.92
2003.0,Exports,Alberta,Michigan,1.0,0.0,0.00
2003.0,Exports,Alberta,Oregon,3939.0,185333.05,47.05
2003.0,Exports,Alberta,Total,73583.0,3639493.18,49.46
2003.0,Exports,Alberta,Washington,69618.0,3454037.13,49.61
2003.0,Exports,British Columbia,Alaska,1159.36,83026.19,71.61
2003.0,Exports,British Columbia,Arizona,36120.0,2652686.23,73.44
2003.0,Exports,British Columbia,California,3177123.0,1.8071787247E8,56.88
2003.0,Exports,British Columbia,Colorado,2165.0,210202.34,97.09
2003.0,Exports,British Columbia,Idaho,1918.0,139501.81,72.73
2003.0,Exports,British Columbia,Montana,11070.0,783055.31,70.74
2003.0,Exports,British Columbia,Nebraska,2402.0,197042.38,82.03
2003.0,Exports,British Columbia,Nevada,220896.0,1.860955598E7,84.25
2003.0,Exports,British Columbia,New Mexico,22999.0,1912225.83,83.14
2003.0,Exports,British Columbia,Oregon,280440.0,2.012020042E7,71.75
2003.0,Exports,British Columbia,Total,7166437.96,3.8371804834E8,53.54
2003.0,Exports,British Columbia,Utah,5762.0,605320.3,105.05
2003.0,Exports,British Columbia,Washington,3375732.6,1.550197833E8,45.92
2003.0,Exports,British Columbia,Wyoming,28651.0,2667575.78,93.11
2003.0,Exports,Manitoba,Minn / N. Dakota,4241931.5,2.6373980009E8,62.17
2003.0,Exports,Manitoba,Total,4241941.5,2.6373980009E8,62.17
2003.0,Exports,Manitoba,Virginia,10.0,0.0,0.00
2003.0,Exports,New Brunswick,Maine,2578904.175,1.6178412333E8,62.08
2003.0,Exports,New Brunswick,New England-ISO,95883.0,6090360.45,63.52
2003.0,Exports,New Brunswick,New York,12302.0,798602.76,64.92
2003.0,Exports,New Brunswick,Total,2687089.175,1.6867308654E8,62.14
2003.0,Exports,Nova Scotia,Maine,4407.0,215495.51,48.90
2003.0,Exports,Nova Scotia,New York,111339.0,7310475.91,65.66
2003.0,Exports,Nova Scotia,Total,115746.0,7525971.42,65.02
2003.0,Exports,Ontario,Michigan,1253348.452,6.399548038E7,51.06
2003.0,Exports,Ontario,Minnesota,153356.0,8699839.42,56.73
2003.0,Exports,Ontario,New England-ISO,3529.0,194639.87,55.15
2003.0,Exports,Ontario,New York,2863207.452,1.4641137221E8,50.53
2003.0,Exports,Ontario,Ohio,2057.0,79548.0,38.67
2003.0,Exports,Ontario,Pennsylvania,17463.0,1149544.37,65.83
2003.0,Exports,Ontario,Total,4293878.904,2.2056461825E8,50.97
2003.0,Exports,Ontario,Wisconsin,918.0,34194.0,37.25
2003.0,Exports,Québec,Maine,997317.94,5.012909256E7,50.26
2003.0,Exports,Québec,Massachusetts,43940.0,4577823.59,104.18
2003.0,Exports,Québec,New England-ISO,139892.0,8627139.31,61.67
2003.0,Exports,Québec,New York,7011583.0,5.6680925389E8,77.30
2003.0,Exports,Québec,Total,1.003823794E7,8.0987530021E8,67.51
2003.0,Exports,Québec,Vermont,1845505.0,1.7973199086E8,39.22
2003.0,Exports,Saskatchewan,Michigan,3.0,0.0,0.00
2003.0,Exports,Saskatchewan,North Dakota,707287.0,4.548779588E7,62.41
2003.0,Exports,Saskatchewan,Pennsylvania,443.0,29887.42,67.47
2003.0,Exports,Saskatchewan,Tennessee,1.0,0.0,0.00
2003.0,Exports,Saskatchewan,Total,707742.0,4.551788671E7,62.41
2003.0,Exports,Saskatchewan,Virginia,6.0,0.0,0.00
2003.0,Exports,Saskatchewan,Wisconsin,2.0,203.41,101.71
2003.0,Exports,Total,Alaska,1159.36,83026.19,71.61
2003.0,Exports,Total,Arizona,36120.0,2652686.23,73.44
2003.0,Exports,Total,California,3177123.0,1.8071787247E8,56.88
2003.0,Exports,Total,Colorado,2165.0,210202.34,97.09
2003.0,Exports,Total,Idaho,1943.0,139624.81,71.86
2003.0,Exports,Total,Maine,3580629.115,2.121287114E8,58.77
2003.0,Exports,Total,Massachusetts,43940.0,4577823.59,104.18
2003.0,Exports,Total,Michigan,1253352.452,6.399548038E7,51.06
2003.0,Exports,Total,Minn / N. Dakota,4241931.5,2.6373980009E8,62.17
2003.0,Exports,Total,Minnesota,153356.0,8699839.42,56.73
2003.0,Exports,Total,Montana,11070.0,783055.31,70.74
2003.0,Exports,Total,Nebraska,2402.0,197042.38,82.03
2003.0,Exports,Total,Nevada,220896.0,1.860955598E7,84.25
2003.0,Exports,Total,New England-ISO,239304.0,1.491213963E7,62.31
2003.0,Exports,Total,New Mexico,22999.0,1912225.83,83.14
2003.0,Exports,Total,New York,9998431.452,7.2132970477E8,69.49
2003.0,Exports,Total,North Dakota,707287.0,4.548779588E7,62.41
2003.0,Exports,Total,Ohio,2057.0,79548.0,38.67
2003.0,Exports,Total,Oregon,284379.0,2.030553347E7,71.40
2003.0,Exports,Total,Pennsylvania,17906.0,1179431.79,65.87
2003.0,Exports,Total,Tennessee,1.0,0.0,0.00
2003.0,Exports,Total,Total,2.9324656479E7,1.90325420474E9,60.23
2003.0,Exports,Total,Utah,5762.0,605320.3,105.05
2003.0,Exports,Total,Vermont,1845505.0,1.7973199086E8,39.22
2003.0,Exports,Total,Virginia,16.0,0.0,0.00
2003.0,Exports,Total,Washington,3445350.6,1.5847382043E8,46.00
2003.0,Exports,Total,Wisconsin,920.0,34397.41,37.39
2003.0,Exports,Total,Wyoming,28651.0,2667575.78,93.11
2003.0,Imports,Illinois,Ontario,160185.0,1.428989458E7,89.21
2003.0,Imports,Illinois,Total,160185.0,1.428989458E7,89.21
2003.0,Imports,Iowa,Ontario,1319.0,40700.49,30.86
2003.0,Imports,Iowa,Total,1319.0,40700.49,30.86
2003.0,Imports,Maine,New Brunswick,72086.3,5147168.4,71.40
2003.0,Imports,Maine,Québec,425962.0,3.634860607E7,85.33
2003.0,Imports,Maine,Total,498048.3,4.149577447E7,83.32
2003.0,Imports,Massachusetts,Ontario,2537.0,410164.6,161.67
2003.0,Imports,Massachusetts,Québec,40800.0,4077796.0,99.95
2003.0,Imports,Massachusetts,Total,43337.0,4487960.6,103.56
2003.0,Imports,Michigan,Ontario,4817667.5,2.5245220015E8,52.40
2003.0,Imports,Michigan,Total,4817667.5,2.5245220015E8,52.40
2003.0,Imports,Minn / N. Dakota,Manitoba,5906405.0,2.5270480238E8,42.78
2003.0,Imports,Minn / N. Dakota,Total,5906405.0,2.5270480238E8,42.78
2003.0,Imports,Minnesota,Alberta,9567.0,675178.0,70.57
2003.0,Imports,Minnesota,Ontario,1203893.0,6.724407298E7,55.86
2003.0,Imports,Minnesota,Total,1213460.0,6.791925098E7,55.97
2003.0,Imports,Missouri,Ontario,208.0,10166.0,48.88
2003.0,Imports,Missouri,Total,208.0,10166.0,48.88
2003.0,Imports,Montana,Alberta,1001.0,56693.88,56.64
2003.0,Imports,Montana,Total,1001.0,56693.88,56.64
2003.0,Imports,New York,Ontario,1052483.05,8.023871269E7,76.24
2003.0,Imports,New York,Québec,3458210.0,1.6343508766E8,47.26
2003.0,Imports,New York,Total,4510693.05,2.4367380035E8,54.02
2003.0,Imports,North Dakota,Saskatchewan,907602.0,3.683998507E7,40.59
2003.0,Imports,North Dakota,Total,907602.0,3.683998507E7,40.59
2003.0,Imports,Ohio,Ontario,13740.0,870589.36,63.36
2003.0,Imports,Ohio,Total,13740.0,870589.36,63.36
2003.0,Imports,Oregon,Alberta,6130.0,384166.0,62.67
2003.0,Imports,Oregon,British Columbia,15.0,2000.0,133.33
2003.0,Imports,Oregon,Total,6145.0,386166.0,62.84
2003.0,Imports,Pennsylvania,Nova Scotia,1221.0,118442.91,97.00
2003.0,Imports,Pennsylvania,Ontario,101590.0,6159783.69,60.63
2003.0,Imports,Pennsylvania,Total,102811.0,6278226.6,61.07
2003.0,Imports,Total,Alberta,331159.0,1.964311024E7,59.32
2003.0,Imports,Total,British Columbia,5087189.0,1.9050701554E8,37.45
2003.0,Imports,Total,Manitoba,5906405.0,2.5270480238E8,42.78
2003.0,Imports,Total,New Brunswick,72086.3,5147168.4,71.40
2003.0,Imports,Total,Nova Scotia,1221.0,118442.91,97.00
2003.0,Imports,Total,Ontario,7353622.55,4.2171628454E8,57.35
2003.0,Imports,Total,Québec,3924972.0,2.0386148973E8,51.94
2003.0,Imports,Total,Saskatchewan,907758.0,3.684352783E7,40.59
2003.0,Imports,Total,Total,2.358441285E7,1.13054184157E9,47.94
2003.0,Imports,Washington,Alberta,314461.0,1.852707236E7,58.92
2003.0,Imports,Washington,British Columbia,5087174.0,1.9050501554E8,37.45
