Authority Name,Fiscal Year End Date,Loans,Loan Fund Sources,Recipient Name,Recipient City,Recipient State,Recipient Postal Code,Date Loan Awarded,Original Loan Amount,Interest Rate,Loan Length,Amount Repaid,Loan Purpose,New Jobs,Jobs Planned,Jobs Created,Loan Terms Completed
City of Kingston Local Development Corporation,12/31/2011,,Federal,YMCA,KINGSTON,NY,12401,12/27/2010,150000.0,5.0,10.0,10849.93,Business Expansion/Startup,No,,,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,"S.J. McCullagh, Inc.",BUFFALO,NY,14204,05/24/2011,107300.0,4.0,5.0,11443.23,Business Expansion/Startup,Yes,3.0,8.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,SIC CHOPPERS INC.,KENMORE,NY,14217,10/07/2009,15000.0,6.87,5.0,5874.92,Business Expansion/Startup,Yes,5.0,0.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,"Safetec of America, Inc.",BUFFALO,NY,14215,03/17/2005,600000.0,5.5,7.0,437413.2,Equipment and Fixed Asset Acquisition,Yes,8.0,17.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,Sandra and Michael Cid dba Toolrac.com,HAMBURG,NY,14075,07/19/2011,35000.0,4.0,5.0,0.0,Business Expansion/Startup,Yes,1.0,0.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,Schneider's Fish & Sea Food,CHEEKTOWAGA,NY,14227,12/30/2004,400000.0,4.0,7.0,378357.24,Business Expansion/Startup,Yes,8.0,0.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,Schutte - Bflo. Hammermill,BUFFALO,NY,14240,03/19/2004,550000.0,4.0,7.0,421668.37,Equipment and Fixed Asset Acquisition,Yes,6.0,5.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,Serenity Hair Boutique,BUFFALO,NY,14210,09/10/2008,20000.0,4.0,10.0,832.62,Business Expansion/Startup,Yes,2.0,0.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,Service Manufacturing Group,CHEEKTOWAGA,NY,14225,11/07/2006,125799.43,8.25,1.0,81981.24,Business Expansion/Startup,No,,,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,"Sherex Industries, Ltd.",LANCASTER,NY,14086,04/28/2010,400000.0,4.0,7.0,80951.16,Business Expansion/Startup,No,,,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,Singleton Construction Consulting,BUFFALO,NY,14208,09/29/2008,5000.0,4.0,10.0,5000.0,Equipment and Fixed Asset Acquisition,No,,,Yes
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,"Smukall's Performance, Inc.",BUFFALO,NY,14220,02/15/2011,15000.0,4.0,5.0,2316.73,Equipment and Fixed Asset Acquisition,No,,,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,Snyder Transportation LLC,BUFFALO,NY,14215,04/16/2010,500000.0,4.0,5.0,147671.25,Equipment and Fixed Asset Acquisition,No,,,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,Sure Step of Western New York,HAMBURG,NY,14075,07/06/2010,30000.0,4.0,5.0,30000.0,Business Expansion/Startup,No,,,Yes
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,TNT Moberg International II,BUFFALO,NY,14210,12/22/2009,50000.0,4.0,5.0,18811.02,Business Expansion/Startup,Yes,2.0,0.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,TVGA Engineering Surveying PC,BUFFALO,NY,14202,02/12/2010,212500.0,4.0,5.0,73037.61,Business Expansion/Startup,Yes,4.0,0.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,Tastings,BUFFALO,NY,14216,11/26/2008,35750.0,4.0,10.0,0.0,Business Expansion/Startup,Yes,1.0,1.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,Tastings,BUFFALO,NY,14218,08/25/2010,24250.0,4.0,5.0,2576.71,Business Expansion/Startup,Yes,2.0,0.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,"Ten-Elevan Group, Inc.",EAST AMHERST,NY,14051,07/14/2011,243000.0,4.0,5.0,18448.63,Business Expansion/Startup,Yes,5.0,0.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,Terry's Cafe & Bakery,KENMORE,NY,14217,10/05/2011,14765.0,4.0,5.0,444.49,Business Expansion/Startup,Yes,4.0,0.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,The Cleaning Pixies,HAMBURG,NY,14075,03/08/2011,35000.0,4.0,5.0,4815.43,Business Expansion/Startup,Yes,2.0,0.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,The Ink Spot,BUFFALO,NY,14208,05/21/2010,16500.0,4.0,7.0,0.0,Business Expansion/Startup,No,,,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,"Uhmac Industries, Inc.",HOLLAND,NY,14080,02/26/2001,104300.0,4.0,5.0,77089.41,Equipment and Fixed Asset Acquisition,No,,,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,"ValueCentric, LLC",ORCHARD PARK,NY,14127,12/31/2009,315450.0,4.0,3.0,197155.11,Equipment and Fixed Asset Acquisition,Yes,5.0,17.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,WNY Hockey Magazine LLC,AMHERST,NY,14228,05/06/2009,35000.0,6.87,4.0,6684.63,Business Expansion/Startup,No,,,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,Western New York Manufacturing Inc.,BUFFALO,NY,14240,01/22/2008,100000.0,5.0,5.0,33382.24,Business Expansion/Startup,Yes,4.0,0.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,"Wolf Fitness, Inc.",LACKAWANNA,NY,14218,10/03/2005,69000.0,4.0,5.0,68978.46,Business Expansion/Startup,Yes,2.0,0.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Federal,"Your Troubadour, Inc.",SPRINGVILLE,NY,14141,07/15/2011,35000.0,4.0,5.0,2657.22,Business Expansion/Startup,Yes,2.0,0.0,No
Buffalo and Erie County Regional Development Corporation,12/31/2011,,Private,"Perry's Ice Cream Company, Inc.",AKRON,NY,14001,11/21/2011,2000000.0,4.0,7.0,88.88,Equipment and Fixed Asset Acquisition,Yes,8.0,10.0,No
Cortland County Business Development Corporation,12/31/2011,,Not for Profit,60 Main LLC dba Brix,CORTLAND,NY,13045,02/11/2010,50000.0,6.0,10.0,6737.83,Equipment and Fixed Asset Acquisition,No,,,No
Cortland County Business Development Corporation,12/31/2011,,Not for Profit,Cortland Foundations LLC,CORTLAND,NY,13045,11/17/2011,50000.0,6.0,3.0,0.0,Business Expansion/Startup,No,,,No
Cortland County Business Development Corporation,12/31/2011,,Not for Profit,Delta Investments,CORTLAND,NY,13045,01/18/2010,35000.0,6.0,10.0,4953.35,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,1.0,No
Cortland County Business Development Corporation,12/31/2011,,Not for Profit,Edward Martin Corp dba MD Deli,CORTLAND,NY,13045,07/07/2009,60000.0,6.0,10.0,22155.39,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Cortland County Business Development Corporation,12/31/2011,,Not for Profit,JAG COURT RECORDING & TRANSCRIPTION SERVICES INC,CORTLAND,NY,13045,11/12/2008,20000.0,6.0,60.0,10594.93,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,5.0,4.0,No
Cortland County Business Development Corporation,12/31/2011,,Not for Profit,M D DELI,CORTLAND,NY,13045,06/14/2007,60000.0,6.0,10.0,10974.26,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,5.0,6.0,No
Cortland County Business Development Corporation,12/31/2011,,Not for Profit,MARATHON BOAT GROUP,MARATHON,NY,13803,06/11/2008,15000.0,6.0,7.0,3356.07,Equipment and Fixed Asset Acquisition,Yes,7.0,17.0,No
Cortland County Business Development Corporation,12/31/2011,,Not for Profit,Paul Smith Jr aka Crown City Stove Works,CORTLAND,NY,13045,01/29/2010,50000.0,6.0,10.0,7076.62,Equipment and Fixed Asset Acquisition,No,,,No
Cortland County Business Development Corporation,12/31/2011,,Not for Profit,"Prop, Inc.",CORTLAND,NY,13045,06/29/2011,50000.0,6.0,10.0,1540.83,"Land Acquisition/Development /Infrastructure Costs (i.e., Water/Sewer)",No,,,No
Cortland County Business Development Corporation,12/31/2011,,Not for Profit,cortland plastics intl,CORTLAND,NY,13045,01/25/2007,75000.0,6.0,10.0,30704.87,Equipment and Fixed Asset Acquisition,No,,,No
Cortland County Business Development Corporation,12/31/2011,,Not for Profit,graph-tex,CORTLAND,NY,13045,12/21/2000,50000.0,6.0,10.0,50000.0,Equipment and Fixed Asset Acquisition,No,,,Yes
Cortland County Business Development Corporation,12/31/2011,,Not for Profit,graphics plus printing,CORTLAND,NY,13045,02/23/2001,75000.0,6.0,10.0,22563.88,Equipment and Fixed Asset Acquisition,No,,,No
Cortland County Business Development Corporation,12/31/2011,,Not for Profit,nationwide leasing corp,CORTLAND,NY,13045,07/01/2001,50000.0,6.0,10.0,41484.76,Equipment and Fixed Asset Acquisition,No,,,No
Cortland County Business Development Corporation,12/31/2011,,Not for Profit,priority fire apparatus,CORTLAND,NY,13045,01/07/2005,25000.0,6.0,5.0,25000.0,Equipment and Fixed Asset Acquisition,No,,,Yes
Seneca Tobacco Asset Securitization Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Wayne Industrial Sustainability Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Genesee County Funding Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Monroe Security & Safety System Local Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Livingston County Development Corporation,12/31/2011,,Federal,Christina M. Hand and Kevin E. Hand,NUNDA,NY,14517,11/09/2005,50000.0,8.0,7.0,13057.0,Business Expansion/Startup,Yes,3.0,0.0,No
Livingston County Development Corporation,12/31/2011,,Federal,Constance M. Eadie,CONESUS,NY,14435,04/29/2008,30000.0,5.0,5.0,9465.0,Business Expansion/Startup,Yes,3.0,0.0,No
Livingston County Development Corporation,12/31/2011,,Federal,"Ell-n-wood Flowers & Gardens, Inc.",CONESUS,NY,14435,08/09/2006,50000.0,5.0,10.0,5001.0,Business Expansion/Startup,Yes,1.0,1.0,No
Livingston County Development Corporation,12/31/2011,,Federal,Higley Flow LLC,GENESEO,NY,14454,12/05/2008,45000.0,5.0,5.0,22304.0,Business Expansion/Startup,Yes,6.0,6.0,No
Livingston County Development Corporation,12/31/2011,,Federal,"Innovative Panelized Systems, Inc.",LIMA,NY,14485,11/09/2006,25000.0,5.0,5.0,25000.0,Business Expansion/Startup,Yes,4.0,4.0,Yes
Livingston County Development Corporation,12/31/2011,,Federal,Jane A. Petti and Keith D. Petti,DANSVILLE,NY,14437,10/23/2006,50000.0,5.0,5.0,21882.0,Business Expansion/Startup,Yes,3.0,3.0,No
Livingston County Development Corporation,12/31/2011,,Federal,Rich's Power Equipment,AVON,NY,14414,10/30/2009,50000.0,5.0,5.0,17636.0,Business Expansion/Startup,No,,,No
Livingston County Development Corporation,12/31/2011,,Federal,Virginia E. Roberts,CASTILE,NY,14427,10/21/2005,50000.0,5.0,10.0,34438.0,Business Expansion/Startup,Yes,7.0,7.0,No
Livingston County Development Corporation,12/31/2011,,Not for Profit,"Dylry Holdings, INc.",DANSVILLE,NY,14437,03/31/2009,50000.0,5.0,8.0,4765.0,Business Expansion/Startup,Yes,8.0,0.0,No
Livingston County Development Corporation,12/31/2011,,Not for Profit,Kristin Swanson,GENESEO,NY,14454,07/10/2007,15000.0,5.0,5.0,12506.0,Business Expansion/Startup,Yes,3.0,3.0,No
Livingston County Development Corporation,12/31/2011,,Not for Profit,Natale Harter,AVON,NY,14414,03/23/2011,15000.0,5.0,5.0,2100.0,Business Expansion/Startup,Yes,5.0,5.0,No
Livingston County Development Corporation,12/31/2011,,Not for Profit,Questa Lasagna Inc.,MOUNT MORRIS,NY,14510,03/12/2010,50000.0,5.0,5.0,13995.0,Business Expansion/Startup,Yes,6.0,6.0,No
Livingston County Development Corporation,12/31/2011,,Not for Profit,Rainy Days Cafe & Bakery LLC,MOUNT MORRIS,NY,14510,11/01/2010,30000.0,5.0,5.0,4554.0,Business Expansion/Startup,Yes,6.0,4.0,No
Livingston County Development Corporation,12/31/2011,,Not for Profit,William Schuster Agency LLC,LAKEVILLE,NY,14480,05/27/2009,55000.0,5.0,7.0,14425.0,Business Expansion/Startup,Yes,2.0,2.0,No
Livingston County Development Corporation,12/31/2011,,State,Coast Professional,GENESEO,NY,14454,05/15/2009,241772.0,0.0,10.0,0.0,Business Expansion/Startup,Yes,100.0,74.0,No
Livingston County Development Corporation,12/31/2011,,State,Coast Professional,GENESEO,NY,14454,05/15/2009,250000.0,3.0,10.0,40344.0,Business Expansion/Startup,Yes,100.0,74.0,No
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Federal,"Academy of Theatre, Arts",WILLIAMSVILLE,NY,14221,05/18/2006,35000.0,6.88,5.0,35000.0,Business Expansion/Startup,No,,,Yes
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Federal,Bill Weber's Greenhouse & Farm Market,WEST SENECA,NY,14224,12/09/2010,35000.0,2.0,5.0,6706.22,Business Expansion/Startup,Yes,3.0,3.0,No
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Federal,Cleaning Specialists of WNY,TONAWANDA,NY,14150,04/12/2006,30000.0,6.88,5.0,20313.38,Business Expansion/Startup,No,,,Yes
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Federal,"Cleaning Specialties of WNY, Inc.",TONAWANDA,NY,14150,08/04/2011,9686.62,8.0,1.0,2758.7,Business Expansion/Startup,Yes,15.0,0.0,No
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Federal,Daniel D. Bolt Logging & Firewood,CHAFFEE,NY,14030,11/02/2010,35000.0,2.0,5.0,7271.14,Equipment and Fixed Asset Acquisition,No,,,No
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Federal,Gabel's Maple Syrup,LAWTONS,NY,14091,02/24/2010,35000.0,2.0,5.0,12437.14,Business Expansion/Startup,No,,,No
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Federal,"LMJ Cornucopia, LLC",EAST AURORA,NY,14052,02/08/2008,35000.0,6.88,5.0,25179.19,Business Expansion/Startup,No,,,No
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Federal,Mini Max Concrete Corp.,GRAND ISLAND,NY,14072,01/21/2010,35000.0,2.0,5.0,13005.0,Business Expansion/Startup,Yes,3.0,0.0,No
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Federal,"Newstead Homes & Improvements, Inc.",AKRON,NY,14001,05/11/2011,32000.0,2.0,5.0,2686.08,Business Expansion/Startup,Yes,2.0,0.0,No
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Federal,People's Mart,LACKAWANNA,NY,14218,11/05/2010,35000.0,2.0,5.0,5529.11,Business Expansion/Startup,Yes,4.0,4.0,No
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Federal,Village Kids Consignment Shop,HAMBURG,NY,14075,10/01/2008,30000.0,6.88,5.0,9088.69,Business Expansion/Startup,No,,,No
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Municipal,Care-A-Lot Childcare Center,DERBY,NY,14047,03/29/1995,53111.13,6.0,5.0,42246.01,Business Expansion/Startup,No,,,No
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Municipal,Creeps-Inc.,DEPEW,NY,14043,09/25/2007,20000.0,6.88,4.0,15369.69,Business Expansion/Startup,No,,,No
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Municipal,East Amherst Research Partners,EAST AMHERST,NY,14051,12/19/2007,50000.0,3.75,3.0,34221.02,Business Expansion/Startup,No,,,No
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,,Municipal,"Southtowns Sports, Inc.",BLASDELL,NY,14219,06/01/2006,60000.0,3.75,3.0,30695.65,Business Expansion/Startup,No,,,Yes
Monroe Newpower Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Wyandanch Rising Inc.,12/31/2011,No,,,,,,,,,,,,,,,
Civic Center Monroe County Local Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Upstate Telecommunications Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Monroe Tobacco Asset Securitization Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Genesee Gateway Local Development Corporation,12/31/2011,,State,"O-AT-KA Milk Products Cooperative, Inc.",BATAVIA,NY,14020,11/02/2007,300000.0,2.0,7.0,151905.4,Business Expansion/Startup,Yes,60.0,12.0,No
Genesee Gateway Local Development Corporation,12/31/2011,,State,First Wave Technologies - 2011,BATAVIA,NY,14020,01/06/2011,412005.0,4.25,6.0,0.0,Business Expansion/Startup,Yes,33.0,0.0,No
Genesee Gateway Local Development Corporation,12/31/2011,,State,"Wellsville Carpet Town, Inc.",WESTONS MILLS,NY,14788,10/05/2007,570000.0,0.0,7.0,407143.2,Business Expansion/Startup,Yes,111.0,50.0,No
Genesee Gateway Local Development Corporation,12/31/2011,,State,"Yancey's Fancey, Inc.",CORFU,NY,14036,03/21/2007,250000.0,3.0,7.0,97182.52,Business Expansion/Startup,Yes,25.0,25.0,No
Genesee Gateway Local Development Corporation,12/31/2011,,State,Yancey's Fancy - 2010 (Loan#2),CORFU,NY,14036,02/26/2010,150000.0,2.0,5.0,50803.94,Business Expansion/Startup,Yes,15.0,16.0,No
Village of Lancaster Community Development Corporation,05/31/2011,No,,,,,,,,,,,,,,,
Town of Brookhaven Local Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Putnam County Economic Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Madison County Capital Resource Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Niagara Power Coalition,12/31/2011,No,,,,,,,,,,,,,,,
St. Lawrence County Industrial Development Agency Civic Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Onondaga Civic Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Town of Hempstead Local Development Corp.,12/31/2011,No,,,,,,,,,,,,,,,
Lumber City Development Corporation,12/31/2011,,Federal,Ascension Industries,NORTH TONAWANDA,NY,14120,01/29/2008,350000.0,5.0,7.0,109371.09,Equipment and Fixed Asset Acquisition,Yes,35.0,20.0,No
Lumber City Development Corporation,12/31/2011,,Federal,Audubon Machinery Corp,NORTH TONAWANDA,NY,14120,01/01/2006,450000.0,5.0,10.0,400000.0,Equipment and Fixed Asset Acquisition,Yes,35.0,30.0,Yes
Lumber City Development Corporation,12/31/2011,,Federal,Calgon Carbon Corp,NORTH TONAWANDA,NY,14120,02/01/2011,200000.0,3.0,7.0,21669.27,Business Expansion/Startup,No,,,No
Lumber City Development Corporation,12/31/2011,,Federal,Canalside Creamery Inc,NORTH TONAWANDA,NY,14120,09/01/2011,15000.0,3.0,7.0,483.3,Business Expansion/Startup,Yes,15.0,10.0,No
Lumber City Development Corporation,12/31/2011,,Federal,Dockside Inn,NORTH TONAWANDA,NY,14120,05/01/2004,60000.0,5.0,10.0,39544.47,Equipment and Fixed Asset Acquisition,Yes,12.0,10.0,No
Lumber City Development Corporation,12/31/2011,,Federal,Evolation Yoga,NORTH TONAWANDA,NY,14120,06/01/2011,45000.0,3.0,7.0,0.0,Business Expansion/Startup,Yes,17.0,15.0,No
Lumber City Development Corporation,12/31/2011,,Federal,In & Out Furniture,NORTH TONAWANDA,NY,14120,05/13/2009,150000.0,3.0,7.0,29697.28,Equipment and Fixed Asset Acquisition,Yes,12.0,10.0,No
Lumber City Development Corporation,12/31/2011,,Federal,Solid Surface Acrylics,NORTH TONAWANDA,NY,14120,01/01/2007,149500.0,3.0,7.0,98545.64,Equipment and Fixed Asset Acquisition,Yes,15.0,10.0,No
Lumber City Development Corporation,12/31/2011,,Federal,Starboard Sun,NORTH TONAWANDA,NY,14120,10/20/2009,450000.0,5.0,7.0,410000.0,Equipment and Fixed Asset Acquisition,Yes,35.0,20.0,Yes
Lumber City Development Corporation,12/31/2011,,Not for Profit,286 Oliver St LLC,NORTH TONAWANDA,NY,14120,04/24/2006,70000.0,5.0,10.0,41447.31,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Lumber City Development Corporation,12/31/2011,,Not for Profit,Crazy Jakes,NORTH TONAWANDA,NY,14120,09/02/2008,50000.0,3.0,7.0,21232.12,Equipment and Fixed Asset Acquisition,Yes,30.0,30.0,No
Lumber City Development Corporation,12/31/2011,,Not for Profit,Hideaway,NORTH TONAWANDA,NY,14120,11/01/2005,45000.0,5.0,7.0,38783.43,Equipment and Fixed Asset Acquisition,Yes,18.0,15.0,No
Lumber City Development Corporation,12/31/2011,,Not for Profit,Hodge Podge,NORTH TONAWANDA,NY,14120,04/05/2007,30000.0,3.0,7.0,6539.28,Equipment and Fixed Asset Acquisition,Yes,1.0,1.0,No
Lumber City Development Corporation,12/31/2011,,Not for Profit,Idek,NORTH TONAWANDA,NY,14120,01/01/2007,275000.0,5.0,7.0,118186.48,Equipment and Fixed Asset Acquisition,Yes,10.0,10.0,No
Lumber City Development Corporation,12/31/2011,,Not for Profit,Jacob's Ladder,NORTH TONAWANDA,NY,14120,11/10/2010,32409.0,3.0,7.0,4582.06,Equipment and Fixed Asset Acquisition,Yes,6.0,6.0,No
Lumber City Development Corporation,12/31/2011,,Not for Profit,Leons Studio One,NORTH TONAWANDA,NY,14120,06/01/2011,60000.0,3.0,7.0,3880.99,Business Expansion/Startup,Yes,5.0,5.0,Yes
Lumber City Development Corporation,12/31/2011,,Not for Profit,Marketing Imprints,NORTH TONAWANDA,NY,14120,10/21/2005,150000.0,5.0,10.0,82217.66,Equipment and Fixed Asset Acquisition,Yes,17.0,15.0,No
Lumber City Development Corporation,12/31/2011,,Not for Profit,Partners in Art,NORTH TONAWANDA,NY,14120,07/01/2009,43000.0,3.0,7.0,13789.44,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,1.0,1.0,No
Lumber City Development Corporation,12/31/2011,,Not for Profit,Protype,NORTH TONAWANDA,NY,14120,08/14/2008,65000.0,5.0,7.0,27137.89,Equipment and Fixed Asset Acquisition,Yes,9.0,9.0,No
Lumber City Development Corporation,12/31/2011,,Not for Profit,Sherwood Florist,NORTH TONAWANDA,NY,14120,02/02/2006,20000.0,5.0,7.0,18478.94,Business Expansion/Startup,Yes,1.0,1.0,No
Lumber City Development Corporation,12/31/2011,,Not for Profit,Signature Salon & Day Spa,NORTH TONAWANDA,NY,14120,03/21/2006,40000.0,5.0,7.0,29365.26,Equipment and Fixed Asset Acquisition,Yes,5.0,5.0,No
Lumber City Development Corporation,12/31/2011,,Not for Profit,Vito's Pizzeria,NORTH TONAWANDA,NY,14120,01/01/2011,20000.0,3.0,7.0,2386.65,Business Expansion/Startup,Yes,2.0,2.0,Yes
Lumber City Development Corporation,12/31/2011,,State,"82 Webster Street, LLC",NORTH TONAWANDA,NY,14120,09/01/2011,50000.0,3.0,7.0,1611.03,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Lumber City Development Corporation,12/31/2011,,State,Designer Sportswear,NORTH TONAWANDA,NY,14120,12/01/2011,33000.0,3.0,7.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Lumber City Development Corporation,12/31/2011,,State,Rober Starr,NORTH TONAWANDA,NY,14120,05/01/2011,78081.0,3.0,7.0,1118.91,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,8.0,4.0,No
Cayuga County Development Corporation,12/31/2011,,Other,"Vacuum Logistics, Inc.",PORT BYRON,NY,13140,03/19/2008,67000.0,6.5,6.0,0.0,Business Expansion/Startup,No,,,Yes
Sherburne Area Local Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Ontario County Local Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
City of Peekskill Local Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Peekskill Facilities Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
St. Lawrence County Industrial Development Agency Local Development Corporation,12/31/2011,,Municipal,Ansen Corporation,OGDENSBURG,NY,13669,07/11/2003,300000.0,3.0,10.0,243369.15,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,128.0,12.0,No
St. Lawrence County Industrial Development Agency Local Development Corporation,12/31/2011,,Municipal,Ansen Corporation,OGDENSBURG,NY,13669,06/10/2011,162000.0,2.63,15.0,8133.12,Equipment and Fixed Asset Acquisition,Yes,0.0,13.0,No
St. Lawrence County Industrial Development Agency Local Development Corporation,12/31/2011,,Municipal,"Atlantic Testing Laboratories, LTD",CANTON,NY,13617,10/17/2007,200000.0,4.88,10.0,200000.0,Business Expansion/Startup,Yes,14.0,14.0,Yes
St. Lawrence County Industrial Development Agency Local Development Corporation,12/31/2011,,Municipal,"Atlantic Testing Laboratories, LTD - Ltd Tamarack",CANTON,NY,13617,03/01/2003,50926.9,5.25,13.0,30311.56,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
St. Lawrence County Industrial Development Agency Local Development Corporation,12/31/2011,,Municipal,"Atlantic Testing Laboratories, Ltd",CANTON,NY,13617,10/17/2007,400000.0,4.88,10.0,143582.94,Business Expansion/Startup,Yes,14.0,0.0,No
Theater Subdistrict Council Local Development Corporation,05/31/2014,No,,,,,,,,,,,,,,,
St. Lawrence County Industrial Development Agency Local Development Corporation,12/31/2011,,Municipal,Curran Renewable Energy LLC,MASSENA,NY,13662,12/12/2007,600000.0,4.63,10.0,59593.84,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,23.0,30.0,No
St. Lawrence County Industrial Development Agency Local Development Corporation,12/31/2011,,Municipal,"Curran Renewable Energy, LLC",MASSENA,NY,13662,12/12/2007,400000.0,4.63,10.0,400000.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,23.0,23.0,Yes
St. Lawrence County Industrial Development Agency Local Development Corporation,12/31/2011,,Municipal,DE Kerr Construction & Logging,FINE,NY,13639,07/11/2007,41905.0,5.13,7.0,3944.11,Equipment and Fixed Asset Acquisition,Yes,4.0,0.0,No
St. Lawrence County Industrial Development Agency Local Development Corporation,12/31/2011,,Municipal,"Four-C-Aire, Inc.",POTSDAM,NY,13676,09/21/2006,146000.0,5.13,5.0,146000.0,Business Expansion/Startup,Yes,24.0,0.0,Yes
St. Lawrence County Industrial Development Agency Local Development Corporation,12/31/2011,,Municipal,Glazier Packing Co.,POTSDAM,NY,13676,01/05/2006,133333.0,4.63,10.0,71228.02,Business Expansion/Startup,Yes,5.0,0.0,No
St. Lawrence County Industrial Development Agency Local Development Corporation,12/31/2011,,Municipal,"Hackett's Hardware - formerly Wisebuys, LLC",OGDENSBURG,NY,13669,12/24/2003,235000.0,3.0,7.0,148262.92,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,60.0,0.0,No
St. Lawrence County Industrial Development Agency Local Development Corporation,12/31/2011,,Municipal,Newton Falls Fine Paper Co. - Loan #1,NEWTON FALLS,NY,13666,11/27/2006,200000.0,5.13,10.0,200000.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,97.0,0.0,Yes
St. Lawrence County Industrial Development Agency Local Development Corporation,12/31/2011,,Municipal,Newton Falls Fine Paper Co. - Loan #2,NEWTON FALLS,NY,13666,12/29/2006,150000.0,5.13,10.0,150000.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,0.0,0.0,Yes
