Authority Name,Fiscal Year End Date,Has Outstanding Debt,Type Of Debt,Debt Program,Begin Amount Total,New Debt Issuance,Amount Retired,End Amount Total
New York City Housing Development Corporation,10/31/2013,,Conduit Debt,Conduit Debt,4426464250.51,898795396.0,395664250.51,4929595396.0
Albany Water Board,12/31/2013,N,,,,,,
Binghamton Urban Renewal Agency,12/31/2013,N,,,,,,
"Chautauqua, Cattaraugus, Allegany and Steuben Southern Tier Extension Railroad Authority",12/31/2013,N,,,,,,
City of Fulton Community Development Agency,12/31/2013,N,,,,,,
Eastern Rensselaer County Solid Waste Management Authority,12/31/2013,N,,,,,,
Glen Cove Community Development Agency,12/31/2013,N,,,,,,
Glens Falls Urban Renewal Agency,12/31/2013,N,,,,,,
Gloversville Community Development Agency,12/31/2013,N,,,,,,
Greater Rochester Sports Authority,12/31/2013,N,,,,,,
Harrison Parking Authority,12/31/2013,N,,,,,,
Huntington Community Development Agency,12/31/2013,N,,,,,,
Jamestown Urban Renewal Agency,12/31/2013,N,,,,,,
Little Falls Urban Renewal Agency,12/31/2013,N,,,,,,
Mechanicville Community Development Agency,12/31/2013,N,,,,,,
Middletown Community Development Agency,12/31/2013,N,,,,,,
"Montgomery, Otsego, Schoharie Solid Waste Management Authority",12/31/2013,N,,,,,,
Niagara Falls Urban Renewal Agency,12/31/2013,N,,,,,,
Oneida County Sports Facility Authority,12/31/2013,N,,,,,,
Orange County Water Authority,12/31/2013,N,,,,,,
Port Jervis Community Development Agency,12/31/2013,N,,,,,,
Poughkeepsie Urban Renewal Agency,12/31/2013,N,,,,,,
Saratoga Springs City Center Authority,12/31/2013,N,,,,,,
Schenectady Urban Renewal Agency,12/31/2013,N,,,,,,
Tonawanda (City) Community Development Agency,12/31/2013,N,,,,,,
Town of Erwin Urban Renewal Agency,12/31/2013,N,,,,,,
Town of North Hempstead Community Development Agency,12/31/2013,N,,,,,,
Town of Riverhead Community Development Agency,12/31/2013,N,,,,,,
Albany Community Development Agency,12/31/2013,,Authority Debt - General Obligation,General Obligation,58824.0,0.0,58824.0,0.0
Albany Community Development Agency,12/31/2013,,Authority Debt - Other,Other Non-State Funded,832240.0,0.0,170521.0,661719.0
Albany County Airport Authority,12/31/2013,,Authority Debt - General Obligation,General Obligation,584256.0,0.0,503074.0,81182.0
Albany County Airport Authority,12/31/2013,,Authority Debt - Revenue,,121165000.0,0.0,8095000.0,113070000.0
Albany Municipal Water Finance Authority,12/31/2013,,Authority Debt - General Obligation,General Obligation,55822649.0,0.0,4368544.0,51454105.0
Albany Parking Authority,12/31/2013,,Authority Debt - Revenue,,18368061.0,0.0,897618.0,17470443.0
Albany Port District Commission,12/31/2013,,Authority Debt - General Obligation,General Obligation,989010.0,0.0,65683.0,923327.0
Albany Port District Commission,12/31/2013,,State Guaranteed,NEW YORK JOB DEVELOPMENT AUTHORITY,157709.0,0.0,80000.0,77709.0
Cayuga County Water and Sewer Authority,12/31/2013,,Authority Debt - General Obligation,General Obligation,2189811.0,1003000.0,47864.0,3144947.0
Cayuga County Water and Sewer Authority,12/31/2013,,Authority Debt - Revenue,,6363989.0,775000.0,2900063.0,4238926.0
Clifton Park Water Authority,12/31/2013,,Authority Debt - Revenue,,23575000.0,13860000.0,16520000.0,20915000.0
Dutchess County Resource Recovery Agency,12/31/2013,,Authority Debt - General Obligation,General Obligation,23145000.0,0.0,3410000.0,19735000.0
Dutchess County Water and Wastewater Authority,12/31/2013,,Authority Debt - Revenue,,36011807.0,0.0,1344745.0,34667062.0
Elmira Urban Renewal Agency,12/31/2013,,Authority Debt - General Obligation,General Obligation,410000.0,0.0,100000.0,310000.0
Erie County Water Authority,12/31/2013,,Authority Debt - Revenue,,91700000.0,0.0,8541616.0,83158384.0
Haverstraw Urban Renewal Agency,12/31/2013,,Authority Debt - General Obligation,General Obligation,2975000.0,0.0,125000.0,2850000.0
Islip Resource Recovery Authority,12/31/2013,,Authority Debt - Revenue,,16585000.0,0.0,4995000.0,11590000.0
Ithaca Urban Renewal Agency,12/31/2013,,Authority Debt - General Obligation,General Obligation,810000.0,0.0,30000.0,780000.0
Livingston County Water and Sewer Authority,12/31/2013,,Authority Debt - Revenue,,4915992.0,0.0,141725.0,4774267.0
Monroe County Airport Authority,12/31/2013,,Authority Debt - Revenue,,49514000.0,0.0,6046000.0,43468000.0
Monroe County Water Authority,12/31/2013,,Authority Debt - Revenue,,132830000.0,18125341.0,2765000.0,148190341.0
Nassau County Bridge Authority,12/31/2013,,Authority Debt - General Obligation,General Obligation,10310000.0,0.0,205000.0,10105000.0
Nassau County Sewer and Storm Water Finance Authority,12/31/2013,,Authority Debt - Revenue,,146795000.0,0.0,7955000.0,138840000.0
Niagara Falls Water Board,12/31/2013,,Authority Debt - Revenue,,104692122.0,70855000.0,66545000.0,109002122.0
North Hempstead Solid Waste Management Authority,12/31/2013,,Authority Debt - Revenue,,5048791.17,0.0,793831.0,4254960.17
Oneida-Herkimer Solid Waste Management Authority,12/31/2013,,Authority Debt - Revenue,,47910000.0,0.0,5505000.0,42405000.0
Onondaga County Resource Recovery Agency,12/31/2013,,Authority Debt - Revenue,,58140446.0,0.0,5936209.0,52204237.0
Onondaga County Water Authority,12/31/2013,,Authority Debt - Revenue,,67397835.0,8390000.0,11115000.0,64672835.0
Rensselaer County Water and Sewer Authority,12/31/2013,,Authority Debt - Revenue,,14115000.0,0.0,155000.0,13960000.0
Rockland County Solid Waste Management Authority,12/31/2013,,Authority Debt - General Obligation,General Obligation,59855000.0,3270434.0,3615000.0,59510434.0
Saratoga County Water Authority,12/31/2013,,Authority Debt - Revenue,,43630000.0,0.0,990000.0,42640000.0
Schenectady Metroplex Development Authority,12/31/2013,,Authority Debt - General Obligation,General Obligation,42095000.0,5000000.0,2270000.0,44825000.0
Schenectady Metroplex Development Authority,12/31/2013,,Authority Debt - Other,Other Non-State Funded,955661.0,0.0,46015.0,909646.0
Suffolk County Judicial Facilities Agency,12/31/2013,,Authority Debt - Revenue,,0.0,69080000.0,0.0,69080000.0
Trust for Cultural Resources of the City of New York,12/31/2013,,Conduit Debt,Conduit Debt,1628510000.0,79180000.0,124860000.0,1582830000.0
Trust for Cultural Resources of the City of New York,12/31/2013,,Conduit Debt - Pilot Increment Financing,,38360000.0,0.0,2980000.0,35380000.0
Trust for Cultural Resources of the County of Onondaga,12/31/2013,,Conduit Debt,Conduit Debt,153545000.0,64460000.0,1255000.0,216750000.0
Ulster County Resource Recovery Agency,12/31/2013,,Authority Debt - Revenue,,19058745.0,0.0,2425000.0,16633745.0
Upper Mohawk Valley Memorial Auditorium Authority,12/31/2013,,Authority Debt - General Obligation,General Obligation,267909.0,0.0,46577.0,221332.0
Water Authority of Great Neck North,12/31/2013,,Authority Debt - Revenue,,33930000.0,0.0,1400000.0,32530000.0
Wayne County Water and Sewer Authority,12/31/2013,,Authority Debt - General Obligation,General Obligation,835000.0,0.0,85000.0,750000.0
Wayne County Water and Sewer Authority,12/31/2013,,Authority Debt - Revenue,,260000.0,0.0,20000.0,240000.0
Wilton Water and Sewer Authority,12/31/2013,,Authority Debt - Revenue,,1105000.0,0.0,265000.0,840000.0
Yonkers Parking Authority,12/31/2013,,Authority Debt - Revenue,,2065000.0,0.0,120000.0,1945000.0
Freeport Community Development Agency,02/28/2014,,Authority Debt - Other,Other Non-State Funded,100000.0,0.0,100000.0,0.0
Genesee Valley Regional Market Authority,03/31/2014,N,,,,,,
Upper Mohawk Valley Regional Water Board,03/31/2014,N,,,,,,
Utica Urban Renewal Agency,03/31/2014,N,,,,,,
Central New York Regional Market Authority,03/31/2014,,Authority Debt - Other,Other Non-State Funded,520301.78,566813.0,63939.0,1023175.78
Upper Mohawk Valley Regional Water Finance Authority,03/31/2014,,Authority Debt - Revenue,,65103720.0,0.0,2765000.0,62338720.0
Suffern Parking Authority,05/31/2014,N,,,,,,
Syracuse Parking Authority,05/31/2014,N,,,,,,
Victor Urban Renewal Agency,05/31/2014,N,,,,,,
Village of Patchogue Community Development Agency,05/31/2014,N,,,,,,
Village of Rockville Centre Community Development Agency,05/31/2014,N,,,,,,
Green Island Power Authority,05/31/2014,,Authority Debt - Revenue,,16365000.0,0.0,790000.0,15575000.0
Town of Erwin Urban Renewal Agency,12/31/2014,N,,,,,,
Nyack Parking Authority,05/31/2014,,Authority Debt - General Obligation,General Obligation,217048.0,0.0,42840.0,174208.0
Suffolk County Water Authority,05/31/2014,,Authority Debt - Other,Other Non-State Funded,150000000.0,0.0,50000000.0,100000000.0
Suffolk County Water Authority,05/31/2014,,Authority Debt - Revenue,,650288223.0,4088936.0,8539894.0,645837265.0
Water Authority of Western Nassau County,05/31/2014,,Authority Debt - Revenue,,66110000.0,0.0,1595000.0,64515000.0
Amsterdam Urban Renewal Agency,06/30/2014,N,,,,,,
Buffalo Water Board,06/30/2014,N,,,,,,
New York City School Construction Authority,06/30/2014,N,,,,,,
New York City Water Board,06/30/2014,N,,,,,,
Olean Urban Renewal Agency,06/30/2014,N,,,,,,
Rochester Urban Renewal Agency,06/30/2014,N,,,,,,
Syracuse Regional Airport Authority,06/30/2014,N,,,,,,
Syracuse Urban Renewal Agency,06/30/2014,N,,,,,,
Village of Elmira Heights Urban Renewal Agency,06/30/2014,N,,,,,,
White Plains Urban Renewal Agency,06/30/2014,N,,,,,,
American Museum of Natural History Planetarium Authority,06/30/2014,,Authority Debt - Other,Other Non-State Funded,570000.0,0.0,0.0,570000.0
Buffalo Municipal Water Finance Authority,06/30/2014,,Authority Debt - Revenue,,160156926.0,0.0,7548359.0,152608567.0
Buffalo Sewer Authority,06/30/2014,,Authority Debt - Revenue,,38631564.0,0.0,1737732.0,36893832.0
Buffalo Urban Renewal Agency,06/30/2014,,Authority Debt - Revenue,,7290000.0,0.0,1265000.0,6025000.0
Franklin County Solid Waste Management Authority,06/30/2014,,Authority Debt - Revenue,,9660000.0,15450000.0,2830000.0,22280000.0
New York City Educational Construction Fund,06/30/2014,,Authority Debt - Revenue,,268045000.0,0.0,1890000.0,266155000.0
New York City Health and Hospitals Corporation,06/30/2014,,Authority Debt - Revenue,,917410000.0,0.0,37205000.0,880205000.0
New York City Municipal Water Finance Authority,06/30/2014,,Authority Debt - Other,Other Non-State Funded,134966873.66,962328333.0,1063911309.0,33383897.66
New York City Municipal Water Finance Authority,06/30/2014,,Authority Debt - Revenue,,28943601083.45,1947045000.0,1051854742.0,29838791341.45
New York City Municipal Water Finance Authority,06/30/2014,,Conduit Debt,Conduit Debt,1.0,0.0,1.0,0.0
New York City Municipal Water Finance Authority,06/30/2014,,State Supported,EFC ENVIRONMENTAL INFRASTRUCTURE PROGRAM,1.0,0.0,1.0,0.0
New York City Transitional Finance Authority,06/30/2014,,Authority Debt - Revenue,,23048335000.0,3155280000.0,1216215000.0,24987400000.0
New York City Transitional Finance Authority,06/30/2014,,Other State-Funded,MBBA SPECIAL PURPOSE SCHOOL AID BONDS,6154115000.0,0.0,102695000.0,6051420000.0
Town of Islip Community Development Agency,06/30/2014,,Authority Debt - General Obligation,General Obligation,800000.0,0.0,800000.0,0.0
Yonkers Community Development Agency,06/30/2014,,Authority Debt - Other,Other Non-State Funded,341770.0,0.0,0.0,341770.0
Yonkers Community Development Agency,06/30/2014,,Authority Debt - Revenue,,2500000.0,0.0,2500000.0,0.0
Village of Fairport Urban Renewal Agency,09/30/2014,N,,,,,,
New York City Housing Development Corporation,10/31/2014,,Authority Debt - Revenue,,4532215000.0,995161047.0,784764262.0,4742611785.0
New York City Housing Development Corporation,10/31/2014,,Conduit Debt,Conduit Debt,4929595396.0,82883444.06,554335000.0,4458143840.06
New York City Housing Development Corporation,10/31/2014,,Conduit Debt - Pilot Increment Financing,,0.0,0.0,0.0,0.0
Albany Water Board,12/31/2014,N,,,,,,
Binghamton Urban Renewal Agency,12/31/2014,N,,,,,,
"Chautauqua, Cattaraugus, Allegany and Steuben Southern Tier Extension Railroad Authority",12/31/2014,N,,,,,,
City of Fulton Community Development Agency,12/31/2014,N,,,,,,
City of Hudson Community Development and Planning Agency,12/31/2014,N,,,,,,
Eastern Rensselaer County Solid Waste Management Authority,12/31/2014,N,,,,,,
Glen Cove Community Development Agency,12/31/2014,N,,,,,,
Glens Falls Urban Renewal Agency,12/31/2014,N,,,,,,
Greater Rochester Sports Authority,12/31/2014,N,,,,,,
Harrison Parking Authority,12/31/2014,N,,,,,,
Huntington Community Development Agency,12/31/2014,N,,,,,,
Jamestown Urban Renewal Agency,12/31/2014,N,,,,,,
Mechanicville Community Development Agency,12/31/2014,N,,,,,,
Middletown Community Development Agency,12/31/2014,N,,,,,,
Mount Vernon Urban Renewal Agency,12/31/2014,N,,,,,,
Niagara Falls Urban Renewal Agency,12/31/2014,N,,,,,,
Oneida County Sports Facility Authority,12/31/2014,N,,,,,,
Orange County Water Authority,12/31/2014,N,,,,,,
Port Jervis Community Development Agency,12/31/2014,N,,,,,,
Poughkeepsie Urban Renewal Agency,12/31/2014,N,,,,,,
Town of North Hempstead Community Development Agency,12/31/2014,N,,,,,,
Town of Riverhead Community Development Agency,12/31/2014,N,,,,,,
Upper Mohawk Valley Regional Water Board,12/31/2014,N,,,,,,
Water Authority of Southeastern Nassau County,12/31/2014,N,,,,,,
Albany Community Development Agency,12/31/2014,,Authority Debt - Other,Other Non-State Funded,661719.0,0.0,73298.0,588421.0
Albany County Airport Authority,12/31/2014,,Authority Debt - General Obligation,General Obligation,81182.0,0.0,81182.0,0.0
Albany County Airport Authority,12/31/2014,,Authority Debt - Revenue,,113070000.0,0.0,8021000.0,105049000.0
Albany Municipal Water Finance Authority,12/31/2014,,Authority Debt - General Obligation,General Obligation,51454105.0,0.0,4483544.0,46970561.0
Albany Parking Authority,12/31/2014,,Authority Debt - Revenue,,17470443.0,0.0,885776.6,16584666.4
Albany Port District Commission,12/31/2014,,Authority Debt - General Obligation,General Obligation,923327.0,0.0,923327.0,0.0
Albany Port District Commission,12/31/2014,,Authority Debt - Other,Other Non-State Funded,0.0,0.0,0.0,0.0
Albany Port District Commission,12/31/2014,,State Guaranteed,NEW YORK JOB DEVELOPMENT AUTHORITY,77709.0,0.0,77709.0,0.0
Cayuga County Water and Sewer Authority,12/31/2014,,Authority Debt - General Obligation,General Obligation,3144947.0,1084000.0,85057.0,4143890.0
Cayuga County Water and Sewer Authority,12/31/2014,,Authority Debt - Revenue,,4238926.0,550000.0,2953688.0,1835238.0
Clifton Park Water Authority,12/31/2014,,Authority Debt - Revenue,,20915000.0,0.0,1130000.0,19785000.0
Dutchess County Resource Recovery Agency,12/31/2014,,Authority Debt - General Obligation,General Obligation,19735000.0,0.0,3595000.0,16140000.0
Dutchess County Water and Wastewater Authority,12/31/2014,,Authority Debt - Revenue,,34667062.0,4634722.0,3455006.0,35846778.0
Elmira Urban Renewal Agency,12/31/2014,,Authority Debt - General Obligation,General Obligation,310000.0,0.0,100000.0,210000.0
Erie County Water Authority,12/31/2014,,Authority Debt - Revenue,,83158384.0,0.0,8185000.0,74973384.0
Gloversville Community Development Agency,12/31/2014,,Authority Debt - Other,Other Non-State Funded,0.0,150000.0,0.0,150000.0
Haverstraw Urban Renewal Agency,12/31/2014,,Authority Debt - General Obligation,General Obligation,2850000.0,0.0,125000.0,2725000.0
Islip Resource Recovery Authority,12/31/2014,,Authority Debt - Revenue,,11590000.0,9425000.0,11590000.0,9425000.0
Ithaca Urban Renewal Agency,12/31/2014,,Authority Debt - General Obligation,General Obligation,780000.0,0.0,30000.0,750000.0
Livingston County Water and Sewer Authority,12/31/2014,,Authority Debt - Revenue,,4774267.0,0.0,291142.0,4483125.0
Monroe County Airport Authority,12/31/2014,,Authority Debt - Revenue,,43468000.0,0.0,6361000.0,37107000.0
Monroe County Water Authority,12/31/2014,,Authority Debt - Revenue,,148190341.0,0.0,2850000.0,145340341.0
Nassau County Bridge Authority,12/31/2014,,Authority Debt - General Obligation,General Obligation,10105000.0,0.0,210000.0,9895000.0
Nassau County Sewer and Storm Water Finance Authority,12/31/2014,,Authority Debt - Revenue,,138840000.0,157200000.0,138840000.0,157200000.0
Niagara Falls Water Board,12/31/2014,,Authority Debt - Revenue,,109002122.0,4095000.0,7227122.0,105870000.0
North Hempstead Solid Waste Management Authority,12/31/2014,,Authority Debt - Revenue,,4254960.17,0.0,812301.62,3442658.55
Oneida-Herkimer Solid Waste Management Authority,12/31/2014,,Authority Debt - Revenue,,42405000.0,0.0,5475000.0,36930000.0
Onondaga County Resource Recovery Agency,12/31/2014,,Authority Debt - Revenue,,52204237.0,0.0,6183305.0,46020932.0
Onondaga County Water Authority,12/31/2014,,Authority Debt - Revenue,,64672835.0,0.0,2677835.0,61995000.0
Rensselaer County Water and Sewer Authority,12/31/2014,,Authority Debt - Revenue,,13960000.0,0.0,165000.0,13795000.0
Rockland County Solid Waste Management Authority,12/31/2014,,Authority Debt - General Obligation,General Obligation,59510434.0,6495000.0,10250000.0,55755434.0
Saratoga County Water Authority,12/31/2014,,Authority Debt - General Obligation,General Obligation,0.0,0.0,0.0,0.0
Saratoga County Water Authority,12/31/2014,,Authority Debt - Revenue,,42640000.0,4340000.0,525000.0,46455000.0
Schenectady Metroplex Development Authority,12/31/2014,,Authority Debt - General Obligation,General Obligation,44825000.0,17470000.0,6825000.0,55470000.0
Schenectady Metroplex Development Authority,12/31/2014,,Authority Debt - Other,Other Non-State Funded,909646.0,0.0,48081.0,861565.0
Suffolk County Judicial Facilities Agency,12/31/2014,,Authority Debt - Revenue,,69080000.0,0.0,2852907.0,66227093.0
Trust for Cultural Resources of the City of New York,12/31/2014,,Conduit Debt,Conduit Debt,1582830000.0,193920000.0,163435000.0,1613315000.0
Trust for Cultural Resources of the City of New York,12/31/2014,,Conduit Debt - Pilot Increment Financing,,35380000.0,0.0,2900000.0,32480000.0
Trust for Cultural Resources of the County of Onondaga,12/31/2014,,Conduit Debt,Conduit Debt,216750000.0,0.0,2690000.0,214060000.0
Ulster County Resource Recovery Agency,12/31/2014,,Authority Debt - Revenue,,16633745.0,0.0,2455000.0,14178745.0
Upper Mohawk Valley Memorial Auditorium Authority,12/31/2014,,Authority Debt - General Obligation,General Obligation,221332.0,0.0,24759.37,196572.63
New York City School Construction Authority,06/30/2018,N,,,,,,
Upper Mohawk Valley Memorial Auditorium Authority,12/31/2014,,Authority Debt - Other,Other Non-State Funded,0.0,500000.0,3953.86,496046.14
Water Authority of Great Neck North,12/31/2014,,Authority Debt - Revenue,,32530000.0,0.0,1460000.0,31070000.0
Wayne County Water and Sewer Authority,12/31/2014,,Authority Debt - General Obligation,General Obligation,750000.0,0.0,85000.0,665000.0
Wayne County Water and Sewer Authority,12/31/2014,,Authority Debt - Revenue,,240000.0,0.0,20000.0,220000.0
Wilton Water and Sewer Authority,12/31/2014,,Authority Debt - Revenue,,840000.0,0.0,270000.0,570000.0
Yonkers Parking Authority,12/31/2014,,Authority Debt - Revenue,,1945000.0,509062.0,138716.0,2315346.0
Freeport Community Development Agency,02/28/2015,,Authority Debt - General Obligation,General Obligation,1162512.0,0.0,0.0,1162512.0
Freeport Community Development Agency,02/28/2015,,Authority Debt - Other,Other Non-State Funded,106000.0,0.0,106000.0,0.0
Genesee Valley Regional Market Authority,03/31/2015,N,,,,,,
Utica Urban Renewal Agency,03/31/2015,N,,,,,,
Central New York Regional Market Authority,03/31/2015,,Authority Debt - Other,Other Non-State Funded,1023175.78,0.0,69854.0,953321.78
Upper Mohawk Valley Regional Water Finance Authority,03/31/2015,,Authority Debt - Revenue,,62338720.0,0.0,3638743.0,58699977.0
Syracuse Parking Authority,05/31/2015,N,,,,,,
Victor Urban Renewal Agency,05/31/2015,N,,,,,,
Village of Patchogue Community Development Agency,05/31/2015,N,,,,,,
Village of Rockville Centre Community Development Agency,05/31/2015,N,,,,,,
Green Island Power Authority,05/31/2015,,Authority Debt - Revenue,,15575000.0,0.0,790000.0,14785000.0
Incorporated Village of Hempstead Community Development Agency,05/31/2015,,Authority Debt - Other,Other Non-State Funded,1016458.0,632668.98,74578.0,1574548.98
Nyack Parking Authority,05/31/2015,,Authority Debt - General Obligation,General Obligation,174208.0,0.0,44315.0,129893.0
Suffolk County Water Authority,05/31/2015,,Authority Debt - Other,Other Non-State Funded,100000000.0,0.0,50000000.0,50000000.0
Suffolk County Water Authority,05/31/2015,,Authority Debt - Revenue,,645837265.0,118947820.0,88574785.0,676210300.0
Water Authority of Western Nassau County,05/31/2015,,Authority Debt - Revenue,,64515000.0,73600000.0,25525000.0,112590000.0
Amsterdam Urban Renewal Agency,06/30/2015,N,,,,,,
Buffalo Water Board,06/30/2015,N,,,,,,
New York City School Construction Authority,06/30/2015,N,,,,,,
New York City Water Board,06/30/2015,N,,,,,,
Olean Urban Renewal Agency,06/30/2015,N,,,,,,
Rochester Urban Renewal Agency,06/30/2015,N,,,,,,
Syracuse Regional Airport Authority,06/30/2015,N,,,,,,
Syracuse Urban Renewal Agency,06/30/2015,N,,,,,,
Town of Islip Community Development Agency,06/30/2015,N,,,,,,
Village of Elmira Heights Urban Renewal Agency,06/30/2015,N,,,,,,
White Plains Urban Renewal Agency,06/30/2015,N,,,,,,
American Museum of Natural History Planetarium Authority,06/30/2015,,Authority Debt - Other,Other Non-State Funded,570000.0,0.0,0.0,570000.0
Buffalo Municipal Water Finance Authority,06/30/2015,,Authority Debt - Revenue,,152608567.0,52813955.0,62000899.0,143421623.0
Buffalo Sewer Authority,06/30/2015,,Authority Debt - Revenue,,36893832.0,17516588.0,10547268.0,43863152.0
Buffalo Urban Renewal Agency,06/30/2015,,Authority Debt - Revenue,,6025000.0,0.0,2155000.0,3870000.0
Franklin County Solid Waste Management Authority,06/30/2015,,Authority Debt - Revenue,,22280000.0,0.0,7770000.0,14510000.0
New York City Educational Construction Fund,06/30/2015,,Authority Debt - Revenue,,266155000.0,0.0,1965000.0,264190000.0
New York City Health and Hospitals Corporation,06/30/2015,,Authority Debt - Revenue,,880205000.0,0.0,46795000.0,833410000.0
New York City Municipal Water Finance Authority,06/30/2015,,Authority Debt - Other,Other Non-State Funded,33383897.66,0.0,0.0,33383897.66
New York City Municipal Water Finance Authority,06/30/2015,,Authority Debt - Revenue,,29838791341.45,3181149206.0,3482410000.0,29537530547.45
New York City Transitional Finance Authority,06/30/2015,,Authority Debt - Revenue,,24987400000.0,3675795000.0,2238850000.0,26424345000.0
New York City Transitional Finance Authority,06/30/2015,,Other State-Funded,MBBA SPECIAL PURPOSE SCHOOL AID BONDS,6051420000.0,1500000000.0,125660000.0,7425760000.0
Yonkers Community Development Agency,06/30/2015,,Authority Debt - Other,Other Non-State Funded,341770.0,0.0,0.0,341770.0
Village of Fairport Urban Renewal Agency,09/30/2015,N,,,,,,
New York City Housing Development Corporation,10/31/2015,,Authority Debt - Revenue,,4742611785.0,1269390000.0,562100831.0,5449900954.0
New York City Housing Development Corporation,10/31/2015,,Conduit Debt,Conduit Debt,4458143840.06,910619321.33,719245000.0,4649518161.39
Albany Port District Commission,12/31/2015,N,,,,,,
Albany Water Board,12/31/2015,N,,,,,,
Binghamton Urban Renewal Agency,12/31/2015,N,,,,,,
"Chautauqua, Cattaraugus, Allegany and Steuben Southern Tier Extension Railroad Authority",12/31/2015,N,,,,,,
City of Fulton Community Development Agency,12/31/2015,N,,,,,,
City of Hudson Community Development and Planning Agency,12/31/2015,N,,,,,,
Eastern Rensselaer County Solid Waste Management Authority,12/31/2015,N,,,,,,
Glen Cove Community Development Agency,12/31/2015,N,,,,,,
Glens Falls Urban Renewal Agency,12/31/2015,N,,,,,,
Harrison Parking Authority,12/31/2015,N,,,,,,
Huntington Community Development Agency,12/31/2015,N,,,,,,
Jamestown Urban Renewal Agency,12/31/2015,N,,,,,,
Mechanicville Community Development Agency,12/31/2015,N,,,,,,
Middletown Community Development Agency,12/31/2015,N,,,,,,
Mount Vernon Urban Renewal Agency,12/31/2015,N,,,,,,
Niagara Falls Urban Renewal Agency,12/31/2015,N,,,,,,
Oneida County Sports Facility Authority,12/31/2015,N,,,,,,
Orange County Water Authority,12/31/2015,N,,,,,,
Poughkeepsie Urban Renewal Agency,12/31/2015,N,,,,,,
Saratoga Springs City Center Authority,12/31/2015,N,,,,,,
Schenectady Urban Renewal Agency,12/31/2015,N,,,,,,
Town of Erwin Urban Renewal Agency,12/31/2015,N,,,,,,
Town of North Hempstead Community Development Agency,12/31/2015,N,,,,,,
Town of Riverhead Community Development Agency,12/31/2015,N,,,,,,
Upper Mohawk Valley Regional Water Board,12/31/2015,N,,,,,,
Water Authority of Southeastern Nassau County,12/31/2015,N,,,,,,
Albany Community Development Agency,12/31/2015,,Authority Debt - Other,Other Non-State Funded,588421.0,0.0,77232.0,511189.0
Albany County Airport Authority,12/31/2015,,Authority Debt - Revenue,,105049000.0,0.0,8266000.0,96783000.0
Albany Municipal Water Finance Authority,12/31/2015,,Authority Debt - General Obligation,General Obligation,46970561.0,0.0,4628544.0,42342017.0
Albany Parking Authority,12/31/2015,,Authority Debt - Revenue,,16584666.4,0.0,973935.0,15610731.4
Cayuga County Water and Sewer Authority,12/31/2015,,Authority Debt - General Obligation,General Obligation,4143890.0,0.0,69259.0,4074631.0
Cayuga County Water and Sewer Authority,12/31/2015,,Authority Debt - Revenue,,1835238.0,0.0,245000.0,1590238.0
Clifton Park Water Authority,12/31/2015,,Authority Debt - Revenue,,19785000.0,0.0,1165000.0,18620000.0
Dutchess County Resource Recovery Agency,12/31/2015,,Authority Debt - General Obligation,General Obligation,16140000.0,0.0,925000.0,15215000.0
Dutchess County Water and Wastewater Authority,12/31/2015,,Authority Debt - Revenue,,35846778.0,1964700.0,3112849.0,34698629.0
Elmira Urban Renewal Agency,12/31/2015,,Authority Debt - General Obligation,General Obligation,210000.0,0.0,105000.0,105000.0
Erie County Water Authority,12/31/2015,,Authority Debt - Revenue,,74973384.0,0.0,8525000.0,66448384.0
Gloversville Community Development Agency,12/31/2015,,Authority Debt - Other,Other Non-State Funded,150000.0,0.0,0.0,150000.0
Haverstraw Urban Renewal Agency,12/31/2015,,Authority Debt - General Obligation,General Obligation,2725000.0,0.0,130000.0,2595000.0
Islip Resource Recovery Authority,12/31/2015,,Authority Debt - Revenue,,9425000.0,0.0,1085000.0,8340000.0
Ithaca Urban Renewal Agency,12/31/2015,,Authority Debt - General Obligation,General Obligation,750000.0,0.0,0.0,750000.0
Livingston County Water and Sewer Authority,12/31/2015,,Authority Debt - Revenue,,4483125.0,0.0,146725.0,4336400.0
Monroe County Airport Authority,12/31/2015,,Authority Debt - Revenue,,37107000.0,0.0,6696000.0,30411000.0
Monroe County Water Authority,12/31/2015,,Authority Debt - Revenue,,145340341.0,0.0,2950341.0,142390000.0
Nassau County Bridge Authority,12/31/2015,,Authority Debt - General Obligation,General Obligation,9895000.0,0.0,220000.0,9675000.0
Nassau County Sewer and Storm Water Finance Authority,12/31/2015,,Authority Debt - Revenue,,157200000.0,0.0,2940000.0,154260000.0
Niagara Falls Water Board,12/31/2015,,Authority Debt - Revenue,,105870000.0,4380000.0,4535000.0,105715000.0
Niagara Falls Water Board,12/31/2015,,State Supported,,0.0,0.0,0.0,0.0
North Hempstead Solid Waste Management Authority,12/31/2015,,Authority Debt - Revenue,,3442658.55,0.0,831201.92,2611456.63
Oneida-Herkimer Solid Waste Management Authority,12/31/2015,,Authority Debt - Revenue,,36930000.0,0.0,3692407.0,33237593.0
Onondaga County Resource Recovery Agency,12/31/2015,,Authority Debt - Revenue,,46020932.0,54560000.0,46020932.0,54560000.0
Onondaga County Water Authority,12/31/2015,,Authority Debt - Revenue,,61995000.0,5200000.0,2935000.0,64260000.0
Rensselaer County Water and Sewer Authority,12/31/2015,,Authority Debt - Revenue,,13795000.0,0.0,3620000.0,10175000.0
