Authority Name,Fiscal Year End Date,Awarded Grants,Grant Fund Sources,Recipient Name,Recipient City,Recipient State,Recipient Postal Code,Grant Amount,Date Grant Awarded,Grant Purpose,New Jobs,Jobs Planned,Jobs Created
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Laura Bartner,WINDHAM,NY,12496,265.88,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Lewis Wendell,ROXBURY,NY,12474,30000.0,12/18/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Margaretville Telephone Company Inc,MARGARETVILLE,NY,12455,30000.0,01/31/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Marilyn Carreras,WINDHAM,NY,12496,132.94,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Michael Howell,WINDHAM,NY,12496,66.47,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Michael's Diner,WINDHAM,NY,12496,10000.0,06/04/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Millrock Restaurant Inc,WINDHAM,NY,12496,132.94,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Millrock Restaurant Inc,WINDHAM,NY,12496,5000.0,04/17/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Milton Valk,FLEISCHMANNS,NY,12430,30000.0,02/09/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Moore's Motel,PRATTSVILLE,NY,12468,15000.0,06/18/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,NZM Restaurant Corp,WINDHAM,NY,12496,132.94,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Narendra Komar Patel,FLEISCHMANNS,NY,12430,13880.0,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Nickerson Park Campground Inc,GILBOA,NY,12076,30000.0,06/04/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,O'Hara's Service LLC,PRATTSVILLE,NY,12468,30000.0,04/17/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Onteora Central School,BOICEVILLE,NY,12412,1850.0,08/13/2012,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,PS 144Q,FOREST HILLS,NY,11375,2000.0,10/23/2012,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,PS 57R,STATEN ISLAND,NY,10304,8500.0,08/13/2012,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,PS 84,BROOKLYN,NY,11211,1300.0,08/13/2012,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Palmer Hill Associates,MARGARETVILLE,NY,12455,30000.0,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Peter and Jessika Schreiber,WINDHAM,NY,12496,531.76,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Peter and Jessika Schreiber,WINDHAM,NY,12496,13000.0,07/10/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Phillip Lenihan,ROXBURY,NY,12474,30000.0,03/26/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Places Please LLC,MARGARETVILLE,NY,12455,18552.73,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Prophet Elias Inc,WINDHAM,NY,12496,531.76,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Prophet Elias Inc,WINDHAM,NY,12496,30000.0,04/17/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Rensselaer Polytechnic Institute,TROY,NY,12180,9996.0,08/13/2012,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Richard Gurecki dba Windham Auto Body,WINDHAM,NY,12496,531.76,02/28/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Robert Cramer,WINDHAM,NY,12496,531.76,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Robin Tischmacher,ROXBURY,NY,12474,30000.0,02/09/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Rocking the Boat Inc,BRONX,NY,10474,7923.0,08/13/2012,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Ross Hamilton,ARKVILLE,NY,12406,13300.8,08/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Rustic to Exotic Furniture LLC,PRATTSVILLE,NY,12468,20000.0,04/17/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Samerna Rion,PRATTSVILLE,NY,12468,30000.0,02/09/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,South Street Seaport Museum,NEW YORK,NY,10038,5000.0,08/13/2012,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Steve Tanzer,MARGARETVILLE,NY,12455,3015.09,01/31/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Susumu and Rebecca Sato,WINDHAM,NY,12496,25000.0,05/18/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Time & The Valleys Museum,GRAHAMSVILLE,NY,12740,4350.0,08/13/2012,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Trout Unlimited,BROOKLYN,NY,11222,10000.0,08/28/2012,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Ulster BOCES Center for Alternative Education,NEW PALTZ,NY,12561,10000.0,08/13/2012,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Verona Oil Company Inc,WINDHAM,NY,12496,66.47,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Walton Central School,WALTON,NY,13856,7348.0,08/13/2012,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Washington Heights Expeditionary Learning School,NEW YORK,NY,10033,1487.0,08/13/2012,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Wilfried Nolte,PHOENICIA,NY,12464,10995.0,01/31/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Windham Art and Photography Inc,WINDHAM,NY,12496,132.94,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Windham Country Club,WINDHAM,NY,12496,531.76,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Windham Ventures,WINDHAM,NY,12496,30000.0,04/17/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Windham Ventures Inc,WINDHAM,NY,12496,531.76,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Woodstock Day School,WOODSTOCK,NY,12498,1300.0,08/13/2012,Education/Training (Business Development),No,,
Cayuga Tobacco Asset Securitization Corporation,12/31/2012,No,,,,,,,,,,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Xenia Resort,HUNTER,NY,12442,8000.0,03/13/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2012,,Not for Profit,Xenia Resort,JEWETT,NY,12444,20000.0,10/02/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Arm of the Sea Productions Inc,MALDEN ON HUDSON,NY,12453,2600.0,02/11/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Columbia Secondary School,NEW YORK,NY,10009,9200.0,10/23/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Cornell Cooperative Extension Sullivan County,LIBERTY,NY,12754,5000.0,10/23/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Cornell Cooperative Extension Sullivan County,LIBERTY,NY,12754,5000.0,10/23/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Cornell Cooperative Extension Ulster County,KINGSTON,NY,12401,5000.0,01/02/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Eltingville Lutheran School,STATEN ISLAND,NY,10312,7600.0,09/24/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Empire State Railway Museum,PHOENICIA,NY,12464,10000.0,09/24/2013,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Family Life Academy Charter School,BRONX,NY,10452,7000.0,09/24/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Franklin Central School,FRANKLIN,NY,13775,1300.0,08/27/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Friends of PS 166,NEW YORK,NY,10024,2395.0,10/23/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Frost Valley YMCA,CLARYVILLE,NY,12725,10000.0,07/03/2013,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Groundswell,BROOKLYN,NY,11215,10000.0,11/04/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,"Harbor Lab, Earth Day New York",NEW YORK,NY,10016,10000.0,12/30/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Kenneth Maurer,PRATTSVILLE,NY,12468,7000.0,03/25/2014,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Middletown Township Post 216,MARGARETVILLE,NY,12455,10000.0,07/03/2013,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Olive Free Library,WEST SHOKAN,NY,12494,2000.0,08/27/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Onteora Central School District,BOICEVILLE,NY,12412,2000.0,08/27/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,PS 11K,BROOKLYN,NY,11238,1300.0,08/27/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,PS 144Q,FOREST HILLS,NY,11375,2753.0,10/23/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,PS57,STATEN ISLAND,NY,10304,7619.0,08/27/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,PTA of the Neighborhood School,NEW YORK,NY,10009,10000.0,11/04/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Rocking the Boat,BRONX,NY,10474,7853.0,08/27/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Sgt James F Carty DSC VFW Post 1545,WINDHAM,NY,12496,6599.65,07/03/2013,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Sonia Lor,MARGARETVILLE,NY,12455,7435.4,04/11/2013,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,The Earth School,NEW YORK,NY,10009,10000.0,10/01/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Trout Unlimited TIC,FLUSHING,NY,11373,10000.0,09/24/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Village Bistro,TANNERSVILLE,NY,12485,19108.0,03/25/2013,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Walton Central School,WALTON,NY,13856,969.0,08/27/2013,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Woodstock Day School,WOODSTOCK,NY,12498,6051.0,08/27/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2013,,Not for Profit,Zadock Pratt Museum,PRATTSVILLE,NY,12468,10000.0,08/27/2013,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Arm of the Sea Productions Inc,MALDEN ON HUDSON,NY,12453,9625.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Brooklyn School of Inquiry,BROOKLYN,NY,11204,1974.0,01/28/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Catskill Center for Conservation & Development,ARKVILLE,NY,12406,3823.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Columbia Secondary School,NEW YORK,NY,10027,9450.0,11/03/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,"Cornell Cooperative Extension, Delaware County",HAMDEN,NY,13782,9987.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,DCMO BOCES,SIDNEY CENTER,NY,13839,3372.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Eltingville Lutheran School,STATEN ISLAND,NY,10312,9600.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Farm Catskills,DELHI,NY,13753,10000.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Frost Valley YMCA,CLARYVILLE,NY,12725,9180.0,11/03/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Greater Fleischmanns Museum of Memories,FLEISCHMANNS,NY,12430,500.0,12/30/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Greater Roxbury Learning Initiative Corp,ROXBURY,NY,12474,8000.0,10/21/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Groundswell,BROOKLYN,NY,11215,7500.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Horticultural Society of NY,NEW YORK,NY,10018,8000.0,10/07/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Hunters Point Middle School,LONG ISLAND CITY,NY,11101,1500.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Jefferson Central School,JEFFERSON,NY,12093,4260.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Manhattan Country School Farm,ROXBURY,NY,12474,800.0,10/21/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Mountaintop Arboretum,TANNERSVILLE,NY,12485,1805.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,"NYC Department of Education, PS 57R",STATEN ISLAND,NY,10304,10000.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,NYC H2O,NEW YORK,NY,10009,9996.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Onteora Central School,BOICEVILLE,NY,12412,1140.0,09/19/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,"P723X, Bronx Children's School",BRONX,NY,10451,5000.0,11/03/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Pelham Preparatory Academy,BRONX,NY,10469,1300.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Rocking the Boat Inc,BRONX,NY,10474,8251.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Time and the Valleys Museum,GRAHAMSVILLE,NY,12740,3466.0,08/26/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Trout Unlimited - Trout in the Classroom,FLUSHING,NY,11373,651.67,02/11/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Trout Unlimited - Trout in the Classroom,FLUSHING,NY,11373,39.2,06/11/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Trout Unlimited - Trout in the Classroom,FLUSHING,NY,11373,1230.0,07/29/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Trout Unlimited - Trout in the Classroom,FLUSHING,NY,11373,9500.0,11/03/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Willow Mixed Media,GLENFORD,NY,12433,5000.0,08/12/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Woodstock Day School,SAUGERTIES,NY,12477,4925.0,09/19/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2014,,Not for Profit,Zadock Pratt Museum,PRATTSVILLE,NY,12468,3450.0,10/21/2014,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Arm of the Sea Productions Inc,BROOKLYN,NY,11245,8500.0,08/11/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Ashokan Center,OLIVEBRIDGE,NY,12461,1185.0,09/18/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,CCE Columbia Greene Counties,ACRA,NY,12405,5000.0,08/11/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Children's Museum of Manhattan,NEW YORK,NY,10024,5000.0,08/30/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Children's Workshop School,NEW YORK,NY,10019,5000.0,10/26/2015,Education/Training (Business Development),No,,
Cayuga Tobacco Asset Securitization Corporation,12/31/2013,No,,,,,,,,,,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,City Parks Foundation,NEW YORK,NY,10029,8945.0,12/04/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,"Cornell Cooperative Extension, Delaware County",HAMDEN,NY,13782,10000.0,08/11/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,"Cornell Cooperative Extension, Ulster County",KINGSTON,NY,12401,10000.0,09/30/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Fort Hamilton High School,BROOKLYN,NY,11209,1600.0,08/28/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Franklin Central School,FRANKLIN,NY,13775,855.0,09/18/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Horticultural Society of NY,NEW YORK,NY,10018,4500.0,11/23/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,JHS 118/William Niles Academy,BRONX,NY,10457,9495.0,02/09/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Jefferson Central School,JEFFERSON,NY,12093,3200.0,08/11/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Lower Manhattan Community Middle School PTA,NEW YORK,NY,10004,9000.0,08/11/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Marine Park Intermediate School 278K,BROOKLYN,NY,11229,1983.0,08/12/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,"NYC Department of Education, PS 57R",STATEN ISLAND,NY,10304,9000.0,09/30/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,NYC H2O,NEW YORK,NY,10009,9000.0,08/11/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Neighborhood School PTA,NEW YORK,NY,10009,9000.0,08/11/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Olive Free Library Association,WEST SHOKAN,NY,12494,1250.0,09/10/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Onteora Central School,BOICEVILLE,NY,12412,10000.0,08/11/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Onteora Central School/Phoenicia Elementary,BOICEVILLE,NY,12412,1460.0,08/11/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Phoenicia Library,PHOENICIA,NY,12464,5000.0,08/11/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Rocking the Boat Inc,BRONX,NY,10474,9000.0,08/11/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,The Earth School,NEW YORK,NY,10009,9000.0,08/11/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Tri Valley Central School,GRAHAMSVILLE,NY,12740,8160.0,08/18/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Trout Unlimited - Trout in the Classroom,ARLINGTON,VA,22209,9000.0,09/09/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Trout Unlimited - Trout in the Classroom,FLUSHING,NY,11373,764.41,06/04/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Trout Unlimited - Trout in the Classroom,FLUSHING,NY,11373,307.34,10/01/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Trout Unlimited - Trout in the Classroom,FLUSHING,NY,11373,264.99,12/24/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Urban Assembly Schools for Wildlife Conservation,BRONX,NY,10461,900.0,10/20/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2015,,Not for Profit,Woodstock Day School,WOODSTOCK,NY,12498,5525.0,08/18/2015,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Arm of the Sea Productions Inc,MALDEN ON HUDSON,NY,12453,5000.0,08/04/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Catskill Center for Conservation & Development,ARKVILLE,NY,12406,5319.0,10/04/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Catskill Center for Conservation & Development,ARKVILLE,NY,12406,2500.0,10/04/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Catskill Mountainkeeper,LIVINGSTON MANOR,NY,12758,4773.0,09/06/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Children's Museum of Manhattan,NEW YORK,NY,10024,6000.0,10/04/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Columbia Secondary School,NEW YORK,NY,10027,9000.0,10/20/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,"Cornell Cooperative Extension, Delaware County",HAMDEN,NY,13782,9000.0,08/24/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Farm Catskills,DELHI,NY,13753,4734.0,10/04/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Heart of the Catskills dba MTC Cable,MARGARETVILLE,NY,12455,25000.0,12/01/2016,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Heart of the Catskills dba MTC Cable,MARGARETVILLE,NY,12455,10000.0,12/01/2016,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Horticultural Society of NY,NEW YORK,NY,10018,5000.0,09/06/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Jefferson Central School,JEFFERSON,NY,12093,4108.0,09/06/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Lower Manhattan Community Middle School PTA,NEW YORK,NY,10004,9000.0,11/15/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,MS 324,NEW YORK,NY,10032,8700.0,10/20/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Manhattan Country School Farm,ROXBURY,NY,12474,6180.0,11/15/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Morton Memorial Library,PINE HILL,NY,12465,2500.0,12/31/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,"NYC Department of Education, PS 57R",STATEN ISLAND,NY,10304,9000.0,08/11/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,NYC H2O,NEW YORK,NY,10009,9000.0,08/04/2016,Education/Training (Business Development),No,,
Catskill Watershed Corporation,12/31/2016,,Not for Profit,Onteora Central School,BOICEVILLE,NY,12412,9000.0,09/06/2016,Education/Training (Business Development),No,,
