Appeal Type,Appeal Subtype,Agency,Status,Date Filed,Date Closed,Exam No.,Title,Expiration,Extension,Acronym
Section 50,Score,MTA New York City Transit - NYCT,Open,10/25/2017,,5716.0,Conductor,02/01/2021,,NYCT
Section 50,Character,Police Department - NYPD,Open,10/25/2017,,4312.0,Police Officer,06/22/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/24/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/24/2017,,7029.0,Statistician,,,DCAS
Section 50,Character,Police Department - NYPD,Open,10/24/2017,,4307.0,School Safety Agent,01/07/2020,,NYPD
Section 50,,Police Department - NYPD,Closed,10/24/2017,10/31/2017,4307.0,School Safety Agent,01/07/2020,,NYPD
Section 50,Character,Department of Correction - DOC,Open,10/24/2017,,6332.0,Correction Officer,09/22/2020,,DOC
Waiting for DQ,,Transit Authority - NYCTA,Closed,10/23/2017,12/08/2017,,,,,NYCTA
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,10/23/2017,12/08/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/23/2017,,8206.0,Administrative Retirement Benefits Specialist,,,DCAS
Section 50,Character,Police Department - NYPD,Open,10/23/2017,,6302.0,School Safety Agent,10/19/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,10/23/2017,,5330.0,Police Communications Technician,09/15/2020,,NYPD
Section 50,Psych,Police Department - NYPD,Open,10/23/2017,,4331.0,Traffic Enforcement Agent,10/29/2018,,NYPD
Section 50,Character,Department of Citywide Administrative Services - DCAS,Open,10/23/2017,,6333.0,Special Officer,02/01/2021,,DCAS
Section 50,Character,Police Department - NYPD,Open,10/21/2017,,5304.0,Traffic Enforcement Agent,01/21/2019,,NYPD
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Open,10/20/2017,,7508.0,Promotion to Computer Associate (Technical Support),,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,10/20/2017,11/20/2017,7303.0,Traffic Enforcement Agent,03/08/2021,,NYPD
Section 50,Character,Department of Correction - DOC,Open,10/20/2017,,7322.0,Correction Officer,05/17/2021,,DOC
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,10/20/2017,,6524.0,Assistant Resident Buildings Superintendent,07/05/2021,,DCAS
Other,,Department of Citywide Administrative Services - DCAS,Closed,10/20/2017,10/20/2017,,,,,DCAS
Section 50,Psych,Fire Department - FDNY,Closed,10/20/2017,10/23/2017,4004.0,Emerg.Med.Spec.-EMT,02/19/2018,,FDNY
Section 50,Score,MTA New York City Transit - NYCT,Open,10/20/2017,,5709.0,Signal Maintainer,03/08/2021,,NYCT
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/20/2017,,8003.0,Clerical Associate,,,DCAS
Section 50,Psych,Police Department - NYPD,Open,09/01/2017,,4316.0,Police Officer,08/24/2020,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,10/20/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Character,Police Department - NYPD,Open,10/19/2017,,4313.0,Police Officer,06/23/2020,,NYPD
Section 76,Suspension,Housing Authority - NYCHA,Open,10/19/2017,,,,,,NYCHA
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/18/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,10/18/2017,12/15/2017,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,10/18/2017,10/31/2017,4335.0,Police Communications Technician,11/14/2017,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/17/2017,,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,10/17/2017,10/17/2017,4314.0,School Safety Agent,01/08/2020,,DCAS
Section 50,Psych,Police Department - NYPD,Open,10/17/2017,,4307.0,School Safety Agent,01/07/2020,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,10/17/2017,11/29/2017,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Open,10/17/2017,,4307.0,School Safety Agent,01/07/2020,,NYPD
Section 50,Psych,Police Department - NYPD,Open,10/17/2017,,3316.0,Police Officer,12/14/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/16/2017,,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Psych,Police Department - NYPD,Open,10/16/2017,,3316.0,Police Officer,12/14/2019,,NYPD
Duplicate Filing,,Police Department - NYPD,Closed,10/16/2017,,,,,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,10/16/2017,12/11/2017,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/16/2017,,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,10/16/2017,11/17/2017,6502.0,Promotional Police Officer,06/22/2020,,NYPD
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Closed,10/16/2017,10/31/2017,7544.0,Promotion to Captain (Police),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/16/2017,,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Score,Transit Authority - NYCTA,Open,10/13/2017,,5716.0,Conductor,02/01/2021,,NYCTA
Section 50,Psych,Police Department - NYPD,Open,10/13/2017,,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,10/13/2017,12/13/2017,6033.0,Maintenance Worker,05/10/2021,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,10/13/2017,11/02/2017,7320.0,Correction Officer,01/11/2021,,DOC
Section 50,Medical,Department of Correction - DOC,Closed,10/12/2017,11/14/2017,6029.0,Probation Officer,09/14/2020,,DOC
Section 50,Psych,Police Department - NYPD,Open,10/12/2017,,4306.0,Police Officer,12/23/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/11/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/10/2017,,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,10/10/2017,11/29/2017,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,10/10/2017,,5522.0,Associate Job Opportunity Specialist,03/22/2021,,DCAS
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Closed,10/10/2017,10/31/2017,7544.0,Promotion to Captain (Police),,,DCAS
Duplicate Filing,,Department of Citywide Administrative Services - DCAS,Closed,10/10/2017,10/23/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/10/2017,,7003.0,Computer Associate (Technical Support),,,DCAS
Waiting for Appeal Request,,Department of Citywide Administrative Services - DCAS,Closed,10/10/2017,12/08/2017,,,,,DCAS
Section 50,Psych,Police Department - NYPD,Open,10/10/2017,,3311.0,Police Officer,06/29/2019,,NYPD
Section 50,Character,Department of Correction - DOC,Open,10/10/2017,,2304.0,Correction Officer,11/12/2018,,DOC
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Closed,10/10/2017,10/31/2017,7544.0,Promotion to Captain (Police),,,DCAS
Section 76,Termination,Department of Correction - DOC,Open,10/10/2017,,,,,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/09/2017,,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Closed,10/06/2017,10/31/2017,7544.0,Promotion to Captain (Police),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/06/2017,,7029.0,Statistician,,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,10/06/2017,11/08/2017,6502.0,Promotional Police Officer,06/22/2020,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,10/05/2017,11/02/2017,,,,,DCAS
Section 50,Character,Police Department - NYPD,Open,10/05/2017,,4330.0,School Safety Agent,04/29/2020,,NYPD
Other,,Police Department - NYPD,Closed,10/04/2017,10/05/2017,,,,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,10/03/2017,10/20/2017,6033.0,Maintenance Worker,05/10/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/03/2017,,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,10/03/2017,11/28/2017,2302.0,Police Officer,04/30/2018,,NYPD
Section 50,Unauthorized Substance,Police Department - NYPD,Open,10/03/2017,,6321.0,Police Communications Technician,02/01/2021,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,10/02/2017,11/27/2017,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,10/02/2017,,6524.0,Assistant Resident Buildings Superintendent,07/05/2021,,DCAS
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,10/02/2017,11/27/2017,6617.0,Revenue Equipment Maintainer,,,NYCT
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Closed,10/02/2017,10/31/2017,7544.0,Promotion to Captain (Police),,,DCAS
Section 50,Medical,Police Department - NYPD,Open,10/02/2017,,7303.0,Traffic Enforcement Agent,03/08/2021,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,10/02/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Waiting for DQ,,Police Department - NYPD,Closed,09/29/2017,11/02/2017,,,,,NYPD
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Closed,09/29/2017,10/31/2017,7544.0,Promotion to Captain (Police),,,DCAS
Section 50,Character,Police Department - NYPD,Open,09/29/2017,,4312.0,Police Officer,06/22/2020,,NYPD
Section 50,Medical,Fire Department - FDNY,Closed,09/29/2017,10/19/2017,5003.0,Emergency Medical Specialist - EMT,02/18/2019,,FDNY
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/28/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Psych,Police Department - NYPD,Open,09/28/2017,,3310.0,Police Officer,06/25/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/28/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/28/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,09/28/2017,,6524.0,Assistant Resident Buildings Superintendent,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/28/2017,,7029.0,Statistician,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/28/2017,,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Medical,Department of Correction - DOC,Open,09/28/2017,,6315.0,Correction Officer,06/15/2020,,DOC
Duplicate Filing,,Department of Citywide Administrative Services - DCAS,Closed,09/27/2017,09/28/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/27/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Psych,Police Department - NYPD,Open,09/27/2017,,3315.0,Police Officer,12/10/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,09/27/2017,12/15/2017,2326.0,Police Officer,07/02/2018,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,09/27/2017,12/20/2017,2344.0,Police Officer,06/19/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/27/2017,,6014.0,Auto Mechanic (Diesel),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,09/27/2017,12/29/2017,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/27/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Character,Police Department - NYPD,Open,09/27/2017,,4312.0,Police Officer,06/22/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/27/2017,,5039.0,Principal Administrative Associate,07/19/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/26/2017,,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/25/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Education and Experience,MTA New York City Transit - NYCT,Open,09/25/2017,,6612.0,Car Inspector,,,NYCT
Section 50,Character,Police Department - NYPD,Open,09/25/2017,,3309.0,Police Officer,09/23/2019,,NYPD
Section 50,Unauthorized Substance,Fire Department - FDNY,Open,09/25/2017,,7000.0,Emergency Medical Specialist - EMT,03/29/2021,,FDNY
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/22/2017,,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 76,,Department of Buildings - DOB,Closed,09/22/2017,09/27/2017,,,,,DOB
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,09/22/2017,09/22/2017,,,,,DCAS
Waiting for Appeal Request,,Transit Authority - NYCTA,Closed,09/22/2017,10/19/2017,,,,,NYCTA
Waiting for Appeal Request,,Police Department - NYPD,Open,09/22/2017,,,,,,NYPD
Section 50,Character,Police Department - NYPD,Open,09/22/2017,,4323.0,Police Officer,08/26/2020,,NYPD
Section 50,Medical,Police Department - NYPD,Open,09/22/2017,,5329.0,Police Officer,07/07/2021,,NYPD
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Open,09/22/2017,,7532.0,Promotion to Lieutenant (Police),,,DCAS
Section 50,Medical,Department of Correction - DOC,Open,09/22/2017,,7322.0,Correction Officer,05/17/2021,,DOC
Other,,Department of Citywide Administrative Services - DCAS,Closed,09/22/2017,10/11/2017,,,,,DCAS
Section 76,,Department of Investigation - DOI,Open,09/21/2017,,,,,,DOI
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,09/21/2017,11/02/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/21/2017,,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/21/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,09/21/2017,11/08/2017,4300.0,Police Officer,12/22/2019,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,09/20/2017,,,,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,09/20/2017,11/02/2017,,,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,09/20/2017,09/21/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/20/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Jurisdictional Issue,,Department of Citywide Administrative Services - DCAS,Closed,09/19/2017,,,,,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,09/18/2017,10/13/2017,5307.0,School Safety Agent,08/17/2020,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,09/18/2017,11/02/2017,,,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,09/18/2017,11/02/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,09/18/2017,10/12/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,09/18/2017,11/21/2017,7002.0,Computer Associate (Software),,,DCAS
Section 50,Medical,Department of Correction - DOC,Open,09/18/2017,,7322.0,Correction Officer,05/17/2021,,DOC
Section 76,Suspension,Department of Correction - DOC,Closed,09/18/2017,12/21/2017,,,,,DOC
Section 50,Medical,Department of Correction - DOC,Open,09/18/2017,,7322.0,Correction Officer,05/17/2021,,DOC
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,09/15/2017,11/02/2017,,,,,DCAS
Duplicate Filing,,Civil Service Commission - NYCCSC,Closed,09/15/2017,,,,,,NYCCSC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/15/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,09/15/2017,11/21/2017,6014.0,Auto Mechanic (Diesel),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,09/15/2017,11/27/2017,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Character,Department of Correction - DOC,Open,09/15/2017,,4311.0,Correction Officer,09/24/2019,,DOC
Section 76,Suspension,Police Department - NYPD,Open,09/15/2017,,,,,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Open,09/14/2017,,,,,,DCAS
Section 76,Termination,Housing Authority - NYCHA,Open,09/14/2017,,,,,,NYCHA
Other,,Department of Citywide Administrative Services - DCAS,Closed,09/14/2017,09/14/2017,,,,,DCAS
Section 50,Character,Department of Correction - DOC,Open,09/14/2017,,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Character,Police Department - NYPD,Closed,09/14/2017,10/23/2017,4313.0,Police Officer,06/23/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,09/14/2017,,4313.0,Police Officer,06/23/2020,,NYPD
Section 50,Character,Department of Citywide Administrative Services - DCAS,Open,09/14/2017,,7329.0,Correction Officer,02/15/2021,,DCAS
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Open,09/14/2017,,5537.0,Promotion to Principal Administrative Associate,02/22/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/14/2017,,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Medical,Department of Correction - DOC,Open,09/14/2017,,7322.0,Correction Officer,05/17/2021,,DOC
Other,,Department of Citywide Administrative Services - DCAS,Closed,09/13/2017,,,,,,DCAS
Section 50,Medical,Police Department - NYPD,Open,09/13/2017,,5311.0,Police Officer,04/12/2021,,NYPD
Waiting for DQ,,Police Department - NYPD,Closed,09/13/2017,11/02/2017,,,,,NYPD
Section 50,Character,Department of Correction - DOC,Open,09/13/2017,,7320.0,Correction Officer,01/11/2021,,DOC
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,09/13/2017,,6044.0,Fraud Investigator,,,DCAS
Section 50,Character,Department of Correction - DOC,Open,09/13/2017,,7329.0,Correction Officer,02/15/2021,,DOC
Section 50,Unauthorized Substance,Police Department - NYPD,Open,09/12/2017,,5320.0,Police Officer,06/30/2021,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/12/2017,,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,09/12/2017,12/12/2017,7035.0,Administrative Director of Social Services,07/19/2021,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,09/11/2017,11/02/2017,,,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,09/11/2017,10/10/2017,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Character,Police Department - NYPD,Closed,09/11/2017,11/03/2017,4300.0,Police Officer,12/22/2019,,NYPD
Waiting for DQ,,MTA New York City Transit - NYCT,Closed,09/11/2017,11/02/2017,,,,,NYCT
Other,,Department of Citywide Administrative Services - DCAS,Closed,09/08/2017,09/08/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/08/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Psych,Police Department - NYPD,Open,09/08/2017,,5319.0,Traffic Enforcement Agent,10/28/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/08/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 76,Suspension,Department of Correction - DOC,Closed,09/08/2017,12/21/2017,,,,,DOC
Section 50,Psych,Police Department - NYPD,Closed,09/08/2017,11/28/2017,3322.0,School Safety Agent,05/28/2018,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,09/07/2017,09/06/2017,6016.0,High Pressure Plant Tender,12/21/2020,,DCAS
Section 50,Education and Experience,MTA New York City Transit - NYCT,Open,09/07/2017,,6612.0,Car Inspector,,,NYCT
Section 50,Psych,Police Department - NYPD,Closed,09/07/2017,09/22/2017,4335.0,Police Communications Technician,11/14/2017,,NYPD
Waiting for DQ,,Police Department - NYPD,Closed,09/07/2017,11/02/2017,,,,,NYPD
Other,,Police Department - NYPD,Closed,09/06/2017,09/07/2017,,,,,NYPD
Section 50,Psych,Police Department - NYPD,Open,09/06/2017,,6307.0,Traffic Enforcement Agent,06/16/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/06/2017,,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/06/2017,,6014.0,Auto Mechanic (Diesel),,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,09/05/2017,,5511.0,Promotion to Captain (Correction),05/11/2020,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,09/05/2017,,7020.0,Public Health Nurse (School Health),05/24/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,09/05/2017,10/25/2017,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,09/05/2017,12/06/2017,7035.0,Administrative Director of Social Services,07/19/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Open,09/01/2017,,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,09/01/2017,12/11/2017,7263.0,Associate Public Records Officer,08/30/2018,,DCAS
Waiting for DQ,,MTA New York City Transit - NYCT,Closed,09/01/2017,11/02/2017,,,,,NYCT
Section 50,Psych,Police Department - NYPD,Open,09/01/2017,,4307.0,School Safety Agent,01/07/2020,,NYPD
Section 50,Unauthorized Substance,Police Department - NYPD,Open,09/01/2017,,6310.0,Police Communications Technician,12/28/2020,,NYPD
Section 50,Character,Department of Correction - DOC,Open,09/01/2017,,7329.0,Correction Officer,02/15/2021,,DOC
Waiting for DQ,,Police Department - NYPD,Closed,08/31/2017,10/05/2017,,,,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,08/31/2017,,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Open,08/31/2017,,4320.0,Police Officer,08/25/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,08/31/2017,10/04/2017,6012.0,Auto Mechanic,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,08/30/2017,10/03/2017,6012.0,Auto Mechanic,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,08/30/2017,09/27/2017,6012.0,Auto Mechanic,,,DCAS
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Closed,08/30/2017,11/02/2017,6033.0,Maintenance Worker,05/10/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,08/30/2017,10/31/2017,7002.0,Computer Associate (Software),,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,08/29/2017,10/16/2017,5331.0,Police Communications Technician,09/28/2020,,NYPD
Section 50,Psych,Police Department - NYPD,Open,08/29/2017,,3316.0,Police Officer,12/14/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,08/29/2017,,6047.0,Health Services Manager,05/24/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,08/28/2017,,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Open,08/28/2017,,4307.0,School Safety Agent,01/07/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,08/28/2017,,4310.0,Police Officer,12/28/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,08/28/2017,12/22/2017,3308.0,Police Officer,06/22/2019,,NYPD
Section 50,Medical,Police Department - NYPD,Closed,08/25/2017,11/14/2017,5311.0,Police Officer,04/12/2021,,NYPD
Duplicate Filing,,Department of Citywide Administrative Services - DCAS,Closed,08/25/2017,08/25/2017,,,,,DCAS
Duplicate Filing,,Department of Citywide Administrative Services - DCAS,Closed,08/25/2017,08/25/2017,,,,,DCAS
Other,,Department of Citywide Administrative Services - DCAS,Closed,08/25/2017,08/25/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,08/25/2017,,6014.0,Auto Mechanic (Diesel),,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,08/24/2017,08/24/2017,,,,,DCAS
Waiting for Appeal Request,,Department of Citywide Administrative Services - DCAS,Closed,08/24/2017,09/08/2017,,,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,08/24/2017,10/27/2017,4310.0,Police Officer,12/28/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,08/24/2017,11/29/2017,3327.0,School Safety Agent,09/10/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,08/23/2017,12/01/2017,4315.0,Traffic Enforcement Agent,08/23/2018,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,08/23/2017,,6067.0,City Planner,06/21/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,08/23/2017,,5039.0,Principal Administrative Associate,07/19/2021,,DCAS
Section 50,Medical,Department of Correction - DOC,Open,08/23/2017,,7320.0,Correction Officer,01/11/2021,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,08/23/2017,,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Unauthorized Substance,Fire Department - FDNY,Open,08/23/2017,,7000.0,Emergency Medical Specialist - EMT,03/29/2021,,FDNY
Section 50,Psych,Police Department - NYPD,Open,08/22/2017,,2326.0,Police offficer,07/02/2018,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,08/22/2017,08/24/2017,,,,,DCAS
Section 76,Termination,Police Department - NYPD,Open,08/22/2017,,,,,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,08/22/2017,10/27/2017,5022.0,Education Officer,,,DCAS
Section 50,Psych,Department of Citywide Administrative Services - DCAS,Open,08/22/2017,,3317.0,Police Officer,12/16/2019,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,08/21/2017,09/27/2017,,,,,DCAS
Section 50,Psych,Police Department - NYPD,Open,08/21/2017,,4316.0,Police Officer,08/24/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,08/21/2017,,5311.0,Police Officer,04/12/2021,,NYPD
Section 50,Character,Police Department - NYPD,Closed,08/21/2017,11/13/2017,2053.0,Police Officer,06/17/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,08/21/2017,10/30/2017,7002.0,Computer Associate (Software),,,DCAS
Section 50,Character,Police Department - NYPD,Closed,08/21/2017,09/06/2017,5305.0,Police Officer,03/02/2021,,NYPD
