State Fiscal Year End Date,Operator Name,Total Inspections,Failed Inspections,Operator ID,City,Region
03/31/2013,REJHA GROUP LLC.,82,1,44264,ALBANY,1
03/31/2013,RELIANCE AMBULETTE,49,7,3475,BAYSIDE,11
03/31/2013,RELIANCE GROUP INC.,9,2,48732,VALLEY STREAM,11
03/31/2013,RELIANT TRANSPORTATION INC,75,5,3664,BROOKLYN,11
03/31/2013,RELIANT TRANSPORTATION_INC,107,41,49348,BRONX,11
03/31/2013,REM TRANSPORTATION INC,41,7,24864,BROOKLYN,11
03/31/2013,REMSEN CENTRAL SCHOOL,24,2,2241,REMSEN,2
03/31/2013,RENSSELAER CITY SCHOOL,32,3,1476,RENSSELAER,1
03/31/2013,RICAR MEDICAL TRANSPORT SERV INC,18,3,27534,LAKE RONKONKOMA,10
03/31/2013,RICHARD G ROSENTHAL JCC,2,1,4478,PLEASANTVILLE,8
03/31/2013,RICHFIELD SPRINGS CENTRAL SCHO,27,2,2111,RICHFIELD SPRINGS,2
03/31/2013,RICHMOND COUNTY AMBULANCE,39,4,3520,STATEN ISLAND,11
03/31/2013,RIDES UNLIMITED OF NASSAU & SUFFOLK,248,0,1841,ISLANDIA,10
03/31/2013,RIDGE ROAD EXPRESS,46,4,3017,LOCKPORT,4
03/31/2013,RIDGE ROAD EXPRESS,78,1,2083,GASPORT,5
03/31/2013,RIDGE ROAD EXPRESS,52,1,2084,BARKER,5
03/31/2013,RIDGE ROAD EXPRESS,393,20,2045,LOCKPORT,5
03/31/2013,RIDGE ROAD EXPRESS,85,7,2046,NEWFANE,5
03/31/2013,RIDGE ROAD EXPRESS (LYNDONVILLE),1,0,50285,LYNDONVILLE,4
03/31/2013,RIDGE ST. SCHOOL,4,0,3835,PORTCHESTER,8
03/31/2013,RIGHT CHOICE LIMOUSINE LLC,2,0,48983,SELDEN,10
03/31/2013,RIGHT CHOICE TRANSPORTATION,1,0,50037,HOLBROOK,10
03/31/2013,RIMAR TRANSPORTATION INC.,2,1,3521,STATEN ISLAND,11
03/31/2013,RIPEN WITH US CHILD CARE CTR.,2,0,2047,BUFFALO,5
03/31/2013,RIPLEY CENTRAL SCHOOL,20,3,2295,RIPLEY,5
03/31/2013,RIPPOWAM CISQUA SCHOOL,5,1,2855,BEDFORD,8
03/31/2013,RITE CHOICE AMBULETTE,2,0,3437,BROOKLYN,11
03/31/2013,RIVERHEAD C.S.D.,237,8,1842,RIVERHEAD,10
03/31/2013,RIVLAB TRANS. CORP.,182,42,3265,ARVERNE,11
03/31/2013,RLS LIMOUSINES OF THE CAPITAL DIST.,26,2,46256,ALBANY,1
03/31/2013,ROBERT BERG,2,0,26293,OGDENSBURG,3
03/31/2013,ROBIN BUS CO. INC.,31,0,3658,BROOKLYN,11
03/31/2013,ROBIN TRANSPORTATION LTD.,29,1,3659,BROOKLYN,11
03/31/2013,ROBINSON'S AMB. & OXY. SERV.,83,1,1918,HOLTSVILLE,10
03/31/2013,ROCCO G'S LIMOUSINE SERVICE INC.,1,1,50221,ROME,2
03/31/2013,ROCHESTER CITY SCHOOL DISTRICT,209,10,2999,ROCHESTER,4
03/31/2013,ROCHESTER MEDICAL TRANSPORTATION,59,3,28839,ROCHESTER,4
03/31/2013,ROCHESTER SCHOOL FOR THE DEAF,2,0,3018,ROCHESTER,4
03/31/2013,ROCHESTER SCHOOL FOR THE DEAF,8,0,23965,ROCHESTER,4
03/31/2013,ROCK STAR LIMO,2,2,49829,PELHAM,11
03/31/2013,ROCKLAND AMBULETTE SERVICE,16,3,2732,SPRING VALLEY,8
03/31/2013,ROCKLAND COUNTRY DAY SCHOOL,4,0,31538,CONGERS,8
03/31/2013,ROCKLAND TRANSIT CORP.,73,9,2833,VALLEY COTTAGE,8
03/31/2013,ROCKSHIRE CORP DBA ROCKSHIRE TRANSI,2,0,48002,MONSEY,8
03/31/2013,ROCKVILLE CENTER UFSD,15,1,6104,ROCKVILLE,10
03/31/2013,ROETHEL COACH LINES,17,3,2496,OGDENSBURG,3
03/31/2013,ROGER'S LIMOUSINE SERVICE,2,1,23269,LONG BEACH,10
03/31/2013,ROLLING V BUS CORP,92,0,42833,LIBERTY,2
03/31/2013,ROLLING V BUS CORP.,309,2,2169,SOUTH FALLSBURG,8
03/31/2013,ROMANTIQUE TRANS INC,22,2,37841,BROKLYN,11
03/31/2013,ROME CITY SCHOOL,23,2,2242,ROME,2
03/31/2013,ROMPER ROOM NURSERY,12,1,3210,WILLISTON PARK,10
03/31/2013,ROMULUS CENTRAL SCHOOL,32,3,2409,ROMULUS,3
03/31/2013,RONDOUT CHARTERS,10,1,4024,KERHONKSON,8
03/31/2013,RONDOUT VALLEY CENTRAL SCHOOL,4,0,34096,ACCROD,8
03/31/2013,ROSA LEE YOUNG CHILDHOOD CENTER,2,0,3578,ROCKVILLE CENTER,10
03/31/2013,ROSAL LIMOUSINES LTD,1,1,50699,BROOKLYN,11
03/31/2013,ROSCOE CETRAL SCHOOL DISTRICT,3,1,49077,ROSCOE,2
03/31/2013,ROSE HILL MANOR DAY SCHOOL,1,1,45503,BEACON,8
03/31/2013,ROSLYN U.F.S.D.,123,6,3211,ROSLYN HEIGHTS,10
03/31/2013,ROSS SCHOOL,11,0,26027,EAST HAMPTON,10
03/31/2013,ROTTERDAM MOHONASEN CSD,119,3,1562,SCHENECTADY,1
03/31/2013,ROUND TRIP TRANSPORTATION INC.,4,0,40167,BROOKLYN,11
03/31/2013,ROXBURY CENTRAL SCHOOL,25,0,2170,ROXBURY,2
03/31/2013,ROY K. DAVIS BUS,142,0,1772,HUNTINGTON STATION,10
03/31/2013,ROY K. DAVIS BUS,283,0,1771,EAST NORTHPORT,10
03/31/2013,ROYAL COACH LINES (SOMERS),183,9,45453,YONKERS,8
03/31/2013,ROYAL COACH LINES (THORNWOOD),180,11,4120,YONKERS,8
03/31/2013,ROYAL COACH LINES INC.(YONKERS),393,38,3921,YONKERS,8
03/31/2013,ROYAL EXPRESS LINE CORP,42,0,29008,"REGO PARK,",11
03/31/2013,ROYAL ROSE TRANSPORTATION LLC,22,3,33699,BROOKLYN,11
03/31/2013,"ROYAL WAY LIMOUSINE, INC",4,0,49273,YONKERS,11
03/31/2013,ROYALTY TRANSPORTATION LLC,2,0,44975,VALLEY STREAM,11
03/31/2013,RS BUS COMPANY,2,0,49746,RICHMOND HILL,8
03/31/2013,RUMBA EXPRESS INC.,2,0,49286,DIX HILLS,10
03/31/2013,RUSH-HENRIETTA CENTRAL SCHOOL,228,6,2539,HENRIETTA,4
03/31/2013,RW EXPRESS L.L.C.,195,23,37904,NEW YORK,11
03/31/2013,RYE AMBULETTE,29,7,3999,RYE,8
03/31/2013,RYE YMCA,1,0,4025,RYE,8
03/31/2013,S & F TRAVEL INC,6,0,49467,WILLIAMSVILLE,11
03/31/2013,"S & J TOURS & BUS, INC.",9,4,26130,BROOKLYN,11
03/31/2013,S & L TRANSPORTATION INC.,4,0,28371,BROOKLYN,10
03/31/2013,S & N CHARTERS,3,0,40575,ROOSEVELT,10
03/31/2013,"S AND T VAN EXPRESS, INC",2,0,50335,MONESY,11
03/31/2013,S AND W TOURS & CHARTERS LLC,8,0,42317,BRIER HILL,3
03/31/2013,"S&R TRANSPORTATION SERVICES,INC.",4,1,47441,SYRACUSE,3
03/31/2013,S&S LIMOUSINES INC.,54,4,25794,LEROY,4
03/31/2013,S. R. TRANSPORTATION,2,0,43491,E. ELMHURST,11
03/31/2013,SABE AMB-DBA-MOBILITY TRANS,106,6,3106,N BELLMORE,11
03/31/2013,SACHEM CENTRAL SCHOOL DIST.,78,0,1981,LAKE RONKONKOMA,10
03/31/2013,SACKETS HARBOR CENTRAL SCHOOL,20,1,4032,SACKETS HARBOR,3
03/31/2013,SACRED HEART HIGH SCHOOL,4,0,37751,YONKERS,8
03/31/2013,SAFA AMBULETTE LLC,6,0,27812,BROOKLYN,11
03/31/2013,SAFE AMBULETTE CORP,1,0,37080,BROOKLYN,11
03/31/2013,"SAFE COACH BUS, INC",117,12,3899,BROOKLYN,11
03/31/2013,SAFE COACH INC.,101,5,3123,BROOKLYN,11
03/31/2013,"SAFE EXPESS TRANSPORTATION, INC",6,2,44982,BROOKLYN,11
03/31/2013,SAG HARBOR U.F.S.D.,20,0,47405,SAG HARBOR,10
03/31/2013,SAINT ANTHONY OF PADUA CHURCH,2,0,39462,ENDICOTT,2
03/31/2013,SAINT IGNATIUS SCHOOL,2,0,37808,BRONX,8
03/31/2013,SALAMANCA CITY SCHOOLS,52,0,1797,SALAMANCA,5
03/31/2013,SALEM CENTRAL SCHOOL,28,1,1496,SALEM,1
03/31/2013,SALESIAN HIGH SCHOOL,6,3,28228,NEW ROCHELLE,8
03/31/2013,SALMA TRANSPORTATION LLC.,16,0,45065,"NEW HYDE PARK,",11
03/31/2013,SALMON RIVER CENTRAL SCHOOL,60,2,2387,FT. COVINGTON,3
03/31/2013,SALS LIMOUSINE INC.,2,0,49383,COMMACK,10
03/31/2013,SALVATION ARMY HEMPSTEAD DAYCARE CT,2,0,27653,HEMPSTEAD,10
03/31/2013,SALVATION DELIVERANCE CHURCH,2,0,21269,NEW YORK,11
03/31/2013,SAMARITAN HOSPITAL,4,0,1679,TROY,1
03/31/2013,SAMARITIAN KEEP HOME,18,2,2520,WATERTOWN,3
03/31/2013,SAMUEL FIELD YM-YWHA,18,0,1864,LITTLE NECK,10
03/31/2013,SANDRA TRANSPORTATION,4,0,39466,HICKSVILLE,11
03/31/2013,SANDY CREEK CENTRAL SCHOOL,54,7,2521,SANDY CREEK,3
03/31/2013,SANTO DOMINGO BUS SERVICE INC,4,0,39268,JACKSON HEIGHTS,11
03/31/2013,SARANAC CENTRAL SCHOOL,80,2,1639,SARANAC,1
03/31/2013,SARANAC LAKE CENTRAL SCHOOL,51,1,1641,SARANAC LAKE,1
03/31/2013,SARATOGA CENTRAL CATHOLIC,6,1,39528,SARATOGA SPRINGS,1
03/31/2013,SARATOGA COUNTY ARC,10,2,1658,BALLSTON SPA,1
03/31/2013,SARATOGA SPRINGS CITY SCHOOL,207,8,1659,SARATOGA SPRINGS,1
03/31/2013,SARATOGA/WARREN CO. BOCES,11,0,1660,SARATOGA SPRINGS,1
03/31/2013,SATCO AMBULETTE INC.,12,0,27445,YONKERS,8
03/31/2013,SAUGERTIES CENTRAL SCHOOL,2,0,1699,SAUGERTIES,1
03/31/2013,SAUQUOIT VALLEY CENTRAL SCHOOL,57,4,2207,SAUQUOIT,2
03/31/2013,SBM AND AFFILIATES INC,12,1,39536,BROOKLYN,11
03/31/2013,SCARLET GIRL VAN LINES INC,9,3,27658,ROSEDALE,11
03/31/2013,SCARLET TOURS INC.,3,3,29467,ROOSEVELE,10
03/31/2013,SCARSDALE UNION FREE SCHOOL DI,167,0,2624,SCARSDALE,8
03/31/2013,SCARSDALE VETERERANS/CAMELOT LIMO,1,0,49745,SCARSDALE,8
03/31/2013,SCH DST.OF CITY OF NIA. FALLS,5,3,2048,NIAGARA FALLS,5
03/31/2013,SCHALMONT CENTRAL SCHOOL,109,5,1563,SCHENECTADY,1
03/31/2013,SCHEN. CO. ACTION PROG. HEADSTART,9,0,1565,SCHENECTADY,1
03/31/2013,SCHENECTADY ARC (RIDGE SERVICE),38,2,1564,SCHENECTADY,1
03/31/2013,SCHENECTADY DAY NURSERY,2,0,1566,SCHENECTADY,1
03/31/2013,SCHENEVUS CENTRAL SCHOOL,24,0,2015,SCHENEVUS,2
03/31/2013,SCHODACK CENT SCHOOL,48,1,1536,CASTLETON,1
03/31/2013,SCHOHARIE CENTRAL SCHOOL,68,4,1615,SCHOHARIE,2
03/31/2013,SCHOHARIE CO. HEADSTART,14,1,2017,COBLESKILL,2
03/31/2013,SCHOHARIE CO. SR. CITIZENS,28,5,2018,COBLESKILL,2
03/31/2013,SCHOHARIE COUNTY,12,0,1617,SCHOHARIE,2
03/31/2013,SCHOLASTIC BUS CORP.,24,0,4146,DEPOSIT,2
03/31/2013,SCHOOL BUS BY SUPERIOR INC.,147,10,32734,BROOKLYN,11
03/31/2013,SCHROON LAKE CENTRAL SCHOOL,23,1,1642,SCHROON LAKE,1
03/31/2013,SCHUYLER CO. CHAPT. NYSARC,38,0,2930,WATKINS GLEN,4
03/31/2013,SCHUYLERVILLE CENTRAL SCHOOL,77,1,1497,SCHUYLERVILLE,1
03/31/2013,SCIO CENTRAL SCHOOL DISTRICT,31,0,2729,SCIO,4
03/31/2013,SCOTIA GLENVILLE CENTRAL SCHOOL,92,2,1570,SCOTIA,1
03/31/2013,SEAWAY VALLEY AMBULANCE SERVIC,12,1,23266,MASSENA,3
03/31/2013,SELBY TRANSPORT. CORP.,237,19,3524,BRONX,11
03/31/2013,SENECA & CAYUGA CO CHAPTER NYS ARC,9,0,23270,WATERLOO,3
03/31/2013,SENECA FALLS C. SCHOOL,62,2,2411,SENECA FALLS,3
03/31/2013,SENECA NATION HEADSTART,14,2,2233,IRVING,5
03/31/2013,SENECA NURSING HOME,8,1,21100,WATERLOO,4
03/31/2013,SENECA TRANSPORTATION,17,3,47482,IRVING,5
03/31/2013,SENIOR RIDE TRANSPORTATION LLC,75,0,20066,BRONX,11
03/31/2013,SERAFINI TRANSPORTATION,95,4,2136,VESTAL,2
03/31/2013,SERENITY LIMOUSINE LLC,6,1,49071,"SELDEN, NY",10
03/31/2013,SERVICE BUS CO. INC.,86,4,3923,YONKERS,8
03/31/2013,SETH TRANSPORTATION INC.,17,5,49054,BELL HARBOR,11
03/31/2013,SETON CATHOLIC CENTRAL SCHOOL,8,1,1644,PLATTSBURGH,1
03/31/2013,SETTEMBRE BUS CO INC.,24,0,40582,PEEKSKILL,8
03/31/2013,SHALOM AMBULETTE INC.,26,5,36317,WHITE PLAINS,8
03/31/2013,SHAMUS COACH,6,0,1722,HOLTSVILLE,10
03/31/2013,SHANNON TRANSPORTATION,6,1,32351,HUNTINGTON STATION,10
03/31/2013,SHARON SPRINGS CENTRAL SCHOOL,25,1,2019,SHARON SPRINGS,2
03/31/2013,SHENENDEHOWA CENTRAL SCHOOL,442,1,1661,CLIFTON PARK,1
03/31/2013,SHERBURNE EARLVILLE CENTRAL SC,83,4,2209,SHERBURNE,2
03/31/2013,"SHERI TORAH, INC",27,9,37982,MONROE,11
03/31/2013,SHERMAN CENTRAL SCHOOL,35,0,2296,SHERMAN,5
03/31/2013,SHIBLEY SUMMER DAY CAMP,4,0,3212,ROSLYN,10
03/31/2013,SHIVA AMBULETTE,24,9,4000,BRONX,8
03/31/2013,SHOLOM SHOLOM INC,6,0,30555,RICHMOND HILLS,11
03/31/2013,SHOREHAM WADING RIVER C.S.D.,7,0,1846,SHOREHAM,10
03/31/2013,SHUFFLES LIMOUSINE SERVICE INC,4,2,6572,ROCHESTER,4
03/31/2013,SHUTTLE ASSOCIATES LLC,280,20,23923,ASTORIA,11
03/31/2013,SID JACOBSON JCC,16,1,46820,EAST HILLS,10
03/31/2013,SIDNEY CENTRAL SCHOOL DISTRICT,59,2,2271,SIDNEY,2
03/31/2013,SIGMA TRANSPORTATION INC,33,2,4493,WEST HEMPSTEAD,10
03/31/2013,SILVER CREEK CENTRAL SCHOOL,60,1,2297,SILVER CREEK,5
03/31/2013,SILVER EXPRESS,10,0,4383,STATEN ISLAND,11
03/31/2013,SILVER SHIELD LIMOUSINE AND TRANSPO,2,1,49870,PATTERSON,8
03/31/2013,SILVER STAR LIMO COMPANY LLC,27,3,42986,YONKERS,8
03/31/2013,SIMCHA BUS CORP.,2,0,49915,BROOKLYN,11
03/31/2013,SINAI VAN SERVICE,241,7,3156,FAR ROCKAWAY,11
03/31/2013,SKANEATELES CENTRAL SCHOOL,57,6,2460,SKANEATELES,3
03/31/2013,"SKYHAWK TOURS, INC.",1,0,26118,BROOKLYN,11
03/31/2013,"SKYLINE TOURS, LLC",2,0,49476,BROOKLYN,10
03/31/2013,SKYLINER TRAVEL AND TOUR,85,1,6419,ASTORIA,11
03/31/2013,SMART KIDS TRANSPORTATION,3,1,39331,ELMHURST,11
03/31/2013,SMART RIDE LTD.,12,1,29003,BUFFALO,5
03/31/2013,SMARTPICK INC,117,7,27446,BROOKLYN,11
03/31/2013,SMARTY PANTS TRANSPORTATION,4,1,47487,QUEENS VILLAGE,11
03/31/2013,SMITHTOWN C.S.D.,6,1,1982,SMITHTOWN,10
03/31/2013,SMITHTOWN GOSPEL TABERNACLE,6,0,5263,SMITHTOWN,10
03/31/2013,SNYDER TRANSPORTATION,121,0,2203,WEST SENECA,5
03/31/2013,SODUS CENTRAL SCHOOL DISTRICT,55,1,2572,SODUS,3
03/31/2013,SOLOMON SCHECHTER SCH OF WESTCHESTR,4,1,49391,HARTSDALE,8
03/31/2013,SOLVAY UNION FREE SCHOOL DISTR,70,4,2325,SOLVAY,3
03/31/2013,SOUND SHORE AMBULETTE CORP.,2,0,36168,PORT CHESTER,8
03/31/2013,SOUTH BRONX HEAD START,1,0,5242,BRONX,8
03/31/2013,SOUTH COLONIE CENTRAL SCHOOL,146,2,1700,ALBANY,1
03/31/2013,SOUTH EAST CORSORTIUM,4,1,2856,MAMARONECK,8
03/31/2013,SOUTH GLENS FALLS CENTRAL SCHO,115,10,1499,SOUTH GLENS FALLS,1
03/31/2013,SOUTH HUNTINGTON U.F.S.D.,159,2,1983,SOUTH HUNTINGTON,10
03/31/2013,SOUTH JEFFERSON CENTRAL SCHOOL,101,2,2522,ADAMS,3
03/31/2013,SOUTH KORTRIGHT CENTRAL SCHOOL,34,1,2020,SOUTH KORTRIGHT,2
03/31/2013,SOUTH LEWIS CENTRAL SCHOOL,55,0,2244,TURIN,2
03/31/2013,SOUTH SENECA CENTRAL SCHOOL,46,0,2412,OVID,3
03/31/2013,SOUTH SHORE COUNTRY DAY SCHOOL,23,0,3579,N BELMORE,10
03/31/2013,SOUTHAMPTON PUBLIC SCHOOLS,96,2,1828,SOUTHAMPTON,10
03/31/2013,SOUTHERN CAYUGA CEN. SCH.,51,1,2413,POPLAR RIDGE,3
03/31/2013,SOUTHERN TIER MEDI-VAN,47,1,2138,VESTAL,2
03/31/2013,SOUTHERN TIER STAGES INC.,32,1,2272,ENDICOTT,2
03/31/2013,SOUTHOLD UFSD,19,4,1847,SOUTHOLD,10
03/31/2013,SOUTHWESTERN CENTRAL SCHOOL,58,3,2298,JAMESTOWN,5
03/31/2013,SOVEREIGN TRANSPORTION INC,32,1,37712,BROOKLYN,11
03/31/2013,SPACKENKILL UNION FREE SCHOOL,36,5,2826,POUGHKEEPSIE,8
03/31/2013,SPARK TRANSPORTATION,3,1,26902,MASPETH,11
03/31/2013,SPEEDY MEDICAL TRANSPORT,21,5,4127,SYRACUSE,3
03/31/2013,SPENCER VAN-ETTEN CENTRAL,52,0,2958,SPENCER,4
03/31/2013,SPENCERPORT CENTRAL SCHOOLS,173,0,3019,SPENCERPORT,4
03/31/2013,SPICE AMERICAN BUS SERVICE AND TOUR,2,1,49308,BRENTWOOD,11
03/31/2013,SPINKA TRANSPORTATION,6,0,3722,BROOKLYN,11
03/31/2013,SPRING AMBULETTE INC,9,1,4430,BROOKLYN,11
03/31/2013,SPRINGS U.F.S.D.,26,5,41023,EASTHAMPTON,10
03/31/2013,SPRINGVILLE-GRIFFITH INSTITUTE,96,1,2236,SPRINGVILLE,5
03/31/2013,ST EDMUND PREP HIGH SCHOOL,2,0,26022,BROOKLYN,11
03/31/2013,ST JOSEPH BY-THE-SEA HIGH SCHOOL,2,0,39943,STATEN ISLAND,11
03/31/2013,ST JOSEPH SCHOOL FOR THE DEAF,2,2,30181,BRONX,11
03/31/2013,ST LAWRENCE CENTRAL SCHOOL,40,2,2367,BRASHER FALLS,3
03/31/2013,ST LAWRENCE COUNTY ARC,45,12,4303,CANTON,3
03/31/2013,ST. ANTHONYS HS,15,0,24902,SOUTH HUNTINGTON,10
03/31/2013,ST. CAMILLUS HEALTH CARE FACIL,23,1,2462,SYRACUSE,3
03/31/2013,ST. DOMINIC R C C,12,0,20166,OYSTER BAY,10
03/31/2013,ST. FRANCIS HIGH SCHOOL,7,1,6661,ATHOL SPRINGS,5
03/31/2013,ST. FRANCIS PREP,14,0,23437,FRESH MEADOWS,11
03/31/2013,ST. HELENA SCHOOL,2,1,37434,BRONX,11
03/31/2013,ST. JOHN THE BAPTIST DIOCESAN H.S.,8,0,37983,WEST ISLIP,10
03/31/2013,ST. JOHNSVILLE CENTRAL SCHOOL,11,0,2113,ST. JOHNSVILLE,1
03/31/2013,ST. JOSEPH UNIVERSITY PARISH,1,0,23524,BUFFALO,5
03/31/2013,ST. JOSEPH'S COLLEGIATE INSTIT,6,0,1889,TONAWANDA,5
03/31/2013,ST. LAWRENCE CO. CDP,30,0,2499,CANTON,3
03/31/2013,ST. MARYS BALDWINSVILLE,2,0,2360,BALDWINSVILLE,3
03/31/2013,ST. MARYS H.S.,18,0,23334,MANHASSET,10
03/31/2013,ST. MARY'S RC CHURCH,2,0,46264,EAST ISLIP,10
03/31/2013,ST. MARY'S SCHOOL FOR THE DEAF,13,0,2359,BUFFALO,5
03/31/2013,ST. MATTHEWS DAY CARE CTR.,2,0,32735,OSSINING,8
03/31/2013,ST. PAULS CHURCH,2,0,4578,WHITESBORO,2
03/31/2013,ST. RAYMOND,7,1,23039,BRONX,8
03/31/2013,ST. REGIS FALLS CENTRAL SCHOOL,18,1,2389,ST. REGIS FALLS,3
03/31/2013,ST. REGIS MOHAWK HEADSTART,6,0,2390,HOGANSBURG,3
03/31/2013,STAMFORD CENTRAL SCHOOL,28,1,2021,STAMFORD,2
03/31/2013,STAN'S HUMMER INC.,3,0,41031,CEDARHURST,10
03/31/2013,STANSKI TRANSPORTATION,62,3,1500,FORT EDWARD,1
03/31/2013,STAR CITY LIMOUSINE INC,8,0,48129,DEER PARK,10
03/31/2013,STAR CRUISER TRANSPORTATION INC,194,4,28307,BROOKLYN,11
03/31/2013,STAR LITE 1 TRANSPORTATION CORP,4,0,47969,WOODSIDE,11
03/31/2013,STAR STRAND TRANSPORTATION INC,180,4,1703,TROY,1
03/31/2013,STAR TAG INC,15,3,23436,ELMONT,11
03/31/2013,STAR TOUCH LUXURY,46,0,26115,FARMINDALE,10
03/31/2013,STAR TRAVEL AND TOURS,11,1,5635,ONTARIO,3
03/31/2013,STARDUST LIMOUSINE INC.,1,1,50535,MAHOPAC,8
03/31/2013,STARLIGHT AMBULETTE INC,33,2,24740,BRONX,11
03/31/2013,STARLIGHT TOURS INC,3,0,48900,HAUPPAUGH,11
03/31/2013,STARRETT AMBULETTE INC,2,0,36232,BROOKLYN,11
03/31/2013,STATEN ISLAND ACADEMY,2,0,5516,STATEN ISLAND,11
03/31/2013,STATEN ISLAND BUS,307,4,3723,STATEN ISLAND,11
03/31/2013,STATEWIDE AMBULETTE SERVICE INC,89,7,6026,MOUNT VERNON,8
03/31/2013,STATUS LIMOUSINE CORP.,15,0,27662,BUFFALO,5
03/31/2013,STEPHANIES' SCHOOL BUS,6,0,36966,JAMAICA,11
03/31/2013,STEPHANIE'S SERVICE INC,4,0,29103,FLUSHING,11
03/31/2013,STERLING AMBULETTE INC,18,2,40717,MT. VERNON,8
03/31/2013,STERLING COACH USA LLC,2,0,48392,BROOKLYN,11
03/31/2013,STEUBEN CO. CHAPTER NYSARC,22,4,2934,BATH,4
03/31/2013,STILLWATER CENTRAL SCHOOL,70,9,1663,STILLWATER,1
03/31/2013,STOCKBRIDGE VALLEY CENTRAL SCH,39,0,2246,MUNNSVILLE,2
03/31/2013,STORM KING SCHOOL,10,0,2857,CORNWALL,8
03/31/2013,STUDENT BUS CO LLC,67,3,43025,SPRING VALLEY,8
03/31/2013,STUDENT BUS CO. INC.,211,31,24195,SPRING VALLEY,8
03/31/2013,STUDENT TRANSPORTATION OF AMERICA,93,1,47439,BUFFALO,5
03/31/2013,SUBURBAN BUS TRANSP.,148,1,5387,BELLMORE,10
03/31/2013,"SUBURBAN PARATRANSIT SERV, IN",182,7,5436,WHITE PLAINS,8
03/31/2013,SUBURBAN TRAILS,29,2,19738,NEW BRUNSWICK,11
03/31/2013,SUBURBAN TRANS. SERVICE,3,1,48739,ALBANY,1
03/31/2013,SUBURBAN TRANS. SERVICE,46,7,2438,EAST SYRACUSE,3
03/31/2013,SUFFOLK  BUS  CORP,302,1,21056,RONKONKOMA,10
03/31/2013,SUFFOLK  TRANSP. SERVICE,804,5,1732,RONKONKOMA,10
03/31/2013,SUFFOLK BUS CORP.,119,0,1730,BAYSHORE,10
03/31/2013,SUFFOLK TRANSPORTATION SER,218,3,1726,CORAM,10
03/31/2013,SUFFOLK TRANSPORTATION SERVICE,1318,0,1731,BAYSHORE,10
03/31/2013,SULLIVAN CO. BOCES,23,3,2171,LIBERTY,2
03/31/2013,SULLIVAN COUNTY HEADSTART,14,0,2172,WOODBOURNE,8
03/31/2013,SULLIVAN PARAMEDICINE INC.,7,0,33648,HURLEYVILLE,8
03/31/2013,SUMMIT EDUCATIONAL RESOURCES,12,2,36822,GETZVILLE,5
03/31/2013,SUNFLOWER BUS INC,5,0,46271,BROOKLYN,11
03/31/2013,SUNLIGHT AMBULETTE INC.,16,11,32980,PORT CHESTER,8
03/31/2013,SUNNY TRAIL INC,12,4,49884,EAST BRUNSWICK,11
03/31/2013,SUNRISE BUSSES INC,160,6,1848,GREENPORT,10
03/31/2013,SUNRISE COACH LINES,55,4,1849,GREENPORT,10
03/31/2013,SUNSET SERVICE TRANSPORTATION INC,68,5,26069,BROOKLYN,11
03/31/2013,SUNSHINE CAMP CORP.,8,0,48156,YAPHANK,10
03/31/2013,SUNSHINE LIMOUSINE LTD,7,1,44775,WOODMERE,11
03/31/2013,"SUNSHINE TRANSPORTATION, INC.",12,2,49382,BROOKLYN,11
03/31/2013,SUNSHINE VILLAGE CHILD CARE CENTER,1,0,49873,ROCHESTER,4
03/31/2013,SUPER BUS INC,2,1,50177,FLUSHING,11
03/31/2013,SUPERIOR AMBULETTE INC.,14,0,20386,BREWSTER,8
03/31/2013,SUPERIOR LIMOUSINE INC.,1,1,40955,CORTLAND,3
03/31/2013,SUPERIOR SCHOOL BUS,3,0,40305,BROOKLYN,11
03/31/2013,SUPERTRANS NY INC,283,22,4061,YONKERS,8
03/31/2013,SUPPORT TRANSPORTATION INC.,21,0,4162,BROOKLYN,11
03/31/2013,SUPREME TOURS,4,0,41296,VALLEY STREAM,11
03/31/2013,SUSQUEHANNA VALLEY CS,82,3,2139,CONKLIN,2
03/31/2013,SWARTHOUT COACHES,25,0,2959,ITHACA,3
03/31/2013,SWEET HOME CENTRAL SCHOOL,172,3,1891,AMHERST,5
03/31/2013,SWIFT RIVER TRANSPORT LTD,11,4,29106,BRONX,11
03/31/2013,"SYRACUSE REGIONAL AIRPORT TAXI, INC",2,0,49813,EAST SYRACUSE,3
03/31/2013,"T & C_TOURS, INC.",2,0,46965,BRENTWOOD,10
03/31/2013,T & Y OCEAN INC/DBA RAT BUS,8,2,49282,BROOKLYN,11
03/31/2013,T & Z PARTY BUS,4,1,43651,BINGHAMTON,2
03/31/2013,T S E LUXURY TRANSPORTATION INC.,9,3,45168,DEER PARK,10
03/31/2013,T.D.M. EXPRESS INC.,5,2,43006,SCHENECTADY,11
03/31/2013,T.F.D. BUS CO INC.,4,0,3836,MOUNT VERNON,8
03/31/2013,T.G.C. TRANSPORTATION,8,1,6648,WHITE PLAINS,8
03/31/2013,T.J. TRANS,2,0,6745,PEARL RIVER,11
03/31/2013,T.L.C LIMISOUNE CROP,2,0,36938,OSSINING,8
03/31/2013,T.L.C. BUS CORP.,1,0,24268,OSSINING,8
03/31/2013,T.N.T. TRANSPORTATION INC,9,0,4432,STATEN ISLAND,11
03/31/2013,T.P. OF NEW YORK INC.,21,1,6432,SOUTH KORTRIGHT,2
