Project Number,Program Name,Project Type,Activity,Contract Amount,Organization,County,Municipality,Current Status,Residential Units - Existing,Residential Units – New,Civic Units - Existing,Civic Units – New,Commercial Units - Existing,Commercial Units – New
20000220,HOME,LPA,CNSTR/RHAB,400000,COMMUNITY PROGRESS INC.,CHEMUNG,MULTI-MUNI,CMPL,38,0,0,0,0,0
20000221,REST,LPA,CNSTR/RHAB,50000,"RPC OF CLINTON COUNTY, INC",CLINTON,MULTI-MUNI,CMPL,30,0,0,0,0,0
20000223,HOME,LPA,ACQUIS,598200,GREATER ROCHESTER PARTNERSHIP HDFC,MONROE,ROCHESTER,CMPL,58,0,0,0,0,0
20000226,REST,LPA,CNSTR/RHAB,50000,"BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.",MULTI-COUNTY,,CMPL,37,0,0,0,0,0
20000227,HOME,LPA,CNSTR/RHAB,400000,COUNTY OF SCHUYLER,SCHUYLER,MULTI-MUNI,CMPL,31,0,0,0,0,0
20000232,REST,LPA,CNSTR/RHAB,50000,CITY OF WHITE PLAINS,WESTCHESTER,WHITE PLAINS,CMPL,11,0,0,0,0,0
20000233,REST,LPA,CNSTR/RHAB,50000,"RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL, INC.",KINGS,NEW YORK CITY,CMPL,10,0,0,0,0,0
20000235,HOME,LPA,ACQUIS,169656,LOCAL INITIATIVES SUPPORT CORPORATION,ERIE,BUFFALO,CMPL,24,0,0,0,0,0
20000237,HOME,LPA,ACQUIS,112840,BETTER HOUSING FOR TOMPKINS COUNTY INC.,TOMPKINS,MULTI-MUNI,CMPL,18,0,0,0,0,0
20000240,HOME,LPA,ACQUIS,369779,COMMUNITY ACTION PROGRAM FOR MADISON COUNTY,MADISON,MULTI-MUNI,CMPL,22,0,0,0,0,0
20000241,HOME,LPA,CNSTR/RHAB,294998,"METRO INTERFAITH HDFC, INC.",BROOME,BINGHAMTON,CMPL,15,0,0,0,0,0
20000242,HOME,LPA,CNSTR/RHAB,400000,"WYOMING COUNTY COMMUNITY ACTION, INC.",WYOMING,MULTI-MUNI,CMPL,21,0,0,0,0,0
20000243,HOME,LPA,CNSTR/RHAB,189632,"COMMUNITY ACTION OF ORLEANS AND GENESEE, INC.",ORLEANS,MULTI-MUNI,CMPL,11,0,0,0,0,0
20000246,HOME,LPA,ACQUIS,400000,ONONDAGA COUNTY HOUSING DEVELOPMENT FUND COMPANY,ONONDAGA,MULTI-MUNI,CMPL,20,0,0,0,0,0
20000250,REST,LPA,CNSTR/RHAB,35000,"REGIONAL ECONOMIC COMMUNITY ACTION PROGRAM, INC.",ORANGE,MULTI-MUNI,CMPL,14,0,0,0,0,0
20000254,HOME,LPA,ACQUIS,400000,RURAL HOUSING OPPORTUNITIES CORPORATION,GENESEE,MULTI-MUNI,CMPL,32,0,0,0,0,0
20000259,REST,LPA,CNSTR/RHAB,50000,"WYOMING COUNTY COMMUNITY ACTION, INC.",WYOMING,MULTI-MUNI,CMPL,18,0,0,0,0,0
20000260,REST,LPA,CNSTR/RHAB,30000,VILLAGE OF SPRING VALLEY,ROCKLAND,MULTI-MUNI,CMPL,8,0,0,0,0,0
20000262,REST,LPA,CNSTR/RHAB,50000,"COMLINKS, INC.",FRANKLIN,MULTI-MUNI,CMPL,25,0,0,0,0,0
20000264,HOME,LPA,CNSTR/RHAB,400000,ANDOVER HISTORIC PRESERVATION CORP.,ALLEGANY,MULTI-MUNI,CMPL,41,0,0,0,0,0
20000265,REST,LPA,CNSTR/RHAB,50000,SCAP D/B/A ARBOR HOUSING & DEVELOPMENT,STEUBEN,MULTI-MUNI,CMPL,25,0,0,0,0,0
20000266,REST,LPA,CNSTR/RHAB,50000,BETTER HOUSING FOR TOMPKINS COUNTY INC.,TOMPKINS,MULTI-MUNI,CMPL,14,0,0,0,0,0
20000267,REST,LPA,CNSTR/RHAB,50000,CUBA COMMUNITY DEVELOPMENT CORPORATION,ALLEGANY,MULTI-MUNI,CMPL,25,0,0,0,0,0
20000270,HOME,LPA,CNSTR/RHAB,204000,CITY OF LOCKPORT,NIAGARA,LOCKPORT,CMPL,22,0,0,0,0,0
20000274,HOME,LPA,CNSTR/RHAB,399928,SENECA COUNTY,SENECA,MULTI-MUNI,CMPL,38,0,0,0,0,0
20000276,HOME,LPA,ACQUIS,377111,"GALVAN HOUSING RESOURCES, INC.           .",COLUMBIA,MULTI-MUNI,CMPL,25,0,0,0,0,0
20000278,REST,LPA,CNSTR/RHAB,50000,"OPPORTUNITIES FOR CHENANGO, INC.",CHENANGO,MULTI-MUNI,CMPL,14,0,0,0,0,0
20000279,HOME,LPA,ACQUIS,150000,"NORTHFIELD COMMUNITY LDC OF STATEN ISLAND, INC.",RICHMOND,NEW YORK CITY,CMPL,6,0,0,0,0,0
20000283,HOME,LPA,CNSTR/RHAB,400000,COUNTY OF LIVINGSTON,LIVINGSTON,MULTI-MUNI,CMPL,37,0,0,0,0,0
20000288,REST,LPA,CNSTR/RHAB,30000,"HOUSING ASSISTANCE PROGRAM OF ESSEX COUNTY, INC.",ESSEX,MULTI-MUNI,CMPL,11,0,0,0,0,0
20000292,HOME,LPA,CNSTR/RHAB,400000,COUNTY OF YATES,YATES,MULTI-MUNI,CMPL,30,0,0,0,0,0
20000293,REST,LPA,CNSTR/RHAB,50000,CATSKILL MOUNTAIN HOUSING DEVELOPMENT CORP. INC.,GREENE,MULTI-MUNI,CMPL,12,0,0,0,0,0
20000295,REST,LPA,CNSTR/RHAB,50000,PRATT AREA COMMUNITY COUNCIL,KINGS,NEW YORK CITY,CMPL,15,0,0,0,0,0
20000297,HOME,LPA,CNSTR/RHAB,400000,CITY OF OSWEGO,OSWEGO,OSWEGO,CMPL,24,0,0,0,0,0
20000298,REST,LPA,CNSTR/RHAB,25000,"P.E.A.C.E., INC.",ONONDAGA,MULTI-MUNI,CMPL,8,0,0,0,0,0
20000299,REST,LPA,CNSTR/RHAB,30000,COMMUNITY AGENCY FOR SENIOR CITIZENS INC.,RICHMOND,NEW YORK CITY,CMPL,19,0,0,0,0,0
20000304,HOME,LPA,CNSTR/RHAB,400000,"OPPORTUNITIES FOR CHENANGO, INC.",CHENANGO,MULTI-MUNI,CMPL,26,0,0,0,0,0
20000305,HOME,LPA,ACQUIS,216000,ASSOCIATION FOR NEIGHBORHOOD REHABILITATION INC.,ST LAWRENCE,MULTI-MUNI,CMPL,16,0,0,0,0,0
20000306,HOME,LPA,CNSTR/RHAB,173000,VILLAGE OF OWEGO,TIOGA,OWEGO,CMPL,17,0,0,0,0,0
20000307,HOME,LPA,ACQUIS,360175,RENSSELAER COUNTY HOUSING RESOURCES,RENSSELAER,MULTI-MUNI,CMPL,21,0,0,0,0,0
20000312,HOME,LPA,ACQUIS,45000,"UNIVERSITY DISTRICT COMMUNITY DEVELOPMENT ASSOCIATION, INC.",ERIE,BUFFALO,CMPL,3,0,0,0,0,0
20000313,HOME,LPA,ACQUIS,334800,HOMEFRONT DEVELOPMENT CORP.,WASHINGTON,MULTI-MUNI,CMPL,27,0,0,0,0,0
20000318,REST,LPA,CNSTR/RHAB,50000,STRAND COMMUNITY ORGANIZATION TO REHABILITATE THE ENVIRONMENT,ULSTER,KINGSTON,CMPL,10,0,0,0,0,0
20000321,HOME,LPA,ACQUIS,0,"HEART OF THE CITY NEIGHBORHOODS, INC.",ERIE,BUFFALO,INA,7,0,0,0,0,0
20000323,HOME,LPA,CNSTR/RHAB,400000,CITY OF GENEVA,ONTARIO,GENEVA,CMPL,29,0,0,0,0,0
20000324,HOME,LPA,ACQUIS,125000,ALBANY COMMUNITY LAND TRUST,ALBANY,ALBANY,CMPL,5,0,0,0,0,0
20000325,HOME,LPA,ACQUIS,400000,"REGIONAL ECONOMIC COMMUNITY ACTION PROGRAM, INC.",MULTI-COUNTY,,CMPL,24,0,0,0,0,0
20000327,HOME,LPA,CNSTR/RHAB,400000,VILLAGE OF FRANKFORT,HERKIMER,FRANKFORT,CMPL,31,0,0,0,0,0
20000328,REST,LPA,CNSTR/RHAB,50000,"ALBANY COUNTY RURAL HOUSING ALLIANCE, INC.",ALBANY,MULTI-MUNI,CMPL,29,0,0,0,0,0
20000330,HOME,TBR,,94000,CHAUTAUQUA HOME REHABILITATION AND IMPROVEMENT CORP.,CHAUTAUQUA,MULTI-MUNI,CMPL,0,0,0,0,0,0
20000331,HOME,LPA,CNSTR/RHAB,400000,MOHAWK INDIAN HOUSING CORP.,MULTI-COUNTY,,CMPL,25,0,0,0,0,0
20000332,REST,LPA,CNSTR/RHAB,50000,CHAUTAUQUA HOME REHABILITATION AND IMPROVEMENT CORP.,CHAUTAUQUA,MULTI-MUNI,CMPL,32,0,0,0,0,0
20000338,HOME,LPA,ACQUIS,368000,"ASIAN AMERICANS FOR EQUALITY, INC.",QUEENS,NEW YORK CITY,CMPL,19,0,0,0,0,0
20000339,HOME,LPA,ACQUIS,200000,CAYUGA COUNTY HOMSITE DEVELOPMENT CORP.,CAYUGA,MULTI-MUNI,CMPL,24,0,0,0,0,0
20000342,REST,LPA,CNSTR/RHAB,50000,"FIRST WARD ACTION COUNCIL, INC.",BROOME,MULTI-MUNI,CMPL,17,0,0,0,0,0
20000343,HOME,LPA,ACQUIS,400000,"COMMUNITY HOUSING INNOVATIONS, INC.",SUFFOLK,BROOKHAVEN,CMPL,16,0,0,0,0,0
20000346,HOME,LPA,ACQUIS,400000,"COMMUNITY HOUSING INNOVATIONS, INC.",WESTCHESTER,MULTI-MUNI,CMPL,18,0,0,0,0,0
20000349,HOME,LPA,ACQUIS,300248,VILLAGE OF CATSKILL,GREENE,CATSKILL,CMPL,16,0,0,0,0,0
20000350,HOME,LPA,CNSTR/RHAB,254000,CHAUTAUQUA HOME REHABILITATION AND IMPROVEMENT CORP.,CHAUTAUQUA,MULTI-MUNI,CMPL,30,0,0,0,0,0
20000353,HOME,LPA,CNSTR/RHAB,400000,CORTLAND HOUSING ASSISTANCE COUNCIL INC.,CORTLAND,MULTI-MUNI,CMPL,16,0,0,0,0,0
20000354,HOME,LPA,CNSTR/RHAB,400000,"SHELTERS OF SARATOGA, INC.",SARATOGA,SARATOGA SPRINGS,CMPL,26,0,0,0,0,0
20000360,REST,LPA,CNSTR/RHAB,50000,CAYUGA COUNTY HOMSITE DEVELOPMENT CORP.,CAYUGA,MULTI-MUNI,CMPL,28,0,0,0,0,0
20000361,HOME,LPA,ACQUIS,391047,COUNTY OF CATTARAUGUS,CATTARAUGUS,MULTI-MUNI,CMPL,38,0,0,0,0,0
20000364,HOME,LPA,CNSTR/RHAB,273175,"SHANDAKEN REVITALIZATION PLAN COMMITTEE, INC.",ULSTER,MULTI-MUNI,CMPL,19,0,0,0,0,0
20000365,HOME,LPA,ACQUIS,250000,"HABITAT FOR HUMANITY - NEW YORK CITY, INC.",NEW YORK,NEW YORK CITY,CMPL,10,0,0,0,0,0
20000366,HOME,LPA,ACQUIS,400000,"ESSEX COMMUNITY HERITAGE ORGANIZATION, INC.",ESSEX,MULTI-MUNI,CMPL,28,0,0,0,0,0
20000367,REST,LPA,CNSTR/RHAB,50000,MARGERT COMMUNITY CORP.,QUEENS,NEW YORK CITY,CMPL,16,0,0,0,0,0
20000369,HOME,LPA,CNSTR/RHAB,397197,DELAWARE OPPORTUNITIES INC.,DELAWARE,MULTI-MUNI,CMPL,26,0,0,0,0,0
20000370,REST,LPA,CNSTR/RHAB,50000,PUTNAM COUNTY HOUSING CORP.,PUTNAM,MULTI-MUNI,CMPL,13,0,0,0,0,0
20000374,REST,LPA,CNSTR/RHAB,50000,"COMMUNITY ACTION PLANNING COUNCIL OF JEFFERSON COUNTY, INC.",JEFFERSON,MULTI-MUNI,CMPL,24,0,0,0,0,0
20000376,HOME,LPA,ACQUIS,228000,COVENANT HOUSING CORP. OF CENTRAL NEW YORK,ONONDAGA,MULTI-MUNI,CMPL,10,0,0,0,0,0
20000383,HOME,LPA,CNSTR/RHAB,400000,COUNTY OF WAYNE,WAYNE,MULTI-MUNI,CMPL,43,0,0,0,0,0
20000387,REST,LPA,CNSTR/RHAB,100000,"COMMUNITY DEVELOPMENT CORPORATION OF LONG ISLAND, INC.",MULTI-COUNTY,,CMPL,20,0,0,0,0,0
20000388,HOME,LPA,ACQUIS,368804,CYPRESS HILLS LOCAL DEVELOPMENT CORPORATION,KINGS,NEW YORK CITY,CMPL,17,0,0,0,0,0
20010014,HOME,LPA,ACQUIS,392040,"TRI COUNTY HOUSING COUNCIL, INC.",MULTI-COUNTY,,CMPL,32,0,0,0,0,0
20010016,REST,LPA,CNSTR/RHAB,50000,PUTNAM COUNTY HOUSING CORP.,PUTNAM,MULTI-MUNI,CMPL,12,0,0,0,0,0
20010017,HOME,LPA,ACQUIS,130680,"TRI COUNTY HOUSING COUNCIL, INC.",SCHUYLER,MULTI-MUNI,CMPL,11,0,0,0,0,0
20010019,REST,LPA,CNSTR/RHAB,50000,CORTLAND HOUSING ASSISTANCE COUNCIL INC.,CORTLAND,MULTI-MUNI,CMPL,17,0,0,0,0,0
20010020,REST,LPA,CNSTR/RHAB,50000,COMMUNITY PROGRESS INC.,CHEMUNG,MULTI-MUNI,CMPL,15,0,0,0,0,0
20010021,REST,LPA,CNSTR/RHAB,30000,"ALLEGANY COUNTY COMMUNITY OPPORTUNITY AND RURAL DEVELOPMENT, INC.",ALLEGANY,MULTI-MUNI,CMPL,9,0,0,0,0,0
20010023,REST,LPA,CNSTR/RHAB,50000,"COMLINKS, INC.",FRANKLIN,MULTI-MUNI,CMPL,24,0,0,0,0,0
20010024,REST,LPA,CNSTR/RHAB,50000,"STONELEIGH HOUSING, INC.",MADISON,MULTI-MUNI,CMPL,17,0,0,0,0,0
20010026,REST,LPA,CNSTR/RHAB,50000,SCAP D/B/A ARBOR HOUSING & DEVELOPMENT,STEUBEN,MULTI-MUNI,CMPL,20,0,0,0,0,0
20010027,REST,LPA,CNSTR/RHAB,50000,"ST LAWRENCE COUNTY COMMUNITY DEVELOPMENT PROGRAM, INC.",ST LAWRENCE,MULTI-MUNI,CMPL,18,0,0,0,0,0
20010028,REST,LPA,CNSTR/RHAB,50000,PRATT AREA COMMUNITY COUNCIL,KINGS,NEW YORK CITY,CMPL,19,0,0,0,0,0
20010029,REST,LPA,CNSTR/RHAB,50000,CAYUGA COUNTY HOMSITE DEVELOPMENT CORP.,CAYUGA,MULTI-MUNI,CMPL,31,0,0,0,0,0
20010030,HOME,LPA,CNSTR/RHAB,400000,"OTSEGO RURAL HOUSING ASSISTANCE, INC.",OTSEGO,MULTI-MUNI,CMPL,45,0,0,0,0,0
20010031,REST,LPA,CNSTR/RHAB,50000,COMMUNITY PROGRESS INC.,MULTI-COUNTY,,CMPL,12,0,0,0,0,0
20010032,HOME,LPA,ACQUIS,368000,"COMMUNITY HOUSING INNOVATIONS, INC.",SUFFOLK,BROOKHAVEN,CMPL,15,0,0,0,0,0
20010036,REST,LPA,CNSTR/RHAB,50000,RURAL SULLIVAN HOUSING CORPORATION,SULLIVAN,MULTI-MUNI,CMPL,14,0,0,0,0,0
20010039,REST,LPA,CNSTR/RHAB,50000,"OTSEGO RURAL HOUSING ASSISTANCE, INC.",OTSEGO,MULTI-MUNI,CMPL,23,0,0,0,0,0
20010040,HOME,LPA,ACQUIS,400000,"WESTERN CATSKILLS COMMUNITY REVITALIZATION COUNCIL, INC.",MULTI-COUNTY,,CMPL,24,0,0,0,0,0
20010041,HOME,LPA,CNSTR/RHAB,400000,"WESTERN CATSKILLS COMMUNITY REVITALIZATION COUNCIL, INC.",MULTI-COUNTY,,CMPL,52,0,0,0,0,0
20010042,HOME,LPA,ACQUIS,344311,RURAL SULLIVAN HOUSING CORPORATION,SULLIVAN,MULTI-MUNI,CMPL,17,0,0,0,0,0
20010043,HOME,LPA,CNSTR/RHAB,400000,"STONELEIGH HOUSING, INC.",MADISON,MULTI-MUNI,CMPL,15,0,0,0,0,0
20010045,HOME,LPA,CNSTR/RHAB,313619,CITY OF FULTON COMMUNITY DEVELOPMENT AGENCY,OSWEGO,FULTON,CMPL,27,0,0,0,0,0
20010046,HOME,LPA,ACQUIS,368000,"ROCKLAND HOUSING ACTION COALITION, INC.",ROCKLAND,CLARKSTOWN,CMPL,21,0,0,0,0,0
20010047,HOME,LPA,CNSTR/RHAB,400000,CAYUGA COUNTY HOMSITE DEVELOPMENT CORP.,CAYUGA,MULTI-MUNI,CMPL,33,0,0,0,0,0
20010048,HOME,LPA,ACQUIS,399993,"SETTLEMENT HOUSING FUND, INC.",KINGS,NEW YORK CITY,CMPL,23,0,0,0,0,0
20010052,HOME,LPA,CNSTR/RHAB,355885,AMSTERDAM URBAN RENEWAL AGENCY,MONTGOMERY,AMSTERDAM,CMPL,26,0,0,0,0,0
20010053,REST,LPA,CNSTR/RHAB,30000,VILLAGE OF SPRING VALLEY,ROCKLAND,MULTI-MUNI,CMPL,7,0,0,0,0,0
20010056,HOME,LPA,ACQUIS,218914,COMMUNITY ACTION PROGRAM FOR MADISON COUNTY,MADISON,MULTI-MUNI,CMPL,6,0,0,0,0,0
20010058,HOME,LPA,ACQUIS,400000,"RUPCO, INC.",ULSTER,MULTI-MUNI,CMPL,51,0,0,0,0,0
20010059,HOME,LPA,ACQUIS,400000,RURAL HOUSING OPPORTUNITIES CORPORATION,GENESEE,MULTI-MUNI,CMPL,30,0,0,0,0,0
20010061,HOME,LPA,ACQUIS,120000,"FIRST WARD ACTION COUNCIL, INC.",BROOME,MULTI-MUNI,CMPL,4,0,0,0,0,0
20010062,HOME,LPA,ACQUIS,164016,COMMUNITY UNIFIED TODAY INC.,ONTARIO,GENEVA,CMPL,10,0,0,0,0,0
20010064,HOME,LPA,CNSTR/RHAB,209500,CENTER CITY NEIGHBORHOOD DEVELOPMENT CORPORATION,NIAGARA,NIAGARA FALLS,CMPL,20,0,0,0,0,0
20010066,REST,LPA,CNSTR/RHAB,50000,BETTER HOUSING FOR TOMPKINS COUNTY INC.,TOMPKINS,MULTI-MUNI,CMPL,16,0,0,0,0,0
20010068,HOME,LPA,ACQUIS,174000,"ASIAN AMERICANS FOR EQUALITY, INC.",NYC,NEW YORK CITY,CMPL,8,0,0,0,0,0
20010069,HOME,LPA,ACQUIS,260870,"FIRST WARD ACTION COUNCIL, INC.",BROOME,MULTI-MUNI,CMPL,23,0,0,0,0,0
20010074,HOME,LPA,ACQUIS,368000,"HOME HEADQUARTERS, INC.",ONONDAGA,SYRACUSE,CMPL,20,0,0,0,0,0
20010077,HOME,LPA,ACQUIS,358228,"NEHDA, INC.",ONONDAGA,SYRACUSE,CMPL,11,0,0,0,0,0
20010078,HOME,LPA,CNSTR/RHAB,650000,"TIOGA OPPORTUNITIES, INC.",TIOGA,MULTI-MUNI,CMPL,27,0,0,0,0,0
20010080,HOME,LPA,ACQUIS,130435,"KEUKA HOUSING COUNCIL, INC.",YATES,MULTI-MUNI,CMPL,10,0,0,0,0,0
20010081,REST,LPA,CNSTR/RHAB,50000,COUNTY OF OSWEGO,OSWEGO,MULTI-MUNI,CMPL,14,0,0,0,0,0
20010082,HOME,LPA,CNSTR/RHAB,217453,HUMAN DEVELOPMENT SERVICES OF WESTCHESTER,WESTCHESTER,PORT CHESTER,CMPL,9,0,0,0,0,0
20010083,HOME,LPA,ACQUIS,142550,"COMMUNITY ACTION IN SELF-HELP, INC.",WAYNE,MULTI-MUNI,CMPL,10,0,0,0,0,0
20010084,HOME,TBR,,201041,"FRANKLIN COUNTY COMMUNITY HOUSING COUNCIL, INC.",FRANKLIN,MULTI-MUNI,CMPL,0,0,0,0,0,0
20010086,REST,LPA,CNSTR/RHAB,50000,"RPC OF CLINTON COUNTY, INC",CLINTON,MULTI-MUNI,CMPL,33,0,0,0,0,0
20010087,REST,LPA,CNSTR/RHAB,50000,"KEUKA HOUSING COUNCIL, INC.",YATES,MULTI-MUNI,CMPL,11,0,0,0,0,0
20010088,HOME,LPA,ACQUIS,400000,"HABITAT FOR HUMANITY - NEW YORK CITY, INC.",BRONX,NEW YORK CITY,CMPL,17,0,0,0,0,0
20010089,HOME,LPA,ACQUIS,400000,"ITHACA NEIGHBORHOOD HOUSING SERVICES, INC.",TOMPKINS,ITHACA,CMPL,29,0,0,0,0,0
20010091,HOME,LPA,CNSTR/RHAB,200000,FRONTIER HOUSING CORPORATION,JEFFERSON,BROWNVILLE,CMPL,22,0,0,0,0,0
20010092,REST,LPA,CNSTR/RHAB,50000,"SHELTERS OF SARATOGA, INC.",SARATOGA,SARATOGA SPRINGS,CMPL,16,0,0,0,0,0
20010095,HOME,LPA,ACQUIS,400000,CITY OF GLENS FALLS,WARREN,GLENS FALLS,CMPL,27,0,0,0,0,0
20010097,REST,LPA,CNSTR/RHAB,50000,NEIGHBORHOOD HOUSING SERVICES OF NORTHERN QUEENS,QUEENS,NEW YORK CITY,CMPL,12,0,0,0,0,0
20010098,REST,LPA,CNSTR/RHAB,50000,"SNOW BELT HOUSING COMPANY, INC.",LEWIS,MULTI-MUNI,CMPL,12,0,0,0,0,0
20010099,REST,LPA,CNSTR/RHAB,50000,ONTARIO COUNTY OFFICE FOR THE AGING,ONTARIO,MULTI-MUNI,CMPL,26,0,0,0,0,0
20010102,REST,LPA,CNSTR/RHAB,50000,SENECA COUNTY,SENECA,MULTI-MUNI,CMPL,14,0,0,0,0,0
20010103,HOME,LPA,ACQUIS,247750,VILLAGE OF HERKIMER,HERKIMER,HERKIMER,CMPL,11,0,0,0,0,0
20010108,HOME,LPA,CNSTR/RHAB,400000,"FRIENDS OF THE NORTH COUNTRY, INC.",MULTI-COUNTY,,CMPL,23,0,0,0,0,0
20010109,HOME,LPA,CNSTR/RHAB,400000,ASSOCIATION FOR NEIGHBORHOOD REHABILITATION INC.,ST LAWRENCE,MULTI-MUNI,CMPL,31,0,0,0,0,0
20010110,REST,LPA,CNSTR/RHAB,50000,CATSKILL MOUNTAIN HOUSING DEVELOPMENT CORP. INC.,GREENE,MULTI-MUNI,CMPL,15,0,0,0,0,0
20010112,HOME,LPA,CNSTR/RHAB,400000,CATSKILL MOUNTAIN HOUSING DEVELOPMENT CORP. INC.,GREENE,MULTI-MUNI,CMPL,32,0,0,0,0,0
20010113,HOME,LPA,ACQUIS,400000,NEIGHBORHOOD HOUSING SERVICES OF NORTHERN QUEENS,QUEENS,NEW YORK CITY,CMPL,18,0,0,0,0,0
20010115,REST,LPA,CNSTR/RHAB,50000,"BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.",MULTI-COUNTY,,CMPL,32,0,0,0,0,0
20010117,REST,LPA,CNSTR/RHAB,90000,"COMMUNITY DEVELOPMENT CORPORATION OF LONG ISLAND, INC.",MULTI-COUNTY,,CMPL,19,0,0,0,0,0
20010118,HOME,LPA,ACQUIS,400000,ONONDAGA COUNTY HOUSING DEVELOPMENT FUND COMPANY,ONONDAGA,MULTI-MUNI,CMPL,20,0,0,0,0,0
20010122,HOME,LPA,ACQUIS,200000,CUBA COMMUNITY DEVELOPMENT CORPORATION,ALLEGANY,MULTI-MUNI,CMPL,20,0,0,0,0,0
20010123,HOME,LPA,CNSTR/RHAB,400000,CLAYTON IMPROVEMENT ASSOCIATION LTD.,JEFFERSON,MULTI-MUNI,CMPL,19,0,0,0,0,0
20010126,REST,LPA,CNSTR/RHAB,50000,"NORTHFIELD COMMUNITY LDC OF STATEN ISLAND, INC.",RICHMOND,NEW YORK CITY,CMPL,24,0,0,0,0,0
20010127,REST,LPA,CNSTR/RHAB,50000,"M-ARK PROJECT, INC.",DELAWARE,MULTI-MUNI,CMPL,13,0,0,0,0,0
20010128,HOME,LPA,ACQUIS,91140,FULTON COUNTY COMMUNITY HERITAGE CORP.,FULTON,GLOVERSVILLE,CMPL,5,0,0,0,0,0
20010130,REST,LPA,CNSTR/RHAB,50000,FULTON COUNTY COMMUNITY HERITAGE CORP.,FULTON,MULTI-MUNI,CMPL,15,0,0,0,0,0
20010131,HOME,LPA,CNSTR/RHAB,38165,BROADWAY-FILLMORE NEIGHBORHOOD HOUSING SERVICES INC.,ERIE,BUFFALO,CMPL,3,0,0,0,0,0
20010132,HOME,LPA,ACQUIS,368000,"NEIGHBORHOOD HOUSING SERVICES OF NORTH BRONX, INC.",BRONX,NEW YORK CITY,CMPL,20,0,0,0,0,0
20010134,HOME,LPA,ACQUIS,0,BROADWAY-FILLMORE NEIGHBORHOOD HOUSING SERVICES INC.,ERIE,BUFFALO,INA,6,0,0,0,0,0
20010135,HOME,LPA,ACQUIS,239500,"GREATER ROCHESTER HOUSING PARTNERSHIP, INC.",MONROE,ROCHESTER,CMPL,27,0,0,0,0,0
20010137,HOME,LPA,CNSTR/RHAB,400000,VILLAGE OF GOUVERNEUR,ST LAWRENCE,GOUVERNEUR,CMPL,24,0,0,0,0,0
20010138,REST,LPA,CNSTR/RHAB,50000,SOUTHERN HILLS PRESERVATION CORP.,ONONDAGA,MULTI-MUNI,CMPL,14,0,0,0,0,0
20010139,HOME,LPA,CNSTR/RHAB,400000,"PRIDE OF TICONDEROGA, INC.",WASHINGTON,MULTI-MUNI,CMPL,26,0,0,0,0,0
20010140,REST,LPA,CNSTR/RHAB,50000,"FIRST WARD ACTION COUNCIL, INC.",BROOME,MULTI-MUNI,CMPL,15,0,0,0,0,0
20010144,HOME,LPA,CNSTR/RHAB,400000,VILLAGE OF HOOSICK FALLS,RENSSELAER,HOOSICK FALLS,CMPL,20,0,0,0,0,0
20010148,HOME,LPA,ACQUIS,368000,"COMMUNITY HOUSING INNOVATIONS, INC.",WESTCHESTER,MULTI-MUNI,CMPL,19,0,0,0,0,0
20010149,REST,LPA,CNSTR/RHAB,50000,COUNTY OF LIVINGSTON,LIVINGSTON,MULTI-MUNI,CMPL,12,0,0,0,0,0
20010150,HOME,LPA,ACQUIS,400000,COUNTY OF ONTARIO,ONTARIO,MULTI-MUNI,CMPL,28,0,0,0,0,0
20010151,HOME,LPA,ACQUIS,0,THE COMMUNITY PRESERVATION CORPORATION,MULTI-COUNTY,,INA,210,0,0,0,0,0
20010153,HOME,LPA,CNSTR/RHAB,399500,CITY OF GENEVA,ONTARIO,GENEVA,CMPL,46,0,0,0,0,0
20010156,HOME,LPA,ACQUIS,134000,RURAL HOUSING OPPORTUNITIES CORPORATION,ORLEANS,MULTI-MUNI,CMPL,9,2,0,0,0,0
20010157,HOME,LPA,CNSTR/RHAB,400000,COUNTY OF WARREN,WARREN,MULTI-MUNI,CMPL,34,0,0,0,0,0
20010158,REST,LPA,CNSTR/RHAB,50000,COUNTY OF WARREN,WARREN,MULTI-MUNI,CMPL,13,0,0,0,0,0
20010161,HOME,LPA,ACQUIS,199500,CITY OF CORTLAND,CORTLAND,CORTLAND,CMPL,8,0,0,0,0,0
20010162,REST,LPA,CNSTR/RHAB,50000,"RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL, INC.",KINGS,NEW YORK CITY,CMPL,11,0,0,0,0,0
20010167,REST,LPA,CNSTR/RHAB,50000,RENSSELAER COUNTY HOUSING RESOURCES,RENSSELAER,MULTI-MUNI,CMPL,18,0,0,0,0,0
20010169,REST,LPA,CNSTR/RHAB,50000,"COMMUNITY ACTION PLANNING COUNCIL OF JEFFERSON COUNTY, INC.",JEFFERSON,MULTI-MUNI,CMPL,21,0,0,0,0,0
20010172,REST,LPA,CNSTR/RHAB,50000,MARGERT COMMUNITY CORP.,QUEENS,NEW YORK CITY,CMPL,14,0,0,0,0,0
20010173,REST,LPA,CNSTR/RHAB,50000,"WILSON MAJOR MORRIS COMMUNITY CENTER, INC.",NYC,NEW YORK CITY,CMPL,11,0,0,0,0,0
20010175,REST,LPA,CNSTR/RHAB,50000,"NIAGARA COMMUNITY ACTION PROGRAM, INC.",NIAGARA,MULTI-MUNI,CMPL,15,0,0,0,0,0
