Year,Term,College or Institution Type,College or Institution Name,Undergraduate Full-Time,Undergraduate Part-Time,Graduate Full-Time,Graduate Part-Time
2011,Fall,Community Colleges,North Country,1124.0,1330.0,,
2019,Fall,Comprehensive Colleges,Old Westbury,4131.0,678.0,146.0,171.0
2018,Fall,Comprehensive Colleges,Old Westbury,4143.0,641.0,168.0,135.0
2017,Fall,Comprehensive Colleges,Old Westbury,4056.0,579.0,164.0,111.0
2016,Fall,Comprehensive Colleges,Old Westbury,3633.0,611.0,126.0,93.0
2015,Fall,Comprehensive Colleges,Old Westbury,3522.0,603.0,134.0,94.0
2014,Fall,Comprehensive Colleges,Old Westbury,3670.0,645.0,118.0,71.0
2013,Fall,Comprehensive Colleges,Old Westbury,3558.0,603.0,99.0,107.0
2012,Fall,Comprehensive Colleges,Old Westbury,3610.0,607.0,106.0,99.0
2011,Fall,Comprehensive Colleges,Old Westbury,3561.0,669.0,131.0,98.0
2019,Fall,Comprehensive Colleges,Oneonta,5942.0,122.0,124.0,340.0
2018,Fall,Comprehensive Colleges,Oneonta,5942.0,104.0,127.0,370.0
2017,Fall,Comprehensive Colleges,Oneonta,5828.0,112.0,140.0,278.0
2016,Fall,Comprehensive Colleges,Oneonta,5608.0,122.0,122.0,204.0
2015,Fall,Comprehensive Colleges,Oneonta,5754.0,96.0,122.0,147.0
2014,Fall,Comprehensive Colleges,Oneonta,5727.0,109.0,121.0,144.0
2013,Fall,Comprehensive Colleges,Oneonta,5675.0,125.0,133.0,101.0
2012,Fall,Comprehensive Colleges,Oneonta,5709.0,128.0,116.0,88.0
2011,Fall,Comprehensive Colleges,Oneonta,5738.0,114.0,92.0,79.0
2019,Fall,Community Colleges,Onondaga,4236.0,5213.0,,
2018,Fall,Community Colleges,Onondaga,4725.0,5109.0,,
2017,Fall,Community Colleges,Onondaga,5118.0,5541.0,,
2016,Fall,Community Colleges,Onondaga,5736.0,6904.0,,
2015,Fall,Community Colleges,Onondaga,5895.0,5991.0,,
2014,Fall,Community Colleges,Onondaga,6344.0,5927.0,,
2013,Fall,Community Colleges,Onondaga,6540.0,6294.0,,
2012,Fall,Community Colleges,Onondaga,6719.0,6299.0,,
2011,Fall,Community Colleges,Onondaga,6818.0,5928.0,,
2019,Fall,Doctoral Degree Granting Institutions,Optometry,,,409.0,
2018,Fall,Doctoral Degree Granting Institutions,Optometry,,,408.0,
2017,Fall,Doctoral Degree Granting Institutions,Optometry,,,412.0,1.0
2016,Fall,Doctoral Degree Granting Institutions,Optometry,,,400.0,2.0
2015,Fall,Doctoral Degree Granting Institutions,Optometry,,,383.0,
2014,Fall,Doctoral Degree Granting Institutions,Optometry,,,363.0,
2013,Fall,Doctoral Degree Granting Institutions,Optometry,,,340.0,3.0
2012,Fall,Doctoral Degree Granting Institutions,Optometry,,,334.0,2.0
2011,Fall,Doctoral Degree Granting Institutions,Optometry,,,315.0,2.0
2019,Fall,Community Colleges,Orange County,2680.0,3692.0,,
2018,Fall,Community Colleges,Orange County,2964.0,3653.0,,
2017,Fall,Community Colleges,Orange County,3011.0,3590.0,,
2016,Fall,Community Colleges,Orange County,3156.0,3769.0,,
2015,Fall,Community Colleges,Orange County,3226.0,3756.0,,
2014,Fall,Community Colleges,Orange County,3323.0,3628.0,,
2013,Fall,Community Colleges,Orange County,3338.0,3691.0,,
2012,Fall,Community Colleges,Orange County,3462.0,3795.0,,
2011,Fall,Community Colleges,Orange County,3638.0,3666.0,,
2019,Fall,Comprehensive Colleges,Oswego,6561.0,359.0,319.0,591.0
2018,Fall,Comprehensive Colleges,Oswego,6767.0,314.0,337.0,568.0
2017,Fall,Comprehensive Colleges,Oswego,6836.0,289.0,362.0,539.0
2016,Fall,Comprehensive Colleges,Oswego,6868.0,282.0,317.0,537.0
2015,Fall,Comprehensive Colleges,Oswego,6778.0,326.0,308.0,525.0
2014,Fall,Comprehensive Colleges,Oswego,6880.0,313.0,332.0,509.0
2013,Fall,Comprehensive Colleges,Oswego,6954.0,374.0,352.0,437.0
2012,Fall,Comprehensive Colleges,Oswego,6815.0,336.0,331.0,439.0
2011,Fall,Comprehensive Colleges,Oswego,6992.0,387.0,372.0,465.0
2019,Fall,Comprehensive Colleges,Plattsburgh,4420.0,451.0,247.0,140.0
2018,Fall,Comprehensive Colleges,Plattsburgh,4853.0,444.0,270.0,137.0
2017,Fall,Comprehensive Colleges,Plattsburgh,4894.0,457.0,227.0,141.0
2016,Fall,Comprehensive Colleges,Plattsburgh,4822.0,393.0,191.0,114.0
2015,Fall,Comprehensive Colleges,Plattsburgh,4960.0,417.0,207.0,134.0
2014,Fall,Comprehensive Colleges,Plattsburgh,5143.0,422.0,248.0,155.0
2013,Fall,Comprehensive Colleges,Plattsburgh,5186.0,453.0,272.0,140.0
2012,Fall,Comprehensive Colleges,Plattsburgh,5318.0,388.0,296.0,165.0
2011,Fall,Comprehensive Colleges,Plattsburgh,5438.0,384.0,313.0,215.0
2019,Fall,Comprehensive Colleges,Potsdam,2977.0,86.0,196.0,80.0
2018,Fall,Comprehensive Colleges,Potsdam,3221.0,77.0,169.0,54.0
2017,Fall,Comprehensive Colleges,Potsdam,3196.0,125.0,186.0,80.0
2016,Fall,Comprehensive Colleges,Potsdam,3321.0,95.0,190.0,90.0
2015,Fall,Comprehensive Colleges,Potsdam,3504.0,110.0,190.0,100.0
2014,Fall,Comprehensive Colleges,Potsdam,3573.0,108.0,194.0,104.0
2013,Fall,Comprehensive Colleges,Potsdam,3596.0,111.0,221.0,114.0
2012,Fall,Comprehensive Colleges,Potsdam,3762.0,106.0,230.0,126.0
2011,Fall,Comprehensive Colleges,Potsdam,3827.0,125.0,298.0,145.0
2019,Fall,Comprehensive Colleges,Purchase,3708.0,342.0,97.0,9.0
2018,Fall,Comprehensive Colleges,Purchase,3767.0,367.0,91.0,9.0
2017,Fall,Comprehensive Colleges,Purchase,3712.0,351.0,97.0,7.0
2016,Fall,Comprehensive Colleges,Purchase,3673.0,380.0,97.0,6.0
2015,Fall,Comprehensive Colleges,Purchase,3678.0,399.0,87.0,5.0
2014,Fall,Comprehensive Colleges,Purchase,3746.0,378.0,87.0,14.0
2013,Fall,Comprehensive Colleges,Purchase,3847.0,392.0,102.0,12.0
2012,Fall,Comprehensive Colleges,Purchase,3721.0,407.0,101.0,11.0
2011,Fall,Comprehensive Colleges,Purchase,3733.0,471.0,109.0,11.0
2019,Fall,Community Colleges,Rockland,3325.0,3207.0,,
2018,Fall,Community Colleges,Rockland,3542.0,3317.0,,
2017,Fall,Community Colleges,Rockland,3674.0,3276.0,,
2016,Fall,Community Colleges,Rockland,3825.0,3352.0,,
2015,Fall,Community Colleges,Rockland,4018.0,3162.0,,
2014,Fall,Community Colleges,Rockland,4200.0,3321.0,,
2013,Fall,Community Colleges,Rockland,4483.0,3163.0,,
2012,Fall,Community Colleges,Rockland,4709.0,3465.0,,
2011,Fall,Community Colleges,Rockland,4754.0,3292.0,,
2019,Fall,Community Colleges,Schenectady County,1555.0,3177.0,,
2018,Fall,Community Colleges,Schenectady County,1729.0,3502.0,,
2017,Fall,Community Colleges,Schenectady County,2144.0,4444.0,,
2016,Fall,Community Colleges,Schenectady County,2002.0,2743.0,,
2015,Fall,Community Colleges,Schenectady County,2234.0,3892.0,,
2014,Fall,Community Colleges,Schenectady County,2562.0,3935.0,,
2013,Fall,Community Colleges,Schenectady County,2747.0,3827.0,,
2012,Fall,Community Colleges,Schenectady County,2730.0,3941.0,,
2011,Fall,Community Colleges,Schenectady County,2668.0,4091.0,,
2019,Fall,Doctoral Degree Granting Institutions,Stony Brook,16622.0,1210.0,5520.0,3391.0
2018,Fall,Doctoral Degree Granting Institutions,Stony Brook,16293.0,1181.0,5416.0,3346.0
2017,Fall,Doctoral Degree Granting Institutions,Stony Brook,16142.0,1151.0,5621.0,3042.0
2016,Fall,Doctoral Degree Granting Institutions,Stony Brook,15769.0,1167.0,5442.0,3305.0
2015,Fall,Doctoral Degree Granting Institutions,Stony Brook,15575.0,1108.0,5372.0,3105.0
2014,Fall,Doctoral Degree Granting Institutions,Stony Brook,15189.0,1095.0,5284.0,2883.0
2013,Fall,Doctoral Degree Granting Institutions,Stony Brook,14754.0,1099.0,5152.0,2995.0
2012,Fall,Doctoral Degree Granting Institutions,Stony Brook,14445.0,1271.0,5237.0,2872.0
2011,Fall,Doctoral Degree Granting Institutions,Stony Brook,14485.0,1300.0,5137.0,2998.0
2019,Fall,Community Colleges,Suffolk County,12399.0,12831.0,,
2018,Fall,Community Colleges,Suffolk County,13187.0,12891.0,,
2017,Fall,Community Colleges,Suffolk County,13867.0,12889.0,,
2016,Fall,Community Colleges,Suffolk County,14084.0,12982.0,,
2015,Fall,Community Colleges,Suffolk County,14722.0,12107.0,,
2014,Fall,Community Colleges,Suffolk County,14318.0,12282.0,,
2013,Fall,Community Colleges,Suffolk County,14831.0,11880.0,,
2012,Fall,Community Colleges,Suffolk County,14843.0,11376.0,,
2011,Fall,Community Colleges,Suffolk County,15064.0,11725.0,,
2019,Fall,Community Colleges,Sullivan County,779.0,849.0,,
2018,Fall,Community Colleges,Sullivan County,784.0,750.0,,
2017,Fall,Community Colleges,Sullivan County,844.0,721.0,,
2016,Fall,Community Colleges,Sullivan County,820.0,790.0,,
2015,Fall,Community Colleges,Sullivan County,809.0,783.0,,
2014,Fall,Community Colleges,Sullivan County,930.0,713.0,,
2013,Fall,Community Colleges,Sullivan County,1020.0,535.0,,
2012,Fall,Community Colleges,Sullivan County,1040.0,575.0,,
2011,Fall,Community Colleges,Sullivan County,1134.0,570.0,,
2019,Fall,Doctoral Degree Granting Institutions,SUNY Poly,1903.0,313.0,262.0,528.0
2018,Fall,Doctoral Degree Granting Institutions,SUNY Poly,1920.0,336.0,225.0,542.0
2017,Fall,Doctoral Degree Granting Institutions,SUNY Poly,1859.0,320.0,248.0,485.0
2016,Fall,Doctoral Degree Granting Institutions,SUNY Poly,1697.0,306.0,196.0,497.0
2015,Fall,Doctoral Degree Granting Institutions,SUNY Poly,1741.0,324.0,165.0,549.0
2014,Fall,Doctoral Degree Granting Institutions,SUNY Poly,1646.0,389.0,194.0,509.0
2013,Fall,Doctoral Degree Granting Institutions,SUNY Poly,1425.0,379.0,195.0,481.0
2012,Fall,Doctoral Degree Granting Institutions,SUNY Poly,1272.0,421.0,171.0,513.0
2011,Fall,Doctoral Degree Granting Institutions,SUNY Poly,1353.0,511.0,151.0,493.0
2019,Fall,Community Colleges,Tompkins Cortland,1460.0,743.0,,
2018,Fall,Community Colleges,Tompkins Cortland,1627.0,746.0,,
2017,Fall,Community Colleges,Tompkins Cortland,1830.0,802.0,,
2016,Fall,Community Colleges,Tompkins Cortland,1981.0,862.0,,
2015,Fall,Community Colleges,Tompkins Cortland,2179.0,904.0,,
2014,Fall,Community Colleges,Tompkins Cortland,2328.0,3231.0,,
2013,Fall,Community Colleges,Tompkins Cortland,2587.0,2903.0,,
2012,Fall,Community Colleges,Tompkins Cortland,2686.0,2764.0,,
2011,Fall,Community Colleges,Tompkins Cortland,2930.0,2732.0,,
2019,Fall,Community Colleges,Ulster County,1424.0,2126.0,,
2018,Fall,Community Colleges,Ulster County,1420.0,2134.0,,
2017,Fall,Community Colleges,Ulster County,1454.0,2106.0,,
2016,Fall,Community Colleges,Ulster County,1380.0,2036.0,,
2015,Fall,Community Colleges,Ulster County,1437.0,2031.0,,
2014,Fall,Community Colleges,Ulster County,1584.0,2010.0,,
2013,Fall,Community Colleges,Ulster County,1654.0,1961.0,,
2012,Fall,Community Colleges,Ulster County,1567.0,2114.0,,
2011,Fall,Community Colleges,Ulster County,1638.0,1967.0,,
2019,Fall,Doctoral Degree Granting Institutions,Upstate Medical,153.0,85.0,1219.0,131.0
2018,Fall,Doctoral Degree Granting Institutions,Upstate Medical,162.0,87.0,1176.0,122.0
2017,Fall,Doctoral Degree Granting Institutions,Upstate Medical,163.0,87.0,1102.0,132.0
2016,Fall,Doctoral Degree Granting Institutions,Upstate Medical,154.0,57.0,1161.0,119.0
2015,Fall,Doctoral Degree Granting Institutions,Upstate Medical,160.0,59.0,1103.0,158.0
2014,Fall,Doctoral Degree Granting Institutions,Upstate Medical,174.0,61.0,1066.0,215.0
2013,Fall,Doctoral Degree Granting Institutions,Upstate Medical,209.0,77.0,1063.0,268.0
2012,Fall,Doctoral Degree Granting Institutions,Upstate Medical,211.0,91.0,1058.0,275.0
2011,Fall,Doctoral Degree Granting Institutions,Upstate Medical,213.0,83.0,1040.0,253.0
2019,Fall,Community Colleges,Westchester,5685.0,5436.0,,
2018,Fall,Community Colleges,Westchester,6156.0,5379.0,,
2017,Fall,Community Colleges,Westchester,6748.0,5823.0,,
2016,Fall,Community Colleges,Westchester,6973.0,5869.0,,
2015,Fall,Community Colleges,Westchester,7062.0,5904.0,,
2014,Fall,Community Colleges,Westchester,7546.0,6370.0,,
2013,Fall,Community Colleges,Westchester,7640.0,6141.0,,
2012,Fall,Community Colleges,Westchester,7618.0,6379.0,,
2011,Fall,Community Colleges,Westchester,7410.0,6559.0,,
