Authority Name,Fiscal Year End Date,Bonds,Recipient Name,Recipient City,Recipient State,Recipient Postal Code,Amount Issued,Date Issued,Interest Rate,Expected Year Retired,Principal Retired During Year,Principal Retired at Start of Fiscal Year,Amount Outstanding,Bond Purpose,New Jobs,Jobs Planned,Jobs Created,Fully Retired
Dobbs Ferry Local Development Corporation,12/31/2012,?,The Children s Village,DOBBS FERRY,NY,10522.0,1.2465E7,12/29/2010,0.24,2030.0,845000.0,765000.0,1.0855E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2013,?,The Children s Village,DOBBS FERRY,NY,10522.0,1.2465E7,12/29/2010,0.24,2030.0,935000.0,1610000.0,9920000.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2013,?,The Masters School,DOBBS FERRY,NY,10522.0,3.2E7,06/19/2013,2.95,2043.0,100000.0,NaN,3.19E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2014,?,The Children s Village,DOBBS FERRY,NY,10522.0,1.2465E7,12/29/2010,0.24,2030.0,995000.0,2545000.0,8925000.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2014,?,The Masters School,DOBBS FERRY,NY,10522.0,3.2E7,06/19/2013,2.95,2043.0,255000.0,100000.0,3.1645E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2014,?,Mercy College Project,DOBBS FERRY,NY,10522.0,3.6855E7,07/31/2014,4.0,2044.0,0.0,NaN,3.6855E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2015,?,The Children s Village,DOBBS FERRY,NY,10522.0,1.2465E7,12/29/2010,0.24,2030.0,1025000.0,3540000.0,7900000.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2015,?,The Masters School,DOBBS FERRY,NY,10522.0,3.2E7,06/19/2013,2.95,2043.0,290000.0,355000.0,3.1355E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2015,?,Mercy College Project,DOBBS FERRY,NY,10522.0,3.6855E7,07/31/2014,4.0,2044.0,0.0,0.0,3.6855E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2016,?,The Children s Village,DOBBS FERRY,NY,10522.0,1.2465E7,12/29/2010,0.24,2030.0,1075000.0,4565000.0,6825000.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2016,?,The Masters School,DOBBS FERRY,NY,10522.0,3.2E7,06/19/2013,2.95,2043.0,300000.0,645000.0,3.1055E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2016,?,Mercy College Project,DOBBS FERRY,NY,10522.0,3.6855E7,07/31/2014,4.0,2044.0,0.0,0.0,3.6855E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2017,?,The Children s Village,DOBBS FERRY,NY,10522.0,1.2465E7,12/29/2010,0.24,2030.0,1095000.0,5640000.0,5730000.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2017,?,The Masters School,DOBBS FERRY,NY,10522.0,3.2E7,06/19/2013,2.95,2043.0,997232.0,945000.0,3.0057768E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2017,?,Mercy College Project,DOBBS FERRY,NY,10522.0,3.6855E7,07/31/2014,4.0,2044.0,0.0,0.0,3.6855E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2018,?,The Children s Village,DOBBS FERRY,NY,10522.0,1.2465E7,12/29/2010,0.24,2030.0,5730000.0,6735000.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,Yes
Dobbs Ferry Local Development Corporation,12/31/2018,?,The Masters School,DOBBS FERRY,NY,10522.0,3.2E7,06/19/2013,2.95,2043.0,794770.0,1942232.0,2.9262998E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2018,?,Mercy College Project,DOBBS FERRY,NY,10522.0,3.6855E7,07/31/2014,4.0,2044.0,81876.0,0.0,3.6773124E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2019,?,The Masters School,DOBBS FERRY,NY,10522.0,3.2E7,06/19/2013,2.95,2043.0,818869.0,2737002.0,2.8444129E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dobbs Ferry Local Development Corporation,12/31/2019,?,Mercy College Project,DOBBS FERRY,NY,10522.0,3.6855E7,07/31/2014,4.0,2044.0,0.0,81876.0,3.6773124E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dunkirk Local Development Corporation,12/31/2011,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dunkirk Local Development Corporation,12/31/2012,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dunkirk Local Development Corporation,12/31/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dunkirk Local Development Corporation,12/31/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dunkirk Local Development Corporation,12/31/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dunkirk Local Development Corporation,12/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dunkirk Local Development Corporation,12/31/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dutchess County Economic Development Corporation,12/31/2011,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dutchess County Economic Development Corporation,12/31/2012,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dutchess County Economic Development Corporation,12/31/2013,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dutchess County Economic Development Corporation,12/31/2014,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dutchess County Economic Development Corporation,12/31/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dutchess County Economic Development Corporation,12/31/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dutchess County Local Development Corporation,12/31/2011,?,Anderson Center for Autism,STAATSBURG,NY,12580.0,1.7275E7,11/12/2010,5.95,2030.0,0.0,0.0,1.7275E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,6.0,6.0,No
Dutchess County Local Development Corporation,12/31/2011,?,Health Quest,LAGRANGEVILLE,NY,12540.0,5.5055E7,12/15/2010,5.64,2040.0,1400000.0,0.0,5.3655E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,22.0,22.0,No
Dutchess County Local Development Corporation,12/31/2011,?,Poughkeepsie Day School,POUGHKEEPSIE,NY,12601.0,3105000.0,12/29/2010,4.25,2025.0,151260.0,0.0,2953740.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2011,?,CHF-CIA, L.L.C 2011-01,FAIRHOPE,AL,36533.0,1.5833644E7,06/29/2011,4.73,2041.0,0.0,NaN,1.5833644E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,10.0,35.0,No
Dutchess County Local Development Corporation,12/31/2011,?,Dutchess Community College Association 2011-02,POUGHKEEPSIE,NY,12601.0,2.7394E7,07/12/2011,3.52,2041.0,0.0,NaN,2.7394E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,1.0,No
Dutchess County Local Development Corporation,12/31/2012,?,Health Quest Systems Inc.,LAGRANGEVILLE,NY,12540.0,2.732E7,12/05/2012,3.12,2025.0,0.0,NaN,2.732E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2012,?,Marist College 2012-01,POUGHKEEPSIE,NY,12601.0,1.342E7,05/17/2012,2.22,2021.0,0.0,NaN,1.342E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2012,?,Anderson Center for Autism,STAATSBURG,NY,12580.0,1.7275E7,11/12/2010,5.95,2030.0,870000.0,0.0,1.6405E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,6.0,48.0,No
Dutchess County Local Development Corporation,12/31/2012,?,Health Quest,LAGRANGEVILLE,NY,12540.0,5.5055E7,12/15/2010,5.64,2040.0,3220000.0,1400000.0,5.0435E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,22.0,22.0,No
Dutchess County Local Development Corporation,12/31/2012,?,Poughkeepsie Day School,POUGHKEEPSIE,NY,12601.0,3105000.0,12/29/2010,4.25,2025.0,157816.0,151260.0,2795924.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2012,?,CHF-CIA, L.L.C 2011-01,FAIRHOPE,AL,36533.0,1.5833644E7,06/29/2011,4.73,2041.0,117843.0,0.0,1.5715801E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,10.0,35.0,No
Finger Lakes Horizon Economic Development Corporation,12/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dutchess County Local Development Corporation,12/31/2012,?,Dutchess Community College Association 2011-02,POUGHKEEPSIE,NY,12601.0,2.7394E7,07/12/2011,3.52,2041.0,0.0,0.0,2.7394E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,11.0,No
Dutchess County Local Development Corporation,12/31/2013,?,Marist College 2013-01,POUGHKEEPSIE,NY,12603.0,1.471E7,03/28/2013,3.92,2043.0,0.0,NaN,1.471E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2013,?,Millbrook School 2013-05,MILLBROOK,NY,12545.0,2.3E7,08/29/2013,3.1,2043.0,0.0,NaN,2.3E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,5.0,1.0,No
Dutchess County Local Development Corporation,12/31/2013,?,Marist College 2013-04,POUGHKEEPSIE,NY,12603.0,3.3045E7,09/09/2013,3.86,2035.0,0.0,NaN,3.3045E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2013,?,Trinity-Pawling School 2013-06,PAWLING,NY,12564.0,1.883E7,12/02/2013,2.81,2032.0,0.0,NaN,1.883E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,0.0,No
Dutchess County Local Development Corporation,12/31/2013,?,Vassar College 2013-02,POUGHKEEPSIE,NY,12603.0,8.7085E7,06/06/2013,4.32,2050.0,0.0,NaN,8.7085E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,2.0,0.0,No
Dutchess County Local Development Corporation,12/31/2013,?,Health Quest Systems Inc.,LAGRANGEVILLE,NY,12540.0,2.732E7,12/05/2012,3.12,2025.0,3385000.0,0.0,2.3935E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2013,?,Marist College 2012-01,POUGHKEEPSIE,NY,12601.0,1.342E7,05/17/2012,2.22,2021.0,0.0,0.0,1.342E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2013,?,Anderson Center for Autism,STAATSBURG,NY,12580.0,1.7275E7,11/12/2010,5.95,2030.0,555000.0,870000.0,1.585E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,6.0,56.0,No
Dutchess County Local Development Corporation,12/31/2013,?,Health Quest,LAGRANGEVILLE,NY,12540.0,5.5055E7,12/15/2010,5.64,2040.0,3345000.0,4620000.0,4.709E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,22.0,22.0,No
Dutchess County Local Development Corporation,12/31/2013,?,Poughkeepsie Day School,POUGHKEEPSIE,NY,12601.0,3105000.0,12/29/2010,4.25,2025.0,165000.0,309076.0,2630924.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2013,?,CHF-CIA, L.L.C 2011-01,FAIRHOPE,AL,36533.0,1.5833644E7,06/29/2011,4.73,2041.0,0.0,117843.0,1.5715801E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,10.0,1.0,No
Dutchess County Local Development Corporation,12/31/2013,?,Dutchess Community College Association 2011-02,POUGHKEEPSIE,NY,12601.0,2.7394E7,07/12/2011,3.52,2041.0,408984.0,0.0,2.6985016E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,11.0,No
Dutchess County Local Development Corporation,12/31/2014,?,Health Quest Systems Inc.,LAGRANGEVILLE,NY,12540.0,2.732E7,12/05/2012,3.12,2025.0,1775000.0,3385000.0,2.216E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2014,?,Marist College 2012-01,POUGHKEEPSIE,NY,12601.0,1.342E7,05/17/2012,2.22,2021.0,850000.0,0.0,1.257E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2014,?,Anderson Center for Autism,STAATSBURG,NY,12580.0,1.7275E7,11/12/2010,5.95,2030.0,575000.0,1425000.0,1.5275E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,6.0,190.0,No
Dutchess County Local Development Corporation,12/31/2014,?,Health Quest,LAGRANGEVILLE,NY,12540.0,5.5055E7,12/15/2010,5.64,2040.0,3210000.0,7965000.0,4.388E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,22.0,2.0,No
Dutchess County Local Development Corporation,12/31/2014,?,Poughkeepsie Day School,POUGHKEEPSIE,NY,12601.0,3105000.0,12/29/2010,4.25,2025.0,163867.0,474076.0,2467057.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2014,?,Marist College 2013-01,POUGHKEEPSIE,NY,12603.0,1.471E7,03/28/2013,3.92,2043.0,280000.0,0.0,1.443E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2014,?,Millbrook School 2013-05,MILLBROOK,NY,12545.0,2.3E7,08/29/2013,3.1,2043.0,0.0,0.0,2.3E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,5.0,6.0,No
Dutchess County Local Development Corporation,12/31/2014,?,Marist College 2013-04,POUGHKEEPSIE,NY,12603.0,3.3045E7,09/09/2013,3.86,2035.0,0.0,0.0,3.3045E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2014,?,Trinity-Pawling School 2013-06,PAWLING,NY,12564.0,1.883E7,12/02/2013,2.81,2032.0,702235.0,0.0,1.8127765E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,3.0,No
Dutchess County Local Development Corporation,12/31/2014,?,Vassar College 2013-02,POUGHKEEPSIE,NY,12603.0,8.7085E7,06/06/2013,4.32,2050.0,0.0,0.0,8.7085E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,2.0,0.0,No
Dutchess County Local Development Corporation,12/31/2014,?,CHF-CIA, L.L.C 2011-01,FAIRHOPE,AL,36533.0,1.5833644E7,06/29/2011,4.73,2041.0,0.0,117843.0,1.5715801E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,10.0,19.0,No
Dutchess County Local Development Corporation,12/31/2014,?,Dutchess Community College Association 2011-02,POUGHKEEPSIE,NY,12601.0,2.7394E7,07/12/2011,3.52,2041.0,491027.0,408984.0,2.6493989E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,17.0,No
Dutchess County Local Development Corporation,12/31/2014,?,Health Quest Systems,LAGRANGEVILLE,NY,12540.0,5.4615E7,05/14/2014,4.65,2044.0,0.0,NaN,5.4615E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,16.0,0.0,No
Finger Lakes Horizon Economic Development Corporation,12/31/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Finger Lakes Regional Land Bank Corporation,12/31/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Dutchess County Local Development Corporation,12/31/2014,?,CHF-CIA LLC 2011-01 (Drawdown),FAIRHOPE,AL,36533.0,117843.0,06/29/2014,4.73,2041.0,0.0,NaN,117843.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2015,?,Health Quest Systems,LAGRANGEVILLE,NY,12540.0,5.4615E7,05/14/2014,4.65,2044.0,1675000.0,0.0,5.294E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,16.0,0.0,No
Dutchess County Local Development Corporation,12/31/2015,?,Health Quest Systems Inc.,LAGRANGEVILLE,NY,12540.0,2.732E7,12/05/2012,3.12,2025.0,1795000.0,5160000.0,2.0365E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2015,?,Marist College 2012-01,POUGHKEEPSIE,NY,12601.0,1.342E7,05/17/2012,2.22,2021.0,1560000.0,850000.0,1.101E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2015,?,Anderson Center for Autism,STAATSBURG,NY,12580.0,1.7275E7,11/12/2010,5.95,2030.0,595000.0,2000000.0,1.468E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,6.0,293.0,No
Dutchess County Local Development Corporation,12/31/2015,?,Health Quest,LAGRANGEVILLE,NY,12540.0,5.5055E7,12/15/2010,5.64,2040.0,3360000.0,1.1175E7,4.052E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,22.0,67.0,No
Dutchess County Local Development Corporation,12/31/2015,?,Poughkeepsie Day School,POUGHKEEPSIE,NY,12601.0,3105000.0,12/29/2010,4.25,2025.0,177478.0,637943.0,2289579.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2015,?,Marist College 2013-01,POUGHKEEPSIE,NY,12603.0,1.471E7,03/28/2013,3.92,2043.0,285000.0,280000.0,1.4145E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2015,?,Millbrook School 2013-05,MILLBROOK,NY,12545.0,2.3E7,08/29/2013,3.1,2043.0,424000.0,0.0,2.2576E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,5.0,11.0,No
Dutchess County Local Development Corporation,12/31/2015,?,Marist College 2013-04,POUGHKEEPSIE,NY,12603.0,3.3045E7,09/09/2013,3.86,2035.0,2030066.0,0.0,3.1014934E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2015,?,Trinity-Pawling School 2013-06,PAWLING,NY,12564.0,1.883E7,12/02/2013,2.81,2032.0,731939.0,702235.0,1.7395826E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,8.0,No
Dutchess County Local Development Corporation,12/31/2015,?,Vassar College 2013-02,POUGHKEEPSIE,NY,12603.0,8.7085E7,06/06/2013,4.32,2050.0,0.0,0.0,8.7085E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,2.0,0.0,No
Dutchess County Local Development Corporation,12/31/2015,?,CHF-CIA, L.L.C 2011-01,FAIRHOPE,AL,36533.0,1.5833644E7,06/29/2011,4.73,2041.0,158906.0,117843.0,1.5556895E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,10.0,1.0,No
Dutchess County Local Development Corporation,12/31/2015,?,Dutchess Community College Association 2011-02,POUGHKEEPSIE,NY,12601.0,2.7394E7,07/12/2011,3.52,2041.0,585129.0,900011.0,2.590886E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,12.0,No
Dutchess County Local Development Corporation,12/31/2015,?,CHF-CIA LLC 2011-01 (Drawdown),FAIRHOPE,AL,36533.0,117843.0,06/29/2014,4.73,2041.0,0.0,0.0,117843.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2015,?,Hudson Valley Property Holdings LLC,VALHALLA,NY,10595.0,2.5E7,07/24/2015,4.27,2040.0,191431.0,NaN,2.4808569E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2015,?,Marist College 2015,POUGHKEEPSIE,NY,12603.0,8.0885E7,06/24/2015,4.09,2046.0,0.0,NaN,8.0885E7,Business Expansion/Startup,Yes,27.0,7.0,No
Dutchess County Local Development Corporation,12/31/2016,?,Hudson Valley Property Holdings LLC,VALHALLA,NY,10595.0,2.5E7,07/24/2015,4.27,2040.0,765307.0,191431.0,2.4043262E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2016,?,Marist College 2015,POUGHKEEPSIE,NY,12603.0,8.0885E7,06/24/2015,4.09,2046.0,0.0,0.0,8.0885E7,Business Expansion/Startup,Yes,27.0,30.0,No
Dutchess County Local Development Corporation,12/31/2016,?,Health Quest Systems,LAGRANGEVILLE,NY,12540.0,5.4615E7,05/14/2014,4.65,2044.0,1695000.0,1675000.0,5.1245E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,16.0,0.0,No
Dutchess County Local Development Corporation,12/31/2016,?,Health Quest Systems Inc.,LAGRANGEVILLE,NY,12540.0,2.732E7,12/05/2012,3.12,2025.0,1825000.0,6955000.0,1.854E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2016,?,Marist College 2012-01,POUGHKEEPSIE,NY,12601.0,1.342E7,05/17/2012,2.22,2021.0,1625000.0,2410000.0,9385000.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2016,?,Anderson Center for Autism,STAATSBURG,NY,12580.0,1.7275E7,11/12/2010,5.95,2030.0,630000.0,2595000.0,1.405E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,6.0,244.0,No
Dutchess County Local Development Corporation,12/31/2016,?,Health Quest,LAGRANGEVILLE,NY,12540.0,5.5055E7,12/15/2010,5.64,2040.0,3530000.0,1.4535E7,3.699E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,22.0,191.0,No
Dutchess County Local Development Corporation,12/31/2016,?,Poughkeepsie Day School,POUGHKEEPSIE,NY,12601.0,3105000.0,12/29/2010,4.25,2025.0,185003.0,815421.0,2104576.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2016,?,Marist College 2013-01,POUGHKEEPSIE,NY,12603.0,1.471E7,03/28/2013,3.92,2043.0,295000.0,565000.0,1.385E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2016,?,Millbrook School 2013-05,MILLBROOK,NY,12545.0,2.3E7,08/29/2013,3.1,2043.0,223000.0,424000.0,2.2353E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,5.0,10.0,No
Dutchess County Local Development Corporation,12/31/2016,?,Marist College 2013-04,POUGHKEEPSIE,NY,12603.0,3.3045E7,09/09/2013,3.86,2035.0,1499666.0,2030066.0,2.9515268E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2016,?,Trinity-Pawling School 2013-06,PAWLING,NY,12564.0,1.883E7,12/02/2013,2.81,2032.0,762897.0,1434174.0,1.6632929E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,6.0,No
Dutchess County Local Development Corporation,12/31/2016,?,Vassar College 2013-02,POUGHKEEPSIE,NY,12603.0,8.7085E7,06/06/2013,4.32,2050.0,0.0,0.0,8.7085E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,2.0,1.0,No
Dutchess County Local Development Corporation,12/31/2016,?,CHF-CIA, L.L.C 2011-01,FAIRHOPE,AL,36533.0,1.5833644E7,06/29/2011,4.73,2041.0,309913.0,276749.0,1.5246982E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,10.0,1.0,No
Dutchess County Local Development Corporation,12/31/2016,?,Dutchess Community College Association 2011-02,POUGHKEEPSIE,NY,12601.0,2.7394E7,07/12/2011,3.52,2041.0,613395.0,1485140.0,2.5295465E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,12.0,No
Dutchess County Local Development Corporation,12/31/2016,?,CHF-CIA LLC 2011-01 (Drawdown),FAIRHOPE,AL,36533.0,117843.0,06/29/2014,4.73,2041.0,0.0,0.0,117843.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2016,?,Culinary Institute of America 2016-03,HYDE PARK,NY,12538.0,3.704E7,09/01/2016,5.0,2036.0,0.0,NaN,3.704E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2016,?,Health Quest Inc 2016-01A,LAGRANGEVILLE,NY,12540.0,2.808E7,07/01/2016,5.0,2037.0,0.0,NaN,2.808E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Dutchess County Local Development Corporation,12/31/2016,?,Health Quest Inc 2016-01B,LAGRANGEVILLE,NY,12540.0,3.5E8,07/01/2017,5.0,2036.0,0.0,NaN,3.5E8,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,21.0,0.0,No
Dutchess County Local Development Corporation,12/31/2016,?,Marist College 2016-02,POUGHKEEPSIE,NY,12601.0,1.3895237E7,04/01/2016,3.93,2031.0,140000.0,NaN,1.3755237E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
