Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1
FARNHAM FIRE DEPARTMENT,15033.0,526 COMMERCIAL ST,FARNHAM,NY,14061,15.0,Erie,7.165495489E9,42.59301,-79.082918,(42.59301, -79.082918)
FORKS HOSE FIRE DEPARTMENT,15034.0,3330 BROADWAY,CHEEKTOWAGA,NY,14227,15.0,Erie,7.166838668E9,42.903873,-78.751995,(42.903873, -78.751995)
GETZVILLE FIRE DEPARTMENT,15035.0,630 DODGE RD  PO BOX 111,GETZVILLE,NY,14068,15.0,Erie,7.166880116E9,43.024255,-78.769277,(43.024255, -78.769277)
GRAND ISLAND FIRE DEPARTMENT,15037.0,2275 BASELINE ROAD,GRAND ISLAND,NY,14072,15.0,Erie,7.167734334E9,43.02392,-78.965687,(43.02392, -78.965687)
HAMBURG FIRE DEPARTMENT,15038.0,301 UNION STREET PO BOX 82,HAMBURG,NY,14075,15.0,Erie,7.166491753E9,42.71743,-78.839005,(42.71743, -78.839005)
HARRIS HILL FIRE DEPARTMENT,15039.0,8630 MAIN STREET,WILLIAMSVILLE,NY,14221,15.0,Erie,7.166321199E9,42.965329,-78.67162,(42.965329, -78.67162)
HOLLAND FIRE DEPARTMENT,15043.0,49 N MAIN STREET PO BOX 610,HOLLAND,NY,14080,15.0,Erie,7.165379568E9,42.641857,-78.543005,(42.641857, -78.543005)
HUTCHINSON HOSE DEPARTMENT,15044.0,5565 MAIN STREET,WILLIAMSVILLE,NY,14221,15.0,Erie,7.16632407E9,42.96257,-78.745899,(42.96257, -78.745899)
HYVIEW FIRE DEPARTMENT,15045.0,8 AIRPORT DRIVE,DEPEW,NY,14043,15.0,Erie,7.166842371E9,42.924337,-78.721105,(42.924337, -78.721105)
JAMISON ROAD FIRE DEPARTMENT,15046.0,1071 JAMISON ROAD,ELMA,NY,14059,15.0,Erie,7.16652676E9,42.805051,-78.622194,(42.805051, -78.622194)
KENILWORTH FIRE DEPARTMENT,15047.0,84 HAWTHORNE AVE,BUFFALO,NY,14223,15.0,Erie,7.168340138E9,42.960726,-78.8261,(42.960726, -78.8261)
KENMORE FIRE DEPT,15048.0,16 NASH ROAD,KENMORE,NY,14217,15.0,Erie,7.168753274E9,42.965344,-78.869445,(42.965344, -78.869445)
LACKAWANNA FIRE DEPARTMENT,15049.0,1630 ABBOTT ROAD,LACKAWANNA,NY,14218,15.0,Erie,7.168276436E9,42.820526,-78.801938,(42.820526, -78.801938)
LAKE ERIE BEACH FIRE DEPT,15050.0,9483 LAKE SHORE ROAD,ANGOLA,NY,14006,15.0,Erie,7.165491122E9,42.626907,-79.09018,(42.626907, -79.09018)
LAKE SHORE FIRE DEPARTMENT,15051.0,4591 LAKE SHORE RD,HAMBURG,NY,14075,15.0,Erie,7.166273522E9,42.758676,-78.883954,(42.758676, -78.883954)
LAKE VIEW FIRE DEPARTMENT,15052.0,2005 LAKE VIEW RD PO BX 345,LAKE VIEW,NY,14085,15.0,Erie,7.166277941E9,42.72431,-78.9329,(42.72431, -78.9329)
LANCASTER FIRE DEPARTMENT,15053.0,5423 BROADWAY  PO BOX 15,LANCASTER,NY,14086,15.0,Erie,7.166831901E9,42.900296,-78.67008,(42.900296, -78.67008)
LANGFORD NEW OREGON FIRE DEPT,15054.0,3901 LANGFORD ROAD,NORTH COLLINS,NY,14111,15.0,Erie,7.16337344E9,42.587415,-78.839489,(42.587415, -78.839489)
LAWTONS FIRE DEPARTMENT,15055.0,GOWANDA STATE RD  PO BOX 84,LAWTONS,NY,14091,15.0,Erie,7.163372555E9,42.539001,-78.930637,(42.539001, -78.930637)
MAIN TRANSIT FIRE DEPARTMENT,15056.0,6777 MAIN STREET,WILLIAMSVILLE,NY,14231,15.0,Erie,7.16632971E9,42.965347,-78.701285,(42.965347, -78.701285)
MARILLA FIRE DEPARTMENT,15057.0,1950 WEST AVE PO BOX 124,MARILLA,NY,14102,15.0,Erie,7.16652108E9,42.84178,-78.55531,(42.84178, -78.55531)
CHAFFEE-SARDINIA FIRE DEPT,15058.0,13670 BRIGGS ST  PO BOX 203,CHAFFEE,NY,14030,15.0,Erie,7.16496515E9,42.55167,-78.51108,(42.55167, -78.51108)
MILLGROVE FIRE DEPARTMENT,15059.0,11621 GENESEE ST,ALDEN,NY,14004,15.0,Erie,7.169377612E9,42.943625,-78.55488,(42.943625, -78.55488)
MORTONS CORNERS FIRE DEPT,15060.0,RD #1 MORTONS CORNERS ROAD,SPRINGVILLE,NY,14141,15.0,Erie,7.165924665E9,42.5242,-78.67118,(42.5242, -78.67118)
NEWSTEAD FIRE DEPARTMENT,15061.0,5691 CUMMINGS RD PO BOX 386,AKRON,NY,14001,15.0,Erie,7.165425337E9,43.001467,-78.517085,(43.001467, -78.517085)
NEWTON ABBOTT FIRE DEPARTMENT,15062.0,3426 ABBOTT RD PO BOX 2001,BLASDELL,NY,14219,15.0,Erie,7.168253663E9,42.78961,-78.82382,(42.78961, -78.82382)
NORTH AMHERST FIRE DEPARTMENT,15063.0,2200 TONAWANDA CREEK ROAD,AMHERST,NY,14228,15.0,Erie,7.166917131E9,43.068073,-78.770753,(43.068073, -78.770753)
NORTH BAILEY FIRE DEPARTMENT,15064.0,966 SWEET HOME ROAD,AMHERST,NY,14226,15.0,Erie,7.168369571E9,42.989218,-78.805681,(42.989218, -78.805681)
NORTH BOSTON FIRE DEPARTMENT,15065.0,7223 BOSTON STATE RD BX 124,NORTH BOSTON,NY,14110,15.0,Erie,7.166490974E9,42.67352,-78.75503,(42.67352, -78.75503)
NORTH COLLINS FIRE DEPARTMENT,15066.0,10543 MAIN ST PO BOX 448,NORTH COLLINS,NY,14111,15.0,Erie,7.163373294E9,42.594714,-78.940859,(42.594714, -78.940859)
NORTH EVANS FIRE DEPARTMENT,15067.0,6980 VARSAILLES RD PO BX 92,NORTH EVANS,NY,14112,15.0,Erie,7.16627341E9,42.68528,-78.94228,(42.68528, -78.94228)
ORCHARD PARK FIRE DEPARTMENT,15068.0,30 SCHOOL ST PO BOX 1140,ORCHARD PARK,NY,14127,15.0,Erie,7.166621127E9,42.67352,-78.75503,(42.67352, -78.75503)
PATCHIN FIRE DEPARTMENT,15069.0,8333 BOSTON STATE RD BX 173,BOSTON,NY,14025,15.0,Erie,7.169413555E9,42.657305,-78.747221,(42.657305, -78.747221)
PINE HILL HOSE FIRE DEPT,15070.0,2435 GENESEE STREET,CHEEKTOWAGA,NY,14225,15.0,Erie,7.16896869E9,42.919998,-78.792763,(42.919998, -78.792763)
RESCUE HOSE FIRE DEPARTMENT,15071.0,20 PINE RIDGE ROAD,CHEEKTOWAGA,NY,14211,15.0,Erie,7.168971168E9,42.907621,-78.796433,(42.907621, -78.796433)
RESERVE HOSE FIRE DEPARTMENT,15072.0,2400 BERG ROAD,WEST SENECA,NY,14218,15.0,Erie,7.166751122E9,42.80946,-78.763206,(42.80946, -78.763206)
RIVER ROAD FIRE DEPARTMENT,15073.0,39 KAUFMAN AVENUE,TONAWANDA,NY,14150,15.0,Erie,7.16874914E9,42.974293,-78.928288,(42.974293, -78.928288)
SCRANTON FIRE DEPARTMENT,15074.0,5395 SCRANTON ROAD,HAMBURG,NY,14075,15.0,Erie,7.166484563E9,42.740062,-78.831937,(42.740062, -78.831937)
SENECA HOSE FIRE DEPARTMENT,15075.0,2801 SENECA STREET,WEST SENECA,NY,14224,15.0,Erie,7.168255511E9,42.842497,-78.788963,(42.842497, -78.788963)
SHERIDAN PARK FIRE DEPARTMENT,15076.0,738 SHERIDAN DRIVE,TONAWANDA,NY,14150,15.0,Erie,7.168731111E9,42.978902,-78.904686,(42.978902, -78.904686)
SLOAN ACTIVE HOSE FIRE DEPT,15077.0,55 GATES AVENUE,SLOAN,NY,14212,15.0,Erie,7.168971564E9,42.826456,-78.848579,(42.826456, -78.848579)
SNYDER FIRE DEPARTMENT,15078.0,4531 MAIN STREET,SNYDER,NY,14226,15.0,Erie,7.16839344E9,42.962894,-78.782638,(42.962894, -78.782638)
SOUTH LINE FIRE DEPARTMENT,15079.0,1049 FRENCH ROAD,CHEEKTOWAGA,NY,14227,15.0,Erie,7.166681232E9,42.867754,-78.713493,(42.867754, -78.713493)
SOUTH WALES FIRE DEPARTMENT,15080.0,6406 OLEAN RD  PO BOX 185,SOUTH WALES,NY,14139,15.0,Erie,7.166526659E9,42.710299,-78.578126,(42.710299, -78.578126)
SPRING BROOK FIRE DEPARTMENT,15081.0,70 POUND RD  PO BOX 310,SPRING BROOK,NY,14140,15.0,Erie,7.16652267E9,42.823391,-78.679874,(42.823391, -78.679874)
SPRINGVILLE FIRE DEPARTMENT,15082.0,405 WEST MAIN ST PO BOX 12,SPRINGVILLE,NY,14141,15.0,Erie,7.165924487E9,42.5242,-78.67118,(42.5242, -78.67118)
SWORMVILLE FIRE DEPARTMENT,15083.0,6971 TRANSIT RD PO BOX 707,EAST AMHERST,NY,14051,15.0,Erie,7.166887055E9,43.038991,-78.696845,(43.038991, -78.696845)
TONAWANDA FIRE DEPT (CITY),15084.0,44 WILLIAM STREET,TONAWANDA,NY,14150,15.0,Erie,7.166921275E9,43.017259,-78.876274,(43.017259, -78.876274)
TOWN LINE FIRE DEPARTMENT,15085.0,6507 BROADWAY,LANCASTER,NY,14086,15.0,Erie,7.166830385E9,42.890749,-78.58022,(42.890749, -78.58022)
EAST AMHERST FIRE DEPARTMENT,15086.0,9100 TRANSIT RD PO BOX 55,EAST AMHERST,NY,14051,15.0,Erie,7.166882121E9,43.016639,-78.697065,(43.016639, -78.697065)
TWIN DISTRICT FIRE DEPARTMENT,15087.0,4999 WILLIAM ST PO BOX 406,LANCASTER,NY,14086,15.0,Erie,7.166813118E9,42.880758,-78.670367,(42.880758, -78.670367)
U-CREST FIRE DEPARTMENT,15088.0,255 CLOVER PLACE,CHEEKTOWAGA,NY,14225,15.0,Erie,7.166342633E9,42.923394,-78.755049,(42.923394, -78.755049)
UNION FIRE DEPARTMENT,15089.0,2055 UNION ROAD,WEST SENECA,NY,14224,15.0,Erie,7.166682828E9,42.85623,-78.754578,(42.85623, -78.754578)
VIGILANT FIRE DEPARTMENT,15090.0,666 MAIN STREET,WEST SENECA,NY,14224,15.0,Erie,7.166741453E9,42.834015,-78.750567,(42.834015, -78.750567)
WALES CENTER FIRE DEPARTMENT,15091.0,12300 BIG TREE RD  BOX 124,WALES CENTER,NY,14169,15.0,Erie,7.166521051E9,42.76789,-78.52194,(42.76789, -78.52194)
WEST FALLS FIRE DEPARTMENT,15092.0,1864 DAVIS RD PO BOX 140,WEST FALLS,NY,14170,15.0,Erie,7.166521353E9,42.704738,-78.681136,(42.704738, -78.681136)
WINCHESTER FIRE DEPARTMENT,15093.0,514 HARLEM ROAD,WEST SENECA,NY,14224,15.0,Erie,7.168242565E9,42.856749,-78.787801,(42.856749, -78.787801)
WOODLAWN FIRE DEPARTMENT,15095.0,S-3281 LAKE SHORE ROAD,BLASDELL,NY,14219,15.0,Erie,7.168242284E9,42.796796,-78.846715,(42.796796, -78.846715)
INDUSTRIAL FIRE DEPARTMENT #1,15097.0,1835 SHERIDAN DRIVE,KENMORE,NY,14223,15.0,Erie,NaN,NaN,NaN,?
BUFFALO FIRE DEPARTMENT,15100.0,195 COURT STREET,BUFFALO,NY,14202,15.0,Erie,7.168515333E9,42.887005,-78.881198,(42.887005, -78.881198)
AUSABLE FORKS FIRE DEPARTMENT,16001.0,29 SCHOOL ST PO BOX 785,AUSABLE FORKS,NY,12912,16.0,Essex,5.186475582E9,44.48598,-73.7599,(44.48598, -73.7599)
BLOOMINGDALE FIRE DEPARTMENT,16002.0,1635 STATE RT 3 PO BOX 226,BLOOMINGDALE,NY,12913,16.0,Essex,5.18891177E9,44.39829,-74.07402,(44.39829, -74.07402)
CHILSON FIRE DEPARTMENT,16003.0,60 PUTTS POND ROAD,TICONDEROGA,NY,12883,16.0,Essex,5.18585251E9,43.87418,-73.530618,(43.87418, -73.530618)
CROWN POINT FIRE DEPARTMENT,16004.0,2764 MAIN ST,CROWN POINT,NY,12928,16.0,Essex,5.185973211E9,43.95112,-73.43033,(43.95112, -73.43033)
ELIZABETHTOWN FIRE DEPARTMENT,16005.0,22 WOODRUFF ST PO BOX 457,ELIZABETHTOWN,NY,12932,16.0,Essex,5.188739944E9,44.214896,-73.584893,(44.214896, -73.584893)
ESSEX FIRE DEPARTMENT NO. 1,16006.0,RTE 22W BOX 58,ESSEX,NY,12936,16.0,Essex,5.189637619E9,44.23855,-73.40427,(44.23855, -73.40427)
JAY FIRE DEPARTMENT,16007.0,PO BOX 358,JAY,NY,12941,16.0,Essex,5.189462552E9,44.389656,-73.710402,(44.389656, -73.710402)
KEENE FIRE DEPARTMENT,16008.0,1 EAST HILL ROAD BOX 136,KEENE,NY,12942,16.0,Essex,5.185764301E9,44.2529,-73.78776,(44.2529, -73.78776)
KEENE VALLEY FIRE DEPARTMENT,16009.0,PO BOX 699, MARKET STREET,KEENE VALLEY,NY,12943,16.0,Essex,5.185764727E9,44.189522,-73.79019,(44.189522, -73.79019)
LAKE PLACID FIRE DEPARTMENT,16011.0,RIVER STREET EXT PO BOX 569,LAKE PLACID,NY,12946,16.0,Essex,5.185233211E9,44.269992,-73.99269,(44.269992, -73.99269)
LEWIS FIRE DEPARTMENT,16012.0,18 FIRE HOUSE LA PO BOX 23,LEWIS,NY,12950,16.0,Essex,5.188732232E9,44.30939,-73.57114,(44.30939, -73.57114)
MINEVILLE-WITHERBEE FIRE DEPT,16013.0,112 RAYMOND WRIGHT AVENUE,MINEVILLE,NY,12956,16.0,Essex,5.189427126E9,44.087461,-73.524848,(44.087461, -73.524848)
MORIAH FIRE DEPARTMENT,16014.0,630 TARBELL HILL ROAD,MORIAH,NY,12960,16.0,Essex,5.185463749E9,44.046222,-73.503993,(44.046222, -73.503993)
NEWCOMB FIRE DEPARTMENT,16015.0,RT 28 N,NEWCOMB,NY,12852,16.0,Essex,5.185823093E9,43.969394,-74.158971,(43.969394, -74.158971)
NORTH HUDSON FIRE DEPARTMENT,16016.0,3034 US ROUTE 9,NORTH HUDSON,NY,12855,16.0,Essex,5.185327093E9,43.960461,-73.723777,(43.960461, -73.723777)
PORT HENRY FIRE DEPARTMENT,16018.0,14 CHURCH ST  PO BOX 182,PORT HENRY,NY,12974,16.0,Essex,5.185467771E9,44.047595,-73.461265,(44.047595, -73.461265)
SCHROON LAKE FIRE DEPARTMENT,16020.0,ROUTE 9 POB 456,SCHROON LAKE,NY,12870,16.0,Essex,5.185327477E9,43.842236,-73.766577,(43.842236, -73.766577)
TICONDEROGA FIRE DEPARTMENT,16021.0,PO BOX 367 MONTCALM STREET,TICONDEROGA,NY,12883,16.0,Essex,5.185857771E9,43.848156,-73.429029,(43.848156, -73.429029)
UPPER JAY FIRE DEPARTMENT,16022.0,ROUTE 9N HCR BOX 38,UPPER JAY,NY,12987,16.0,Essex,5.189467022E9,44.33509,-73.78671,(44.33509, -73.78671)
WESTPORT FIRE DEPARTMENT,16023.0,PO BOX 226,WESTPORT,NY,12993,16.0,Essex,5.189624701E9,44.186946,-73.43573,(44.186946, -73.43573)
WHALLONSBURG FIRE DEPARTMENT,16025.0,RT 22, BOX 399, RR1,ESSEX,NY,12936,16.0,Essex,5.189634027E9,44.23855,-73.40427,(44.23855, -73.40427)
WILLSBORO/REBER FIRE DEPT,16026.0,17 FARRELL ROAD PO BOX 332,WILLSBORO,NY,12996,16.0,Essex,5.189638316E9,44.374605,-73.394636,(44.374605, -73.394636)
WILMINGTON FIRE DEPARTMENT,16027.0,1197 HASELTON RD PO BOX 425,WILMINGTON,NY,12997,16.0,Essex,5.189467187E9,44.389899,-73.813516,(44.389899, -73.813516)
MINERVA FIRE DEPARTMENT,16028.0,ROUTE 28N PO BOX 102,OLMSTEDVILLE,NY,12857,16.0,Essex,5.182513333E9,43.780381,-73.971037,(43.780381, -73.971037)
BANGOR FIRE DEPARTMENT,17001.0,2265 STATE RTE 11,NORTH BANGOR,NY,12966,17.0,Franklin,5.18483278E9,44.0355,-73.50323,(44.0355, -73.50323)
BOMBAY FIRE DEPARTMENT,17002.0,1856 STATE RTE 95 PO BOX 27,BOMBAY,NY,12914,17.0,Franklin,5.183584502E9,44.92898,-74.60753,(44.92898, -74.60753)
BRUSHTON FIRE DEPARTMENT,17003.0,816 COUNTY RD 7 PO BOX 607,BRUSHTON,NY,12916,17.0,Franklin,5.185296007E9,44.826606,-74.521276,(44.826606, -74.521276)
BURKE FIRE DEPARTMENT,17004.0,1041 E MAIN ST  PO BOX 40,BURKE,NY,12917,17.0,Franklin,5.184832787E9,44.904644,-74.168708,(44.904644, -74.168708)
CHATEAUGAY FIRE DEPARTMENT,17005.0,2 LAKE STREET PO BOX 911,CHATEAUGAY,NY,12920,17.0,Franklin,5.184973135E9,44.923109,-74.079339,(44.923109, -74.079339)
CONSTABLE FIRE DEPARTMENT,17006.0,1136 STATE RT 122 PO BX 151,CONSTABLE,NY,12926,17.0,Franklin,5.184835908E9,44.929242,-74.297668,(44.929242, -74.297668)
DICKINSON CENTER FIRE DEPT,17007.0,7 CHURCH STREET  PO BOX 88,DICKINSON CENTER,NY,12930,17.0,Franklin,5.188569515E9,44.714197,-74.55287,(44.714197, -74.55287)
FORT COVINGTON FIRE DEPARTMENT,17008.0,2454 STATE RT 37 PO BOX 447,FORT COVINGTON,NY,12937,17.0,Franklin,5.18358299E9,44.987785,-74.498327,(44.987785, -74.498327)
HOGANSBURG FIRE DEPARTMENT,17009.0,818 STATE RT 37 PO BOX 426,HOGANSBURG,NY,13655,17.0,Franklin,5.183582161E9,44.97637,-74.65243,(44.97637, -74.65243)
MALONE (CALL FIREMAN) FIRE DEPT,17010.0,37 FINNY BLVD PO BOX 412,MALONE,NY,12953,17.0,Franklin,5.184834853E9,44.847719,-74.300844,(44.847719, -74.300844)
MOIRA FIRE DEPARTMENT,17012.0,2340 COUNTY RT 5 PO BOX 122,MOIRA,NY,12957,17.0,Franklin,5.18529601E9,44.81564,-74.56561,(44.81564, -74.56561)
OWLS HEAD-MT VIEW FIRE DEPT,17013.0,46 RAGGED LAKE ROAD,OWLS HEAD,NY,12969,17.0,Franklin,5.184837094E9,44.733522,-74.170683,(44.733522, -74.170683)
SARANAC LAKE FIRE DEPT,17014.0,100 BROADWAY PO BOX 509,SARANAC LAKE,NY,12983,17.0,Franklin,5.188912333E9,44.329681,-74.133813,(44.329681, -74.133813)
ST REGIS FALLS FIRE DEPT,17015.0,PO BOX 177,ST REGIS FALLS,NY,12980,17.0,Franklin,5.188569459E9,44.673379,-74.544539,(44.673379, -74.544539)
TUPPER LAKE FIRE DEPARTMENT,17016.0,21 HIGH STREET  PO BOX 849,TUPPER LAKE,NY,12986,17.0,Franklin,5.18359353E9,44.222532,-74.464409,(44.222532, -74.464409)
WESTVILLE FIRE DEPARTMENT,17017.0,3891 STATE ROUTE 37,CONSTABLE,NY,12926,17.0,Franklin,5.18358445E9,44.942971,-74.394404,(44.942971, -74.394404)
PAUL SMITH-GABRIELS FIRE DEPT,17018.0,68 STATE RTE 86  PO BOX 145,GABRIELS,NY,12939,17.0,Franklin,5.1832736E9,44.42558,-74.16809,(44.42558, -74.16809)
DUANE FIRE DEPARTMENT,17019.0,172 COUNTY ROUTE 26,MALONE,NY,12953,17.0,Franklin,5.184830386E9,44.65922,-74.266179,(44.65922, -74.266179)
BERKSHIRE FIRE DEPARTMENT,18001.0,320 STEELE AVENUE EXT,GLOVERSVILLE,NY,12078,18.0,Fulton,5.187251612E9,43.05696,-74.34146,(43.05696, -74.34146)
BROADALBIN FIRE DEPARTMENT,18002.0,PO BOX 126,BROADALBIN,NY,12025,18.0,Fulton,5.188833611E9,43.058493,-74.188601,(43.058493, -74.188601)
CAROGA LAKE FIRE DEPARTMENT,18003.0,PO BOX 882,CAROGA LAKE,NY,12032,18.0,Fulton,5.188354137E9,43.22482,-74.51752,(43.22482, -74.51752)
EPHRATAH FIRE DEPARTMENT,18004.0,4305 ST HWY 10,ST JOHNSVILLE,NY,13452,18.0,Fulton,5.189933182E9,43.03743,-74.66391,(43.03743, -74.66391)
GLOVERSVILLE FIRE DEPARTMENT,18005.0,5 FRONTAGE ROAD,GLOVERSVILLE,NY,12078,18.0,Fulton,5.187253125E9,43.051136,-74.348805,(43.051136, -74.348805)
HILL TOP FIRE DEPARTMENT,18006.0,7770 ST HWY 29,DOLGEVILLE,NY,13329,18.0,Fulton,3.154293211E9,43.1007,-74.77267,(43.1007, -74.77267)
JOHNSTOWN FIRE DEPARTMENT,18007.0,244 NORTH PERRY STREET,JOHNSTOWN,NY,12095,18.0,Fulton,5.187364079E9,43.01461,-74.370377,(43.01461, -74.370377)
MAYFIELD FIRE DEPARTMENT,18008.0,PO BOX 722,MAYFIELD,NY,12117,18.0,Fulton,5.186615611E9,43.101903,-74.262044,(43.101903, -74.262044)
MECO FIRE DEPARTMENT,18009.0,1600 STATE HWAY 29A,GLOVERSVILLE,NY,12078,18.0,Fulton,5.187251173E9,43.054883,-74.378957,(43.054883, -74.378957)
NORTHVILLE FIRE DEPARTMENT,18010.0,PO BOX 756,NORTHVILLE,NY,12134,18.0,Fulton,5.188638791E9,43.225192,-74.171495,(43.225192, -74.171495)
OPPENHEIM CENTER FIRE DEPARTMENT,18011.0,6786 STATE HWY 29,ST JOHNSVILLE,NY,13452,18.0,Fulton,5.185682036E9,43.03743,-74.66391,(43.03743, -74.66391)
PERTH FIRE DEPARTMENT,18012.0,4080 ST HWY 30,AMSTERDAM,NY,12010,18.0,Fulton,5.188838238E9,42.95356,-74.17751,(42.95356, -74.17751)
PLEASANT SQUARE FIRE DEPARTMENT,18013.0,1208 CO HWY 122,GLOVERSVILLE,NY,12078,18.0,Fulton,3.157254626E9,43.077022,-74.329203,(43.077022, -74.329203)
ROCKWOOD GAROGA LASSELLSVILLE FD,18014.0,172 CHURCH STREET,ST JOHNSVILLE,NY,13452,18.0,Fulton,5.187627444E9,43.048973,-74.600154,(43.048973, -74.600154)
SAMMONSVILLE FIRE DEPARTMENT,18015.0,1362 STATE HIGHWAY 67,JOHNSTOWN,NY,12095,18.0,Fulton,5.187621404E9,43.006624,-74.430789,(43.006624, -74.430789)
SIR WILLIAM JOHNSON FIRE DEPT,18016.0,224 CO HWY 131A,JOHNSTOWN,NY,12095,18.0,Fulton,5.18762122E9,43.022279,-74.407646,(43.022279, -74.407646)
STRATFORD FIRE DEPARTMENT,18017.0,COUNTY ROAD 104,STRATFORD,NY,13470,18.0,Fulton,3.154293607E9,43.19708,-74.65372,(43.19708, -74.65372)
ALABAMA FIRE DEPARTMENT,19001.0,PO BOX 798,BASOM,NY,14013,19.0,Genesee,5.85948576E9,43.07737,-78.39152,(43.07737, -78.39152)
ALEXANDER FIRE DEPARTMENT,19002.0,PO BOX 152,ALEXANDER,NY,14005,19.0,Genesee,5.855912411E9,42.904573,-78.253454,(42.904573, -78.253454)
BATAVIA FIRE DEPT (CITY),19003.0,18 EVANS STREET,BATAVIA,NY,14020,19.0,Genesee,5.853456375E9,42.995803,-78.186787,(42.995803, -78.186787)
BATAVIA FIRE DEPT (TOWN),19004.0,LEWISTON ROAD PO BOX 417,BATAVIA,NY,14020,19.0,Genesee,5.853443284E9,43.007676,-78.207078,(43.007676, -78.207078)
BERGEN FIRE DEPARTMENT,19005.0,10 HUNTER ST PO BOX 428,BERGEN,NY,14416,19.0,Genesee,5.8549421E9,43.088915,-77.942356,(43.088915, -77.942356)
BETHANY FIRE DEPARTMENT,19006.0,5253 OLD TELEPHONE ROAD,EAST BETHANY,NY,14054,19.0,Genesee,5.853440535E9,42.903999,-78.130628,(42.903999, -78.130628)
BYRON FIRE DEPARTMENT,19007.0,6157 E MAIN ST PO BOX 210,BYRON,NY,14422,19.0,Genesee,5.855482206E9,43.079668,-78.062161,(43.079668, -78.062161)
CORFU FIRE DEPARTMENT,19008.0,116 E MAIN ST PO BOX 134,CORFU,NY,14036,19.0,Genesee,5.855993618E9,42.96277,-78.391107,(42.96277, -78.391107)
DARIEN CENTER FIRE DEPARTMENT,19009.0,10537 ALLEGHANY RD,DARIEN,NY,14040,19.0,Genesee,5.855479586E9,42.90119,-78.3874,(42.90119, -78.3874)
EAST PEMBROKE FIRE DEPARTMENT,19010.0,2623 MAIN RD PO BOX 44,EAST PEMBROKE,NY,14056,19.0,Genesee,5.857629044E9,42.995849,-78.30763,(42.995849, -78.30763)
ELBA FIRE DEPARTMENT,19011.0,4 S MAIN ST PO BOX 58,ELBA,NY,14058,19.0,Genesee,5.857579011E9,43.07027,-78.188095,(43.07027, -78.188095)
LEROY FIRE DEPARTMENT,19012.0,4 CLAY STREET,LEROY,NY,14482,19.0,Genesee,5.857682527E9,42.977451,-77.99238,(42.977451, -77.99238)
OAKFIELD FIRE DEPARTMENT,19013.0,20 ALBERT ST PO BOX 184,OAKFIELD,NY,14125,19.0,Genesee,5.85948581E9,43.06812,-78.276445,(43.06812, -78.276445)
PAVILION FIRE DEPARTMENT,19014.0,11302 S LAKE RD PO BOX 156,PAVILION,NY,14525,19.0,Genesee,5.855843232E9,42.87462,-78.02323,(42.87462, -78.02323)
PEMBROKE FIRE DEPARTMENT,19015.0,630 MAIN ROAD,CORFU,NY,14036,19.0,Genesee,5.855993521E9,42.998489,-78.438627,(42.998489, -78.438627)
SOUTH BYRON FIRE DEPARTMENT,19016.0,7389 ROUTE 237 PO BOX 22,SOUTH BYRON,NY,14557,19.0,Genesee,5.855482451E9,43.04812,-78.06573,(43.04812, -78.06573)
STAFFORD FIRE DEPARTMENT,19017.0,6153 MAIN ROAD PO BOX 56,STAFFORD,NY,14143,19.0,Genesee,5.853450938E9,42.981944,-78.075399,(42.981944, -78.075399)
INDIAN FALLS FIRE DEPT,19018.0,8030 ALLEGHENY ROAD,CORFU,NY,14036,19.0,Genesee,5.857628887E9,43.028914,-78.396936,(43.028914, -78.396936)
ASHLAND FIRE DEPARTMENT,20001.0,RD 1 BOX 49A,ASHLAND,NY,12407,20.0,Greene,5.187343006E9,42.23923,-74.31383,(42.23923, -74.31383)
ATHENS FIRE DEPARTMENT,20002.0,39 THIRD ST PO BOX 207,ATHENS,NY,12015,20.0,Greene,5.189451597E9,42.28709,-73.83206,(42.28709, -73.83206)
CATSKILL FIRE DEPARTMENT,20003.0,422 MAIN STREET,CATSKILL,NY,12414,20.0,Greene,5.18943252E9,42.220441,-73.865918,(42.220441, -73.865918)
COXSACKIE FIRE DEPARTMENT,20005.0,119 MANSION STREET,COXSACKIE,NY,12051,20.0,Greene,5.184423495E9,42.35594,-73.808474,(42.35594, -73.808474)
H D LANE FIRE DEPARTMENT,20006.0,26 BEECHER RD PO BOX 26,LANESVILLE,NY,12450,20.0,Greene,8.45688529E9,42.120711,-74.270941,(42.120711, -74.270941)
EARLTON FIRE DEPARTMENT,20007.0,PO BOX 187,EARLTON,NY,12058,20.0,Greene,5.187316371E9,42.389034,-73.94632,(42.389034, -73.94632)
EAST DURHAM FIRE COMPANY,20008.0,PO BOX 92,EAST DURHAM,NY,12423,20.0,Greene,5.186223856E9,42.30194,-74.0039,(42.30194, -74.0039)
EAST JEWETT FIRE DEPARTMENT,20009.0,PO BOX 105,EAST JEWETT,NY,12424,20.0,Greene,5.18589718E9,42.236268,-74.145823,(42.236268, -74.145823)
FREEHOLD FIRE DEPARTMENT,20010.0,PO BOX 128,FREEHOLD,NY,12431,20.0,Greene,5.186347746E9,42.34101,-74.02838,(42.34101, -74.02838)
GREENVILLE FIRE DEPARTMENT,20011.0,5124 RT 81 PO BOX 296,GREENVILLE,NY,12083,20.0,Greene,5.189668911E9,42.43031,-74.01438,(42.43031, -74.01438)
