Year,Region,NAICS Code,Industry,Jobs
2013.0,Western New York ,62,Health Care and Social Assistance,85406.0
2012.0,Long Island,81,Other Services (except Public Administration),50064.0
2013.0,Southern Tier ,42,Wholesale Trade,7015.0
2014.0,Mohawk Valley,54,Professional, Scientific, and Technical Services,4881.0
2013.0,Finger Lakes,11,Agriculture, Forestry, Fishing and Hunting,6532.0
2014.0,Capital Region,23,Construction,22312.0
2014.0,Long Island,11,Agriculture, Forestry, Fishing and Hunting,2590.0
2014.0,New York City,44-45,Retail Trade,343474.0
2013.0,Southern Tier ,99,Unclassified Industry,222.0
2013.0,Southern Tier ,90,Government,50759.0
2012.0,Capital Region,48-49,Transportation and Warehousing,11041.0
2012.0,New York City,53,Real Estate and Rental and Leasing,117033.0
2012.0,Finger Lakes,81,Other Services (except Public Administration),19395.0
2012.0,New York City,23,Construction,111595.0
2013.0,New York City,90,Government,532101.0
2013.0,Central New York,99,Unclassified Industry,377.0
2014.0,Long Island,31-33,Manufacturing,71543.0
2012.0,Southern Tier ,62,Health Care and Social Assistance,37013.0
2014.0,Long Island,44-45,Retail Trade,159925.0
2012.0,Finger Lakes,53,Real Estate and Rental and Leasing,7217.0
2013.0,New York City,61,Educational Services (Private),157499.0
2013.0,Capital Region,31-33,Manufacturing,31893.0
2014.0,North Country,53,Real Estate and Rental and Leasing,1448.0
2012.0,Central New York,81,Other Services (except Public Administration),11562.0
2014.0,New York City,99,Unclassified Industry,17360.0
2014.0,Mohawk Valley,71,Arts, Entertainment, and Recreation,2543.0
2014.0,North Country,90,Government,43884.0
2014.0,Mid-Hudson,48-49,Transportation and Warehousing,23124.0
2012.0,Long Island,61,Educational Services (Private),29922.0
2012.0,Mohawk Valley,54,Professional, Scientific, and Technical Services,5307.0
2012.0,Southern Tier ,11,Agriculture, Forestry, Fishing and Hunting,1432.0
2014.0,Central New York,52,Finance and Insurance,12940.0
2014.0,Central New York,21,Mining, Quarrying, and Oil and Gas Extraction,217.0
2012.0,Southern Tier ,44-45,Retail Trade,31140.0
2014.0,New York City,71,Arts, Entertainment, and Recreation,81801.0
2013.0,Finger Lakes,21,Mining, Quarrying, and Oil and Gas Extraction,568.0
2014.0,Long Island,99,Unclassified Industry,5370.0
2012.0,Mid-Hudson,61,Educational Services (Private),30401.0
2012.0,Central New York,99,Unclassified Industry,457.0
2012.0,Finger Lakes,71,Arts, Entertainment, and Recreation,8017.0
2012.0,Capital Region,71,Arts, Entertainment, and Recreation,7677.0
2012.0,Long Island,62,Health Care and Social Assistance,196851.0
2012.0,Western New York ,62,Health Care and Social Assistance,84768.0
2013.0,Central New York,11,Agriculture, Forestry, Fishing and Hunting,2161.0
2012.0,Mid-Hudson,51,Information,17780.0
2012.0,Mohawk Valley,55,Management of Companies and Enterprises,1213.0
2012.0,New York City,54,Professional, Scientific, and Technical Services,339135.0
2012.0,Mohawk Valley,48-49,Transportation and Warehousing,7516.0
2012.0,New York City,56,Administrative and Support and Waste Management and Remediation Services,191148.0
2014.0,Finger Lakes,22,Utilities,1750.0
2013.0,New York City,55,Management of Companies and Enterprises,65065.0
2012.0,Mohawk Valley,72,Accommodation and Food Services,13896.0
2012.0,Mohawk Valley,53,Real Estate and Rental and Leasing,1236.0
2014.0,Central New York,62,Health Care and Social Assistance,46599.0
2012.0,New York City,61,Educational Services (Private),153364.0
2013.0,Long Island,21,Mining, Quarrying, and Oil and Gas Extraction,186.0
2013.0,Central New York,22,Utilities,3640.0
2012.0,Southern Tier ,31-33,Manufacturing,35332.0
2014.0,Mohawk Valley,55,Management of Companies and Enterprises,1308.0
2014.0,Mid-Hudson,55,Management of Companies and Enterprises,13389.0
2012.0,Long Island,99,Unclassified Industry,5169.0
2013.0,New York City,42,Wholesale Trade,132182.0
2013.0,Capital Region,42,Wholesale Trade,14678.0
2014.0,Finger Lakes,99,Unclassified Industry,721.0
2017.0,Long Island,90,Government,189899.0
2013.0,Finger Lakes,55,Management of Companies and Enterprises,12423.0
2014.0,Central New York,81,Other Services (except Public Administration),11709.0
2013.0,Long Island,31-33,Manufacturing,73083.0
2013.0,North Country,11,Agriculture, Forestry, Fishing and Hunting,2404.0
2013.0,Capital Region,53,Real Estate and Rental and Leasing,5460.0
2013.0,Mohawk Valley,62,Health Care and Social Assistance,36183.0
2014.0,New York City,22,Utilities,15035.0
2014.0,Western New York ,99,Unclassified Industry,840.0
2014.0,Western New York ,55,Management of Companies and Enterprises,14312.0
2014.0,North Country,23,Construction,5280.0
2012.0,New York City,22,Utilities,14547.0
2014.0,Southern Tier ,31-33,Manufacturing,34069.0
2014.0,Capital Region,71,Arts, Entertainment, and Recreation,8041.0
2012.0,North Country,52,Finance and Insurance,2491.0
2012.0,Mohawk Valley,44-45,Retail Trade,22753.0
2012.0,North Country,11,Agriculture, Forestry, Fishing and Hunting,2285.0
2012.0,Capital Region,23,Construction,19514.0
2014.0,Southern Tier ,99,Unclassified Industry,277.0
2014.0,Finger Lakes,31-33,Manufacturing,64384.0
2014.0,Central New York,51,Information,4769.0
2012.0,Western New York ,23,Construction,21045.0
2013.0,Capital Region,22,Utilities,1870.0
2014.0,Capital Region,81,Other Services (except Public Administration),17879.0
2014.0,Mid-Hudson,71,Arts, Entertainment, and Recreation,18129.0
2014.0,New York City,11,Agriculture, Forestry, Fishing and Hunting,238.0
2013.0,North Country,71,Arts, Entertainment, and Recreation,1597.0
2013.0,Mid-Hudson,51,Information,16910.0
2014.0,Mohawk Valley,21,Mining, Quarrying, and Oil and Gas Extraction,281.0
2014.0,Mohawk Valley,99,Unclassified Industry,166.0
2013.0,Mohawk Valley,53,Real Estate and Rental and Leasing,1239.0
2014.0,Finger Lakes,55,Management of Companies and Enterprises,12534.0
2012.0,Mid-Hudson,56,Administrative and Support and Waste Management and Remediation Services,41703.0
2014.0,Central New York,44-45,Retail Trade,41307.0
2013.0,New York City,21,Mining, Quarrying, and Oil and Gas Extraction,42.0
2013.0,Central New York,55,Management of Companies and Enterprises,3075.0
2014.0,Western New York ,54,Professional, Scientific, and Technical Services,26746.0
2014.0,Finger Lakes,54,Professional, Scientific, and Technical Services,27632.0
2013.0,Central New York,51,Information,4745.0
2014.0,Mid-Hudson,31-33,Manufacturing,45716.0
2012.0,Finger Lakes,99,Unclassified Industry,758.0
2014.0,Capital Region,42,Wholesale Trade,14752.0
2013.0,Capital Region,51,Information,9370.0
2014.0,New York City,21,Mining, Quarrying, and Oil and Gas Extraction,35.0
2013.0,North Country,31-33,Manufacturing,10659.0
2013.0,Finger Lakes,81,Other Services (except Public Administration),19446.0
2012.0,Finger Lakes,11,Agriculture, Forestry, Fishing and Hunting,6031.0
2014.0,North Country,56,Administrative and Support and Waste Management and Remediation Services,3498.0
2013.0,Capital Region,21,Mining, Quarrying, and Oil and Gas Extraction,682.0
2014.0,Mohawk Valley,22,Utilities,510.0
2013.0,Mohawk Valley,51,Information,2517.0
2014.0,Southern Tier ,51,Information,3849.0
2012.0,Southern Tier ,51,Information,3654.0
2013.0,New York City,71,Arts, Entertainment, and Recreation,76067.0
2014.0,Long Island,51,Information,22984.0
2012.0,Mid-Hudson,54,Professional, Scientific, and Technical Services,42456.0
2012.0,Southern Tier ,52,Finance and Insurance,7387.0
2012.0,Western New York ,48-49,Transportation and Warehousing,15094.0
2012.0,Long Island,31-33,Manufacturing,73293.0
2014.0,Finger Lakes,53,Real Estate and Rental and Leasing,7911.0
2014.0,Western New York ,44-45,Retail Trade,74527.0
2014.0,Southern Tier ,48-49,Transportation and Warehousing,5073.0
2014.0,Mohawk Valley,72,Accommodation and Food Services,14798.0
2012.0,Long Island,22,Utilities,4049.0
2012.0,Western New York ,72,Accommodation and Food Services,55569.0
2013.0,Capital Region,61,Educational Services (Private),17908.0
2012.0,Central New York,11,Agriculture, Forestry, Fishing and Hunting,2099.0
2013.0,Finger Lakes,72,Accommodation and Food Services,40713.0
2013.0,Long Island,72,Accommodation and Food Services,91986.0
2012.0,Mohawk Valley,81,Other Services (except Public Administration),5457.0
2012.0,Capital Region,51,Information,9577.0
2013.0,Mohawk Valley,54,Professional, Scientific, and Technical Services,5032.0
2012.0,Capital Region,72,Accommodation and Food Services,38478.0
2012.0,North Country,72,Accommodation and Food Services,14105.0
2013.0,Southern Tier ,48-49,Transportation and Warehousing,4910.0
2014.0,New York City,51,Information,160113.0
2012.0,Mohawk Valley,56,Administrative and Support and Waste Management and Remediation Services,4774.0
2014.0,North Country,72,Accommodation and Food Services,15086.0
2014.0,Capital Region,62,Health Care and Social Assistance,74082.0
2014.0,Mohawk Valley,51,Information,2514.0
2013.0,Central New York,54,Professional, Scientific, and Technical Services,17298.0
2014.0,Long Island,22,Utilities,4169.0
2014.0,Mid-Hudson,81,Other Services (except Public Administration),39027.0
2013.0,Mid-Hudson,48-49,Transportation and Warehousing,22673.0
2013.0,Western New York ,21,Mining, Quarrying, and Oil and Gas Extraction,573.0
2014.0,Finger Lakes,71,Arts, Entertainment, and Recreation,6910.0
2013.0,Western New York ,99,Unclassified Industry,673.0
2014.0,Central New York,42,Wholesale Trade,15023.0
2013.0,New York City,48-49,Transportation and Warehousing,103710.0
2014.0,Southern Tier ,71,Arts, Entertainment, and Recreation,2669.0
2012.0,Western New York ,11,Agriculture, Forestry, Fishing and Hunting,2195.0
2014.0,North Country,21,Mining, Quarrying, and Oil and Gas Extraction,260.0
2012.0,Finger Lakes,22,Utilities,1775.0
2013.0,Mid-Hudson,56,Administrative and Support and Waste Management and Remediation Services,42885.0
2012.0,Western New York ,81,Other Services (except Public Administration),21876.0
2013.0,Western New York ,55,Management of Companies and Enterprises,14005.0
2014.0,Southern Tier ,42,Wholesale Trade,7206.0
2012.0,New York City,48-49,Transportation and Warehousing,103988.0
2012.0,Mohawk Valley,90,Government,44445.0
2014.0,Capital Region,48-49,Transportation and Warehousing,11142.0
2012.0,Capital Region,44-45,Retail Trade,58341.0
2014.0,Western New York ,72,Accommodation and Food Services,58611.0
2014.0,New York City,23,Construction,119773.0
2012.0,Central New York,52,Finance and Insurance,13313.0
2014.0,Western New York ,71,Arts, Entertainment, and Recreation,8759.0
2013.0,Mid-Hudson,52,Finance and Insurance,29247.0
2013.0,Capital Region,11,Agriculture, Forestry, Fishing and Hunting,2278.0
2012.0,Western New York ,42,Wholesale Trade,21905.0
2013.0,Capital Region,56,Administrative and Support and Waste Management and Remediation Services,18458.0
2013.0,Western New York ,90,Government,107528.0
2014.0,Finger Lakes,90,Government,86671.0
2012.0,Central New York,62,Health Care and Social Assistance,47004.0
2013.0,North Country,53,Real Estate and Rental and Leasing,1420.0
2014.0,Capital Region,99,Unclassified Industry,759.0
2013.0,Central New York,71,Arts, Entertainment, and Recreation,4796.0
2014.0,Central New York,55,Management of Companies and Enterprises,3108.0
2013.0,Mid-Hudson,44-45,Retail Trade,116188.0
2014.0,Mid-Hudson,72,Accommodation and Food Services,67264.0
2014.0,North Country,51,Information,1800.0
2012.0,North Country,56,Administrative and Support and Waste Management and Remediation Services,3330.0
2013.0,Long Island,56,Administrative and Support and Waste Management and Remediation Services,67564.0
2012.0,Capital Region,42,Wholesale Trade,14606.0
2013.0,North Country,56,Administrative and Support and Waste Management and Remediation Services,3521.0
2013.0,Southern Tier ,44-45,Retail Trade,30786.0
2012.0,Central New York,53,Real Estate and Rental and Leasing,3904.0
2013.0,Long Island,90,Government,177259.0
2012.0,Capital Region,21,Mining, Quarrying, and Oil and Gas Extraction,733.0
2012.0,North Country,90,Government,44004.0
2013.0,Long Island,71,Arts, Entertainment, and Recreation,22251.0
2014.0,Southern Tier ,11,Agriculture, Forestry, Fishing and Hunting,1539.0
2014.0,Long Island,53,Real Estate and Rental and Leasing,16287.0
2012.0,Mid-Hudson,62,Health Care and Social Assistance,143040.0
2012.0,Capital Region,56,Administrative and Support and Waste Management and Remediation Services,18313.0
2013.0,Capital Region,55,Management of Companies and Enterprises,7386.0
2013.0,Mid-Hudson,81,Other Services (except Public Administration),38547.0
2012.0,Capital Region,52,Finance and Insurance,21556.0
2012.0,Central New York,56,Administrative and Support and Waste Management and Remediation Services,14532.0
2012.0,Mohawk Valley,23,Construction,4934.0
2013.0,North Country,81,Other Services (except Public Administration),4494.0
2013.0,North Country,62,Health Care and Social Assistance,22421.0
2012.0,New York City,52,Finance and Insurance,313272.0
2014.0,Western New York ,81,Other Services (except Public Administration),22541.0
2012.0,Southern Tier ,81,Other Services (except Public Administration),8220.0
2012.0,Capital Region,54,Professional, Scientific, and Technical Services,31202.0
2013.0,North Country,99,Unclassified Industry,147.0
2014.0,Central New York,23,Construction,13712.0
2014.0,Mohawk Valley,42,Wholesale Trade,4703.0
2014.0,Mohawk Valley,31-33,Manufacturing,17018.0
2014.0,Central New York,53,Real Estate and Rental and Leasing,3787.0
2012.0,Capital Region,53,Real Estate and Rental and Leasing,5292.0
2014.0,Southern Tier ,56,Administrative and Support and Waste Management and Remediation Services,10498.0
2013.0,Mohawk Valley,23,Construction,5000.0
2013.0,Western New York ,23,Construction,20825.0
2012.0,Southern Tier ,55,Management of Companies and Enterprises,2116.0
2013.0,Capital Region,72,Accommodation and Food Services,39760.0
2012.0,Western New York ,51,Information,8433.0
2014.0,Finger Lakes,21,Mining, Quarrying, and Oil and Gas Extraction,586.0
2012.0,Western New York ,22,Utilities,1977.0
2013.0,Western New York ,71,Arts, Entertainment, and Recreation,8790.0
2013.0,Southern Tier ,72,Accommodation and Food Services,20461.0
2012.0,Long Island,90,Government,179269.0
2014.0,North Country,11,Agriculture, Forestry, Fishing and Hunting,2441.0
2012.0,North Country,23,Construction,5534.0
2014.0,Long Island,71,Arts, Entertainment, and Recreation,22692.0
2012.0,New York City,62,Health Care and Social Assistance,591686.0
2013.0,Finger Lakes,52,Finance and Insurance,15208.0
2013.0,New York City,22,Utilities,14790.0
2013.0,Southern Tier ,51,Information,3853.0
2014.0,Mid-Hudson,11,Agriculture, Forestry, Fishing and Hunting,3426.0
2013.0,Mohawk Valley,31-33,Manufacturing,17219.0
2012.0,Mohawk Valley,61,Educational Services (Private),4274.0
2014.0,Mohawk Valley,56,Administrative and Support and Waste Management and Remediation Services,4591.0
2014.0,North Country,31-33,Manufacturing,10546.0
2013.0,Southern Tier ,55,Management of Companies and Enterprises,2156.0
2012.0,New York City,44-45,Retail Trade,323406.0
2012.0,Central New York,44-45,Retail Trade,40964.0
2012.0,Mid-Hudson,48-49,Transportation and Warehousing,22115.0
2012.0,Western New York ,71,Arts, Entertainment, and Recreation,8197.0
2013.0,Central New York,44-45,Retail Trade,41090.0
2013.0,Central New York,56,Administrative and Support and Waste Management and Remediation Services,14726.0
2012.0,New York City,99,Unclassified Industry,16560.0
2013.0,Long Island,52,Finance and Insurance,52750.0
2014.0,Mid-Hudson,54,Professional, Scientific, and Technical Services,43597.0
2013.0,Finger Lakes,90,Government,86539.0
2014.0,North Country,48-49,Transportation and Warehousing,3247.0
2014.0,Finger Lakes,11,Agriculture, Forestry, Fishing and Hunting,6729.0
2014.0,Mohawk Valley,11,Agriculture, Forestry, Fishing and Hunting,796.0
2013.0,Long Island,48-49,Transportation and Warehousing,32288.0
2012.0,Finger Lakes,90,Government,86923.0
2013.0,New York City,62,Health Care and Social Assistance,611510.0
2012.0,Central New York,31-33,Manufacturing,30698.0
2013.0,Western New York ,72,Accommodation and Food Services,57422.0
2012.0,Mid-Hudson,53,Real Estate and Rental and Leasing,14769.0
2012.0,Long Island,53,Real Estate and Rental and Leasing,16380.0
2013.0,Mid-Hudson,31-33,Manufacturing,46827.0
2012.0,New York City,31-33,Manufacturing,75841.0
2014.0,Western New York ,31-33,Manufacturing,66445.0
2013.0,Long Island,62,Health Care and Social Assistance,198879.0
2014.0,Long Island,21,Mining, Quarrying, and Oil and Gas Extraction,170.0
2012.0,Southern Tier ,21,Mining, Quarrying, and Oil and Gas Extraction,1144.0
2013.0,New York City,51,Information,163627.0
2014.0,Capital Region,52,Finance and Insurance,21038.0
2014.0,Long Island,54,Professional, Scientific, and Technical Services,77705.0
2012.0,Southern Tier ,99,Unclassified Industry,266.0
2013.0,Mohawk Valley,42,Wholesale Trade,4617.0
2014.0,Western New York ,23,Construction,20979.0
2013.0,Finger Lakes,61,Educational Services (Private),26563.0
2012.0,Central New York,54,Professional, Scientific, and Technical Services,17518.0
2012.0,Southern Tier ,53,Real Estate and Rental and Leasing,2464.0
2012.0,Southern Tier ,56,Administrative and Support and Waste Management and Remediation Services,9416.0
2013.0,Central New York,21,Mining, Quarrying, and Oil and Gas Extraction,211.0
2013.0,Finger Lakes,31-33,Manufacturing,65920.0
2012.0,Western New York ,56,Administrative and Support and Waste Management and Remediation Services,34624.0
2014.0,Capital Region,90,Government,110852.0
2013.0,New York City,52,Finance and Insurance,310016.0
2014.0,New York City,90,Government,530920.0
2012.0,Long Island,55,Management of Companies and Enterprises,14520.0
2012.0,Western New York ,90,Government,108730.0
2014.0,North Country,61,Educational Services (Private),2763.0
2014.0,Long Island,81,Other Services (except Public Administration),51577.0
2012.0,Western New York ,99,Unclassified Industry,679.0
2012.0,Capital Region,22,Utilities,1838.0
2012.0,Central New York,48-49,Transportation and Warehousing,9559.0
2013.0,Central New York,61,Educational Services (Private),11503.0
2012.0,Central New York,42,Wholesale Trade,15371.0
2012.0,New York City,21,Mining, Quarrying, and Oil and Gas Extraction,42.0
2013.0,Western New York ,51,Information,8241.0
2012.0,Mohawk Valley,71,Arts, Entertainment, and Recreation,2644.0
2012.0,Central New York,22,Utilities,3551.0
2012.0,Capital Region,61,Educational Services (Private),17352.0
2014.0,Finger Lakes,44-45,Retail Trade,60288.0
2012.0,Long Island,51,Information,23120.0
2014.0,Western New York ,51,Information,8233.0
2014.0,Central New York,71,Arts, Entertainment, and Recreation,5036.0
2012.0,Capital Region,62,Health Care and Social Assistance,72979.0
2013.0,Long Island,22,Utilities,4038.0
2013.0,New York City,54,Professional, Scientific, and Technical Services,351180.0
2014.0,Finger Lakes,56,Administrative and Support and Waste Management and Remediation Services,29093.0
2014.0,New York City,42,Wholesale Trade,131498.0
2013.0,Mohawk Valley,90,Government,43336.0
2013.0,New York City,81,Other Services (except Public Administration),157211.0
2014.0,North Country,81,Other Services (except Public Administration),4419.0
2012.0,Western New York ,31-33,Manufacturing,67142.0
2012.0,Mohawk Valley,62,Health Care and Social Assistance,35924.0
2014.0,North Country,52,Finance and Insurance,2338.0
2013.0,Capital Region,23,Construction,19748.0
2013.0,Long Island,44-45,Retail Trade,156937.0
2012.0,New York City,71,Arts, Entertainment, and Recreation,72130.0
2014.0,Western New York ,52,Finance and Insurance,26559.0
2013.0,Capital Region,52,Finance and Insurance,21536.0
2014.0,North Country,71,Arts, Entertainment, and Recreation,1542.0
2012.0,Mid-Hudson,72,Accommodation and Food Services,62698.0
2013.0,North Country,72,Accommodation and Food Services,14444.0
2014.0,Mid-Hudson,56,Administrative and Support and Waste Management and Remediation Services,43225.0
2013.0,New York City,99,Unclassified Industry,15047.0
2014.0,North Country,55,Management of Companies and Enterprises,1037.0
2013.0,North Country,90,Government,43609.0
2013.0,Western New York ,31-33,Manufacturing,66467.0
2012.0,Mid-Hudson,90,Government,149048.0
2013.0,North Country,51,Information,1790.0
2013.0,Mid-Hudson,90,Government,146300.0
2012.0,Southern Tier ,54,Professional, Scientific, and Technical Services,9857.0
2014.0,Finger Lakes,62,Health Care and Social Assistance,81195.0
2013.0,Long Island,53,Real Estate and Rental and Leasing,16426.0
2014.0,Long Island,62,Health Care and Social Assistance,203611.0
2013.0,Western New York ,53,Real Estate and Rental and Leasing,7244.0
2014.0,Central New York,99,Unclassified Industry,439.0
2012.0,North Country,71,Arts, Entertainment, and Recreation,1562.0
2014.0,Southern Tier ,90,Government,50712.0
2013.0,Finger Lakes,44-45,Retail Trade,61184.0
2014.0,Long Island,52,Finance and Insurance,50108.0
2012.0,Western New York ,53,Real Estate and Rental and Leasing,7181.0
2012.0,Central New York,23,Construction,13372.0
2012.0,New York City,72,Accommodation and Food Services,288199.0
2012.0,Central New York,21,Mining, Quarrying, and Oil and Gas Extraction,215.0
2012.0,North Country,61,Educational Services (Private),2794.0
2013.0,North Country,54,Professional, Scientific, and Technical Services,2709.0
2014.0,Long Island,42,Wholesale Trade,64765.0
2013.0,Central New York,72,Accommodation and Food Services,28839.0
2014.0,Southern Tier ,22,Utilities,1292.0
2012.0,Southern Tier ,42,Wholesale Trade,7029.0
2012.0,New York City,51,Information,161534.0
2012.0,Mohawk Valley,22,Utilities,630.0
2013.0,Southern Tier ,31-33,Manufacturing,34669.0
2012.0,New York City,90,Government,531266.0
2014.0,Southern Tier ,61,Educational Services (Private),17234.0
2013.0,New York City,53,Real Estate and Rental and Leasing,119037.0
2014.0,Central New York,56,Administrative and Support and Waste Management and Remediation Services,14799.0
2013.0,Mid-Hudson,53,Real Estate and Rental and Leasing,15395.0
2014.0,New York City,48-49,Transportation and Warehousing,105265.0
2013.0,Capital Region,81,Other Services (except Public Administration),17852.0
2012.0,North Country,44-45,Retail Trade,21236.0
2012.0,Central New York,90,Government,62036.0
2012.0,Central New York,72,Accommodation and Food Services,28017.0
2014.0,Mohawk Valley,44-45,Retail Trade,22884.0
2013.0,Western New York ,56,Administrative and Support and Waste Management and Remediation Services,35347.0
2013.0,Finger Lakes,22,Utilities,1741.0
2013.0,Mohawk Valley,52,Finance and Insurance,8017.0
2013.0,Mid-Hudson,42,Wholesale Trade,30250.0
2012.0,Mid-Hudson,22,Utilities,5435.0
2012.0,Mid-Hudson,31-33,Manufacturing,47259.0
2013.0,Capital Region,54,Professional, Scientific, and Technical Services,31100.0
2012.0,Mid-Hudson,21,Mining, Quarrying, and Oil and Gas Extraction,590.0
2013.0,Finger Lakes,23,Construction,19539.0
2013.0,Central New York,23,Construction,13414.0
2012.0,North Country,53,Real Estate and Rental and Leasing,1410.0
2014.0,New York City,72,Accommodation and Food Services,317355.0
2013.0,North Country,44-45,Retail Trade,21252.0
2014.0,Long Island,61,Educational Services (Private),30210.0
2013.0,Central New York,48-49,Transportation and Warehousing,9684.0
2012.0,Southern Tier ,22,Utilities,1274.0
2015.0,Long Island,99,Unclassified Industry,6499.0
2015.0,Finger Lakes,71,Arts, Entertainment, and Recreation,9736.0
2015.0,Mohawk Valley,31,Manufacturing,17892.0
2015.0,Central New York,23,Construction,16159.0
2015.0,Mohawk Valley,53,Real Estate and Rental and Leasing,1431.0
2015.0,Southern Tier,71,Arts, Entertainment, and Recreation,3656.0
2015.0,Mid-Hudson,99,Unclassified Industry,4024.0
2015.0,North Country,42,Wholesale Trade,2996.0
2015.0,Mid-Hudson,61,Educational Services (Private),46278.0
2015.0,Western New York,42,Wholesale Trade,22881.0
2015.0,Southern Tier,11,Agriculture, Forestry, Fishing and Hunting,2910.0
2015.0,New York City,62,Health Care and Social Assistance,703232.0
2015.0,New York City,81,Other Services (except Public Administration),234622.0
2015.0,Southern Tier,55,Management of Companies and Enterprises,2548.0
2015.0,Central New York,31,Manufacturing,30792.0
2015.0,Finger Lakes,62,Health Care and Social Assistance,85118.0
2015.0,Western New York,99,Unclassified Industry,1293.0
2015.0,Mohawk Valley,48,Transportation and Warehousing,8038.0
2015.0,Mid-Hudson,53,Real Estate and Rental and Leasing,19227.0
2015.0,Mid-Hudson,23,Construction,59795.0
2015.0,Mohawk Valley,99,Unclassified Industry,328.0
2015.0,Long Island,21,Mining, Quarrying, and Oil and Gas Extraction,195.0
2015.0,Long Island,52,Finance and Insurance,57257.0
2015.0,Western New York,62,Health Care and Social Assistance,90132.0
2015.0,Western New York,23,Construction,26638.0
2015.0,Capital Region,42,Wholesale Trade,15554.0
2015.0,New York City,52,Finance and Insurance,331925.0
2015.0,Western New York,22,Utilities,2059.0
2015.0,New York City,11,Agriculture, Forestry, Fishing and Hunting,560.0
2015.0,New York City,23,Construction,176174.0
2015.0,New York City,54,Professional, Scientific, and Technical Services,427707.0
2015.0,Southern Tier,99,Unclassified Industry,382.0
2015.0,Mohawk Valley,62,Health Care and Social Assistance,38566.0
2015.0,Southern Tier,53,Real Estate and Rental and Leasing,2935.0
2015.0,Long Island,23,Construction,86265.0
2015.0,Mid-Hudson,21,Mining, Quarrying, and Oil and Gas Extraction,646.0
2015.0,Finger Lakes,81,Other Services (except Public Administration),24621.0
2015.0,Mohawk Valley,51,Information,2665.0
2015.0,Long Island,81,Other Services (except Public Administration),66226.0
2015.0,Finger Lakes,54,Professional, Scientific, and Technical Services,30158.0
2015.0,Finger Lakes,11,Agriculture, Forestry, Fishing and Hunting,11066.0
2015.0,North Country,99,Unclassified Industry,223.0
2015.0,New York City,51,Information,186987.0
2015.0,Western New York,52,Finance and Insurance,28652.0
2015.0,Central New York,51,Information,4811.0
2015.0,New York City,31,Manufacturing,81624.0
2015.0,Capital Region,51,Information,9848.0
2015.0,Finger Lakes,53,Real Estate and Rental and Leasing,8169.0
2015.0,Finger Lakes,99,Unclassified Industry,1082.0
2015.0,Central New York,61,Educational Services (Private),17009.0
2015.0,North Country,72,Accommodation and Food Services,14626.0
2015.0,Central New York,71,Arts, Entertainment, and Recreation,6216.0
2015.0,Long Island,11,Agriculture, Forestry, Fishing and Hunting,4809.0
2015.0,Finger Lakes,51,Information,9459.0
2015.0,Capital Region,53,Real Estate and Rental and Leasing,6906.0
2015.0,Capital Region,48,Transportation and Warehousing,13976.0
2015.0,Long Island,54,Professional, Scientific, and Technical Services,94816.0
2015.0,Long Island,42,Wholesale Trade,65958.0
2015.0,Finger Lakes,23,Construction,24767.0
2015.0,Finger Lakes,72,Accommodation and Food Services,41980.0
2015.0,Southern Tier,23,Construction,10358.0
2015.0,New York City,61,Educational Services (Private),226112.0
2015.0,Long Island,72,Accommodation and Food Services,97624.0
2015.0,Mohawk Valley,56,Administrative and Support and Waste Management and Remediation Services,5163.0
2015.0,Mohawk Valley,72,Accommodation and Food Services,14551.0
2015.0,New York City,56,Administrative and Support and Waste Management and Remediation Services,231492.0
2015.0,Capital Region,11,Agriculture, Forestry, Fishing and Hunting,4178.0
2015.0,Capital Region,55,Management of Companies and Enterprises,7221.0
2015.0,Western New York,61,Educational Services (Private),21234.0
2015.0,Finger Lakes,42,Wholesale Trade,17453.0
2015.0,Central New York,54,Professional, Scientific, and Technical Services,19270.0
2015.0,Capital Region,54,Professional, Scientific, and Technical Services,36010.0
2015.0,Mohawk Valley,52,Finance and Insurance,8158.0
2015.0,Mid-Hudson,62,Health Care and Social Assistance,161947.0
2015.0,Finger Lakes,52,Finance and Insurance,15933.0
2015.0,Long Island,62,Health Care and Social Assistance,220320.0
2015.0,Central New York,21,Mining, Quarrying, and Oil and Gas Extraction,239.0
2015.0,Western New York,44,Retail Trade,76695.0
2015.0,Southern Tier,51,Information,3963.0
2015.0,Mohawk Valley,81,Other Services (except Public Administration),7385.0
2015.0,Mohawk Valley,22,Utilities,560.0
2015.0,Central New York,72,Accommodation and Food Services,29745.0
2015.0,Western New York,54,Professional, Scientific, and Technical Services,31301.0
2015.0,Capital Region,44,Retail Trade,60384.0
2015.0,New York City,71,Arts, Entertainment, and Recreation,109737.0
2015.0,Finger Lakes,21,Mining, Quarrying, and Oil and Gas Extraction,699.0
2015.0,North Country,48,Transportation and Warehousing,3585.0
2015.0,Southern Tier,90,Government,52804.0
2015.0,Mohawk Valley,11,Agriculture, Forestry, Fishing and Hunting,1628.0
2015.0,Long Island,53,Real Estate and Rental and Leasing,22235.0
2015.0,New York City,42,Wholesale Trade,138371.0
2015.0,New York City,90,Government,569354.0
2015.0,Mohawk Valley,61,Educational Services (Private),7786.0
2015.0,New York City,21,Mining, Quarrying, and Oil and Gas Extraction,64.0
2015.0,Mid-Hudson,72,Accommodation and Food Services,69548.0
2015.0,Capital Region,61,Educational Services (Private),23118.0
2015.0,Capital Region,81,Other Services (except Public Administration),22846.0
2015.0,Finger Lakes,90,Government,90490.0
