CSD,BORO,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
9.0,X,0K,GEN ED,-,-,-,2404.0,110.0,21.9
9.0,X,0K,CTT,-,-,-,356.0,17.0,20.9
9.0,X,01,GEN ED,-,-,-,2538.0,111.0,22.9
9.0,X,01,CTT,-,-,-,351.0,17.0,20.6
9.0,X,02,GEN ED,-,-,-,2474.0,113.0,21.9
9.0,X,02,CTT,-,-,-,377.0,18.0,20.9
9.0,X,03,GEN ED,-,-,-,2369.0,107.0,22.1
9.0,X,03,CTT,-,-,-,312.0,14.0,22.3
9.0,X,04,GEN ED,-,-,-,2165.0,93.0,23.3
9.0,X,04,CTT,-,-,-,343.0,16.0,21.4
9.0,X,04,G&T,-,-,-,40.0,2.0,20.0
9.0,X,05,GEN ED,-,-,-,2202.0,100.0,22.0
9.0,X,05,CTT,-,-,-,234.0,10.0,23.4
9.0,X,06,GEN ED,-,-,-,2345.0,98.0,23.9
9.0,X,06,CTT,-,-,-,261.0,12.0,21.8
9.0,X,07,GEN ED,-,-,-,2233.0,87.0,25.7
9.0,X,07,CTT,-,-,-,379.0,16.0,23.7
9.0,X,08,GEN ED,-,-,-,2355.0,87.0,27.1
9.0,X,08,CTT,-,-,-,332.0,15.0,22.1
9.0,X,0K-09,SPEC ED,-,-,12:1,591.0,57.0,10.4
9.0,X,0K-09,SPEC ED,-,-,12:1:1,1170.0,111.0,10.5
9.0,X,MS Core,GEN ED,ENGLISH,MS English Core,-,7084.0,283.0,25.0
9.0,X,MS Core,GEN ED,MATH,MS Math Core,-,7341.0,291.0,25.2
9.0,X,MS Core,GEN ED,MATH,Integrated Algebra,-,348.0,13.0,26.8
9.0,X,MS Core,GEN ED,MATH,Other Math,-,71.0,3.0,23.7
9.0,X,MS Core,GEN ED,SCIENCE,MS Science Core,-,6585.0,261.0,25.2
9.0,X,MS Core,GEN ED,SCIENCE,Earth Science,-,18.0,1.0,18.0
9.0,X,MS Core,GEN ED,SCIENCE,Living Environment,-,338.0,13.0,26.0
9.0,X,MS Core,GEN ED,SCIENCE,Physics,-,80.0,4.0,20.0
9.0,X,MS Core,GEN ED,SCIENCE,Other Science,-,28.0,1.0,28.0
9.0,X,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,6569.0,263.0,25.0
9.0,X,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,199.0,8.0,24.9
9.0,X,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,195.0,8.0,24.4
9.0,X,MS Core,GEN ED,SOCIAL STUDIES,Economics,-,24.0,1.0,24.0
9.0,X,MS Core,GEN ED,SOCIAL STUDIES,Other Social Studies,-,212.0,8.0,26.5
9.0,X,MS Core,CTT,ENGLISH,MS English Core,-,954.0,42.0,22.7
9.0,X,MS Core,CTT,MATH,MS Math Core,-,771.0,35.0,22.0
9.0,X,MS Core,CTT,SCIENCE,MS Science Core,-,751.0,33.0,22.8
9.0,X,MS Core,CTT,SCIENCE,Living Environment,-,27.0,1.0,27.0
9.0,X,MS Core,CTT,SCIENCE,Other Science,-,26.0,1.0,26.0
9.0,X,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,659.0,30.0,22.0
9.0,X,MS Core,CTT,SOCIAL STUDIES,Global History & Geography,-,52.0,2.0,26.0
9.0,X,MS Core,CTT,SOCIAL STUDIES,Economics,-,27.0,1.0,27.0
9.0,X,MS Core,CTT,SOCIAL STUDIES,Other Social Studies,-,25.0,1.0,25.0
9.0,X,MS Core,SPEC ED,ENGLISH,MS English Core,-,454.0,45.0,10.1
9.0,X,MS Core,SPEC ED,MATH,MS Math Core,-,448.0,45.0,10.0
9.0,X,MS Core,SPEC ED,SCIENCE,MS Science Core,-,437.0,44.0,9.9
9.0,X,MS Core,SPEC ED,SCIENCE,Living Environment,-,21.0,2.0,10.5
9.0,X,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,451.0,45.0,10.0
9.0,X,09-12,GEN ED,ENGLISH,English 9,-,1580.0,70.0,22.6
9.0,X,09-12,GEN ED,ENGLISH,English 10,-,1582.0,65.0,24.3
9.0,X,09-12,GEN ED,ENGLISH,English 11,-,1454.0,61.0,23.8
9.0,X,09-12,GEN ED,ENGLISH,English 12,-,1687.0,71.0,23.8
9.0,X,09-12,GEN ED,ENGLISH,MS English Core,-,320.0,13.0,24.6
10.0,X,05,GEN ED,-,-,-,3391.0,128.0,26.5
9.0,X,09-12,GEN ED,ENGLISH,Other English,-,3365.0,146.0,23.0
9.0,X,09-12,GEN ED,MATH,Integrated Algebra,-,2729.0,123.0,22.2
9.0,X,09-12,GEN ED,MATH,Geometry,-,1413.0,56.0,25.2
9.0,X,09-12,GEN ED,MATH,Trigonometry,-,811.0,32.0,25.3
9.0,X,09-12,GEN ED,MATH,Math A,-,521.0,20.0,26.1
9.0,X,09-12,GEN ED,MATH,Math B,-,53.0,2.0,26.5
9.0,X,09-12,GEN ED,MATH,Other Math,-,491.0,23.0,21.3
9.0,X,09-12,GEN ED,SCIENCE,Earth Science,-,1955.0,87.0,22.5
9.0,X,09-12,GEN ED,SCIENCE,Living Environment,-,2815.0,118.0,23.9
9.0,X,09-12,GEN ED,SCIENCE,Chemistry,-,1111.0,44.0,25.3
9.0,X,09-12,GEN ED,SCIENCE,Physics,-,545.0,25.0,21.8
9.0,X,09-12,GEN ED,SCIENCE,Other Science,-,1513.0,69.0,21.9
9.0,X,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,3690.0,154.0,24.0
9.0,X,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,2043.0,80.0,25.5
9.0,X,09-12,GEN ED,SOCIAL STUDIES,Economics,-,542.0,23.0,23.6
9.0,X,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,1108.0,43.0,25.8
9.0,X,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,1134.0,46.0,24.7
9.0,X,09-12,CTT,ENGLISH,English 9,-,477.0,20.0,23.9
9.0,X,09-12,CTT,ENGLISH,English 10,-,255.0,9.0,28.3
9.0,X,09-12,CTT,ENGLISH,English 11,-,219.0,8.0,27.4
9.0,X,09-12,CTT,ENGLISH,English 12,-,197.0,8.0,24.6
9.0,X,09-12,CTT,ENGLISH,MS English Core,-,83.0,3.0,27.7
9.0,X,09-12,CTT,ENGLISH,Other English,-,472.0,23.0,20.5
9.0,X,09-12,CTT,MATH,Integrated Algebra,-,773.0,31.0,24.9
9.0,X,09-12,CTT,MATH,Geometry,-,279.0,10.0,27.9
9.0,X,09-12,CTT,MATH,Trigonometry,-,81.0,3.0,27.0
9.0,X,09-12,CTT,MATH,Math A,-,102.0,4.0,25.5
9.0,X,09-12,CTT,MATH,Other Math,-,29.0,1.0,29.0
9.0,X,09-12,CTT,SCIENCE,Earth Science,-,290.0,11.0,26.4
9.0,X,09-12,CTT,SCIENCE,Living Environment,-,908.0,32.0,28.4
9.0,X,09-12,CTT,SCIENCE,Chemistry,-,108.0,4.0,27.0
9.0,X,09-12,CTT,SCIENCE,Physics,-,51.0,2.0,25.5
9.0,X,09-12,CTT,SCIENCE,Other Science,-,570.0,21.0,27.1
9.0,X,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,909.0,35.0,26.0
9.0,X,09-12,CTT,SOCIAL STUDIES,US History & Government,-,320.0,11.0,29.1
9.0,X,09-12,CTT,SOCIAL STUDIES,Economics,-,65.0,3.0,21.7
9.0,X,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,70.0,3.0,23.3
9.0,X,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,306.0,11.0,27.8
9.0,X,09-12,SPEC ED,ENGLISH,English 9,-,168.0,14.0,12.0
9.0,X,09-12,SPEC ED,ENGLISH,English 10,-,57.0,5.0,11.4
9.0,X,09-12,SPEC ED,ENGLISH,English 11,-,15.0,1.0,15.0
9.0,X,09-12,SPEC ED,ENGLISH,English 12,-,41.0,4.0,10.3
9.0,X,09-12,SPEC ED,ENGLISH,Other English,-,231.0,20.0,11.6
9.0,X,09-12,SPEC ED,MATH,Integrated Algebra,-,232.0,17.0,13.6
9.0,X,09-12,SPEC ED,MATH,Geometry,-,10.0,1.0,10.0
9.0,X,09-12,SPEC ED,MATH,Math A,-,23.0,2.0,11.5
9.0,X,09-12,SPEC ED,SCIENCE,Earth Science,-,45.0,4.0,11.3
9.0,X,09-12,SPEC ED,SCIENCE,Living Environment,-,169.0,14.0,12.1
9.0,X,09-12,SPEC ED,SCIENCE,Other Science,-,31.0,2.0,15.5
9.0,X,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,165.0,13.0,12.7
9.0,X,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,72.0,6.0,12.0
9.0,X,09-12,SPEC ED,SOCIAL STUDIES,Economics,-,12.0,1.0,12.0
9.0,X,09-12,SPEC ED,SOCIAL STUDIES,Participation in Government,-,10.0,1.0,10.0
9.0,X,09-12,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,21.0,2.0,10.5
10.0,X,0K,GEN ED,-,-,-,3511.0,152.0,23.1
10.0,X,0K,CTT,-,-,-,566.0,26.0,21.8
10.0,X,0K,G&T,-,-,-,40.0,2.0,20.0
10.0,X,01,GEN ED,-,-,-,3604.0,154.0,23.4
10.0,X,01,CTT,-,-,-,435.0,20.0,21.8
10.0,X,01,G&T,-,-,-,50.0,3.0,16.7
10.0,X,02,GEN ED,-,-,-,3420.0,143.0,23.9
10.0,X,02,CTT,-,-,-,422.0,19.0,22.2
10.0,X,02,G&T,-,-,-,48.0,2.0,24.0
10.0,X,03,GEN ED,-,-,-,3216.0,131.0,24.5
10.0,X,03,CTT,-,-,-,401.0,18.0,22.3
10.0,X,03,G&T,-,-,-,28.0,1.0,28.0
10.0,X,04,GEN ED,-,-,-,3314.0,130.0,25.5
10.0,X,04,CTT,-,-,-,366.0,15.0,24.4
10.0,X,05,CTT,-,-,-,258.0,11.0,23.5
10.0,X,06,GEN ED,-,-,-,2843.0,104.0,27.3
10.0,X,06,CTT,-,-,-,447.0,20.0,22.4
10.0,X,06,G&T,-,-,-,166.0,6.0,27.7
10.0,X,07,GEN ED,-,-,-,2799.0,101.0,27.7
10.0,X,07,CTT,-,-,-,372.0,15.0,24.8
10.0,X,07,G&T,-,-,-,205.0,7.0,29.3
10.0,X,08,GEN ED,-,-,-,2984.0,108.0,27.6
10.0,X,08,CTT,-,-,-,328.0,14.0,23.4
10.0,X,08,G&T,-,-,-,190.0,7.0,27.1
10.0,X,0K-09,SPEC ED,-,-,12:1,736.0,66.0,11.2
10.0,X,0K-09,SPEC ED,-,-,12:1:1,1894.0,183.0,10.3
10.0,X,MS Core,GEN ED,ENGLISH,MS English Core,-,7755.0,306.0,25.3
10.0,X,MS Core,GEN ED,MATH,MS Math Core,-,7294.0,272.0,26.8
10.0,X,MS Core,GEN ED,MATH,Integrated Algebra,-,489.0,17.0,28.8
10.0,X,MS Core,GEN ED,MATH,Geometry,-,12.0,1.0,12.0
10.0,X,MS Core,GEN ED,SCIENCE,MS Science Core,-,6989.0,263.0,26.6
10.0,X,MS Core,GEN ED,SCIENCE,Earth Science,-,495.0,18.0,27.5
10.0,X,MS Core,GEN ED,SCIENCE,Living Environment,-,455.0,16.0,28.4
10.0,X,MS Core,GEN ED,SCIENCE,Chemistry,-,12.0,1.0,12.0
10.0,X,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,7503.0,278.0,27.0
10.0,X,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,68.0,3.0,22.7
10.0,X,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,160.0,6.0,26.7
10.0,X,MS Core,GEN ED,SOCIAL STUDIES,Other Social Studies,-,109.0,5.0,21.8
10.0,X,MS Core,CTT,ENGLISH,MS English Core,-,1457.0,63.0,23.1
10.0,X,MS Core,CTT,MATH,MS Math Core,-,1168.0,47.0,24.9
10.0,X,MS Core,CTT,MATH,Other Math,-,27.0,1.0,27.0
10.0,X,MS Core,CTT,SCIENCE,MS Science Core,-,1078.0,42.0,25.7
10.0,X,MS Core,CTT,SCIENCE,Living Environment,-,86.0,3.0,28.7
10.0,X,MS Core,CTT,SCIENCE,Other Science,-,27.0,1.0,27.0
10.0,X,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,1013.0,40.0,25.3
10.0,X,MS Core,CTT,SOCIAL STUDIES,Global History & Geography,-,28.0,1.0,28.0
10.0,X,MS Core,CTT,SOCIAL STUDIES,US History & Government,-,28.0,1.0,28.0
10.0,X,MS Core,CTT,SOCIAL STUDIES,Other Social Studies,-,75.0,3.0,25.0
10.0,X,MS Core,SPEC ED,ENGLISH,MS English Core,-,609.0,55.0,11.1
10.0,X,MS Core,SPEC ED,MATH,MS Math Core,-,584.0,53.0,11.0
10.0,X,MS Core,SPEC ED,MATH,Integrated Algebra,-,19.0,2.0,9.5
10.0,X,MS Core,SPEC ED,MATH,Other Math,-,12.0,1.0,12.0
10.0,X,MS Core,SPEC ED,SCIENCE,MS Science Core,-,546.0,50.0,10.9
10.0,X,MS Core,SPEC ED,SCIENCE,Earth Science,-,13.0,1.0,13.0
10.0,X,MS Core,SPEC ED,SCIENCE,Other Science,-,12.0,1.0,12.0
10.0,X,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,514.0,48.0,10.7
10.0,X,MS Core,SPEC ED,SOCIAL STUDIES,US History & Government,-,24.0,2.0,12.0
10.0,X,MS Core,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,14.0,1.0,14.0
10.0,X,09-12,GEN ED,ENGLISH,English 9,-,4566.0,181.0,25.2
10.0,X,09-12,GEN ED,ENGLISH,English 10,-,4070.0,150.0,27.1
10.0,X,09-12,GEN ED,ENGLISH,English 11,-,3898.0,152.0,25.6
10.0,X,09-12,GEN ED,ENGLISH,English 12,-,3321.0,132.0,25.2
10.0,X,09-12,GEN ED,ENGLISH,MS English Core,-,982.0,42.0,23.4
10.0,X,09-12,GEN ED,ENGLISH,Other English,-,3546.0,143.0,24.8
10.0,X,09-12,GEN ED,MATH,Integrated Algebra,-,5887.0,237.0,24.8
10.0,X,09-12,GEN ED,MATH,Geometry,-,3725.0,139.0,26.8
10.0,X,09-12,GEN ED,MATH,Trigonometry,-,2875.0,105.0,27.4
10.0,X,09-12,GEN ED,MATH,Math A,-,385.0,14.0,27.5
10.0,X,09-12,GEN ED,MATH,Math B,-,200.0,10.0,20.0
10.0,X,09-12,GEN ED,MATH,Other Math,-,2027.0,72.0,28.2
10.0,X,09-12,GEN ED,SCIENCE,Earth Science,-,4300.0,161.0,26.7
10.0,X,09-12,GEN ED,SCIENCE,Living Environment,-,6013.0,232.0,25.9
10.0,X,09-12,GEN ED,SCIENCE,Chemistry,-,3592.0,150.0,23.9
10.0,X,09-12,GEN ED,SCIENCE,Physics,-,1594.0,60.0,26.6
10.0,X,09-12,GEN ED,SCIENCE,Other Science,-,4789.0,174.0,27.5
10.0,X,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,9335.0,356.0,26.2
10.0,X,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,4819.0,184.0,26.2
10.0,X,09-12,GEN ED,SOCIAL STUDIES,Economics,-,418.0,22.0,19.0
10.0,X,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,2595.0,99.0,26.2
11.0,X,MS Core,GEN ED,SCIENCE,Other Science,-,113.0,4.0,28.3
10.0,X,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,1235.0,60.0,20.6
10.0,X,09-12,CTT,ENGLISH,English 9,-,375.0,15.0,25.0
10.0,X,09-12,CTT,ENGLISH,English 10,-,466.0,19.0,24.5
10.0,X,09-12,CTT,ENGLISH,English 11,-,242.0,9.0,26.9
10.0,X,09-12,CTT,ENGLISH,English 12,-,192.0,8.0,24.0
10.0,X,09-12,CTT,ENGLISH,MS English Core,-,99.0,4.0,24.8
10.0,X,09-12,CTT,ENGLISH,Other English,-,612.0,23.0,26.6
10.0,X,09-12,CTT,MATH,Integrated Algebra,-,941.0,38.0,24.8
10.0,X,09-12,CTT,MATH,Geometry,-,139.0,5.0,27.8
10.0,X,09-12,CTT,MATH,Trigonometry,-,158.0,6.0,26.3
10.0,X,09-12,CTT,MATH,Math A,-,97.0,3.0,32.3
10.0,X,09-12,CTT,MATH,Math B,-,30.0,1.0,30.0
10.0,X,09-12,CTT,MATH,Other Math,-,55.0,2.0,27.5
10.0,X,09-12,CTT,SCIENCE,Earth Science,-,548.0,21.0,26.1
10.0,X,09-12,CTT,SCIENCE,Living Environment,-,944.0,39.0,24.2
10.0,X,09-12,CTT,SCIENCE,Chemistry,-,69.0,3.0,23.0
10.0,X,09-12,CTT,SCIENCE,Physics,-,122.0,4.0,30.5
10.0,X,09-12,CTT,SCIENCE,Other Science,-,574.0,22.0,26.1
10.0,X,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,1291.0,48.0,26.9
10.0,X,09-12,CTT,SOCIAL STUDIES,US History & Government,-,418.0,16.0,26.1
10.0,X,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,180.0,7.0,25.7
10.0,X,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,214.0,7.0,30.6
10.0,X,09-12,SPEC ED,ENGLISH,English 9,-,355.0,27.0,13.1
10.0,X,09-12,SPEC ED,ENGLISH,English 10,-,184.0,14.0,13.1
10.0,X,09-12,SPEC ED,ENGLISH,English 11,-,192.0,15.0,12.8
10.0,X,09-12,SPEC ED,ENGLISH,English 12,-,93.0,7.0,13.3
10.0,X,09-12,SPEC ED,ENGLISH,MS English Core,-,80.0,9.0,8.9
10.0,X,09-12,SPEC ED,ENGLISH,Other English,-,39.0,3.0,13.0
10.0,X,09-12,SPEC ED,MATH,Integrated Algebra,-,337.0,26.0,13.0
10.0,X,09-12,SPEC ED,MATH,Geometry,-,49.0,4.0,12.3
10.0,X,09-12,SPEC ED,MATH,Trigonometry,-,65.0,5.0,13.0
10.0,X,09-12,SPEC ED,SCIENCE,Earth Science,-,246.0,19.0,12.9
10.0,X,09-12,SPEC ED,SCIENCE,Living Environment,-,207.0,16.0,12.9
10.0,X,09-12,SPEC ED,SCIENCE,Other Science,-,309.0,23.0,13.4
10.0,X,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,545.0,41.0,13.3
10.0,X,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,147.0,11.0,13.4
10.0,X,09-12,SPEC ED,SOCIAL STUDIES,Participation in Government,-,63.0,5.0,12.6
11.0,X,0K,GEN ED,-,-,-,2479.0,103.0,24.1
11.0,X,0K,CTT,-,-,-,394.0,18.0,21.9
11.0,X,0K,G&T,-,-,-,43.0,2.0,21.5
11.0,X,01,GEN ED,-,-,-,2637.0,112.0,23.5
11.0,X,01,CTT,-,-,-,378.0,16.0,23.6
11.0,X,01,G&T,-,-,-,54.0,2.0,27.0
11.0,X,02,GEN ED,-,-,-,2499.0,104.0,24.0
11.0,X,02,CTT,-,-,-,470.0,21.0,22.4
11.0,X,02,G&T,-,-,-,45.0,2.0,22.5
11.0,X,03,GEN ED,-,-,-,2557.0,106.0,24.1
11.0,X,03,CTT,-,-,-,432.0,18.0,24.0
11.0,X,03,G&T,-,-,-,51.0,2.0,25.5
11.0,X,04,GEN ED,-,-,-,2531.0,101.0,25.1
11.0,X,04,CTT,-,-,-,430.0,18.0,23.9
11.0,X,04,G&T,-,-,-,50.0,2.0,25.0
11.0,X,05,GEN ED,-,-,-,2558.0,99.0,25.8
11.0,X,05,CTT,-,-,-,389.0,14.0,27.8
11.0,X,05,G&T,-,-,-,18.0,1.0,18.0
11.0,X,06,GEN ED,-,-,-,2226.0,80.0,27.8
11.0,X,06,CTT,-,-,-,546.0,20.0,27.3
11.0,X,07,GEN ED,-,-,-,2290.0,81.0,28.3
11.0,X,07,CTT,-,-,-,472.0,18.0,26.2
11.0,X,08,GEN ED,-,-,-,2429.0,85.0,28.6
11.0,X,08,CTT,-,-,-,421.0,15.0,28.1
11.0,X,0K-09,SPEC ED,-,-,12:1,883.0,79.0,11.2
11.0,X,0K-09,SPEC ED,-,-,12:1:1,927.0,95.0,9.8
11.0,X,MS Core,GEN ED,ENGLISH,MS English Core,-,8143.0,298.0,27.3
11.0,X,MS Core,GEN ED,MATH,MS Math Core,-,7035.0,247.0,28.5
11.0,X,MS Core,GEN ED,MATH,Integrated Algebra,-,314.0,11.0,28.5
11.0,X,MS Core,GEN ED,SCIENCE,MS Science Core,-,6278.0,223.0,28.2
11.0,X,MS Core,GEN ED,SCIENCE,Earth Science,-,150.0,5.0,30.0
11.0,X,MS Core,GEN ED,SCIENCE,Living Environment,-,475.0,16.0,29.7
11.0,X,MS Core,GEN ED,SCIENCE,Physics,-,60.0,2.0,30.0
11.0,X,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,6992.0,248.0,28.2
11.0,X,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,115.0,4.0,28.8
11.0,X,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,88.0,3.0,29.3
11.0,X,MS Core,GEN ED,SOCIAL STUDIES,Other Social Studies,-,282.0,11.0,25.6
11.0,X,MS Core,CTT,ENGLISH,MS English Core,-,1374.0,47.0,29.2
11.0,X,MS Core,CTT,MATH,MS Math Core,-,1193.0,40.0,29.8
11.0,X,MS Core,CTT,SCIENCE,MS Science Core,-,1117.0,38.0,29.4
11.0,X,MS Core,CTT,SCIENCE,Living Environment,-,29.0,1.0,29.0
11.0,X,MS Core,CTT,SCIENCE,Other Science,-,28.0,1.0,28.0
11.0,X,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,1188.0,41.0,29.0
11.0,X,MS Core,CTT,SOCIAL STUDIES,Global History & Geography,-,31.0,1.0,31.0
11.0,X,MS Core,CTT,SOCIAL STUDIES,Other Social Studies,-,46.0,2.0,23.0
11.0,X,MS Core,SPEC ED,ENGLISH,MS English Core,-,459.0,37.0,12.4
11.0,X,MS Core,SPEC ED,MATH,MS Math Core,-,499.0,41.0,12.2
11.0,X,MS Core,SPEC ED,SCIENCE,MS Science Core,-,452.0,38.0,11.9
11.0,X,MS Core,SPEC ED,SCIENCE,Living Environment,-,11.0,1.0,11.0
11.0,X,MS Core,SPEC ED,SCIENCE,Other Science,-,12.0,1.0,12.0
11.0,X,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,489.0,40.0,12.2
11.0,X,MS Core,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,23.0,2.0,11.5
11.0,X,09-12,GEN ED,ENGLISH,English 9,-,1618.0,68.0,23.8
11.0,X,09-12,GEN ED,ENGLISH,English 10,-,1766.0,69.0,25.6
11.0,X,09-12,GEN ED,ENGLISH,English 11,-,1656.0,65.0,25.5
11.0,X,09-12,GEN ED,ENGLISH,English 12,-,1443.0,56.0,25.8
11.0,X,09-12,GEN ED,ENGLISH,MS English Core,-,149.0,9.0,16.6
11.0,X,09-12,GEN ED,ENGLISH,Other English,-,3663.0,138.0,26.5
11.0,X,09-12,GEN ED,MATH,Integrated Algebra,-,3195.0,130.0,24.6
11.0,X,09-12,GEN ED,MATH,Geometry,-,2027.0,71.0,28.5
11.0,X,09-12,GEN ED,MATH,Trigonometry,-,838.0,34.0,24.6
11.0,X,09-12,GEN ED,MATH,Math A,-,14.0,1.0,14.0
11.0,X,09-12,GEN ED,MATH,Math B,-,61.0,3.0,20.3
11.0,X,09-12,GEN ED,MATH,Other Math,-,799.0,31.0,25.8
11.0,X,09-12,GEN ED,SCIENCE,Earth Science,-,1790.0,63.0,28.4
11.0,X,09-12,GEN ED,SCIENCE,Living Environment,-,3121.0,125.0,25.0
11.0,X,09-12,GEN ED,SCIENCE,Chemistry,-,1268.0,47.0,27.0
11.0,X,09-12,GEN ED,SCIENCE,Physics,-,489.0,19.0,25.7
11.0,X,09-12,GEN ED,SCIENCE,Other Science,-,1947.0,82.0,23.7
11.0,X,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,4525.0,168.0,26.9
11.0,X,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,3455.0,123.0,28.1
11.0,X,09-12,GEN ED,SOCIAL STUDIES,Economics,-,270.0,11.0,24.5
11.0,X,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,1270.0,48.0,26.5
11.0,X,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,841.0,37.0,22.7
11.0,X,09-12,CTT,ENGLISH,English 9,-,429.0,16.0,26.8
11.0,X,09-12,CTT,ENGLISH,English 10,-,399.0,14.0,28.5
11.0,X,09-12,CTT,ENGLISH,English 11,-,298.0,10.0,29.8
11.0,X,09-12,CTT,ENGLISH,English 12,-,166.0,7.0,23.7
11.0,X,09-12,CTT,ENGLISH,MS English Core,-,153.0,4.0,38.3
11.0,X,09-12,CTT,ENGLISH,Other English,-,796.0,30.0,26.5
11.0,X,09-12,CTT,MATH,Integrated Algebra,-,1007.0,37.0,27.2
11.0,X,09-12,CTT,MATH,Geometry,-,210.0,8.0,26.3
11.0,X,09-12,CTT,MATH,Trigonometry,-,84.0,4.0,21.0
11.0,X,09-12,CTT,MATH,Math A,-,66.0,3.0,22.0
11.0,X,09-12,CTT,SCIENCE,Earth Science,-,471.0,15.0,31.4
11.0,X,09-12,CTT,SCIENCE,Living Environment,-,851.0,29.0,29.3
11.0,X,09-12,CTT,SCIENCE,Chemistry,-,34.0,1.0,34.0
11.0,X,09-12,CTT,SCIENCE,Physics,-,90.0,3.0,30.0
11.0,X,09-12,CTT,SCIENCE,Other Science,-,554.0,22.0,25.2
11.0,X,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,1068.0,37.0,28.9
11.0,X,09-12,CTT,SOCIAL STUDIES,US History & Government,-,417.0,14.0,29.8
11.0,X,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,256.0,9.0,28.4
11.0,X,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,385.0,13.0,29.6
11.0,X,09-12,SPEC ED,ENGLISH,English 9,-,134.0,11.0,12.2
11.0,X,09-12,SPEC ED,ENGLISH,English 10,-,113.0,9.0,12.6
11.0,X,09-12,SPEC ED,ENGLISH,English 11,-,88.0,8.0,11.0
11.0,X,09-12,SPEC ED,ENGLISH,English 12,-,41.0,3.0,13.7
11.0,X,09-12,SPEC ED,ENGLISH,MS English Core,-,166.0,14.0,11.9
11.0,X,09-12,SPEC ED,ENGLISH,Other English,-,276.0,20.0,13.8
11.0,X,09-12,SPEC ED,MATH,Integrated Algebra,-,421.0,33.0,12.8
11.0,X,09-12,SPEC ED,MATH,Geometry,-,19.0,2.0,9.5
11.0,X,09-12,SPEC ED,MATH,Other Math,-,29.0,3.0,9.7
11.0,X,09-12,SPEC ED,SCIENCE,Earth Science,-,136.0,10.0,13.6
11.0,X,09-12,SPEC ED,SCIENCE,Living Environment,-,313.0,23.0,13.6
11.0,X,09-12,SPEC ED,SCIENCE,Other Science,-,92.0,8.0,11.5
11.0,X,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,479.0,37.0,12.9
11.0,X,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,273.0,18.0,15.2
11.0,X,09-12,SPEC ED,SOCIAL STUDIES,Participation in Government,-,32.0,3.0,10.7
11.0,X,09-12,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,13.0,1.0,13.0
12.0,X,0K,GEN ED,-,-,-,1577.0,70.0,22.5
