Vaccine/Exemption,Dose,Geography Type,Geography,School Year,Estimate (%),Population Size,Percent Surveyed,Footnotes,Number of Exemptions,Survey Type
"DTP, DTaP, or DT",,States,Virginia,2015-16,98.3,100074.0,4.3,†.§,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Washington,2015-16,91.1,86492.0,97.3,§,,Census
"DTP, DTaP, or DT",,States,West Virginia,2015-16,94.8,21333.0,87.6,,,Voluntary response
"DTP, DTaP, or DT",,States,Wisconsin,2015-16,96.9,70220.0,2.0,‡.§,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Wyoming,2015-16,96.6,7825.0,74.0,§.¶,,Voluntary response
"DTP, DTaP, or DT",,States,Alabama,2016-17,93.8,58394.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Alaska,2016-17,89.1,9815.0,7.6,†.§,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Arizona,2016-17,93.9,83627.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Arkansas,2016-17,89.2,39666.0,75.9,‡,,Voluntary response
"DTP, DTaP, or DT",,States,California,2016-17,96.9,575305.0,97.8,‡,,Census
"DTP, DTaP, or DT",,States,Colorado,2016-17,86.8,64440.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Connecticut,2016-17,96.7,39002.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Delaware,2016-17,98.7,11490.0,9.3,,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Florida,2016-17,94.1,224463.0,100.0,≥.*.§,,Census
"DTP, DTaP, or DT",,States,Georgia,2016-17,93.3,136165.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Hawaii,2016-17,93.3,16325.0,6.7,,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Idaho,2016-17,89.8,22589.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Illinois,2016-17,95.0,151309.0,97.7,,,Census
"DTP, DTaP, or DT",,States,Indiana,2016-17,92.1,83263.0,80.3,,,Voluntary response
"DTP, DTaP, or DT",,States,Iowa,2016-17,92.6,39587.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Kansas,2016-17,88.7,38298.0,22.9,†.‡.§,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Kentucky,2016-17,92.5,51487.0,92.9,‡.§,,Census
"DTP, DTaP, or DT",,States,Louisiana,2016-17,98.0,55257.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Maine,2016-17,96.3,13834.0,90.1,,,Voluntary response (public). census (private)
"DTP, DTaP, or DT",,States,Maryland,2016-17,98.2,71467.0,98.1,‡,,Census
"DTP, DTaP, or DT",,States,Massachusetts,2016-17,96.1,70109.0,100.0,*.‡,,Census
"DTP, DTaP, or DT",,States,Michigan,2016-17,95.8,118777.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Minnesota,2016-17,93.2,69140.0,96.7,§,,Census
"DTP, DTaP, or DT",,States,Mississippi,2016-17,99.4,40509.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Missouri,2016-17,95.5,73355.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Montana,2016-17,93.9,11956.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Nebraska,2016-17,97.2,27117.0,100.0,*.‡.‡‡,,Census
"DTP, DTaP, or DT",,States,Nevada,2016-17,90.0,36885.0,3.7,,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,New Hampshire,2016-17,91.5,12145.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,New Jersey,2016-17,96.5,109577.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,New Mexico,2016-17,94.8,27119.0,4.5,,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,New York,2016-17,96.9,227050.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,North Carolina,2016-17,96.1,126454.0,88.2,‡.§,,Voluntary response
"DTP, DTaP, or DT",,States,North Dakota,2016-17,93.8,9799.0,98.7,,,Census
"DTP, DTaP, or DT",,States,Ohio,2016-17,92.4,137542.0,95.5,,,Census
"DTP, DTaP, or DT",,States,Oklahoma,2016-17,,52184.0,0.0,‡.¶,,Census
"DTP, DTaP, or DT",,States,Oregon,2016-17,93.2,45705.0,100.0,*.‡,,Census
"DTP, DTaP, or DT",,States,Pennsylvania,2016-17,NReq,143888.0,84.4,||,,Voluntary response
"DTP, DTaP, or DT",,National,United States,2016-17,95.2,,,,,
"DTP, DTaP, or DT",,States,Rhode Island,2016-17,95.6,11100.0,98.4,‡.§,,Census
"DTP, DTaP, or DT",,States,South Carolina,2016-17,96.2,59177.0,8.9,,,Stratified 1-stage cluster sample
"DTP, DTaP, or DT",,States,South Dakota,2016-17,96.4,12106.0,99.8,,,Census
"DTP, DTaP, or DT",,States,Tennessee,2016-17,96.8,78169.0,100.0,*.§,,Census
"DTP, DTaP, or DT",,States,Texas,2016-17,97.2,389999.0,99.0,‡.§,,Census
"DTP, DTaP, or DT",,National,U.S. Median,2016-17,94.8,,,,,
"DTP, DTaP, or DT",,States,Utah,2016-17,93.7,49073.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Vermont,2016-17,93.5,6344.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Virginia,2016-17,98.2,102357.0,4.0,†,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Washington,2016-17,90.8,87142.0,98.2,§,,Census
"DTP, DTaP, or DT",,States,West Virginia,2016-17,95.7,28666.0,66.5,§,,Census (public). voluntary response (private)
"DTP, DTaP, or DT",,States,Wisconsin,2016-17,96.6,67607.0,2.2,†.‡.§,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Wyoming,2016-17,,,,,,Not conducted
"DTP, DTaP, or DT",,States,Alabama,2017-18,92.7,57245.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Alaska,2017-18,91.1,9692.0,84.4,†.§,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Arizona,2017-18,93.5,81710.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Arkansas,2017-18,91.3,39630.0,95.4,‡,,Census 
"DTP, DTaP, or DT",,States,California,2017-18,96.4,574702.0,100.0,‡,,Census
"DTP, DTaP, or DT",,States,Colorado,2017-18,88.6,65718.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Connecticut,2017-18,96.5,39174.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Delaware,2017-18,96.9,10988.0,9.5,,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Florida,2017-18,93.7,222397.0,100.0,≥.*.§,,Census
"DTP, DTaP, or DT",,States,Georgia,2017-18,93.4,131459.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Hawaii,2017-18,95.4,16325.0,6.6,,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Idaho,2017-18,89.3,22553.0,99.0,,,Census
"DTP, DTaP, or DT",,States,Illinois,2017-18,95.3,144858.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Indiana,2017-18,94.3,84296.0,96.4,,,Voluntary Response
"DTP, DTaP, or DT",,States,Iowa,2017-18,93.0,39632.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Kansas,2017-18,89.5,38484.0,23.1,†.‡.§,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Kentucky,2017-18,93.7,55152.0,99.0,‡.§,,Census
"DTP, DTaP, or DT",,States,Louisiana,2017-18,97.7,58277.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Maine,2017-18,95.3,13255.0,95.9,,,Census 
"DTP, DTaP, or DT",,States,Maryland,2017-18,97.9,68528.0,98.5,‡,,Census
"DTP, DTaP, or DT",,States,Massachusetts,2017-18,96.4,63377.0,100.0,*.‡,,Census
"DTP, DTaP, or DT",,States,Michigan,2017-18,95.3,119028.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Minnesota,2017-18,92.8,69807.0,98.1,§,,Census
"DTP, DTaP, or DT",,States,Mississippi,2017-18,99.4,39284.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Missouri,2017-18,95.3,73113.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Montana,2017-18,92.6,12188.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Nebraska,2017-18,96.7,26313.0,98.6,‡.‡‡,,Census
"DTP, DTaP, or DT",,States,Nevada,2017-18,92.6,37178.0,4.8,,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,New Hampshire,2017-18,92.4,12165.0,100.0,≥,,Census
"DTP, DTaP, or DT",,States,New Jersey,2017-18,96.1,107630.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,New Mexico,2017-18,94.9,26896.0,99.6,,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,New York,2017-18,96.9,226456.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,North Carolina,2017-18,96.8,127197.0,90.9,‡.§,,Census
"DTP, DTaP, or DT",,States,North Dakota,2017-18,94.1,10365.0,99.4,,,Census
"DTP, DTaP, or DT",,States,Ohio,2017-18,92.1,138753.0,94.9,,,Census
"DTP, DTaP, or DT",,States,Oklahoma,2017-18,93.9,53898.0,92.1,§,,Census (public). voluntary response (private)
"DTP, DTaP, or DT",,States,Oregon,2017-18,92.4,45818.0,100.0,*.‡,,Census
"DTP, DTaP, or DT",,States,Pennsylvania,2017-18,97.0,141571.0,93.3,,,Voluntary response
"DTP, DTaP, or DT",,National,United States,2017-18,95.2,,,,,
"DTP, DTaP, or DT",,States,Rhode Island,2017-18,96.2,11025.0,100.0,*.‡.§,,Census
"DTP, DTaP, or DT",,States,South Carolina,2017-18,96.6,58458.0,27.0,,,Stratified 1-stage cluster sample
"DTP, DTaP, or DT",,States,South Dakota,2017-18,95.9,12125.0,99.9,,,Census
"DTP, DTaP, or DT",,States,Tennessee,2017-18,96.7,78743.0,100.0,*.§,,Census
"DTP, DTaP, or DT",,States,Texas,2017-18,96.8,387981.0,99.4,‡.§,,Census
"DTP, DTaP, or DT",,National,U.S. Median,2017-18,95.3,,,,,
"DTP, DTaP, or DT",,States,Utah,2017-18,93.2,48827.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Vermont,2017-18,94.0,6255.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Virginia,2017-18,98.2,100581.0,4.4,†,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Washington,2017-18,90.7,85118.0,96.9,§,,Census
"DTP, DTaP, or DT",,States,West Virginia,2017-18,98.0,19519.0,79.3,¶,,Voluntary response
"DTP, DTaP, or DT",,States,Wisconsin,2017-18,96.5,66178.0,2.3,†.‡.§,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Wyoming,2017-18,,,,,,Not conducted 
"DTP, DTaP, or DT",,States,Alabama,2018-19,90.6,77739.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Arizona,2018-19,92.7,79981.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Arkansas,2018-19,93.4,39257.0,95.4,‡,,Census (public). voluntary response (private)
"DTP, DTaP, or DT",,States,California,2018-19,96.0,568947.0,97.7,‡,,Census
"DTP, DTaP, or DT",,States,Colorado,2018-19,90.3,64191.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Connecticut,2018-19,96.1,38230.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Delaware,2018-19,97.8,10798.0,9.5,,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Florida,2018-19,93.8,224641.0,100.0,≥.*.§,,Census
"DTP, DTaP, or DT",,States,Georgia,2018-19,93.6,131275.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Hawaii,2018-19,92.4,16051.0,6.7,,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Idaho,2018-19,88.8,22995.0,99.0,,,Census
"DTP, DTaP, or DT",,States,Illinois,2018-19,94.7,143876.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Indiana,2018-19,94.4,82324.0,96.4,,,Census
"DTP, DTaP, or DT",,States,Iowa,2018-19,93.3,40624.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Kansas,2018-19,91.0,37838.0,23.1,†.‡.§,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Kentucky,2018-19,94.1,55587.0,99.0,‡.§,,Census
"DTP, DTaP, or DT",,States,Louisiana,2018-19,97.7,56203.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Maine,2018-19,94.5,13419.0,95.9,,,Census
"DTP, DTaP, or DT",,States,Maryland,2018-19,97.7,71431.0,100.0,‡,,Census
"DTP, DTaP, or DT",,States,Massachusetts,2018-19,97.1,65279.0,100.0,*.‡,,Census
"DTP, DTaP, or DT",,States,Michigan,2018-19,94.8,118632.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Minnesota,2018-19,92.5,70085.0,98.1,§,,Census
"DTP, DTaP, or DT",,States,Mississippi,2018-19,99.2,37775.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Missouri,2018-19,94.8,72687.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Montana,2018-19,93.0,12480.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Nebraska,2018-19,97.4,26925.0,98.6,‡.‡‡,,Census
"DTP, DTaP, or DT",,States,Nevada,2018-19,95.0,37971.0,4.8,,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,New Hampshire,2018-19,91.8,12421.0,100.0,≥,,Census
"DTP, DTaP, or DT",,States,New Jersey,2018-19,95.0,109161.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,New Mexico,2018-19,96.0,25269.0,99.6,,,Census
"DTP, DTaP, or DT",,States,New York,2018-19,96.7,220495.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,North Carolina,2018-19,93.2,124343.0,90.9,‡.§,,Census (public). voluntary response (private)
"DTP, DTaP, or DT",,States,North Dakota,2018-19,93.6,10382.0,99.4,,,Census
"DTP, DTaP, or DT",,States,Ohio,2018-19,91.9,139679.0,94.9,,,Census (public). voluntary response (private)
"DTP, DTaP, or DT",,States,Oklahoma,2018-19,92.7,54806.0,92.1,§,,Census (public). voluntary response (private)
"DTP, DTaP, or DT",,States,Oregon,2018-19,92.4,45870.0,100.0,*.‡,,Census
"DTP, DTaP, or DT",,States,Pennsylvania,2018-19,96.6,143560.0,93.3,,,Census (public). voluntary response (private)
"DTP, DTaP, or DT",,National,United States,2018-19,94.9,,,,,
"DTP, DTaP, or DT",,States,Rhode Island,2018-19,97.4,10964.0,100.0,*.‡.§,,Census
"DTP, DTaP, or DT",,States,South Carolina,2018-19,94.6,58442.0,27.0,,,Stratified 1-stage cluster sample
"DTP, DTaP, or DT",,States,South Dakota,2018-19,95.8,12062.0,99.9,,,Census
"DTP, DTaP, or DT",,States,Tennessee,2018-19,96.2,78630.0,100.0,*.§,,Census
"DTP, DTaP, or DT",,States,Texas,2018-19,96.7,390034.0,99.4,‡.§,,Census
"DTP, DTaP, or DT",,National,U.S. Median,2018-19,94.6,,,,,
"DTP, DTaP, or DT",,States,Utah,2018-19,92.4,50179.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Vermont,2018-19,92.9,6126.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Virginia,2018-19,98.0,100394.0,4.4,†,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Washington,2018-19,90.8,87510.0,96.9,§,,Census
"DTP, DTaP, or DT",,States,West Virginia,2018-19,98.7,19442.0,79.3,¶,,Voluntary response
"DTP, DTaP, or DT",,States,Wisconsin,2018-19,96.2,66344.0,2.3,†.‡.§,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Wyoming,2018-19,95.3,7734.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Alabama,2019-20,86.6,59477.0,94.9,≥,,Census
"DTP, DTaP, or DT",,States,Alaska,2019-20,NR,10381.0,82.7,§,,Voluntary response
"DTP, DTaP, or DT",,States,Arizona,2019-20,92.6,83976.0,98.7,,,Census (public). voluntary response (private)
"DTP, DTaP, or DT",,States,Arkansas,2019-20,93.2,39510.0,96.2,‡,,Census (public). voluntary response (private)
"DTP, DTaP, or DT",,States,California,2019-20,96.2,566155.0,97.9,‡,,Census
"DTP, DTaP, or DT",,States,Colorado,2019-20,92.8,69088.0,98.2,,,Census
"DTP, DTaP, or DT",,States,Connecticut,2019-20,96.2,38888.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Delaware,2019-20,,,,,,Not Conducted
"DTP, DTaP, or DT",,States,District of Columbia,2019-20,,,,,,Not Conducted
"DTP, DTaP, or DT",,States,Florida,2019-20,93.5,228298.0,100.0,≥.*.§,,Census
"DTP, DTaP, or DT",,States,Georgia,2019-20,93.1,130102.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Hawaii,2019-20,91.1,15695.0,8.9,,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Idaho,2019-20,89.0,23301.0,98.5,,,Census
"DTP, DTaP, or DT",,States,Illinois,2019-20,96.5,145891.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Indiana,2019-20,84.0,88253.0,65.7,,,Voluntary response
"DTP, DTaP, or DT",,States,Iowa,2019-20,93.2,40812.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Kansas,2019-20,89.7,37865.0,34.3,†.‡.§,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Kentucky,2019-20,93.3,59233.0,92.9,‡.§,,Census
"DTP, DTaP, or DT",,States,Louisiana,2019-20,97.2,59685.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Maine,2019-20,94.1,13450.0,99.6,,,Census 
"DTP, DTaP, or DT",,States,Maryland,2019-20,98.2,72443.0,98.3,‡,,Census (public). voluntary response (private)
"DTP, DTaP, or DT",,States,Massachusetts,2019-20,97.2,66756.0,100.0,*.‡,,Census
"DTP, DTaP, or DT",,States,Michigan,2019-20,94.7,120565.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Minnesota,2019-20,92.3,71223.0,98.7,§,,Census
"DTP, DTaP, or DT",,States,Mississippi,2019-20,99.1,37870.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,Missouri,2019-20,94.5,72324.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Montana,2019-20,93.2,12501.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Nebraska,2019-20,96.9,26893.0,96.7,‡.‡‡,,Census
"DTP, DTaP, or DT",,States,Nevada,2019-20,94.0,37724.0,99.9,,,Census
"DTP, DTaP, or DT",,States,New Hampshire,2019-20,91.5,12447.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,New Jersey,2019-20,95.9,107900.0,100.0,≥.*,,Census
"DTP, DTaP, or DT",,States,New Mexico,2019-20,96.7,23087.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,New York,2019-20,97.8,234165.0,99.9,,,Census
"DTP, DTaP, or DT",,States,North Carolina,2019-20,95.5,124548.0,97.8,‡.§,,Census
"DTP, DTaP, or DT",,States,North Dakota,2019-20,94.4,10587.0,99.5,,,Census
"DTP, DTaP, or DT",,States,Ohio,2019-20,92.3,139103.0,98.8,,,Census
"DTP, DTaP, or DT",,States,Oklahoma,2019-20,93.9,55348.0,85.6,§,,Voluntary response
"DTP, DTaP, or DT",,States,Oregon,2019-20,92.6,45959.0,100.0,*.‡,,Census
"DTP, DTaP, or DT",,States,Pennsylvania,2019-20,96.8,140197.0,98.8,,,Census
"DTP, DTaP, or DT",,National,United States,2019-20,94.9,,,,,
"DTP, DTaP, or DT",,States,Rhode Island,2019-20,97.4,11219.0,98.5,*.‡.§,,Census
"DTP, DTaP, or DT",,States,South Carolina,2019-20,95.2,65938.0,27.5,†,,Stratified 1-stage cluster sample
"DTP, DTaP, or DT",,States,South Dakota,2019-20,95.9,12367.0,99.8,,,Census
"DTP, DTaP, or DT",,States,Tennessee,2019-20,96.4,80595.0,100.0,*.§,,Census
"DTP, DTaP, or DT",,States,Texas,2019-20,96.6,398680.0,99.6,‡.§,,Census
"DTP, DTaP, or DT",,National,U.S. Median,2019-20,94.4,,,,,
"DTP, DTaP, or DT",,States,Utah,2019-20,92.2,49208.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Vermont,2019-20,94.1,6293.0,100.0,*,,Census
"DTP, DTaP, or DT",,States,Virginia,2019-20,97.6,99399.0,1.2,†,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Washington,2019-20,92.8,87757.0,91.9,§,,Census
"DTP, DTaP, or DT",,States,West Virginia,2019-20,98.8,17114.0,49.6,¶,,Voluntary response
"DTP, DTaP, or DT",,States,Wisconsin,2019-20,94.5,67391.0,2.6,†.‡.§,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Wyoming,2019-20,94.4,7913.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Alabama,2009-10,94.0,75358.0,100.0,≥. *. **,,Census
"Varicella, unknown disease history",1 Dose,States,Alaska,2009-10,,9641.0,76.4,,,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Arizona,2009-10,97.5,89287.0,93.9,,,Census
"Varicella, unknown disease history",1 Dose,States,Arkansas,2009-10,98.3,34733.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,California,2009-10,96.6,507191.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Colorado,2009-10,,,,,,Not conducted
"Varicella, unknown disease history",1 Dose,States,Connecticut,2009-10,98.4,46158.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Delaware,2009-10,,11327.0,9.2,,,Random sample
"Varicella, unknown disease history",1 Dose,States,District of Columbia,2009-10,,6092.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Florida,2009-10,,218630.0,100.0,* .§,,Census
"Varicella, unknown disease history",1 Dose,States,Georgia,2009-10,,141949.0,1.2,,,Random sample
"Varicella, unknown disease history",1 Dose,States,Hawaii,2009-10,,18427.0,6.4,,,Random sample
"Varicella, unknown disease history",1 Dose,States,Idaho,2009-10,NReq,22624.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Illinois,2009-10,96.5,165845.0,100.0,,,Census
"Varicella, unknown disease history",1 Dose,States,Indiana,2009-10,96.0,84390.0,94.7,,,Census
"Varicella, unknown disease history",1 Dose,States,Iowa,2009-10,,42698.0,100.0,≥,,Census
"Varicella, unknown disease history",1 Dose,States,Kansas,2009-10,,39073.0,39.1,†,,Stratified 1-stage sample  (Public);  Census (Private)
"Varicella, unknown disease history",1 Dose,States,Kentucky,2009-10,,56526.0,92.9,,,Census
"Varicella, unknown disease history",1 Dose,States,Louisiana,2009-10,,53846.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Maine,2009-10,95.9,14162.0,75.3,,,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Maryland,2009-10,99.5,75061.0,75.0,,,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Massachusetts,2009-10,98.6,74476.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Michigan,2009-10,97.3,129810.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Minnesota,2009-10,,70653.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Mississippi,2009-10,,46922.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Missouri,2009-10,98.8,75958.0,3.0,,,Random sample
"Varicella, unknown disease history",1 Dose,States,Montana,2009-10,NReq,12335.0,98.8,,,Census
"Varicella, unknown disease history",1 Dose,States,Nebraska,2009-10,97.2,29607.0,96.4,,,Census
"Varicella, unknown disease history",1 Dose,States,Nevada,2009-10,76.5,35209.0,5.6,,,Random sample
"Varicella, unknown disease history",1 Dose,States,New Hampshire,2009-10,,,,,,Not conducted
"Varicella, unknown disease history",1 Dose,States,New Jersey,2009-10,,118347.0,95.1,,,Census
"Varicella, unknown disease history",1 Dose,States,New Mexico,2009-10,,26318.0,2.2,,,Random sample
"Varicella, unknown disease history",1 Dose,States,New York,2009-10,98.4,229273.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,North Carolina,2009-10,,116087.0,96.0,,,Census
"Varicella, unknown disease history",1 Dose,States,North Dakota,2009-10,,8323.0,6.0,¶,,Random sample
"Varicella, unknown disease history",1 Dose,States,Ohio,2009-10,91.2,131137.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Oklahoma,2009-10,99.7,51128.0,88.9,,,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Oregon,2009-10,95.2,44676.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Pennsylvania,2009-10,,149656.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,National,United States,2009-10,96.4,,,,,
"Varicella, unknown disease history",1 Dose,States,Rhode Island,2009-10,,11818.0,11.6,,,Random sample
"Varicella, unknown disease history",1 Dose,States,South Carolina,2009-10,91.0,53725.0,10.2,,,Random sample
"Varicella, unknown disease history",1 Dose,States,South Dakota,2009-10,,11499.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Tennessee,2009-10,97.4,90811.0,88.1,≥,,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Texas,2009-10,,381425.0,98.3,,,Census
"Varicella, unknown disease history",1 Dose,National,U.S. Median,2009-10,97.4,,,,,
"Varicella, unknown disease history",1 Dose,States,Utah,2009-10,99.3,49957.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Vermont,2009-10,,6713.0,100.0,*,,Census
"Varicella, unknown disease history",1 Dose,States,Virginia,2009-10,98.3,100891.0,4.4,,,Random sample
"Varicella, unknown disease history",1 Dose,States,Washington,2009-10,,81511.0,93.3,,,Census
"Varicella, unknown disease history",1 Dose,States,West Virginia,2009-10,,22730.0,86.7,,,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Wisconsin,2009-10,,61095.0,2.3,¶,,Random sample
"Varicella, unknown disease history",1 Dose,States,Wyoming,2009-10,,,,,,Not conducted
"Varicella, unknown disease history",1 Dose,States,Alabama,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Alaska,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Arizona,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Arkansas,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,California,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Colorado,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Connecticut,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Delaware,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,District of Columbia,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Florida,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Georgia,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Hawaii,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Idaho,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Illinois,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Indiana,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Iowa,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Kansas,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Kentucky,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Louisiana,2010-11,,,,,,
"Varicella, unknown disease history",1 Dose,States,Maine,2010-11,,,,,,
