Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
AK,"Feb 5 - Feb 20, 2021",14,Statewide,Statewide,738516,54,777.0,,,,534,8.9,6.32,11.65,0.0,345,11.2,7.49,14.92,0.0,378,7.0,4.4,9.94,0.0,522,14.0,8.33,20.25,0.0,789,10.9,7.45,14.53,0.0,1311,12.5,9.22,16.41,0.0,92315.0,68091.0,121190.0,True,False
AL,"Feb 8 - Feb 21, 2021",14,Statewide,Statewide,4864680,141,32.2,24.96,40.63,0.0,508,25.8,22.14,29.57,0.0,394,17.6,13.91,21.58,0.0,334,14.9,10.86,19.42,0.0,555,24.3,20.37,29.1,0.0,822,23.4,20.37,26.59,0.0,1377,23.8,21.16,26.51,0.0,1157794.0,1029366.0,1289627.0,True,False
AR,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,2990671,123,34.4,26.57,43.33,0.0,331,19.0,14.67,23.72,0.0,333,20.5,15.82,25.46,0.0,284,11.5,8.0,15.69,0.0,493,20.9,17.02,25.3,0.0,578,22.4,18.2,26.81,0.0,1071,21.7,18.82,24.76,0.0,648976.0,562844.0,740490.0,True,False
AZ,"Feb 8 - Feb 18, 2021",14,Statewide,Statewide,6946685,298,32.0,26.7,37.66,0.0,412,28.2,23.52,33.36,0.0,362,20.9,16.33,25.67,0.0,371,15.7,11.87,19.93,0.0,608,24.5,20.82,28.67,0.0,835,26.8,23.3,30.12,0.0,1443,25.7,23.16,28.35,0.0,1785298.0,1608852.0,1969385.0,True,False
CA,"Feb 8 - Feb 15, 2021",14,Statewide,Statewide,39148760,326,34.2,28.63,39.34,0.0,324,20.2,16.1,25.11,0.0,326,17.8,13.6,22.02,0.0,316,9.9,6.88,13.46,0.0,549,22.9,19.08,26.9,0.0,743,20.3,17.23,23.6,0.0,1292,21.6,19.15,24.11,0.0,8456132.0,7496988.0,9438766.0,True,False
CO,"Feb 4 - Feb 12, 2021",14,Statewide,Statewide,5531141,124,16.9,9.37,26.08,0.0,401,16.2,11.93,20.9,0.0,396,15.7,11.34,20.29,0.0,402,7.4,4.6,11.28,0.0,612,18.3,13.89,22.79,0.0,711,11.8,9.01,14.71,0.0,1323,15.1,12.4,18.06,0.0,835202.0,685861.0,998924.0,True,False
CT,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,3581504,323,11.3,7.99,15.17,0.0,326,12.1,8.45,16.07,0.0,321,11.1,7.45,15.04,0.0,323,8.8,5.97,12.13,0.0,542,10.4,7.7,13.32,0.0,751,11.9,9.25,14.68,0.0,1293,11.2,9.23,13.23,0.0,401128.0,330573.0,473833.0,True,False
DC,"Feb 8 - Feb 21, 2021",14,Statewide,Statewide,684498,134,15.9,9.49,23.14,0.0,428,21.5,17.33,25.38,0.0,331,17.5,13.56,21.69,0.0,448,11.0,8.01,13.98,0.0,539,20.0,15.58,24.22,0.0,802,17.3,14.23,20.77,0.0,1341,18.6,15.87,21.31,0.0,127317.0,108630.0,145867.0,True,False
DE,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,949495,175,24.5,18.03,31.33,0.0,394,16.1,12.41,19.93,0.0,372,11.6,8.18,15.06,0.0,396,9.2,6.11,12.36,0.0,523,16.3,12.96,20.26,0.0,814,15.2,12.47,17.99,0.0,1337,15.8,13.5,18.04,0.0,150020.0,128182.0,171289.0,True,False
FL,"Feb 8 - Feb 19, 2021",14,Statewide,Statewide,20598139,329,21.9,17.54,26.42,0.0,336,22.4,17.94,26.97,0.0,334,18.2,14.11,22.36,0.0,331,11.7,8.05,15.44,0.0,628,19.2,15.92,22.61,0.0,702,19.5,16.4,22.83,0.0,1330,19.4,17.06,21.6,0.0,3996039.0,3514043.0,4449198.0,True,False
GA,"Feb 8 - Feb 15, 2021",14,Statewide,Statewide,10297484,324,26.0,20.52,32.25,0.0,338,13.6,9.81,18.17,0.0,326,15.8,11.75,20.85,0.0,326,13.5,9.27,18.64,0.0,551,18.6,14.88,22.69,0.0,763,15.6,12.6,18.64,0.0,1314,17.1,14.92,19.62,0.0,1760870.0,1536385.0,2020366.0,True,False
HI,"Feb 4 - Feb 20, 2021",14,Statewide,Statewide,1422029,51,777.0,,,,399,3.0,1.26,4.99,0.0,378,2.8,1.2,4.93,0.0,477,1.5,0.39,2.78,0.0,458,2.9,0.76,6.19,0.0,847,2.4,1.31,3.56,0.0,1305,2.6,1.41,4.25,0.0,36973.0,20051.0,60436.0,True,False
IA,"Feb 4 - Feb 20, 2021",14,Statewide,Statewide,3132499,60,777.0,,,,665,20.8,17.74,24.07,0.0,327,22.2,18.01,26.9,0.0,242,11.6,7.74,16.07,0.0,559,24.6,20.07,29.69,0.0,735,20.2,15.9,24.66,0.0,1294,22.4,19.04,25.86,0.0,701680.0,596428.0,810064.0,True,False
ID,"Feb 5 - Feb 20, 2021",14,Statewide,Statewide,1687809,51,777.0,,,,537,14.8,11.57,18.68,0.0,325,20.3,15.21,25.43,0.0,405,12.4,9.11,15.92,0.0,502,20.2,12.63,28.08,0.0,816,15.9,12.08,20.68,0.0,1318,18.0,13.78,22.12,0.0,303806.0,232580.0,373343.0,True,False
IL,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,12821497,373,34.4,29.46,40.61,0.0,338,38.0,32.33,44.48,0.0,362,32.5,25.81,38.97,0.0,335,18.9,13.21,26.09,0.0,567,32.7,27.66,37.72,0.0,841,33.8,29.18,38.61,0.0,1408,33.3,30.29,36.5,0.0,4269559.0,3883631.0,4679846.0,True,False
IN,"Feb 4 - Feb 17, 2021",14,Statewide,Statewide,6637426,7,777.0,,,,510,25.0,20.04,30.25,0.0,188,13.6,7.44,20.3,0.0,157,9.8,3.79,16.21,0.0,219,17.7,12.14,23.33,0.0,643,23.7,20.17,27.58,0.0,862,20.8,17.2,24.37,0.0,1380585.0,1141637.0,1617541.0,True,False
KS,"Feb 1 - Feb 13, 2021",14,Statewide,Statewide,2908776,152,18.0,10.98,25.76,0.0,362,14.3,10.05,19.04,0.0,394,14.4,10.37,18.54,0.0,402,11.5,8.2,15.74,0.0,581,15.0,10.97,19.37,0.0,729,14.6,10.62,18.6,0.0,1310,14.8,12.02,17.74,0.0,430499.0,349635.0,516017.0,True,False
KY,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,4440204,275,22.8,17.49,27.98,0.0,341,24.2,19.28,29.55,0.0,374,18.7,14.22,23.38,0.0,377,14.7,11.24,18.38,0.0,641,23.8,19.93,28.15,0.0,726,18.9,15.66,22.51,0.0,1367,21.3,18.69,24.26,0.0,945763.0,829874.0,1077193.0,True,False
LA,"Feb 6 - Feb 20, 2021",14,Statewide,Statewide,4663616,213,22.5,15.09,30.72,0.0,361,13.6,9.43,18.02,0.0,361,11.0,7.36,14.71,0.0,363,12.8,8.96,17.3,0.0,539,13.0,9.25,17.01,0.0,759,17.1,13.3,21.11,0.0,1298,15.1,12.29,18.01,0.0,704206.0,573158.0,839917.0,True,False
MA,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,6830193,174,10.5,6.09,15.81,0.0,371,12.9,9.19,16.72,0.0,369,11.6,8.33,15.17,0.0,372,9.5,6.5,12.42,0.0,551,11.2,8.04,14.65,0.0,735,12.0,9.39,14.77,0.0,1286,11.6,9.57,13.75,0.0,792302.0,653649.0,939152.0,True,False
MD,"Feb 4 - Feb 18, 2021",14,Statewide,Statewide,6003435,38,777.0,,,,535,31.5,27.27,35.98,0.0,327,17.4,12.86,21.39,0.0,356,9.8,6.76,13.64,0.0,516,31.9,24.48,38.43,0.0,740,18.0,13.93,22.37,0.0,1256,24.7,21.13,28.31,0.0,1482848.0,1268526.0,1699572.0,True,False
ME,"Feb 8 - Feb 19, 2021",14,Statewide,Statewide,1332813,16,777.0,,,,238,4.2,1.46,7.35,0.0,163,4.5,0.8,8.8,0.0,154,1.1,0.0,3.72,1.0,237,3.7,1.17,6.57,0.0,334,3.2,1.06,5.69,0.0,571,3.4,1.82,5.36,0.0,45316.0,24257.0,71439.0,False,True
MI,"Feb 8 - Feb 21, 2021",14,Statewide,Statewide,9957488,89,21.1,12.12,29.95,0.0,410,21.3,17.37,25.3,0.0,448,17.1,12.92,21.16,0.0,389,12.1,8.89,16.12,0.0,522,17.0,12.93,21.13,0.0,814,20.7,17.31,24.43,0.0,1336,18.9,16.24,21.83,0.0,1881965.0,1617096.0,2173720.0,True,False
MN,"Feb 1 - Feb 16, 2021",14,Statewide,Statewide,5527358,130,13.5,7.79,20.13,0.0,434,17.6,13.58,22.03,0.0,413,19.5,14.51,24.62,0.0,320,15.5,10.06,21.07,0.0,535,17.3,13.63,21.05,0.0,762,16.1,12.73,19.46,0.0,1297,16.7,13.99,19.2,0.0,923069.0,773277.0,1061253.0,True,False
MO,"Feb 8 - Feb 21, 2021",14,Statewide,Statewide,6090062,169,24.8,17.65,33.36,0.0,380,30.6,24.42,37.12,0.0,369,18.0,13.74,22.7,0.0,347,11.4,6.8,16.69,0.0,554,24.0,19.23,29.51,0.0,711,23.2,18.62,27.6,0.0,1265,23.6,20.35,26.99,0.0,1437255.0,1239328.0,1643708.0,True,False
MS,"Feb 8 - Feb 21, 2021",14,Statewide,Statewide,2988762,91,31.2,20.94,41.26,0.0,393,25.1,20.87,29.52,0.0,393,25.0,20.26,29.22,0.0,371,17.8,13.54,21.82,0.0,484,24.6,19.6,29.88,0.0,764,26.3,21.97,30.55,0.0,1248,25.4,22.27,28.95,0.0,759146.0,665597.0,865247.0,True,False
MT,"Feb 2 - Feb 19, 2021",14,Statewide,Statewide,1041732,29,777.0,,,,193,15.4,10.27,21.0,0.0,115,12.2,5.97,18.94,0.0,115,9.6,4.01,15.57,0.0,185,14.7,8.55,21.38,0.0,267,17.9,11.93,24.8,0.0,452,16.3,11.79,20.98,0.0,169802.0,122820.0,218555.0,True,False
NC,"Feb 8 - Feb 18, 2021",14,Statewide,Statewide,10155624,325,21.1,16.42,25.49,0.0,327,23.9,19.5,28.59,0.0,330,18.9,14.46,23.84,0.0,327,13.1,9.68,17.0,0.0,539,21.1,17.54,25.22,0.0,770,20.1,16.98,23.21,0.0,1309,20.6,18.27,22.95,0.0,2092059.0,1855433.0,2330716.0,True,False
ND,"Feb 8 - Feb 17, 2021",14,Statewide,Statewide,752201,0,666.0,,,,0,666.0,,,,0,666.0,,,,3,777.0,,,,0,666.0,,,,3,777.0,,,,3,777.0,,,,,,,True,
NE,"Feb 5 - Feb 19, 2021",14,Statewide,Statewide,1904760,73,777.0,,,,719,17.9,15.08,20.63,0.0,341,21.0,16.44,25.49,0.0,170,17.8,11.79,24.77,0.0,636,21.1,16.73,26.01,0.0,667,16.4,12.72,20.6,0.0,1303,18.8,15.86,21.86,0.0,358095.0,302095.0,416381.0,True,False
NH,"Feb 8 - Feb 18, 2021",14,Statewide,Statewide,1343622,36,777.0,,,,527,7.1,4.93,9.52,0.0,416,8.3,5.63,11.28,0.0,321,3.6,1.56,6.16,0.0,531,6.4,3.78,9.46,0.0,769,8.6,5.05,12.66,0.0,1300,7.5,5.29,10.25,0.0,100772.0,71078.0,137721.0,True,False
NJ,"Feb 4 - Feb 18, 2021",14,Statewide,Statewide,8881845,204,34.0,27.08,41.0,0.0,321,24.7,19.74,29.66,0.0,327,19.6,15.27,24.04,0.0,338,14.1,10.34,18.59,0.0,454,25.3,21.11,29.7,0.0,736,22.9,19.32,26.26,0.0,1190,24.0,21.5,26.73,0.0,2131643.0,1909597.0,2374117.0,True,False
NM,"Feb 3 - Feb 17, 2021",14,Statewide,Statewide,2092434,130,21.9,14.37,30.81,0.0,390,17.8,13.57,22.13,0.0,388,16.9,12.86,20.75,0.0,390,9.7,6.6,12.78,0.0,500,17.2,13.01,22.39,0.0,798,17.3,14.21,20.65,0.0,1298,17.2,14.7,20.24,0.0,359899.0,307588.0,423509.0,True,False
NV,"Feb 8 - Feb 15, 2021",14,Statewide,Statewide,2922849,199,28.4,21.97,35.34,0.0,479,30.0,25.54,34.35,0.0,479,21.0,17.43,24.77,0.0,520,10.9,8.48,13.73,0.0,737,25.8,22.09,29.57,0.0,940,24.3,20.84,27.69,0.0,1677,25.1,22.45,27.63,0.0,733635.0,656180.0,807583.0,True,False
NY,"Feb 6 - Feb 20, 2021",14,Statewide,Statewide,19618453,206,13.9,9.37,18.7,0.0,393,13.7,9.75,17.19,0.0,405,14.5,10.94,18.24,0.0,304,12.9,9.07,16.86,0.0,594,14.9,11.48,18.52,0.0,714,12.6,9.96,15.45,0.0,1308,13.7,11.53,15.85,0.0,2687728.0,2262008.0,3109525.0,True,False
OH,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,11641879,232,33.6,27.54,39.32,0.0,392,37.9,33.38,43.4,0.0,503,27.1,22.85,30.97,0.0,430,19.1,14.91,22.8,0.0,794,38.6,34.94,42.58,0.0,763,24.9,21.59,28.44,0.0,1557,31.6,29.21,34.3,0.0,3678834.0,3400593.0,3993164.0,True,False
OK,"Feb 4 - Feb 13, 2021",14,Statewide,Statewide,3918137,238,26.7,20.96,32.62,0.0,324,19.2,14.61,23.48,0.0,324,17.5,13.31,22.1,0.0,410,10.5,7.32,13.89,0.0,545,18.4,14.75,22.14,0.0,751,20.4,17.06,23.86,0.0,1296,19.4,16.81,21.96,0.0,760119.0,658639.0,860423.0,True,False
OR,"Feb 3 - Feb 20, 2021",14,Statewide,Statewide,4081943,190,12.5,7.18,18.16,0.0,322,5.0,2.58,7.82,0.0,368,5.7,3.08,8.7,0.0,429,4.5,2.37,6.79,0.0,543,7.5,5.04,10.21,0.0,766,5.8,3.63,7.94,0.0,1309,6.7,4.98,8.3,0.0,273490.0,203281.0,338801.0,True,False
PA,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,12791181,398,21.9,17.29,28.07,0.0,372,23.5,18.68,27.98,0.0,384,21.7,15.83,29.77,0.0,331,12.0,8.24,16.29,0.0,619,23.1,18.99,27.58,0.0,866,18.6,15.68,21.61,0.0,1485,20.8,18.15,23.37,0.0,2660566.0,2321599.0,2989299.0,True,False
PR,"Feb 8 - Feb 16, 2021",14,Statewide,Statewide,3386941,325,4.3,2.11,7.04,0.0,326,24.7,19.48,30.26,0.0,325,17.6,13.01,22.76,0.0,326,13.9,9.72,18.89,0.0,516,14.8,11.04,18.85,0.0,786,19.2,15.98,23.16,0.0,1302,17.1,14.53,20.28,0.0,579167.0,492123.0,686872.0,True,False
RI,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,1056611,117,12.8,6.78,20.18,0.0,482,15.6,12.27,19.02,0.0,348,13.1,9.44,17.31,0.0,323,11.0,7.43,14.74,0.0,503,14.8,11.7,18.2,0.0,767,12.8,9.83,15.31,0.0,1270,13.8,11.68,15.84,0.0,145812.0,123412.0,167367.0,True,False
SC,"Feb 8 - Feb 18, 2021",14,Statewide,Statewide,4955925,330,27.3,22.82,32.33,0.0,330,29.6,24.3,35.25,0.0,328,27.3,22.37,32.38,0.0,329,17.3,12.85,21.42,0.0,567,26.2,22.53,30.21,0.0,750,26.9,23.24,30.62,0.0,1317,26.6,23.92,29.34,0.0,1318276.0,1185457.0,1454068.0,True,False
SD,"Feb 8 - Feb 19, 2021",14,Statewide,Statewide,864289,4,777.0,,,,18,777.0,,,,19,777.0,,,,20,777.0,,,,28,777.0,,,,33,777.0,,,,61,777.0,,,,,,,True,
TN,"Feb 8 - Feb 12, 2021",14,Statewide,Statewide,6651089,124,40.8,32.29,49.9,0.0,249,27.0,21.29,33.01,0.0,445,21.5,17.41,25.5,0.0,532,15.9,12.8,19.15,0.0,618,25.1,20.36,30.82,0.0,732,29.3,24.48,34.25,0.0,1350,27.3,24.04,30.6,0.0,1815747.0,1598922.0,2035233.0,True,False
TX,"Feb 7 - Feb 17, 2021",14,Statewide,Statewide,27885195,41,777.0,,,,246,31.4,24.95,38.08,0.0,244,22.9,17.03,28.72,0.0,170,16.8,10.32,23.9,0.0,321,22.5,17.21,28.03,0.0,380,32.9,24.22,41.1,0.0,701,27.7,22.36,33.04,0.0,7724199.0,6235130.0,9213268.0,True,False
UT,"Feb 8 - Feb 19, 2021",14,Statewide,Statewide,3045350,136,39.7,30.72,49.25,0.0,383,26.0,20.95,31.35,0.0,369,25.1,19.9,30.53,0.0,340,13.4,9.91,17.48,0.0,451,29.0,22.2,35.3,0.0,777,28.4,23.83,33.1,0.0,1228,28.7,24.88,32.75,0.0,874015.0,757683.0,997352.0,True,False
VA,"Feb 4 - Feb 18, 2021",14,Statewide,Statewide,8413774,15,777.0,,,,333,12.9,8.99,17.09,0.0,344,8.8,5.72,12.12,0.0,333,6.8,3.94,9.96,0.0,410,8.4,4.67,12.74,0.0,615,12.5,9.06,16.46,0.0,1025,10.5,7.42,13.35,0.0,883446.0,624302.0,1123239.0,False,False
VT,"Feb 8 - Feb 19, 2021",14,Statewide,Statewide,624977,19,777.0,,,,275,0.5,0.0,1.45,1.0,148,2.5,0.0,6.48,1.0,141,1.9,0.0,4.85,1.0,191,0.9,0.0,2.7,1.0,392,1.3,0.26,2.81,0.0,583,1.1,0.22,2.12,0.0,6875.0,1375.0,13250.0,False,True
WA,"Feb 4 - Feb 20, 2021",14,Statewide,Statewide,7294336,265,11.8,7.94,16.0,0.0,324,8.2,5.06,11.5,0.0,330,4.6,2.16,7.44,0.0,388,4.2,2.37,6.4,0.0,551,6.6,4.33,9.06,0.0,756,8.8,6.42,11.67,0.0,1307,7.7,6.04,9.65,0.0,561664.0,440578.0,703903.0,True,False
WI,"Feb 8 - Feb 20, 2021",14,Statewide,Statewide,5778394,104,33.1,23.1,44.28,0.0,356,30.0,24.52,37.01,0.0,339,27.2,21.23,33.38,0.0,409,19.4,14.47,25.11,0.0,469,31.9,26.05,38.72,0.0,739,25.0,20.71,29.48,0.0,1208,28.4,24.85,32.51,0.0,1641064.0,1435931.0,1878556.0,True,False
WV,"Feb 5 - Feb 20, 2021",14,Statewide,Statewide,1829054,36,777.0,,,,348,8.2,5.19,11.35,0.0,304,12.5,8.75,17.22,0.0,266,8.4,4.88,12.71,0.0,404,9.9,5.61,15.12,0.0,550,13.1,9.17,17.48,0.0,954,11.5,8.31,15.06,0.0,210341.0,151994.0,275456.0,True,False
WY,"Feb 8 - Feb 19, 2021",14,Statewide,Statewide,581836,2,777.0,,,,47,777.0,,,,36,777.0,,,,38,777.0,,,,39,777.0,,,,84,23.6,12.57,35.86,0.0,123,22.6,12.47,34.57,0.0,131495.0,72555.0,201141.0,False,False
US,"Feb 1 - Feb 21, 2021",14,50 States & DC,50 States & DC,322903030,7693,25.3,23.96,26.49,0.0,18756,21.8,20.98,22.59,0.0,16665,18.1,17.25,18.94,0.0,16353,12.4,11.66,13.14,0.0,24816,20.6,19.89,21.34,0.0,34651,19.5,18.91,20.15,0.0,59467,20.0,19.52,20.54,0.0,64580606.0,63030671.0,66324282.0,True,False
AK,"Feb 16 -  Mar 3, 2021",15,Statewide,Statewide,738516,39,777.0,,,,449,9.6,6.65,12.58,0.0,399,9.7,6.64,12.97,0.0,428,7.8,5.08,10.72,0.0,581,7.5,5.18,10.1,0.0,734,12.8,8.05,18.14,0.0,1315,10.0,7.28,12.93,0.0,73852.0,53764.0,95490.0,True,False
AL,"Feb 22 -  Mar 5, 2021",15,Statewide,Statewide,4864680,297,36.0,30.47,41.38,0.0,353,31.2,26.33,36.31,0.0,334,20.8,15.87,25.93,0.0,307,17.9,13.37,22.39,0.0,506,26.7,22.09,31.0,0.0,785,29.3,25.89,32.77,0.0,1291,28.0,25.25,30.75,0.0,1362110.0,1228332.0,1495889.0,True,False
AR,"Feb 22 -  Mar 5, 2021",15,Statewide,Statewide,2990671,331,27.0,22.21,32.32,0.0,361,27.0,22.45,32.24,0.0,334,18.1,13.9,22.5,0.0,394,13.7,10.39,17.62,0.0,627,22.1,18.39,25.88,0.0,793,24.1,20.73,27.68,0.0,1420,23.1,20.98,25.66,0.0,690845.0,627443.0,767406.0,True,False
AZ,"Feb 22 -  Mar 1, 2021",15,Statewide,Statewide,6946685,271,30.1,24.13,35.78,0.0,359,31.0,26.37,36.38,0.0,344,20.8,16.31,25.43,0.0,335,13.8,10.39,18.04,0.0,578,26.4,22.33,30.65,0.0,731,25.8,22.4,29.4,0.0,1309,26.1,23.3,29.05,0.0,1813085.0,1618578.0,2018012.0,True,False
CA,"Feb 22 - Feb 27, 2021",15,Statewide,Statewide,39148760,325,31.3,26.59,36.56,0.0,324,21.5,16.84,26.51,0.0,324,19.4,14.9,23.46,0.0,321,14.2,9.75,18.85,0.0,526,21.9,18.19,25.85,0.0,768,22.8,19.46,26.73,0.0,1294,22.4,19.82,24.95,0.0,8769322.0,7759284.0,9767616.0,True,False
CO,"Feb 15 -  Mar 1, 2021",15,Statewide,Statewide,5531141,166,19.7,14.12,26.01,0.0,375,11.9,8.32,16.0,0.0,390,10.7,7.61,13.78,0.0,389,8.2,4.48,12.73,0.0,615,13.8,10.36,17.73,0.0,705,12.1,9.15,14.8,0.0,1320,12.9,10.62,15.24,0.0,713517.0,587407.0,842946.0,True,False
CT,"Feb 21 -  Mar 5, 2021",15,Statewide,Statewide,3581504,319,12.3,8.89,15.84,0.0,318,16.5,12.36,20.82,0.0,322,11.3,7.77,15.21,0.0,322,6.0,3.18,8.89,0.0,527,12.8,9.88,16.17,0.0,754,12.7,10.06,15.63,0.0,1281,12.8,10.82,14.9,0.0,458433.0,387519.0,533644.0,True,False
DC,"Feb 22 -  Mar 3, 2021",15,Statewide,Statewide,684498,133,27.2,19.45,34.97,0.0,478,17.6,14.5,21.13,0.0,447,20.9,17.39,24.89,0.0,303,12.2,8.49,16.26,0.0,526,20.7,16.67,24.58,0.0,835,17.8,14.48,20.98,0.0,1361,19.2,16.64,21.67,0.0,131424.0,113900.0,148331.0,True,False
DE,"Feb 22 -  Mar 6, 2021",15,Statewide,Statewide,949495,164,18.0,11.6,24.01,0.0,502,18.0,14.94,21.57,0.0,690,12.0,9.56,14.67,0.0,385,9.5,6.43,13.03,0.0,640,14.6,11.36,17.8,0.0,1101,15.9,13.34,18.63,0.0,1741,15.3,13.17,17.38,0.0,145273.0,125048.0,165022.0,True,False
FL,"Feb 22 -  Mar 5, 2021",15,Statewide,Statewide,20598139,327,23.8,19.17,28.17,0.0,325,23.4,18.58,28.21,0.0,220,16.5,11.49,22.27,0.0,215,14.8,9.52,19.86,0.0,429,17.5,13.75,21.42,0.0,658,23.1,19.83,26.69,0.0,1087,20.4,17.59,23.07,0.0,4202020.0,3623213.0,4751991.0,True,False
GA,"Feb 18 - Feb 26, 2021",15,Statewide,Statewide,10297484,326,23.7,19.22,28.57,0.0,325,14.1,10.07,18.55,0.0,325,18.1,13.54,22.3,0.0,326,15.3,11.14,19.52,0.0,552,21.6,17.71,25.63,0.0,750,13.3,10.45,16.32,0.0,1302,17.3,14.88,19.92,0.0,1781465.0,1532266.0,2051259.0,True,False
HI,"Feb 17 -  Mar 6, 2021",15,Statewide,Statewide,1422029,40,777.0,,,,340,2.8,0.98,5.1,0.0,425,1.5,0.25,2.85,0.0,516,1.0,0.07,2.23,0.0,494,1.4,0.25,2.96,0.0,827,1.8,0.62,3.26,0.0,1321,1.6,0.78,2.58,0.0,22752.0,11092.0,36688.0,False,False
IA,"Feb 19 -  Mar 5, 2021",15,Statewide,Statewide,3132499,56,777.0,,,,594,20.3,16.68,23.68,0.0,352,22.9,18.06,27.28,0.0,261,20.1,15.23,25.11,0.0,553,21.6,16.45,27.37,0.0,710,19.4,16.09,22.98,0.0,1263,20.5,17.43,23.96,0.0,642162.0,545995.0,750547.0,True,False
ID,"Feb 19 -  Mar 5, 2021",15,Statewide,Statewide,1687809,47,777.0,,,,393,13.6,10.2,17.25,0.0,426,14.7,10.86,18.85,0.0,443,12.1,8.52,15.48,0.0,505,15.6,9.12,23.08,0.0,804,18.4,13.04,24.09,0.0,1309,17.0,12.81,21.37,0.0,286928.0,216208.0,360685.0,True,False
IL,"Feb 22 -  Mar 6, 2021",15,Statewide,Statewide,12821497,549,39.2,34.16,44.64,0.0,235,31.9,25.47,38.23,0.0,248,23.3,17.16,29.62,0.0,309,13.3,8.68,18.41,0.0,574,29.5,24.94,34.57,0.0,767,28.7,24.08,33.21,0.0,1341,29.1,26.14,32.36,0.0,3731056.0,3351539.0,4149036.0,True,False
IN,"Feb 18 -  Mar 3, 2021",15,Statewide,Statewide,6637426,13,777.0,,,,458,24.0,19.26,29.74,0.0,158,20.3,8.64,32.52,0.0,135,15.1,6.94,25.08,0.0,196,21.7,14.36,32.76,0.0,568,23.6,18.82,28.82,0.0,764,22.7,18.36,29.23,0.0,1506696.0,1218631.0,1940120.0,True,False
KS,"Feb 17 - Feb 25, 2021",15,Statewide,Statewide,2908776,143,16.5,10.41,23.49,0.0,381,15.4,11.54,19.76,0.0,388,17.9,13.85,22.2,0.0,388,8.9,6.03,11.94,0.0,551,17.5,13.46,21.63,0.0,749,12.8,10.03,15.79,0.0,1300,15.2,12.75,17.79,0.0,442134.0,370869.0,517471.0,True,False
KY,"Feb 22 -  Mar 5, 2021",15,Statewide,Statewide,4440204,353,20.2,15.94,24.86,0.0,312,22.8,18.13,27.76,0.0,394,18.4,14.54,22.3,0.0,299,14.0,10.18,18.5,0.0,552,23.3,19.19,27.63,0.0,806,16.7,13.75,20.04,0.0,1358,19.9,17.35,22.53,0.0,883601.0,770375.0,1000378.0,True,False
LA,"Feb 20 -  Mar 5, 2021",15,Statewide,Statewide,4663616,322,19.4,14.19,25.12,0.0,325,13.0,9.53,16.73,0.0,324,14.4,9.89,19.64,0.0,325,15.5,11.1,20.89,0.0,532,14.4,10.6,18.18,0.0,764,15.9,12.98,18.86,0.0,1296,15.2,12.9,17.68,0.0,708870.0,601606.0,824527.0,True,False
MA,"Feb 22 -  Mar 6, 2021",15,Statewide,Statewide,6830193,213,12.6,7.75,17.58,0.0,354,12.8,9.11,16.68,0.0,358,8.8,5.91,11.91,0.0,359,11.1,7.93,14.56,0.0,547,11.1,8.25,14.38,0.0,737,12.2,9.51,15.14,0.0,1284,11.7,9.53,13.81,0.0,799133.0,650917.0,943250.0,True,False
MD,"Feb 18 -  Mar 3, 2021",15,Statewide,Statewide,6003435,46,777.0,,,,351,40.7,35.23,46.37,0.0,313,16.9,13.0,21.46,0.0,305,11.1,7.63,14.65,0.0,462,38.8,32.82,45.73,0.0,553,22.0,16.77,27.9,0.0,1015,30.1,25.72,34.05,0.0,1807034.0,1544083.0,2044170.0,True,False
