Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
"Both Influenza Vaccinations, Seasonal and H1N1",National,U.S. Median,2009-10,Race/Ethnicity,"White, Non-Hispanic",32.5,,460.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Utah,2009-10,Race/Ethnicity,"White, Non-Hispanic",36.5,32.9 to 40.2,809.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Vermont,2009-10,Race/Ethnicity,"White, Non-Hispanic",49.8,46.1 to 53.6,692.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Virginia,2009-10,Race/Ethnicity,"White, Non-Hispanic",35.3,27.2 to 44.5,185.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Washington,2009-10,Race/Ethnicity,"White, Non-Hispanic",38.2,32.7 to 44.0,285.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,West Virginia,2009-10,Race/Ethnicity,"White, Non-Hispanic",24.1,21.0 to 27.4,1053.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Wyoming,2009-10,Race/Ethnicity,"White, Non-Hispanic",38.1,32.9 to 43.6,391.0
Influenza A (H1N1) 2009 Monovalent,States,Arkansas,2009-10,Age,≥18 Years,39.2,35.3 to 43.1,1063.0
Influenza A (H1N1) 2009 Monovalent,States,Colorado,2009-10,Age,≥18 Years,44.2,40.4 to 48.0,1316.0
Influenza A (H1N1) 2009 Monovalent,States,Florida,2009-10,Age,≥18 Years,28.7,25.2 to 32.2,924.0
Influenza A (H1N1) 2009 Monovalent,States,Georgia,2009-10,Age,≥18 Years,28.4,22.8 to 34.0,617.0
Influenza A (H1N1) 2009 Monovalent,States,Hawaii,2009-10,Age,≥18 Years,44.9,40.9 to 48.9,987.0
Influenza A (H1N1) 2009 Monovalent,States,Illinois,2009-10,Age,≥18 Years,37.7,34.6 to 40.8,1079.0
Influenza A (H1N1) 2009 Monovalent,States,Louisiana,2009-10,Age,≥18 Years,28.8,24.0 to 33.6,546.0
Influenza A (H1N1) 2009 Monovalent,States,Maine,2009-10,Age,≥18 Years,58.5,54.4 to 62.6,709.0
Influenza A (H1N1) 2009 Monovalent,States,Maryland,2009-10,Age,≥18 Years,41.0,36.5 to 45.5,1086.0
Influenza A (H1N1) 2009 Monovalent,States,Massachusetts,2009-10,Age,≥18 Years,57.6,53.4 to 61.8,996.0
Influenza A (H1N1) 2009 Monovalent,States,Michigan,2009-10,Age,≥18 Years,37.6,34.1 to 41.1,1009.0
Influenza A (H1N1) 2009 Monovalent,States,Minnesota,2009-10,Age,≥18 Years,52.5,49.0 to 56.0,919.0
Influenza A (H1N1) 2009 Monovalent,States,Mississippi,2009-10,Age,≥18 Years,21.9,18.5 to 25.3,866.0
Influenza A (H1N1) 2009 Monovalent,States,Missouri,2009-10,Age,≥18 Years,38.2,34.6 to 41.8,983.0
Influenza A (H1N1) 2009 Monovalent,States,Nebraska,2009-10,Age,≥18 Years,56.5,53.2 to 59.8,1207.0
Influenza A (H1N1) 2009 Monovalent,States,New Jersey,2009-10,Age,≥18 Years,32.2,29.2 to 35.2,1073.0
Influenza A (H1N1) 2009 Monovalent,States,New York,2009-10,Age,≥18 Years,38.4,35.4 to 41.4,1617.0
Influenza A (H1N1) 2009 Monovalent,States,Ohio,2009-10,Age,≥18 Years,40.4,35.9 to 44.9,833.0
Influenza A (H1N1) 2009 Monovalent,States,Oklahoma,2009-10,Age,≥18 Years,33.0,28.8 to 37.2,1453.0
Influenza A (H1N1) 2009 Monovalent,States,Rhode Island,2009-10,Age,≥18 Years,62.9,59.0 to 66.8,823.0
Influenza A (H1N1) 2009 Monovalent,States,South Carolina,2009-10,Age,≥18 Years,40.3,33.9 to 46.7,684.0
Influenza A (H1N1) 2009 Monovalent,States,Tennessee,2009-10,Age,≥18 Years,29.9,25.5 to 34.3,659.0
Influenza A (H1N1) 2009 Monovalent,States,Texas,2009-10,Age,≥18 Years,40.4,36.4 to 44.4,909.0
Influenza A (H1N1) 2009 Monovalent,National,U.S. Median,2009-10,Age,≥18 Years,40.4,,983.0
Influenza A (H1N1) 2009 Monovalent,States,Utah,2009-10,Age,≥18 Years,47.2,44.0 to 50.4,1139.0
Influenza A (H1N1) 2009 Monovalent,States,Vermont,2009-10,Age,≥18 Years,63.3,59.8 to 66.8,744.0
Influenza A (H1N1) 2009 Monovalent,States,Virginia,2009-10,Age,≥18 Years,41.3,34.2 to 48.4,320.0
Influenza A (H1N1) 2009 Monovalent,States,Washington,2009-10,Age,≥18 Years,51.4,47.4 to 55.4,1054.0
Influenza A (H1N1) 2009 Monovalent,States,West Virginia,2009-10,Age,≥18 Years,36.4,32.9 to 39.9,1129.0
Influenza A (H1N1) 2009 Monovalent,States,Wyoming,2009-10,Age,≥18 Years,52.4,47.8 to 57.0,628.0
Influenza A (H1N1) 2009 Monovalent,States,Arkansas,2009-10,Age,18-24 Years,40.1,34.0 to 46.5,447.0
Influenza A (H1N1) 2009 Monovalent,States,Colorado,2009-10,Age,18-24 Years,39.7,32.5 to 47.5,366.0
Influenza A (H1N1) 2009 Monovalent,States,Florida,2009-10,Age,18-24 Years,22.7,17.2 to 29.5,251.0
Influenza A (H1N1) 2009 Monovalent,States,Georgia,2009-10,Age,18-24 Years,24.2,15.6 to 35.7,200.0
Influenza A (H1N1) 2009 Monovalent,States,Hawaii,2009-10,Age,18-24 Years,39.0,31.9 to 46.6,282.0
Influenza A (H1N1) 2009 Monovalent,States,Illinois,2009-10,Age,18-24 Years,33.3,27.8 to 39.3,295.0
Influenza A (H1N1) 2009 Monovalent,States,Louisiana,2009-10,Age,18-24 Years,17.9,11.9 to 26.0,194.0
Influenza A (H1N1) 2009 Monovalent,States,Maine,2009-10,Age,18-24 Years,58.3,50.8 to 65.4,231.0
Influenza A (H1N1) 2009 Monovalent,States,Maryland,2009-10,Age,18-24 Years,33.7,24.1 to 44.8,154.0
Influenza A (H1N1) 2009 Monovalent,States,Massachusetts,2009-10,Age,18-24 Years,49.3,40.1 to 58.5,211.0
Influenza A (H1N1) 2009 Monovalent,States,Michigan,2009-10,Age,18-24 Years,33.0,27.2 to 39.3,345.0
Influenza A (H1N1) 2009 Monovalent,States,Minnesota,2009-10,Age,18-24 Years,44.0,36.9 to 51.3,245.0
Influenza A (H1N1) 2009 Monovalent,States,Mississippi,2009-10,Age,18-24 Years,23.2,18.3 to 28.9,377.0
Influenza A (H1N1) 2009 Monovalent,States,Missouri,2009-10,Age,18-24 Years,28.0,22.9 to 33.7,349.0
Influenza A (H1N1) 2009 Monovalent,States,Nebraska,2009-10,Age,18-24 Years,52.6,46.2 to 58.9,357.0
Influenza A (H1N1) 2009 Monovalent,States,New Jersey,2009-10,Age,18-24 Years,27.7,21.5 to 35.0,211.0
Influenza A (H1N1) 2009 Monovalent,States,New York,2009-10,Age,18-24 Years,34.5,28.2 to 41.4,331.0
Influenza A (H1N1) 2009 Monovalent,States,Ohio,2009-10,Age,18-24 Years,38.9,31.3 to 47.2,287.0
Influenza A (H1N1) 2009 Monovalent,States,Oklahoma,2009-10,Age,18-24 Years,32.6,26.1 to 39.9,515.0
Influenza A (H1N1) 2009 Monovalent,States,Rhode Island,2009-10,Age,18-24 Years,58.4,50.4 to 66.1,202.0
Influenza A (H1N1) 2009 Monovalent,States,South Carolina,2009-10,Age,18-24 Years,42.0,31.6 to 53.2,232.0
Influenza A (H1N1) 2009 Monovalent,States,Tennessee,2009-10,Age,18-24 Years,20.6,14.8 to 28.0,228.0
Influenza A (H1N1) 2009 Monovalent,States,Texas,2009-10,Age,18-24 Years,37.2,30.4 to 44.6,300.0
Influenza A (H1N1) 2009 Monovalent,National,U.S. Median,2009-10,Age,18-24 Years,37.2,,282.0
Influenza A (H1N1) 2009 Monovalent,States,Utah,2009-10,Age,18-24 Years,41.4,35.7 to 47.3,344.0
Influenza A (H1N1) 2009 Monovalent,States,Vermont,2009-10,Age,18-24 Years,61.3,53.7 to 68.4,171.0
Influenza A (H1N1) 2009 Monovalent,States,Virginia,2009-10,Age,18-24 Years,35.4,23.1 to 50.0,89.0
Influenza A (H1N1) 2009 Monovalent,States,Washington,2009-10,Age,18-24 Years,52.4,45.0 to 59.7,311.0
Influenza A (H1N1) 2009 Monovalent,States,West Virginia,2009-10,Age,18-24 Years,26.6,22.0 to 31.8,491.0
Influenza A (H1N1) 2009 Monovalent,States,Wyoming,2009-10,Age,18-24 Years,44.2,36.3 to 52.4,212.0
Influenza A (H1N1) 2009 Monovalent,States,Arkansas,2009-10,Age,25-34 Years,38.9,33.4 to 44.6,499.0
Influenza A (H1N1) 2009 Monovalent,States,Colorado,2009-10,Age,25-34 Years,45.2,40.3 to 50.2,706.0
Influenza A (H1N1) 2009 Monovalent,States,Florida,2009-10,Age,25-34 Years,30.6,25.9 to 35.6,485.0
Influenza A (H1N1) 2009 Monovalent,States,Georgia,2009-10,Age,25-34 Years,27.4,20.8 to 35.2,326.0
Influenza A (H1N1) 2009 Monovalent,States,Hawaii,2009-10,Age,25-34 Years,47.0,41.6 to 52.5,514.0
Influenza A (H1N1) 2009 Monovalent,States,Illinois,2009-10,Age,25-34 Years,39.5,35.3 to 43.9,567.0
Influenza A (H1N1) 2009 Monovalent,States,Louisiana,2009-10,Age,25-34 Years,36.6,29.9 to 44.0,265.0
Influenza A (H1N1) 2009 Monovalent,States,Maine,2009-10,Age,25-34 Years,60.3,54.6 to 65.7,382.0
Influenza A (H1N1) 2009 Monovalent,States,Maryland,2009-10,Age,25-34 Years,43.0,36.9 to 49.4,384.0
Influenza A (H1N1) 2009 Monovalent,States,Massachusetts,2009-10,Age,25-34 Years,60.4,54.8 to 65.8,573.0
Influenza A (H1N1) 2009 Monovalent,States,Michigan,2009-10,Age,25-34 Years,40.4,35.6 to 45.4,500.0
Influenza A (H1N1) 2009 Monovalent,States,Minnesota,2009-10,Age,25-34 Years,54.3,49.9 to 58.6,550.0
Influenza A (H1N1) 2009 Monovalent,States,Mississippi,2009-10,Age,25-34 Years,19.3,15.0 to 24.5,381.0
Influenza A (H1N1) 2009 Monovalent,States,Missouri,2009-10,Age,25-34 Years,45.0,39.8 to 50.2,499.0
Influenza A (H1N1) 2009 Monovalent,States,Nebraska,2009-10,Age,25-34 Years,58.5,54.1 to 62.7,682.0
Influenza A (H1N1) 2009 Monovalent,States,New Jersey,2009-10,Age,25-34 Years,33.5,29.7 to 37.6,635.0
Influenza A (H1N1) 2009 Monovalent,States,New York,2009-10,Age,25-34 Years,38.1,34.2 to 42.2,900.0
Influenza A (H1N1) 2009 Monovalent,States,Ohio,2009-10,Age,25-34 Years,40.2,34.3 to 46.4,417.0
Influenza A (H1N1) 2009 Monovalent,States,Oklahoma,2009-10,Age,25-34 Years,33.0,27.6 to 38.8,749.0
Influenza A (H1N1) 2009 Monovalent,States,Rhode Island,2009-10,Age,25-34 Years,65.1,59.7 to 70.3,434.0
Influenza A (H1N1) 2009 Monovalent,States,South Carolina,2009-10,Age,25-34 Years,40.1,31.4 to 49.5,327.0
Influenza A (H1N1) 2009 Monovalent,States,Tennessee,2009-10,Age,25-34 Years,38.0,31.6 to 44.9,334.0
Influenza A (H1N1) 2009 Monovalent,States,Texas,2009-10,Age,25-34 Years,42.1,36.5 to 47.9,434.0
Influenza A (H1N1) 2009 Monovalent,National,U.S. Median,2009-10,Age,25-34 Years,42.1,,499.0
Influenza A (H1N1) 2009 Monovalent,States,Utah,2009-10,Age,25-34 Years,48.5,44.2 to 52.7,656.0
Influenza A (H1N1) 2009 Monovalent,States,Vermont,2009-10,Age,25-34 Years,60.6,55.8 to 65.3,401.0
Influenza A (H1N1) 2009 Monovalent,States,Virginia,2009-10,Age,25-34 Years,42.1,32.8 to 52.1,162.0
Influenza A (H1N1) 2009 Monovalent,States,Washington,2009-10,Age,25-34 Years,49.9,44.4 to 55.3,571.0
Influenza A (H1N1) 2009 Monovalent,States,West Virginia,2009-10,Age,25-34 Years,42.4,37.3 to 47.7,507.0
Influenza A (H1N1) 2009 Monovalent,States,Wyoming,2009-10,Age,25-34 Years,56.5,50.3 to 62.4,343.0
Influenza A (H1N1) 2009 Monovalent,States,Arkansas,2009-10,Age,≥35 Years,41.8,28.2 to 56.8,73.0
Influenza A (H1N1) 2009 Monovalent,States,Colorado,2009-10,Age,≥35 Years,47.7,37.7 to 57.9,203.0
Influenza A (H1N1) 2009 Monovalent,States,Florida,2009-10,Age,≥35 Years,30.5,22.7 to 39.7,155.0
Influenza A (H1N1) 2009 Monovalent,States,Georgia,2009-10,Age,≥35 Years,44.9,28.0 to 63.2,73.0
Influenza A (H1N1) 2009 Monovalent,States,Hawaii,2009-10,Age,≥35 Years,47.6,38.2 to 57.2,172.0
Influenza A (H1N1) 2009 Monovalent,States,Illinois,2009-10,Age,≥35 Years,41.4,34.0 to 49.2,183.0
Influenza A (H1N1) 2009 Monovalent,States,Louisiana,2009-10,Age,≥35 Years,33.5,20.5 to 49.5,68.0
Influenza A (H1N1) 2009 Monovalent,States,Maine,2009-10,Age,≥35 Years,52.5,40.7 to 64.1,89.0
Influenza A (H1N1) 2009 Monovalent,States,Maryland,2009-10,Age,≥35 Years,44.0,39.1 to 49.1,528.0
Influenza A (H1N1) 2009 Monovalent,States,Massachusetts,2009-10,Age,≥35 Years,57.9,48.0 to 67.2,189.0
Influenza A (H1N1) 2009 Monovalent,States,Michigan,2009-10,Age,≥35 Years,36.0,27.3 to 45.7,124.0
Influenza A (H1N1) 2009 Monovalent,States,Minnesota,2009-10,Age,≥35 Years,60.7,50.4 to 70.2,98.0
Influenza A (H1N1) 2009 Monovalent,States,Mississippi,2009-10,Age,≥35 Years,31.8,19.6 to 47.2,64.0
Influenza A (H1N1) 2009 Monovalent,States,Missouri,2009-10,Age,≥35 Years,40.0,29.6 to 51.4,110.0
Influenza A (H1N1) 2009 Monovalent,States,Nebraska,2009-10,Age,≥35 Years,57.7,47.7 to 67.1,135.0
Influenza A (H1N1) 2009 Monovalent,States,New Jersey,2009-10,Age,≥35 Years,33.4,27.0 to 40.5,215.0
Influenza A (H1N1) 2009 Monovalent,States,New York,2009-10,Age,≥35 Years,42.5,36.1 to 49.2,355.0
Influenza A (H1N1) 2009 Monovalent,States,Ohio,2009-10,Age,≥35 Years,50.8,38.3 to 63.1,102.0
Influenza A (H1N1) 2009 Monovalent,States,Oklahoma,2009-10,Age,≥35 Years,46.0,30.1 to 62.9,136.0
Influenza A (H1N1) 2009 Monovalent,States,Rhode Island,2009-10,Age,≥35 Years,63.5,54.2 to 71.9,163.0
Influenza A (H1N1) 2009 Monovalent,States,South Carolina,2009-10,Age,≥35 Years,45.8,30.6 to 61.9,96.0
Influenza A (H1N1) 2009 Monovalent,States,Tennessee,2009-10,Age,≥35 Years,29.6,18.4 to 43.9,72.0
Influenza A (H1N1) 2009 Monovalent,States,Texas,2009-10,Age,≥35 Years,42.9,32.5 to 54.0,128.0
Influenza A (H1N1) 2009 Monovalent,National,U.S. Median,2009-10,Age,≥35 Years,46.0,,124.0
Influenza A (H1N1) 2009 Monovalent,States,Utah,2009-10,Age,≥35 Years,61.6,50.6 to 71.6,102.0
Influenza A (H1N1) 2009 Monovalent,States,Vermont,2009-10,Age,≥35 Years,74.1,66.7 to 80.3,159.0
Influenza A (H1N1) 2009 Monovalent,States,Virginia,2009-10,Age,≥35 Years,50.4,34.9 to 65.9,60.0
Influenza A (H1N1) 2009 Monovalent,States,Washington,2009-10,Age,≥35 Years,55.1,44.7 to 65.0,148.0
Influenza A (H1N1) 2009 Monovalent,States,West Virginia,2009-10,Age,≥35 Years,54.7,40.7 to 68.0,81.0
Influenza A (H1N1) 2009 Monovalent,States,Wyoming,2009-10,Age,≥35 Years,64.7,49.8 to 77.3,60.0
Influenza A (H1N1) 2009 Monovalent,States,Arkansas,2009-10,Race/Ethnicity,"Black, Non-Hispanic",31.5,23.0 to 41.5,183.0
Influenza A (H1N1) 2009 Monovalent,States,Colorado,2009-10,Race/Ethnicity,"Black, Non-Hispanic",43.8,22.1 to 68.1,31.0
Influenza A (H1N1) 2009 Monovalent,States,Florida,2009-10,Race/Ethnicity,"Black, Non-Hispanic",26.3,19.1 to 35.0,179.0
Influenza A (H1N1) 2009 Monovalent,States,Georgia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",12.9,7.0 to 22.3,226.0
Influenza A (H1N1) 2009 Monovalent,States,Hawaii,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,18.0
Influenza A (H1N1) 2009 Monovalent,States,Illinois,2009-10,Race/Ethnicity,"Black, Non-Hispanic",20.8,14.6 to 28.8,157.0
Influenza A (H1N1) 2009 Monovalent,States,Louisiana,2009-10,Race/Ethnicity,"Black, Non-Hispanic",20.9,13.9 to 30.3,197.0
Influenza A (H1N1) 2009 Monovalent,States,Maine,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,7.0
Influenza A (H1N1) 2009 Monovalent,States,Maryland,2009-10,Race/Ethnicity,"Black, Non-Hispanic",30.8,23.8 to 38.8,373.0
Influenza A (H1N1) 2009 Monovalent,States,Massachusetts,2009-10,Race/Ethnicity,"Black, Non-Hispanic",50.4,44.1 to 56.6,250.0
Influenza A (H1N1) 2009 Monovalent,States,Michigan,2009-10,Race/Ethnicity,"Black, Non-Hispanic",25.3,21.3 to 29.8,412.0
Influenza A (H1N1) 2009 Monovalent,States,Minnesota,2009-10,Race/Ethnicity,"Black, Non-Hispanic",54.6,44.2 to 64.6,133.0
Influenza A (H1N1) 2009 Monovalent,States,Mississippi,2009-10,Race/Ethnicity,"Black, Non-Hispanic",20.5,15.9 to 25.9,438.0
Influenza A (H1N1) 2009 Monovalent,States,Missouri,2009-10,Race/Ethnicity,"Black, Non-Hispanic",21.1,13.6 to 31.2,116.0
Influenza A (H1N1) 2009 Monovalent,States,Nebraska,2009-10,Race/Ethnicity,"Black, Non-Hispanic",42.2,36.2 to 48.4,208.0
Influenza A (H1N1) 2009 Monovalent,States,New Jersey,2009-10,Race/Ethnicity,"Black, Non-Hispanic",19.8,14.5 to 26.3,204.0
Influenza A (H1N1) 2009 Monovalent,States,New York,2009-10,Race/Ethnicity,"Black, Non-Hispanic",22.3,16.2 to 29.9,267.0
Influenza A (H1N1) 2009 Monovalent,States,Ohio,2009-10,Race/Ethnicity,"Black, Non-Hispanic",29.1,23.2 to 35.9,315.0
Influenza A (H1N1) 2009 Monovalent,States,Oklahoma,2009-10,Race/Ethnicity,"Black, Non-Hispanic",†,†,129.0
Influenza A (H1N1) 2009 Monovalent,States,Rhode Island,2009-10,Race/Ethnicity,"Black, Non-Hispanic",59.2,42.9 to 73.7,53.0
Influenza A (H1N1) 2009 Monovalent,States,South Carolina,2009-10,Race/Ethnicity,"Black, Non-Hispanic",31.3,21.3 to 43.4,279.0
Influenza A (H1N1) 2009 Monovalent,States,Tennessee,2009-10,Race/Ethnicity,"Black, Non-Hispanic",26.1,16.6 to 38.5,117.0
Influenza A (H1N1) 2009 Monovalent,States,Texas,2009-10,Race/Ethnicity,"Black, Non-Hispanic",25.7,20.7 to 31.5,251.0
Influenza A (H1N1) 2009 Monovalent,National,U.S. Median,2009-10,Race/Ethnicity,"Black, Non-Hispanic",27.7,,179.0
Influenza A (H1N1) 2009 Monovalent,States,Utah,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,4.0
Influenza A (H1N1) 2009 Monovalent,States,Vermont,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,6.0
Influenza A (H1N1) 2009 Monovalent,States,Virginia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",29.0,16.3 to 46.3,66.0
Influenza A (H1N1) 2009 Monovalent,States,Washington,2009-10,Race/Ethnicity,"Black, Non-Hispanic",52.7,45.5 to 59.9,180.0
Influenza A (H1N1) 2009 Monovalent,States,West Virginia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",†,†,45.0
Influenza A (H1N1) 2009 Monovalent,States,Wyoming,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,2.0
Influenza A (H1N1) 2009 Monovalent,States,Arkansas,2009-10,Race/Ethnicity,Hispanic,38.3,26.4 to 51.7,93.0
Influenza A (H1N1) 2009 Monovalent,States,Colorado,2009-10,Race/Ethnicity,Hispanic,47.0,39.7 to 54.5,356.0
Influenza A (H1N1) 2009 Monovalent,States,Florida,2009-10,Race/Ethnicity,Hispanic,26.7,20.8 to 33.5,267.0
Influenza A (H1N1) 2009 Monovalent,States,Georgia,2009-10,Race/Ethnicity,Hispanic,42.5,29.2 to 57.0,73.0
Influenza A (H1N1) 2009 Monovalent,States,Hawaii,2009-10,Race/Ethnicity,Hispanic,36.2,27.4 to 45.9,171.0
Influenza A (H1N1) 2009 Monovalent,States,Illinois,2009-10,Race/Ethnicity,Hispanic,39.4,33.2 to 46.0,246.0
Influenza A (H1N1) 2009 Monovalent,States,Louisiana,2009-10,Race/Ethnicity,Hispanic,*,*,21.0
Influenza A (H1N1) 2009 Monovalent,States,Maine,2009-10,Race/Ethnicity,Hispanic,*,*,7.0
Influenza A (H1N1) 2009 Monovalent,States,Maryland,2009-10,Race/Ethnicity,Hispanic,32.3,20.9 to 46.2,103.0
Influenza A (H1N1) 2009 Monovalent,States,Massachusetts,2009-10,Race/Ethnicity,Hispanic,58.9,52.6 to 64.9,247.0
Influenza A (H1N1) 2009 Monovalent,States,Michigan,2009-10,Race/Ethnicity,Hispanic,*,*,5.0
Influenza A (H1N1) 2009 Monovalent,States,Minnesota,2009-10,Race/Ethnicity,Hispanic,51.9,40.9 to 62.8,89.0
Influenza A (H1N1) 2009 Monovalent,States,Mississippi,2009-10,Race/Ethnicity,Hispanic,*,*,22.0
Influenza A (H1N1) 2009 Monovalent,States,Missouri,2009-10,Race/Ethnicity,Hispanic,36.1,19.9 to 56.2,36.0
Influenza A (H1N1) 2009 Monovalent,States,Nebraska,2009-10,Race/Ethnicity,Hispanic,58.7,52.4 to 64.7,227.0
Influenza A (H1N1) 2009 Monovalent,States,New Jersey,2009-10,Race/Ethnicity,Hispanic,29.8,24.3 to 36.1,258.0
Influenza A (H1N1) 2009 Monovalent,States,New York,2009-10,Race/Ethnicity,Hispanic,39.8,33.6 to 46.4,383.0
Influenza A (H1N1) 2009 Monovalent,States,Ohio,2009-10,Race/Ethnicity,Hispanic,*,*,19.0
Influenza A (H1N1) 2009 Monovalent,States,Oklahoma,2009-10,Race/Ethnicity,Hispanic,45.2,33.2 to 57.7,156.0
Influenza A (H1N1) 2009 Monovalent,States,Rhode Island,2009-10,Race/Ethnicity,Hispanic,65.0,56.6 to 72.6,189.0
Influenza A (H1N1) 2009 Monovalent,States,South Carolina,2009-10,Race/Ethnicity,Hispanic,†,†,44.0
Influenza A (H1N1) 2009 Monovalent,States,Tennessee,2009-10,Race/Ethnicity,Hispanic,27.5,14.8 to 45.2,39.0
Influenza A (H1N1) 2009 Monovalent,States,Texas,2009-10,Race/Ethnicity,Hispanic,45.8,39.3 to 52.5,318.0
Influenza A (H1N1) 2009 Monovalent,National,U.S. Median,2009-10,Race/Ethnicity,Hispanic,43.2,,103.0
Influenza A (H1N1) 2009 Monovalent,States,Utah,2009-10,Race/Ethnicity,Hispanic,43.2,36.5 to 50.1,247.0
Influenza A (H1N1) 2009 Monovalent,States,Vermont,2009-10,Race/Ethnicity,Hispanic,*,*,8.0
Influenza A (H1N1) 2009 Monovalent,States,Virginia,2009-10,Race/Ethnicity,Hispanic,47.7,27.8 to 68.4,34.0
Influenza A (H1N1) 2009 Monovalent,States,Washington,2009-10,Race/Ethnicity,Hispanic,52.9,46.1 to 59.6,232.0
Influenza A (H1N1) 2009 Monovalent,States,West Virginia,2009-10,Race/Ethnicity,Hispanic,*,*,7.0
Influenza A (H1N1) 2009 Monovalent,States,Wyoming,2009-10,Race/Ethnicity,Hispanic,58.1,51.1 to 64.9,162.0
Influenza A (H1N1) 2009 Monovalent,States,Arkansas,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,23.0
Influenza A (H1N1) 2009 Monovalent,States,Colorado,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",28.7,16.5 to 45.0,66.0
Influenza A (H1N1) 2009 Monovalent,States,Florida,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,35.0
Influenza A (H1N1) 2009 Monovalent,States,Georgia,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,35.0
Influenza A (H1N1) 2009 Monovalent,States,Hawaii,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",47.1,42.0 to 52.2,615.0
Influenza A (H1N1) 2009 Monovalent,States,Illinois,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",51.9,39.3 to 64.3,69.0
Influenza A (H1N1) 2009 Monovalent,States,Louisiana,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,12.0
Influenza A (H1N1) 2009 Monovalent,States,Maine,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,19.0
Influenza A (H1N1) 2009 Monovalent,States,Maryland,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",51.0,36.7 to 65.0,115.0
Influenza A (H1N1) 2009 Monovalent,States,Massachusetts,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",64.7,58.3 to 70.5,239.0
Influenza A (H1N1) 2009 Monovalent,States,Michigan,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",30.9,19.0 to 46.1,47.0
Influenza A (H1N1) 2009 Monovalent,States,Minnesota,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",56.5,44.7 to 67.6,134.0
Influenza A (H1N1) 2009 Monovalent,States,Mississippi,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,15.0
Influenza A (H1N1) 2009 Monovalent,States,Missouri,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",49.3,28.8 to 70.0,33.0
Influenza A (H1N1) 2009 Monovalent,States,Nebraska,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",58.2,52.2 to 63.9,261.0
Influenza A (H1N1) 2009 Monovalent,States,New Jersey,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",34.4,28.4 to 40.9,220.0
Influenza A (H1N1) 2009 Monovalent,States,New York,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",39.0,31.0 to 47.6,204.0
Influenza A (H1N1) 2009 Monovalent,States,Ohio,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,29.0
Influenza A (H1N1) 2009 Monovalent,States,Oklahoma,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",27.8,19.1 to 38.5,234.0
Influenza A (H1N1) 2009 Monovalent,States,Rhode Island,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",67.5,54.5 to 78.3,83.0
Influenza A (H1N1) 2009 Monovalent,States,South Carolina,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,29.0
Influenza A (H1N1) 2009 Monovalent,States,Tennessee,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,18.0
Influenza A (H1N1) 2009 Monovalent,States,Texas,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",50.9,34.0 to 67.6,37.0
Influenza A (H1N1) 2009 Monovalent,National,U.S. Median,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",49.3,,47.0
Influenza A (H1N1) 2009 Monovalent,States,Utah,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",48.1,33.1 to 63.4,53.0
