Disease,MMWR year,MMWR week,Current week,Current week_ flag,Cum 2017,Cum 2017_ flag,5-year weekly average§,5-year weekly average§_ flag,Total cases reported  2016,Total cases reported  2016_ flag,Total cases reported 2015,Total cases reported 2015_ flag,Total cases reported 2014,Total cases reported 2014_ flag,Total cases reported 2013,Total cases reported 2013_ flag,Total cases reported 2012,Total cases reported 2012_ flag,States reporting cases during current week (No.) 
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,12.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,12.0,,-,2.0,,1.0,,22.0,,29.0,,40.0,,31.0,,30.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,12.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,12.0,,-,1.0,,0.0,,15.0,,21.0,,32.0,,21.0,,30.0,,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,12.0,,-,33.0,,3.0,,283.0,,274.0,,250.0,,329.0,,274.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,12.0,,-,,-,,-,3.0,,3.0,,,NN,,NN,,NN,
Smallpox,2017.0,12.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Hepatitis B, perinatal virus infection§§",2017.0,12.0,,-,1.0,,1.0,,30.0,,37.0,,47.0,,48.0,,40.0,,
Diphtheria,2017.0,13.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,13.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,13.0,,-,1.0,,1.0,,17.0,,21.0,,25.0,,17.0,,20.0,,
"Botulism, other (wound and unspecified)",2017.0,13.0,,-,3.0,,1.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
Typhoid fever (caused by Salmonella typhi),2017.0,13.0,,-,54.0,,7.0,,354.0,,367.0,,349.0,,338.0,,354.0,,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,13.0,,-,5.0,,2.0,,208.0,,896.0,,,NN,,NN,,NN,
Leptospirosis**,2017.0,13.0,2.0,,14.0,,0.0,,74.0,,40.0,,38.0,,,NN,,NN,"NYC (1 ), MD (1 )"
"Botulism, infant",2017.0,13.0,,-,19.0,,3.0,,156.0,,138.0,,127.0,,136.0,,123.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,13.0,,-,15.0,,3.0,,108.0,,120.0,,123.0,,142.0,,161.0,,
Yellow fever,2017.0,13.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Hepatitis B, perinatal virus infection§§",2017.0,13.0,,-,2.0,,1.0,,32.0,,37.0,,47.0,,48.0,,40.0,,
"Poliomyelitis, paralytic",2017.0,13.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,13.0,,-,30.0,,4.0,,152.0,,175.0,,128.0,,141.0,,115.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,13.0,7.0,,68.0,,4.0,,83.0,,130.0,,141.0,,160.0,,52.0,,"OH (1 ), IL (1 ), MI (3 ), NH (1 ), NE (1 )"
Psittacosis**,2017.0,13.0,,-,2.0,,0.0,,13.0,,4.0,,8.0,,6.0,,2.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,13.0,,-,19.0,,2.0,,75.0,,111.0,,89.0,,99.0,,110.0,,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,13.0,1.0,,37.0,,4.0,,284.0,,274.0,,250.0,,329.0,,274.0,,MI (1 )
"Q fever, acute**",2017.0,13.0,,-,11.0,,2.0,,133.0,,122.0,,132.0,,137.0,,113.0,,
Tularemia,2017.0,13.0,,-,3.0,,1.0,,224.0,,314.0,,180.0,,203.0,,149.0,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,13.0,,-,,-,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
Cyclosporiasis**,2017.0,13.0,,-,5.0,,1.0,,516.0,,645.0,,388.0,,784.0,,123.0,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,13.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,13.0,,-,15.0,,4.0,,110.0,,183.0,,212.0,,248.0,,134.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,13.0,,-,,-,,-,3.0,,3.0,,,NN,,NN,,NN,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,13.0,,-,,-,,-,8.0,,11.0,,11.0,,22.0,,2.0,,
Smallpox,2017.0,13.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2017.0,13.0,,-,22.0,,3.0,,214.0,,195.0,,161.0,,152.0,,168.0,,
"Syphilis, congenital¶¶¶",2017.0,13.0,,-,78.0,,8.0,,528.0,,493.0,,458.0,,348.0,,322.0,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,13.0,,-,,-,,-,7.0,,6.0,,8.0,,8.0,,15.0,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,13.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,13.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,13.0,,-,1.0,,1.0,,45.0,,64.0,,59.0,,71.0,,65.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,13.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,13.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,13.0,,-,,-,,-,35.0,,55.0,,80.0,,85.0,,78.0,,
Listeriosis,2017.0,13.0,3.0,,116.0,,10.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"NYC (1 ), OH (1 ), AR (1 )"
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,13.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,13.0,1.0,,34.0,,2.0,,134.0,,135.0,,266.0,,233.0,,263.0,,NE (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,13.0,5.0,,63.0,,4.0,,256.0,,167.0,,39.0,,34.0,,37.0,,"MO (1 ), FL (1 ), OK (1 ), AZ (1 ), CA (1 )"
"Rabies, human",2017.0,13.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
Chancroid,2017.0,13.0,,-,5.0,,0.0,,9.0,,11.0,,,-,,-,15.0,,
Brucellosis,2017.0,13.0,,-,15.0,,2.0,,127.0,,126.0,,92.0,,99.0,,114.0,,
"Q fever, chronic**",2017.0,13.0,,-,8.0,,1.0,,41.0,,34.0,,36.0,,33.0,,22.0,,
Novel influenza A virus infections§§§,2017.0,13.0,,-,,-,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
"Viral hemorrhagic fever****, Marburg fever",2017.0,13.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Cholera,2017.0,13.0,,-,,-,0.0,,3.0,,5.0,,5.0,,14.0,,17.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,13.0,,-,2.0,,0.0,,22.0,,29.0,,40.0,,31.0,,30.0,,
"Q fever, total**",2017.0,13.0,,-,19.0,,3.0,,174.0,,156.0,,168.0,,170.0,,135.0,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,13.0,,-,1.0,,0.0,,15.0,,21.0,,32.0,,21.0,,30.0,,
Anthrax,2017.0,13.0,,-,,-,,-,,-,,-,,-,,-,,-,
Vancomycin-resistant Staphylococcus aureus**,2017.0,13.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
Measles***,2017.0,13.0,,-,29.0,,2.0,,81.0,,188.0,,667.0,,187.0,,55.0,,
Trichinellosis**,2017.0,13.0,,-,4.0,,0.0,,29.0,,14.0,,14.0,,22.0,,18.0,,
Hansen's disease**,2017.0,13.0,3.0,,17.0,,1.0,,75.0,,89.0,,88.0,,81.0,,82.0,,"NYC (2 ), FL (1 )"
"Viral hemorrhagic fever****, Lassa fever",2017.0,13.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Viral hemorrhagic fever****, Lujo virus",2017.0,13.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Zika virus disease, non-congenital††††  ",2017.0,13.0,3.0,,123.0,,11.0,,4988.0,,,NN,,NN,,NN,,NN,"RI (1 ), VA (1 ), FL (1 )"
SARS-CoV,2017.0,13.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,13.0,6.0,,58.0,,5.0,,171.0,,120.0,,196.0,,298.0,,260.0,,"NYC (3 ), TX (1 ), WA (1 ), CA (1 )"
"Botulism, foodborne",2017.0,13.0,,-,,-,0.0,,32.0,,37.0,,15.0,,4.0,,27.0,,
"Polio virus Infection, nonparalytic**",2017.0,13.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Powassan virus disease",2017.0,13.0,,-,,-,0.0,,17.0,,7.0,,8.0,,12.0,,7.0,,
Plague,2017.0,13.0,,-,,-,,-,,-,16.0,,10.0,,4.0,,4.0,,
Streptococcal toxic-shock syndrome**,2017.0,13.0,1.0,,42.0,,7.0,,262.0,,335.0,,259.0,,224.0,,194.0,,NY (1 )
Listeriosis,2017.0,14.0,5.0,,123.0,,10.0,,788.0,,768.0,,769.0,,735.0,,727.0,,"NY (1 ), OH (1 ), FL (1 ), WA (2 )"
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,15.0,,-,17.0,,3.0,,111.0,,120.0,,123.0,,142.0,,161.0,,
Novel influenza A virus infections§§§,2017.0,14.0,,-,,-,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
Anthrax,2017.0,14.0,,-,,-,,-,,-,,-,,-,,-,,-,
Tularemia,2017.0,14.0,,-,4.0,,1.0,,225.0,,314.0,,180.0,,203.0,,149.0,,
Measles***,2017.0,14.0,3.0,,33.0,,3.0,,81.0,,188.0,,667.0,,187.0,,55.0,,"WA (1 ), CA (2 )"
"Polio virus Infection, nonparalytic**",2017.0,14.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,15.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Syphilis, congenital¶¶¶",2017.0,15.0,,-,93.0,,8.0,,528.0,,493.0,,458.0,,348.0,,322.0,,
Leptospirosis**,2017.0,14.0,,-,15.0,,1.0,,75.0,,40.0,,38.0,,,NN,,NN,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,15.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Influenza-associated pediatric mortality**,¶¶",2017.0,15.0,5.0,,78.0,,3.0,,83.0,,130.0,,141.0,,160.0,,52.0,,"MA (1 ), MI (1 ), CA (1 ), TX (2 )"
"Zika virus disease, non-congenital††††  ",2017.0,14.0,,-,130.0,,12.0,,5017.0,,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,14.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Leptospirosis**,2017.0,15.0,,-,15.0,,1.0,,75.0,,40.0,,38.0,,,NN,,NN,
SARS-CoV,2017.0,15.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,14.0,,-,32.0,,4.0,,156.0,,175.0,,128.0,,141.0,,115.0,,
Hansen's disease**,2017.0,15.0,2.0,,19.0,,1.0,,75.0,,89.0,,88.0,,81.0,,82.0,,NYC (2 )
Plague,2017.0,15.0,,-,,-,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
Psittacosis**,2017.0,15.0,,-,2.0,,0.0,,13.0,,4.0,,8.0,,6.0,,2.0,,
"Zika virus disease, non-congenital††††  ",2017.0,15.0,,-,134.0,,13.0,,5017.0,,,NN,,NN,,NN,,NN,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,15.0,6.0,,76.0,,4.0,,255.0,,167.0,,39.0,,34.0,,37.0,,"OH (3 ), FL (1 ), OK (1 ), CO (1 )"
"Arboviral diseases¶,** La Crosse virus disease",2017.0,14.0,,-,,-,,-,35.0,,55.0,,80.0,,85.0,,78.0,,
Vancomycin-resistant Staphylococcus aureus**,2017.0,15.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
Chancroid,2017.0,14.0,,-,5.0,,0.0,,9.0,,11.0,,,-,,-,15.0,,
"Syphilis, congenital¶¶¶",2017.0,14.0,,-,85.0,,8.0,,525.0,,493.0,,458.0,,348.0,,322.0,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,14.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Marburg fever",2017.0,14.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,14.0,,-,,-,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
Hansen's disease**,2017.0,14.0,,-,17.0,,1.0,,75.0,,89.0,,88.0,,81.0,,82.0,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,15.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Powassan virus disease",2017.0,14.0,,-,,-,0.0,,17.0,,7.0,,8.0,,12.0,,7.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,14.0,1.0,,4.0,,0.0,,22.0,,29.0,,40.0,,31.0,,30.0,,MT (1 )
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,15.0,,-,,-,,-,7.0,,6.0,,8.0,,8.0,,15.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,14.0,3.0,,65.0,,4.0,,256.0,,167.0,,39.0,,34.0,,37.0,,"PA (2 ), OH (1 )"
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,15.0,,-,2.0,,1.0,,17.0,,21.0,,25.0,,17.0,,20.0,,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,14.0,1.0,,18.0,,4.0,,110.0,,183.0,,212.0,,248.0,,134.0,,MO (1 )
Typhoid fever (caused by Salmonella typhi),2017.0,14.0,4.0,,69.0,,6.0,,356.0,,367.0,,349.0,,338.0,,354.0,,"RI (1 ), FL (2 ), TX (1 )"
"Viral hemorrhagic fever****, Lassa fever",2017.0,15.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,14.0,,-,,-,,-,8.0,,11.0,,11.0,,22.0,,2.0,,
Yellow fever,2017.0,15.0,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome**,2017.0,14.0,2.0,,60.0,,8.0,,291.0,,335.0,,259.0,,224.0,,194.0,,"OH (1 ), VA (1 )"
"Viral hemorrhagic fever****, Lujo virus",2017.0,15.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Lassa fever",2017.0,14.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
Diphtheria,2017.0,15.0,,-,,-,0.0,,,-,,-,1.0,,,-,1.0,,
Vancomycin-resistant Staphylococcus aureus**,2017.0,14.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,15.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,14.0,,-,2.0,,1.0,,17.0,,21.0,,25.0,,17.0,,20.0,,
Cholera,2017.0,15.0,,-,,-,0.0,,3.0,,5.0,,5.0,,14.0,,17.0,,
Tularemia,2017.0,15.0,1.0,,6.0,,2.0,,225.0,,314.0,,180.0,,203.0,,149.0,,MO (1 )
Trichinellosis**,2017.0,14.0,,-,5.0,,0.0,,29.0,,14.0,,14.0,,22.0,,18.0,,
"Botulism, other (wound and unspecified)",2017.0,14.0,,-,3.0,,1.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
Listeriosis,2017.0,15.0,2.0,,128.0,,11.0,,794.0,,768.0,,769.0,,735.0,,727.0,,"NYC (1 ), FL (1 )"
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,15.0,,-,2.0,,1.0,,15.0,,21.0,,32.0,,21.0,,30.0,,
"Q fever, chronic**",2017.0,14.0,,-,10.0,,1.0,,42.0,,34.0,,36.0,,33.0,,22.0,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,14.0,,-,1.0,,1.0,,15.0,,21.0,,32.0,,21.0,,30.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,14.0,,-,,-,,-,3.0,,3.0,,,NN,,NN,,NN,
Diphtheria,2017.0,14.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
"Botulism, total",2017.0,14.0,,-,26.0,,4.0,,214.0,,195.0,,161.0,,152.0,,168.0,,
"Q fever, chronic**",2017.0,15.0,,-,11.0,,1.0,,41.0,,34.0,,36.0,,33.0,,22.0,,
Novel influenza A virus infections§§§,2017.0,15.0,,-,,-,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
Cholera,2017.0,14.0,,-,,-,0.0,,3.0,,5.0,,5.0,,14.0,,17.0,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,14.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Arboviral diseases¶,** Powassan virus disease",2017.0,15.0,,-,,-,0.0,,17.0,,7.0,,8.0,,12.0,,7.0,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,15.0,1.0,,66.0,,5.0,,168.0,,120.0,,196.0,,298.0,,260.0,,OR (1 )
Chancroid,2017.0,15.0,,-,5.0,,0.0,,8.0,,11.0,,,-,,-,15.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,15.0,,-,23.0,,3.0,,75.0,,111.0,,89.0,,99.0,,110.0,,
SARS-CoV,2017.0,14.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,14.0,,-,5.0,,2.0,,208.0,,896.0,,,NN,,NN,,NN,
"Q fever, total**",2017.0,15.0,,-,22.0,,4.0,,177.0,,156.0,,168.0,,170.0,,135.0,,
Brucellosis,2017.0,15.0,,-,18.0,,3.0,,128.0,,126.0,,92.0,,99.0,,114.0,,
"Botulism, infant",2017.0,14.0,,-,23.0,,3.0,,156.0,,138.0,,127.0,,136.0,,123.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,14.0,,-,17.0,,3.0,,110.0,,120.0,,123.0,,142.0,,161.0,,
"Botulism, foodborne",2017.0,15.0,,-,,-,1.0,,32.0,,37.0,,15.0,,4.0,,27.0,,
"Botulism, foodborne",2017.0,14.0,,-,,-,1.0,,32.0,,37.0,,15.0,,4.0,,27.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,14.0,3.0,,4.0,,1.0,,46.0,,64.0,,59.0,,71.0,,65.0,,"NY (1 ), TN (1 ), CO (1 )"
"Viral hemorrhagic fever****, Marburg fever",2017.0,15.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,15.0,,-,5.0,,2.0,,227.0,,896.0,,,NN,,NN,,NN,
Streptococcal toxic-shock syndrome**,2017.0,15.0,6.0,,70.0,,8.0,,292.0,,335.0,,259.0,,224.0,,194.0,,"NY (1 ), TN (1 ), ID (2 ), CO (1 ), NV (1 )"
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,14.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,15.0,,-,4.0,,1.0,,23.0,,29.0,,40.0,,31.0,,30.0,,
Smallpox,2017.0,15.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2017.0,15.0,,-,29.0,,4.0,,214.0,,195.0,,161.0,,152.0,,168.0,,
Typhoid fever (caused by Salmonella typhi),2017.0,15.0,,-,69.0,,6.0,,357.0,,367.0,,349.0,,338.0,,354.0,,
"Viral hemorrhagic fever****, Lujo virus",2017.0,14.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Yellow fever,2017.0,14.0,,-,,-,,-,,-,,-,,-,,-,,-,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,15.0,,-,19.0,,5.0,,110.0,,183.0,,212.0,,248.0,,134.0,,
"Q fever, acute**",2017.0,14.0,,-,12.0,,3.0,,138.0,,122.0,,132.0,,137.0,,113.0,,
"Q fever, acute**",2017.0,15.0,,-,11.0,,3.0,,136.0,,122.0,,132.0,,137.0,,113.0,,
"Polio virus Infection, nonparalytic**",2017.0,15.0,,-,,-,,-,,-,,-,,-,,-,,-,
Measles***,2017.0,15.0,1.0,,33.0,,3.0,,83.0,,188.0,,667.0,,187.0,,55.0,,FL (1 )
Toxic-shock syndrome (other than staphylococcal)**,2017.0,15.0,,-,3.0,,1.0,,46.0,,64.0,,59.0,,71.0,,65.0,,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,15.0,,-,,-,,-,35.0,,55.0,,80.0,,85.0,,78.0,,
"Poliomyelitis, paralytic",2017.0,14.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,15.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Anthrax,2017.0,15.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,15.0,6.0,,48.0,,4.0,,288.0,,274.0,,250.0,,329.0,,274.0,,"AR (1 ), OK (4 ), OR (1 )"
"Poliomyelitis, paralytic",2017.0,15.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,15.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,14.0,,-,,-,,-,7.0,,6.0,,8.0,,8.0,,15.0,,
"Hepatitis B, perinatal virus infection§§",2017.0,15.0,,-,3.0,,1.0,,31.0,,37.0,,47.0,,48.0,,40.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,15.0,1.0,,40.0,,2.0,,133.0,,135.0,,266.0,,233.0,,263.0,,OK (1 )
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,14.0,3.0,,63.0,,5.0,,168.0,,120.0,,196.0,,298.0,,260.0,,"OH (1 ), FL (1 ), WA (1 )"
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,14.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,15.0,,-,,-,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
Psittacosis**,2017.0,14.0,,-,2.0,,0.0,,13.0,,4.0,,8.0,,6.0,,2.0,,
Smallpox,2017.0,14.0,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis**,2017.0,14.0,,-,5.0,,1.0,,517.0,,645.0,,388.0,,784.0,,123.0,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,15.0,,-,,-,,-,8.0,,11.0,,11.0,,22.0,,2.0,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,14.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Trichinellosis**,2017.0,15.0,,-,3.0,,0.0,,27.0,,14.0,,14.0,,22.0,,18.0,,
"Botulism, infant",2017.0,15.0,,-,26.0,,3.0,,156.0,,138.0,,127.0,,136.0,,123.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,15.0,,-,,-,,-,3.0,,3.0,,,NN,,NN,,NN,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,14.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,15.0,,-,35.0,,4.0,,157.0,,175.0,,128.0,,141.0,,115.0,,
Plague,2017.0,14.0,,-,,-,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,14.0,5.0,,73.0,,4.0,,83.0,,130.0,,141.0,,160.0,,52.0,,"NC (1 ), FL (2 ), NYC (1 ), WA (1 )"
"Hepatitis B, perinatal virus infection§§",2017.0,14.0,,-,2.0,,1.0,,32.0,,37.0,,47.0,,48.0,,40.0,,
Brucellosis,2017.0,14.0,,-,17.0,,2.0,,128.0,,126.0,,92.0,,99.0,,114.0,,
"Rabies, human",2017.0,14.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,15.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Botulism, other (wound and unspecified)",2017.0,15.0,,-,3.0,,0.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,14.0,,-,37.0,,2.0,,134.0,,135.0,,266.0,,233.0,,263.0,,
"Viral hemorrhagic fever****, Marburg fever",2017.0,17.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,14.0,1.0,,21.0,,3.0,,75.0,,111.0,,89.0,,99.0,,110.0,,OH (1 )
Cyclosporiasis**,2017.0,15.0,,-,6.0,,1.0,,518.0,,645.0,,388.0,,784.0,,123.0,,
"Rabies, human",2017.0,15.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
"Q fever, total**",2017.0,14.0,,-,22.0,,3.0,,180.0,,156.0,,168.0,,170.0,,135.0,,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,14.0,1.0,,42.0,,4.0,,286.0,,274.0,,250.0,,329.0,,274.0,,OH (1 )
"Syphilis, congenital¶¶¶",2017.0,16.0,,-,105.0,,7.0,,529.0,,493.0,,458.0,,348.0,,322.0,,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,16.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,16.0,,-,,-,,-,8.0,,11.0,,11.0,,22.0,,2.0,,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,16.0,,-,52.0,,4.0,,286.0,,274.0,,250.0,,329.0,,274.0,,
"Viral hemorrhagic fever****, Lujo virus",2017.0,16.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,16.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,16.0,,-,,-,,-,7.0,,6.0,,8.0,,8.0,,15.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,16.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
