N° du contrat,Objet du contrat,Type d'acte,Projet associé,Nature du besoin,Lieu d'exécution/de livraison,Origine du financement,Date d'entrée en vigueur,Durée (en mois),Montant maximum (€HT),Attributaires
20-AC1138,CPS à bon de commande Isabelle MOCELLIN,Accord cadre,DPT ACCORD GEFI,Prestations intellectuelles et expertise individuelle,France,Autre bailleurs multilatéral/Organisations Internationales,2020-01-17,12.0,45000.0,"HENKA (MOCELLIN Isabelle),MOCELLIN Isabelle_Frais et per diem,Isabelle MOCELLIN_Auto-entrepreneur"
20-EI1599,Mission expertise - MATTHIEU LAURENT,Expert individuel (CPS),Capacity building and assistance for the running of the newly established General Secretariat for European Affairs of Cyprus,Prestations intellectuelles et expertise individuelle,Chypre,Union Européenne,2020-07-01,18.0,30000.0,Matthieu Laurent
20-EI0143,"Expert court-terme ""Pilotage de l'Enseignement Supérieur""",Expert individuel (CPS),Programa de Apoio ao Ensino Superior- Angola,Prestations intellectuelles et expertise individuelle,Angola,Union Européenne,2020-01-20,6.0,36000.0,SASU CREED
20-EI1648,Finance and Logistic Officer,Expert individuel (CPS),Appui à la protection sociale jordanienne,Prestations intellectuelles et expertise individuelle,Jordanie,Union Européenne,2020-07-01,23.0,48300.0,Anwar Tayeb
20-EI0127,Appuyer le CCM de la République Démocratique du Congo (RDC) à l’élaboration de la demande de financement Paludisme/RSS pour la période 2021-2023,Expert individuel (CPS),Appuyer l’écriture de la demande de financement au Fonds Mondial,Prestations intellectuelles et expertise individuelle,"Congo, République Démocratique du",MAE-Fr - Initiative 5%,2020-01-20,6.0,97890.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-EI1761,CPS 2_TEAM_20SANIN805,Expert individuel (CPS),Appui à l'élaboration du PSN et de la Note conceptuelle TB,Prestations intellectuelles et expertise individuelle,Djibouti,MAE-Fr - Initiative 5%,2020-07-13,2.0,56500.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-EI0111,Accompagner la redynamisation de l’Instance de Coordination Nationale (ICN) de la RCA,Expert individuel (CPS),Appuyer l’Instance de coordination nationale de la RCA à mener à bien la redynamisation et le renforcement des capacités,Prestations intellectuelles et expertise individuelle,Centrafrique (Republique de),MAE-Fr - Initiative 5%,2020-01-20,6.0,98000.0,R F
20-EI1956,2.2.1_TECHNICAL ASSISTANCE TO TEHNOPOLIS_INCUBATOR & BOOSTMEUP TEAM,Expert individuel (CPS),Enhancement of Business Environment and Competitiveness of the Private Sector of Montenegro,Prestations intellectuelles et expertise individuelle,Monténégro,Union Européenne,2020-07-15,4.0,20000.0,Jean-Luc Scherer
20-EI0282,"Appui à l’élaboration de la demande de financement et, le cas échéant, la subvention VIH/Sida du Niger 2020-2022",Expert individuel (CPS),Appui au processus de développement et de soumission de la requête de finacement VIH-SIDA,Prestations intellectuelles et expertise individuelle,Niger,MAE-Fr - Initiative 5%,2020-01-20,11.0,100486.0,"TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL),Action Santé TEAM"
20-EI2545,"APOYO A LA IMPLEMENTACION DE LA AGENDA NACIONAL DE IGUALDAD DE GÉNERO ECUADOR – CONSEJO NACIONAL DE IGUALDAD DE GÉNERO
DOCUMENTO ESTADISTICO SOBRE MUJERES Y HOMBRES DEL ECUADOR EN CIFRAS”
Experticia nacional
A: CONSEJO DE IGUALDAD
PAIS: ECUADOR",Expert individuel (CPS),EUROsociAL+,Prestations intellectuelles et expertise individuelle,"Argentine, Bolivie, Brésil, Chili, Colombie, Costa Rica, El Salvador, Equateur, Guatemala, Honduras, Mexique, Nicaragua, Panama, Paraguay, Pérou, Uruguay",Union Européenne,2020-07-20,10.0,21000.0,Gloria Maria CAMACHO ZAMBRANO
20-EI0113,Expert en formation de formateurs (MAEECHA),Expert individuel (CPS),Projet d Appui à l inclusion productive des populations vulnérables au Congo Brazzaville - TELEMA,Prestations intellectuelles et expertise individuelle,"Congo, République du",Agence Française de Développement (AFD),2020-01-25,7.0,20000.0,ONG MAEECHA
20-EI1846,The Gambia’s Malaria National Strategic Plan (NSP) Elaboration (M&E Component),Expert individuel (CPS),AT demande financement paludisme Gambie,Prestations intellectuelles et expertise individuelle,Gambie,MAE-Fr - Initiative 5%,2020-07-20,8.0,64400.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-MR0229,Warping véhicules Mairie de Port-au-Prince,Marché,Urbayiti - Gouvernance urbaine et villes résilientes,Fournitures,Haïti,Union Européenne,2020-01-27,4.0,30265.0,ATIK
20-EI1852,Framework Agreement PO Giuliana De Rosa,Expert individuel (CPS),SOCIEUX+ II,Prestations intellectuelles et expertise individuelle,"Bénin, Brésil, Cambodge, Congo, République Démocratique du, Côte d'Ivoire, Mexique, Nigéria, Palestine, Pérou, Tanzanie, République-Unie De, Thaïlande, Togo, Uruguay",Union Européenne,2020-07-28,4.0,20000.0,Giuliana De Rosa
20-EI0125,SOLTHIS Appui à la rédaction de la demande de financement pour la lutte contre le VIH/SIDA à Madagascar dans le cadre de la subvention série 3 du nouveau modèle de financement (NMF3) auprès du Fonds Mondial,Expert individuel (CPS),CNLS Nouveau Modèle de Financement VIH Madagascar,Prestations intellectuelles et expertise individuelle,Madagascar,MAE-Fr - Initiative 5%,2020-01-27,12.0,42692.0,SOLTHIS
20-AC1711,Portage de personnel pour Expertise France en Côte d’Ivoire,Accord cadre,Scale-up Cervical Cancer Elimination with Secondary prevention Strategy SUCCESS,Services,"Burkina Faso, Côte d'Ivoire, Guatemala, Philippines",UNITAID,2020-08-01,36.0,39999.99,RMO SOUS TRAITANCE RCI
20-MR0254,Contrat de prestation de service pour rédaction et mise en oeuvre d'un plan sûreté pour la sécurisation des personnes et des bien dans le cadre du projet SONGO,Marché,Projet Songo,Prestations intellectuelles et expertise individuelle,Centrafrique (Republique de),MAE-Fr,2020-01-27,15.0,62640.0,Amarante International
20-SB1919,Initiative Medinine - Contrat de subvention,Subvention,Programme d'apppui à l'écosystème de l'innovation et de l'entrepreneuriat en Tunisie,Subvention,Tunisie,Union Européenne,2020-08-01,29.0,384117.89,INITIATIVE MEDENINE
20-EI0339,Réduction Vulnérabilité Bati - Boussalem & tatouine,Expert individuel (CPS),DIPECHO RRC Tunisie,Prestations intellectuelles et expertise individuelle,Tunisie,Union Européenne,2020-02-01,8.0,15600.0,S.A.S REVERCHON ARCHITECTURE
20-SB1714,Advocacy towards improved performance of the Global fund's WCA portofolios,Subvention,Advocacy towards improved performance of Global fund's WCA portofolios,Subvention,Ethiopie,MAE-Fr - Initiative 5%,2020-08-01,12.0,500000.0,African Constituency Bureau
20-SB1402,19SANIN209 - Saving the Future 2.0 – Strengthening community-based innovative interventions to prevent HIV transmission among people who use drugs in Vietnam 19,Subvention,Saving the Future 2.0 – Stengthening community-based innovative interventions to prevent HIV transmission among people who use drugs in Viêt-Nam,Subvention,Viêt Nam,MAE-Fr - Initiative 5%,2020-02-01,36.0,1484435.0,SCDI
20-MR3136,Fournitures de goodies pour Benghazi,Marché,PSDP1 Private Sector Development Phase 1,Fournitures,Libye,Union Européenne,2020-08-10,1.0,15071.0,HROOF MEDIA et ADVERTISING
20-EI1091,Contrat de prestation de service PPP Advisor,Expert individuel (CPS),Appui àl'Ethiopie pour l'émergence des PPP,Prestations intellectuelles et expertise individuelle,Ethiopie,Agence Française de Développement (AFD),2020-02-03,6.0,91000.0,Ronny Carbonell
20-EI2006,2.2.1_TECHNICAL ASSISTANCE TO TEHNOPOLIS_INCUBATOR INTERNAL PROCESS,Expert individuel (CPS),Enhancement of Business Environment and Competitiveness of the Private Sector of Montenegro,Prestations intellectuelles et expertise individuelle,Monténégro,Union Européenne,2020-08-12,3.0,16250.0,Alain KAGAN
20-MR0540,Traduction de l’arabe vers le français de documents administratifs,Marché,Appui à la mise en œuvre des réformes budgétaire et comptable,Services,Tunisie,Union Européenne,2020-02-05,4.0,75000.0,MKH CONSULTING
20-AC1626,Creating and conducting a training programme for CSOs in Jordan,Accord cadre,Appui à la protection sociale jordanienne,Prestations intellectuelles et expertise individuelle,Jordanie,Union Européenne,2020-08-12,21.0,98397.5,Integrated Services Indigenous Solutions
20-SB0233,"19SANIN207- Health Systems Strengthening for marginalized and undocumented migrants in Tak Province, Thailand: a focus on sexual and reproductive health needs - SMRU Thailand",Subvention,"Health Systems Strengthening for marginalized and undocumented migrants in Tak Province, Thailand: a focus on sexual and reproductive health needs",Subvention,Thaïlande,MAE-Fr - Initiative 5%,2020-02-05,36.0,992956.19,Mahidol Oxford Tropical Medicine Research Unit
20-EI2032,L'expert est le Team Leader du projet d'analyse situationnelle de la transfusion sanguine au Cameroun. Il coordonne la réalisation de l'étude et la rédaction des livrables.,Expert individuel (CPS),Analyse situationnelle de la transfusion sanguuine au Cameroun,Prestations intellectuelles et expertise individuelle,Cameroun,C2D,2020-08-17,10.0,36000.0,AVENTIN LAURENT
20-SB0990,Integrating Libya in the Euromed Trade Help Desk International Trade Center (ITC),Subvention,PSDP1 Private Sector Development Phase 1,Subvention,Libye,Union Européenne,2020-02-07,23.0,198485.0,INTERNATIONAL TRADE CENTER
20-EI2118,"Expert en gestion de données de santé dont la mission est la gestion et le contrôle de la qualité des données receuillies par l'enquête, la compilation, la consolidation et l'analyse des données dans le cadre de l'étude de l'analyse situationnelle de la transfusion sanguine au Camerun",Expert individuel (CPS),Analyse situationnelle de la transfusion sanguuine au Cameroun,Prestations intellectuelles et expertise individuelle,Cameroun,C2D,2020-08-21,9.0,21000.0,NDAWINZ JACQUES
20-EI0307,CPS_TEAM_20SANIN805,Expert individuel (CPS),Appui à l'élaboration du PSN et de la Note conceptuelle TB,Prestations intellectuelles et expertise individuelle,Djibouti,MAE-Fr - Initiative 5%,2020-02-08,4.0,180589.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-AC1758,FRAMEWORK SERVICE CONTRACT PMT3,Accord cadre,SOCIEUX+ II,Technologie de l'information et de la communication,"Bénin, Brésil, Cambodge, Congo, République Démocratique du, Côte d'Ivoire, Mexique, Nigéria, Palestine, Pérou, Tanzanie, République-Unie De, Thaïlande, Togo, Uruguay",Union Européenne,2020-08-28,49.0,100000.0,Core Consult - DIGITAL iNK
20-EI0394,CPS_NUCIA_TEAM_20SANIN803,Expert individuel (CPS),Appuyer le PNT aux différentes étapes du processus d’élaboration des requêtes de financement TB/VIH pour la période 2021-2023,Prestations intellectuelles et expertise individuelle,Burkina Faso,MAE-Fr - Initiative 5%,2020-02-13,12.0,55000.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
21-EI0084,Mission d’appui  à la mise en œuvre de l' Axe 1 en Tunisie,Expert individuel (CPS),"Facilité Adapt'Action - Axe 1 - Appui au renforcement des capacités et à la gouvernance pour la consolidation, la mise en oeuvre  et le suivi des CDN",Prestations intellectuelles et expertise individuelle,Tunisie,Agence Française de Développement (AFD),2020-09-01,11.0,20150.0,ACTERRA CONSEIL
20-MR0864,Fourniture de tee-shirts MPAP - sensibilisation à la gestion des déchets,Marché,Urbayiti - Gouvernance urbaine et villes résilientes,Fournitures,Haïti,Union Européenne,2020-02-13,1.0,1680000.0,APS
20-EI2547,"Elaboración del Plan de Recuperación, Reconstrucción Social y Resiliencia de los países de Centroamérica y República Dominicana (AE245)",Expert individuel (CPS),EUROsociAL+,Prestations intellectuelles et expertise individuelle,"Argentine, Bolivie, Brésil, Chili, Colombie, Costa Rica, El Salvador, Equateur, Guatemala, Honduras, Mexique, Nicaragua, Panama, Paraguay, Pérou, Uruguay",Union Européenne,2020-09-01,16.0,20650.0,Liriola Lorena Licenett LEOTEAU DE AVILA
20-MR0421,"Appui à l’élaboration et à la mise en œuvre de la Stratégie médicale du gouvernorat de Sidi Bouzid, Tunisie.",Marché,Renforcement de la gouvernance du système santé régional de Sidi-Bouzid,Prestations intellectuelles et expertise individuelle,Tunisie,Agence Française de Développement (AFD),2020-02-17,36.0,195050.0,KPMG expertise et conseil
20-EI2014,Mission Genie Cilvil Base à Bangui,Expert individuel (CPS),RCA Ponts Phase 2,Prestations intellectuelles et expertise individuelle,Centrafrique (Republique de),Union Européenne,2020-09-01,8.0,31500.0,PARAKLEITOS NO LIMIT SERVICES
20-EI0452,Coordination of 4 national biodiversity workshops in Costa Rica,Expert individuel (CPS),Follow-up to the strategic plan for biodiversity,Prestations intellectuelles et expertise individuelle,"Argentine, Australie, Brésil, Cameroun, Canada, Chine, Colombie, Congo, République Démocratique du, Corée, République De, Egypte, Etats-Unis, Ghana, Inde, Indonésie, Japon, Kenya, Mexique, Norvège, Nouvelle-Zélande, Ouganda, Russie, Fédération De, Suisse, Turquie",Union Européenne,2020-02-20,16.0,20300.0,Bernal Herrera Fernandez
20-MR2382,Prestation de service pour la mise à disposition du personnel et le suivi de la gestion financière des Ressources Humaines de l’équipe projet santé d’Expertise France au Cameroun.,Marché,Analyse situationnelle de la transfusion sanguuine au Cameroun,Services,Cameroun,C2D,2020-09-01,12.0,45772.0,INTERIM ASSISTANCE
20-EI0322,Expert Procédures financières et contractuelles,Expert individuel (CPS),Projet d'appui à la gouvernance et au développement économique territorial dans 5 régions de la République de Djibouti,Prestations intellectuelles et expertise individuelle,Djibouti,Union Européenne,2020-02-21,48.0,396000.0,"KOUEKAM Claude,Kouekam Claude_ecobank"
20-SB1924,Subvention OCEAC - Appuyer le processus d’homologation des produits pharmaceutiques mis à la disposition des pays de la CEMAC.,Subvention,Appuyer le processus d’homologation des produits pharmaceutiques mis à la disposition des pays de la CEMAC,Subvention,Cameroun,MAE-Fr - Initiative 5%,2020-09-01,12.0,120000.0,OCEAC - ORGANISATION DE COORDINATION POUR LA LUTTE CONTRE LES ENDEMIES EN AFRIQUE CENTRALE
20-EI0344,"CPS Henriette 
Appuyer le CCM de la République du Congo à l’élaboration de la demande de financement TB/VIH pour la période 2021-2023
Poste 2: Expert.e TB – TB-MR",Expert individuel (CPS),"Appui à la rédaction des requêtes de financement au Fonds mondial  TB/VIH, paludisme et RSS",Prestations intellectuelles et expertise individuelle,"Congo, République du",MAE-Fr - Initiative 5%,2020-02-25,12.0,33240.0,Wembanyama Kasandji Henriette
20-SB1671,"Projet Transitions 
CS19SANIN218",Subvention,TRANSITIONS : Programme inclusif pour l’optimisation de la continuité des soins chez les adolescents et jeunes adultes en Afrique de l’Ouest,Subvention,"Burkina Faso, Sénégal",MAE-Fr - Initiative 5%,2020-09-01,36.0,641854.59,EVA (19SANIN218)
20-EI0331,"CPS DAOUDA BA 
Appuyer l’ICN du Burundi dans l’élaboration des requêtes de financement TB/ VIH et Paludisme pour la période 2021-2023 _ Poste 6 expert budgétisation: DAOUDA BA",Expert individuel (CPS),Appuyer l’ICN du Burundi dans l’élaboration des requêtes de financement TB/ VIH et Paludisme pour la période 2021-2023,Prestations intellectuelles et expertise individuelle,Burundi,MAE-Fr - Initiative 5%,2020-02-25,12.0,35240.0,BA DAOUDA
20-MR1730,Fourniture d'équipement agricoles électroportatifs,Marché,"Programme d'appui au secteur de l'agriculture, y compris dans la gestion de l'eau, l'agro-industrie et la pollution agricole (PASA)",Fournitures,Algérie,Union Européenne,2020-09-07,7.0,80000.0,EURL INDUSTRY TECH
20-EI0517,CPS Dante Ollivierre - Support to Communications and Visibility activities,Expert individuel (CPS),ReSEMBiD,Prestations intellectuelles et expertise individuelle,"Pays-Bas, Royaume-Uni",Union Européenne,2020-02-28,45.0,190000.0,Dante Ollivierre
20-EI2179,Communication and visibility expert  for Mendami project,Expert individuel (CPS),Projet UE Libye,Prestations intellectuelles et expertise individuelle,Libye,Union Européenne,2020-09-25,10.0,18000.0,Ihear Studio
20-AC0539,Assistance Technique à l'APII dans son projet de structuration et animation du réseau des pépinières publiques,Accord cadre,Projet ENLIEN : Assistance technique et renforcement de capacités de la Caisse des Dépôts et Consignations sur le secteur de l’entrepreneuriat,Prestations intellectuelles et expertise individuelle,Tunisie,Agence Française de Développement (AFD),2020-03-01,19.0,15750.0,Amri Zina
20-EI3013,Expertise en systèmes d’informations et base de données FONEA,Expert individuel (CPS),Appui au Fonds National d'Appui à l'Employabilité et à l'Apprentissage (FONEA),Prestations intellectuelles et expertise individuelle,"Congo, République du",Agence Française de Développement (AFD),2020-09-28,12.0,50000.0,E-SUD DEVELOPPEMENT
20-AC0538,Assistance Technique à l'APII dans son projet de structuration et animation du réseau des pépinières publiques,Accord cadre,Projet ENLIEN : Assistance technique et renforcement de capacités de la Caisse des Dépôts et Consignations sur le secteur de l’entrepreneuriat,Prestations intellectuelles et expertise individuelle,Tunisie,Agence Française de Développement (AFD),2020-03-01,19.0,22750.0,Nicolas Fouillant Consulting
20-MR2344,Finition des travaux de constructions de l'infirmerie de Garnison de Hombori,Marché,Projet d’appui au  renforcement des capacités des services de santé des forces armées et de sécurités maliennes,Travaux,Mali,Union Européenne,2020-09-29,2.0,118910.23,ENTREPRISE AFRICAN BUILDING SERVICES
20-EI0140,CPS_KE2_31 mois,Expert individuel (CPS),EU Gender Programme in Lebanon,Prestations intellectuelles et expertise individuelle,Liban,Union Européenne,2020-03-01,31.0,175000.0,"Joelle Choueifati - US,Joelle Choueifati - LIBAN"
20-EI3015,"APOYO PARA EL FORTALECIMIENTO DE LA ESTRATEGIA DE LUCHA CONTRA LA VIOLENCIA DE GÉNERO CONTRA NINAS, ADOLESCENTES Y MUJERES EN INTERNET

A: INSTITUTO NACIONAL DE TRANSPARENCIA, ACCESO A LA INFORMACIÓN Y PROTECCIÓN DE DATOS PERSONALES (INAI)

PAIS: MEXICO 

EX 2",Expert individuel (CPS),EUROsociAL+,Prestations intellectuelles et expertise individuelle,"Argentine, Bolivie, Brésil, Chili, Colombie, Costa Rica, El Salvador, Equateur, Guatemala, Honduras, Mexique, Nicaragua, Panama, Paraguay, Pérou, Uruguay",Union Européenne,2020-10-01,13.0,15750.0,ANA KAREN CORTES VIQUEZ
20-MR0397,Support to HRC/attestation of prosecutors - adaptive ability testing,Marché,Appui au secteur de la Justice,Services,Ukraine,Union Européenne,2020-03-02,3.0,49900.0,Psymetrics - Ukraine
20-EI2494,Romain Mensan_Mission 2_Complément au diagnostic pour la caractérisation de la roche et de son évolution pathologique_Etude de faisabilité pour la restauration du site de Lalibela.,Expert individuel (CPS),Etude de faisabilité pour la restauration et la mise en valeur du site de Lalibela,Prestations intellectuelles et expertise individuelle,Ethiopie,MAE-Fr,2020-10-01,6.0,18090.0,Romain MENSAN
20-MR0470,Achat de matériel informatique au profit du Ministère de l’Education nationale de la République d’Haïti,Marché,State Building Contract II,Fournitures,Haïti,Union Européenne,2020-03-06,1.0,20500.0,Thompson Electronics SA
20-EI2920,Evaluation of the impact of COVID-19 crisis during 2020 on the situation of public finance in Jordan,Expert individuel (CPS),Appui à la gouvernance financière locale en Jordanie,Prestations intellectuelles et expertise individuelle,Jordanie,Agence Française de Développement (AFD),2020-10-01,5.0,19600.0,EXPAT MANAGEMENT
20-MR0511,Contrat d'achat de prestations sur la régulation du secteur du casino et des jeux en ligne en Arménie,Marché,Projet d'Appui à l'administration fiscale arménienne,Prestations intellectuelles et expertise individuelle,Arménie,Agence Française de Développement (AFD),2020-03-09,6.0,54000.0,Gaming Laboratories International
20-EI3415,Chefferie de projet pour la mission d’évaluation du Port du Beyrouth,Expert individuel (CPS),Fonds de Préparation de Projet Composante 1 : Initiation - Génération,Prestations intellectuelles et expertise individuelle,France,Agence Française de Développement (AFD),2020-10-01,3.0,25000.0,JULIEN SCHMITT
20-MR0652,Travaux de sécurisation du bureau Erbil,Marché,Yanhad,Technologie de l'information et de la communication,Iraq,"MAE-Fr, Union Européenne",2020-03-11,3.0,50000.0,OFFTEC
20-EI2697,"Prestation de service pour le développement et la mise en œuvre de projets de coopération technique internationale dans le domaine du développement durable, de la gouvernance économique et financière et de la paix, stabilité, sûreté. #2",Expert individuel (CPS),"Appui au développement du secteur privé, filières agroalimentaires, agricoles et bois",Prestations intellectuelles et expertise individuelle,Liban,Union Européenne,2020-10-01,6.0,39600.0,JULIEN SCHMITT
20-EI0614,CREDES - Appuyer le PNLP du Cameroun à l’élaboration de la demande de financement et élaboration de la subvention auprès du Fonds mondial pour la période de mise en œuvre 2021-2023,Expert individuel (CPS),Appuyer le PNLP du Cameroun à l’élaboration de la demande de financement  et élaboration de la subvention pour la période de mise en œuvre 2021-2023,Prestations intellectuelles et expertise individuelle,Cameroun,MAE-Fr - Initiative 5%,2020-03-16,12.0,56300.0,CREDES
20-SB1638,Subvention projet REACT2,Subvention,"IRD - Lutte contre le paludisme : amélioREr l’accès à la prévention, au diAgnostiC et aux soins pour les communauTés rurales vulnérables (REACT2)",Subvention,"Burkina Faso, Côte d'Ivoire",MAE-Fr - Initiative 5%,2020-10-01,36.0,1000000.0,INSTIT.RECHERCH.P/DEVLPT
20-MR0846,Fourniture d’un véhicule 4*4 PRADO pour le Bureau Pays Santé d’Expertise France à Goma_RDC,Marché,Projet Prévention et Contrôle des Infections_ Goma-RDC,Fournitures,"Congo, République Démocratique du",MAE-Fr,2020-03-21,2.0,16800.0,YOUNG BRAIN SARL
20-MR2227,"Psymetrics - Ukraine
Support to HRC/attestation of local prosecutors - adaptive ability testing (phase III)",Marché,Appui au secteur de la Justice,Services,Ukraine,Union Européenne,2020-10-03,8.0,138000.0,Psymetrics - Ukraine
20-EI1184,Réalisation d’une étude de faisabilité pour la création de Centres de Formation et de régulation des agents territoriaux de la fonction publique territoriale haïtienne,Expert individuel (CPS),State Building Contract II,Prestations intellectuelles et expertise individuelle,Haïti,Union Européenne,2020-04-01,11.0,24600.0,Potier Vincent
20-MR2294,SIRFINPA Nigéria : Upgrade and maintenance of NAPTIP system software (Advanced Research Engine System (ARES)) from version 4.6.0 to 9.0.0,Marché,Lutte contre la traite - Golfe de Guinée,Services,Nigéria,Union Européenne,2020-10-05,8.0,51600.0,SIRFIN-PA SRL
20-EI0510,CPS_CREDES_20SANIN804,Expert individuel (CPS),Appuyer le CNLS aux différentes étapes du processus d’élaboration des requêtes de financement VIH/TB pour la période 2021-2023,Prestations intellectuelles et expertise individuelle,Burkina Faso,MAE-Fr - Initiative 5%,2020-04-01,5.0,110750.0,CREDES
20-AC2347,Islamic Finance Advisor at the Central Bank of Sudan,Accord cadre,Projet d'assistance technique à la Banque Centrale du Soudan (Technical Assistance to the Central Bank of Sudan - TA CBoS),Prestations intellectuelles et expertise individuelle,Soudan,Agence Française de Développement (AFD),2020-10-05,20.0,75460.0,Jamshaid Anwar
20-SB1047,SB ENIM : Appui à l’ATM pour ses actions de lutte contre le COVID-19 en Tunisie en collaboration avec l’ENIM,Subvention,Programme d'apppui à l'écosystème de l'innovation et de l'entrepreneuriat en Tunisie,Subvention,Tunisie,Union Européenne,2020-04-08,3.0,20068.0,ASSO TUNISIENNE DE MECANIQUE
20-EI2641,Avenant BPI France au CONTRACT N°19-AC1091,Expert individuel (CPS),PSDP1 Private Sector Development Phase 1,Prestations intellectuelles et expertise individuelle,Libye,Union Européenne,2020-10-05,24.0,76800.0,BPI FRANCE FINANCEMENT
20-EI1076,Appui au service des Ressources humaines et de la Formation Professionnelle de la Direction générale des douanes de la République de Guinée,Expert individuel (CPS),Projet d'Appui aux Corps de Contrôle et à la Réforme de l'Administration fiscale (PACCAF),Prestations intellectuelles et expertise individuelle,Guinée,Union Européenne,2020-04-15,10.0,28649.0,KAEROS INTERNATIONAL SOLUTIONS
20-EI2511,CPS_Shantal Munro Knight_RESEMBID Project Formulation and Design Expert,Expert individuel (CPS),ReSEMBiD,Prestations intellectuelles et expertise individuelle,"Pays-Bas, Royaume-Uni",Union Européenne,2020-10-06,4.0,20000.0,SMK Associates Inc.
20-EI1109,19SANIN869 - CPS Mamadou SANGARE,Expert individuel (CPS),Renforcer ARCAD-SIDA pour qu’elle soit bénéficiaire principal des prochaines subventions du Fonds mondial,Prestations intellectuelles et expertise individuelle,Mali,MAE-Fr - Initiative 5%,2020-04-20,4.0,16504.0,Mamadou SANGARE
20-EI2409,ExC_2020-16_WANDJA,Expert individuel (CPS),Projet d'appui à la gouvernance financière - Phase 2,Prestations intellectuelles et expertise individuelle,Cameroun,C2D,2020-10-08,6.0,21450.0,WANDJA FONDJA
20-EI1099,TEAM 2 19SANIN861 - Appui à la rédaction de la demande de financement pour la lutte contre le VIH/SIDA à Madagascar dans le cadre de la subvention série 3 du nouveau modèle de financement (NMF3) auprès du Fonds Mondial,Expert individuel (CPS),CNLS Nouveau Modèle de Financement VIH Madagascar,Prestations intellectuelles et expertise individuelle,Madagascar,MAE-Fr - Initiative 5%,2020-04-20,12.0,19400.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-SB2900,SAVE - Start-up Covid-19,Subvention,Programme d'apppui à l'écosystème de l'innovation et de l'entrepreneuriat en Tunisie,Subvention,Tunisie,Union Européenne,2020-10-15,24.0,582924.0,Caisse des Dépots et Consignations
20-EI1407,Alassane BA- Mission d’appui technique auprès de la Plateforme Covid-Santé mise en œuvre par Expertise France sur la thématique des achats pharmaceutique,Expert individuel (CPS),Plateforme d'appui technique COVID,Prestations intellectuelles et expertise individuelle,"Burkina Faso, Burundi, Centrafrique (Republique de), Congo, République Démocratique du, Côte d'Ivoire, France, Guinée, Guinée équatoriale, Madagascar, Mali, Niger, Tchad",Agence Française de Développement (AFD),2020-04-20,6.0,33000.0,BA ALASSANE
20-EI3501,IKE International Key Expert,Expert individuel (CPS),Energy Sector Reform - Albania,Prestations intellectuelles et expertise individuelle,Albanie,Agence Française de Développement (AFD),2020-10-20,24.0,108750.0,Bernard Jamet Consultant
20-MR1353,Dédouanement des véhicules de l'assistance technique dans le cadre du projet TELEMA,Marché,Projet d Appui à l inclusion productive des populations vulnérables au Congo Brazzaville - TELEMA,Services,"Congo, République du",Agence Française de Développement (AFD),2020-04-22,9.0,36000.0,Bollore Transport et Logistique Congo Brazza
20-AC3486,Fourniture d’expertise pour l’appui à la mise en place d’un dispositif de soutien à l’entrepreneuriat des jeunes au Maroc,Accord cadre,IEJ Maroc (ex-Emploi II),Prestations intellectuelles et expertise individuelle,Maroc,Agence Française de Développement (AFD),2020-10-21,46.0,1166460.0,Initiative France 19PSE0C049
20-MR1180,MAURITANIAN SECURITY SERVICES (MSS) SARL - : Prestation de gardiennage et de sécurisation de locaux à Nouakchott (Mauritanie),Marché,Projet d’appui à la prévention de la radicalisation violente en république Islamique de Mauritanie,Services,Mauritanie,Union Européenne,2020-04-29,8.0,15344.0,MSS Security
20-MR2534,Análisis de opciones para aumentar las absorciones de gases de efecto invernadero de Colombia en el marco de la estrategia de largo plazo – E2050,Marché,Facilité 2050 Colombie,Prestations intellectuelles et expertise individuelle,Colombie,Agence Française de Développement (AFD),2020-10-22,6.0,30700.0,CAIA Ingeniería S.A.S.
20-EI1372,National Expert Pharma - Rwanda,Expert individuel (CPS),MEDISAFE,Prestations intellectuelles et expertise individuelle,"Burundi, Congo, République Démocratique du, Ethiopie, Ghana, Kenya, Malawi, Ouganda, Rwanda, Seychelles, Tanzanie, République-Unie De, Zambie",Union Européenne,2020-05-01,11.0,16000.0,Danny MUTEMBE
20-MR2652,Appui temporaire à EEP pour la réalisation d'eun model financier.,Marché,Appui àl'Ethiopie pour l'émergence des PPP,Prestations intellectuelles et expertise individuelle,Ethiopie,Agence Française de Développement (AFD),2020-10-23,4.0,26050.0,PHOENIX CONSULTING INTERNATIONAL
