DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-12-05,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Myanmar,Fishery products,3038910.0,Chitala Chitala,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,0.0
2020-12-05,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Myanmar,Fishery products,3038910.0,Lates Calcarifer,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,0.0
2020-12-05,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Myanmar,Fishery products,3038910.0,Mystus Tengara,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,0.0
2020-12-05,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Myanmar,Fishery products,3038910.0,Ompok Pabda,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,0.0
2020-12-05,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Myanmar,Fishery products,3038910.0,Otolithoides Pama,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,0.0
2020-12-05,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Myanmar,Fishery products,3038910.0,Sperata Seenghala,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,0.0
2020-12-05,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Myanmar,Fishery products,3038910.0,Systomus Sarana,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,0.0
2020-12-05,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Myanmar,Fishery products,3038910.0,Tenualosa Ilisha,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,0.0
2020-12-05,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Myanmar,Fishery products,3038910.0,Wallago Attu,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,0.0
2020-12-05,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Myanmar,Fishery products,3032500.0,Labeo Rohita,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,25407.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,21824.0
2020-12-05,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Myanmar,Fishery products,3055985.0,Channa Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,0.0
2020-12-05,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Myanmar,Fishery products,3055985.0,Harpadon Nehereus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,0.0
2020-12-05,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Myanmar,Fishery products,3035990.0,Pampus Argenteus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,0.0
2020-12-02,Heathrow,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,22.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-03,2020.0,4,12.0,3.0,6.0
2020-12-04,Heathrow,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-04,2020.0,4,12.0,4.0,Satisfactory,Satisfactory,76.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-05,2020.0,4,12.0,5.0,33.0
2020-12-09,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-11,2020.0,4,12.0,11.0,Satisfactory,Satisfactory,168.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-11,2020.0,4,12.0,11.0,57.0
2020-12-09,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,Satisfactory,Satisfactory,10495.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-15,2020.0,4,12.0,15.0,9620.0
2020-12-11,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-17,2020.0,4,12.0,17.0,Satisfactory,Satisfactory,18244.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-17,2020.0,4,12.0,17.0,16940.0
2020-12-11,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-17,2020.0,4,12.0,17.0,Satisfactory,Satisfactory,10188.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-17,2020.0,4,12.0,17.0,6451.0
2020-12-11,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-17,2020.0,4,12.0,17.0,Satisfactory,Satisfactory,20960.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-17,2020.0,4,12.0,17.0,20000.0
2020-12-11,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-17,2020.0,4,12.0,17.0,Satisfactory,Satisfactory,20938.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-17,2020.0,4,12.0,17.0,20160.0
2020-12-11,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-17,2020.0,4,12.0,17.0,Satisfactory,Satisfactory,18380.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-17,2020.0,4,12.0,17.0,17052.0
2020-12-11,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-17,2020.0,4,12.0,17.0,Satisfactory,Satisfactory,19242.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-17,2020.0,4,12.0,17.0,18000.0
2020-12-11,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,16474.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,15360.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,12.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,5.0
2020-12-09,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,180486.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,16650.0
2020-12-16,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,18.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,7.0
?,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,1018752.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,64512.0
2020-12-17,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,1919505.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,17738.0
2020-12-16,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,8.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,4.0
2020-12-17,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,17246.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,15309.0
2020-12-16,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,6.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,3.0
2020-12-17,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,1649466.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,14742.0
2020-12-17,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-29,2020.0,4,12.0,29.0,Satisfactory,Satisfactory,16495.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-29,2020.0,4,12.0,29.0,14742.0
2020-12-17,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-29,2020.0,4,12.0,29.0,Satisfactory,Satisfactory,20960.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-29,2020.0,4,12.0,29.0,20000.0
2020-12-19,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,-,-,18018.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,24.0,16800.0
2020-12-19,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,-,-,18380.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,24.0,17052.0
2020-12-12,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-10,2020.0,4,12.0,10.0,Satisfactory,Satisfactory,20680.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,20000.0
2020-12-19,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-10,2020.0,4,12.0,10.0,Satisfactory,Satisfactory,20700.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-29,2020.0,4,12.0,29.0,20000.0
2020-12-12,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-10,2020.0,4,12.0,10.0,Satisfactory,Satisfactory,20640.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-29,2020.0,4,12.0,29.0,20000.0
2020-12-19,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-10,2020.0,4,12.0,10.0,Satisfactory,Satisfactory,15534.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-28,2020.0,4,12.0,28.0,14400.0
2020-12-19,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-10,2020.0,4,12.0,10.0,Satisfactory,Satisfactory,13306.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,10080.0
2020-12-12,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-10,2020.0,4,12.0,10.0,Satisfactory,Satisfactory,17414.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,16800.0
2020-12-19,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-29,2020.0,4,12.0,29.0,Satisfactory,Satisfactory,20960.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-29,2020.0,4,12.0,29.0,20000.0
2020-12-12,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-10,2020.0,4,12.0,10.0,Satisfactory,Satisfactory,18256.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,17600.0
2020-12-12,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-10,2020.0,4,12.0,10.0,Satisfactory,Satisfactory,20720.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,20000.0
2020-12-08,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-01,2020.0,4,12.0,1.0,Satisfactory,Satisfactory,15781.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-11,2020.0,4,12.0,11.0,14346.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-01,2020.0,4,12.0,1.0,Satisfactory,Satisfactory,15534.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-10,2020.0,4,12.0,10.0,14400.0
2020-12-08,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-01,2020.0,4,12.0,1.0,Satisfactory,Satisfactory,16915.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-10,2020.0,4,12.0,10.0,15300.0
2020-12-08,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,20640.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-11,2020.0,4,12.0,11.0,20000.0
2020-12-08,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,15750.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-10,2020.0,4,12.0,10.0,14400.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,19627.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-10,2020.0,4,12.0,10.0,19000.0
2020-12-08,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,16495.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-10,2020.0,4,12.0,10.0,14742.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,16915.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-08,2020.0,4,12.0,8.0,15300.0
2020-12-08,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,16495.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-10,2020.0,4,12.0,10.0,14742.0
2020-12-08,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,-,-,16915.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,2.0,15300.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,20680.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-11,2020.0,4,12.0,11.0,20000.0
2020-12-08,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,16495.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-10,2020.0,4,12.0,10.0,14742.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,18018.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-11,2020.0,4,12.0,11.0,16800.0
2020-12-08,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Preparations of cereals, flour, starch or milk,1905.0,/,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,9408.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-08,2020.0,4,12.0,8.0,6854.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,20938.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-11,2020.0,4,12.0,11.0,20160.0
2020-12-08,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,15665.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-11,2020.0,4,12.0,11.0,13455.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,20660.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-11,2020.0,4,12.0,11.0,20000.0
2020-12-09,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-14,2020.0,4,12.0,14.0,Satisfactory,Satisfactory,18018.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-14,2020.0,4,12.0,14.0,16800.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,10188.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-08,2020.0,4,12.0,8.0,6451.0
2020-12-09,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-10,2020.0,4,12.0,10.0,Satisfactory,Satisfactory,20960.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-15,2020.0,4,12.0,15.0,20000.0
2020-12-09,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-10,2020.0,4,12.0,10.0,Satisfactory,Satisfactory,20960.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-15,2020.0,4,12.0,15.0,20000.0
2020-12-09,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-09,2020.0,4,12.0,9.0,Satisfactory,Satisfactory,0.0,Satisfactory,Yes,Random,Satisfactory,Avermectins,Human Consumption,-,-,2020-12-12,2020.0,4,12.0,12.0,0.0
2020-12-09,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-09,2020.0,4,12.0,9.0,Satisfactory,Satisfactory,0.0,Satisfactory,Yes,Random,Satisfactory,Benzimidazoles,Human Consumption,-,-,2020-12-12,2020.0,4,12.0,12.0,0.0
2020-12-09,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-09,2020.0,4,12.0,9.0,Satisfactory,Satisfactory,0.0,Satisfactory,Yes,Random,Satisfactory,Chloramphenicol,Human Consumption,-,-,2020-12-12,2020.0,4,12.0,12.0,0.0
2020-12-09,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-09,2020.0,4,12.0,9.0,Satisfactory,Satisfactory,0.0,Satisfactory,Yes,Random,Satisfactory,coccidiostats,Human Consumption,-,-,2020-12-12,2020.0,4,12.0,12.0,0.0
2020-12-09,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-09,2020.0,4,12.0,9.0,Satisfactory,Satisfactory,0.0,Satisfactory,Yes,Random,Satisfactory,Macrolides,Human Consumption,-,-,2020-12-12,2020.0,4,12.0,12.0,0.0
