TradingName,Date
Dreamers Farm,2019-03-20
Dreamers Farm,2019-03-20
R D METCALFE & SON,2019-03-20
R J & C M Williams,2019-03-20
J H & R MORRIS,2019-03-20
DJ WATKIN,2019-03-21
South Battisborough Farm,2019-03-21
T/A: DL & CRJ Diepenbroek,2019-03-21
T/A: W Brown & Son,2019-03-21
T/A: Hedden & Sons,2019-03-21
T/A: Bradda Farm,2019-03-21
T/A: Starveall Dairy,2019-03-21
D & I DYER,2019-03-21
MR & MRS M C CANN & SON,2019-03-21
MRS J M WILLIAMS & SON,2019-03-21
Earth Products,2019-03-21
P G & Mrs E Thomas & Son,2019-03-21
Davies Penlan,2019-03-21
ASTRIDGE FARM LTD,2019-03-21
A E ROSS & SON,2019-03-21
S D BAILEY,2019-03-21
F HEATON & SON,2019-03-21
P J IKIN,2019-03-22
J R PERHAM & SON,2019-03-22
MR F C BROWN,2019-03-22
M J Frampton & Sons,2019-03-22
RAY BROWN & PARTNERS,2019-03-22
P JOHNS,2019-03-22
M/S L & C M HARRISON & SON,2019-03-22
M J & M WILSON & SONS,2019-03-22
MESSERS G WILKINSON,2019-03-22
MESSRS J R LYALL,2019-03-22
M/S C D & W A BLAND & SON,2019-03-22
T/A: Williams Ffordd Las,2019-03-22
"F M, J E, S D & M J Smith",2019-03-22
T/A: Peepy Farm Limited,2019-03-25
T/A: Bradda Farm,2019-03-25
T/A: L Hunter,2019-03-25
M/S E & J W WILSON,2019-03-25
MESSRS TIMPERON,2019-03-25
F S STURROCK & SONS,2019-03-25
REX PATERSON (FARMS) LTD,2019-03-25
J FISHER & SON,2019-03-25
J AND B ROWLAND AND SON,2019-03-25
T J & N J & R J PATCH,2019-03-25
R & K F DUMELOW,2019-03-25
MR DAVID HURREN,2019-03-25
CAMPHILL VILLAGE TRUST,2019-03-25
"A, B & R M DICKINSON",2019-03-26
K & A DUNCAN,2019-03-26
J  LAWSON & SON,2019-03-26
W H BROOK & SONS,2019-03-26
M/S D G & V J & M LAWSON,2019-03-26
J M & A E WALLBANK & SONS,2019-03-26
T/A: John G George,2019-03-26
DP & SJ BERRY,2019-03-26
T/A: JRB Farm Ltd,2019-03-26
R H & I L & R E ROBERTS,2019-03-27
T & D WILLOUGHBY,2019-03-27
C J & R A Hutchinson,2019-03-27
J M & J K CLIFFE & SON,2019-03-27
P J IKIN,2019-03-27
R P & J L JARVIS,2019-03-27
R & P WATERFALL LIMITED,2019-03-27
MESSRS F & E M BUXTON & PARTNERS,2019-03-27
WD & HM Seabridge,2019-03-27
B & M EVANS,2019-03-27
D E FORD,2019-03-28
B Chandler,2019-03-28
T/A: D Reeves & Partners,2019-03-28
T/A: R J Turner & Partners,2019-03-29
"J D, A M & P J HALL",2019-03-29
F S STURROCK & SONS,2019-03-29
M J & M WILSON & SONS,2019-03-29
M/S L & C M HARRISON & SON,2019-03-29
B A FOX,2019-03-29
J G Waterhouse,2019-03-29
O R PRINCE & PARTNERS,2019-03-29
J S ROBOTHAM & SON,2019-03-29
J R PERHAM & SON,2019-03-29
C J & J M HUYTON,2019-03-29
T/A: M Kirkham & Sons,2019-03-29
C J & J M HUYTON,2019-04-01
"Michael J King, Gemma M King, Richard J King and Kathleen A King",2019-04-01
SPLENDIDSUCCESS LTD,2019-04-01
B Williams & Co.,2019-04-01
MRS M E HOPKINS,2019-04-01
J S & M Davies,2019-04-01
W A J Jones & Co,2019-04-01
D & M A WILSON,2019-04-01
William Sharpe,2019-04-01
M/S J STALKER,2019-04-01
MESSRS WILSON,2019-04-01
MESSRS T F & J R POLLOCK,2019-04-01
W MESSENGER,2019-04-01
MESSRS BROWN,2019-04-01
MR T BELL & PARTNERS,2019-04-01
M T BRAUNTON,2019-04-01
F J & L A POOLE,2019-04-01
T/A: D & L Rawsthorn Farm,2019-04-01
Merryfield Farms Ltd,2019-04-01
R D METCALFE & SON,2019-04-01
G R & C J SPINK,2019-04-01
T/A: The Mount Goat's Cheese,2019-04-01
T/A:,2019-04-01
T/A: Sutton Hall Farms,2019-04-02
T/A: William Cranfield,2019-04-02
T/A: DN &  C Laker,2019-04-02
MESSRS A F & B A WELFORD & SON,2019-04-02
MR G M BLAIR,2019-04-02
MESSRS R I SPEDDING,2019-04-02
R V MANDALE & SONS,2019-04-02
J A & H E Lutner,2019-04-02
C Whitticase & Son,2019-04-02
R C ROUT AND SONS,2019-04-03
T/A: C A M & J S Jones,2019-04-03
E D & Mrs A W Harries,2019-04-03
D R SMITH,2019-04-03
R & E B DRAKE,2019-04-03
O R PRINCE & PARTNERS,2019-04-03
J S & K M WILSON,2019-04-03
W GARNETT & SON,2019-04-03
T/A: L V & D F Dakin & Partners,2019-04-03
W E HOSKEN,2019-04-03
A SUTTON & SON,2019-04-03
P E LAWTON & SON,2019-04-03
MRS J M WILLIAMS & SON,2019-04-03
H. G. Robinson & Sons Limited,2019-04-03
J S Dodd & Sons,2019-04-03
T/A: B & B Partners,2019-04-03
T/A: N D & S Thompson,2019-04-04
T/A: Chase Farming Partnership,2019-04-04
T/A: Hill and Coombe Dairy,2019-04-04
M E Robinson & Sons,2019-04-04
T/A: Laneside Farm Partnership,2019-04-04
P & L Farming Limited,2019-04-04
M/S W DUFFUS & SON,2019-04-04
J PEMBERTON,2019-04-04
W F FARMS,2019-04-04
A L BETTS LTD,2019-04-04
E P Roberts & Sons,2019-04-04
MESSRS F & E M BUXTON & PARTNERS,2019-04-04
G W & M A HICKLIN,2019-04-05
T/A J H WAINWRIGHT & SON,2019-04-05
D S BUXTON & SON,2019-04-05
R E SNOWDON & SON,2019-04-05
M/S J J & M A PARK & SON,2019-04-05
J D HETHERINGTON & SONS,2019-04-05
M/S L & C M HARRISON & SON,2019-04-05
R L & D M HARRISON,2019-04-05
"J D, A M & P J HALL",2019-04-05
T/A: S J Rose & Son,2019-04-05
Yorkshire Dairy Goats,2019-04-08
M/S J STALKER,2019-04-08
MR B R DALGLEISH,2019-04-08
M/S J IRVING & SONS,2019-04-08
T M Garry,2019-04-08
NALDRETT & PARTNERS,2019-04-08
E W & S VARLEY,2019-04-08
"H P E, E B & J J Beynon",2019-04-08
E J & B M PARKES,2019-04-08
J & S  HAMMOND,2019-04-09
R D & A ROE,2019-04-09
T/A: MGJ & JA Hares,2019-04-09
N J & G M LAMBERT,2019-04-09
R TORRANCE & SON,2019-04-09
T/A: Peter Hill & Son,2019-04-09
T/A: B R & P A Fox,2019-04-09
T/A: Mason-Birkland Barrow,2019-04-10
GARNETT FARMS,2019-04-10
Merryfield Farms Ltd,2019-04-10
A & P M SPENCER,2019-04-10
T E DAVIES & SON,2019-04-10
G D & M RODGERS & SONS,2019-04-10
MS & G Mason,2019-04-10
"J E, D M & J E Moss",2019-04-10
R L HARES & SONS,2019-04-10
F W BATH ESQ,2019-04-10
R C ROUT AND SONS,2019-04-10
B & M EVANS,2019-04-10
J  LAWSON & SON,2019-04-10
HOLLYPARK ORGANICS,2019-04-10
T/A: W DALE & SONS,2019-04-10
E S & G A SMITH,2019-04-10
Neston Home Farm,2019-04-10
T/A: Delph House Farm,2019-04-11
N Shaw & Sons,2019-04-11
Mr W J C & Mrs I J Lewis & Son,2019-04-11
E & I G Davies,2019-04-11
MRS S M & MR J A M JONES,2019-04-11
J W & J Holland,2019-04-11
M/S M J YEOMANS & SONS,2019-04-11
Mr A Mottershead & Son,2019-04-11
T/A: G & A M Bennett,2019-04-11
MESSRS A & R BOWERS,2019-04-11
P F & M R PLANT AND SONS,2019-04-11
TOWHILL FARM LIMITED,2019-04-11
BOYDELLS DAIRY FARM,2019-04-11
P M & M H BAKER & SON,2019-04-11
LEICESTERSHIRE HANDMADE CHEESE CO,2019-04-11
T/A: P J & T FLETCHER,2019-04-11
OAK TREE COTTAGE,2019-04-11
T/A: DR & VA Lawrence,2019-04-11
T/A:  I P & C J Pickford Limited,2019-04-11
T/A: S D & H A Hooper,2019-04-11
T/A: AJ & K Lee,2019-04-12
R & E M Watson & Son,2019-04-12
G O & G WILLIAMS,2019-04-12
Bampfield Farms Ltd,2019-04-12
M/S B W PICKARD,2019-04-12
J R BUCKNELL,2019-04-12
L A & E A Heard,2019-04-12
MR ER & MRS I DODD & SON,2019-04-12
P & M HAYLOCKS FARMS,2019-04-12
A & A M BURROW,2019-04-12
A & M E WOODHOUSE,2019-04-12
R L & D M HARRISON,2019-04-12
M/S J & I FISHER,2019-04-12
EVENING HILL FARM LTD,2019-04-12
T D & S E HINE,2019-04-12
N E & I M GOODWIN & SON,2019-04-12
G W & M A HICKLIN,2019-04-12
C Whitticase & Son,2019-04-12
G D & A MIDGLEY,2019-04-12
T/A: W DALE & SONS,2019-04-15
C W F HUGHES & SON,2019-04-15
The Goodwood Estate Company Ltd,2019-04-15
M/S G B CORNER & SON,2019-04-15
E J & B M PARKES,2019-04-15
P T Bale & Sons,2019-04-15
M/S R H CARTER & SON,2019-04-15
F J & L A POOLE,2019-04-15
M/S J A CLOWES & SONS,2019-04-15
M/S W DUFFUS & SON,2019-04-15
G R & C J SPINK,2019-04-15
T/A: Luke Timewell,2019-04-15
T/A: T J Brice,2019-04-15
T/A: J & N Proctor,2019-04-16
T/A: Mays Farm Ringmer,2019-04-16
R W EDWARDS & E E EDWARDS & SONS,2019-04-16
W E & A W D & P E PARR,2019-04-16
R C Dilks,2019-04-16
D & M A WILSON,2019-04-16
B & M O BURROUGH,2019-04-16
J RAVENSCROFT & PARTNERS,2019-04-16
S J Palmer,2019-04-16
T/A: MGJ & JA Hares,2019-04-16
T/A: Olive Farm (Babcary) Limited,2019-04-16
GILCOMBE FARM,2019-04-16
P & R E Kimber,2019-04-16
A G & H BARNETT & SON,2019-04-16
KINGSTON HILL FARM,2019-04-16
GANTLETT FARMS,2019-04-16
A. G. HEDGES (FARMS) LTD,2019-04-16
T/A: G & A M Bennett,2019-04-16
T/A: Slater Farms Limited,2019-04-16
Fen Farm Dairy Limited,2019-04-16
OLD PLAW HATCH FARM LIMITED,2019-04-16
T/A: J A Dent & Sons Limited,2019-04-17
MESSRS C R & M R GREENWOOD,2019-04-17
HORSLEY GATES PARTNERSHIP,2019-04-17
R EVANS & SON,2019-04-17
G E & G M Raymond,2019-04-17
H M & D P Vaughan & Sons,2019-04-17
Garfield John Ltd,2019-04-17
T/A: G C & J A Bennett,2019-04-17
W F MANN & SON LTD,2019-04-17
J M & A E WALLBANK & SONS,2019-04-17
C J & R A Hutchinson,2019-04-17
MR E & MRS W M MASSEY& SON,2019-04-17
R G & A M JOHN,2019-04-17
E H ARDEN & SON,2019-04-17
ROBERT JONES & SONS,2019-04-17
E S Burroughs and Sons,2019-04-17
T/A: J D & N C Law,2019-04-17
T/A: Williams Ffordd Las,2019-04-17
P S Best,2019-04-18
R J & R D & P PARKHOUSE,2019-04-18
L A & E A Heard,2019-04-18
T M Garry,2019-04-18
C THOMAS & SON,2019-04-18
R J R Parsons,2019-04-18
t/a P & C Attfield,2019-04-18
T/A: Lea Manor Farm,2019-04-19
T/A: Vallum Tearoom,2019-04-23
BAYS LEAP DAIRY FARM LTD,2019-04-23
NALDRETT & PARTNERS,2019-04-23
BEECHDEAN FARMS,2019-04-23
M/S J IRVING & SONS,2019-04-23
R J FLETCHER & SON,2019-04-23
Beaconhill Farm,2019-04-24
STEPHEN FURNIVAL,2019-04-24
T/A: Edgar and Son,2019-04-24
MR B R DALGLEISH,2019-04-24
MESSRS THRELKELD,2019-04-24
MESSRS R C MITCHELL & SONS,2019-04-24
T/A: G & A Adderson,2019-04-24
M & S WILSON,2019-04-24
R J V MCNAUGHER,2019-04-24
RANDLE FARMS,2019-04-24
J R & J E GRIFFITHS,2019-04-24
Henllan Farms Limited,2019-04-24
J R G Smith,2019-04-24
J R CHENEY & SON,2019-04-24
K & M ELKIN,2019-04-24
West Country Water Buffalo Limited,2019-04-24
D A H BAKER & PARTNERS,2019-04-24
R P & G R WILLIAMS,2019-04-24
Trude Farm,2019-04-25
T/A: A & C L Gray,2019-04-25
South Battisborough Farm,2019-04-25
C T C Ley Ltd,2019-04-25
LOWER BARTON FARMS LTD,2019-04-25
RE & SE CARTMAIL,2019-04-25
J R Hockenhull & Sons,2019-04-25
J R G Smith,2019-04-25
"A, B & R M DICKINSON",2019-04-25
T/A: TC Alderson & Son,2019-04-25
"J R, P M & D W Treleaven",2019-04-25
P S & S H HAMMETT,2019-04-25
M/S J J TAYLOR,2019-04-25
T Brooke and Son,2019-04-25
"J B, M, M A & M J WILLIAMS",2019-04-25
R J & R D & P PARKHOUSE,2019-04-25
Bampfield Farms Ltd,2019-04-25
E SCHUTTKACKER & SONS,2019-04-25
M/S F M BLOWEY & SON,2019-04-25
J E SPRY & SONS,2019-04-25
MESSRS LIVESEY,2019-04-26
JOHN WEAVER (DAIRY FARMS) LTD,2019-04-26
"K, J & M SHARP",2019-04-26
M/S J & I FISHER,2019-04-26
T & J Pritt,2019-04-26
N & E J GOODWIN,2019-04-26
T/A: J A Dent & Sons Limited,2019-04-26
HORSLEY GATES PARTNERSHIP,2019-04-26
J R EDWARDS,2019-04-26
MESSRS C L GILMAN & SON,2019-04-26
J S Dodd & Sons,2019-04-26
Stroud Micro Dairy Limited,2019-04-26
E J Jones & Sons,2019-04-26
"T/A: LF, AJ & JL Bartlett",2019-04-26
T/A: GP Stott,2019-04-29
T/A: Yellison Goats,2019-04-29
Gillian R Clough & Timothy M Clough,2019-04-29
A J & A J GIBBONS,2019-04-29
t/a P & C Attfield,2019-04-29
F Humphreys & Son,2019-04-29
MR J WELLOCK,2019-04-29
A & M E WOODHOUSE,2019-04-29
B & M O BURROUGH,2019-04-29
M/S R H CARTER & SON,2019-04-29
M/S JACKSON,2019-04-29
J PEMBERTON,2019-04-29
J FISHER & SON,2019-04-29
M/S J A CLOWES & SONS,2019-04-29
D J MOSS & SONS,2019-04-30
E H PEARMAN & CO,2019-04-30
SIMON MARTIN FARMS,2019-04-30
R B DUNFORD & SONS,2019-04-30
W & P IVES,2019-04-30
S H YOUNG & SON LTD,2019-04-30
KNOWLE FARM PARTNERSHIP,2019-04-30
T R BAINES & SONS,2019-04-30
T/A: M Kirkham & Sons,2019-04-30
DAVID FRYARS & SON,2019-04-30
D W Sprackman & Partners,2019-04-30
G J HOOK & SON,2019-04-30
T/A Laverstoke Park Buffalo,2019-04-30
MEADOW FARM LIMITED,2019-04-30
T/A: RP Granville & K J Granville,2019-05-01
R J & C M Williams,2019-05-01
MR J G BELLIS,2019-05-01
J G Brown,2019-05-01
"T/A: Michael, Carol, Dorothy & George Cope",2019-05-01
T/A: William Dominic Phillips,2019-05-01
GM & HJ FERN,2019-05-01
J GOULD & SON,2019-05-01
Stowford Manor Farm,2019-05-01
G S & C J Tomlinson,2019-05-01
H DOWNS & SON,2019-05-01
G W & M COATES & SON,2019-05-01
BAIRSTOWS,2019-05-01
"J E, D M & J E Moss",2019-05-01
PHIL CALLWOOD & PARTNERS,2019-05-01
M/S C GRAEME DENTON & FAMILY,2019-05-01
W C LITTLE & SON,2019-05-01
W R & J E Dixon,2019-05-01
R TORRANCE & SON,2019-05-01
J R BUCKNELL,2019-05-01
MR F H TRERISE,2019-05-02
C H FURSE & SON,2019-05-02
TOWHILL FARM LIMITED,2019-05-02
W Marsh & Son,2019-05-02
Yorkshire Dairy Goats,2019-05-02
P J WARING,2019-05-02
R J & R T Barrington,2019-05-02
T/A: DR & VA Lawrence,2019-05-02
Matthew Bros Limited,2019-05-02
T/A: P J & T FLETCHER,2019-05-02
T/A: J D & N C Law,2019-05-02
T/A: Hancocks Meadow Farm,2019-05-03
T/A: E T Tomlinson & Son,2019-05-03
S & O SHERRATT,2019-05-03
G W & M A HICKLIN,2019-05-03
I W MUDD,2019-05-03
L HARRINGTON,2019-05-03
M/S J T & E M MARRS,2019-05-03
W J SESSIONS & SON,2019-05-03
R S & E J LONGDEN & SONS,2019-05-03
D J FOSTER,2019-05-03
MESSRS A F & B A WELFORD & SON,2019-05-07
M/s M & M & A Gaudie,2019-05-07
S G LEE & SONS,2019-05-07
J R SHALAR,2019-05-07
P & MRS V DEANE,2019-05-07
W BURDASS & SONS,2019-05-07
M/s D W & C M Evans,2019-05-07
K W Gunnery & Son,2019-05-07
Wilderley Hall Farms Ltd,2019-05-07
BENLEN GOATS,2019-05-07
T/A: Top Paddock Farming Partnership,2019-05-07
T/A: Laneside Farm Partnership,2019-05-07
F W HUGHES & SONS,2019-05-07
MR E & MRS W M MASSEY& SON,2019-05-07
J L Matthews & Sons,2019-05-08
J H & R MORRIS,2019-05-08
RC & DR Brereton,2019-05-08
GARNETT FARMS,2019-05-08
P E ROBINSON & SONS,2019-05-08
A E KERR & SON,2019-05-08
T/A: T Smith & Sons Limited,2019-05-08
J R CHENEY & SON,2019-05-08
Griffiths & Spearing,2019-05-08
"L H, J E & S J LYONS",2019-05-08
S G QUANTRILL & SONS,2019-05-08
M R ADAMS & SON,2019-05-08
P G Snell & Sons,2019-05-08
C G RAYMONT & PARTNERS,2019-05-08
"G.R,T/A:  S.E.M and W.L Thomas",2019-05-08
G J & D F CLARK,2019-05-08
"P G, E J ROYLE & SONS",2019-05-08
M/S A FAWCETT & SONS,2019-05-08
KNOWLE FARM PARTNERSHIP,2019-05-08
MR R L LATHAM,2019-05-08
M/S H L BANBURY & SON,2019-05-08
GROVEWOOD FARMS,2019-05-08
T/A: Carpenters Hill Farm,2019-05-08
MRS J P SHIPTON,2019-05-09
D I BIRD,2019-05-09
MANASSEH & ROBERTS,2019-05-09
J S & K M WILSON,2019-05-09
MESSRS THRELKELD,2019-05-09
MESSRS K STORY,2019-05-09
MESSRS R C MITCHELL & SONS,2019-05-09
J GOULD & SON,2019-05-09
P & A Wakeham,2019-05-09
J C & M J Mayo & Son,2019-05-09
T/A: J M & A E Wallbank & Sons,2019-05-09
T/A: DCW & DA Verney & Sons,2019-05-10
D C & W A Thomas,2019-05-10
T/A: Hopewall Farm Foods,2019-05-10
"T/A: R, R & J Symons",2019-05-10
T/A: Thomas Stephenson,2019-05-10
T/A: M J & R M Tremayne,2019-05-10
T/A: Kinmel Home Farm Partnership,2019-05-10
H HURST & SON,2019-05-10
W SWAINSON & SON,2019-05-10
J REAY & SON,2019-05-10
M/S J T & E M MARRS,2019-05-10
C M PHILLIPS,2019-05-10
S WALLIS & SON,2019-05-10
C THOMAS & SON,2019-05-10
D J MOSS & SONS,2019-05-10
W J ELSTON & SON,2019-05-10
JANVIL DAIRY GOATS,2019-05-13
MR A BROUGH,2019-05-13
M/S HEWITSON,2019-05-13
J R & J E GRIFFITHS,2019-05-13
BAIRSTOWS,2019-05-13
H DOWNS & SON,2019-05-13
G W & M COATES & SON,2019-05-13
MR J WELLOCK,2019-05-13
J E LEESE,2019-05-13
MESSRS F & E M BUXTON & PARTNERS,2019-05-13
T/A: Gower Dairy Limited,2019-05-13
LEICESTERSHIRE HANDMADE CHEESE CO,2019-05-13
S & O SHERRATT,2019-05-13
James Mark Simpson,2019-05-14
V W FLEMING & SON,2019-05-14
D & J ALLEN & SON,2019-05-14
S R Lewis & Son,2019-05-14
T/A E & J Redmayne,2019-05-14
J W & J Holland,2019-05-14
M J SHARLOT,2019-05-14
D M & M J HARDING,2019-05-14
MR & MRS J A BATTY & SONS,2019-05-14
A S & S A HUMPHREY,2019-05-14
A H BROWN (HAYLING ISLAND) LTD,2019-05-14
W & E I HANDFORD,2019-05-15
A SUTTON & SON,2019-05-15
J W WALKER & SONS,2019-05-15
R W ARDERN & SONS,2019-05-15
MS BOWE,2019-05-15
R M TODD,2019-05-15
W R & J E Dixon,2019-05-15
"MR AA, WA & MRS A FALLOWS",2019-05-15
D J & A D JONES,2019-05-15
G J & M Vigar-Smith,2019-05-15
P J WARING,2019-05-15
A M & M Thomas,2019-05-15
J M Watkins & Family,2019-05-15
D T THOMAS & CO,2019-05-15
N H WALKER,2019-05-15
MICHAEL CHURCHES,2019-05-15
C E & B D BAILEY,2019-05-15
S J & E H COLES,2019-05-15
ER & IN HUGHES,2019-05-15
DJ WATKIN,2019-05-15
R J & G E NEWBROOK & SON,2019-05-15
T/A: Norton & Yarrow Cheese Ltd,2019-05-15
North Farm (Pawlett),2019-05-15
C T C Ley Ltd,2019-05-16
R B BETTERIDGE,2019-05-16
Trude Farm,2019-05-16
P J & K FOSTER,2019-05-16
P M & M H BAKER & SON,2019-05-16
G E & S W OAKES,2019-05-16
T/A: S D & H A Hooper,2019-05-16
T/A: Devon County Show,2019-05-16
A J & R G BARBER LTD,2019-05-16
G WALKER & SONS,2019-05-16
M/S A HARLAND & SON,2019-05-16
"E A, P S ,G A & S M Johnson",2019-05-16
J W GLEAVE,2019-05-16
B C CRABB & SON,2019-05-16
A C H & R M GOVIER,2019-05-16
A J & J J Tucker,2019-05-16
MESSRS WILSON,2019-05-17
J H SIMPSON & CO.,2019-05-17
MR J R ELLIOTT,2019-05-17
M/S J C BROWN & SON,2019-05-17
T W SOUTHWELL & SONS,2019-05-17
Brodyr Williams,2019-05-17
MORRIS & SON,2019-05-17
T/A: M Kirkham & Sons,2019-05-17
J R Hockenhull & Sons,2019-05-17
MR R G & MRS M G LEADBETTER,2019-05-17
G W ROBERTS,2019-05-17
F B & E M MARSDEN,2019-05-17
M A & J R SHARPE,2019-05-17
S J Palmer,2019-05-18
J McKELLAR / DROINTON FARMS,2019-05-20
T/A: A M Duguid & Son,2019-05-20
Beili Glas Cyf,2019-05-20
A M & M Thomas,2019-05-20
Fferm Y Graig,2019-05-20
"P G, E J ROYLE & SONS",2019-05-20
T/A: A B Holliday,2019-05-20
E J GRIFFIN & SON,2019-05-20
The Green Barn,2019-05-20
Queen Bower Dairy,2019-05-20
T/A: G Marrow & Partners,2019-05-21
Mr Phillip Thomas,2019-05-21
C M & J STOTT & SON,2019-05-21
COURT FARM DAIRY,2019-05-21
A J & C MARTIN,2019-05-21
CORRAN LODGE LIMITED,2019-05-21
S J & J E OGDEN,2019-05-21
M/S JACKSON,2019-05-21
LORD INGLEWOOD & PTN,2019-05-21
E F HEMMING & SONS,2019-05-21
D A & D M Lanfear,2019-05-21
M & R KIRKHAM & SONS LTD,2019-05-21
D & S E JONES,2019-05-21
M D James & Sons,2019-05-21
E C Dixon & Son,2019-05-21
S D & E L PREECE,2019-05-21
D J GOULD & SON,2019-05-21
Mr G V Wellings,2019-05-21
M/S W & C LASBURY,2019-05-21
WOOKEY BROS,2019-05-22
M J & R D Russell Limited,2019-05-22
E VOWLES & SON,2019-05-22
ALVIS BROS. LTD,2019-05-22
Fferm Y Graig,2019-05-22
Garan Farms Ltd,2019-05-22
"E M, E & I R Morgan",2019-05-22
W Condell & Co.,2019-05-22
J SCARR & SONS,2019-05-22
D M & L SMITH,2019-05-22
P & A M SIMPSON,2019-05-22
H HURST & SON,2019-05-22
MESSRS F E WHITTAKER & SONS,2019-05-22
PHIL CALLWOOD & PARTNERS,2019-05-22
M & S WILSON,2019-05-22
M W GODDARD,2019-05-22
YUILL FARMS LTD,2019-05-22
WHEELTON FARMS LTD,2019-05-22
T H HESLOP & SONS,2019-05-22
R & J LEDGER,2019-05-22
T/A: James J Quan,2019-05-22
T/A: H J & A D Brickell,2019-05-22
S & C Murrain,2019-05-23
S T & A L Ward Ltd,2019-05-23
W E Morgan & Son,2019-05-23
A J PARRY & SONS,2019-05-23
JE EVANS & SONS,2019-05-23
M H WINSTONE & SON,2019-05-23
N & F ROOBOTTOM,2019-05-23
RC & DR Brereton,2019-05-23
RM & J JOHNSON,2019-05-23
RM & J JOHNSON,2019-05-23
W & N SHERRATT & SON,2019-05-23
CLAYTONS PARTNERSHIP,2019-05-23
S J M Pascoe & Sons,2019-05-23
J C DAWE & SON,2019-05-23
TMA Cox,2019-05-23
J A HOCKENHULL & A J HOCKENHULL,2019-05-24
MR ER & MRS I DODD & SON,2019-05-24
F E Chilman & Son,2019-05-24
C WHEELER & SON,2019-05-24
DOLKEN DAIRY GOATS,2019-05-24
D W Meadmore & Son,2019-05-24
T/A: Kinmel Home Farm Partnership,2019-05-24
T/A: Thomas Stephenson,2019-05-28
RM & J JOHNSON,2019-05-28
BEECHDEAN FARMS,2019-05-28
J A & L S M TRIPCONEY,2019-05-28
J A & H E Lutner,2019-05-28
J W & J Holland,2019-05-29
PEMBERTON'S DAIRIES,2019-05-29
MR A BROUGH,2019-05-29
R M TODD,2019-05-29
MS BOWE,2019-05-29
D F Mitchell & Partners,2019-05-29
B Chandler,2019-05-29
REX PATERSON (FARMS) LTD,2019-05-29
REX PATERSON (FARMS) LTD,2019-05-29
T E DAVIES & SON,2019-05-29
A J & A J GIBBONS,2019-05-29
P & A Wakeham,2019-05-29
T/A: Down Farm,2019-05-29
T/A: J D & N C Law,2019-05-29
T/A: W D & S J Hosegood,2019-05-29
T/A: J & N Proctor,2019-05-29
T/A: GP Stott,2019-05-30
"T/A: R, R & J Symons",2019-05-30
FOLD FARM PARTNERS,2019-05-30
D C BARTLETT,2019-05-30
M/S G F & D V BUSSELL,2019-05-30
W J ELSTON & SON,2019-05-30
M/S J J TAYLOR,2019-05-30
R J & R T Barrington,2019-05-30
M/S S J & J E WELFORD,2019-05-31
M/S G C & A J FOSTER,2019-05-31
PARK HOUSE FARMING CO LTD,2019-05-31
MS & G Mason,2019-05-31
D E J BRAY,2019-05-31
MR R L LATHAM,2019-05-31
K P & M MASSEY & SON,2019-05-31
J E SPRY & SONS,2019-05-31
N R & S L M GREEN,2019-05-31
MRS J P SHIPTON,2019-05-31
T/A: Thomas Stephenson,2019-05-31
J S & K A WHITAKER,2019-05-31
M A & J R SHARPE,2019-05-31
Mr Richard Loud,2019-05-31
DOLKEN DAIRY GOATS,2019-05-31
T/A: P J & T FLETCHER,2019-05-31
V W FLEMING & SON,2019-05-31
C M & J STOTT & SON,2019-05-31
W & N SHERRATT & SON,2019-06-03
HANKINS HEYS FARM LIMITED,2019-06-03
MS & G Mason,2019-06-03
D A & M E WELFORD,2019-06-03
MR J R ELLIOTT,2019-06-03
M/S D C SMITH & SONS,2019-06-03
T/A: P G T HOOK & SON,2019-06-03
MR S P A RUSHTON,2019-06-03
MR T E L HUMPHREYS,2019-06-03
Lewis Bros.,2019-06-03
A Jones & Co,2019-06-03
S R Hughes & Co.,2019-06-03
K & M ELKIN,2019-06-03
Mr John Colin Hughes,2019-06-03
Mrs K Reeves,2019-06-03
G WALKER & SONS,2019-06-03
MR EJ & MRS SJ COURT,2019-06-04
WD & HM Seabridge,2019-06-04
RE & SE CARTMAIL,2019-06-04
K E & W M Rees,2019-06-04
W Condell & Co.,2019-06-04
C M John,2019-06-04
A SHIPLEY & SONS,2019-06-04
J SCARR & SONS,2019-06-04
D P MORLEY,2019-06-04
LORD INGLEWOOD & PTN,2019-06-04
D & E A JEFFERY,2019-06-04
V & C SMITH,2019-06-04
A M YARDLEY,2019-06-04
Mr Richard Loud,2019-06-04
Mr William A E Fox,2019-06-04
T/A: A D & F E Elliott,2019-06-04
T/A: Maycottage Goats Milk,2019-06-05
T/A: R and E J Phillips,2019-06-05
T/A: J & L Burdge,2019-06-05
T/A: K J Manley,2019-06-05
T/A: G Marrow & Partners,2019-06-05
WHEELTON FARMS LTD,2019-06-05
C T C Ley Ltd,2019-06-05
Robertson Dairy Management Ltd,2019-06-05
"T C, B M & A T  WILLIAMS",2019-06-05
E W WILLIAMS,2019-06-05
S M & D M TURNER LTD,2019-06-05
J & B BERRISFORD & SON,2019-06-05
E & M NICHOLAS,2019-06-05
M/S DJ & DC COATES,2019-06-05
Messrs Lloyd Bros,2019-06-05
A Jones & Co,2019-06-05
M J & J OWENS,2019-06-05
M M & A Green,2019-06-05
D J GOULD & SON,2019-06-05
S J & E H COLES,2019-06-05
C L G Wadman & J Wadman & Sons,2019-06-05
J D & S A FEAR & SONS,2019-06-05
G J HOOK & SON,2019-06-05
