Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Rail Travel UK - Trade Envoys,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",115805,35,,SW1H 0ET,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Taxi Services UK - Trade Envoys,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",115805,44,,SW1H 0ET,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Hire of Agency Staff - Marketing Event,Trade Group - Service Delivery,CAPITA BUSINESS SERVICES LTD,115817,"2,329.14",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,22/10/2015,Hire of Agency Staff - Overseas Business Network Development,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",CAPITA BUSINESS SERVICES LTD,115819,"2,136.54",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Hire of Agency Staff - Digital Business Opportunities,Trade Group - Service Delivery,CAPITA BUSINESS SERVICES LTD,115823,"1,380.06",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Hire of Agency Staff - Trade Development Support,Trade Group - Partnerships & Business,CAPITA BUSINESS SERVICES LTD,115826,"3,493.73",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Hire of Agency Staff - Non-Specific Programme activity,Trade Group - Partnerships & Business,CAPITA BUSINESS SERVICES LTD,115827,"2,004.62",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Hire of Agency Staff - UKTI Programme Admin,Chief Operating Officer - Communications,CAPITA BUSINESS SERVICES LTD,115828,"1,694.64",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Hire of Agency Staff - Great Campaign Events,Chief Operating Officer - Communications,CAPITA BUSINESS SERVICES LTD,115829,"3,502.68",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Goods/Services - China Uplift,Trade Group - Creative Economy Tech & Construction,CAPITA BUSINESS SERVICES LTD,115830,"1,156.66",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Outsourced Technical Support - Digital Business Opportunities,Trade Group - Service Delivery,VODAFONE LTD,115833,"12,817.51",,MK3 5JP,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Purchase of Equipment < £3000 - UKTI Programme Admin,Chief Operating Officer - IT and Finance,INSIGHT DIRECT (UK) LTD,115851,"1,991.76",,UB8 1PH,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Current Grants To Private Sector - NPISH - Music Export Growth Scheme,Trade Group - Creative Economy Tech & Construction,BPI (BRITISH RECORDED MUSIC INDUSTRY) LTD,115854,"15,000.00",,SE1 7JA,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Current Grants To Private Sector - NPISH - Music Export Growth Scheme,Trade Group - Creative Economy Tech & Construction,BPI (BRITISH RECORDED MUSIC INDUSTRY) LTD,115855,"10,000.00",,SE1 7JA,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Current Grants To Private Sector - NPISH - Music Export Growth Scheme,Trade Group - Creative Economy Tech & Construction,BPI (BRITISH RECORDED MUSIC INDUSTRY) LTD,115856,"12,500.00",,SE1 7JA,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Current Grants To Private Sector - NPISH - Music Export Growth Scheme,Trade Group - Creative Economy Tech & Construction,BPI (BRITISH RECORDED MUSIC INDUSTRY) LTD,115857,"12,500.00",,SE1 7JA,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Outsourced Programme Management - International Trade Advisors,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,115858,"4,852.00",,AL7 3AX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Outsourced Programme Management - Overseas Business Network Development,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",EXEMPLAS TRADE SERVICES LTD,115858,"7,133.00",,AL7 3AX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Outsourced Programme Management - E-commerce programme (AS 2014 E-Commerce),Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,115858,"10,200.00",,AL7 3AX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Outsourced Programme Management - Medium Sized Business International Trade Advisors,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,115858,"31,450.00",,AL7 3AX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Outsourced Programme Management - First Time Exporters International Trade Advisors,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,115858,"83,201.00",,AL7 3AX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Outsourced Programme Management - International Trade Advisors,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,115858,"110,174.00",,AL7 3AX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Subsistence Overseas - Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,115859,120,,AL7 3AX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Subsistence Overseas - Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,115859,500,,AL7 3AX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Subsistence Overseas - Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,115859,500,,AL7 3AX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Subsistence Overseas - Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,115859,500,,AL7 3AX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Subsistence Overseas - Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,115859,500,,AL7 3AX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Subsistence Overseas - Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,115859,500,,AL7 3AX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Subsistence Overseas - Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,115859,750,,AL7 3AX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,VISIT BRITAIN,115864,"30,000.00",,SW1P 3BT,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Other Training Costs - Non-Specific Programme activity (Admin),Chief Operating Officer - Strategy & Human Resources,BUSINESS NAVIGATORS (EUROPE) LTD,115865,"2,700.00",,HG4 2PW,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Conference and Exhibition Services - Non-Specific Programme activity,Trade Group - Partnerships & Business,GRANT THORNTON UK LLP,115866,"176,224.17",,NN4 7YE,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Marketing and Media - GREAT Events UK,Chief Operating Officer - Communications,ENGINE PARTNERS UK LLP (THE ENGINE GROUP LTD),115874,"178,649.14",,W1W 7RT,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,BRITISH CONTRACT FURNISHING ASSOCIATION,115878,"40,000.00",,HP11 2LQ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,BRITISH CONTRACT FURNISHING ASSOCIATION,115879,"3,840.00",,HP11 2LQ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Conference and Exhibition Services - Sector Events - UK,Trade Group - Partnerships & Business,I2I EVENTS LTD,115880,"47,250.00",,W1B 5AP,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Other Professional Services - International Trade Advisors,Trade Group - Service Delivery,ONE LONDON TRADE AND INVESTMENT LTD,115885,"4,852.08",,SE1 2JN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Other Professional Services - Medium Sized Business International Trade Advisors,Trade Group - Service Delivery,ONE LONDON TRADE AND INVESTMENT LTD,115885,"93,570.83",,SE1 2JN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Other Professional Services - First Time Exporters International Trade Advisors,Trade Group - Service Delivery,ONE LONDON TRADE AND INVESTMENT LTD,115885,"112,100.83",,SE1 2JN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Other Professional Services - International Trade Advisors,Trade Group - Service Delivery,ONE LONDON TRADE AND INVESTMENT LTD,115885,"140,136.67",,SE1 2JN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Stationery - Other Programme Costs,Trade Group - Operations Directorate,BANNER BUSINESS SERVICES LTD,115887,98.42,,S9 1XU,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,14/10/2015,Other Professional Services - Inward Investment Research,Investment Development - Strategic Investment & Accounts,ALLAN WEBB LTD,115890,469.5,,GL10 3RF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,IT Services - Overseas Business Network Development,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",ALLAN WEBB LTD,115891,"6,813.60",,GL10 3RF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Hire of Agency Staff - Non-Specific Programme activity,Trade Group - Partnerships & Business,CAPITA BUSINESS SERVICES LTD,115896,"1,921.28",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - Specialist Delivery of Wins,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation",CAPITA BUSINESS SERVICES LTD,115899,"5,074.14",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Other Professional Services - E-exporting,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,115900,867.46,,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Other Professional Services - E-exporting,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,115901,"4,106.82",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Other Professional Services - E-exporting,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,115902,"2,322.90",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Hire of Agency Staff - Non-Specific Programme activity,Trade Group - Partnerships & Business,CAPITA BUSINESS SERVICES LTD,115904,"2,349.68",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - Specialist Delivery of Wins,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation",CAPITA BUSINESS SERVICES LTD,115907,"1,334.52",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Corporate Event Management and Marketing - Sector Events - UK,Trade Group - Partnerships & Business,THE PERFORMING RIGHT SOCIETY FOUNDATION,115914,"12,500.00",,W1T 3AB,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Other Professional Services - E-exporting,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,115916,"2,347.85",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Additions  - Cost - Software Licences - Attracting Global Entrepreneurs,"Investment Development - Managing Director & Operations, Investment Development",BLUE SKY HOSTING LTD,115976,72,,SW1E 6DX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Air Travel - Sector Events - UK,Defence and Security Organisation - Business Development,HMS IRON DUKE,115977,21,,BFPO 309,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Marketing - Promotional Materials - Trade Marketing Publication,Defence and Security Organisation - Business Development,AWARE PROMOTIONAL MERCHANDISE LTD,115978,"1,708.20",,PE7 1DY,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Current Grants To Private Sector - NPISH - Overseas Business Network Development,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",ONE LONDON TRADE AND INVESTMENT LTD,115979,"5,833.33",,SE1 2JN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Maintenance of IT Equipment - UKTI Programme Admin,Chief Operating Officer - IT and Finance,TOPAZ SUPPORT LTD,115991,26.98,,RG7 1NW,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Internal Training - Non-Specific Programme activity,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",CAPITA BUSINESS SERVICES LTD,115993,"3,215.00",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Mileage Allowance UK - Support to Defence & Security Campaigns,Defence and Security Organisation - Regional Directorates,"Personal Expense, Name Witheld",116010,54,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - First Time Exporter Credits,Trade Group - Service Delivery,NORTHERN VAPORISERS LTD,116019,125,,BD23 2AA,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - First Time Exporter Credits,Trade Group - Service Delivery,FARRELLY ATKINSON,116030,"1,000.00",,BA1 1JB,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - First Time Exporter Credits,Trade Group - Service Delivery,LOGISTICS SKILLS & CONSULTANCY LTD,116031,812.78,,NE23 7BF,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Corporate Event Management and Marketing - Marketing Event,Trade Group - Service Delivery,TEESSIDE UNIVERSITY,116040,"4,000.00",,TS1 3BA,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Static Line Rental - UKTI Programme Admin,Chief Operating Officer - IT and Finance,BRITISH TELECOMMUNICATIONS plc (BT),116046,97.16,,DH98 1BT,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Other Goods/Services - Sector Events - UK,Trade Group - Consumer and Retail,Slug & Lettuce Company Ltd,116065,631.75,,LU1 3LS,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Corporate Event Management and Marketing - Sector Events - Abroad,Trade Group - Creative Economy Tech & Construction,EDEN PROJECT LTD,116066,504.82,,PL24 2SG,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,16/10/2015,Conference and Exhibition Services - Sector Events - Abroad,Defence and Security Organisation - Business Development,GML EXHIBITION (THAILAND) CO LTD,116067,"78,296.88",,10400,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Other Professional Services - Non-Specific Programme activity,Investment Development - Strategic Investment & Accounts,EDINBURGH CONSULTANTS GROUP LTD,116068,"1,125.00",,EH4 2HU,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,BRITISH PIG ASSOCIATION,116072,"1,440.00",,CB2 2LS,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,BRITISH PIG ASSOCIATION,116072,"7,200.00",,CB2 2LS,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,SOCIETY OF MARITIME INDUSTRIES LTD,116075,240,,EC2R 8AY,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,SOCIETY OF MARITIME INDUSTRIES LTD,116077,"1,500.00",,EC2R 8AY,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,BRITISH PIG ASSOCIATION,116079,"15,000.00",,CB2 2LS,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Subsistence UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116098,37.41,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Rail Travel UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116098,95.7,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Taxi Services UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116098,181,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Subsistence UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116100,49.74,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Rail Travel UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116100,108.05,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Conference and Exhibition Services - First Time Exporter Incubator Programme,Trade Group - Service Delivery,CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,116101,"2,855.00",,M60 7HJ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Subsistence UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116103,37.53,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Rail Travel UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116103,94.9,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Taxi Services UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116103,122.6,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Current Grants To Private Sector - NPISH - Overseas Business Network Development,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,116104,"6,999.60",,M60 7HJ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Rail Travel UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116105,29.5,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Taxi Services UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116105,45,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Subsistence UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116105,45.23,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Corporate Event Management and Marketing - Mid-Sized Business Events,Trade Group - Service Delivery,CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,116106,"1,870.00",,M60 7HJ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Other Goods/Services - Medium Sized Business International Trade Advisors,Trade Group - Service Delivery,CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,116108,"51,750.00",,M60 7HJ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Other Goods/Services - First Time Exporters International Trade Advisors,Trade Group - Service Delivery,CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,116109,"100,433.33",,M60 7HJ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Other Goods/Services - International Trade Advisors,Trade Group - Service Delivery,CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,116110,"89,166.00",,M60 7HJ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,BRITISH EUROPEAN DESIGN GROUP,116112,"48,000.00",,TW9 2HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Other Goods/Services - International Trade Advisors,Trade Group - Service Delivery,CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,116113,"5,708.00",,M60 7HJ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,BRITISH EUROPEAN DESIGN GROUP,116117,"11,520.00",,TW9 2HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,GAMBICA ASSOCIATION LTD,116118,"2,500.00",,SE1 7SL,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,GAMBICA ASSOCIATION LTD,116119,240,,SE1 7SL,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Corporate Event Management and Marketing - Marketing Event,Trade Group - Service Delivery,CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,116120,"2,985.60",,M60 7HJ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Other Goods/Services - E-commerce programme (AS 2014 E-Commerce),Trade Group - Service Delivery,CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,116121,"6,000.00",,M60 7HJ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Other Goods/Services - International Trade Team Contracting,Trade Group - Service Delivery,EAST MIDLANDS BUSINESS LTD,116122,"270,000.00",,LE19 1RJ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Outsourced Programme Management - International Trade Team Contracting,Trade Group - Service Delivery,WEST MIDLANDS INTERNATIONAL TRADE LLP,116177,"378,750.00",,B15 3DH,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Training And Development Expenditure - Investment - Sectors (Autumn Statement),"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation","Personal Expense, Name Witheld",116189,150,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Taxi Services UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116191,13.6,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Subsistence UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116191,19.83,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Rail Travel UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116191,69.9,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Subsistence UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116192,16.97,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Rail Travel UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116192,49.2,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Taxi Services UK - Other Programme Costs,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",116192,103.2,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Hotel & Accommodation UK - Non-Specific Programme activity,Trade Group - Healthcare UK,THE PORTLAND HOTEL,116227,110,,M1 6DP,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Marketing - Design Services - Marketing Resouce Centre,Chief Operating Officer - Communications,RACKSPACE LTD,116228,"1,043.86",,UB3 4AZ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,23/10/2015,Intercompany Receivables (Financial Accounts SYSTEM) - Default,Chief Operating Officer - IT and Finance,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,116233,"46,836.38",,SW1H 0ET,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,IT Services - Non-Specific Programme activity,"Investment Development - Managing Director & Operations, Investment Development",BRIGHTLEMON LTD,116236,"3,240.00",,EC2A 4DL,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Uncapitalised construction costs - Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",STAGE ONE CREATIVE SERVICES LTD,116237,"13,264.67",,YO26 7QF,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,RAILWAY INDUSTRY ASSOCIATION,116243,"24,000.00",,SW1X 7RY,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,RAILWAY INDUSTRY ASSOCIATION,116244,"3,840.00",,SW1X 7RY,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,12/10/2015,Other Professional Services - Non-Specific Programme activity,Investment Development - Strategic Investment & Accounts,BROOK STREET (UK) LTD,116245,935.36,,AL1 4JB,VENDOR,,,Programme
