MonthReceived,Ref,IKMTeamMemberLead,Directorate,EnquiryType
May-17,428.0,Deputy IT Security Officer,External Requester ,Security
May-17,429.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
May-17,430.0,Deputy IT Security Officer,Private Office,Security
May-17,431.0,Deputy IT Security Officer,Private Office,Security
May-17,432.0,Deputy IT Security Officer,Wales and Regulatory Delivery,Security
May-17,433.0,Information Architect,Policy and Science,Records Management - Wisdom
May-17,434.0,Information Architect,Policy and Science,Records Management - Other
May-17,435.0,Information Architect,Policy and Science,Records Management - Wisdom
May-17,436.0,Deputy IT Security Officer,External Requester ,Security
May-17,437.0,Information Governance Manager,Operations,Information Governance
May-17,438.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
May-17,439.0,Deputy IT Security Officer,Policy and Science,Security
May-17,440.0,Information & security Team Leader,Policy and Science,Records Management - Other
May-17,441.0,Information & security Team Leader,Openness Data and Digital,Information Governance
May-17,442.0,Information & security Team Leader,Wales and Regulatory Delivery,Information Governance
May-17,443.0,Information & security Team Leader,Finance and Performance,Records Management - Other
May-17,444.0,Information & security Team Leader,Finance and Performance,Records Management - Other
Jun-17,445.0,Information & security Team Leader,Operations,Information Governance
Jun-17,446.0,Security Manager,Policy and Science,Security
Jun-17,447.0,Information & security Team Leader,Finance and Performance,Records Management - Wisdom
Jun-17,448.0,Security Manager,Policy and Science,Security
Jun-17,449.0,Deputy IT Security Officer,Finance and Performance,Security
Jun-17,500.0,Security Manager,Operations,Security
Jun-17,501.0,Information & security Team Leader,Regulatory and Legal Strategy,Records Management - Wisdom
Jun-17,502.0,Security Manager,Openness Data and Digital,Security
Jun-17,503.0,Security Manager,Operations,Security
Jun-17,504.0,Information & security Team Leader,Operations,Records Management - Other
Jun-17,505.0,Information & security Team Leader,Operations,Records Management - Other
Jun-17,506.0,Security Manager,Operations,Records Management - Other
Jun-17,507.0,Information & security Team Leader,Operations,Records Management - Wisdom
Jun-17,508.0,Security Manager,Finance and Performance,Security
Jun-17,509.0,Information Governance Manager,Regulatory and Legal Strategy,Records Management - Other
Apr-17,510.0,Information Governance Manager,External Requester ,Information Governance
May-17,511.0,Information Governance Manager,Wales and Regulatory Delivery,Information Governance
May-17,512.0,Information Governance Manager,NI and Organisational Development,Information Governance
May-17,513.0,Information Governance Manager,Wales and Regulatory Delivery,Records Management - Other
Jun-17,514.0,Information & security Team Leader,Operations,Information Governance
Jun-17,515.0,Information & security Team Leader,Operations,Information Governance
Jun-17,516.0,Information Architect,Wales and Regulatory Delivery,Records Management - Other
Jun-17,517.0,Information & security Team Leader,Operations,Information Governance
Jun-17,518.0,Information & security Team Leader,Finance and Performance,Information Governance
Jun-17,519.0,Security Manager,Openness Data and Digital,Security
Jun-17,520.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Jun-17,521.0,Security Manager,Operations,Security
Jun-17,522.0,Security Manager,Finance and Performance,Security
Jun-17,523.0,Security Manager,Regulatory and Legal Strategy,Security
Jun-17,524.0,Security Manager,Openness Data and Digital,Security
Jun-17,525.0,Deputy IT Security Officer,External Requester ,Records Management - Other
Jun-17,526.0,Deputy IT Security Officer,External Requester ,Security
Jun-17,527.0,Deputy IT Security Officer,External Requester ,Security
Jun-17,528.0,Deputy IT Security Officer,Finance and Performance,Records Management - Other
Jun-17,529.0,Deputy IT Security Officer,Operations,Security
Jun-17,530.0,Information & security Team Leader,Regulatory and Legal Strategy,Information Governance
Jun-17,531.0,Security Manager,Openness Data and Digital,Security
Jun-17,532.0,Security Manager,Regulatory and Legal Strategy,Security
Jun-17,533.0,Deputy IT Security Officer,Policy and Science,Security
Jun-17,534.0,Deputy IT Security Officer,Openness Data and Digital,Records Management - Other
Jun-17,535.0,Deputy IT Security Officer,Openness Data and Digital,Records Management - Other
Jun-17,536.0,Deputy IT Security Officer,Operations,Security
Jun-17,537.0,Deputy IT Security Officer,Operations,Security
Jun-17,538.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Jun-17,539.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Jun-17,540.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Jun-17,541.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Jun-17,542.0,Deputy IT Security Officer,Policy and Science,Security
Jun-17,543.0,Deputy IT Security Officer,Wales and Regulatory Delivery,Security
Jun-17,544.0,Deputy IT Security Officer,Operations,Security
Jun-17,545.0,Deputy IT Security Officer,Policy and Science,Security
Jun-17,546.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Jun-17,547.0,Deputy IT Security Officer,Wales and Regulatory Delivery,Security
Jun-17,548.0,Deputy IT Security Officer,Operations,Security
Jun-17,549.0,Deputy IT Security Officer,Operations,Security
Jun-17,550.0,Deputy IT Security Officer,Operations,Security
Jun-17,551.0,Deputy IT Security Officer,Operations,Security
Jun-17,552.0,Deputy IT Security Officer,Operations,Security
Jun-17,553.0,Deputy IT Security Officer,Openness Data and Digital,Security
Jun-17,554.0,Deputy IT Security Officer,Openness Data and Digital,Security
Jun-17,555.0,Security Manager,Openness Data and Digital,Security
Jun-17,556.0,Security Manager,Openness Data and Digital,Security
Jun-17,557.0,Security Manager,Finance and Performance,Security
Jun-17,558.0,Deputy IT Security Officer,Operations,Security
Jun-17,559.0,Deputy IT Security Officer,Policy and Science,Security
Jun-17,560.0,Deputy IT Security Officer,Openness Data and Digital,Security
Jun-17,561.0,Security Manager,Openness Data and Digital,Security
Jun-17,562.0,Information & security Team Leader,Wales and Regulatory Delivery,Records Management - Wisdom
Jun-17,563.0,Deputy IT Security Officer,Finance and Performance,Information Governance
Jun-17,564.0,Deputy IT Security Officer,Operations,Security
Jun-17,565.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Jun-17,566.0,Information & security Team Leader,External Requester ,Records Management - Other
Jun-17,567.0,Deputy IT Security Officer,Finance and Performance,Security
Jun-17,568.0,Deputy IT Security Officer,Finance and Performance,Security
Jun-17,569.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Jun-17,570.0,Information Architect,Finance and Performance,Records Management - Wisdom
Jun-17,571.0,Information Architect,Finance and Performance,Records Management - Wisdom
Jun-17,572.0,Information Architect,Operations,Records Management - Wisdom
Jun-17,573.0,Security Manager,Openness Data and Digital,Records Management - Wisdom
Jun-17,574.0,Security Manager,Finance and Performance,Security
Jun-17,575.0,Security Manager,External Requester ,Security
Jun-17,576.0,Security Manager,External Requester ,Security
Jun-17,577.0,Security Manager,External Requester ,Security
Jun-17,578.0,Security Manager,External Requester ,Security
Jun-17,579.0,Security Manager,External Requester ,Security
Jun-17,580.0,Security Manager,External Requester ,Security
Jun-17,581.0,Security Manager,External Requester ,Security
Jun-17,582.0,Security Manager,External Requester ,Security
Jun-17,583.0,Security Manager,External Requester ,Security
Jun-17,584.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Jun-17,585.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Records Management - Wisdom
Jun-17,586.0,Deputy IT Security Officer,Operations,Records Management - Wisdom
Jun-17,587.0,Security Manager,External Requester ,Security
Jun-17,588.0,Deputy IT Security Officer,Policy and Science,Security
Jun-17,589.0,Deputy IT Security Officer,Wales and Regulatory Delivery,Security
Jun-17,590.0,Deputy IT Security Officer,Policy and Science,Security
Jun-17,591.0,Information Architect,Regulatory and Legal Strategy,Security
Jun-17,592.0,Deputy IT Security Officer,Operations,Security
Jun-17,593.0,Security Manager,External Requester ,Security
Jun-17,594.0,Deputy IT Security Officer,Policy and Science,Security
Jun-17,595.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Jun-17,596.0,Security Manager,Regulatory and Legal Strategy,Security
Jun-17,597.0,Deputy IT Security Officer,Operations,Security
Jun-17,598.0,Security Manager,Finance and Performance,Security
Jun-17,599.0,Deputy IT Security Officer,Operations,Security
Jun-17,600.0,Security Manager,Operations,Security
Jun-17,601.0,Information Architect,Openness Data and Digital,Wisdom
Jun-17,602.0,Information Architect,Operations,Wisdom
Jun-17,603.0,Information Architect,Regulatory and Legal Strategy,Wisdom
Jun-17,604.0,Information Architect,Regulatory and Legal Strategy,Wisdom
Jun-17,605.0,Information Architect,Policy and Science,Wisdom
Jun-17,606.0,Information Architect,Regulatory and Legal Strategy,Wisdom
Jun-17,607.0,Security Manager,Finance and Performance,Security
Jun-17,608.0,Information Architect,Openness Data and Digital,Wisdom
Jul-17,609.0,Deputy IT Security Officer,Policy and Science,Security
Jul-17,610.0,Deputy IT Security Officer,Openness Data and Digital,Security
Jul-17,611.0,Information & security Team Leader,Policy and Science,Information Governance
Jul-17,612.0,Deputy IT Security Officer,Operations,Security
Jun-17,613.0,Deputy IT Security Officer,Finance and Performance,Security
Jul-17,614.0,Information Architect,Regulatory and Legal Strategy,Wisdom
Jul-17,615.0,Information Architect,Regulatory and Legal Strategy,Wisdom
Jul-17,616.0,Information Architect,Regulatory and Legal Strategy,Wisdom
Jul-17,617.0,Security Manager,External Requester ,Security
Jul-17,618.0,Information Architect,Finance and Performance,Wisdom
Jul-17,619.0,Information Architect,Policy and Science,Wisdom
Jul-17,620.0,Information & security Team Leader,Finance and Performance,Information Governance
Jul-17,621.0,Security Manager,External Requester ,Security
Jul-17,622.0,Security Manager,Openness Data and Digital,Security
Jul-17,623.0,Information & security Team Leader,Regulatory and Legal Strategy,Information Governance
Jul-17,624.0,Information Architect,Regulatory and Legal Strategy,Wisdom
Jul-17,625.0,Information Governance Manager,Operations,Records Management - Other
Jul-17,626.0,Information Architect,Openness Data and Digital,Wisdom
Jul-17,627.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Jul-17,628.0,Deputy IT Security Officer,External Requester ,Security
Jul-17,629.0,Information Architect,Policy and Science,Wisdom
Jul-18,630.0,Information Governance Manager,External Requester ,Information Governance
Jul-18,631.0,Information Governance Manager,External Requester ,Information Governance
Jul-17,632.0,Information Governance Manager,Regulatory and Legal Strategy,Information Governance
Jul-17,633.0,Security Manager,Openness Data and Digital,Security
Jun-17,634.0,Security Manager,Operations,Security
Jul-17,635.0,Deputy IT Security Officer,External Requester ,Security
Jul-17,636.0,Deputy IT Security Officer,Policy and Science,Security
Jul-17,637.0,Information Governance Manager,Wales and Regulatory Delivery,Information Governance
Jul-17,638.0,Security Manager,Policy and Science,Security
Jul-17,639.0,Information Architect,Finance and Performance,Records Management - Wisdom
Jul-17,640.0,Information Architect,External Requester ,Records Management - Wisdom
Jul-17,641.0,Deputy IT Security Officer,Operations,Security
Jul-17,642.0,Information & security Team Leader,Operations,Records Management - Other
Jul-17,643.0,Information & security Team Leader,Operations,Records Management - Other
Jul-17,644.0,Information Architect,Operations,Records Management - Wisdom
Jul-17,645.0,Deputy IT Security Officer,External Requester ,Security
Jul-17,646.0,Security Manager,External Requester ,Security
Jul-17,647.0,Information Governance Manager,Regulatory and Legal Strategy,Information Governance
Jul-17,648.0,Security Manager,Openness Data and Digital,Security
Jul-17,649.0,Security Manager,Openness Data and Digital,Security
Jul-17,650.0,Deputy IT Security Officer,NI and Organisational Development,Security
Jul-17,651.0,Security Manager,Openness Data and Digital,Security
Jul-17,652.0,Security Manager,Finance and Performance,Security
Jul-17,653.0,Security Manager,Openness Data and Digital,Security
Jul-17,654.0,Security Manager,Operations,Security
Jul-17,655.0,Deputy IT Security Officer,Finance and Performance,Security
Jul-17,656.0,Information Architect,Operations,Records Management - Wisdom
Jul-17,657.0,Deputy IT Security Officer,Finance and Performance,Security
Jul-17,658.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Jul-17,659.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Jul-17,660.0,Deputy IT Security Officer,Openness Data and Digital,Security
Jul-17,661.0,Information Architect,Policy and Science,Records Management - Wisdom
Jul-17,662.0,Information Architect,Private Office,Records Management - Wisdom
Jul-17,663.0,Deputy IT Security Officer,Operations,Security
Jul-17,664.0,Deputy IT Security Officer,External Requester ,Information Governance
Jul-17,665.0,Deputy IT Security Officer,External Requester ,Security
Jul-17,666.0,Deputy IT Security Officer,External Requester ,Security
Jul-17,667.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Jul-17,668.0,Deputy IT Security Officer,Operations,Security
Jul-17,669.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Jul-17,670.0,Deputy IT Security Officer,Operations,Security
Jul-17,671.0,Deputy IT Security Officer,Finance and Performance,Security
Jul-17,672.0,Deputy IT Security Officer,NI and Organisational Development,Security
Jul-17,673.0,Deputy IT Security Officer,Operations,Security
Jul-17,674.0,Information Governance Manager,Wales and Regulatory Delivery,Information Governance
Jul-17,675.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Jul-17,676.0,Information Governance Manager,External Requester ,Information Governance
Jul-17,677.0,Head of Information Management ,Policy and Science,Information Governance
Jul-17,678.0,Deputy IT Security Officer,Operations,Security
Jul-17,679.0,Information Architect,Policy and Science,Records Management - Other
Jul-17,680.0,Deputy IT Security Officer,Openness Data and Digital,Security
Jul-17,681.0,Deputy IT Security Officer,External Requester ,Security
Jul-17,682.0,Information & security Team Leader,Operations,Information Governance
Jul-17,683.0,Information Architect,Operations,Information Governance
Jul-17,684.0,Deputy IT Security Officer,Operations,Security
Jul-17,685.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Jul-17,686.0,Information Architect,Private Office,Records Management - Wisdom
Jul-17,687.0,Information & security Team Leader,Private Office,Information Governance
Jul-17,688.0,Information Governance Manager,NI and Organisational Development,Information Governance
Jul-17,689.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Jul-17,690.0,Deputy IT Security Officer,External Requester ,Security
Jul-17,691.0,Information Architect,Operations,Records Management - Wisdom
Jul-17,692.0,Deputy IT Security Officer,Policy and Science,Security
Jul-17,693.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Jul-17,694.0,Deputy IT Security Officer,Operations,Security
Jul-17,695.0,Deputy IT Security Officer,Operations,Security
Jul-17,696.0,Deputy IT Security Officer,Operations,Security
Jul-17,697.0,Deputy IT Security Officer,Operations,Information Governance
Jul-17,698.0,Deputy IT Security Officer,Operations,Security
Jul-17,699.0,Deputy IT Security Officer,Operations,Security
Jul-17,700.0,Deputy IT Security Officer,Operations,Security
Jul-17,701.0,Deputy IT Security Officer,Operations,Security
Aug-17,702.0,Deputy IT Security Officer,Operations,Security
Aug-17,703.0,Deputy IT Security Officer,Operations,Security
Aug-17,704.0,Deputy IT Security Officer,Openness Data and Digital,Security
Aug-17,705.0,Deputy IT Security Officer,Operations,Security
Aug-17,706.0,Information Architect,Policy and Science,Records Management - Wisdom
Aug-17,707.0,Deputy IT Security Officer,Operations,Security
Aug-17,708.0,Information Architect,External Requester ,Records Management - Other
Aug-17,709.0,Deputy IT Security Officer,Wales and Regulatory Delivery,Security
Aug-17,710.0,Deputy IT Security Officer,Operations,Security
Aug-17,711.0,Deputy IT Security Officer,Operations,Security
Aug-17,712.0,Information & security Team Leader,Policy and Science,Information Governance
Aug-17,713.0,Deputy IT Security Officer,Operations,Security
Aug-17,714.0,Head of Information Management ,Openness Data and Digital,Information Governance
Aug-17,715.0,Information Architect,Policy and Science,Records Management - Wisdom
Aug-17,716.0,Deputy IT Security Officer,Operations,Security
Aug-17,717.0,Information Architect,Wales and Regulatory Delivery,Information Governance
Jul-17,718.0,Security Manager,External Requester ,Security
Jul-17,719.0,Security Manager,External Requester ,Security
Jul-17,720.0,Information & security Team Leader,NI and Organisational Development,Information Governance
Aug-17,721.0,Information Architect,Finance and Performance,Records Management - Wisdom
Aug-17,722.0,Deputy IT Security Officer,Operations,Security
Aug-17,723.0,Security Manager,External Requester ,Security
Jul-17,724.0,Security Manager,Openness Data and Digital,Security
Aug-17,725.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Aug-17,726.0,Information Architect,Finance and Performance,Records Management - Wisdom
Aug-17,727.0,Security Manager,NI and Organisational Development,Security
Aug-17,728.0,Security Manager,Operations,Security
Aug-17,729.0,Information & security Team Leader,External Requester ,Records Management - Other
Aug-17,730.0,Security Manager,Policy and Science,Security
Aug-17,731.0,Security Manager,External Requester ,Security
Aug-17,732.0,Security Manager,External Requester ,Security
Aug-17,733.0,Security Manager,External Requester ,Security
Aug-17,734.0,Security Manager,External Requester ,Security
Aug-17,735.0,Security Manager,Regulatory and Legal Strategy,Records Management - Other
Aug-17,736.0,Security Manager,External Requester ,Security
Aug-17,737.0,Information & security Team Leader,Policy and Science,Information Governance
Aug-17,738.0,Security Manager,External Requester ,Security
Aug-17,739.0,Security Manager,External Requester ,Security
Aug-17,740.0,Security Manager,External Requester ,Security
Aug-17,741.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Aug-17,742.0,Security Manager,External Requester ,Security
Aug-17,743.0,Security Manager,Openness Data and Digital,Security
Aug-17,744.0,Security Manager,External Requester ,Security
Aug-17,745.0,Security Manager,Policy and Science,Security
Aug-17,746.0,Security Manager,NI and Organisational Development,Security
Aug-17,747.0,Security Manager,Regulatory and Legal Strategy,Security
Aug-17,748.0,Information Architect,Operations,Records Management - Wisdom
Aug-17,749.0,Security Manager,Finance and Performance,Security
Aug-17,750.0,Information & security Team Leader,Openness Data and Digital,Records Management - Other
Aug-17,751.0,Information Architect,Policy and Science,Records Management - Other
Aug-17,752.0,Security Manager,Operations,Records Management - Wisdom
Aug-17,753.0,Security Manager,Policy and Science,Security
Aug-17,754.0,Security Manager,Regulatory and Legal Strategy,Information Governance
Aug-17,755.0,Information & security Team Leader,Finance and Performance,Information Governance
Aug-17,756.0,Information Governance Manager,Operations,Information Governance
Aug-17,757.0,Information Governance Manager,Operations,Information Governance
Aug-17,758.0,Information Architect,Private Office,Records Management - Wisdom
Aug-17,759.0,Security Manager,Operations,Security
Aug-17,760.0,Security Manager,Regulatory and Legal Strategy,Records Management - Other
Aug-17,761.0,Security Manager,Openness Data and Digital,Security
Aug-17,762.0,Information Architect,Finance and Performance,Records Management - Wisdom
Aug-17,763.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Aug-17,764.0,Information Architect,Regulatory and Legal Strategy,Records Management - Other
Aug-17,765.0,Security Manager,Openness Data and Digital,Security
Aug-17,766.0,Security Manager,External Requester ,Security
Aug-17,767.0,Security Manager,External Requester ,Security
Aug-17,768.0,Security Manager,Regulatory and Legal Strategy,Security
Aug-17,769.0,Security Manager,Openness Data and Digital,Security
Aug-17,770.0,Security Manager,Operations,Security
Aug-17,771.0,Security Manager,Operations,Security
Aug-17,772.0,Information Architect,Policy and Science,Records Management - Wisdom
Aug-17,773.0,Information Architect,Finance and Performance,Records Management - Other
Aug-17,774.0,Information Governance Manager,Openness Data and Digital,Information Governance
Aug-17,775.0,Information Architect,Finance and Performance,Records Management - Wisdom
Aug-17,776.0,Information Governance Manager,Finance and Performance,Records Management - Other
Aug-17,777.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Aug-17,778.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Aug-17,779.0,Information Governance Manager,External Requester ,Information Governance
Aug-17,780.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Aug-17,781.0,Security Manager,Openness Data and Digital,Security
Aug-17,782.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Aug-17,783.0,Security Manager,Openness Data and Digital,Security
Aug-17,784.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Aug-17,785.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Aug-17,786.0,Information Governance Manager,Operations,Information Governance
Aug-17,787.0,Information Governance Manager,Openness Data and Digital,Security
Aug-17,788.0,Information Architect,Operations,Records Management - Wisdom
Jul-17,789.0,Deputy IT Security Officer,Finance and Performance,Security
Aug-17,790.0,Deputy IT Security Officer,Operations,Security
Aug-17,791.0,Deputy IT Security Officer,Operations,Security
Aug-17,792.0,Deputy IT Security Officer,Openness Data and Digital,Security
Aug-17,793.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Aug-17,794.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Aug-17,795.0,Deputy IT Security Officer,External Requester ,Security
Aug-17,796.0,Information Management Caseworker,Regulatory and Legal Strategy,Records Management - Other
Aug-17,797.0,Deputy IT Security Officer,Openness Data and Digital,Security
Aug-17,798.0,Information Architect,Operations,Records Management - Wisdom
Aug-17,799.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Aug-17,800.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Jun-17,801.0,Security Manager,Policy and Science,Security
Aug-17,802.0,Information Architect,Policy and Science,Records Management - Wisdom
Aug-17,803.0,Information Management Caseworker,Regulatory and Legal Strategy,Records Management - Other
Aug-17,804.0,Deputy IT Security Officer,Private Office,Security
Aug-17,805.0,Information Management Caseworker,External Requester ,Information Governance
Aug-17,806.0,Deputy IT Security Officer,Finance and Performance,Security
Aug-17,807.0,Deputy IT Security Officer,Operations,Security
Aug-17,808.0,Information & security Team Leader,Operations,Information Governance
Aug-17,809.0,Security Manager,Finance and Performance,Information Governance
Aug-17,810.0,Deputy IT Security Officer,Operations,Security
Aug-17,811.0,Information Management Caseworker,Finance and Performance,Security
Aug-17,812.0,Deputy IT Security Officer,Operations,Security
Aug-17,813.0,Security Manager,Private Office,Information Governance
Aug-17,814.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Aug-17,815.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Aug-17,816.0,Deputy IT Security Officer,Openness Data and Digital,Security
Sep-17,817.0,Deputy IT Security Officer,Finance and Performance,Security
Sep-17,818.0,Deputy IT Security Officer,Openness Data and Digital,Security
Sep-17,819.0,Deputy IT Security Officer,External Requester ,Security
Jul-17,820.0,Information & security Team Leader,Regulatory and Legal Strategy,Information Governance
Jul-17,821.0,Information & security Team Leader,Operations,Information Governance
Sep-17,822.0,Deputy IT Security Officer,Operations,Security
Sep-17,823.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Sep-17,824.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Sep-17,825.0,Deputy IT Security Officer,External Requester ,Security
Sep-17,826.0,Information & security Team Leader,Openness Data and Digital,Security
Sep-17,827.0,Deputy IT Security Officer,Operations,Security
Sep-17,828.0,Deputy IT Security Officer,NI and Organisational Development,Security
Sep-17,829.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Sep-17,830.0,Information Management Caseworker,External Requester ,Records Management - Other
Sep-17,831.0,Security Manager,External Requester ,Security
Aug-17,832.0,Information Architect,Operations,Records Management - Wisdom
Sep-17,833.0,Security Manager,Wales and Regulatory Delivery,Security
Sep-17,834.0,Information Architect,NI and Organisational Development,Records Management - Other
Sep-17,835.0,Information & security Team Leader,Regulatory and Legal Strategy,Information Governance
Sep-17,836.0,Information Management Caseworker,Regulatory and Legal Strategy,Records Management - Other
Sep-17,837.0,Information Governance Manager,Regulatory and Legal Strategy,Security
Sep-17,838.0,Security Manager,Regulatory and Legal Strategy,Information Governance
Sep-17,839.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Sep-17,848.0,Deputy IT Security Officer,Private Office,Information Governance
Sep-17,841.0,Deputy IT Security Officer,Operations,Information Governance
Sep-17,842.0,Information Management Caseworker,Regulatory and Legal Strategy,Records Management - Other
Aug-17,843.0,Information Architect,Operations,Records Management - Wisdom
Sep-17,844.0,Information Management Caseworker,Regulatory and Legal Strategy,Records Management - Other
Sep-17,845.0,Security Manager,Operations,Security
Sep-17,846.0,Information Architect,NI and Organisational Development,Records Management - Wisdom
Sep-17,847.0,Security Manager,External Requester ,Security
Oct-17,913.0,Deputy IT Security Officer,Operations,Security
Sep-17,849.0,Security Manager,External Requester ,Security
Sep-17,850.0,Security Manager,External Requester ,Security
Sep-17,851.0,Information Architect,Operations,Records Management - Wisdom
Sep-17,852.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Sep-17,853.0,Information Architect,Finance and Performance,Records Management - Wisdom
Sep-17,854.0,Information Architect,Policy and Science,Records Management - Wisdom
Sep-17,855.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Sep-17,856.0,Information & security Team Leader,Policy and Science,Security
Sep-17,857.0,Information Architect,Operations,Records Management - Wisdom
Sep-17,858.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Sep-17,859.0,Information Management Caseworker,Finance and Performance,Records Management - Other
Sep-17,860.0,Information & security Team Leader,External Requester ,Information Governance
Sep-17,861.0,Security Manager,Openness Data and Digital,Security
Sep-17,862.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Sep-17,863.0,Information & security Team Leader,Wales and Regulatory Delivery,Information Governance
Sep-17,864.0,Security Manager,External Requester ,Security
Sep-17,865.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Sep-17,866.0,Deputy IT Security Officer,Operations,Security
Sep-17,867.0,Deputy IT Security Officer,Openness Data and Digital,Security
Sep-17,868.0,Security Manager,Regulatory and Legal Strategy,Security
Sep-17,869.0,Information Management Caseworker,Finance and Performance,Information Governance
Sep-17,870.0,Information Governance Manager,Openness Data and Digital,Information Governance
Sep-17,871.0,Information Management Caseworker,Finance and Performance,Records Management - Other
Sep-17,872.0,Information Management Caseworker,Finance and Performance,Records Management - Other
Sep-17,873.0,Information Management Caseworker,Regulatory and Legal Strategy,Records Management - Other
Sep-17,874.0,Information & security Team Leader,Finance and Performance,Records Management - Other
Sep-17,875.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Sep-17,876.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Sep-17,877.0,Information Architect,Finance and Performance,Records Management - Wisdom
Sep-17,878.0,Information & security Team Leader,Finance and Performance,Records Management - Other
Sep-17,879.0,Information Architect,Private Office,Records Management - Wisdom
Sep-17,880.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Sep-17,881.0,Information Architect,Finance and Performance,Records Management - Wisdom
Sep-17,882.0,Information Architect,Finance and Performance,Records Management - Wisdom
Sep-17,883.0,Information & security Team Leader,Policy and Science,Records Management - Other
Sep-17,884.0,Information & security Team Leader,Policy and Science,Records Management - Other
Sep-17,885.0,Information & security Team Leader,Policy and Science,Records Management - Other
Sep-17,886.0,Information Architect,Operations,Records Management - Wisdom
Sep-17,887.0,Security Manager,Private Office,Security
Sep-17,888.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Sep-17,889.0,Information Governance Manager,Regulatory and Legal Strategy,Information Governance
Sep-17,890.0,Security Manager,NI and Organisational Development,Security
Sep-17,891.0,Information Architect,Private Office,Records Management - Other
Sep-17,892.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Sep-17,893.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Sep-17,894.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Sep-17,895.0,Information Architect,Finance and Performance,Records Management - Wisdom
Sep-17,896.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Sep-17,897.0,Security Manager,External Requester ,Security
Sep-17,898.0,Security Manager,Finance and Performance,Security
Sep-17,899.0,Information Management Caseworker,Policy and Science,Security
Sep-17,900.0,Information Architect,Policy and Science,Records Management - Wisdom
Sep-17,901.0,Information Architect,Operations,Records Management - Wisdom
Sep-17,902.0,Deputy IT Security Officer,Private Office,Security
Sep-17,903.0,Deputy IT Security Officer,Private Office,Security
Sep-17,904.0,Information Architect,NI and Organisational Development,Records Management - Wisdom
Sep-17,905.0,Information Governance Manager,Openness Data and Digital,Information Governance
Sep-17,906.0,Security Manager,Openness Data and Digital,Security
Sep-17,907.0,Security Manager,Finance and Performance,Security
