Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Events Group,BIRMINGHAM CHAMBER OF COMMERCE AND INDUSTRY,131766.0,48,000.00 ,?,B15 3DH,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Accounts Repayable DM Control - Non-Specific Programme activity,Defence and Security Organisation - Head DSO Office,MINISTRY OF DEFENCE,131767.0,290,584.80 ,?,L2 3YL,WGA ONLY,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,22/02/2016,Hire of Agency Staff - Overseas Business Network Development,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,CAPITA BUSINESS SERVICES LTD,131770.0,1,709.23 ,?,DL1 9HN,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Events Group,BSIF ENTERPRISE LTD,131772.0,10,000.00 ,?,HP1 3AF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Events Group,BSIF ENTERPRISE LTD,131773.0,960.00 ,?,HP1 3AF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Subsistence Overseas - Default,Defence and Security Organisation - Business Development,Personal Expense, Name Witheld,131815.0,32.71 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Taxi Services Overseas - Default,Defence and Security Organisation - Business Development,Personal Expense, Name Witheld,131815.0,41.33 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Subsistence Overseas - Default,Defence and Security Organisation - Business Development,Personal Expense, Name Witheld,131815.0,130.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Taxi Services UK - Default,Chief Executive s Office - Chief Executive s Office,Personal Expense, Name Witheld,131816.0,20.50 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Subsistence UK - Default,Chief Executive s Office - Chief Executive s Office,Personal Expense, Name Witheld,131817.0,4.10 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Taxi Services UK - Default,Chief Executive s Office - Chief Executive s Office,Personal Expense, Name Witheld,131817.0,29.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Taxi Services UK - Default,Chief Executive s Office - Chief Executive s Office,Personal Expense, Name Witheld,131818.0,45.50 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Defence and Security Organisation - Business Development,Personal Expense, Name Witheld,131819.0,3.79 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Taxi Services UK - Default,Defence and Security Organisation - Business Development,Personal Expense, Name Witheld,131819.0,13.70 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Other Travel - Non-Specific Programme activity,Trade Group - English Regions,Personal Expense, Name Witheld,131820.0,11.50 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Mileage Allowance UK - Non-Specific Programme activity,Trade Group - English Regions,Personal Expense, Name Witheld,131820.0,17.10 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Trade Group - Events Group,Personal Expense, Name Witheld,131821.0,10.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Other Travel - Default,Trade Group - Events Group,Personal Expense, Name Witheld,131821.0,12.50 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Trade Group - Events Group,Personal Expense, Name Witheld,131821.0,15.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Taxi Services UK - Default,Trade Group - Events Group,Personal Expense, Name Witheld,131821.0,49.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence Overseas - Default,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,Personal Expense, Name Witheld,131823.0,1.75 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence Overseas - Default,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,Personal Expense, Name Witheld,131823.0,3.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Taxi Services Overseas - Default,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,Personal Expense, Name Witheld,131823.0,20.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Hotel & Accommodation Overseas - Default,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,Personal Expense, Name Witheld,131823.0,20.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence Overseas - Default,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,Personal Expense, Name Witheld,131823.0,20.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence Overseas - Default,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,Personal Expense, Name Witheld,131823.0,68.53 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Trade Group - Creative Economy Tech & Construction,Personal Expense, Name Witheld,131824.0,891.26 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Travel - Default,Trade Group - English Regions,Personal Expense, Name Witheld,131825.0,12.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Subsistence UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,131825.0,14.25 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Mileage Allowance UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,131825.0,19.80 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Travel - Default,Trade Group - English Regions,Personal Expense, Name Witheld,131825.0,36.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Subsistence UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,131825.0,39.93 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Hotel & Accommodation UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,131825.0,183.60 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Taxi Services UK - Default,Defence and Security Organisation - Business Development,Personal Expense, Name Witheld,131827.0,10.20 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Travel - Default,Chief Operating Officer - Marketing,Personal Expense, Name Witheld,131828.0,4.80 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Hospitality - UK - Default,Chief Operating Officer - Marketing,Personal Expense, Name Witheld,131828.0,5.96 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Travel - Default,Chief Operating Officer - Marketing,Personal Expense, Name Witheld,131828.0,13.75 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Corporate Event Management and Marketing - Non-Specific Programme activity (Admin),Chief Operating Officer - IT and Finance,THE CONCORDIA FORUM,131839.0,-719.20 ,?,E15 2HU,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Corporate Event Management and Marketing - Non-Specific Programme activity (Admin),Chief Operating Officer - IT and Finance,THE CONCORDIA FORUM,131839.0,899.00 ,?,E15 2HU,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Corporate Event Management and Marketing - Non-Specific Programme activity (Admin),Chief Operating Officer - IT and Finance,THE CONCORDIA FORUM,131839.0,1,078.80 ,?,E15 2HU,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/02/2016,Other Professional Services - Non-Specific Programme activity,Chief Operating Officer - Marketing,WILLIAMS LEA LTD,131840.0,776.16 ,?,EC1M 4NA,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Publications - UKTI Programme Admin,Chief Operating Officer - IT and Finance,JONES YARRELL LEADENHALL,131854.0,46.00 ,?,EH12 9DJ,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,External Training - Non-Specific Programme activity,Trade Group - English Regions,CAPITA BUSINESS SERVICES LTD,131855.0,4,432.00 ,?,DL1 9HN,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Marketing - Design Services - Non-Specific Programme activity,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,WILLIAMS LEA LTD,131856.0,196.35 ,?,EC1M 4NA,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Other Media Costs - Global Inward Investment Accounts,Investment Development - Strategic Investment & Accounts,WILLIAMS LEA LTD,131857.0,-475.86 ,?,EC1M 4NA,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Other Media Costs - Global Inward Investment Accounts,Investment Development - Strategic Investment & Accounts,WILLIAMS LEA LTD,131857.0,594.82 ,?,EC1M 4NA,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Other Media Costs - Global Inward Investment Accounts,Investment Development - Strategic Investment & Accounts,WILLIAMS LEA LTD,131857.0,713.78 ,?,EC1M 4NA,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Recoveries Account - Other payables - Default,Corporate Payments,OMIS SERVICE,131860.0,415.30 ,?,NP10 8QQ,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Business Management Advice - Cyber Security,Defence and Security Organisation - Cyber Security Team,MABBOTT CONSULTANCY LTD,131906.0,1,075.00 ,?,GL52 9UE,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,IT Services - UKTI Programme Admin,Chief Operating Officer - IT and Finance,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,131907.0,1,213,494.50 ,?,SW1H 0ET,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Other Goods/Services - GREAT Events UK,Chief Operating Officer - Marketing,ARCADIAN WORLD LTD,131929.0,3,600.00 ,?,B1 2HF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Other Goods/Services - Sector Events - UK,Trade Group - Consumer and Retail,BRITISH FASHION COUNCIL,131935.0,20,000.00 ,?,W1B 1PW,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,IT Software Licences and Software Maintenance - Digital Business Opportunities,Trade Group - English Regions,CAKE SOLUTIONS LTD,131946.0,2,065.22 ,?,SK5 6DA,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Other Goods/Services - International Challenge Fund,Trade Group - English Regions,CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,131957.0,11,441.01 ,?,M60 7HJ,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,External Training - Non-Specific Programme activity,Trade Group - English Regions,CAPITA BUSINESS SERVICES LTD,131958.0,155.00 ,?,DL1 9HN,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Corporate Event Management and Marketing - Sector Events - Abroad,Trade Group - Events Group,GRANT THORNTON UK LLP,131967.0,44,641.93 ,?,NN4 7YE,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Events Group,THE BRITISH SECURITY INDUSTRY ASSOCIATION LTD,131968.0,130,000.00 ,?,WR3 7NS,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Events Group,THE BRITISH SECURITY INDUSTRY ASSOCIATION LTD,131969.0,12,480.00 ,?,WR3 7NS,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Other Travel - Default,Investment Development - Managing Director & Operations, Investment Development,Personal Expense, Name Witheld,132000.0,7.20 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Investment Development - Managing Director & Operations, Investment Development,Personal Expense, Name Witheld,132000.0,10.92 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Taxi Services UK - Default,Investment Development - Managing Director & Operations, Investment Development,Personal Expense, Name Witheld,132000.0,15.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Hotel & Accommodation UK - Default,Investment Development - Managing Director & Operations, Investment Development,Personal Expense, Name Witheld,132000.0,62.64 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Other Travel - Default,Investment Development - Strategic Relationship Management,Personal Expense, Name Witheld,132001.0,98.45 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Other Travel - Non-Specific Programme activity,Trade Group - English Regions,Personal Expense, Name Witheld,132002.0,4.10 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132003.0,4.40 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Other Travel - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132003.0,6.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Other Travel - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132003.0,12.10 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Mileage Allowance UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132003.0,37.45 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Trade Group - Creative Economy Tech & Construction,Personal Expense, Name Witheld,132004.0,5.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Other Travel - Default,Trade Group - Creative Economy Tech & Construction,Personal Expense, Name Witheld,132004.0,7.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Other Travel - Default,Trade Group - Creative Economy Tech & Construction,Personal Expense, Name Witheld,132004.0,10.60 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Trade Group - Creative Economy Tech & Construction,Personal Expense, Name Witheld,132004.0,12.45 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Taxi Services UK - Default,Trade Group - Creative Economy Tech & Construction,Personal Expense, Name Witheld,132004.0,23.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Hotel & Accommodation UK - Default,Trade Group - Creative Economy Tech & Construction,Personal Expense, Name Witheld,132004.0,102.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Investment Development - Managing Director & Operations, Investment Development,Personal Expense, Name Witheld,132005.0,0.90 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Investment Development - Managing Director & Operations, Investment Development,Personal Expense, Name Witheld,132005.0,3.95 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Investment Development - Managing Director & Operations, Investment Development,Personal Expense, Name Witheld,132005.0,4.50 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Investment Development - Managing Director & Operations, Investment Development,Personal Expense, Name Witheld,132005.0,5.95 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Taxi Services UK - Default,Investment Development - Managing Director & Operations, Investment Development,Personal Expense, Name Witheld,132005.0,15.90 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132006.0,4.10 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Other Travel - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132006.0,16.50 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Mileage Allowance UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132006.0,29.25 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Rail Travel UK - Default,Trade Group - Creative Economy Tech & Construction,Personal Expense, Name Witheld,132007.0,167.90 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Rail Travel UK - Default,Investment Development - Strategic Investment & Accounts,Personal Expense, Name Witheld,132009.0,10.30 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Taxi Services UK - Default,Investment Development - Strategic Investment & Accounts,Personal Expense, Name Witheld,132009.0,22.30 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Taxi Services UK - Default,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,Personal Expense, Name Witheld,132010.0,73.80 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132011.0,4.34 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132011.0,5.75 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Mileage Allowance UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132011.0,102.50 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132012.0,5.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132012.0,10.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132012.0,13.29 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Other Travel - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132012.0,23.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Mileage Allowance UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132012.0,80.25 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence Overseas - Default,Defence and Security Organisation - Business Development,Personal Expense, Name Witheld,132013.0,60.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence Overseas - Default,Trade Group - Operations Directorate,Personal Expense, Name Witheld,132014.0,6.07 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Rail Travel Overseas - Default,Trade Group - Operations Directorate,Personal Expense, Name Witheld,132014.0,22.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence Overseas - Default,Trade Group - Operations Directorate,Personal Expense, Name Witheld,132014.0,30.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence Overseas - Default,Trade Group - Operations Directorate,Personal Expense, Name Witheld,132014.0,44.48 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence Overseas - Default,Trade Group - Operations Directorate,Personal Expense, Name Witheld,132014.0,61.88 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Taxi Services Overseas - Default,Trade Group - Operations Directorate,Personal Expense, Name Witheld,132014.0,87.08 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Hotel & Accommodation Overseas - Default,Trade Group - Operations Directorate,Personal Expense, Name Witheld,132014.0,325.44 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/02/2016,Other Travel - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132015.0,13.50 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/02/2016,Mileage Allowance UK - Default,Trade Group - English Regions,Personal Expense, Name Witheld,132015.0,73.35 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Subsistence UK - Default,Investment Development - Strategic Investment & Accounts,Personal Expense, Name Witheld,132016.0,2.60 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Hospitality - UK - Default,Investment Development - Strategic Investment & Accounts,Personal Expense, Name Witheld,132016.0,24.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Taxi Services UK - Default,Investment Development - Strategic Investment & Accounts,Personal Expense, Name Witheld,132016.0,65.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Rail Travel UK - Other Programme Costs,Chief Operating Officer - Communications,Personal Expense, Name Witheld,132126.0,82.90 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Taxi Services UK - Other Programme Costs,Chief Operating Officer - Communications,Personal Expense, Name Witheld,132126.0,198.60 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,IT Services - UKTI Programme Admin,Chief Operating Officer - IT and Finance,BAE SYSTEMS APPLIED INTELLIGENCE LTD,132149.0,49,960.50 ,?,GU2 7YP,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Other Media Costs - BIS Press Office,Chief Operating Officer - Marketing,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,132151.0,50,587.75 ,?,SW1H 0ET,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Marketing and Media - GREAT Events UK,Chief Operating Officer - Marketing,UNIVERSITY OF GLASGOW,132156.0,831.00 ,?,G12 8QQ,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Corporate Event Management and Marketing - Strategy & Analysis,Trade Group - UKTI Education,CENTRAL HALL WESTMINSTER LTD,132157.0,1,112.75 ,?,SW1H 9NH,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Professional Subscriptions - Global Inward Investment Accounts,Investment Development - Strategic Investment & Accounts,INFORMA UK LTD,132158.0,2,448.00 ,?,CO3 3LP,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,09/02/2016,Outsourced Technical Support - Digital Business Opportunities,Trade Group - English Regions,VODAFONE LTD,132159.0,12,839.69 ,?,MK3 5JP,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,09/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,EVENTUM PARTNERS,132161.0,241.18 ,?,WD6 4PJ,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,09/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,NEW CHAPTERS LIFESTYLE LTD,132162.0,500.00 ,?,W11 3LB,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,09/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,HR DEPT LTD,132163.0,1,000.00 ,?,BS36 1AU,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Other Professional Services - FDI Delivery Contract,Investment Development - Strategy & Policy,PA CONSULTING GROUP LTD,132166.0,5,915.00 ,?,SG8 6DP,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Intercompany Receivables (Financial Accounts SYSTEM) - Default,Chief Operating Officer - IT and Finance,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,132167.0,1,985,744.30 ,?,NP10 8QQ,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Intercompany Receivables (Financial Accounts SYSTEM) - Default,Chief Operating Officer - IT and Finance,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,132167.0,2,213,698.11 ,?,NP10 8QQ,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,09/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,RETRO ROCKET LTD,132172.0,1,000.00 ,?,DY13 9HT,GRANT,?,?,Programme
