Candidate Site?,Site ID,Project ID,Site Name,Project Name,Region,Country,Location,Criterion 1: Stage of Development,Sub-stage of Development within stage 2,Commercial Activity?,Project on Developed Site?,In Operation?,Operation Date,Any Drilling?,Any deep well drilling?,Drilling - Comments,Past Attempts at Development,Key Market Participants,Criterion 2: Probability of Good Resource for Power Generation,Quality of Publicly Available Data,Resource Temperature,Enthalpy,Estimated Potential Capacity Minimum,Estimated Potential Capacity Range,Estimated Installed Capacity,Resource Chemical Composition,Criterion 3: Environmental and Social Constraints,Description of  Environmental/Social Constraint_ where applicable,Criterion 4: Likelihood of Commercial Viability,In Country where a Geothermal Facility has Operated?,Remoteness of Site,Competing Generation,Infrastructure Needed,Time Needed to Reach Exploration,Finance Needed to Reach Exploration,Time Needed to Reach Test Drilling,Finance Needed to Reach Test Drilling,Criterion 5: Maturity of Enabling Environment,Legal_ Regulatory_ and Institutional Framework,Concession Information,Notes,Main Information Sources,Web Sources
No,LAC033,LAC033-1,Galo,Galo,South America,Chile,"Santiago metropolitian area and region VI, Cordillera y Cachapoal provinces",1,,Yes,No,No,,No,No,,,Hot Rock Chile S.A.,Unknown,Low,,,,,0.0,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Hot Rock Chile S.A.,"Direct concession published January, 2010. ","3, 25",
No,LAC034,LAC034-0,Gorbea,,South America,Chile,"Regions II and III, Antofagasta y Chañaral provinces",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,0.0,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Compañía Minerea Zaldivar Limitada,"Tender concession publihed April, 2012.",25,
No,LAC035,LAC235-0,Guanacota,,South America,Chile,"Region I, Iquique province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,0.0,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Minera Copiapó S.A.,"Direct concession published February, 2007.",25,
No,LAC036,LAC036-0,Huichahue,,South America,Chile,"Region X, Valdivia province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,0.0,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Minera Copiapó S.A.,"Direct concession published February, 2007.",25,
No,LAC037,LAC037-0,Huiscapi,,South America,Chile,"Regions VIII and IX, Bio Bio, Malleco",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,0.0,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",GGE CHILE SpA,Direct concession published March 2010.,25,
No,LAC038,LAC038-1,Irruputunco Polígono,Irruputunco Polígono 1,South America,Chile,"Region I, Iquique province",1,,Yes,No,No,,No,No,,,,Unknown,Low,,,,,0.0,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Cía Minera Doña Inés de Collahuasi,"Direct concession published November, 2008. ",25,
No,LAC038,LAC038-2,Irruputunco Polígono,Irruputunco Polígono 2,South America,Chile,"Region I, Del Tamarugal province",1,,Yes,No,No,,No,No,,,,Unknown,Low,,,,,0.0,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Cía Minera Doña Inés de Collahuasi,"Direct concession published November, 2008. ",25,
No,LAC038,LAC038-3,Irruputunco Polígono,Irruputunco Polígono 3,South America,Chile,"Region I, Iquique province",1,,Yes,No,No,,No,No,,,,Unknown,Low,,,,,0.0,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Cía Minera Doña Inés de Collahuasi,"Direct concession published November, 2008. ",25,
No,LAC039,LAC039-1,Juncalito ,Juncalito 1,South America,Chile,"Region III, Chañaral province",1,,Yes,No,No,,No,No,,,Energía Andina,Unknown,Low,,,,,0.0,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Energía Andina,"Tender concession published November, 2010. ","3, 25",
No,LAC039,LAC039-2,Juncalito ,Juncalito 2,South America,Chile,"Region III, Chañaral province",1,,Yes,No,No,,No,No,,,Energía Andina,Unknown,Low,,,,,0.0,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Energía Andina,"Tender concession published November, 2010. ","3, 25",
No,LAC040,LAC040-0,Jurase,,South America,Chile,"Near the city of Putre at 18  ̊12'W, 69  ̊32'W.",1,,,,No,,No,No,,,,Unknown,Low,131,Medium,Unknown,Unknown,0.0,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",,"Waters belong to the acid - sulphate type. Na-K-Ca geothermometer temperature (Truesdell, 1975)",2,
No,LAC041,LAC041-1,La Torta,La Torta (2002),South America,Chile,"Region II, El Loa province",1,,Yes,No,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Geotermica del Norte S.A. ,"Direct concession pubished November, 2002. ",25,
No,LAC041,LAC041-2,La Torta,La Torta (2010),South America,Chile,"Region II, El Loa province",1,,Yes,No,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Geotermica del Norte S.A. ,"Direct concession pubished November, 2010. ",25,
No,LAC042,LAC042-1,Laguna del Maule,Laguna del Maule (2003),South America,Chile,"Region VII, Talca and Linares provinces",2,2b,Yes,No,No,,Yes,No,"Slim holes have been drilled, but source does not specify how many ",,Magma Energy Chile  (now Alterra Power Co.),Unknown,Low,,,,,,,Low,,Low,No,Medium,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Magma Energy Chile Ltda. (now Alterra Power Co.),"Direct concession publication date: May 27, 2003","3, 25",
No,LAC042,LAC04-2,Laguna del Maule,Laguna del Maule (2010),South America,Chile,"Region VII, Talca and Linares provinces",2,2b,Yes,No,No,,Yes,No,"Slim holes have been drilled, but source does not specify how many ",,Magma Energy Chile  (now Alterra Power Co.),Unknown,Low,,,,,,,Low,,Low,No,Medium,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Magma Energy Chile Ltda. (now Alterra Power Co.),"Direct concession publication date: May, 2010.","3, 25",
No,LAC043,LAC043-0,Laguna Tujacto ,,South America,Chile,Region II,1,,,,No,,No,No,,,,Unknown,Low,,,Unknown,Unknown,0.0,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",,Interesting due to its proximity to the iron mine of El Laco. ,2,
No,LAC044,LAC044-0,Laguna Verde,,South America,Chile,North,1,,,,No,,No,No,,,Ram Power,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",,,3,
No,LAC045,LAC045-1,Licancura ,Licancura 1,South America,Chile,Regions I and XV; Arica and Del Tamarugal,2,2a,Yes,No,No,,No,No,,,Empresa Nacional de Geotérmica (ENG),Unknown,Low,,,,,,,High,Problems with indigenous communities (payment for access). ,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Empresa Nacional de Geotérmica (ENG),"Tender concession published November, 2010. ","3, 25",
No,LAC045,LAC045-2,Licancura ,Licancura 3,South America,Chile,"Region XV; Arica, Parinacota and Del Tamarugal",2,2a,Yes,No,No,,No,No,Oct - Nov 2012 medium hole drilling planned ,,Serviland Minergy S.A.,Unknown,Low,,,,,,,High,Problems with indigenous communities (payment for access). ,Low,No,,Coal,Power lines,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Serviland Minergy S.A.,"Tender concession published November, 2010. 2013-2014 developer will look for bank financing. Other concessions exist nearby and a transmission company is interested  to invest in the line","3, 25",
No,LAC046,LAC046-0,Los Cristales,,South America,Chile,"Region VII, Linares province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Magma Energy Chile Ltda. (now Alterra Power Co.),Direct concession published: 20/01/2011,25,
No,LAC047,LAC047-0,Manflas,,South America,Chile,"Region III, Copiapo and Huasco provinces",1,,Yes,,No,,No,No,"""3G""",,,Unknown,Low,,,,,,,High,Problems with a mining company in the area.,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",SERVILAND MINERGY.  Direct concession published: 8/02/2011,,25,
No,LAC048,LAC048-0,Mariman,,South America,Chile,"Region II, El Loa province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Ormat Andina S.A.,Tender concesion published: 7/03/2012,25,
No,LAC049,LAC049-1,Necul,Necul,South America,Chile,"Regions VI and VII, Curico and Colchagua provinces",1,,Yes,No,No,,No,No,,,Empresa Nacional de Geotermica (ENG),Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Empresa Nacional de Geotérmica (ENG),"Tender concession published November, 2010.","3, 25",
No,LAC050,LAC050-0,Negrillar,,South America,Chile,"Region II, El Loa and Antofagasta provinces",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Compañía Minerea Zaldivar Limitada,"Tender concession published April, 2012",25,
No,LAC089,LAC089-0,Nevados de Chillán,,South America,Chile,"Region VIII, Curicó and Talca provinces",2,2b,Yes,,No,,Yes,No,274 m slim exploratory well drilled in 1995. Flow rates of 15.20 kg/s,,,Unknown,Low,198,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Empresa Nacional de Geotermia S.A. ,Direct concession published: 31/01/2004,25,
No,LAC051,LAC051-0,Newen,,South America,Chile,"Region IX, Cautin province",1,,Yes,,No,,No,No,Drilling planned for 2012,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Energy Development Corpporation Chile Limitada,"Tender concession published April, 2012. EDC Chile Ltd. Will begin geological and geophysical surveys at the Newen site in 2012. Drilling is anticipated to take 70-80 days. Well testing is expected to take 90 days. It may take 6-7 years before the site produces power.","25, 37",
No,LAC052,LAC052-0,Olca,,South America,Chile,"Region I, Iquique and El Loa provinces",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Cía Minera Doña Inés de Collahuasi,"Direct concession published November, 2008.",25,
No,LAC053,LAC053-0,Ollagüe Norte,,South America,Chile,"Region II, El Loa province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Sociedad Contractual Minera El Abra,"Direct concession published February, 2010. ",25,
No,LAC055,LAC055-0,Panimávida Hot Springs,,South America,Chile,Region X,1,,,,No,,No,No,,,,Unknown,Low,,,Unknown,Unknown,0.0,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",,"Cascaded exploitation of the resource would allow an investment return-time of 4.3 to 8.5 years (Gonzalez, 1995)",2,
No,LAC056,LAC056-1,Paniri,Paniri,South America,Chile,"Region II, El Loa province",1,,Yes,No,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Energía Andina,"Direct concession published May, 2011. ",25,
No,LAC057,LAC057-1,Pellado,Pellado,South America,Chile,"Region VII, Talca and Linares provinces",1,,Yes,No,No,,No,No,,,Magma Energy Chile  (now Alterra Power Co.),Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",ENERCO,"Direct concession published January, 2010. ","3, 25",
No,LAC058,LAC058-1,Peucos,Peucos,South America,Chile,"Region VIII, Bio Bio and Ñuble provinces ",1,,Yes,No,No,,No,No,"""3G""",,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Serviland Minergy,"Direct concession published February, 2011. ",25,
No,LAC059,LAC059-1,Polloquere,Polloquere 1,South America,Chile,Region XV near Parinacota.,1,,Yes,No,No,,No,No,,,Energía Andina,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Energía Andina,Tender concession published July 2009,"3, 25",
No,LAC059,LAC059-2,Polloquere,Polloquere 2,South America,Chile,Region 1 near Iquique. ,1,,Yes,No,No,,No,No,,,Empresa Nacional de Geotermia S.A.,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Empresa Nacional de Geotermia S.A.,Tender concession published June 2009. ,"3, 25",
No,LAC060,LAC060-1,Puchuldiza ,Puchuldiza ,South America,Chile,"19.3  ̊S, 69  ̊W; Near Iquique. Located in Region I (Tarapaca) of northern Chile. The geothermal prospect is located in a broad valley at 4300 m elevation in the Chilean Altiplano, to the south of the Volcán Isluga National Park",3,,Yes,Yes,No,1978,Yes,Yes,"Five wells were drilled, the deepest to 1013m; Well 6 was drilled to 1200m.",,"CORFO, UNDP, JICA, GeoGlobal Energy",Unknown,High,160,Medium,190,190,0.02,,Low,Near Volcan Isluga National Park,Low,No,Low,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Corporación de Fomento de la Producción (CORFO),"In 1976, an Agreement of Cooperation with JICA was signed, and 5 wells were drilled. The deepest well was 1013 m, with a maximum temperature of 175  ̊ C. A superficial thermal acquifer, detected between 200 and 550 meters, was interpreted to have a temperature of over 200  ̊ C. Well 6 was drilled to 1200 m. Direct concession published November, 2001.  20kW plant developed for the shallow resource, ultimately at 160°C, but a higher enthalpy and better resource is expected deeper down (not proven yet; see LAC060-2 and -3)","2, 3, 25",http://blueprint.juccce.com/project/13801
No,LAC061,LAC061-1,Puyehue Carran ,Puyehue Carran I,South America,Chile,"Region X, Valdivia and Osorno provinces",1,,Yes,No,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Magma Energy Chile Ltda. (now Alterra Power Co.),"Direct concession published March, 2010.",25,
No,LAC061,LAC061-2,Puyehue Carran ,Puyehue Carran II,South America,Chile,"Region X, Valdivia and Osorno provinces",1,,Yes,No,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Magma Energy Chile Ltda. (now Alterra Power Co.),"Direct concession published March, 2010.",25,
No,LAC062,LAC062-1,Puyehue-Cordón  Caulle,Puyehue-Cordón  Caulle,South America,Chile,Region XIV,1,,,No,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",,,3,
No,LAC063,LAC063-0,Quinohuen,,South America,Chile,"Region II, El Loa province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Ormat Andina,"Tender concession published March, 2012. ","25, 46",
No,LAC064,LAC064-0,Ranquil ,,South America,Chile,Regions VIII and IX,1,,Yes,,No,,No,No,,,GeoGlobal Energy,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.","GGE Chile, SpA","Direct concession published May, 2011. ","3, 25",
No,LAC065,LAC065-0,Rollizos,,South America,Chile,"Region X, Bio Bio and Malleco provinces",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Samuel Santa Cruz Hudson,Direct concession published: 12/09/2006,25,
No,LAC066,LAC066-0,Salar de Agua Calientes ,,South America,Chile,Region II near the Lastarria Volcano,1,,,,No,,No,No,,,,Unknown,Low,,,Unknown,Unknown,0.0,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",,,2,
No,LAC067,LAC067-0,San Bernardo,,South America,Chile,"Region II, El Loa province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Origin Energy Chile Ltda.,Tenderoncession published: 23/03/2012,25,
No,LAC068,LAC068-0,San Carlos,,South America,Chile,"Region VI, Del Cachopoal province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Hot Rock Chile S.A.,Direct concession published: 31/01/2011,25,
No,LAC069,LAC069-0,San Cristobal,,South America,Chile,"Region XIV, Valdivia province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Hot Rock Chile S.A.,Direct concession published: 4/02/2011,25,
No,LAC070,LAC070-0,San Gregorio,,South America,Chile,"Regions VIII IX, Bio Bio and Malleco provinces",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",GGE CHILE SpA,Direct concession published: 20/05/2005,25,
No,LAC071,LAC071-0,San Guillermo,,South America,Chile,"Region VIII, Bio Bio and Malleco provinces",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Hot Rock Chile S.A.,Direct concession published: 29/01/2011,25,
No,LAC072,LAC072-0,San Jorge,,South America,Chile,"Regions I and II, El Loa y Del Tamarugal provinces",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Hot Rock Chile S.A.,Direct concession published: 1/02/2011,25,
No,LAC073,LAC073-1,San Jose,San Jose I ,South America,Chile,Santiago Metropolitian area.,1,,Yes,No,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Enel Latin America (Chile) Limitada,"Tender concession published in 2010. ENEL Green Power purchased the concession in March 2012. Concession size is 74,801 hectares. ","25, 41",
No,LAC073,LAC073-2,San Jose,San Jose II,South America,Chile,Santiago metropolitan area,1,,Yes,No,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Ormat Andina S.A.,Tender concession published: 7/03/2012,"25, 46",
No,LAC074,LAC074-0,San Pedro ,,South America,Chile,35.1  ̊S; 70.5  ̊W,1,,,,No,,No,No,,,,Medium,Low,195 - 245 ,High,Unknown,Unknown,0.0,,Low,,Medium,No,Low,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",,,2,
No,LAC076,LAC076-0,San Rafael,,South America,Chile,"Region I, Del Tamarugal province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Hot Rock Chile S.A.,Tender concession published: 5/04/2012,25,
No,LAC077,LAC077-0,San Roman,,South America,Chile,"Regions: VII y VIII, Linares and Ñuble provinces",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Hot Rock Chile S.A.,Direct concession published: 3/02/2011,25,
No,LAC078,LAC078-0,Santa Alejandra,,South America,Chile,"Regions: VII y VIII, Linares and Ñuble provinces",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Hot Rock Chile S.A.,Direct concession published: 5/02/2011,25,
No,LAC079,LAC079-0,Santa Antonia ,,South America,Chile,"Region VIII, Bio Bio province",1,,Yes,,No,,No,No,,,Hot Rock Chile S.A.,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Hot Rock Chile S.A.,"Direct concession published January, 2010. ","3, 25",
No,LAC080,LAC080-0,Santa Edita,,South America,Chile,"Region: VII, Linares province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Hot Rock Chile S.A.,Direct concession published: 2/02/2011,25,
No,LAC081,LAC081-0,Santa Lela,,South America,Chile,"Region: IV, Elqui province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Energia Andina,Tender concession published: 20/03/2012,25,
No,LAC082,LAC082-0,Santa Macarena,,South America,Chile,"Region: XIV, Ranco province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Hot Rock Chile S.A.,Direct concession published: 7/05/2011,25,
No,LAC083,LAC083-0,Santa Sonia,,South America,Chile,"Regions: VII y VIII, Linares and Ñuble provinces",1,,Yes,,No,,No,No,,,Hot Rock Chile S.A.,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Hot Rock Chile S.A.,"Direct concession published January, 2010. ","3, 25",
No,LAC084,LAC084-0,Sierra Nevada,,South America,Chile,Region IX  ,1,,,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",,,3,
No,LAC085,LAC085-0,Socompa,,South America,Chile,"Region: II, Antofogasta province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Compañía Minerea Zaldivar Limitada,Tender concession awarded in April 2012.,25,
No,LAC086,LAC086-0,Sollipulli,,South America,Chile,"Region IX, Cautin province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Ormat Andina S.A.,Tender concession awarded in March 2012. ,"25, 46",
No,LAC088,LAC088-0,Taipicollo,,South America,Chile,"Region I, Colchane province",1,,Yes,,No,,No,No,,,,Unknown,Low,,,,,,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Minera Copiapó S.A.,Direct concession published: 5/07/2007,25,
No,LAC090,LAC090-1,Tinguiririca,Tinguiririca A,South America,Chile,"Region VII, San Fdo. Province",1,,Yes,No,No,,No,No,,,Energía Andina,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Energia Andina,"Tender concession published October 30, 2008","3, 25",
No,LAC090,LAC090-2,Tinguiririca,Tinguiririca B,South America,Chile,"Regions VI and VII, San Fdo.-Romeral provinces",1,,Yes,No,No,,No,No,,,Energía Andina,Unknown,Low,,,,,,,Low,,Low,No,,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Energia Andina,"Tender concession published October 30, 2008","3, 25",
