Theme,Theme Label,Theme Type,Value Chain,Value Chain Label,Topic,Topic Label,Indicator,Indicator Label,Question,Question Label,Question Answer (1_4),Question Answer (Text),Question Type,Government Weights,Industry Weights,Civil Society Weights,Overall Country Weights
B,B. Accountability and Inclusiveness,Value Chain Theme,2,2. Operations ,B2,"Accountability of Processes,  Compensation, Resettlement and Artisanal and Smallscale Mining Voice",B2.2,Access and Accountability of Mining Legislation and Processes,87,"In the law, is there a domestic process to appeal decisions by mining authorities that is outside and independent of the mining ministry? ",2.5,,Primary (desktop research),2.0,1.0,16.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,2,2. Operations ,B2,"Accountability of Processes,  Compensation, Resettlement and Artisanal and Smallscale Mining Voice",B2.2,Access and Accountability of Mining Legislation and Processes,88,To what extent is this independent domestic appeal process able to challenge decisions by mining authorities?,2.5,,Primary (Interview),2.0,1.0,16.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,2,2. Operations ,B2,"Accountability of Processes,  Compensation, Resettlement and Artisanal and Smallscale Mining Voice",B2.3,Artisanal and Smallscale Mining Voice Representation,89,Is there a non-state association that represents artisanal and small-scale miners? ,,,Primary (desktop research),2.0,1.0,16.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,2,2. Operations ,B2,"Accountability of Processes,  Compensation, Resettlement and Artisanal and Smallscale Mining Voice",B2.3,Artisanal and Smallscale Mining Voice Representation,90,"To what extent do artisanal and small-scale miner associations participate in the monitoring, advocacy and enforcement of their property rights?",,,Primary (Interview),2.0,1.0,16.0,9.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,2,2. Operations ,C2,Sector Management and Intragovernmental Coordination,C2.1,Timeframes for Approvals,91,To what extent is the timeframe for the approval of a mine development plan followed? ,4.0,,Primary (Interview),4.0,16.0,16.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,2,2. Operations ,C2,Sector Management and Intragovernmental Coordination,C2.1,Timeframes for Approvals,92,To what extent is the timeframe for the approval of an extension of a mining operations followed,1.0,,Primary (Interview),4.0,16.0,16.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,2,2. Operations ,C2,Sector Management and Intragovernmental Coordination,C2.2,Intragovernmental Coordination,93,How common are conflicts between government ministries/agencies over the roles and responsibilities assigned for the mining sector? ,2.0,,Primary (Interview),4.0,16.0,16.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,2,2. Operations ,C2,Sector Management and Intragovernmental Coordination,C2.2,Intragovernmental Coordination,94,"To what extent are there formal mechanisms for sharing information between government agencies closely working on mining (MOUs, intra-governmental working groups)?",4.0,,Primary (desktop research),4.0,16.0,16.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,2,2. Operations ,C2,Sector Management and Intragovernmental Coordination,C2.2,Intragovernmental Coordination,95,To what extent is there regular sharing of information between government agencies that have regulatory responsibilities for the mining sector?,2.2,,Primary (Interview),4.0,16.0,16.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,2,2. Operations ,C2,Sector Management and Intragovernmental Coordination,C2.2,Intragovernmental Coordination,96,"To what extent are there instances where mineral rights conflict with other legislation on natural resources (e.g., on land use, water, forests or nature reserves)? ",1.0,,Primary (Interview),4.0,16.0,16.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,2,2. Operations ,C2,Sector Management and Intragovernmental Coordination,C2.3,Support to Artisanal and Smallscale Mining,97,Is there a dedicated unit within the Ministry dealing with artisanal and small scale mining?,,,Primary (desktop research),4.0,16.0,16.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,2,2. Operations ,C2,Sector Management and Intragovernmental Coordination,C2.3,Support to Artisanal and Smallscale Mining,98,To what extent is support provided by government to artisanal and small scale miners concerning technical or business skills?,2.5,,Primary (desktop research),4.0,16.0,16.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,2,2. Operations ,C2,Sector Management and Intragovernmental Coordination,C2.3,Support to Artisanal and Smallscale Mining,99,To what extent is the government effectively using a dispute resolution system dedicated to ASM to tackle disputes between artisanal and small scale mining and other mining activities?,,,Primary (Interview),4.0,16.0,16.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,2,2. Operations ,C2,Sector Management and Intragovernmental Coordination,C2.3,Support to Artisanal and Smallscale Mining,100,"In practice, are there instances of coexistence of ASM and industrial mining activities?",,,Primary (Interview),4.0,16.0,16.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,2,2. Operations ,C2,Sector Management and Intragovernmental Coordination,C2.3,Support to Artisanal and Smallscale Mining,101,To what extent are artisanal and small-scale miners legally allowed to operate? ,4.0,,Primary (Interview),4.0,16.0,16.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,2,2. Operations ,C2,Sector Management and Intragovernmental Coordination,C2.3,Support to Artisanal and Smallscale Mining,102,To what extent is artisanal and small-scale mining taking place under formalized procedures?,3.79,,Primary (Interview),4.0,16.0,16.0,16.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.1,Tax Policy and Instruments,103,Is it clear in the law which government agencies have the authority to collect taxes and payments from resource companies?,4.0,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.1,Tax Policy and Instruments,104,To what extent are taxes from mining required by law to be placed in the national treasury? ,4.0,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.1,Tax Policy and Instruments,105,"Does the legislation prescribe rates, formulas and bases for the main elements of the fiscal regime? ",4.0,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.1,Tax Policy and Instruments,106,To what extent are there well-defined provisions for the renegotiation or review of fiscal terms?,2.5,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.1,Tax Policy and Instruments,107,To what extent does the mining or investment legislation provide clear rules on the types of tax incentives that can be granted to large investors? ,1.0,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.1,Tax Policy and Instruments,108,To what extent does the fiscal regime ensure that the government has an adequate minimum revenue stream in all production periods?,4.0,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.1,Tax Policy and Instruments,109,To what extent does the mining fiscal regime include progressive fiscal instruments? ,4.0,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.1,Tax Policy and Instruments,110,To what extent are there clear rules in the tax code or regulations for the following payment processes:,2.5,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.1,Tax Policy and Instruments,111,Does the government have a simplified tax collection system for ASM? ,1.0,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.2,"Rules for Auditing, Base Erosion and Profit Shifting",112,"According to regulations, to what extent are regular tax, cost or physical audits required to be conducted of small-scale operators and large mining companies? ",4.0,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.2,"Rules for Auditing, Base Erosion and Profit Shifting",113,Is there a legal provision providing for an arm’s-length principle for regulation of transfer-pricing practices? ,4.0,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.2,"Rules for Auditing, Base Erosion and Profit Shifting",114,To what extent are there clear documentation requirements to demonstrate compliance with transfer pricing rules?,4.0,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.2,"Rules for Auditing, Base Erosion and Profit Shifting",115,To what extent are there clear procedures for using advanced pricing agreements to limit transfer pricing? ,1.0,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.2,"Rules for Auditing, Base Erosion and Profit Shifting",116,Is there an annual disclosure requirement for related party transactions?,1.0,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.2,"Rules for Auditing, Base Erosion and Profit Shifting",117,To what extent do the legal provisions limit the risk from thin capitalization? ,4.0,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.3,State Owned Enterprise Governance Rules,118,To what extent does law or regulation require mining sector SOEs to adhere to good corporate governance when examining the Board’s composition? ,2.5,,Primary (desktop research),1.0,9.0,1.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,3,3. Taxation and State Participation,A3,"Tax policy, Instruments and State Owned Enterprise Rules",A3.3,State Owned Enterprise Governance Rules,119,"Where the mining SOE engages in quasi-fiscal activities, to what extent are the roles and responsibilities of the SOE to provide subsidies or social expenditures (quasi-fiscal activities) clearly set out? ",1.0,,Primary (desktop research),1.0,9.0,1.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,3,3. Taxation and State Participation,B3,Mining Taxation and State Owned Enterprise Financial Management,B3.1,Accountability of Mining Taxation ,120,"To what extent are changes to mining tax legislation done through a consultative process that is timely, meaningful, comprehensive and transparent? ",,,Primary (Interview),1.0,1.0,16.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,3,3. Taxation and State Participation,B3,Mining Taxation and State Owned Enterprise Financial Management,B3.1,Accountability of Mining Taxation ,121,"Does the country disclose through EITI or another disclosure process, details of mining revenues?",1.0,,Primary (desktop research),1.0,1.0,16.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,3,3. Taxation and State Participation,B3,Mining Taxation and State Owned Enterprise Financial Management,B3.1,Accountability of Mining Taxation ,122,Are government officials with a role in the oversight of the mining sector required to disclose information about their financial interests in any extractive activity or project? ,4.0,,Primary (desktop research),1.0,1.0,16.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,3,3. Taxation and State Participation,B3,Mining Taxation and State Owned Enterprise Financial Management,B3.1,Accountability of Mining Taxation ,123,To what extent do government officials with a role in the oversight of the mining sector disclose information about their financial interests in any extractive activity or project?,1.75,,Primary (Interview),1.0,1.0,16.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,3,3. Taxation and State Participation,B3,Mining Taxation and State Owned Enterprise Financial Management,B3.2,State-Owned Enterprise Financial Management,124,"If there are State Owned Enterprises (SOEs) in the mining sector, do such SOEs have a legal obligation to publish financial reports?",4.0,,Primary (desktop research),1.0,1.0,16.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,3,3. Taxation and State Participation,B3,Mining Taxation and State Owned Enterprise Financial Management,B3.2,State-Owned Enterprise Financial Management,125,To what extent do mining sector SOEs publish annual financial reports? ,4.0,,Primary (Interview),1.0,1.0,16.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,3,3. Taxation and State Participation,B3,Mining Taxation and State Owned Enterprise Financial Management,B3.2,State-Owned Enterprise Financial Management,126,Are mining SOEs subject by law to annual audits by an independent external auditor? ,2.5,,Primary (desktop research),1.0,1.0,16.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,3,3. Taxation and State Participation,B3,Mining Taxation and State Owned Enterprise Financial Management,B3.2,State-Owned Enterprise Financial Management,127,"In practice, are annual audits of mining SOEs undertaken by an independent external auditor?",3.5,,Primary (Interview),1.0,1.0,16.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,3,3. Taxation and State Participation,B3,Mining Taxation and State Owned Enterprise Financial Management,B3.2,State-Owned Enterprise Financial Management,128,Do mining SOEs have to follow internationally recognized accounting standards?,2.5,,Primary (desktop research),1.0,1.0,16.0,4.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,129,To what extent does the taxation authority issue guidance notes or interpretations?,4.0,,Primary (desktop research),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,130,To what extent are the bases on which taxes are levied subject to disputes between companies and government?,2.5,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,131,"To what extent, are tax, cost or physical audits of mining companies conducted systematically? ",4.0,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,132,To what extent are the timing of physical audits and cost audits of mining companies coordinated? ,1.0,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,133,To what extent are transfer pricing rules enforced in practice? ,1.75,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,134,To what extent are there regular audits for transfer pricing of related party transactions and advanced pricing rules for regularly occurring transactions?,3.25,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,135,To what extent are the advanced pricing rules followed for regularly occurring transactions?,,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,136,To what extent are there regular audits of companies following thin capitalization rules? ,3.25,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,137,Does the tax administration have a large taxpayer unit/office or one specialized in natural resources/mining? ,4.0,,Primary (desktop research),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,138,To what extent is the unit specialized in taxation of natural resources/mining staffed appropriately to carry out its activities? ,2.5,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,139,"To what extent, is the unit specialized in natural resources/mining receiving appropriate funding to carry out its mandate? ",2.5,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,140,Effectiveness in the collection of tax payments—Public Expenditure and Financial Accounting (PEFA) indicator,3.0,,Secondary,1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,141,"In practice, are taxes and payments only collected by the mandated agencies? ",4.0,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,142,"In practice, are taxes from mining only placed in the national treasury? ",4.0,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,143,To what extent are the fiscal terms in the law followed? ,4.0,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.1,Mining Tax Administration,144,To what extent are the terms for investment incentives in the law followed?,2.5,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.2,State-Owned Enterprise Governance,145,"To what extent do mining sector SOEs have a board with: independent expert members with private sector experience, separate positions of chair and chief executive officer, and a board of a reasonable size?",4.0,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.2,State-Owned Enterprise Governance,146,Is there an internal audit department within mining SOEs?,4.0,,Primary (desktop research),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.2,State-Owned Enterprise Governance,147,"In practice, does the internal audit department of mining SOEs review the effectiveness of internal controls annually? ",4.0,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.2,State-Owned Enterprise Governance,148,To what extent do mining SOEs follow the role (including any subsidies or social expenditures) set out for them? ,4.0,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,3,3. Taxation and State Participation,C3,Mining Tax Administration and State Owned Enterprise Governance,C3.2,State-Owned Enterprise Governance,149,"To what extent, are mining SOEs or state equity partners honoring their financial obligations?",2.33,,Primary (Interview),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,4,4. Revenue Distribution and Management,A4,"Public Financial Management Regulation, Including Revenue Sharing",A4.1,Public Financial Management and Revenue Sharing,150,Are arrangements for resource revenue sharing between central and sub-national governments defined by legislation? ,1.0,,Primary (desktop research),1.0,1.0,4.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,4,4. Revenue Distribution and Management,A4,"Public Financial Management Regulation, Including Revenue Sharing",A4.1,Public Financial Management and Revenue Sharing,151,Are ministries required to undertake procurement plans for infrastructure projects according to the laws and regulation?,4.0,,Primary (desktop research),1.0,1.0,4.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,4,4. Revenue Distribution and Management,A4,"Public Financial Management Regulation, Including Revenue Sharing",A4.1,Public Financial Management and Revenue Sharing,152,"In the regulation, to what extent is it clear when and how yearly budget allocations to sub-national governments should be disbursed?",4.0,,Primary (desktop research),1.0,1.0,4.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,4,4. Revenue Distribution and Management,A4,"Public Financial Management Regulation, Including Revenue Sharing",A4.2,Macrofiscal Management Rules and Stabilization,153,Does the law provide for a fund to protect budget expenditures from revenue volatility using savings or other funds?,,,Primary (desktop research),1.0,1.0,4.0,4.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,4,4. Revenue Distribution and Management,A4,"Public Financial Management Regulation, Including Revenue Sharing",A4.2,Macrofiscal Management Rules and Stabilization,154,Are there macrofiscal rules in place to stabilize the budget? ,4.0,,Primary (desktop research),1.0,1.0,4.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,4,4. Revenue Distribution and Management,B4,"Budget Transparency and Accountability, and Public Integrity",B4.1,Budget Transparency and Accountability,155,Open Budget Index - Open Budget Survey ,3.0,,Secondary,1.0,9.0,16.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,4,4. Revenue Distribution and Management,B4,"Budget Transparency and Accountability, and Public Integrity",B4.2,Public Investment Integrity,156,"To what extent is there well-publicized, detailed and up-to-date strategic guidance for public investment decisions?",4.0,,Primary (desktop research),1.0,9.0,16.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,4,4. Revenue Distribution and Management,B4,"Budget Transparency and Accountability, and Public Integrity",B4.2,Public Investment Integrity,157,Are public investment projects required to be evaluated after completion by an independent auditor according to the laws and regulation?,2.5,,Primary (desktop research),1.0,9.0,16.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,4,4. Revenue Distribution and Management,B4,"Budget Transparency and Accountability, and Public Integrity",B4.2,Public Investment Integrity,158,To what extent are completed public investment projects evaluated by an independent auditor? ,1.75,,Primary (Interview),1.0,9.0,16.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,4,4. Revenue Distribution and Management,B4,"Budget Transparency and Accountability, and Public Integrity",B4.2,Public Investment Integrity,159,Are the assets and liabilities of mining sector SOEs included in the public sector balance as reported by the Ministry of Finance?,4.0,,Primary (desktop research),1.0,9.0,16.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,4,4. Revenue Distribution and Management,B4,"Budget Transparency and Accountability, and Public Integrity",B4.2,Public Investment Integrity,160,Are the assets and liabilities of the natural resource fund included in the public sector balance as reported by the Ministry of Finance? ,4.0,,Primary (desktop research),1.0,9.0,16.0,9.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.1,Budget Implementation,161,"Budget cycle (performance of key systems, processes, and institutions)—PEFA indicator",4.0,,Secondary,1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.1,Budget Implementation,162,Control of expenditures—PEFA indicator,4.0,,Secondary,1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.1,Budget Implementation,163,To what extent do subnational governments receive their budget allocations in a full and timely manner?,4.0,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.1,Budget Implementation,164,Robust budget classification system—PEFA indicator,2.0,,Secondary,1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.1,Budget Implementation,165,Comprehensiveness of information included in budget documentation – PEFA indicator ,4.0,,Secondary,1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.1,Budget Implementation,166,Extent of unreported extra-budgetary expenditure – PEFA indicator ,,,Secondary,1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.1,Budget Implementation,167,Multi-year perspective in fiscal planning – PEFA indicator ,1.0,,Secondary,1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.1,Budget Implementation,168,"To what extent, does the government follow the rules established by resource revenue sharing legislation?",,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.1,Budget Implementation,169,"In this country, how efficiently does the government spend public revenue? – WEF GCI",4.0,,Secondary,1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.2,Large Scale Public Investment ,170,"In practice, is there an established process for screening public investment project proposals for consistency with government policy and strategic guidance, and to what extent does the government follow it? ",4.0,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.2,Large Scale Public Investment ,171,To what extent does the government use a formal cost benefit appraisal process for public investment project proposals?,2.5,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.2,Large Scale Public Investment ,172,To what extent are the project appraisals of public investment projects undertaken by an external agency or expert?,1.0,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.2,Large Scale Public Investment ,173,To what extent do ministries prepare procurement plans for major public investment projects in key sectors?,4.0,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.2,Large Scale Public Investment ,174,To what extent are there regular cost over-runs on major public investment projects in key sectors?,1.0,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.2,Large Scale Public Investment ,175,Are there often delays in project completion relative to the initial estimated time on major public investment projects in key sectors?,2.5,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.3,Macrofiscal Management and Revenue Stabilization Effectiveness,176,To what extent is the fund to protect budget expenditures from revenue volatility working?,2.5,,Primary (Interview),1.0,1.0,1.0,1.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,4,4. Revenue Distribution and Management,C4,Budget Implementation and Macrofiscal Management Effectiveness,C4.3,Macrofiscal Management and Revenue Stabilization Effectiveness,177,To what extent does the government follow its macrofiscal rules?,4.0,,Primary (Interview),1.0,1.0,1.0,1.0
