Country ISO3,Country Name,Indicator,Subindicator Type,2010
FJI,Fiji,Enforcement mechanism score,5 Highest 0 Lowest,0.0
FJI,Fiji,Exemptions to coverage,1 Yes 0 No,0.0
FJI,Fiji,Exemptions to disclosure requirements score,5 Highest 0 Lowest,0.0
FJI,Fiji,Existence of legal right to access,1 Yes 0 No,0.0
FJI,Fiji,Fines,1 Yes 0 No,0.0
FJI,Fiji,FOIA contact points,1 Yes 0 No,0.0
FJI,Fiji,FOIA enforcement body,1 Yes 0 No,0.0
FJI,Fiji,Harm test,1 Yes 0 No,0.0
FJI,Fiji,Independent Nonjudicial appeals mechanism,1 Yes 0 No,0.0
FJI,Fiji,Initial response deadline of no more than 15 days,1 Yes 0 No,0.0
FJI,Fiji,Judicial appeals mechanism,1 Yes 0 No,0.0
FJI,Fiji,Legal Framework unweighted average,1 Yes 0 No,0.0
FJI,Fiji,Legislation governing access to information,1 Yes 0 No,0.0
FJI,Fiji,Maximum total response time of no more than 40 days,1 Yes 0 No,0.0
FJI,Fiji,Nominal fees mandated,1 Yes 0 No,0.0
FJI,Fiji,Oral requests,1 Yes 0 No,0.0
FJI,Fiji,Procedures for accessing information score,5 Highest 0 Lowest,0.0
FJI,Fiji,Public Interest test ,1 Yes 0 No,0.0
FJI,Fiji,Right to Appeal,1 Yes 0 No,0.0
FJI,Fiji,Right to extend response time,1 Yes 0 No,0.0
FJI,Fiji,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.0
FJI,Fiji,Written guidelines for request of info,1 Yes 0 No,0.0
FJI,Fiji,Written requests,1 Yes 0 No,0.0
FRA,France,Administrative sanctions,1 Yes 0 No,0.0
FRA,France,Annual budgets,1 Yes 0 No,1.0
FRA,France,Annual chart of accounts,1 Yes 0 No,1.0
FRA,France,Annual reports,1 Yes 0 No,1.0
FRA,France,Appeals mechanism score,5 Highest 0 Lowest,3.333333333
FRA,France,Appeals within public entities,1 Yes 0 No,0.0
FRA,France,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,2.0
FRA,France,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,0.0
FRA,France,Constitutional requirement,1 Yes 0 No,1.0
FRA,France,Coverage of information score,5 Highest 0 Lowest,4.0
FRA,France,Criminal sanctions,1 Yes 0 No,0.0
FRA,France,Deadlines for release of information score,5 Highest 0 Lowest,1.25
FRA,France,Draft legal instruments,1 Yes 0 No,0.0
FRA,France,Electronic requests,1 Yes 0 No,1.0
FRA,France,Enacted legal instruments,1 Yes 0 No,1.0
FRA,France,Enforcement mechanism score,5 Highest 0 Lowest,2.5
FRA,France,Exemptions to coverage,1 Yes 0 No,1.0
FRA,France,Exemptions to disclosure requirements score,5 Highest 0 Lowest,2.5
FRA,France,Existence of legal right to access,1 Yes 0 No,1.0
FRA,France,Fines,1 Yes 0 No,0.0
FRA,France,FOIA contact points,1 Yes 0 No,0.0
FRA,France,FOIA enforcement body,1 Yes 0 No,1.0
FRA,France,Harm test,1 Yes 0 No,1.0
FRA,France,Independent Nonjudicial appeals mechanism,1 Yes 0 No,1.0
FRA,France,Initial response deadline of no more than 15 days,1 Yes 0 No,0.0
FRA,France,Judicial appeals mechanism,1 Yes 0 No,1.0
FRA,France,Legal Framework unweighted average,1 Yes 0 No,1.0
FRA,France,Legislation governing access to information,1 Yes 0 No,1.0
FRA,France,Maximum total response time of no more than 40 days,1 Yes 0 No,0.0
FRA,France,Nominal fees mandated,1 Yes 0 No,0.0
FRA,France,Oral requests,1 Yes 0 No,1.0
FRA,France,Procedures for accessing information score,5 Highest 0 Lowest,5.0
FRA,France,Public Interest test ,1 Yes 0 No,0.0
FRA,France,Right to Appeal,1 Yes 0 No,1.0
FRA,France,Right to extend response time,1 Yes 0 No,1.0
FRA,France,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.0
FRA,France,Written guidelines for request of info,1 Yes 0 No,1.0
FRA,France,Written requests,1 Yes 0 No,1.0
GBR,United Kingdom,Administrative sanctions,1 Yes 0 No,0.0
GBR,United Kingdom,Annual budgets,1 Yes 0 No,1.0
GBR,United Kingdom,Annual chart of accounts,1 Yes 0 No,1.0
GBR,United Kingdom,Annual reports,1 Yes 0 No,1.0
GBR,United Kingdom,Appeals mechanism score,5 Highest 0 Lowest,5.0
GBR,United Kingdom,Appeals within public entities,1 Yes 0 No,1.0
GBR,United Kingdom,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,2.0
GBR,United Kingdom,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,1.0
GBR,United Kingdom,Constitutional requirement,1 Yes 0 No,0.0
GBR,United Kingdom,Coverage of information score,5 Highest 0 Lowest,5.0
GBR,United Kingdom,Criminal sanctions,1 Yes 0 No,0.0
GBR,United Kingdom,Deadlines for release of information score,5 Highest 0 Lowest,2.5
GBR,United Kingdom,Draft legal instruments,1 Yes 0 No,1.0
GBR,United Kingdom,Electronic requests,1 Yes 0 No,1.0
GBR,United Kingdom,Enacted legal instruments,1 Yes 0 No,1.0
GBR,United Kingdom,Enforcement mechanism score,5 Highest 0 Lowest,5.0
GBR,United Kingdom,Exemptions to coverage,1 Yes 0 No,1.0
GBR,United Kingdom,Exemptions to disclosure requirements score,5 Highest 0 Lowest,4.166666667
GBR,United Kingdom,Existence of legal right to access,1 Yes 0 No,1.0
GBR,United Kingdom,Fines,1 Yes 0 No,1.0
GBR,United Kingdom,FOIA contact points,1 Yes 0 No,1.0
GBR,United Kingdom,FOIA enforcement body,1 Yes 0 No,1.0
GBR,United Kingdom,Harm test,1 Yes 0 No,1.0
GBR,United Kingdom,Independent Nonjudicial appeals mechanism,1 Yes 0 No,1.0
GBR,United Kingdom,Initial response deadline of no more than 15 days,1 Yes 0 No,0.0
GBR,United Kingdom,Judicial appeals mechanism,1 Yes 0 No,1.0
GBR,United Kingdom,Legal Framework unweighted average,1 Yes 0 No,0.75
GBR,United Kingdom,Legislation governing access to information,1 Yes 0 No,1.0
GBR,United Kingdom,Maximum total response time of no more than 40 days,1 Yes 0 No,0.0
GBR,United Kingdom,Nominal fees mandated,1 Yes 0 No,1.0
GBR,United Kingdom,Oral requests,1 Yes 0 No,1.0
GBR,United Kingdom,Procedures for accessing information score,5 Highest 0 Lowest,5.0
GBR,United Kingdom,Public Interest test ,1 Yes 0 No,1.0
GBR,United Kingdom,Right to Appeal,1 Yes 0 No,1.0
GBR,United Kingdom,Right to extend response time,1 Yes 0 No,1.0
GBR,United Kingdom,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.333333333
GBR,United Kingdom,Written guidelines for request of info,1 Yes 0 No,1.0
GBR,United Kingdom,Written requests,1 Yes 0 No,1.0
GEO,Georgia,Administrative sanctions,1 Yes 0 No,1.0
GEO,Georgia,Annual budgets,1 Yes 0 No,1.0
GEO,Georgia,Annual chart of accounts,1 Yes 0 No,1.0
GEO,Georgia,Annual reports,1 Yes 0 No,1.0
GEO,Georgia,Appeals mechanism score,5 Highest 0 Lowest,5.0
GEO,Georgia,Appeals within public entities,1 Yes 0 No,1.0
GEO,Georgia,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,0.0
GEO,Georgia,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,0.0
GEO,Georgia,Constitutional requirement,1 Yes 0 No,1.0
GEO,Georgia,Coverage of information score,5 Highest 0 Lowest,5.0
GEO,Georgia,Criminal sanctions,1 Yes 0 No,1.0
GEO,Georgia,Deadlines for release of information score,5 Highest 0 Lowest,3.75
GEO,Georgia,Draft legal instruments,1 Yes 0 No,1.0
GEO,Georgia,Electronic requests,1 Yes 0 No,0.0
GEO,Georgia,Enacted legal instruments,1 Yes 0 No,1.0
GEO,Georgia,Enforcement mechanism score,5 Highest 0 Lowest,2.5
GEO,Georgia,Exemptions to coverage,1 Yes 0 No,1.0
GEO,Georgia,Exemptions to disclosure requirements score,5 Highest 0 Lowest,1.666666667
GEO,Georgia,Existence of legal right to access,1 Yes 0 No,1.0
GEO,Georgia,Fines,1 Yes 0 No,1.0
GEO,Georgia,FOIA contact points,1 Yes 0 No,1.0
GEO,Georgia,FOIA enforcement body,1 Yes 0 No,0.0
GEO,Georgia,Harm test,1 Yes 0 No,0.0
GEO,Georgia,Independent Nonjudicial appeals mechanism,1 Yes 0 No,1.0
GEO,Georgia,Initial response deadline of no more than 15 days,1 Yes 0 No,1.0
GEO,Georgia,Judicial appeals mechanism,1 Yes 0 No,1.0
GEO,Georgia,Legal Framework unweighted average,1 Yes 0 No,1.0
GEO,Georgia,Legislation governing access to information,1 Yes 0 No,1.0
GEO,Georgia,Maximum total response time of no more than 40 days,1 Yes 0 No,1.0
GEO,Georgia,Nominal fees mandated,1 Yes 0 No,1.0
GEO,Georgia,Oral requests,1 Yes 0 No,0.0
GEO,Georgia,Procedures for accessing information score,5 Highest 0 Lowest,2.5
GEO,Georgia,Public Interest test ,1 Yes 0 No,0.0
GEO,Georgia,Right to Appeal,1 Yes 0 No,1.0
GEO,Georgia,Right to extend response time,1 Yes 0 No,0.0
GEO,Georgia,Sanctions for failure to disclose unweighted average,1 Yes 0 No,1.0
GEO,Georgia,Written guidelines for request of info,1 Yes 0 No,1.0
GEO,Georgia,Written requests,1 Yes 0 No,1.0
GHA,Ghana,Administrative sanctions,1 Yes 0 No,0.0
GHA,Ghana,Annual budgets,1 Yes 0 No,1.0
GHA,Ghana,Annual chart of accounts,1 Yes 0 No,1.0
GHA,Ghana,Annual reports,1 Yes 0 No,0.0
GHA,Ghana,Appeals mechanism score,5 Highest 0 Lowest,1.666666667
GHA,Ghana,Appeals within public entities,1 Yes 0 No,0.0
GHA,Ghana,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,0.0
GHA,Ghana,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,1.0
GHA,Ghana,Constitutional requirement,1 Yes 0 No,1.0
GHA,Ghana,Coverage of information score,5 Highest 0 Lowest,4.0
GHA,Ghana,Criminal sanctions,1 Yes 0 No,0.0
GHA,Ghana,Deadlines for release of information score,5 Highest 0 Lowest,0.0
GHA,Ghana,Draft legal instruments,1 Yes 0 No,1.0
GHA,Ghana,Electronic requests,1 Yes 0 No,0.0
GHA,Ghana,Enacted legal instruments,1 Yes 0 No,1.0
GHA,Ghana,Enforcement mechanism score,5 Highest 0 Lowest,0.0
GHA,Ghana,Exemptions to coverage,1 Yes 0 No,1.0
GHA,Ghana,Exemptions to disclosure requirements score,5 Highest 0 Lowest,3.333333333
GHA,Ghana,Existence of legal right to access,1 Yes 0 No,1.0
GHA,Ghana,Fines,1 Yes 0 No,0.0
GHA,Ghana,FOIA contact points,1 Yes 0 No,0.0
GHA,Ghana,FOIA enforcement body,1 Yes 0 No,0.0
GHA,Ghana,Harm test,1 Yes 0 No,0.0
GHA,Ghana,Independent Nonjudicial appeals mechanism,1 Yes 0 No,0.0
GHA,Ghana,Initial response deadline of no more than 15 days,1 Yes 0 No,0.0
GHA,Ghana,Judicial appeals mechanism,1 Yes 0 No,1.0
GHA,Ghana,Legal Framework unweighted average,1 Yes 0 No,1.0
GHA,Ghana,Legislation governing access to information,1 Yes 0 No,1.0
GHA,Ghana,Maximum total response time of no more than 40 days,1 Yes 0 No,0.0
GHA,Ghana,Nominal fees mandated,1 Yes 0 No,0.0
GHA,Ghana,Oral requests,1 Yes 0 No,0.0
GHA,Ghana,Procedures for accessing information score,5 Highest 0 Lowest,0.0
GHA,Ghana,Public Interest test ,1 Yes 0 No,1.0
GHA,Ghana,Right to Appeal,1 Yes 0 No,1.0
GHA,Ghana,Right to extend response time,1 Yes 0 No,0.0
GHA,Ghana,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.0
GHA,Ghana,Written guidelines for request of info,1 Yes 0 No,0.0
GHA,Ghana,Written requests,1 Yes 0 No,0.0
GIN,Guinea,Administrative sanctions,1 Yes 0 No,0.0
GIN,Guinea,Annual budgets,1 Yes 0 No,0.0
GIN,Guinea,Annual chart of accounts,1 Yes 0 No,0.0
GIN,Guinea,Annual reports,1 Yes 0 No,0.0
GIN,Guinea,Appeals mechanism score,5 Highest 0 Lowest,0.0
GIN,Guinea,Appeals within public entities,1 Yes 0 No,0.0
GIN,Guinea,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,0.0
GIN,Guinea,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,0.0
GIN,Guinea,Constitutional requirement,1 Yes 0 No,0.0
GIN,Guinea,Coverage of information score,5 Highest 0 Lowest,0.0
GIN,Guinea,Criminal sanctions,1 Yes 0 No,0.0
GIN,Guinea,Deadlines for release of information score,5 Highest 0 Lowest,0.0
GIN,Guinea,Draft legal instruments,1 Yes 0 No,0.0
GIN,Guinea,Electronic requests,1 Yes 0 No,0.0
GIN,Guinea,Enacted legal instruments,1 Yes 0 No,0.0
GIN,Guinea,Enforcement mechanism score,5 Highest 0 Lowest,0.0
GIN,Guinea,Exemptions to coverage,1 Yes 0 No,0.0
GIN,Guinea,Exemptions to disclosure requirements score,5 Highest 0 Lowest,0.0
GIN,Guinea,Existence of legal right to access,1 Yes 0 No,0.0
GIN,Guinea,Fines,1 Yes 0 No,0.0
GIN,Guinea,FOIA contact points,1 Yes 0 No,0.0
GIN,Guinea,FOIA enforcement body,1 Yes 0 No,0.0
GIN,Guinea,Harm test,1 Yes 0 No,0.0
GIN,Guinea,Independent Nonjudicial appeals mechanism,1 Yes 0 No,0.0
GIN,Guinea,Initial response deadline of no more than 15 days,1 Yes 0 No,0.0
GIN,Guinea,Judicial appeals mechanism,1 Yes 0 No,0.0
GIN,Guinea,Legal Framework unweighted average,1 Yes 0 No,0.0
GIN,Guinea,Legislation governing access to information,1 Yes 0 No,0.0
GIN,Guinea,Maximum total response time of no more than 40 days,1 Yes 0 No,0.0
GIN,Guinea,Nominal fees mandated,1 Yes 0 No,0.0
GIN,Guinea,Oral requests,1 Yes 0 No,0.0
GIN,Guinea,Procedures for accessing information score,5 Highest 0 Lowest,0.0
GIN,Guinea,Public Interest test ,1 Yes 0 No,0.0
GIN,Guinea,Right to Appeal,1 Yes 0 No,0.0
GIN,Guinea,Right to extend response time,1 Yes 0 No,0.0
GIN,Guinea,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.0
GIN,Guinea,Written guidelines for request of info,1 Yes 0 No,0.0
GIN,Guinea,Written requests,1 Yes 0 No,0.0
GMB,"Gambia, The",Administrative sanctions,1 Yes 0 No,0.0
GMB,"Gambia, The",Annual budgets,1 Yes 0 No,0.0
GMB,"Gambia, The",Annual chart of accounts,1 Yes 0 No,0.0
GMB,"Gambia, The",Annual reports,1 Yes 0 No,0.0
GMB,"Gambia, The",Appeals mechanism score,5 Highest 0 Lowest,0.0
GMB,"Gambia, The",Appeals within public entities,1 Yes 0 No,0.0
GMB,"Gambia, The",Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,0.0
GMB,"Gambia, The",Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,0.0
GMB,"Gambia, The",Constitutional requirement,1 Yes 0 No,0.0
GMB,"Gambia, The",Coverage of information score,5 Highest 0 Lowest,0.0
GMB,"Gambia, The",Criminal sanctions,1 Yes 0 No,0.0
GMB,"Gambia, The",Deadlines for release of information score,5 Highest 0 Lowest,0.0
GMB,"Gambia, The",Draft legal instruments,1 Yes 0 No,0.0
GMB,"Gambia, The",Electronic requests,1 Yes 0 No,0.0
GMB,"Gambia, The",Enacted legal instruments,1 Yes 0 No,0.0
GMB,"Gambia, The",Enforcement mechanism score,5 Highest 0 Lowest,0.0
GMB,"Gambia, The",Exemptions to coverage,1 Yes 0 No,0.0
GMB,"Gambia, The",Exemptions to disclosure requirements score,5 Highest 0 Lowest,0.0
GMB,"Gambia, The",Existence of legal right to access,1 Yes 0 No,0.0
GMB,"Gambia, The",Fines,1 Yes 0 No,0.0
GMB,"Gambia, The",FOIA contact points,1 Yes 0 No,0.0
GMB,"Gambia, The",FOIA enforcement body,1 Yes 0 No,0.0
GMB,"Gambia, The",Harm test,1 Yes 0 No,0.0
GMB,"Gambia, The",Independent Nonjudicial appeals mechanism,1 Yes 0 No,0.0
GMB,"Gambia, The",Initial response deadline of no more than 15 days,1 Yes 0 No,0.0
GMB,"Gambia, The",Judicial appeals mechanism,1 Yes 0 No,0.0
GMB,"Gambia, The",Legal Framework unweighted average,1 Yes 0 No,0.0
GMB,"Gambia, The",Legislation governing access to information,1 Yes 0 No,0.0
GMB,"Gambia, The",Maximum total response time of no more than 40 days,1 Yes 0 No,0.0
GMB,"Gambia, The",Nominal fees mandated,1 Yes 0 No,0.0
GMB,"Gambia, The",Oral requests,1 Yes 0 No,0.0
GMB,"Gambia, The",Procedures for accessing information score,5 Highest 0 Lowest,0.0
GMB,"Gambia, The",Public Interest test ,1 Yes 0 No,0.0
GMB,"Gambia, The",Right to Appeal,1 Yes 0 No,0.0
GMB,"Gambia, The",Right to extend response time,1 Yes 0 No,0.0
GMB,"Gambia, The",Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.0
GMB,"Gambia, The",Written guidelines for request of info,1 Yes 0 No,0.0
GMB,"Gambia, The",Written requests,1 Yes 0 No,0.0
GUY,Guyana,Administrative sanctions,1 Yes 0 No,0.0
GUY,Guyana,Annual budgets,1 Yes 0 No,0.0
GUY,Guyana,Annual chart of accounts,1 Yes 0 No,0.0
GUY,Guyana,Annual reports,1 Yes 0 No,0.0
GUY,Guyana,Appeals mechanism score,5 Highest 0 Lowest,0.0
GUY,Guyana,Appeals within public entities,1 Yes 0 No,0.0
GUY,Guyana,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,0.0
GUY,Guyana,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,0.0
GUY,Guyana,Constitutional requirement,1 Yes 0 No,0.0
GUY,Guyana,Coverage of information score,5 Highest 0 Lowest,0.0
GUY,Guyana,Criminal sanctions,1 Yes 0 No,0.0
GUY,Guyana,Deadlines for release of information score,5 Highest 0 Lowest,0.0
GUY,Guyana,Draft legal instruments,1 Yes 0 No,0.0
GUY,Guyana,Electronic requests,1 Yes 0 No,0.0
GUY,Guyana,Enacted legal instruments,1 Yes 0 No,0.0
GUY,Guyana,Enforcement mechanism score,5 Highest 0 Lowest,0.0
GUY,Guyana,Exemptions to coverage,1 Yes 0 No,0.0
GUY,Guyana,Exemptions to disclosure requirements score,5 Highest 0 Lowest,0.0
GUY,Guyana,Existence of legal right to access,1 Yes 0 No,0.0
GUY,Guyana,Fines,1 Yes 0 No,0.0
GUY,Guyana,FOIA contact points,1 Yes 0 No,0.0
GUY,Guyana,FOIA enforcement body,1 Yes 0 No,0.0
GUY,Guyana,Harm test,1 Yes 0 No,0.0
GUY,Guyana,Independent Nonjudicial appeals mechanism,1 Yes 0 No,0.0
GUY,Guyana,Initial response deadline of no more than 15 days,1 Yes 0 No,0.0
GUY,Guyana,Judicial appeals mechanism,1 Yes 0 No,0.0
GUY,Guyana,Legal Framework unweighted average,1 Yes 0 No,0.0
GUY,Guyana,Legislation governing access to information,1 Yes 0 No,0.0
GUY,Guyana,Maximum total response time of no more than 40 days,1 Yes 0 No,0.0
GUY,Guyana,Nominal fees mandated,1 Yes 0 No,0.0
GUY,Guyana,Oral requests,1 Yes 0 No,0.0
GUY,Guyana,Procedures for accessing information score,5 Highest 0 Lowest,0.0
GUY,Guyana,Public Interest test ,1 Yes 0 No,0.0
GUY,Guyana,Right to Appeal,1 Yes 0 No,0.0
GUY,Guyana,Right to extend response time,1 Yes 0 No,0.0
GUY,Guyana,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.0
GUY,Guyana,Written guidelines for request of info,1 Yes 0 No,0.0
GUY,Guyana,Written requests,1 Yes 0 No,0.0
HND,Honduras,Administrative sanctions,1 Yes 0 No,1.0
HND,Honduras,Annual budgets,1 Yes 0 No,1.0
HND,Honduras,Annual chart of accounts,1 Yes 0 No,1.0
HND,Honduras,Annual reports,1 Yes 0 No,1.0
HND,Honduras,Appeals mechanism score,5 Highest 0 Lowest,3.333333333
HND,Honduras,Appeals within public entities,1 Yes 0 No,0.0
HND,Honduras,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,2.0
HND,Honduras,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,2.0
HND,Honduras,Constitutional requirement,1 Yes 0 No,1.0
HND,Honduras,Coverage of information score,5 Highest 0 Lowest,4.0
HND,Honduras,Criminal sanctions,1 Yes 0 No,1.0
HND,Honduras,Deadlines for release of information score,5 Highest 0 Lowest,5.0
HND,Honduras,Draft legal instruments,1 Yes 0 No,0.0
HND,Honduras,Electronic requests,1 Yes 0 No,1.0
HND,Honduras,Enacted legal instruments,1 Yes 0 No,1.0
HND,Honduras,Enforcement mechanism score,5 Highest 0 Lowest,5.0
HND,Honduras,Exemptions to coverage,1 Yes 0 No,1.0
HND,Honduras,Exemptions to disclosure requirements score,5 Highest 0 Lowest,3.333333333
HND,Honduras,Existence of legal right to access,1 Yes 0 No,1.0
HND,Honduras,Fines,1 Yes 0 No,1.0
HND,Honduras,FOIA contact points,1 Yes 0 No,1.0
HND,Honduras,FOIA enforcement body,1 Yes 0 No,1.0
HND,Honduras,Harm test,1 Yes 0 No,1.0
HND,Honduras,Independent Nonjudicial appeals mechanism,1 Yes 0 No,1.0
HND,Honduras,Initial response deadline of no more than 15 days,1 Yes 0 No,1.0
HND,Honduras,Judicial appeals mechanism,1 Yes 0 No,1.0
HND,Honduras,Legal Framework unweighted average,1 Yes 0 No,1.0
HND,Honduras,Legislation governing access to information,1 Yes 0 No,1.0
HND,Honduras,Maximum total response time of no more than 40 days,1 Yes 0 No,1.0
HND,Honduras,Nominal fees mandated,1 Yes 0 No,1.0
HND,Honduras,Oral requests,1 Yes 0 No,0.0
HND,Honduras,Procedures for accessing information score,5 Highest 0 Lowest,3.75
HND,Honduras,Public Interest test ,1 Yes 0 No,1.0
HND,Honduras,Right to Appeal,1 Yes 0 No,1.0
HND,Honduras,Right to extend response time,1 Yes 0 No,1.0
HND,Honduras,Sanctions for failure to disclose unweighted average,1 Yes 0 No,1.0
HND,Honduras,Written guidelines for request of info,1 Yes 0 No,1.0
HND,Honduras,Written requests,1 Yes 0 No,1.0
HRV,Croatia,Administrative sanctions,1 Yes 0 No,0.0
HRV,Croatia,Annual budgets,1 Yes 0 No,1.0
HRV,Croatia,Annual chart of accounts,1 Yes 0 No,1.0
HRV,Croatia,Annual reports,1 Yes 0 No,1.0
HRV,Croatia,Appeals mechanism score,5 Highest 0 Lowest,5.0
HRV,Croatia,Appeals within public entities,1 Yes 0 No,1.0
HRV,Croatia,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,0.0
HRV,Croatia,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,2.0
HRV,Croatia,Constitutional requirement,1 Yes 0 No,1.0
HRV,Croatia,Coverage of information score,5 Highest 0 Lowest,5.0
HRV,Croatia,Criminal sanctions,1 Yes 0 No,0.0
HRV,Croatia,Deadlines for release of information score,5 Highest 0 Lowest,5.0
HRV,Croatia,Draft legal instruments,1 Yes 0 No,1.0
HRV,Croatia,Electronic requests,1 Yes 0 No,0.0
HRV,Croatia,Enacted legal instruments,1 Yes 0 No,1.0
HRV,Croatia,Enforcement mechanism score,5 Highest 0 Lowest,5.0
HRV,Croatia,Exemptions to coverage,1 Yes 0 No,1.0
HRV,Croatia,Exemptions to disclosure requirements score,5 Highest 0 Lowest,2.5
HRV,Croatia,Existence of legal right to access,1 Yes 0 No,1.0
HRV,Croatia,Fines,1 Yes 0 No,1.0
HRV,Croatia,FOIA contact points,1 Yes 0 No,1.0
HRV,Croatia,FOIA enforcement body,1 Yes 0 No,1.0
HRV,Croatia,Harm test,1 Yes 0 No,0.0
HRV,Croatia,Independent Nonjudicial appeals mechanism,1 Yes 0 No,1.0
HRV,Croatia,Initial response deadline of no more than 15 days,1 Yes 0 No,1.0
HRV,Croatia,Judicial appeals mechanism,1 Yes 0 No,1.0
HRV,Croatia,Legal Framework unweighted average,1 Yes 0 No,1.0
HRV,Croatia,Legislation governing access to information,1 Yes 0 No,1.0
HRV,Croatia,Maximum total response time of no more than 40 days,1 Yes 0 No,1.0
HRV,Croatia,Nominal fees mandated,1 Yes 0 No,1.0
HRV,Croatia,Oral requests,1 Yes 0 No,1.0
HRV,Croatia,Procedures for accessing information score,5 Highest 0 Lowest,3.75
HRV,Croatia,Public Interest test ,1 Yes 0 No,1.0
HRV,Croatia,Right to Appeal,1 Yes 0 No,1.0
HRV,Croatia,Right to extend response time,1 Yes 0 No,1.0
HRV,Croatia,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.333333333
HRV,Croatia,Written guidelines for request of info,1 Yes 0 No,1.0
HRV,Croatia,Written requests,1 Yes 0 No,1.0
HUN,Hungary,Administrative sanctions,1 Yes 0 No,0.0
HUN,Hungary,Annual budgets,1 Yes 0 No,1.0
HUN,Hungary,Annual chart of accounts,1 Yes 0 No,1.0
HUN,Hungary,Annual reports,1 Yes 0 No,1.0
HUN,Hungary,Appeals mechanism score,5 Highest 0 Lowest,3.333333333
HUN,Hungary,Appeals within public entities,1 Yes 0 No,0.0
HUN,Hungary,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,0.0
HUN,Hungary,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,0.0
HUN,Hungary,Constitutional requirement,1 Yes 0 No,1.0
HUN,Hungary,Coverage of information score,5 Highest 0 Lowest,5.0
HUN,Hungary,Criminal sanctions,1 Yes 0 No,1.0
HUN,Hungary,Deadlines for release of information score,5 Highest 0 Lowest,3.75
HUN,Hungary,Draft legal instruments,1 Yes 0 No,1.0
HUN,Hungary,Electronic requests,1 Yes 0 No,1.0
HUN,Hungary,Enacted legal instruments,1 Yes 0 No,1.0
HUN,Hungary,Enforcement mechanism score,5 Highest 0 Lowest,5.0
HUN,Hungary,Exemptions to coverage,1 Yes 0 No,1.0
HUN,Hungary,Exemptions to disclosure requirements score,5 Highest 0 Lowest,1.666666667
HUN,Hungary,Existence of legal right to access,1 Yes 0 No,1.0
HUN,Hungary,Fines,1 Yes 0 No,1.0
HUN,Hungary,FOIA contact points,1 Yes 0 No,1.0
HUN,Hungary,FOIA enforcement body,1 Yes 0 No,1.0
HUN,Hungary,Harm test,1 Yes 0 No,0.0
HUN,Hungary,Independent Nonjudicial appeals mechanism,1 Yes 0 No,1.0
HUN,Hungary,Initial response deadline of no more than 15 days,1 Yes 0 No,1.0
HUN,Hungary,Judicial appeals mechanism,1 Yes 0 No,1.0
HUN,Hungary,Legal Framework unweighted average,1 Yes 0 No,1.0
HUN,Hungary,Legislation governing access to information,1 Yes 0 No,1.0
HUN,Hungary,Maximum total response time of no more than 40 days,1 Yes 0 No,1.0
HUN,Hungary,Nominal fees mandated,1 Yes 0 No,1.0
HUN,Hungary,Oral requests,1 Yes 0 No,1.0
HUN,Hungary,Procedures for accessing information score,5 Highest 0 Lowest,5.0
HUN,Hungary,Public Interest test ,1 Yes 0 No,0.0
HUN,Hungary,Right to Appeal,1 Yes 0 No,1.0
HUN,Hungary,Right to extend response time,1 Yes 0 No,0.0
HUN,Hungary,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.666666667
HUN,Hungary,Written guidelines for request of info,1 Yes 0 No,1.0
HUN,Hungary,Written requests,1 Yes 0 No,1.0
IDN,Indonesia,Administrative sanctions,1 Yes 0 No,0.0
IDN,Indonesia,Annual budgets,1 Yes 0 No,1.0
IDN,Indonesia,Annual chart of accounts,1 Yes 0 No,1.0
IDN,Indonesia,Annual reports,1 Yes 0 No,1.0
IDN,Indonesia,Appeals mechanism score,5 Highest 0 Lowest,5.0
IDN,Indonesia,Appeals within public entities,1 Yes 0 No,1.0
