Property Name,Country,Commodity,Type of Work,Status,Extent of Processing,Best Reserve Available,Reserves Tonnes  (_000) Units,Reserve Grade,Reserve grade Unit,Current Production,Current Production Unit,(Expected) Yearly Production at full capacity ,(Expected) Production at full capacity unit,Life of Mine (years),Project Inception (Year),Project Completion (Year),Company Name,(Expected)  Investment (MM$),Probability to move to investment by 2020 ,Power Sourcing Arrangement or Relationship Between Mine and Grid.,Source of power,Energy Consumption (kwh/t product),Annual Energy Consumption (MWh),Energy needs (MW),Shareholding Code,Mine Location,Location notes,Region,Tariff Public Utility,Cost relativity,Grid Energy Source,Grid Reliability,Source,Notes,Reference,Projects Pre-2000,Projects 2001-2012,Projects 2020
Estima,Mozambique,Coal,Open-pit,Feasibility,crushed,None,,,,,,20000000,tons,25.0,2016.0,2041.0,Enrc,,high,Self-supply + sell to the grid,On-site Coal,37,740000,77.08,Sole Ownership by a private company,,Tete province,SA,4.1,above tariff,Mainly Hydro Powered Generation,50 to 100 days,WB,,WB,No,No,Yes
Sicomine,"Congo, Dem. Rep. of",Copper,Surface,Development,intermediate,Proven and Probable Reserves,7000.0,3.04,%,,,400000,tons,30.0,2015.0,2045.0,"Gecamines ( 32%), Chinese Consortium (68%)",6000.0,high,Mines invest in the grid,On-Grid,5000,2000000,208.33,Joint- venture with State Equity,,Kantanga,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,,"Infomine, Mining Weekly",No,No,Yes
Bombore,Burkina Faso,Gold,Surface,Prefeasibility,refined,Indicated Reserves,125000.0,1.0,grams,,,180000,ounce,8.5,2015.0,2023.0,Orezone Gold Corp.,500.0,high,Self-supply --> Self-supply + CSR,"On-Site HFO, On-Site Diesel",25000000,127573,13.29,Sole Ownership by a private company,"(12.2, -0.2)",,WA,26.0,below tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,Some estimations are averages of results under both production options company is considering. Power cost = 0.238/kWH. The mine will provide electricity to the community if compensated,"Infomine, Company Website",No,No,Yes
Bosjesspruit Coal Mine,South Africa,Coal,Underground,Producer,crushed,Unclassified,406000.0,0.0,,6800000.0,tons,7140000,tons,53.0,1976.0,2029.0,Sasol Ltd,,high,Self-supply + sell to the grid,On-site Coal,55,392700,40.91,Sole Ownership by a private company,"(-26.6, 29.2166667)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Production at full capacity based on past production data from 5 years average (2007-2011). Irenedale Extension Project extended life of mine by 20 years and capacity. Energy and chemicals group Sasol will be producing 800 MW of its own electric power at its Secunda facility, in Mpumalanga province, from 2011, of which 200 MW is set aside for purchase by State-owned utility Eskom.","Infomine, Company Website",Yes,Yes,Yes
South Deep,South Africa,Gold,Underground,Producer,refined,Proven Reserves,81870.0,6.05,grams,7290636.0,grams,700000,ounce,77.0,2003.0,2080.0,Gold Fields Ltd (100%),275.0,high,Grid supply,On-Grid,45000000,893009,93.02,Sole Ownership by a private company,"(-26.4166667, 27.6666667)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Mine is undergoing expansion program to increase output to 700 koz/annum and most of numbers represent expanded project since the mine has actually produced marginally since 1960s. There is backup power in case of outtage,"Infomine, Company Website",No,Yes,Yes
Tautona (Western Deep No.3 Shaft),South Africa,Gold,Underground,Producer,refined,Indicated Reserves,22500.0,22.72,grams,5896700.0,grams,475000,ounce,53.0,1962.0,2015.0,Anglogold Ashanti Limited (100%),,closed by 2020,Grid supply,On-Grid,45000000,605970,63.12,Sole Ownership by a private company,"(-26.4166667, 27.4)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Company Website, Publications, http://www.mining-technology.com/",Yes,Yes,No
Two Rivers,South Africa,Palladium,Underground,Producer,refined,None,,,,2616000.0,grams,84000,ounce,20.0,2006.0,2026.0,"African Rainbow Minerals Limited( 55%), Impala Platinum Holdings (45%)",250.0,high,Grid supply,On-Grid,69489780,165480,17.24,Join-venture with only private interests,"(-24.9166667, 30.1)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,,No,Yes,Yes
Smokey Hills,South Africa,Platinum,Open-Pit/Underground,Producer,refined,Proven Reserves,2650.0,4.46,grams,778704.0,grams,95000,ounce,8.0,2008.0,2016.0,Platinum Australia Ltd (59%),40.5,closed by 2020,Grid supply + self-supply backup,"On-Grid, On-Site HFO",69489780,187150,19.49,Join-venture with only private interests,"(-24.55, 30.15)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,The project has its own electric power generation capacity which can be applied in the event of supply problems from the South African national power grid. ,"Infomine, Mining Weekly, Company Website",No,Yes,No
Ranobe,Madagascar,Rutile,Open-Pit,Development,refined,Indicated Reserves,226000.0,6.12,%,,,44000,tons,21.0,2013.0,2034.0,World Titanium Resources (100%),192.0,high,Grid supply,On-Grid,9300,409200,42.63,Sole Ownership by a private company,,,SA,16.9,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,,"Infomine, Company Website, http://www.worldtitaniumresources.com/files/WTR_Project_Newletter_11_June_2012.pdf",No,No,Yes
Zondereinde (Northam Mine),South Africa,Silver,Underground,Producer,refined,None,,,,200000.0,grams,7952,ounce,37.0,1993.0,2030.0,Northam Platinum Ltd,250.0,high,Grid supply,"On-Grid, On-Site Hydro (for equipment)",9645,2,0.0,Sole Ownership by a private company,"(-24.8333333, 27.3333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Company Website",Yes,Yes,Yes
Mogalakwena -Potgietersrust,South Africa,PGM,Underground,Producer,refined,Proven Reserves,41700.0,4.45,grams,8469476.0,grams,600000,ounce,65.0,1995.0,2060.0,Anglo American Platinum Ltd ,,high,Grid supply,On-Grid,69489780,1182000,123.13,Sole Ownership by a private company,"(-24.0166667, 28.9166667)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"LOM 'extends well beyond 2060'. Over 90% of these [Anglo Platinum] emissions are ‘imported’ with electricity purchased from the public utility, Eskom. Start date of production based on first production numbers reported by IM","Infomine, Company Website",Yes,Yes,Yes
Tumela,South Africa,PGM,Underground,Producer,refined,Proven and Probable Reserves,35900.0,5.94,grams,9424353.0,grams,560000,ounce,82.0,2009.0,2091.0,Anglo American Platinum,300.0,high,Grid supply,On-Grid,69489780,1103200,114.92,Sole Ownership by a private company,"(-24.8, 27.3333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The mine is being operated as a stand-alone unit since 2009 after Anglo Platinum's Amandelbult section was split into two mines, namely Tumela and Dishaba. Over 90% of these [Anglo Platinum] emissions are ‘imported’ with electricity purchased from the public utility, Eskom","Infomine, Company Website, http://www.mining-technology.com/projects/tumela-mine-thabazimbi/",No,Yes,Yes
Kroondal,South Africa,Platinum,Open-Pit/Underground,Producer,refined,None,,,,6138582.0,grams,200000,ounce,18.0,1999.0,2017.0,"Anglo American Platinum Ltd (50%), Aquarius Platinum (50%)",,closed by 2020,Grid supply,On-Grid,69489780,426667,44.44,Join-venture with only private interests,"(-25.7, 27.35)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Ooutsourcing of high-cost, high-risk smelting and refining operations have resulted in Kroondal's productivity levels ranking among the highest in the industry","Infomine, Company Website",Yes,Yes,No
Mininko/Nampala,Mali,Gold,Underground,Feasibility,refined,Proven Reserves,12175.0,0.77,grams,,,39327,ounce,10.0,2015.0,2025.0,Robex Resources (100%),,high,Self-supply,On-Site Diesel,45000000,50171,5.23,Sole Ownership by a private company,"(10.9666667, -6.3)",,WA,18.0,above tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,,"Infomine, Technical report",No,No,Yes
Massawa,Senegal,Gold,Surface,Advanced Exploration,refined,Indicated Reserves,26150.0,3.47,grams,,,105000,ounce,,2015.0,,Randgold 83.25%; Local Holding 6.75%; Senegal 10%,300.0,high,Grid supply + self-supply backup,"On-Site Diesel, On-Grid",25000000,74417,7.75,Joint- venture with State Equity,"(13.0, -12.0833333)",,WA,23.0,above tariff,Mainly Oil Fuelled Generation,0 to 50 days,IM,"Massawa project is a high energy user and thus a power strategy has been developed to review alternative options to diesel generation. Meetings have been held with Organisation pour la Mise en Valeur du Fleuve Gambie involving government representatives from Senegal, Guinea, The Gambia and Guinea Bissau who are charged with developing two hydroelectric schemes in the region, including the Sambangalou project 60 kilometres south east of Massawa. Subsequent meetings have been held with the Senegalese
Minister of Energy and the World Bank to explore possible power options for Massawa. (Annual Report 2011)","Infomine, Company Website",No,No,Yes
Steenkampskraal,South Africa,Rare Earth,Underground,Producer,separation,Indicated Reserves,28.0,13.19,%,,,12000,tons,10.0,2013.0,2023.0,"Gwmg ""Rareco"" (100%)",,high,Grid supply,On-Grid,8000,96000,10.0,Sole Ownership by a private company,"(-30.9666667, 18.6166667)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,MW,Eskom’s selling price having climbed from around 20 c/kWh to 50.3c/kWh in 2011,"Mining Weekly, SRK",No,No,Yes
 Ankazotaolana,Madagascar,Chromium,Open-Pit,Producer,intermediate,None,,,,40000.0,tons,40000,tons,15.0,1968.0,2008.0,Societe Kraomita Malagasy (Kraoma) (Soe),,closed by 2020,Self-supply + CSR,On-site Diesel,340,13600,1.42,Sole ownership by the State-Owned Company,,Andriamena,SA,16.9,above tariff,Mainly Hydro Powered Generation,50 to 100 days,USGS,Closed in 2008,,Yes,Yes,No
Ambatovy,Madagascar,Nickel,Surface,Development,intermediate,Proven Reserves,79300.0,1.03,%,,,60000,tons,30.0,2013.0,2043.0,"Korea Resources Corporation (20%), Sheritt International Corporation (40%), Sumitomo Corp (27.5%)",5500.0,high,Self-supply,On-site Coal,5600,336000,35.0,Join-venture with only private interests,"(-18.8333333, 48.35)",,SA,16.9,below tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,"High pressure steam will be produced at the process plant by coal-fired boilers supplemented by steam produced in waste heat boilers in the sulphuric acid plants. There will be three coal-fired boilers and two sulphuric acid plant trains. The peak and average electrical power requirements for the process plant site of 81 MW and 65 MW, respectively, will be provided by three steam turbine generators. ","Infomine, Company Website, http://www.ambatovy.com/docs/wp-content/uploads/factsheetVE3_Update04.11.pdf,     
http://www.cumminspower.com/www/literature/casehistories/F-2375-Ambatovy-Project-Madagascar-en.pdf",No,No,Yes
Grande Cote (Gczp),Senegal,Ilmenite,Surface,Development,intermediate,Inferred Resources,310000.0,2.0,%,575000.0,tons,575000,tons,25.0,2013.0,2038.0,Mineral Deposits Ltd. (100%),467.0,high,Grid supply,On-Grid,2000,1150000,119.79,Sole Ownership by a private company,"(13.1833333, -12.1)",,WA,23.0,equal tariff,Mainly Oil Fuelled Generation,0 to 50 days,IM,,"Mining Weekly, http://womp-int.com/",No,No,Yes
Zanaga,"Congo, Rep. of the",Iron Ore,Surface,Prefeasibility,crushed,Indicated Resource,3300000.0,32.79,%,,,45000000,tons,30.0,2017.0,2047.0,"XSTRATA PLC (Under The Agreement With Jumelles,( Subsidiary Of Zanaga Iron Ore Company ) The Company Could Elect To Acquire 100% Of The Project Following Completion Of The Feasibility Study.)",,high,Grid supply,On-Grid,20,900000,93.75,Sole Ownership by a private company,,300 KM of pointe noire,CA,4.7,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,"Initial project demand of 355 MW, rising to 455 MW.  Capex estimates include a dedicated gas-fired power station, located at Pointe Noire; however, a 300 MW plant has already been constructed by Italian oil company Eni to use some of the natural gas that is currently being flared. Zanaga believe that this, together with the availability of stranded natural gas, will help provide the Zanaga Project with low cost power options. Plans to significantly expand the power supply to 900 MW. ","Mining Weekly, http://zanagairon.com/project/infrastructure",No,No,Yes
Putu,Liberia,Iron Ore,Surface,Advanced Exploration,crushed,Indicated Reserves,1890000.0,33.9,%,,,10000000,tons,25.0,2017.0,2042.0,Severstal (100%),,low,Self-supply,On-site Diesel,20,200000,20.83,Sole Ownership by a private company,"(5.6333333, -8.1833333)",,WA,53.0,below tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,,,No,No,Yes
Sishen,South Africa,Iron Ore,Open-Pit,Producer,crushed,Indicated Reserves,274800.0,61.6,%,41800000.0,tons,37000000,tons,85.0,1947.0,2032.0,"Kumba Iron Ore (Owns 73.9% Of Sishan Ire Ore Company Which Owns The Mine), Anglo American (Holds 65.2% Of Kumba Iron Ore)",,high,Mines invest in the grid,On-Grid,20,840000,87.5,Join-venture with only private interests,"(-27.8, 23.0)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Power is available via Postmasburg or the Beeshoek Mine and the Sishen South Project plans to utilise power from Postmasburg, which will be sourced via a new Eskom Holdings Limited line to be constructed between Postmasburg and the Sishen South Project","Infomine, Company Website, http://www.bdlive.co.za/business/mining/2012/12/14/sishen-mittal-agree-on-iron-ore-supply",Yes,Yes,Yes
Waterberg JV,South Africa,PGM,Surface,Advanced Exploration,smelted,Inferred Resources,68040.0,0.94,grams,,,276000,ounce,20.0,2014.0,2034.0,"Jogmec (Japanese Soe) 37%, Platinum Group Metals 37%; Wesizwe 26%",,high,Grid supply,On-Grid,46561680,364320,37.95,Join-venture with only private interests,"(-23.35, 28.8)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Company Website",No,No,Yes
Dikoloti,Botswana,Platinum,Surface,Exploration,intermediate,Inferred Resources,4700.0,1.5,grams,,,26400,ounce,4.5,,,"DISCOVERY METALS LIMITED (40%); Japan Oil, Gas And Metals National Corp (JOGMEC) (60%)",,high,Grid supply,On-Grid,28219200,21164,2.2,Join-venture with only private interests,,Selebi-Phikwe region,SA,6.7,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,500k tpa ore - also used in production capacity. A power transmission line runs north-south approximately two kilometres to the east of Dikoloti.,"Infomine, Company Website, Publications",No,No,Yes
Asmara Project/Debarwa,Eritrea,Copper,Underground,Feasibility,intermediate,Indicated Reserves,48332.0,0.57,%,,,25900,tons,16.0,2013.0,2029.0,Sunridge Gold Corp,490.0,high,Self-supply --> Self-supply + CSR,On-Site Diesel,7000,181300,18.89,Sole Ownership by a private company,"(15.0666667, 38.8166667)",,EA,6.3,above tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,,,No,No,Yes
Goedehoop Coal,South Africa,Coal,Underground,Producer,crushed,Proven and Probable Reserves,86000.0,50.0,%,5200800.0,tons,7500000,tons,52.0,1983.0,2035.0,Anglo American,,high,Self-supply + sell to the grid,On-site Coal,55,412500,42.97,Sole Ownership by a private company,"(-26.1, 29.4166667)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Company Website, http://www.docstoc.com/docs/71821183/Anglo-American-Thermal-Coal-Goedehoop-Colliery-SACMA-host-mine",Yes,Yes,Yes
Klipspruit Coal Mine,South Africa,Coal,Open-Pit,Producer,crushed,Proven and Probable Reserves,73000.0,50.0,%,30272000.0,tons,8000000,tons,20.0,2007.0,2027.0,Bhp Billiton,450.0,high,Self-supply + sell to the grid,On-site Coal,37,296000,30.83,Sole Ownership by a private company,"(-26.1666667, 29.2)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,$450 MN was budgeted,"Infomine, Mining Weekly, Company Website",No,Yes,Yes
Mareesburg,South Africa,PGM,Open-Pit,Advanced Exploration,refined,Indicated Reserves,6950.0,2.19,grams,,,600000,ounce,5.0,2013.0,2018.0,Eastern Platinum (75.5%); Lion's Head Platinum (Lhp) 24.5%,,high,Grid supply,On-Grid,50089080,852000,88.75,Join-venture with only private interests,"(-25.0333333, 30.1333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,,No,No,Yes
Mengo Potash Project,"Congo, Rep. of the",Potash,Surface,Development,refined,Proven Reserves,151200.0,17.3,%,,,660000,tons,54.0,2015.0,2069.0,"Magindustries Corp (90%), Government (10%)",2500.0,high,Mines serve as anchor demand for IPP,Off-Site Gas,630,415800,43.31,Joint- venture with State Equity,"(-4.6269444, 12.0169444)",,CA,4.7,above tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,"ENI Congo SA, is constructing a pipeline from the M’Boundi oil field to Djeno on the coast where a gas treatment plant is under construction. MPC has a contract with ENI Congo SA /8/ for delivery of this treated gas to their proposed potash plant, through a pipeline of about 28km in length to be constructed by MPC for steam generation and electricity production.","Infomine, Company Website",No,No,Yes
Zondereinde (Northam Mine),South Africa,Ruthenium,Underground,Producer,refined,None,,,,1227000.0,grams,48787,ounce,37.0,1993.0,2030.0,Northam Platinum Ltd,250.0,high,Grid supply,"On-Grid, On-Site Hydro (for equipment)",69489780,96111,10.01,Sole Ownership by a private company,"(-24.8333333, 27.3333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Company Website",Yes,Yes,Yes
Bibiani Mine,Ghana,Gold,Open-Pit,Producer,refined,Proven Reserves,3043.0,2.08,grams,1101932.0,grams,150000,ounce,10.0,2011.0,2024.0,Noble Mineral Resources (100%),,high,Grid supply,On-Grid,25000000,37563,3.91,Sole Ownership by a private company,"(6.4666667, -2.3166667)",,WA,11.1,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,,"Infomine, Company Website",No,Yes,Yes
Impala Platinum Mine,South Africa,Rhodium,Underground,Producer,refined,,,,,3944000.0,grams,150000,ounce,70.0,1969.0,2039.0,Impala Platinum Holdings,,high,Grid supply,On-Grid,69489780,295500,30.78,Sole Ownership by a private company,"(-25.55, 27.1833333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Production  of rhodium based on 2011 production ratio,"Infomine, Company Website",Yes,Yes,Yes
Modikwa,South Africa,PGM,Underground,Producer,refined,Proven & Probable,47570.0,4.94,grams,3719882.0,grams,328000,ounce,162.0,1925.0,2087.0,"African Rainbow Minerals (50%), Anglo Platinum (50%)",,high,Grid supply,On-Grid,69489780,646160,67.31,Join-venture with only private interests,"(-24.6166667, 30.1166667)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Company Website, http://www.mining-technology.com/projects/modikwa-platinum/",Yes,Yes,Yes
Matam,Senegal,Phosphate,Surface,Producer,processed,Proven Reserves,40500.0,28.7,%,30000.0,tons,100000,tons,,2008.0,,Serpm,,high,Grid supply,On-Grid,287,861000,89.69,Sole Ownership by a private company,,"65 km South East from Matam, délimité par Ndendory, Hamady Hounaré, Wendou Bossayabé, Waly Diala et Polel Walabé ",WA,23.0,equal tariff,Mainly Oil Fuelled Generation,0 to 50 days,WB,,http://www.ansd.sn/publications/annuelles/SES_Region/SES_Matam_2009.pdf,No,Yes,Yes
Impala Platinum Mine,South Africa,Platinum,Underground,Producer,refined,Indicated Reserves,41240.0,6.48,grams,27620000.0,grams,900000,ounce,70.0,1969.0,2039.0,Impala Platinum Holdings,,high,Grid supply,On-Grid,69489780,492500,51.3,Sole Ownership by a private company,"(-25.55, 27.1833333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Production  of platinum based on 2011 production ratio,"Infomine, Company Website",Yes,Yes,Yes
Messina Platinum,South Africa,Platinum,Underground,Past Producer,refined,Indicated Reserves,26720.0,6.27,grams,1200000.0,grams,250000,ounce,20.0,1985.0,2005.0,"Lonmin (97%),BEE",,closed,Grid supply,On-Grid,69489780,492500,51.3,Join-venture with only private interests,"(-24.35, 29.45)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Production for 3 PGM+ AU,"Infomine, Company Website",Yes,Yes,No
Pandora Jv,South Africa,Platinum,Open-Pit/Underground,Producer,refined,Indicated Reserves,45600.0,4.51,grams,872636.0,grams,230000,ounce,30.0,2007.0,2037.0,"Lonmin Plc (42.5%), Anglo American Platinum Limited (42.5%)",150.0,high,Grid supply,On-Grid,69489780,453100,47.2,Join-venture with only private interests,"(-25.6833333, 27.7333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Eskom Power,"Infomine, Mining Weekly, Company Website",No,Yes,Yes
Tjate,South Africa,Platinum,Underground,Feasibility,refined,Indicated Reserves,11561.0,5.28,grams,,,335000,ounce,20.0,2014.0,2034.0,"Jubilee Platinum (63%),Matuba Holdings Bee (37%)",600.0,high,Grid supply,On-Grid,69489780,659950,68.74,Join-venture with only private interests,"(-24.5, 29.9833333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Company Website, http://uk-analyst.com/shop/page-advice/action-advertorial.show/id-130000304",No,No,Yes
Twickenham,South Africa,Platinum,Open-Pit,Producer,refined,Indicated Reserves,54000.0,5.19,grams,111973.0,grams,45000,ounce,100.0,2006.0,2106.0,Angloamerican Platinum (100%),1250.0,high,Grid supply,"On-Grid, On-Site Hydro (for equipment)",50089080,4260000,443.75,Sole Ownership by a private company,"(-24.4333333, 30.0333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,Company Website,No,Yes,Yes
Mothae,Lesotho,Diamond,Surface,Producer,separation,None,,,,2700.0,carat,100000,carat,19.0,2011.0,2030.0,"Lucara 75%, Government Of Lesotho 25%",,high,Grid supply,On-Grid,30000000,600,0.06,Joint- venture with State Equity,"(-28.9833333, 28.8)",,SA,2.0,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,Power is available proximal to the project from a line originally erected to serve the Letseng Diamond Mine. ,"Infomine, Company Website",No,Yes,Yes
Selkrik Mine,Botswana,Gold,Underground,Temporary Suspension,refined,Inferred Resources,11300.0,0.56,grams,20839.0,grams,735,ounce,13.0,1989.0,2002.0,"Norilsk Nickel (85%), Botswana Govt (15%)",,low,Grid supply,On-Grid,45000000,938,0.1,Joint- venture with State Equity,"(-21.2166667, 27.65)",,SA,6.7,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Very little evidence that there is any future plans to mine outside of Ni and Cu,"Infomine, Company Website, Publications",Yes,Yes,No
Boschmans Coal Mine,South Africa,Coal,Underground,Producer,crushed,,,,,2842000.0,tons,3180000,tons,116.0,1978.0,2094.0,"Xstrata (80%), Arm Coal (20%)",,high,Self-supply + sell to the grid,On-site Coal,55,174900,18.22,Join-venture with only private interests,"(-26.05, 29.1166667)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Used to calculate LOM from June 30, 2006:
COAL RESERVES - Recoverable (Mt):
Proved: 64.5
Probably: 3.1
COAL RESOURCES:
Measured: 198
Indicated: 16
Inferred: 1
Total: 282.6
LOM = 88 yeats: 2094
",Infomine,Yes,Yes,Yes
Bafokeng Rasimone,South Africa,Platinum,Underground,Producer,refined,Indicated Reserves,72400.0,12.13,grams,5741701.0,grams,165000,ounce,65.0,1997.0,2062.0,"Royal Bafokeng Holdings (67%), Anglo American Platinum (33%)",150.0,high,Grid supply --> Mines serve as anchor demand for IPP,"On-Grid, IPP",69489780,325050,33.86,Join-venture with only private interests,"(-25.4, 27.1)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The mining group aims to conclude a 25-year power purchase agreement with the eventual developer, with an option for Anglo American to extend the term. [starting 2015]. It needs to provide technical conditions for power generated in Witbank to be used in Rustenburg.  Site established at Boschkoppie (1997); off-take agreement was concluded with Rustenburg Refineries for the sale of the BRPM JV concentrate. Proportion based on 2009 production (250,000 oz PGMs)","Infomine, Mining Weekly",Yes,Yes,Yes
Hartley,Zimbabwe,Platinum,Underground,Past Producer,smelted,Indicated Reserves,143100.0,2.1,grams,,,185000,ounce,,,1999.0,Zimplats Holding Ltd (100%),257.0,closed,Grid supply,On-Grid,65962380,345950,36.04,Sole Ownership by a private company,,,SA,9.8,equal tariff,Mainly Coal Fuelled Generation,50 to 100 days,Infomine,Put on care and maintenance since 1999,Infomine,Yes,No,No
Kroondal,South Africa,Ruthenium,Open-Pit/Underground,Producer,refined,None,,,,1855105.0,grams,523000,ounce,18.0,1999.0,2017.0,"Anglo American Platinum Ltd (50%), Aquarius Platinum (50%)",,closed by 2020,Grid supply,On-Grid,69489780,1030310,107.32,Join-venture with only private interests,"(-25.7, 27.35)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Company Website",Yes,Yes,No
Helena (Xstrata),South Africa,Chromium,Underground,Producer,smelted,Proven Reserves,4888.0,34.64,%,489000.0,tons,1200000,tons,83.0,2005.0,2088.0,"Xstrata (79.5%), Merafe Resources Limited (20.5%), Glencore International (Has A 34.5% Interest In Xstrata)",,high,Grid supply,On-Grid,4640,5568000,580.0,Join-venture with only private interests,"(-25.0, 30.1166667)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Calculated LOM from 2010 to Year Completion: 78 years
[Ore Reserves + Mineral Resources]/Annual Capacity
Ore Reserves (Mt):
Proved: 5.279
Probabale: 0.04
Mineral Resources (Mt):
Measured: 17.116
Indicated: 8.14
Inferred: 63
Xstrata-Merafe participated in Eskom buyback program and reduced capacity in 2012
","Infomine, Company Website",No,Yes,Yes
Marula Platinum Mine,South Africa,Platinum,Underground,Producer,refined,Indicated Reserves,9850.0,7.38,grams,1741792.0,grams,70000,ounce,22.0,2004.0,2026.0,"Impala Platinum Holdings Ltd (73%), Tubatse Platinum (Pty) Limited (9%), Mmakau Mining (Pty) Limited (9%) And Marula Community Trust (9%). (26%)",,high,Grid supply,On-Grid,69489780,137900,14.36,Join-venture with only private interests,"(-24.5, 30.0833333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Calculated LOM,"Infomine, Company Website",No,Yes,Yes
Mototolo JV,South Africa,Platinum,Underground,Producer,refined,Proven Reserves,11877.0,3.47,%,6158488.0,grams,132000,ounce,20.0,2006.0,2026.0,"Anglo American Platinum Ltd (50%), Xstrata (50%)",210.0,high,Grid supply,On-Grid,69489780,260040,27.09,Join-venture with only private interests,"(-24.9833333, 27.3333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Full production Q3 2007. Amplat (company-wide): Security of energy supply in South Africa is a major issue with Eskom being unable to guarantee electricity supply to operations,"Infomine, Mining Weekly",No,Yes,Yes
Everest North/Vygenhoek,South Africa,Chromium,Underground,Temporary Suspension,smelted,None,,,,59000.0,tons,200000,tons,7.0,2010.0,2017.0,AQPSA 50% And Sylvania 50%,30.0,low,Grid supply,On-Grid,4640,26,0.0,Join-venture with only private interests,"(-24.7166667, 30.65)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,IM,,,No,Yes,Yes
Union Section,South Africa,Platinum,Underground,Producer,refined,Indicated Reserves,10000.0,6.74,grams,9455456.0,grams,320000,ounce,28.0,2000.0,2028.0,"Anglo American Platinum Ltd (85%), The Bakgatla-Ba-Kgafela Traditional Community (15%)",350.0,high,Grid supply,On-Grid,69489780,630400,65.67,Join-venture with only private interests,"(-24.9333333, 27.1666667)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Capex estimated based on yearly capex,"Infomine, Company Website",Yes,Yes,Yes
