Indiquez votre genre :,Quel est votre pays de résidence ?,Quelle est votre année de naissance ?,Vous suivez ce MOOC en qualité de :,Vous êtes lycéen : [La discipline ou le secteur professionnel présenté dans ce MOOC correspond à un de vos projets d’études ],Vous êtes lycéen : [Vous connaissez mal la discipline ou le secteur professionnel présenté dans ce MOOC et vous voulez en savoir plus],Vous êtes lycéen : [Le MOOC présente une voie d’accès aux études supérieures (IUT_ classes prépa_ apprentissage) que vous envisagez de prendre_ et vous voulez en savoir plus],Vous êtes lycéen : [Le MOOC présente une voie d’accès aux études supérieures (IUT_ classes prépa_ apprentissage) à laquelle vous n’aviez pas pensé_ et vous voulez en savoir plus],Vous êtes lycéen : [Vous voulez mieux comprendre le fonctionnement des études à l’université],Vous êtes lycéen : [Le MOOC vous a été recommandé par votre lycée],Vous êtes lycéen : [Le MOOC vous a été recommandé par votre famille],Vous êtes lycéen : [Le MOOC fait partie des activités d’aide à l’orientation mises en place dans votre lycée],Vers quel bac vous dirigez-vous ?,Vous êtes en :,Dans quel domaine suivez-vous des études ?,Vous suivez ce MOOC pour : [Pour vous réorienter l'an prochain],Pourquoi suivez-vous ce MOOC ?,Dans quelle classe est-il ?,Vous suivez ce MOOC en même temps que votre enfant :,Vous êtes :,Dans quel type d'établissement travaillez-vous ? [Lycée d’enseignement général et technologique],Dans quel type d'établissement travaillez-vous ? [Lycée professionnel],Dans quel type d'établissement travaillez-vous ? [Lycée en zone d’éducation prioritaire],Dans quel type d'établissement travaillez-vous ? [Lycée français à l’étranger],Vous suivez ce MOOC :,Avez-vous recommandé à vos élèves de le suivre ?,Comptez-vous réutiliser des informations de ce MOOC dans votre lycée ?,Envisagez-vous d’intégrer le MOOC dans les actions d’accompagnement à l’orientation mises en place dans votre lycée ?,Connaissez-vous la démarche d’atelier autour des MOOC d’orientation que FUN propose aux équipes éducatives des lycées ?  https://www.mooc-orientation.fr/ ,Pourquoi suivez-vous ce MOOC ?.1
Féminin, France,1997,Etudiant / élève post bac,,,,,,,,,,Autre,Sciences du vivant et géosciences,Oui,,,,,,,,,,,,,,
Masculin, Togo,1990,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Masculin, France,1977,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, Togo,1999,Etudiant / élève post bac,,,,,,,,,,L3,"Lettres, langues et communication",Non,,,,,,,,,,,,,,
Masculin, France,2003,Lycéen,Oui,Non,Oui,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1973,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, Tunisie,1998,Etudiant / élève post bac,,,,,,,,,,L2,Sciences du vivant et géosciences,Oui,,,,,,,,,,,,,,
Autre / Non renseigné, France,1984,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Masculin, Madagascar,1998,Etudiant / élève post bac,,,,,,,,,,L3,Sciences du vivant et géosciences,Oui,,,,,,,,,,,,,,
Féminin, Maroc,1989,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Masculin, Sénégal,1985,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Masculin, Burkina Faso,1995,Etudiant / élève post bac,,,,,,,,,,L2,Droit et sciences politiques,Oui,,,,,,,,,,,,,,
Masculin, Burkina Faso,1995,Etudiant / élève post bac,,,,,,,,,,L2,Droit et sciences politiques,Oui,,,,,,,,,,,,,,
Masculin, France,1993,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Masculin, Haïti,1985,Etudiant / élève post bac,,,,,,,,,,L3,Sciences du vivant et géosciences,Oui,,,,,,,,,,,,,,
Féminin, France,2001,Etudiant / élève post bac,,,,,,,,,,DUT,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,1973,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Masculin, France,2003,Lycéen,Oui,Oui,Non,Oui,Oui,Non,Non,Oui,bac général,,,,,,,,,,,,,,,,,
Féminin, Maroc,1999,Etudiant / élève post bac,,,,,,,,,,L2,"Sciences, technologie, ingénierie et mathématiques",Non,,,,,,,,,,,,,,
Féminin, France,1998,Etudiant / élève post bac,,,,,,,,,,L3,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,2001,Etudiant / élève post bac,,,,,,,,,,L1,Santé,Oui,,,,,,,,,,,,,,
Féminin, France,1991,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1981,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1967,Personnel de l’enseignement secondaire,,,,,,,,,,,,,,,,Professeur principal,Oui,Non,Non,Non,Dans le cadre d'une démarche personnelle pour le découvrir,Oui,Oui,,,
Masculin, Haïti,1981,Etudiant / élève post bac,,,,,,,,,,L1,Sciences humaines et sociales,Oui,,,,,,,,,,,,,,
Masculin, Burkina Faso,1966,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,2003,Lycéen,Non,Oui,Non,Oui,Non,Non,Oui,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1996,Etudiant / élève post bac,,,,,,,,,,Autre,Sciences du vivant et géosciences,Oui,,,,,,,,,,,,,,
Féminin, France,2003,Lycéen,Oui,Non,Oui,Non,Oui,Oui,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1979,Personnel de l’enseignement secondaire,,,,,,,,,,,,,,,,Professeur,Non,Oui,Non,Non,Dans le cadre d’un dispositif d’orientation mis en place par votre lycée,,,Non,Non,
Masculin, France,2008,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Féminin, France,1973,Parent d'élève,,,,,,,,,,,,,Votre enfant est dans le secondaire et vous souhaitez comprendre les orientations qui s’offrent à elle/lui,Première,Oui,,,,,,,,,,,
Féminin, France,2002,Lycéen,Oui,Non,Oui,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Masculin, Maroc,2001,Etudiant / élève post bac,,,,,,,,,,L1,Sciences du vivant et géosciences,Oui,,,,,,,,,,,,,,
Féminin, France,1975,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,2007,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Féminin, France,2004,Lycéen,Oui,Non,Oui,Non,Non,Non,Non,Non,bac technologique,,,,,,,,,,,,,,,,,
Féminin, France,1988,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Masculin, France,2003,Lycéen,Non,Non,Oui,Non,Non,Non,Non,Non,bac technologique,,,,,,,,,,,,,,,,,
Féminin, France,2002,Lycéen,Oui,Non,Non,Non,Non,Non,Oui,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1979,Personnel de l’enseignement secondaire,,,,,,,,,,,,,,,,PsyEN,Oui,Non,Non,Non,Dans le cadre d'une démarche personnelle pour le découvrir,Non,Oui,Non,Oui,
Féminin, France,2003,Lycéen,Oui,Non,Non,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Masculin, France,2005,Lycéen,Oui,Non,Oui,Non,Oui,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, Canada,1968,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Féminin, France,2001,Lycéen,Non,Oui,Non,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1964,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Féminin, France,2000,Etudiant / élève post bac,,,,,,,,,,DUT,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,2004,Lycéen,Non,Non,Non,Non,Non,Oui,Non,Non,bac technologique,,,,,,,,,,,,,,,,,
Féminin, France,1970,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
