finess,rs_finess,finess_geo,rs_finess_geo,region,participation,Depot,nb_rep_score_all_rea_ajust,score_all_rea_ajust,classement,evolution,nb_rep_score_accueil_rea_ajust,score_accueil_rea_ajust,nb_rep_score_PECinf_rea_ajust,score_PECinf_rea_ajust,nb_rep_score_PECmed_rea_ajust,score_PECmed_rea_ajust,nb_rep_score_chambre_rea_ajust,score_chambre_rea_ajust,nb_rep_score_repas_rea_ajust,score_repas_rea_ajust,nb_rep_score_sortie_rea_ajust,score_sortie_rea_ajust
310781406,CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE,310783055,HOPITAL DE RANGUEIL CHU TOULOUSE,Occitanie,1- Obligatoire,1- Oui,539,74.13,B,3-Amélioration,539.0,73.61,539.0,82.8,539.0,80.93,539.0,72.73,539.0,56.86,539.0,65.72
310786389,SARL CLINIQUE DES PYRENEES,310786389,CL DES PYRENEES,Occitanie,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
320780117,CENTRE HOSPITALIER D'AUCH,320000086,CH AUCH,Occitanie,1- Obligatoire,1- Oui,48,71.87,C,2-Stable,48.0,69.22,48.0,82.83,48.0,80.13,48.0,67.2,48.0,62.58,48.0,60.63
320780067,POLYCLINIQUE DE GASCOGNE,320780067,POLYCL DE GASCOGNE,Occitanie,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
330000217,MAISON DE SANTE MARIE GALENE ASSOC DES DAMES DU CALVAIRE,330000217,MAISON DE SANTE MARIE GALENE,Nouvelle Aquitaine,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
330000332,HOPITAL SUBURBAIN DU BOUSCAT,330000332,HOPITAL SUBURBAIN DU BOUSCAT,Nouvelle Aquitaine,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
330000340,MAISON DE SANTE PROTESTANTE DE BORDEAUX BAGATELLE,330000340,M.S.P.BX. BAGATELLE,Nouvelle Aquitaine,1- Obligatoire,1- Oui,435,74.51,B,2-Stable,435.0,74.47,435.0,83.83,435.0,83.83,435.0,66.73,435.0,54.77,435.0,67.54
330781204,CENTRE HOSPITALIER D'ARCACHON,330000555,CENTRE HOSPITALIER D'ARCACHON,Nouvelle Aquitaine,1- Obligatoire,1- Oui,167,73.41,C,1-Diminution,167.0,73.18,167.0,81.1,167.0,79.75,167.0,77.96,167.0,63.28,167.0,57.99
330781220,CENTRE HOSPITALIER DE LA HAUTE GIRONDE,330000571,CH DE LA HAUTE GIRONDE,Nouvelle Aquitaine,1- Obligatoire,1- Oui,83,70.48,D,2-Stable,83.0,72.11,83.0,80.13,83.0,78.07,83.0,61.56,83.0,58.19,83.0,60.16
330027509,CENTRE HOSPITALIER INTERCOMMUNAL SUD GIRONDE,330000589,CH SUD GIRONDE - SITE LANGON,Nouvelle Aquitaine,1- Obligatoire,1- Oui,32,71.54,C,4-Non calculable,32.0,73.24,32.0,81.37,32.0,80.7,32.0,61.4,32.0,61.41,32.0,60.01
330781253,CENTRE HOSPITALIER DE LIBOURNE,330000605,CTRE HOSPIT.R.BOULIN-LIBOURNE,Nouvelle Aquitaine,1- Obligatoire,1- Oui,111,70.48,D,2-Stable,111.0,67.34,111.0,78.21,111.0,78.05,111.0,74.31,111.0,44.79,111.0,63.71
330781261,CENTRE HOSPITALIER DE STE FOY LA GRANDE,330000613,CENTRE HOSPITALIER STE FOY LA GRANDE,Nouvelle Aquitaine,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
330000662,INSTITUT BERGONIE CENTRE REGIONAL DE LUTTE CONTRE LE CANCER,330000662,INSTITUT BERGONIE,Nouvelle Aquitaine,1- Obligatoire,1- Oui,295,74.81,B,1-Diminution,295.0,69.93,295.0,84.63,295.0,83.65,295.0,67.25,295.0,68.82,295.0,66.41
330780040,NOUVELLE CLINIQUE BEL AIR,330780040,NOUVELLE CLINIQUE BEL AIR,Nouvelle Aquitaine,1- Obligatoire,1- Oui,300,79.01,A,2-Stable,300.0,79.5,300.0,84.56,300.0,85.33,300.0,80.67,300.0,63.5,300.0,70.26
330780081,CLINIQUE SAINT- AUGUSTIN,330780081,CLINIQUE SAINT- AUGUSTIN,Nouvelle Aquitaine,1- Obligatoire,1- Oui,715,73.22,C,2-Stable,715.0,74.93,715.0,82.33,715.0,80.24,715.0,70.16,715.0,52.58,715.0,64.04
330780115,SA CLINIQUE TIVOLI-DUCOS,330780115,CLINIQUE TIVOLI-DUCOS,Nouvelle Aquitaine,1- Obligatoire,1- Oui,219,74.43,B,2-Stable,219.0,72.82,219.0,81.03,219.0,85.01,219.0,67.64,219.0,53.64,219.0,69.97
330780206,CLINIQUE D'ARCACHON,330780206,CLINIQUE D'ARCACHON,Nouvelle Aquitaine,1- Obligatoire,1- Oui,99,75.52,B,2-Stable,99.0,77.44,99.0,82.07,99.0,78.17,99.0,81.28,99.0,63.72,99.0,61.65
330780255,CLINIQUE CHIRURGICALE DU LIBOURNAIS,330780255,CLINIQUE CHIRURGICALE DU LIBOURNAIS,Nouvelle Aquitaine,1- Obligatoire,1- Oui,44,78.22,A,4-Non calculable,44.0,78.36,44.0,84.32,44.0,83.09,44.0,76.68,44.0,65.14,44.0,72.99
330780263,POLYCLINIQUE BORDEAUX RIVE DROITE - CLINIQ QUATRE PAVILLONS,330780263,POLYCLINIQUE BORDEAUX RIVE DROITE,Nouvelle Aquitaine,1- Obligatoire,1- Oui,509,74.11,B,3-Amélioration,509.0,74.14,509.0,81.78,509.0,81.18,509.0,73.97,509.0,63.5,509.0,60.88
330780271,CLINIQUE DU SPORT DE BORDEAUX-MERIGNAC,330780271,CLINIQUE DU SPORT DE BORDEAUX-MERIGNAC,Nouvelle Aquitaine,1- Obligatoire,1- Oui,297,81.8,A,2-Stable,297.0,82.89,297.0,87.31,297.0,85.94,297.0,83,297.0,68.4,297.0,74.11
330780354,POLYCLINIQUE DE BORDEAUX CAUDERAN LES PINS FRANCS,330780354,POLYCLINIQUE BORDEAUX-CAUDERAN,Nouvelle Aquitaine,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
330780479,POLYCLINIQUE BORDEAUX NORD AQUITAINE,330780479,POLYCLIN BORDEAUX-NORD AQUITAINE,Nouvelle Aquitaine,1- Obligatoire,1- Oui,1066,72.92,C,2-Stable,1066.0,71.27,1066.0,80.73,1066.0,81.16,1066.0,70.14,1066.0,63.46,1066.0,62.26
330780487,CLINIQUE OPHTALMOLOGIQUE THIERS,330780487,CLINIQUE OPHTALMOLOGIQUE THIERS,Nouvelle Aquitaine,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
330780495,CLINIQUE MUTUALISTE DU MEDOC,330780495,CLINIQUE MUTUALISTE DU MEDOC,Nouvelle Aquitaine,1- Obligatoire,1- Oui,78,71.33,C,4-Non calculable,78.0,72.88,78.0,80.32,78.0,77.42,78.0,63.25,78.0,50.19,78.0,66.05
330780503,HOPITAL PRIVE SAINT-MARTIN,330780503,HOPITAL PRIVE SAINT-MARTIN,Nouvelle Aquitaine,1- Obligatoire,1- Oui,742,76.63,B,2-Stable,742.0,77.04,742.0,83.8,742.0,84.2,742.0,76.38,742.0,51.62,742.0,69.3
330780511,CLINIQUE SAINTE-ANNE,330780511,CLINIQUE SAINTE-ANNE,Nouvelle Aquitaine,1- Obligatoire,1- Oui,64,77.56,A,2-Stable,64.0,80.63,64.0,83.29,64.0,81.72,64.0,74.97,64.0,69.17,64.0,67.59
330780529,CLINIQUE MUTUALISTE DE PESSAC,330780529,CLINIQUE MUTUALISTE DE PESSAC,Nouvelle Aquitaine,1- Obligatoire,1- Oui,61,73.03,C,1-Diminution,61.0,73.92,61.0,79.36,61.0,80.62,61.0,66.53,61.0,59.59,61.0,66.2
330780537,CENTRE MEDICO-CHIRURGICAL WALLERSTEIN,330780537,CENTRE MEDICO-CHIRURGICAL WALLERSTEIN,Nouvelle Aquitaine,1- Obligatoire,1- Oui,93,74.78,B,1-Diminution,93.0,77.27,93.0,79.38,93.0,83.3,93.0,69.6,93.0,70.09,93.0,63.36
330781303,HOPITAL D'INSTRUCTION DES ARMEES ROBERT PICQUE,330781303,HIA ROBERT PICQUE,Nouvelle Aquitaine,1- Obligatoire,1- Oui,43,76.31,B,4-Non calculable,43.0,77.96,43.0,82.73,43.0,83.33,43.0,74.62,43.0,44.31,43.0,72.88
330781196,CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX,330781337,HOPITAL XAVIER ARNOZAN - CHU,Nouvelle Aquitaine,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
330781196,CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX,330781352,HOPITAL SAINT-ANDRE - CHU,Nouvelle Aquitaine,1- Obligatoire,1- Oui,45,74.68,B,4-Non calculable,45.0,71.77,45.0,85.03,45.0,84.72,45.0,71.62,45.0,60.07,45.0,66.58
330781196,CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,Nouvelle Aquitaine,1- Obligatoire,1- Oui,529,71.33,C,2-Stable,529.0,69.32,529.0,80.18,529.0,77.87,529.0,68.51,529.0,56.54,529.0,63.96
330781402,POLYCLINIQUE DE BORDEAUX-TONDU,330781402,POLYCLINIQUE DE BORDEAUX-TONDU,Nouvelle Aquitaine,1- Obligatoire,1- Oui,159,70.75,C,2-Stable,159.0,68.86,159.0,78.97,159.0,81.12,159.0,64.47,159.0,52.28,159.0,64.69
330782582,POLYCLINIQUE JEAN VILLAR,330782582,POLYCLINIQUE JEAN VILLAR,Nouvelle Aquitaine,1- Obligatoire,1- Oui,628,72.96,C,2-Stable,628.0,71.01,628.0,82.19,628.0,82.37,628.0,67.94,628.0,57.83,628.0,63.82
330781196,CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX,330783648,HOPITAL HAUT-LEVEQUE - CHU,Nouvelle Aquitaine,1- Obligatoire,1- Oui,207,74.0,B,2-Stable,207.0,74.52,207.0,83.01,207.0,79.24,207.0,75.05,207.0,54.75,207.0,63.56
330781196,CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX,330802752,CENTRE JEAN ABADIE - CHU,Nouvelle Aquitaine,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
340780055,CENTRE HOSPITALIER BEZIERS,340000033,CH BEZIERS,Occitanie,1- Obligatoire,1- Oui,49,70.75,C,3-Amélioration,49.0,70.94,49.0,81.72,49.0,78.95,49.0,67.27,49.0,44.69,49.0,62.03
340000207,INSTITUT REGIONAL DU CANCER DE MONTPELLIER,340000207,ICM,Occitanie,1- Obligatoire,1- Oui,518,79.83,A,2-Stable,518.0,82.18,518.0,87.04,518.0,84.82,518.0,77.81,518.0,66.47,518.0,69.48
340780519,CENTRE HOSPITALIER DE LODEVE,340000215,CH LODEVE,Occitanie,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
340011295,LES HOPITAUX DU BASSIN DE THAU,340000223,HOPITAL ST CLAIR HBT SETE,Occitanie,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
340780535,CENTRE HOSPITALIER DE LUNEL,340000231,CH POLE DE SANTE DE LUNEL,Occitanie,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
340780477,CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER,340008275,CENTRE ANTONIN BALMES CHU MONTPELLIER,Occitanie,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
340009885,POLYCLINIQUE CHAMPEAU,340009885,POLYCL CHAMPEAU,Occitanie,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
340015502,CLINIQUE DU MILLENAIRE (LAVALETTE/SAINT-ROCH/RECH),340015502,CL DU MILLENAIRE,Occitanie,1- Obligatoire,1- Oui,983,73.64,C,2-Stable,983.0,75.86,983.0,80.11,983.0,79.13,983.0,77.18,983.0,57.46,983.0,60.72
340015965,POLYCLINIQUE CLINIQUE SAINT PRIVAT,340015965,POLYCL ST PRIVAT,Occitanie,1- Obligatoire,1- Oui,285,78.07,A,3-Amélioration,285.0,81.91,285.0,81.54,285.0,81.44,285.0,80.26,285.0,65.21,285.0,68.41
340022979,POLYCLINIQUE ST ROCH,340022979,POLYCL ST ROCH,Occitanie,1- Obligatoire,1- Oui,775,72.78,C,2-Stable,775.0,74.59,775.0,79.26,775.0,80.23,775.0,76.67,775.0,52.62,775.0,59.22
340780139,CLINIQUE D'OTOLOGIE DU DOCTEUR JEAN CAUSSE,340780139,CL DU DR JEAN CAUSSE,Occitanie,1- Obligatoire,1- Oui,37,80.33,A,4-Non calculable,37.0,82.38,37.0,85.19,37.0,85.13,37.0,79.69,37.0,61.58,37.0,75.29
340780147,POLYCLINIQUE DES TROIS VALLEES,340780147,POLYCL DES TROIS VALLEES,Occitanie,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
340780154,POLYCLINIQUE PASTEUR,340780154,POLYCL PASTEUR,Occitanie,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
340011295,LES HOPITAUX DU BASSIN DE THAU,340780436,HOPITAL ST LOUP HBT AGDE,Occitanie,1- Obligatoire,2- Non,.,,NR,4-Non calculable,,.,,.,,.,,.,,.,,.
340780568,CLINIQUE DU SOUFFLE LA VALLONNNIE,340780568,CL DU SOUFFLE LA VALLONIE,Occitanie,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
340780634,CLINIQUE SAINT JEAN,340780634,CL ST JEAN,Occitanie,1- Obligatoire,1- Oui,299,75.97,B,2-Stable,299.0,73.04,299.0,83.48,299.0,83.83,299.0,73.65,299.0,60.52,299.0,69.25
340780642,CLINIQUE MEDICO CHIRURGICALE BEAU SOLEIL,340780642,CLINIQUE BEAU SOLEIL,Occitanie,1- Obligatoire,1- Oui,168,73.3,C,2-Stable,168.0,71.97,168.0,81.48,168.0,83.39,168.0,63.56,168.0,58.39,168.0,67.89
340780667,CLINIQUE DU PARC,340780667,CL DU PARC,Occitanie,1- Obligatoire,1- Oui,111,75.97,B,2-Stable,111.0,74.46,111.0,82.6,111.0,84.6,111.0,73.38,111.0,58.44,111.0,69.03
340780675,CLINIQUE CLEMENTVILLE,340780675,CL CLEMENTVILLE,Occitanie,1- Obligatoire,1- Oui,542,72.61,C,2-Stable,542.0,72.13,542.0,80.13,542.0,80.78,542.0,76.36,542.0,52.4,542.0,59.71
340780717,CLINIQUE SAINT LOUIS LANGUEDOC MUTUALITE UNION AMBULATOIRE,340780717,CL ST LOUIS,Occitanie,1- Obligatoire,1- Oui,46,72.72,C,4-Non calculable,46.0,70.77,46.0,81.57,46.0,83.61,46.0,66.8,46.0,54.01,46.0,65.61
340780725,CLINIQUE VIA DOMITIA,340780725,CL VIA DOMITIA,Occitanie,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
340780741,POLYCLINIQUE SAINTE THERESE,340780741,POLYCL STE THERESE,Occitanie,1- Obligatoire,1- Oui,92,77.58,A,3-Amélioration,92.0,75.83,92.0,83.1,92.0,83.21,92.0,77.88,92.0,70.22,92.0,69.36
340781608,CLINIQUE DU MAS  DE ROCHET,340781608,CLINIQUE DU MAS DE ROCHET,Occitanie,2- Facultatif,1- Oui,88,72.99,C,1-Diminution,88.0,77.91,88.0,78.78,88.0,76.59,88.0,79.18,88.0,55.55,88.0,56.04
340780477,CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER,340782036,HOPITAL ST ELOI CHU MONTPELLIER,Occitanie,1- Obligatoire,1- Oui,146,69.51,D,2-Stable,146.0,67.43,146.0,79.28,146.0,77.77,146.0,66.32,146.0,44.55,146.0,63.55
340780477,CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER,340782085,HOPITAL GUI DE CHAULIAC CHU MTP,Occitanie,1- Obligatoire,1- Oui,279,72.47,C,1-Diminution,279.0,70.81,279.0,82.01,279.0,80.95,279.0,72.35,279.0,47.55,279.0,62.98
340780477,CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER,340785161,HOPITAL LAPEYRONIE CHU MONTPELLIER,Occitanie,1- Obligatoire,1- Oui,411,71.6,C,3-Amélioration,411.0,72.28,411.0,80.99,411.0,78.37,411.0,66.79,411.0,48.78,411.0,65.27
340780477,CENTRE HOSPITALIER UNIVERSITAIRE MONTPELLIER,340796663,HOPITAL ARNAUD DE VILLENEUVE CHU MPT,Occitanie,1- Obligatoire,1- Oui,220,69.64,D,1-Diminution,220.0,70.5,220.0,78.5,220.0,78.15,220.0,64.39,220.0,46.83,220.0,61.91
350000063,HOPITAL ST THOMAS DE VILLENEUVE BAIN,350000063,HOPITAL ST THOMAS DE VILLENEUVE BAIN,Bretagne,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
350000121,CHP SAINT GREGOIRE,350000121,CHP SAINT GREGOIRE,Bretagne,1- Obligatoire,1- Oui,1500,75.21,B,2-Stable,1500.0,75.71,1500.0,81.81,1500.0,81.99,1500.0,72.5,1500.0,60.47,1500.0,66.54
350000139,CLINIQUE MUTUALISTE LA SAGESSE RENNES,350000139,CLINIQUE MUTUALISTE DE LA SAGESSE,Bretagne,1- Obligatoire,1- Oui,654,76.47,B,2-Stable,654.0,74.55,654.0,83.66,654.0,81.83,654.0,71.57,654.0,71.56,654.0,69.81
350000022,CENTRE HOSPITALIER DE SAINT MALO - HOPITAL BROUSSAIS,350000147,CENTRE HOSPITALIER SAINT-MALO,Bretagne,1- Obligatoire,1- Oui,134,71.88,C,2-Stable,134.0,71.3,134.0,81.1,134.0,78.56,134.0,71.52,134.0,47.31,134.0,63.83
350000030,CENTRE HOSPITALIER DE FOUGERES,350000154,C.H FOUGERES,Bretagne,1- Obligatoire,1- Oui,89,71.22,C,2-Stable,89.0,72.67,89.0,79.59,89.0,75.86,89.0,70.23,89.0,62.98,89.0,57.89
350000048,CENTRE HOSPITALIER DE SECTEUR,350000162,CHIRC SITE REDON,Bretagne,1- Obligatoire,1- Oui,73,73.06,C,4-Non calculable,73.0,70.19,73.0,84.58,73.0,80.89,73.0,66.56,73.0,63.09,73.0,64.51
350000055,CENTRE HOSPITALIER DE VITRE,350000188,CENTRE HOSPITALIER   VITRE,Bretagne,1- Obligatoire,1- Oui,109,74.32,B,2-Stable,109.0,75.61,109.0,81.66,109.0,78.98,109.0,70.42,109.0,62.55,109.0,66.3
350000196,CLINIQUE DE LA COTE D'EMERAUDE,350000196,CLINIQUE DE LA COTE D'EMERAUDE,Bretagne,1- Obligatoire,1- Oui,95,78.96,A,2-Stable,95.0,81.13,95.0,85.17,95.0,85.24,95.0,78.66,95.0,59.38,95.0,70.19
350000204,CENTRE LOCAL HOSPITALIER SAINT JOSEPH,350000204,CENTRE LOCAL HOSPITALIER SAINT JOSEPH,Bretagne,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
350005179,CHRU RENNES,350000741,CHRU RENNES SITE PONTCHAILLOU,Bretagne,1- Obligatoire,1- Oui,272,73.18,C,2-Stable,272.0,74.2,272.0,83.25,272.0,81.92,272.0,63.67,272.0,54.91,272.0,64.32
350002192,POLYCLINIQUE ST LAURENT,350002192,POLYCLINIQUE ST LAURENT,Bretagne,1- Obligatoire,1- Oui,211,78.43,A,2-Stable,211.0,78.83,211.0,85.24,211.0,84.12,211.0,80,211.0,65.32,211.0,68.03
350002812,CENTRE REGIONAL DE LUTTE CONTRE LE CANCER EUGENE MARQUIS,350002812,C.R.L.C.C. EUGENE MARQUIS,Bretagne,1- Obligatoire,1- Oui,149,80.86,A,2-Stable,149.0,80.48,149.0,88.37,149.0,87.03,149.0,78.67,149.0,66.44,149.0,72.49
350005146,HOPITAL PRIVE SEVIGNE,350005146,HOPITAL PRIVE SEVIGNE,Bretagne,1- Obligatoire,1- Oui,198,74.74,B,2-Stable,198.0,74.01,198.0,82.66,198.0,83.12,198.0,72.04,198.0,50.57,198.0,67.7
350005179,CHRU RENNES,350007084,CHRU RENNES SITE HOPITAL SUD,Bretagne,1- Obligatoire,1- Oui,600,72.37,C,2-Stable,600.0,72.75,600.0,80.93,600.0,78.18,600.0,66.83,600.0,56.02,600.0,65.44
360000046,CH LA TOUR BLANCHE D'ISSOUDUN,360000038,CH LA TOUR BLANCHE -  ISSOUDUN,Centre-Val de Loire,1- Obligatoire,2- Non,.,,NR,4-Non calculable,,.,,.,,.,,.,,.,,.
360000129,CLINIQUE SAINT FRANCOIS,360000129,CLINIQUE SAINT FRANCOIS,Centre-Val de Loire,1- Obligatoire,1- Oui,127,74.82,B,3-Amélioration,127.0,73.1,127.0,82.64,127.0,80.65,127.0,70.36,127.0,62.29,127.0,69.54
360000053,CH DE CHATEAUROUX,360000137,CH CHATEAUROUX,Centre-Val de Loire,1- Obligatoire,1- Oui,71,65.73,D,2-Stable,71.0,66.76,71.0,77.23,71.0,70.11,71.0,61.4,71.0,52.67,71.0,54.56
360000061,CH DE LA CHATRE,360000145,CH LA CHATRE,Centre-Val de Loire,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
360000053,CH DE CHATEAUROUX,360000160,CH DU BLANC,Centre-Val de Loire,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
370000051,CLINIQUE JEANNE D'ARC - ST BENOIT,370000051,CLINIQUE JEANNE D'ARC - ST BENOIT,Centre-Val de Loire,1- Obligatoire,1- Oui,31,76.83,B,1-Diminution,31.0,77.09,31.0,81.56,31.0,81.93,31.0,78.21,31.0,58.41,31.0,70.79
370000085,CLINIQUE SAINT-GATIEN - TOURS,370000085,NCT+ SITE SAINT-GATIEN,Centre-Val de Loire,1- Obligatoire,1- Oui,262,71.57,C,2-Stable,262.0,71.5,262.0,80.59,262.0,81.56,262.0,66.45,262.0,56.34,262.0,61.58
370000093,CLINIQUE DE L'ALLIANCE - ST CYR/LOIRE,370000093,NCT+ SITE ALLIANCE,Centre-Val de Loire,1- Obligatoire,1- Oui,463,73.67,C,1-Diminution,463.0,74.24,463.0,80.56,463.0,81.32,463.0,72.23,463.0,56.47,463.0,63.21
370000481,CHU DE TOURS,370000499,CHRU CLOCHEVILLE - TOURS,Centre-Val de Loire,1- Obligatoire,1- Oui,481,69.33,D,2-Stable,481.0,69.37,481.0,77.99,481.0,75.16,481.0,62.43,481.0,59.4,481.0,59.66
370000606,CENTRE HOSPITALIER DU CHINONAIS,370000531,CH DU CHINONAIS,Centre-Val de Loire,1- Obligatoire,1- Oui,66,73.92,C,4-Non calculable,66.0,73.97,66.0,83.72,66.0,81.28,66.0,65.9,66.0,62.52,66.0,64.21
370000564,CENTRE HOSPITALIER INTER-COMMUNAL  AMBOISE - CHATEAU-RENAULT,370000580,CHIC CHÂTEAU-RENAULT HÔP DR J.DELANEAU,Centre-Val de Loire,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
370000481,CHU DE TOURS,370000861,CHRU BRETONNEAU - TOURS,Centre-Val de Loire,1- Obligatoire,1- Oui,517,72.93,C,2-Stable,517.0,71.39,517.0,82.21,517.0,79.77,517.0,74.23,517.0,56.61,517.0,60.93
370000564,CENTRE HOSPITALIER INTER-COMMUNAL  AMBOISE - CHATEAU-RENAULT,370000879,CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ,Centre-Val de Loire,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
370000614,CH DE LOCHES,370000903,CH PAUL MARTINAIS - LOCHES,Centre-Val de Loire,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
370002701,"ETABLISSEMENTS POUR PERSONNES AGEES(MOYEN,LONG SEJOUR,M. R.)",370001109,CH DE LUYNES - ET,Centre-Val de Loire,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
370000481,CHU DE TOURS,370004467,CHRU TROUSSEAU - CHAMBRAY,Centre-Val de Loire,1- Obligatoire,1- Oui,599,72.67,C,2-Stable,599.0,74.09,599.0,81.63,599.0,79.83,599.0,66.38,599.0,57.58,599.0,62.78
370007569,POLE SANTE LEONARD DE VINCI,370007569,PÔLE SANTÉ LÉONARD DE VINCI,Centre-Val de Loire,1- Obligatoire,1- Oui,491,75.36,B,2-Stable,491.0,77.15,491.0,80.27,491.0,82.13,491.0,75.42,491.0,59.05,491.0,65.94
380780049,CENTRE HOSPITALIER PIERRE OUDOT,380000034,CH PIERRE OUDOT BOURGOIN JALLIEU,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,141,70.65,D,1-Diminution,141.0,69.62,141.0,79.03,141.0,74.96,141.0,72.42,141.0,63.67,141.0,59.03
380780056,CH YVES TOURAINE,380000042,CH YVES TOURAINE,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
380780072,CH DE RIVES,380000059,CH DE RIVES,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
380780080,CHU GRENOBLE,380000067,HOPITAL NORD - CHU38,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,726,70.84,C,2-Stable,726.0,70.96,726.0,79.6,726.0,77.9,726.0,68.93,726.0,49.4,726.0,61.92
380780171,CH DE SAINT MARCELLIN,380000091,CH DE SAINT MARCELLIN,Auvergne-Rhône-Alpes,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
380780213,CH DE SAINT LAURENT DU PONT,380000109,CH DE SAINT LAURENT DU PONT,Auvergne-Rhône-Alpes,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
380781435,CENTRE HOSPITALIER LUCIEN HUSSEL,380000174,CENTRE HOSPITALIER LUCIEN HUSSEL,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,52,71.26,C,3-Amélioration,52.0,71.16,52.0,81.61,52.0,77.54,52.0,63.11,52.0,50.71,52.0,68.06
380784751,CH DE VOIRON,380000406,CH DE VOIRON,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,56,72.89,C,2-Stable,56.0,66.48,56.0,81.79,56.0,81.94,56.0,68.95,56.0,67.68,56.0,65.15
380012658,GROUPE HOSPITALIER MUTUALISTE DE GRENOBLE,380012658,GROUPE HOSPIT. MUTUALISTE DE GRENOBLE,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,457,74.84,B,3-Amélioration,457.0,72.91,457.0,82.99,457.0,83.46,457.0,73.86,457.0,53.35,457.0,67.56
380020123,CLINIQUE DES COTES DU RHONE,380020123,CLINIQUE DES COTES DU RHONE,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
380780197,CLINIQUE SAINT VINCENT DE PAUL MATERNITE CATHOLIQUE,380780197,CLINIQUE ST VINCENT DE PAUL BOURGOIN,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,439,74.11,B,3-Amélioration,439.0,76.83,439.0,81.91,439.0,80.49,439.0,76.46,439.0,55.69,439.0,60.16
